accession	cell	matched	density	identity	others_median	others_identity_median	n_others	diff
GCA_013390065.1	RYR	0	0.2013	0.9679	0	0.9554	3	0.2013
GCA_013396355.1	ITPR1	0	0	0.9863	0	0.9719	3	0
GCA_013396355.1	ITPR2	0	0	0.9719	0	0.9863	3	0
GCA_013396355.1	ITPR3	0	0.3745	0.9931	0	0.9719	3	0.3745
GCA_013396355.1	RYR	0	0	0.6757	0	0.9863	3	0
GCA_013396465.1	ITPR1	0	0	0.9856	0	0.9783	3	0
GCA_013396465.1	ITPR2	0	0	0.9848	0	0.9783	3	0
GCA_013396465.1	ITPR3	0	0	0.84	0	0.9848	3	0
GCA_013396465.1	RYR	0	0	0.9783	0	0.9848	3	0
GCA_013396485.1	ITPR1	0	0	0.9655	0	0.97875	2	0
GCA_013396485.1	ITPR2	0	0	0.9798	0	0.9716	2	0
GCA_013396485.1	RYR	0	0	0.9777	0	0.97265	2	0
GCA_013396675.1	ITPR1	0	0	0.982	0	0.8282	2	0
GCA_013396675.1	ITPR3	0	0	0.9738	0	0.8323	2	0
GCA_013396675.1	RYR	0	0	0.6826	0	0.9779	2	0
GCA_013396835.1	ITPR1	0	0	0.9835	0.18725	0.82785	2	-0.18725
GCA_013396835.1	ITPR3	0	0.3745	0.9719	0	0.83365	2	0.3745
GCA_013396835.1	RYR	0	0	0.6838	0.18725	0.9777	2	-0.18725
GCA_013396875.1	ITPR1	0	0	0.9849	0.1985	0.9796	3	-0.1985
GCA_013396875.1	ITPR2	0	0	0.9796	0.1985	0.9849	3	-0.1985
GCA_013396875.1	ITPR3	0	0.3745	0.9973	0	0.9796	3	0.3745
GCA_013396875.1	RYR	0	0.1985	0.6724	0	0.9849	3	0.1985
GCA_013396935.1	ITPR2	0	0	0.9768	0.3754	0.9771	1	-0.3754
GCA_013396935.1	ITPR3	0	0.3754	0.9771	0	0.9768	1	0.3754
GCA_013397015.1	ITPR1	0	0	0.9845	0.1985	0.982	3	-0.1985
GCA_013397015.1	ITPR2	0	0	0.982	0.1985	0.9845	3	-0.1985
GCA_013397015.1	ITPR3	0	0.3745	0.9965	0	0.982	3	0.3745
GCA_013397015.1	RYR	0	0.1985	0.6748	0	0.9845	3	0.1985
GCA_013397295.1	ITPR2	0	0	0.98	0.2865	0.825	2	-0.2865
GCA_013397295.1	ITPR3	0	0.3745	0.9732	0.09925	0.8284	2	0.27525
GCA_013397295.1	RYR	0	0.1985	0.6768	0.18725	0.9766	2	0.01125
GCA_013397395.1	ITPR1	0	0.3598	0.9842	0	0.9773	3	0.3598
GCA_013397395.1	ITPR2	0	0	0.9819	0	0.9773	3	0
GCA_013397395.1	ITPR3	0	0	0.9551	0	0.9819	3	0
GCA_013397395.1	RYR	0	0	0.9773	0	0.9819	3	0
GCA_013397465.1	ITPR1	0	0	0.9853	0	0.9842	2	0
GCA_013397465.1	ITPR2	0	0	0.9796	0	0.98705	2	0
GCA_013397465.1	ITPR3	0	0	0.9888	0	0.98245	2	0
GCA_013397495.1	ITPR2	0	0	0.9819	0	0.9783	1	0
GCA_013397495.1	RYR	0	0	0.9783	0	0.9819	1	0
GCA_013397535.1	ITPR1	0	0	0.9914	0	0.9857	3	0
GCA_013397535.1	ITPR2	0	0	0.9865	0	0.9857	3	0
GCA_013397535.1	ITPR3	0	0	0.9857	0	0.9865	3	0
GCA_013397535.1	RYR	0	0	0.9761	0	0.9865	3	0
GCA_013397635.1	ITPR1	0	0	0.9773	0.10065	0.97125	2	-0.10065
GCA_013397635.1	ITPR2	0	0	0.9693	0.10065	0.97525	2	-0.10065
GCA_013397635.1	RYR	0	0.2013	0.9732	0	0.9733	2	0.2013
GCA_013397815.1	ITPR1	0	0	0.986	0	0.9792	3	0
GCA_013397815.1	ITPR2	0	0	0.9792	0	0.986	3	0
GCA_013397815.1	ITPR3	0	0	0.9981	0	0.9792	3	0
GCA_013397815.1	RYR	0	0.1985	0.6732	0	0.986	3	0.1985
GCA_013397895.1	ITPR1	0	0	0.9856	0	0.982	3	0
GCA_013397895.1	ITPR2	0	0	0.982	0	0.9856	3	0
GCA_013397895.1	ITPR3	0	0	0.9942	0	0.982	3	0
GCA_013397895.1	RYR	0	0	0.6754	0	0.9856	3	0
GCA_013397955.1	ITPR1	0	0	0.9867	0.3745	0.98	3	-0.3745
GCA_013397955.1	ITPR2	0	0	0.98	0.3745	0.9819	3	-0.3745
GCA_013397955.1	ITPR3	0	0.3745	0.9819	0	0.98	3	0.3745
GCA_013397955.1	RYR	0	0.3971	0.6765	0	0.9819	3	0.3971
GCA_013398125.1	ITPR1	0	0	0.9899	0	0.984	2	0
GCA_013398125.1	ITPR3	0	0	0.9857	0	0.9861	2	0
GCA_013398125.1	RYR	0	0	0.9823	0	0.9878	2	0
GCA_013398155.1	ITPR1	0	0	0.9824	0	0.9812	3	0
GCA_013398155.1	ITPR2	0	0	0.9809	0	0.9824	3	0
GCA_013398155.1	ITPR3	0	0	0.9871	0	0.9812	3	0
GCA_013398155.1	RYR	0	0	0.9812	0	0.9824	3	0
GCA_013398175.1	ITPR1	0	0	0.9813	0	0.9763	3	0
GCA_013398175.1	ITPR2	0	0	0.9763	0	0.9813	3	0
GCA_013398175.1	ITPR3	0	0	0.9903	0	0.9763	3	0
GCA_013398175.1	RYR	0	0	0.6783	0	0.9813	3	0
GCA_013398455.1	ITPR1	0	0	0.9806	0	0.9789	3	0
GCA_013398455.1	ITPR2	0	0	0.9789	0	0.9806	3	0
GCA_013398455.1	ITPR3	0	0	0.9959	0	0.9789	3	0
GCA_013398455.1	RYR	0	0	0.6737	0	0.9806	3	0
GCA_013398575.1	ITPR1	0	0	0.9821	0.1985	0.9802	3	-0.1985
GCA_013398575.1	ITPR2	0	0	0.9802	0.1985	0.9821	3	-0.1985
GCA_013398575.1	ITPR3	0	0.3745	0.995	0	0.9802	3	0.3745
GCA_013398575.1	RYR	0	0.1985	0.6765	0	0.9821	3	0.1985
GCA_013398615.1	ITPR1	0	0	0.9856	0	0.9775	3	0
GCA_013398615.1	ITPR2	0	0	0.98	0	0.9775	3	0
GCA_013398615.1	ITPR3	0	0.3745	0.9522	0	0.98	3	0.3745
GCA_013398615.1	RYR	0	0	0.9775	0	0.98	3	0
GCA_013398795.1	ITPR1	0	0	0.9838	0	0.97545	2	0
GCA_013398795.1	ITPR2	0	0	0.9793	0	0.9777	2	0
GCA_013398795.1	RYR	0	0	0.9716	0	0.98155	2	0
GCA_013398835.1	ITPR2	0	0	0.9744	0.37455	0.9365	2	-0.37455
GCA_013398835.1	ITPR3	0	0.7491	0.9066	0	0.9704	2	0.7491
GCA_013398835.1	RYR	0	0	0.9664	0.37455	0.9405	2	-0.37455
GCA_013398935.1	ITPR1	0	0	0.9856	0.10065	0.97615	2	-0.10065
GCA_013398935.1	ITPR2	0	0	0.973	0.10065	0.98245	2	-0.10065
GCA_013398935.1	RYR	0	0.2013	0.9793	0	0.9793	2	0.2013
GCA_013398955.1	ITPR2	0	0	0.9811	0.09925	0.8363	2	-0.09925
GCA_013398955.1	ITPR3	0	0	0.998	0.09925	0.82785	2	-0.09925
GCA_013398955.1	RYR	0	0.1985	0.6746	0	0.98955	2	0.1985
GCA_013398975.1	ITPR2	0	0	0.98	0	0.8354	2	0
GCA_013398975.1	ITPR3	0	0	0.9944	0	0.8282	2	0
GCA_013398975.1	RYR	0	0	0.6764	0	0.9872	2	0
GCA_013399035.1	ITPR3	0	0.3745	0.9935	0	0.6693	1	0.3745
GCA_013399035.1	RYR	0	0	0.6693	0.3745	0.9935	1	-0.3745
GCA_013399075.1	ITPR1	0	0.3631	0.9848	0	0.9811	3	0.3631
GCA_013399075.1	ITPR2	0	0	0.9827	0.3631	0.9811	3	-0.3631
GCA_013399075.1	ITPR3	0	0.3788	0.9753	0	0.9827	3	0.3788
GCA_013399075.1	RYR	0	0	0.9811	0.3631	0.9827	3	-0.3631
GCA_013399305.1	ITPR1	0	0	0.9892	0	0.9779	3	0
GCA_013399305.1	ITPR2	0	0	0.9779	0	0.9887	3	0
GCA_013399305.1	ITPR3	0	0	0.9887	0	0.9779	3	0
GCA_013399305.1	RYR	0	0.4026	0.9595	0	0.9887	3	0.4026
GCA_013399395.1	ITPR1	0	0	0.991	0.4824	0.95885	2	-0.4824
GCA_013399395.1	ITPR2	0	0.9648	0.9301	0	0.9893	2	0.9648
GCA_013399395.1	ITPR3	0	0	0.9876	0.4824	0.96055	2	-0.4824
GCA_013399495.1	ITPR1	0	0	0.9915	0.2013	0.9757	3	-0.2013
GCA_013399495.1	ITPR2	0	0	0.9742	0.2013	0.988	3	-0.2013
GCA_013399495.1	ITPR3	0	0.3754	0.988	0	0.9757	3	0.3754
GCA_013399495.1	RYR	0	0.2013	0.9757	0	0.988	3	0.2013
GCA_013399565.1	ITPR1	0	0	0.9903	0	0.98665	2	0
GCA_013399565.1	ITPR3	0	0	0.9906	0	0.9865	2	0
GCA_013399565.1	RYR	0	0	0.9827	0	0.99045	2	0
GCA_013399735.1	ITPR1	0	0	0.986	0.2865	0.82605	2	-0.2865
GCA_013399735.1	ITPR3	0	0.3745	0.9764	0.09925	0.83085	2	0.27525
GCA_013399735.1	RYR	0	0.1985	0.6757	0.18725	0.9812	2	0.01125
GCA_013399795.1	ITPR2	0	0	0.98	0	0.98375	2	0
GCA_013399795.1	ITPR3	0	0	0.9909	0	0.9783	2	0
GCA_013399795.1	RYR	0	0	0.9766	0	0.98545	2	0
GCA_013399855.1	ITPR1	0	0	0.9881	0	0.9826	3	0
GCA_013399855.1	ITPR2	0	0	0.9826	0	0.9854	3	0
GCA_013399855.1	ITPR3	0	0.3745	0.9854	0	0.9826	3	0.3745
GCA_013399855.1	RYR	0	0	0.6751	0	0.9854	3	0
GCA_013399895.1	ITPR1	0	0.3598	0.9819	0	0.9815	3	0.3598
GCA_013399895.1	ITPR2	0	0	0.9815	0	0.9819	3	0
GCA_013399895.1	ITPR3	0	0	0.9873	0	0.9815	3	0
GCA_013399895.1	RYR	0	0	0.9767	0	0.9819	3	0
GCA_013400075.1	ITPR2	0	0	0.9801	0	0.9856	2	0
GCA_013400075.1	ITPR3	0	0	0.9944	0	0.97845	2	0
GCA_013400075.1	RYR	0	0	0.9768	0	0.98725	2	0
GCA_013400195.1	ITPR1	0	0	0.9917	0	0.9856	3	0
GCA_013400195.1	ITPR2	0	0	0.9856	0	0.9891	3	0
GCA_013400195.1	ITPR3	0	0	0.9891	0	0.9856	3	0
GCA_013400195.1	RYR	0	0	0.6736	0	0.9891	3	0
GCA_013400215.1	ITPR1	0	0	0.9683	0	0.9798	3	0
GCA_013400215.1	ITPR2	0	0	0.9798	0	0.9683	3	0
GCA_013400215.1	ITPR3	0	0	0.9853	0	0.9683	3	0
GCA_013400215.1	RYR	0	0.1985	0.6763	0	0.9798	3	0.1985
GCA_013400415.1	ITPR1	0	0	0.9867	0	0.9765	3	0
GCA_013400415.1	ITPR2	0	0	0.9765	0	0.9854	3	0
GCA_013400415.1	ITPR3	0	0	0.9854	0	0.9765	3	0
GCA_013400415.1	RYR	0	0	0.6811	0	0.9854	3	0
GCA_013400445.1	ITPR2	0	0	0.9819	0	0.9844	2	0
GCA_013400445.1	ITPR3	0	0	0.9914	0	0.97965	2	0
GCA_013400445.1	RYR	0	0	0.9774	0	0.98665	2	0
GCA_013400515.1	ITPR1	0	0	0.9842	0.18725	0.98795	2	-0.18725
GCA_013400515.1	ITPR2	0	0	0.9805	0.18725	0.9898	2	-0.18725
GCA_013400515.1	ITPR3	0	0.3745	0.9954	0	0.98235	2	0.3745
GCA_013400585.1	ITPR1	0	0	0.9845	0.18725	0.98445	2	-0.18725
GCA_013400585.1	ITPR2	0	0	0.979	0.18725	0.9872	2	-0.18725
GCA_013400585.1	ITPR3	0	0.3745	0.9899	0	0.98175	2	0.3745
GCA_013400815.1	ITPR2	0	0	0.9848	0	0.97865	2	0
GCA_013400815.1	ITPR3	0	0	0.9833	0	0.9794	2	0
GCA_013400815.1	RYR	0	0	0.974	0	0.98405	2	0
GCA_013400895.1	ITPR1	0	0	0.9914	0	0.9906	1	0
GCA_013400895.1	ITPR3	0	0	0.9906	0	0.9914	1	0
GCA_013400955.1	ITPR1	0	0	0.9806	0	0.9868	2	0
GCA_013400955.1	ITPR3	0	0	0.9965	0	0.97885	2	0
GCA_013400955.1	RYR	0	0	0.9771	0	0.98855	2	0
GCA_013400995.1	ITPR2	0	0	0.9818	0.7776	0.9567	1	-0.7776
GCA_013400995.1	ITPR3	0	0.7776	0.9567	0	0.9818	1	0.7776
GCA_013401195.1	ITPR2	0	0	0.9815	0	0.9781	1	0
GCA_013401195.1	RYR	0	0	0.9781	0	0.9815	1	0
GCA_013401255.1	ITPR1	0	0	0.9881	0	0.6734	1	0
GCA_013401255.1	RYR	0	0	0.6734	0	0.9881	1	0
GCA_013401295.1	ITPR1	0	0	0.9914	0	0.8301	2	0
GCA_013401295.1	ITPR2	0	0	0.9856	0	0.833	2	0
GCA_013401295.1	RYR	0	0	0.6746	0	0.9885	2	0
GCA_013401315.1	ITPR1	0	0	0.9909	0	0.9868	1	0
GCA_013401315.1	ITPR3	0	0	0.9868	0	0.9909	1	0
GCA_014281875.1	ITPR1	0	0.7278	0.9595	0.3745	0.8823	3	0.3533
GCA_014281875.1	ITPR2	0	0.7405	0.8663	0.3745	0.8835	3	0.366
GCA_014281875.1	ITPR3	0	0.3745	0.8823	0.7278	0.8835	3	-0.3533
GCA_014281875.1	RYR	0	0	0.8835	0.7278	0.8823	3	-0.7278
GCA_014839755.1	ITPR1	0	0	0.9838	0	0.9807	3	0
GCA_014839755.1	ITPR2	0	0	0.9807	0	0.9838	3	0
GCA_014839755.1	ITPR3	0	0	0.9925	0	0.9807	3	0
GCA_014839755.1	RYR	0	0	0.9773	0	0.9838	3	0
GCA_015883425.2	ITPR1	0	0	0.9817	0	0.9807	3	0
GCA_015883425.2	ITPR2	0	0	0.9807	0	0.9817	3	0
GCA_015883425.2	ITPR3	0	0	0.9959	0	0.9807	3	0
GCA_015883425.2	RYR	0	0	0.9783	0	0.9817	3	0
GCA_017639675.1	ITPR1	0	0	0.9274	0	0.8665	3	0
GCA_017639675.1	ITPR2	0	0	0.8088	0	0.8678	3	0
GCA_017639675.1	ITPR3	0	0	0.8678	0	0.8665	3	0
GCA_017639675.1	RYR	0	0	0.8665	0	0.8678	3	0
GCA_018340635.1	ITPR1	0	0.7505	0.9678	0	0.8136	2	0.7505
GCA_018340635.1	ITPR3	0	0	0.9468	0.37525	0.8241	2	-0.37525
GCA_018340635.1	RYR	0	0	0.6804	0.37525	0.9573	2	-0.37525
GCA_019447015.1	ITPR1	0	2.552	0.7451	2.5878	0.8874	3	-0.0358
GCA_019447015.1	ITPR2	0	2.5878	0.6135	2.552	0.8874	3	0.0358
GCA_019447015.1	ITPR3	0	0.7482	0.8874	2.5878	0.7451	3	-1.8396
GCA_019447015.1	RYR	0	4.9633	0.9321	2.552	0.7451	3	2.4113
GCA_020745705.1	ITPR1	0	0	0.9899	0.3704	0.9837	3	-0.3704
GCA_020745705.1	ITPR2	0	0.3704	0.9793	0	0.9865	3	0.3704
GCA_020745705.1	ITPR3	0	1.1261	0.9865	0	0.9837	3	1.1261
GCA_020745705.1	RYR	0	0	0.9837	0.3704	0.9865	3	-0.3704
GCA_022829145.1	ITPR1	0	0.7278	0.9123	0.3704	0.8328	3	0.3574
GCA_022829145.1	ITPR2	0	0.3704	0.8055	0.7278	0.9123	3	-0.3574
GCA_022829145.1	ITPR3	0	1.1236	0.8328	0.3704	0.9123	3	0.7532
GCA_022829145.1	RYR	0	0.2016	0.9211	0.7278	0.8328	3	-0.5262
GCA_023764695.1	ITPR1	0	0.3626	0.9956	0.4027	0.9907	3	-0.0401
GCA_023764695.1	ITPR2	0	0	0.9907	0.4027	0.9956	3	-0.4027
GCA_023764695.1	ITPR3	0	1.1232	0.9731	0.3626	0.9956	3	0.7606
GCA_023764695.1	RYR	0	0.4027	0.9973	0.3626	0.9907	3	0.0401
GCA_023974075.1	ITPR1	0	3.2751	0.9363	3.075	0.8578	2	0.2001
GCA_023974075.1	ITPR2	0	1.1107	0.8615	4.1572	0.8952	2	-3.0465
GCA_023974075.1	RYR	0	5.0393	0.8541	2.1929	0.8989	2	2.8464
GCA_027704905.1	ITPR1	0	0.3639	0.9279	0	0.8403	3	0.3639
GCA_027704905.1	ITPR2	0	0	0.8234	0.2016	0.8583	3	-0.2016
GCA_027704905.1	ITPR3	0	0	0.8403	0.2016	0.8583	3	-0.2016
GCA_027704905.1	RYR	0	0.2016	0.8583	0	0.8403	3	0.2016
GCA_028571685.1	ITPR1	0	0	0.9837	0	0.9722	3	0
GCA_028571685.1	ITPR2	0	0	0.9722	0	0.9797	3	0
GCA_028571685.1	ITPR3	0	0	0.9708	0	0.9797	3	0
GCA_028571685.1	RYR	0	0	0.9797	0	0.9722	3	0
GCA_029706075.1	ITPR1	0	0.3639	0.892	1.411	0.8241	3	-1.0471
GCA_029706075.1	ITPR2	0	0.3702	0.7976	1.411	0.892	3	-1.0408
GCA_029706075.1	ITPR3	0	1.4981	0.8241	0.3702	0.892	3	1.1279
GCA_029706075.1	RYR	0	1.411	0.9115	0.3702	0.8241	3	1.0408
GCA_031216635.1	ITPR1	0	1.4556	0.9535	0.4031	0.8727	3	1.0525
GCA_031216635.1	ITPR2	0	0.3702	0.863	0.7491	0.8884	3	-0.3789
GCA_031216635.1	ITPR3	0	0.7491	0.8884	0.4031	0.8727	3	0.346
GCA_031216635.1	RYR	0	0.4031	0.8727	0.7491	0.8884	3	-0.346
GCA_031835075.1	ITPR1	0	0	0.9924	0	0.9904	3	0
GCA_031835075.1	ITPR2	0	0	0.9904	0	0.9915	3	0
GCA_031835075.1	ITPR3	0	0	0.9869	0	0.9915	3	0
GCA_031835075.1	RYR	0	0	0.9915	0	0.9904	3	0
GCA_032275445.1	ITPR1	0	0	0.9719	0	0.9654	3	0
GCA_032275445.1	ITPR2	0	0	0.9804	0	0.9654	3	0
GCA_032275445.1	ITPR3	0	0	0.9654	0	0.9719	3	0
GCA_032275445.1	RYR	0	0.8073	0.8949	0	0.9719	3	0.8073
GCA_033238685.1	ITPR1	0	2.5473	0.8541	2.6204	0.8547	3	-0.0731
GCA_033238685.1	ITPR2	0	7.4047	0.5799	2.5473	0.8547	3	4.8574
GCA_033238685.1	ITPR3	0	1.1236	0.9058	2.6204	0.8541	3	-1.4968
GCA_033238685.1	RYR	0	2.6204	0.8547	2.5473	0.8541	3	0.0731
GCA_035590135.1	ITPR1	0	0	0.9924	0	0.9884	3	0
GCA_035590135.1	ITPR2	0	0	0.9884	0	0.9899	3	0
GCA_035590135.1	ITPR3	0	0	0.9899	0	0.9884	3	0
GCA_035590135.1	RYR	0	0	0.9853	0	0.9899	3	0
GCA_036247105.2	ITPR1	0	0	0.9691	0	0.9425	3	0
GCA_036247105.2	ITPR2	0	0	0.9288	0	0.9691	3	0
GCA_036247105.2	ITPR3	0	0	0.9425	0	0.9691	3	0
GCA_036247105.2	RYR	0	0	0.971	0	0.9425	3	0
GCA_043380575.1	ITPR1	0	0	0.9042	0	0.8361	3	0
GCA_043380575.1	ITPR2	0	0	0.8197	0	0.9029	3	0
GCA_043380575.1	ITPR3	0	0	0.8361	0	0.9029	3	0
GCA_043380575.1	RYR	0	0	0.9029	0	0.8361	3	0
GCA_046255725.1	ITPR1	0	0	0.9386	0	0.8624	3	0
GCA_046255725.1	ITPR2	0	0.3702	0.8094	0	0.8657	3	0.3702
GCA_046255725.1	ITPR3	0	0	0.8624	0	0.8657	3	0
GCA_046255725.1	RYR	0	0	0.8657	0	0.8624	3	0
GCA_047511595.1	ITPR1	0	0	0.9458	0.3719	0.8559	3	-0.3719
GCA_047511595.1	ITPR2	0	0.3719	0.8559	0	0.9019	3	0.3719
GCA_047511595.1	ITPR3	0	0.3745	0.8277	0	0.9019	3	0.3745
GCA_047511595.1	RYR	0	0	0.9019	0.3719	0.8559	3	-0.3719
GCA_048126345.2	ITPR1	0	0	0.972	0	0.9467	3	0
GCA_048126345.2	ITPR2	0	0	0.9467	0	0.9615	3	0
GCA_048126345.2	ITPR3	0	0	0.9394	0	0.9615	3	0
GCA_048126345.2	RYR	0	0	0.9615	0	0.9467	3	0
GCA_048569125.1	ITPR1	0	0	0.9451	0	0.8739	3	0
GCA_048569125.1	ITPR2	0	0.3702	0.8557	0	0.8919	3	0.3702
GCA_048569125.1	ITPR3	0	0	0.8739	0	0.8919	3	0
GCA_048569125.1	RYR	0	0	0.8919	0	0.8739	3	0
GCA_050084785.1	ITPR1	0	0	0.9435	0.4031	0.8735	3	-0.4031
GCA_050084785.1	ITPR2	0	0.7418	0.8572	0	0.883	3	0.7418
GCA_050084785.1	ITPR3	0	0	0.883	0.4031	0.8735	3	-0.4031
GCA_050084785.1	RYR	0	0.4031	0.8735	0	0.883	3	0.4031
GCA_054084135.1	ITPR1	0	0	0.9773	0	0.9804	3	0
GCA_054084135.1	ITPR2	0	0	0.9804	0	0.9777	3	0
GCA_054084135.1	ITPR3	0	0	0.9959	0	0.9777	3	0
GCA_054084135.1	RYR	0	0	0.9777	0	0.9804	3	0
GCA_054099775.1	ITPR1	0	0	0.9899	0	0.987	3	0
GCA_054099775.1	ITPR2	0	0	0.987	0	0.9895	3	0
GCA_054099775.1	ITPR3	0	0	0.9895	0	0.987	3	0
GCA_054099775.1	RYR	0	0	0.6724	0	0.9895	3	0
GCA_054644205.1	ITPR1	0	0	0.9705	0	0.95	3	0
GCA_054644205.1	ITPR2	0	0	0.95	0	0.9628	3	0
GCA_054644205.1	ITPR3	0	0	0.9371	0	0.9628	3	0
GCA_054644205.1	RYR	0	0	0.9628	0	0.95	3	0
GCA_054883175.1	ITPR1	0	0	0.9659	0	0.8798	3	0
GCA_054883175.1	ITPR2	0	0.3702	0.8773	0	0.9131	3	0.3702
GCA_054883175.1	ITPR3	0	0	0.9131	0	0.8798	3	0
GCA_054883175.1	RYR	0	0	0.8798	0	0.9131	3	0
GCA_054883375.1	ITPR1	0	0	0.909	0	0.8292	3	0
GCA_054883375.1	ITPR2	0	0.3702	0.7795	0	0.9082	3	0.3702
GCA_054883375.1	ITPR3	0	0	0.8292	0	0.9082	3	0
GCA_054883375.1	RYR	0	0	0.9082	0	0.8292	3	0
GCA_056506795.1	ITPR1	0	0	0.9584	0	0.8771	3	0
GCA_056506795.1	ITPR2	0	0.7405	0.8771	0	0.91	3	0.7405
GCA_056506795.1	ITPR3	0	0	0.91	0	0.8771	3	0
GCA_056506795.1	RYR	0	0	0.875	0	0.91	3	0
GCA_056776345.1	ITPR1	0	0	0.9827	0	0.9807	3	0
GCA_056776345.1	ITPR2	0	0	0.9807	0	0.9827	3	0
GCA_056776345.1	ITPR3	0	0.3745	0.9946	0	0.9807	3	0.3745
GCA_056776345.1	RYR	0	0	0.9779	0	0.9827	3	0
GCA_056783565.1	ITPR1	0	0	0.9129	0	0.8347	3	0
GCA_056783565.1	ITPR2	0	0	0.792	0	0.91	3	0
GCA_056783565.1	ITPR3	0	0	0.8347	0	0.91	3	0
GCA_056783565.1	RYR	0	0	0.91	0	0.8347	3	0
GCA_056783665.1	ITPR1	0	0	0.9103	0	0.8455	3	0
GCA_056783665.1	ITPR2	0	0	0.8079	0	0.9103	3	0
GCA_056783665.1	ITPR3	0	0	0.8455	0	0.9103	3	0
GCA_056783665.1	RYR	0	0	0.9215	0	0.8455	3	0
GCA_056824565.1	ITPR1	0	0	0.9414	0	0.8361	3	0
GCA_056824565.1	ITPR2	0	1.1107	0.8119	0	0.8768	3	1.1107
GCA_056824565.1	ITPR3	0	0	0.8361	0	0.8768	3	0
GCA_056824565.1	RYR	0	0	0.8768	0	0.8361	3	0
GCA_056824585.1	ITPR1	0	0	0.8932	0	0.8097	3	0
GCA_056824585.1	ITPR2	0	0	0.8097	0	0.8486	3	0
GCA_056824585.1	ITPR3	0	0.3745	0.8486	0	0.8097	3	0.3745
