accession	organism	vclass	cell	cell_status	contig	start	end	region_kind	assigned_clade	window	n_genes_on_contig	contig_extent_bp	n_flanks	n_keys	reached	why
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	KL323595.1	12812	24340	attributed_elsewhere	ITPR2	informative10	2	35568	0	0	0	too_few_keys
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	KL318660.1	16229	34600	attributed_elsewhere	ITPR2	fixed10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	KL318660.1	16229	34600	attributed_elsewhere	ITPR2	informative10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	KL324796.1	4011	5935	attributed_elsewhere	ITPR2	fixed10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	KL324796.1	4011	5935	attributed_elsewhere	ITPR2	informative10	0	0	0	0	0	no_neighbourhood
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	tblastn_trace	CM008014.1	9615403	9649829	rescue_regions	ITPR3	fixed10	616	66628270	20	0	0	too_few_keys
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	tblastn_trace	CM008014.1	9615403	9649829	rescue_regions	ITPR3	informative10	616	66628270	0	0	0	too_few_keys
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	tblastn_trace	CM008024.1	19220185	19252763	rescue_regions	ITPR3	fixed10	251	79317407	20	0	0	too_few_keys
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	tblastn_trace	CM008024.1	19220185	19252763	rescue_regions	ITPR3	informative10	251	79317407	0	0	0	too_few_keys
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	tblastn_trace	CM008024.1	19301082	19301171	ambiguous_regions	ITPR3	fixed10	251	79317407	20	0	0	too_few_keys
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	tblastn_trace	CM008024.1	19301082	19301171	ambiguous_regions	ITPR3	informative10	251	79317407	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ512296.1	4813	14504	rescue_regions	ITPR1	fixed10	1	18198	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ512296.1	4813	14504	rescue_regions	ITPR1	informative10	1	18198	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ509414.1	8130	41300	rescue_regions	ITPR1	fixed10	1	34697	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ509414.1	8130	41300	rescue_regions	ITPR1	informative10	1	34697	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ517461.1	8015	9018	rescue_regions	ITPR1	fixed10	0	0	0	0	0	no_neighbourhood
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ517461.1	8015	9018	rescue_regions	ITPR1	informative10	0	0	0	0	0	no_neighbourhood
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ517889.1	83	1009	ambiguous_regions	ITPR1	fixed10	1	3706	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ517889.1	83	1009	ambiguous_regions	ITPR1	informative10	1	3706	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ520196.1	406	4154	ambiguous_regions	ITPR1	fixed10	1	4345	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ520196.1	406	4154	ambiguous_regions	ITPR1	informative10	1	4345	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ520963.1	2998	4711	ambiguous_regions	ITPR1	fixed10	0	0	0	0	0	no_neighbourhood
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ520963.1	2998	4711	ambiguous_regions	ITPR1	informative10	0	0	0	0	0	no_neighbourhood
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ537444.1	658	924	attributed_elsewhere	ITPR2	fixed10	0	0	0	0	0	no_neighbourhood
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ537444.1	658	924	attributed_elsewhere	ITPR2	informative10	0	0	0	0	0	no_neighbourhood
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ512119.1	15508	20761	attributed_elsewhere	ITPR2	fixed10	1	21275	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ512119.1	15508	20761	attributed_elsewhere	ITPR2	informative10	1	21275	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ511543.1	900	23833	attributed_elsewhere	ITPR2	fixed10	1	23749	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ511543.1	900	23833	attributed_elsewhere	ITPR2	informative10	1	23749	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ507134.1	37592	58808	attributed_elsewhere	ITPR2	fixed10	1	82576	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ507134.1	37592	58808	attributed_elsewhere	ITPR2	informative10	1	82576	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ509793.1	357	12293	attributed_elsewhere	ITPR2	fixed10	1	36130	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ509793.1	357	12293	attributed_elsewhere	ITPR2	informative10	1	36130	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ507134.1	4386	13627	attributed_elsewhere	ITPR2	fixed10	1	82576	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	KZ507134.1	4386	13627	attributed_elsewhere	ITPR2	informative10	1	82576	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ512119.1	14405	20761	rescue_regions	ITPR2	fixed10	1	21275	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ512119.1	14405	20761	rescue_regions	ITPR2	informative10	1	21275	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ507134.1	513	58811	rescue_regions	ITPR2	fixed10	1	82576	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ507134.1	513	58811	rescue_regions	ITPR2	informative10	1	82576	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ511543.1	912	23833	rescue_regions	ITPR2	fixed10	1	23749	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ511543.1	912	23833	rescue_regions	ITPR2	informative10	1	23749	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ509793.1	34401	36348	rescue_regions	ITPR2	fixed10	1	36130	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ509793.1	34401	36348	rescue_regions	ITPR2	informative10	1	36130	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ507134.1	81090	82573	rescue_regions	ITPR2	fixed10	1	82576	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ507134.1	81090	82573	rescue_regions	ITPR2	informative10	1	82576	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ537444.1	658	918	ambiguous_regions	ITPR2	fixed10	0	0	0	0	0	no_neighbourhood
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ537444.1	658	918	ambiguous_regions	ITPR2	informative10	0	0	0	0	0	no_neighbourhood
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ509793.1	357	12302	ambiguous_regions	ITPR2	fixed10	1	36130	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ509793.1	357	12302	ambiguous_regions	ITPR2	informative10	1	36130	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ512296.1	4813	14435	attributed_elsewhere	ITPR1	fixed10	1	18198	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ512296.1	4813	14435	attributed_elsewhere	ITPR1	informative10	1	18198	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ517889.1	83	1012	attributed_elsewhere	ITPR1	fixed10	1	3706	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ517889.1	83	1012	attributed_elsewhere	ITPR1	informative10	1	3706	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ520196.1	406	4199	attributed_elsewhere	ITPR1	fixed10	1	4345	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ520196.1	406	4199	attributed_elsewhere	ITPR1	informative10	1	4345	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ509414.1	25756	33382	attributed_elsewhere	ITPR1	fixed10	1	34697	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ509414.1	25756	33382	attributed_elsewhere	ITPR1	informative10	1	34697	0	0	0	too_few_keys
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ520963.1	4562	4711	attributed_elsewhere	ITPR1	fixed10	0	0	0	0	0	no_neighbourhood
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	KZ520963.1	4562	4711	attributed_elsewhere	ITPR1	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01071736.1	175	722	rescue_regions	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01071736.1	175	722	rescue_regions	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01017074.1	127	570	rescue_regions	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01017074.1	127	570	rescue_regions	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01077101.1	23	677	rescue_regions	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01077101.1	23	677	rescue_regions	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01072113.1	237	716	rescue_regions	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01072113.1	237	716	rescue_regions	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01084567.1	323	3834	rescue_regions	ITPR3	fixed10	1	4368	0	0	0	too_few_keys
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01084567.1	323	3834	rescue_regions	ITPR3	informative10	1	4368	0	0	0	too_few_keys
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01082139.1	113	1355	rescue_regions	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01082139.1	113	1355	rescue_regions	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01081707.1	85	1588	rescue_regions	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01081707.1	85	1588	rescue_regions	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01083502.1	31	2410	rescue_regions	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01083502.1	31	2410	rescue_regions	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01084284.1	1763	3512	ambiguous_regions	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01084284.1	1763	3512	ambiguous_regions	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01077493.1	7	833	ambiguous_regions	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01077493.1	7	833	ambiguous_regions	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01035065.1	2	193	ambiguous_regions	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01035065.1	2	193	ambiguous_regions	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01073934.1	217	737	ambiguous_regions	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	VWPW01073934.1	217	737	ambiguous_regions	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01005195.1	998	62896	rescue_regions	ITPR2	fixed10	1	4514	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01005195.1	998	62896	rescue_regions	ITPR2	informative10	1	4514	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01015456.1	41591	97089	rescue_regions	ITPR2	fixed10	1	20470	1	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01015456.1	41591	97089	rescue_regions	ITPR2	informative10	1	20470	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01015456.1	18996	20470	rescue_regions	ITPR2	fixed10	1	20470	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01015456.1	18996	20470	rescue_regions	ITPR2	informative10	1	20470	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01083129.1	1550	1744	ambiguous_regions	ITPR2	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01083129.1	1550	1744	ambiguous_regions	ITPR2	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01031592.1	206	5401	ambiguous_regions	ITPR2	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01031592.1	206	5401	ambiguous_regions	ITPR2	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01031592.1	29906	41317	ambiguous_regions	ITPR2	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01031592.1	29906	41317	ambiguous_regions	ITPR2	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01141137.1	3	152	ambiguous_regions	ITPR2	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01141137.1	3	152	ambiguous_regions	ITPR2	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01074040.1	172	3826	attributed_elsewhere	ITPR3	fixed10	1	3214	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01074040.1	172	3826	attributed_elsewhere	ITPR3	informative10	1	3214	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01000660.1	30	7449	attributed_elsewhere	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01000660.1	30	7449	attributed_elsewhere	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01029708.1	562	6978	attributed_elsewhere	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01029708.1	562	6978	attributed_elsewhere	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01202666.1	104	361	attributed_elsewhere	ITPR1	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01202666.1	104	361	attributed_elsewhere	ITPR1	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01004675.1	788	9640	attributed_elsewhere	ITPR3	fixed10	2	13175	1	1	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	VWPV01004675.1	788	9640	attributed_elsewhere	ITPR3	informative10	2	13175	1	1	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01074040.1	121	3826	rescue_regions	ITPR3	fixed10	1	3214	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01074040.1	121	3826	rescue_regions	ITPR3	informative10	1	3214	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01000660.1	30	7449	rescue_regions	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01000660.1	30	7449	rescue_regions	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01004675.1	373	9568	rescue_regions	ITPR3	fixed10	2	13175	1	1	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01004675.1	373	9568	rescue_regions	ITPR3	informative10	2	13175	1	1	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01029708.1	238	6978	ambiguous_regions	ITPR3	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01029708.1	238	6978	ambiguous_regions	ITPR3	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01202666.1	104	367	attributed_elsewhere	ITPR1	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01202666.1	104	367	attributed_elsewhere	ITPR1	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01005195.1	998	60801	attributed_elsewhere	ITPR2	fixed10	1	4514	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01005195.1	998	60801	attributed_elsewhere	ITPR2	informative10	1	4514	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01015456.1	83720	95254	attributed_elsewhere	ITPR2	fixed10	1	20470	1	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01015456.1	83720	95254	attributed_elsewhere	ITPR2	informative10	1	20470	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01031592.1	29954	41317	attributed_elsewhere	ITPR2	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01031592.1	29954	41317	attributed_elsewhere	ITPR2	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01015456.1	41594	61841	attributed_elsewhere	ITPR2	fixed10	1	20470	1	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01015456.1	41594	61841	attributed_elsewhere	ITPR2	informative10	1	20470	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01083129.1	1550	1744	attributed_elsewhere	ITPR2	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01083129.1	1550	1744	attributed_elsewhere	ITPR2	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01031592.1	206	5371	attributed_elsewhere	ITPR2	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01031592.1	206	5371	attributed_elsewhere	ITPR2	informative10	0	0	0	0	0	no_neighbourhood
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01015456.1	20300	20467	attributed_elsewhere	ITPR2	fixed10	1	20470	0	0	0	too_few_keys
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	VWPV01015456.1	20300	20467	attributed_elsewhere	ITPR2	informative10	1	20470	0	0	0	too_few_keys
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	WEIS01114839.1	570	1002	rescue_regions	ITPR1	fixed10	0	0	0	0	0	no_neighbourhood
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	WEIS01114839.1	570	1002	rescue_regions	ITPR1	informative10	0	0	0	0	0	no_neighbourhood
