accession	organism	vclass	cell	locus_idx	contig	coverage	identity	aligned_aa	frameshifts	stop_codons	lesions	lesion_density	contig_edge	n_gap	longest_n_run	annot_gene	annot_paralog_matches	contig_n50	contig_spans_gene	scored	verdict	verdict_reason
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	1	CM008011.1	1	0.7407	5037	5	0	5	0.9927	0	1	6450		0	7944	0	1	intact	density 0.99 <= bar 1.59
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	2	CM008019.1	0.9968	0.6313	5021	2	1	3	0.5975	0	1	8644		0	7944	0	1	intact	density 0.60 <= bar 1.59
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	0	KZ509852.1	0.9801	0.8623	2611	2	1	3	1.149	1	1	5920	llap_16032	0	21257	0	1	intact	density 1.15 <= bar 1.59
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	0	KZ505650.1	1	0.9845	4968	0	0	0	0	0	1	1410		0	21257	0	1	intact	density 0.00 <= bar 1.59
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	1	KZ505716.1	1	0.6774	5037	0	0	0	0	0	1	1990	llap_3383	0	21257	0	1	intact	density 0.00 <= bar 1.59
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR1	0	PPHD01000413.1	0.3516	1	977	0	0	0	0	1	0	30		0	10597	0	0	not_scored	coverage 0.35 < 0.7
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR1	1	PPHD01008249.1	0.3188	0.9989	886	0	0	0	0	1	0	1	CIB84_004674	0	10597	0	0	not_scored	coverage 0.32 < 0.7
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR2	0	PPHD01003807.1	0.2111	0.9	570	0	0	0	0	1	0	0	CIB84_002931	0	10597	0	0	not_scored	coverage 0.21 < 0.7
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR3	0	PPHD01009884.1	0.6295	0.9988	1677	0	0	0	0	1	0	0	CIB84_005232	0	10597	0	0	not_scored	coverage 0.63 < 0.7
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR3	1	PPHD01019520.1	0.2042	0.9963	544	0	0	0	0	1	0	0	CIB84_007851	0	10597	0	0	not_scored	coverage 0.20 < 0.7
GCA_002909625.1	Bambusicola thoracicus	Aves	RYR	0	PPHD01005234.1	0.1985	0.9929	986	0	0	0	0	1	0	37		0	10597	0	0	not_scored	coverage 0.20 < 0.7
GCA_002909625.1	Bambusicola thoracicus	Aves	RYR	1	PPHD01004762.1	0.1795	0.9832	892	0	0	0	0	1	0	20		0	10597	0	0	not_scored	coverage 0.18 < 0.7
GCA_002909625.1	Bambusicola thoracicus	Aves	RYR	2	PPHD01004103.1	0.2694	0.6254	1342	0	0	0	0	1	0	0		0	10597	0	0	not_scored	coverage 0.27 < 0.7
GCA_002909625.1	Bambusicola thoracicus	Aves	RYR	3	PPHD01048816.1	0.1336	0.6774	671	0	0	0	0	1	0	0		0	10597	0	0	not_scored	coverage 0.13 < 0.7
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	0	QEPC01008366.1	0.9975	0.9524	2772	0	0	0	0	0	1	8743		0	27065	0	1	intact	density 0.00 <= bar 1.59
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	0	QEPC01007142.1	1	0.9338	2700	0	0	0	0	0	1	6734		0	27065	0	1	intact	density 0.00 <= bar 1.59
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	0	QEPC01007384.1	1	0.9415	2664	0	0	0	0	0	1	3270		0	27065	0	1	intact	density 0.00 <= bar 1.59
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	0	QEPC01010682.1	0.996	0.9493	4966	0	1	1	0.2014	0	1	7930		0	27065	0	1	intact	density 0.20 <= bar 1.59
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	1	QEPC01001878.1	0.9968	0.738	5021	8	0	8	1.5933	0	1	5740		0	27065	0	1	assembly_explained	density 1.59 > bar 1.59 but the assembly's contig N50 (27,065 bp) is below D4's bar for this gene
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	2	QEPC01010852.1	1	0.6711	5037	1	0	1	0.1985	0	1	7740		0	27065	0	1	intact	density 0.20 <= bar 1.59
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR1	0	BHFT01002173.1	0.5817	0.9671	1598	0	0	0	0	1	0	14		0	35581	0	0	not_scored	coverage 0.58 < 0.7
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR2	0	BHFT01019722.1	0.5616	0.913	1517	0	0	0	0	1	0	1		0	35581	0	0	not_scored	coverage 0.56 < 0.7
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR3	0	BHFT01014849.1	0.5911	0.9385	1576	0	0	0	0	1	0	1		0	35581	0	0	not_scored	coverage 0.59 < 0.7
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	0	BHFT01042859.1	0.725	0.8504	3652	0	0	0	0	1	0	1		0	35581	0	1	intact	density 0.00 <= bar 1.59
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	1	BHFT01026245.1	0.4308	0.905	2148	0	0	0	0	1	0	1		0	35581	0	0	not_scored	coverage 0.43 < 0.7
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	2	BHFT01031327.1	0.2422	0.7973	1217	0	0	0	0	1	0	19		0	35581	0	0	not_scored	coverage 0.24 < 0.7
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	3	BHFT01031326.1	0.2156	0.9045	1071	0	0	0	0	1	0	1		0	35581	0	0	not_scored	coverage 0.22 < 0.7
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	4	BHFT01041112.1	0.2559	0.7173	1271	0	0	0	0	1	0	1		0	35581	0	0	not_scored	coverage 0.26 < 0.7
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	5	BHFT01036106.1	0.1572	0.8903	781	0	0	0	0	1	0	0		0	35581	0	0	not_scored	coverage 0.16 < 0.7
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	0	SZQC01000012.1	1	0.9412	2779	1	0	1	0.3598	0	1	1462		0	824	0	1	intact	density 0.36 <= bar 1.59
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	0	SZQC01000052.1	1	0.9404	2700	0	0	0	0	0	1	1685		0	824	0	1	intact	density 0.00 <= bar 1.59
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	0	SZQC01000046.1	1	0.9589	2664	0	0	0	0	0	1	850		0	824	0	1	intact	density 0.00 <= bar 1.59
GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	0	SZQC01000381.1	0.7081	0.9043	3518	0	2	2	0.5685	1	1	12739		0	824	0	1	intact	density 0.57 <= bar 1.59
GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	1	SZQC01000017.1	0.5473	0.6358	2729	1	2	3	1.0993	1	1	2183		0	824	0	0	not_scored	coverage 0.55 < 0.7
GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	2	SZQC01000027.1	0.2816	0.9042	1399	0	0	0	0	1	1	4120		0	824	0	0	not_scored	coverage 0.28 < 0.7
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR1	0	RWJT01005793.1	1	0.9797	2758	0	0	0	0	0	1	1779		0	113766	0	1	intact	density 0.00 <= bar 1.59
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR2	0	RWJT01020497.1	1	0.9594	2701	0	0	0	0	0	1	2004		0	113766	0	1	intact	density 0.00 <= bar 1.59
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR3	0	RWJT01022005.1	1	0.9738	2671	0	0	0	0	0	1	250		0	113766	0	1	intact	density 0.00 <= bar 1.59
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	0	RWJT01001056.1	1	0.9763	4967	0	0	0	0	0	1	2331		0	113766	0	1	intact	density 0.00 <= bar 1.59
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	1	RWJT01019646.1	1	0.7861	5037	1	0	1	0.1985	0	1	526		0	113766	0	1	intact	density 0.20 <= bar 1.59
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	2	RWJT01018246.1	0.9968	0.6653	5021	0	0	0	0	0	1	4037		0	113766	0	1	intact	density 0.00 <= bar 1.59
GCA_008658365.1	Alca torda	Aves	ITPR1	0	CM018086.1	1	0.9903	2779	0	0	0	0	0	0	0	ITPR1	1	18221265	1	1	intact	density 0.00 <= bar 1.59
GCA_008658365.1	Alca torda	Aves	ITPR2	0	CM018076.1	1	0.9772	2700	5	1	6	2.2222	0	0	0	ITPR2	1	18221265	1	1	elevated_lesions	density 2.22 > bar 1.59 in a contiguous assembly
GCA_008658365.1	Alca torda	Aves	ITPR3	0	CM018095.1	1	0.9831	2664	15	0	15	5.6306	0	0	0	ITPR3	1	18221265	1	1	elevated_lesions	density 5.63 > bar 1.59 in a contiguous assembly
GCA_008658365.1	Alca torda	Aves	RYR	0	CM018078.1	1	0.9847	4968	0	0	0	0	0	0	0	RYR2	1	18221265	1	1	intact	density 0.00 <= bar 1.59
GCA_008658365.1	Alca torda	Aves	RYR	1	CM018080.1	1	0.6768	5037	1	0	1	0.1985	0	0	0	RYR3	1	18221265	1	1	intact	density 0.20 <= bar 1.59
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR1	0	CM020037.1	1	0.9888	2779	0	0	0	0	0	0	0	ITPR1	1	12039478	1	1	intact	density 0.00 <= bar 1.59
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR2	0	CM020053.1	1	0.9767	2700	0	0	0	0	0	0	0	ITPR2	1	12039478	1	1	intact	density 0.00 <= bar 1.59
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR3	0	CM020055.1	1	0.9865	2664	0	0	0	0	0	0	0	ITPR3	1	12039478	1	1	intact	density 0.00 <= bar 1.59
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	0	CM020031.1	0.993	0.9795	4933	0	0	0	0	0	0	0	RYR2	1	12039478	1	1	intact	density 0.00 <= bar 1.59
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	1	CM020042.1	1	0.6738	5037	1	0	1	0.1985	0	0	0	RYR3	1	12039478	1	1	intact	density 0.20 <= bar 1.59
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR1	0	CM020224.1	1	0.9928	2779	0	0	0	0	0	0	0	ITPR1	1	14700712	1	1	intact	density 0.00 <= bar 1.59
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR2	0	CM020215.1	1	0.9865	2700	3	0	3	1.1111	0	0	0	ITPR2	1	14700712	1	1	intact	density 1.11 <= bar 1.59
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR3	0	CM020239.1	1	0.9899	2664	0	0	0	0	0	0	0	ITPR3	1	14700712	1	1	intact	density 0.00 <= bar 1.59
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	0	CM020217.1	1	0.9851	4968	0	0	0	0	0	0	0	RYR2	1	14700712	1	1	intact	density 0.00 <= bar 1.59
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	1	CM020219.1	1	0.6771	5037	1	0	1	0.1985	0	0	0	RYR3	1	14700712	1	1	intact	density 0.20 <= bar 1.59
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR1	0	CM021215.1	1	0.9815	2758	0	0	0	0	0	0	10	G4228_016139	0	268660	1	1	intact	density 0.00 <= bar 1.59
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR2	0	CM021213.1	1	0.9785	2701	0	0	0	0	0	1	400	G4228_014783	0	268660	1	1	intact	density 0.00 <= bar 1.59
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR3	0	CM021198.1	1	0.9715	2671	0	0	0	0	0	1	400	G4228_004757	0	268660	1	1	intact	density 0.00 <= bar 1.59
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	0	CM021206.1	1	0.9793	4967	0	0	0	0	0	1	400	G4228_010619	0	268660	1	1	intact	density 0.00 <= bar 1.59
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	1	CM021195.1	1	0.7888	5037	0	0	0	0	0	1	400	G4228_002289	0	268660	1	1	intact	density 0.00 <= bar 1.59
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	2	CM021203.1	1	0.6715	5037	1	0	1	0.1985	0	1	400	G4228_008671	0	268660	1	1	intact	density 0.20 <= bar 1.59
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	0	JAAKFY010000006.1	1	0.9528	2748	4	0	4	1.4556	0	0	0		0	3015437	1	1	intact	density 1.46 <= bar 1.59
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	1	JAAKFY010000006.1	1	0.847	2748	10	0	10	3.639	0	0	0	F7725_016552	0	3015437	1	1	elevated_lesions	density 3.64 > bar 1.59 in a contiguous assembly
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR2	0	JAAKFY010000007.1	1	0.8622	2701	4	0	4	1.4809	0	0	0		0	3015437	1	1	intact	density 1.48 <= bar 1.59
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR3	0	JAAKFY010000002.1	1	0.8856	2670	9	0	9	3.3708	0	0	0		0	3015437	1	1	elevated_lesions	density 3.37 > bar 1.59 in a contiguous assembly
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	0	JAAKFY010000008.1	1	0.8696	4961	17	1	18	3.6283	0	0	0	F7725_014813	0	3015437	1	1	elevated_lesions	density 3.63 > bar 1.59 in a contiguous assembly
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	1	JAAKFY010000013.1	0.9992	0.7975	5033	6	0	6	1.1921	0	0	0	F7725_020359	0	3015437	1	1	intact	density 1.19 <= bar 1.59
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	2	JAAKFY010000020.1	1	0.7939	5037	10	0	10	1.9853	0	0	0		0	3015437	1	1	elevated_lesions	density 1.99 > bar 1.59 in a contiguous assembly
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	3	JAAKFY010000015.1	1	0.6669	4967	10	0	10	2.0133	0	0	0	F7725_007914	0	3015437	1	1	elevated_lesions	density 2.01 > bar 1.59 in a contiguous assembly
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	4	JAAKFY010000019.1	1	0.6456	4967	8	0	8	1.6106	0	0	0		0	3015437	1	1	elevated_lesions	density 1.61 > bar 1.59 in a contiguous assembly
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	5	JAAKFY010000011.1	1	0.6069	5168	10	1	11	2.1285	0	0	0	F7725_019825	0	3015437	1	1	elevated_lesions	density 2.13 > bar 1.59 in a contiguous assembly
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR1	0	VWPW01023980.1	1	0.9867	2779	0	0	0	0	0	1	2332		0	99502	0	1	intact	density 0.00 <= bar 1.59
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR2	0	VWPW01014676.1	1	0.98	2700	0	0	0	0	0	0	1		0	99502	0	1	intact	density 0.00 <= bar 1.59
GCA_013389825.1	Crypturellus undulatus	Aves	RYR	0	VWPW01022533.1	0.9386	0.9768	4663	0	0	0	0	1	1	243	Ryr2_1	1	99502	0	1	intact	density 0.00 <= bar 1.59
GCA_013389825.1	Crypturellus undulatus	Aves	RYR	1	VWPW01021686.1	1	0.6769	5037	0	0	0	0	1	0	1		0	99502	0	1	intact	density 0.00 <= bar 1.59
GCA_013389885.1	Geococcyx californianus	Aves	ITPR1	0	VWPV01004098.1	1	0.987	2779	0	0	0	0	0	1	548		0	47040	0	1	intact	density 0.00 <= bar 1.59
GCA_013389885.1	Geococcyx californianus	Aves	RYR	0	VWPV01009501.1	0.5779	0.9795	2871	0	0	0	0	1	0	41	Ryr2_2	1	47040	0	0	not_scored	coverage 0.58 < 0.7
GCA_013389885.1	Geococcyx californianus	Aves	RYR	1	VWPV01031520.1	0.5634	0.6928	2799	0	0	0	0	1	0	1		0	47040	0	0	not_scored	coverage 0.56 < 0.7
GCA_013389885.1	Geococcyx californianus	Aves	RYR	2	VWPV01000077.1	0.3549	0.9807	1763	0	0	0	0	1	0	64		0	47040	0	0	not_scored	coverage 0.35 < 0.7
GCA_013389965.1	Todus mexicanus	Aves	ITPR3	0	WEIS01036230.1	1	0.9476	2670	0	0	0	0	1	1	726	TODMEX_R03131	0	8743	0	1	intact	density 0.00 <= bar 1.59
GCA_013389965.1	Todus mexicanus	Aves	RYR	0	WEIS01025216.1	0.8074	0.6968	4067	2	0	2	0.4918	1	1	878		0	8743	0	1	intact	density 0.49 <= bar 1.59
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR1	0	WEIT01025007.1	1	0.9853	2779	0	0	0	0	1	1	247		0	29388	0	1	intact	density 0.00 <= bar 1.59
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR2	0	WEIT01016686.1	0.763	0.9456	2060	0	0	0	0	1	0	47		0	29388	0	1	intact	density 0.00 <= bar 1.59
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR3	0	WEIT01027115.1	1	0.9925	2670	0	1	1	0.3745	0	1	358	DRYGAM_R08247	0	29388	0	1	intact	density 0.37 <= bar 1.59
GCA_013389985.1	Dryoscopus gambensis	Aves	RYR	0	WEIT01008220.1	0.1707	0.7488	851	0	0	0	0	1	1	117		0	29388	0	0	not_scored	coverage 0.17 < 0.7
GCA_013389985.1	Dryoscopus gambensis	Aves	RYR	1	WEIT01027086.1	0.1035	0.9443	516	0	0	0	0	1	1	200		0	29388	0	0	not_scored	coverage 0.10 < 0.7
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR1	0	WEIW01000372.1	1	0.9661	2779	0	0	0	0	0	1	1085		0	39381	0	1	intact	density 0.00 <= bar 1.59
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR2	0	WEIW01000437.1	1	0.9554	2700	0	0	0	0	0	1	1480		0	39381	0	1	intact	density 0.00 <= bar 1.59
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR3	0	WEIW01003401.1	0.9337	0.9224	2493	0	0	0	0	1	1	1380	CHLHAR_R12659	0	39381	0	1	intact	density 0.00 <= bar 1.59
GCA_013390065.1	Chloropsis hardwickii	Aves	RYR	0	WEIW01000007.1	1	0.9679	4968	0	1	1	0.2013	0	1	234	CHLHAR_R11689	0	39381	0	1	intact	density 0.20 <= bar 1.59
GCA_013390065.1	Chloropsis hardwickii	Aves	RYR	1	WEIW01000336.1	1	0.6669	5037	1	0	1	0.1985	1	1	505		0	39381	0	1	intact	density 0.20 <= bar 1.59
GCA_013390105.1	Tichodroma muraria	Aves	ITPR3	0	WAAG01017736.1	1	0.9899	2670	0	0	0	0	0	0	77	Itpr3	1	14901	0	1	intact	density 0.00 <= bar 1.59
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR1	0	VWPS01000057.1	1	0.9863	2779	0	0	0	0	0	0	0		0	85461	0	1	intact	density 0.00 <= bar 1.59
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR2	0	VWPS01000128.1	1	0.9719	2700	0	0	0	0	0	0	0		0	85461	0	1	intact	density 0.00 <= bar 1.59
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR3	0	VWPS01000164.1	1	0.9931	2670	1	0	1	0.3745	0	1	960	MENNOV_R13731	0	85461	0	1	intact	density 0.37 <= bar 1.59
GCA_013396355.1	Menura novaehollandiae	Aves	RYR	0	VWPS01000054.1	0.9974	0.9788	4955	0	0	0	0	0	1	220	Ryr2	1	85461	0	1	intact	density 0.00 <= bar 1.59
GCA_013396355.1	Menura novaehollandiae	Aves	RYR	1	VWPS01000022.1	1	0.6757	5037	0	0	0	0	0	0	30		0	85461	0	1	intact	density 0.00 <= bar 1.59
GCA_013396465.1	Smithornis capensis	Aves	ITPR1	0	VWYW01000920.1	0.9712	0.9856	2699	0	0	0	0	1	1	873		0	67220	0	1	intact	density 0.00 <= bar 1.59
GCA_013396465.1	Smithornis capensis	Aves	ITPR2	0	VWYW01000229.1	1	0.9848	2700	0	0	0	0	0	1	290		0	67220	0	1	intact	density 0.00 <= bar 1.59
GCA_013396465.1	Smithornis capensis	Aves	ITPR3	0	VWYW01001199.1	0.8573	0.84	2289	0	0	0	0	1	1	10109	Itpr3	1	67220	0	1	intact	density 0.00 <= bar 1.59
GCA_013396465.1	Smithornis capensis	Aves	RYR	0	VWYW01000101.1	1	0.9783	4968	0	0	0	0	0	1	10115	Ryr2	1	67220	0	1	intact	density 0.00 <= bar 1.59
GCA_013396465.1	Smithornis capensis	Aves	RYR	1	VWYW01000072.1	1	0.6559	5037	2	0	2	0.3971	0	1	1152		0	67220	0	1	intact	density 0.40 <= bar 1.59
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR1	0	VWYY01001129.1	0.8395	0.9655	2333	0	0	0	0	1	1	15231		0	77643	0	1	intact	density 0.00 <= bar 1.59
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR2	0	VWYY01000731.1	0.9885	0.9798	2669	0	0	0	0	1	1	560		0	77643	0	1	intact	density 0.00 <= bar 1.59
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR3	0	VWYY01003676.1	0.5311	0.8709	1418	0	0	0	0	1	1	1444		0	77643	0	0	not_scored	coverage 0.53 < 0.7
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	RYR	0	VWYY01000123.1	1	0.9777	4968	0	0	0	0	0	1	14670	Ryr2	1	77643	0	1	intact	density 0.00 <= bar 1.59
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	RYR	1	VWYY01000118.1	1	0.6753	5037	0	1	1	0.1985	0	0	50		0	77643	0	1	intact	density 0.20 <= bar 1.59
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR1	0	VWZE01010273.1	0.9971	0.982	2771	0	0	0	0	0	1	121	Itpr1	1	26549	0	1	intact	density 0.00 <= bar 1.59
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR2	0	VWZE01018369.1	0.6381	0.9565	1723	0	0	0	0	1	1	166		0	26549	0	0	not_scored	coverage 0.64 < 0.7
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR3	0	VWZE01023714.1	1	0.9738	2670	0	0	0	0	0	1	577	Itpr3	1	26549	0	1	intact	density 0.00 <= bar 1.59
GCA_013396675.1	Eubucco bourcierii	Aves	RYR	0	VWZE01005099.1	0.7363	0.9795	3658	0	0	0	0	1	1	693	Ryr2_0	1	26549	0	1	intact	density 0.00 <= bar 1.59
GCA_013396675.1	Eubucco bourcierii	Aves	RYR	1	VWZE01015450.1	1	0.6826	4968	0	0	0	0	0	1	791		0	26549	0	1	intact	density 0.00 <= bar 1.59
GCA_013396675.1	Eubucco bourcierii	Aves	RYR	2	VWZE01018075.1	0.2403	0.9724	1194	0	0	0	0	1	0	69		0	26549	0	0	not_scored	coverage 0.24 < 0.7
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR1	0	VWZI01023573.1	0.8178	0.9835	2249	0	0	0	0	1	1	436	PSIHAE_R07019	0	36269	0	1	intact	density 0.00 <= bar 1.59
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR2	0	VWZI01001715.1	0.5256	0.9626	1419	0	0	0	0	1	1	1200		0	36269	0	0	not_scored	coverage 0.53 < 0.7
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR3	0	VWZI01004865.1	1	0.9719	2670	1	0	1	0.3745	0	1	736	PSIHAE_R03075	0	36269	0	1	intact	density 0.37 <= bar 1.59
GCA_013396835.1	Psilopogon haemacephalus	Aves	RYR	0	VWZI01009657.1	1	0.6838	4968	0	0	0	0	0	0	40		0	36269	0	1	intact	density 0.00 <= bar 1.59
GCA_013396835.1	Psilopogon haemacephalus	Aves	RYR	1	VWZI01019360.1	0.6679	0.9786	3318	0	0	0	0	1	0	37		0	36269	0	0	not_scored	coverage 0.67 < 0.7
GCA_013396875.1	Vireo altiloquus	Aves	ITPR1	0	VZRF01009815.1	1	0.9849	2779	0	0	0	0	0	1	840		0	121572	0	1	intact	density 0.00 <= bar 1.59
GCA_013396875.1	Vireo altiloquus	Aves	ITPR2	0	VZRF01000017.1	1	0.9796	2700	0	0	0	0	0	1	287		0	121572	0	1	intact	density 0.00 <= bar 1.59
GCA_013396875.1	Vireo altiloquus	Aves	ITPR3	0	VZRF01014545.1	1	0.9973	2670	1	0	1	0.3745	0	1	547	Itpr3	1	121572	0	1	intact	density 0.37 <= bar 1.59
