accession	organism	vclass	cell	ledger_status	state	rule	reason	best_coverage	contig_n50	contig_spans_gene	control_ok	n_spare_itpr_loci	recon_coverage	recon_gene_equiv	recon_n_contigs	synteny_state	synteny_call	synteny_n_regions	synteny_n_keys	synteny_reason
GCA_029706075.1	Aldrovandia affinis	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	2000165	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_029706075.1	Aldrovandia affinis	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	2000165	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	ITPR1	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	731605	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	ITPR2	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	731605	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	ITPR3	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	731605	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	ITPR1	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3811240	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	ITPR2	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3811240	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	ITPR3	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3811240	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_040091285.1	Ameca splendens	Actinopteri	ITPR1	assembly_gap	present_truncated	R2	locus at coverage 0.50, truncated at a contig edge or an N-run	0.4967	16857	0	1	5	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_040091285.1	Ameca splendens	Actinopteri	ITPR2	assembly_gap	present_truncated	R2	locus at coverage 0.37, truncated at a contig edge or an N-run	0.3688	16857	0	1	5	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_040091285.1	Ameca splendens	Actinopteri	ITPR3	assembly_gap	present_truncated	R2	locus at coverage 0.49, truncated at a contig edge or an N-run	0.4869	16857	0	1	5	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_036373705.1	Amia ocellicauda	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	17465777	1	1	0	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_036373705.1	Amia ocellicauda	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	17465777	1	1	0	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_036373705.1	Amia ocellicauda	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	17465777	1	1	0	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_949987685.1	Ammodytes marinus	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	2041615	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_949987685.1	Ammodytes marinus	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	2041615	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_949987685.1	Ammodytes marinus	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	2041615	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_040054535.1	Antennarius striatus	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	21047747	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_040054535.1	Antennarius striatus	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	21047747	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_040054535.1	Antennarius striatus	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	21047747	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	956540	1	1	0	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	956540	1	1	0	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	956540	1	1	0	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_054883375.1	Arapaima gigas	Actinopteri	ITPR1	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	27159801	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_054883375.1	Arapaima gigas	Actinopteri	ITPR2	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	27159801	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_054883375.1	Arapaima gigas	Actinopteri	ITPR3	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	27159801	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_036250305.1	Ataeniobius toweri	Actinopteri	ITPR1	assembly_gap	present_truncated	R2	locus at coverage 0.50, truncated at a contig edge or an N-run	0.4967	16136	0	1	3	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_036250305.1	Ataeniobius toweri	Actinopteri	ITPR2	assembly_gap	present_truncated	R2	locus at coverage 0.37, truncated at a contig edge or an N-run	0.3688	16136	0	1	3	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_036250305.1	Ataeniobius toweri	Actinopteri	ITPR3	assembly_gap	present_truncated	R2	locus at coverage 0.57, truncated at a contig edge or an N-run	0.5712	16136	0	1	3	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_043380575.1	Atractosteus spatula	Actinopteri	ITPR1	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	15716625	1	1	0	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_043380575.1	Atractosteus spatula	Actinopteri	ITPR2	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	15716625	1	1	0	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_043380575.1	Atractosteus spatula	Actinopteri	ITPR3	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	15716625	1	1	0	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_949987555.1	Borostomias antarcticus	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	959230	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_949987555.1	Borostomias antarcticus	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	959230	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_949987555.1	Borostomias antarcticus	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	959230	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_965364685.1	Capros aper	Actinopteri	ITPR1	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	12853060	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_965364685.1	Capros aper	Actinopteri	ITPR2	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	12853060	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_965364685.1	Capros aper	Actinopteri	ITPR3	found_no_annotation	present_single_locus	R1	one locus at coverage 0.99 >= 0.7	0.9895	12853060	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	1500626	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	1500626	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR3	fragment	present_partial	R3	locus at coverage 0.69 with no assembly excuse	0.6933	1500626	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_039877785.1	Chaetodon trifascialis	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	21327470	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_039877785.1	Chaetodon trifascialis	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	21327470	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_039877785.1	Chaetodon trifascialis	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	21327470	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_033026475.1	Channa argus	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	16561385	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_033026475.1	Channa argus	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	16561385	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_033026475.1	Channa argus	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	16561385	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_902362185.1	Chanos chanos	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	23134051	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_902362185.1	Chanos chanos	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	23134051	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_902362185.1	Chanos chanos	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	23134051	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_036250325.1	Characodon lateralis	Actinopteri	ITPR1	assembly_gap	present_truncated	R2	locus at coverage 0.49, truncated at a contig edge or an N-run	0.4949	18129	0	1	2	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_036250325.1	Characodon lateralis	Actinopteri	ITPR2	assembly_gap	present_truncated	R2	locus at coverage 0.63, truncated at a contig edge or an N-run	0.6312	18129	0	1	2	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_036250325.1	Characodon lateralis	Actinopteri	ITPR3	assembly_gap	present_truncated	R2	locus at coverage 0.36, truncated at a contig edge or an N-run	0.3618	18129	0	1	2	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_018320785.1	Cheilinus undulatus	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	16477222	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_018320785.1	Cheilinus undulatus	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	16477222	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_018320785.1	Cheilinus undulatus	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	16477222	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_963514085.1	Chelon labrosus	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	2544200	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_963514085.1	Chelon labrosus	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	2544200	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_963514085.1	Chelon labrosus	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	2544200	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR1	found_unannotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3631979	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR2	found_unannotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3631979	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR3	found_unannotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3631979	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_033807715.1	Cololabis saira	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	8087617	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_033807715.1	Cololabis saira	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	8087617	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_033807715.1	Cololabis saira	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	8087617	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_963514075.1	Conger conger	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3090688	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_963514075.1	Conger conger	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3090688	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_963514075.1	Conger conger	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3090688	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_052040795.1	Danio rerio	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	59431669	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_052040795.1	Danio rerio	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	59431669	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_052040795.1	Danio rerio	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	59431669	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_054883175.1	Datnioides polota	Actinopteri	ITPR1	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	16887846	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_054883175.1	Datnioides polota	Actinopteri	ITPR2	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	16887846	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_054883175.1	Datnioides polota	Actinopteri	ITPR3	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	16887846	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	542425	1	1	2	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	542425	1	1	2	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	542425	1	1	2	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	found_unannotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	4228958	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR2	found_unannotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	4228958	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR3	found_unannotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	4228958	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	found_unannotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3015437	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR2	found_unannotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3015437	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR3	found_unannotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3015437	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_041902795.1	Electrophorus electricus	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	22449376	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_041902795.1	Electrophorus electricus	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	22449376	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_041902795.1	Electrophorus electricus	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	22449376	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	1448200	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	1448200	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	1448200	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_033978785.1	Entelurus aequoreus	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	2039131	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_033978785.1	Entelurus aequoreus	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	2039131	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_033978785.1	Entelurus aequoreus	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	0.9989	2039131	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_011004845.1	Esox lucius	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	22630263	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_011004845.1	Esox lucius	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	22630263	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_011004845.1	Esox lucius	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	22630263	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_902167405.1	Gadus morhua	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	1015663	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_902167405.1	Gadus morhua	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	1015663	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_902167405.1	Gadus morhua	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	0.9978	1015663	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_019740435.1	Gambusia affinis	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	12906370	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_019740435.1	Gambusia affinis	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	12906370	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_019740435.1	Gambusia affinis	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	12906370	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_046128005.1	Genypterus blacodes	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	4774482	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_046128005.1	Genypterus blacodes	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	4774482	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_046128005.1	Genypterus blacodes	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 0.89 >= 0.7	0.8944	4774482	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_951799975.1	Gobius niger	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3365000	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_951799975.1	Gobius niger	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3365000	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCF_951799975.1	Gobius niger	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	3365000	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR1	assembly_gap	present_truncated	R2	locus at coverage 0.50, truncated at a contig edge or an N-run	0.4967	16062	0	1	7	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR2	assembly_gap	present_truncated	R2	locus at coverage 0.37, truncated at a contig edge or an N-run	0.3688	16062	0	1	7	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
