accession	organism	vclass	contig_n50	contig_spans_gene	control_ok	state_ITPR1	state_ITPR2	state_ITPR3	synteny_ITPR1	synteny_ITPR2	synteny_ITPR3
GCA_014281875.1	Nibea albiflora	Actinopteri	4420150	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_043380555.1	Nothobranchius furzeri	Actinopteri	9298000	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_963971535.1	Notolepis coatsorum	Actinopteri	444000	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_949606895.1	Notothenia rossii	Actinopteri	383412	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_048594095.1	Paramormyrops kingsleyae	Actinopteri	10969524	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_984656905.1	Parequula melbournensis	Actinopteri	5643520	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_042242105.1	Pempheris klunzingeri	Actinopteri	12920725	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_949152265.1	Phoxinus phoxinus	Actinopteri	1988965	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_058707665.1	Platax teira	Actinopteri	30140486	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_047511595.1	Polymixia lowei	Actinopteri	1880763	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_017654505.1	Polyodon spathula	Actinopteri	3441286	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_964638095.1	Poromitra crassiceps	Actinopteri	841497	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_056506795.1	Pristigenys meyeri	Actinopteri	32736534	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_057381845.1	Rhamphochromis longiceps	Actinopteri	31399844	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_965601325.1	Salmo salar	Actinopteri	90035114	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_027409825.1	Scomber japonicus	Actinopteri	4898551	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_900880675.2	Sparus aurata	Actinopteri	2862625	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_902148855.1	Sphaeramia orbicularis	Actinopteri	2360121	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_056824565.1	Stylephorus chordatus	Actinopteri	850304	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_901000725.3	Takifugu rubripes	Actinopteri	3136617	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_933228915.1	Telmatherina bonti	Actinopteri	1254875	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_902500255.1	Thalassophryne amazonica	Actinopteri	2329598	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_045865225.1	Trachurus japonicus	Actinopteri	1015092	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_040091335.1	Xenoophorus captivus	Actinopteri	19941	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	15690	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCF_016859285.1	Xiphias gladius	Actinopteri	5252707	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_960531495.1	Zeus faber	Actinopteri	1449431	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_042186555.1	Aquarana catesbeiana	Amphibia	3396515	1	1	present_truncated	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_027579735.1	Bombina bombina	Amphibia	3759931	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	10388966	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	783846	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_964261635.1	Lissotriton helveticus	Amphibia	7795245	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_901001135.2	Rhinatrema bivittatum	Amphibia	3216284	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_951230385.1	Staurois parvus	Amphibia	611229	1	1	present_single_locus	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCF_000004195.4	Xenopus tropicalis	Amphibia	14634335	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000695815.1	Acanthisitta chloris	Aves	20602	0	1	present_single_locus	present_partial	present_single_locus	not_asked	not_asked	not_asked
GCA_058224745.1	Acrocephalus arundinaceus	Aves	14738253	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013398125.1	Aegotheles bennettii	Aves	65833	0	1	present_single_locus	present_truncated	present_single_locus	not_asked	not_asked	not_asked
GCA_008658365.1	Alca torda	Aves	18221265	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013397815.1	Aleadryas rufinucha	Aves	90297	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_047663525.1	Anas platyrhynchos	Aves	80154792	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_006937325.1	Anomalopteryx didiformis	Aves	824	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013399455.1	Anthoscopus minutus	Aves	49651	0	1	present_single_locus	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCF_000700745.2	Antrostomus carolinensis	Aves	22170	0	1	present_single_locus	present_fragmented	present_single_locus	not_asked	no_neighbourhood	not_asked
GCF_000703405.1	Apaloderma vittatum	Aves	28882	0	1	present_fragmented	present_fragmented	present_single_locus	no_neighbourhood	no_neighbourhood	not_asked
GCF_041296385.2	Aphelocoma coerulescens	Aves	17285536	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000699145.1	Aptenodytes forsteri	Aves	31730	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_965638725.1	Aptenodytes patagonicus	Aves	10636000	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_036417845.1	Apteryx mantelli	Aves	19797665	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_020740795.1	Apus apus	Aves	25561769	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400195.1	Aramus guarauna	Aves	62981	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013401215.1	Atlantisia rogersi	Aves	36139	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCA_013401315.1	Balaeniceps rex	Aves	24547	0	1	present_single_locus	present_truncated	present_single_locus	not_asked	not_asked	not_asked
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	23326060	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_002909625.1	Bambusicola thoracicus	Aves	10597	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCA_013396935.1	Baryphthengus martii	Aves	70136	0	1	present_truncated	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013398615.1	Brachypodius melanocephalos	Aves	85408	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013396975.1	Bucco capensis	Aves	66968	0	1	present_single_locus	present_fragmented	present_truncated	not_asked	no_neighbourhood	not_asked
GCF_000710305.1	Buceros rhinoceros silvestris	Aves	14587	0	1	present_fragmented	present_fragmented	present_single_locus	no_neighbourhood	no_neighbourhood	not_asked
GCA_009769605.1	Bucorvus abyssinicus	Aves	12039478	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400855.1	Buphagus erythrorhynchus	Aves	13219	0	1	present_fragmented	present_truncated	present_fragmented	no_neighbourhood	not_asked	no_neighbourhood
GCA_013398955.1	Callaeas wilsoni	Aves	118426	0	1	present_truncated	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_036013445.1	Caloenas nicobarica	Aves	25101800	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_964195595.1	Calonectris borealis	Aves	4142416	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_003957555.1	Calypte anna	Aves	14522327	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_907165065.1	Caprimulgus europaeus	Aves	30622946	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000690535.1	Cariama cristata	Aves	24645	0	1	present_single_locus	present_fragmented	present_single_locus	not_asked	no_neighbourhood	not_asked
GCA_000699945.1	Cathartes aura	Aves	15248	0	1	present_fragmented	present_partial	present_single_locus	no_neighbourhood	not_asked	not_asked
GCA_013398975.1	Catharus fuscescens	Aves	56061	0	1	present_truncated	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400815.1	Centropus bengalensis	Aves	34951	0	1	present_truncated	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013398575.1	Certhia familiaris	Aves	48850	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013398935.1	Ceuthmochares aereus	Aves	29269	0	1	present_single_locus	present_single_locus	present_truncated	not_asked	not_asked	not_asked
GCA_013401355.1	Ceyx cyanopectus	Aves	14890	0	1	present_truncated	present_single_locus	present_fragmented	not_asked	not_asked	no_neighbourhood
GCF_000747805.2	Chaetura pelagica	Aves	30767	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000708025.1	Charadrius vociferus	Aves	39278	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_036417535.1	Chlamydotis macqueenii	Aves	25335467	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013399075.1	Chloroceryle aenea	Aves	34835	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400585.1	Chloropsis cyanopogon	Aves	24720	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013390065.1	Chloropsis hardwickii	Aves	39381	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_034638445.1	Ciconia boyciana	Aves	35788150	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_035590135.1	Circaetus pectoralis	Aves	43929	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400215.1	Cisticola juncidis	Aves	74140	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013398175.1	Climacteris rufus	Aves	72434	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_028858725.1	Colius striatus	Aves	21931325	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013397635.1	Columbina picui	Aves	24994	0	1	present_single_locus	present_single_locus	present_fragmented	not_asked	not_asked	no_neighbourhood
GCA_054084135.1	Copsychus sechellarum	Aves	12529446	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000691975.1	Corvus brachyrhynchos	Aves	29093	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013399495.1	Corythaixoides concolor	Aves	52683	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_032275445.1	Crypturellus soui	Aves	10551	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013389825.1	Crypturellus undulatus	Aves	99502	0	1	present_single_locus	present_single_locus	present_fragmented	not_asked	not_asked	no_neighbourhood
GCF_017976375.1	Cuculus canorus	Aves	20797936	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_036370855.1	Dromaius novaehollandiae	Aves	24239989	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400955.1	Drymodes brunneopygia	Aves	79910	0	1	present_single_locus	present_truncated	present_single_locus	not_asked	not_asked	not_asked
GCF_014839835.1	Dryobates pubescens	Aves	19150283	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013389985.1	Dryoscopus gambensis	Aves	29388	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000687185.1	Egretta garzetta	Aves	29019	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013398795.1	Elachura formosa	Aves	43159	0	1	present_single_locus	present_single_locus	present_fragmented	not_asked	not_asked	no_call
GCA_013398835.1	Emberiza fucata	Aves	19687	0	1	present_truncated	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400515.1	Erpornis zantholeuca	Aves	45331	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013396675.1	Eubucco bourcierii	Aves	26549	0	1	present_single_locus	present_truncated	present_single_locus	not_asked	not_asked	not_asked
GCF_000690775.1	Eurypyga helias	Aves	24402	0	1	present_single_locus	present_fragmented	present_single_locus	not_asked	no_neighbourhood	not_asked
GCF_023634155.1	Falco peregrinus	Aves	15744644	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000690835.1	Fulmarus glacialis	Aves	25926	0	1	present_truncated	present_truncated	present_single_locus	not_asked	not_asked	not_asked
GCA_013397465.1	Furnarius figulus	Aves	55547	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_964237585.1	Gallinula chloropus	Aves	3673000	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_016699485.2	Gallus gallus	Aves	18834961	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_030936135.1	Gavia stellata	Aves	13765203	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013389885.1	Geococcyx californianus	Aves	47040	0	1	present_single_locus	present_fragmented	present_fragmented	not_asked	no_neighbourhood	no_neighbourhood
GCA_013401295.1	Glareola pratincola	Aves	39898	0	1	present_single_locus	present_single_locus	present_truncated	not_asked	not_asked	not_asked
GCA_013397955.1	Grantiella picta	Aves	100624	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_018139145.2	Gymnogyps californianus	Aves	17075888	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_947461875.1	Haliaeetus albicilla	Aves	4576000	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_020745705.1	Hemiprocne comata	Aves	20531774	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400075.1	Hippolais icterina	Aves	64762	0	1	present_truncated	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013401035.1	Horornis vulcanius	Aves	3129	0	1	present_fragmented	present_truncated	present_truncated	no_neighbourhood	not_asked	not_asked
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	23460	0	1	present_fragmented	present_fragmented	present_single_locus	no_neighbourhood	no_neighbourhood	not_asked
GCA_015883425.2	Lamprotornis superbus	Aves	150307	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_964417175.1	Larus argentatus	Aves	3525167	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_037157495.1	Lathamus discolor	Aves	19972387	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400445.1	Leiothrix lutea	Aves	27764	0	1	present_fragmented	present_single_locus	present_single_locus	no_neighbourhood	not_asked	not_asked
GCF_034619465.1	Leptosomus discolor	Aves	8826436	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_014363365.1	Leucopsar rothschildi	Aves	104200	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCA_002844005.1	Limosa lapponica baueri	Aves	21257	0	1	present_fragmented	present_fragmented	present_single_locus	no_neighbourhood	no_neighbourhood	not_asked
GCA_013398455.1	Loxia curvirostra	Aves	211346	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_001715985.3	Manacus vitellinus	Aves	290580	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013396355.1	Menura novaehollandiae	Aves	85461	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000691845.1	Merops nubicus	Aves	24675	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCF_000695765.1	Mesitornis unicolor	Aves	22740	0	1	present_single_locus	present_partial	present_single_locus	not_asked	not_asked	not_asked
GCA_013397495.1	Mionectes macconnelli	Aves	72805	0	1	present_truncated	present_single_locus	present_fragmented	not_asked	not_asked	corroborated
GCF_035582795.1	Mycteria americana	Aves	36845572	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013397015.1	Myiagra hebetior	Aves	66181	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400655.1	Mystacornis crossleyi	Aves	10653	0	1	present_fragmented	present_single_locus	present_fragmented	no_neighbourhood	not_asked	no_neighbourhood
GCA_013400695.1	Neodrepanis coruscans	Aves	7054	0	1	present_fragmented	present_partial	present_truncated	no_neighbourhood	not_asked	not_asked
GCF_000696875.1	Nestor notabilis	Aves	26546	0	1	present_single_locus	present_truncated	present_single_locus	not_asked	not_asked	not_asked
GCF_047370975.1	Nipponia nippon	Aves	56735934	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_003342845.1	Nothoprocta perdicaria	Aves	95599	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_013368605.1	Nyctibius grandis	Aves	23231768	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013399395.1	Nyctiprogne leucopyga	Aves	28894	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
