panel	accession	organism	vclass	cell	full_found	full_coverage	full_bait	panel_found	panel_coverage	panel_bait	direction	full_coverage_distance_from_bar
basal_only	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	1	0.996	A0A3Q0HBW9|RYR|Alligator_sinensis	0	0.0		loss	0.296
no_ryr_control	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	1	0.996	A0A3Q0HBW9|RYR|Alligator_sinensis	0	0.0		loss	0.296
drop_ITPR1_baits	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	1	0.9975	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.2975
drop_ITPR2_baits	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	1	1.0	F1P1X4|ITPR2|Gallus_gallus|ITPR2	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
basal_only	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	1	0.725	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0	0.0		loss	0.025
no_ryr_control	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	1	0.725	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0	0.0		loss	0.025
human_only	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	1	0.725	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0	0.4262	Q92736|RYR2|Homo_sapiens|RYR2	loss	0.025
basal_only	GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	1	1.0	F1P1X4|ITPR2|Gallus_gallus|ITPR2	0	0.0		loss	0.3
basal_only	GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
basal_only	GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	1	0.7081	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.0081
no_ryr_control	GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	1	0.7081	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.0081
drop_ITPR1_baits	GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	1	1.0	F1P1X4|ITPR2|Gallus_gallus|ITPR2	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
basal_only	GCA_007760645.1	Sousa chinensis	Mammalia	ITPR1	1	1.0	Q14643|ITPR1|Homo_sapiens|ITPR1	0	0.0		loss	0.3
basal_only	GCA_007760645.1	Sousa chinensis	Mammalia	ITPR2	1	1.0	Q14571|ITPR2|Homo_sapiens|ITPR2	0	0.0		loss	0.3
basal_only	GCA_007760645.1	Sousa chinensis	Mammalia	ITPR3	1	1.0	Q14573|ITPR3|Homo_sapiens|ITPR3	0	0.0		loss	0.3
basal_only	GCA_007760645.1	Sousa chinensis	Mammalia	RYR	1	1.0	Q92736|RYR2|Homo_sapiens|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_007760645.1	Sousa chinensis	Mammalia	RYR	1	1.0	Q92736|RYR2|Homo_sapiens|RYR2	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_007760645.1	Sousa chinensis	Mammalia	ITPR1	1	1.0	Q14643|ITPR1|Homo_sapiens|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_007760645.1	Sousa chinensis	Mammalia	ITPR2	1	1.0	Q14571|ITPR2|Homo_sapiens|ITPR2	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_007760645.1	Sousa chinensis	Mammalia	ITPR3	1	1.0	Q14573|ITPR3|Homo_sapiens|ITPR3	0	0.0		loss	0.3
basal_only	GCA_008658365.1	Alca torda	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_008658365.1	Alca torda	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_008658365.1	Alca torda	Aves	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
basal_only	GCA_008658365.1	Alca torda	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_008658365.1	Alca torda	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_008658365.1	Alca torda	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_008658365.1	Alca torda	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_008658365.1	Alca torda	Aves	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
basal_only	GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
basal_only	GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	1	0.993	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.293
no_ryr_control	GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	1	0.993	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.293
drop_ITPR1_baits	GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
basal_only	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
basal_only	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
basal_only	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR1	1	1.0	Q14643|ITPR1|Homo_sapiens|ITPR1	0	0.0		loss	0.3
basal_only	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR2	1	1.0	Q14571|ITPR2|Homo_sapiens|ITPR2	0	0.0		loss	0.3
basal_only	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR3	1	1.0	Q14573|ITPR3|Homo_sapiens|ITPR3	0	0.0		loss	0.3
basal_only	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	1	1.0	Q92736|RYR2|Homo_sapiens|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	1	1.0	Q92736|RYR2|Homo_sapiens|RYR2	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR1	1	1.0	Q14643|ITPR1|Homo_sapiens|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR2	1	1.0	Q14571|ITPR2|Homo_sapiens|ITPR2	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR3	1	1.0	Q14573|ITPR3|Homo_sapiens|ITPR3	0	0.0		loss	0.3
basal_only	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	1	1.0	A0A672IUQ7|ITPR1|Salarias_fasciatus	0	0.0		loss	0.3
basal_only	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR2	1	1.0	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	0	0.0		loss	0.3
basal_only	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR3	1	1.0	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	0	0.0		loss	0.3
basal_only	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	1	1.0	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	1	1.0	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	1	1.0	A0A672IUQ7|ITPR1|Salarias_fasciatus	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR2	1	1.0	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR3	1	1.0	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	0	0.0		loss	0.3
basal_only	GCA_013389825.1	Crypturellus undulatus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_013389825.1	Crypturellus undulatus	Aves	ITPR2	1	1.0	F1P1X4|ITPR2|Gallus_gallus|ITPR2	0	0.0		loss	0.3
basal_only	GCA_013389825.1	Crypturellus undulatus	Aves	RYR	1	0.9386	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2386
no_ryr_control	GCA_013389825.1	Crypturellus undulatus	Aves	RYR	1	0.9386	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2386
drop_ITPR1_baits	GCA_013389825.1	Crypturellus undulatus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_013389825.1	Crypturellus undulatus	Aves	ITPR2	1	1.0	F1P1X4|ITPR2|Gallus_gallus|ITPR2	0	0.0		loss	0.3
basal_only	GCA_013389885.1	Geococcyx californianus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_013389885.1	Geococcyx californianus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	0	0.0		1	0.9993	F1P1X4|ITPR2|Gallus_gallus|ITPR2	gain	0.7
basal_only	GCA_013389965.1	Todus mexicanus	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013389965.1	Todus mexicanus	Aves	RYR	1	0.8074	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0	0.0		loss	0.1074
no_ryr_control	GCA_013389965.1	Todus mexicanus	Aves	RYR	1	0.8074	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0	0.0		loss	0.1074
drop_ITPR3_baits	GCA_013389965.1	Todus mexicanus	Aves	ITPR2	0	0.0		1	1.0	Q14571|ITPR2|Homo_sapiens|ITPR2	gain	0.7
drop_ITPR3_baits	GCA_013389965.1	Todus mexicanus	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR2	1	0.763	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.063
basal_only	GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR2	1	0.763	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.063
drop_ITPR3_baits	GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR3	1	0.9337	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.2337
basal_only	GCA_013390065.1	Chloropsis hardwickii	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_013390065.1	Chloropsis hardwickii	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR3	1	0.9337	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.2337
basal_only	GCA_013390105.1	Tichodroma muraria	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	0	0.0		1	0.9948	Q14571|ITPR2|Homo_sapiens|ITPR2	gain	0.7
drop_ITPR3_baits	GCA_013390105.1	Tichodroma muraria	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013396355.1	Menura novaehollandiae	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_013396355.1	Menura novaehollandiae	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_013396355.1	Menura novaehollandiae	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013396355.1	Menura novaehollandiae	Aves	RYR	1	0.9974	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2974
no_ryr_control	GCA_013396355.1	Menura novaehollandiae	Aves	RYR	1	0.9974	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2974
drop_ITPR1_baits	GCA_013396355.1	Menura novaehollandiae	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_013396355.1	Menura novaehollandiae	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_013396355.1	Menura novaehollandiae	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013396465.1	Smithornis capensis	Aves	ITPR1	1	0.9712	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.2712
basal_only	GCA_013396465.1	Smithornis capensis	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_013396465.1	Smithornis capensis	Aves	ITPR3	1	0.8573	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.1573
basal_only	GCA_013396465.1	Smithornis capensis	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_013396465.1	Smithornis capensis	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_013396465.1	Smithornis capensis	Aves	ITPR1	1	0.9712	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.2712
drop_ITPR2_baits	GCA_013396465.1	Smithornis capensis	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_013396465.1	Smithornis capensis	Aves	ITPR3	1	0.8573	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.1573
basal_only	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR1	1	0.8395	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.1395
basal_only	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR2	1	0.9885	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.2885
basal_only	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR1	1	0.8395	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.1395
drop_ITPR2_baits	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR2	1	0.9885	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.2885
basal_only	GCA_013396675.1	Eubucco bourcierii	Aves	ITPR1	1	0.9971	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.2971
basal_only	GCA_013396675.1	Eubucco bourcierii	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013396675.1	Eubucco bourcierii	Aves	RYR	1	0.7363	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.0363
no_ryr_control	GCA_013396675.1	Eubucco bourcierii	Aves	RYR	1	0.7363	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.0363
drop_ITPR1_baits	GCA_013396675.1	Eubucco bourcierii	Aves	ITPR1	1	0.9971	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.2971
drop_ITPR1_baits	GCA_013396675.1	Eubucco bourcierii	Aves	ITPR2	0	0.6381	A0A672UP22|ITPR2|Strigops_habroptila	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	gain	0.0619
drop_ITPR3_baits	GCA_013396675.1	Eubucco bourcierii	Aves	ITPR2	0	0.6381	A0A672UP22|ITPR2|Strigops_habroptila	1	1.0	F1P1X4|ITPR2|Gallus_gallus|ITPR2	gain	0.0619
drop_ITPR3_baits	GCA_013396675.1	Eubucco bourcierii	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR1	1	0.8178	A0ABM4F3U0|ITPR1|Apteryx_mantelli	0	0.0		loss	0.1178
basal_only	GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013396835.1	Psilopogon haemacephalus	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_013396835.1	Psilopogon haemacephalus	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR1	1	0.8178	A0ABM4F3U0|ITPR1|Apteryx_mantelli	0	0.0		loss	0.1178
drop_ITPR1_baits	GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR2	0	0.5256	A0A672UP22|ITPR2|Strigops_habroptila	1	0.8137	A0A672UP22|ITPR2|Strigops_habroptila	gain	0.1744
drop_ITPR3_baits	GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR2	0	0.5256	A0A672UP22|ITPR2|Strigops_habroptila	1	1.0	Q14571|ITPR2|Homo_sapiens|ITPR2	gain	0.1744
drop_ITPR3_baits	GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013396875.1	Vireo altiloquus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
