accession	organism	vclass	cell	ledger_status	gene_present	has_reference_proteome	proteome_id	n_family_protein_records_species	n_records_resolving_to_any_cell	n_records_resolving_to_cell	recovery_channel
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	found_unannotated	1	1	UP000518266	13	4	0	genome_only:no_record_resolves_to_this_paralog
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR2	found_unannotated	1	1	UP000518266	13	4	0	genome_only:no_record_resolves_to_this_paralog
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR3	found_unannotated	1	1	UP000518266	13	4	0	genome_only:no_record_resolves_to_this_paralog
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	found_annotated	1	1	UP000518266	13	4	4	protein_database_and_genome
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR1	found_unannotated	1	1	UP000534426	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR2	found_unannotated	1	1	UP000534426	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	1	1	UP000534426	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013389825.1	Crypturellus undulatus	Aves	RYR	found_annotated	1	1	UP000534426	6	1	1	protein_database_and_genome
GCA_013389885.1	Geococcyx californianus	Aves	ITPR1	found_unannotated	1	1	UP000531151	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	1	1	UP000531151	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	1	1	UP000531151	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013389885.1	Geococcyx californianus	Aves	RYR	assembly_gap	1	1	UP000531151	6	1	1	protein_database_and_genome
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	1	1	UP000660247	0	0	0	genome_only:no_family_record_for_species
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	1	1	UP000660247	0	0	0	genome_only:no_family_record_for_species
GCA_013389965.1	Todus mexicanus	Aves	ITPR3	found_annotated	1	1	UP000660247	0	0	0	genome_only:no_family_record_for_species
GCA_013389965.1	Todus mexicanus	Aves	RYR	found_unannotated	1	1	UP000660247	0	0	0	genome_only:no_family_record_for_species
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR1	found_unannotated	1	1	UP000604080	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR2	found_unannotated	1	1	UP000604080	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR3	found_annotated	1	1	UP000604080	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013389985.1	Dryoscopus gambensis	Aves	RYR	assembly_gap	1	1	UP000604080	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR1	found_unannotated	1	1	UP000640999	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR2	found_unannotated	1	1	UP000640999	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR3	found_annotated	1	1	UP000640999	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013390065.1	Chloropsis hardwickii	Aves	RYR	found_annotated	1	1	UP000640999	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	1	1	UP000629438	2	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	1	1	UP000629438	2	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013390105.1	Tichodroma muraria	Aves	ITPR3	found_annotated	1	1	UP000629438	2	1	1	protein_database_and_genome
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	1	1	UP000629438	2	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR1	found_unannotated	1	1	UP000521578	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR2	found_unannotated	1	1	UP000521578	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR3	found_annotated	1	1	UP000521578	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013396355.1	Menura novaehollandiae	Aves	RYR	found_annotated	1	1	UP000521578	5	1	1	protein_database_and_genome
GCA_013396465.1	Smithornis capensis	Aves	ITPR1	found_unannotated	1	1	UP000567624	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013396465.1	Smithornis capensis	Aves	ITPR2	found_unannotated	1	1	UP000567624	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013396465.1	Smithornis capensis	Aves	ITPR3	found_annotated	1	1	UP000567624	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013396465.1	Smithornis capensis	Aves	RYR	found_annotated	1	1	UP000567624	6	1	1	protein_database_and_genome
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR1	found_unannotated	1	1	UP000547721	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR2	found_unannotated	1	1	UP000547721	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR3	assembly_gap	1	1	UP000547721	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	RYR	found_annotated	1	1	UP000547721	5	1	1	protein_database_and_genome
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR1	found_annotated	1	1	UP000583613	5	3	1	protein_database_and_genome
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR2	assembly_gap	1	1	UP000583613	5	3	0	genome_only:no_record_resolves_to_this_paralog
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR3	found_annotated	1	1	UP000583613	5	3	1	protein_database_and_genome
GCA_013396675.1	Eubucco bourcierii	Aves	RYR	found_annotated	1	1	UP000583613	5	3	1	protein_database_and_genome
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR1	found_annotated	1	1	UP000574528	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR2	assembly_gap	1	1	UP000574528	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR3	found_annotated	1	1	UP000574528	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013396835.1	Psilopogon haemacephalus	Aves	RYR	found_unannotated	1	1	UP000574528	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013396875.1	Vireo altiloquus	Aves	ITPR1	found_unannotated	1	1	UP000589495	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013396875.1	Vireo altiloquus	Aves	ITPR2	found_unannotated	1	1	UP000589495	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013396875.1	Vireo altiloquus	Aves	ITPR3	found_annotated	1	1	UP000589495	5	2	1	protein_database_and_genome
GCA_013396875.1	Vireo altiloquus	Aves	RYR	found_annotated	1	1	UP000589495	5	2	1	protein_database_and_genome
GCA_013396935.1	Baryphthengus martii	Aves	ITPR1	assembly_gap	1	1	UP000578343	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013396935.1	Baryphthengus martii	Aves	ITPR2	found_unannotated	1	1	UP000578343	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013396935.1	Baryphthengus martii	Aves	ITPR3	found_annotated	1	1	UP000578343	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013396935.1	Baryphthengus martii	Aves	RYR	assembly_gap	1	1	UP000578343	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013396975.1	Bucco capensis	Aves	ITPR1	found_unannotated	1	1	UP000534107	9	0	0	genome_only:records_exist_but_none_full_length
GCA_013396975.1	Bucco capensis	Aves	ITPR2	tblastn_trace	1	1	UP000534107	9	0	0	genome_only:records_exist_but_none_full_length
GCA_013396975.1	Bucco capensis	Aves	ITPR3	assembly_gap	1	1	UP000534107	9	0	0	genome_only:records_exist_but_none_full_length
GCA_013396975.1	Bucco capensis	Aves	RYR	assembly_gap	1	1	UP000534107	9	0	0	genome_only:records_exist_but_none_full_length
GCA_013397015.1	Myiagra hebetior	Aves	ITPR1	found_annotated	1	1	UP000534930	4	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397015.1	Myiagra hebetior	Aves	ITPR2	found_unannotated	1	1	UP000534930	4	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397015.1	Myiagra hebetior	Aves	ITPR3	found_annotated	1	1	UP000534930	4	2	1	protein_database_and_genome
GCA_013397015.1	Myiagra hebetior	Aves	RYR	found_annotated	1	1	UP000534930	4	2	1	protein_database_and_genome
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR1	assembly_gap	1	1	UP000558509	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR2	found_unannotated	1	1	UP000558509	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR3	assembly_gap	1	1	UP000558509	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013397245.1	Thryothorus ludovicianus	Aves	RYR	assembly_gap	1	1	UP000558509	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013397295.1	Polioptila caerulea	Aves	ITPR1	tblastn_trace	1	1	UP000573697	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397295.1	Polioptila caerulea	Aves	ITPR2	found_unannotated	1	1	UP000573697	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397295.1	Polioptila caerulea	Aves	ITPR3	found_annotated	1	1	UP000573697	4	1	1	protein_database_and_genome
GCA_013397295.1	Polioptila caerulea	Aves	RYR	found_annotated	1	1	UP000573697	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR1	found_unannotated	1	1	UP000580691	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR2	found_unannotated	1	1	UP000580691	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR3	found_annotated	1	1	UP000580691	5	2	1	protein_database_and_genome
GCA_013397395.1	Sinosuthora webbiana	Aves	RYR	found_annotated	1	1	UP000580691	5	2	1	protein_database_and_genome
GCA_013397465.1	Furnarius figulus	Aves	ITPR1	found_annotated	1	1	UP000529852	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397465.1	Furnarius figulus	Aves	ITPR2	found_unannotated	1	1	UP000529852	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397465.1	Furnarius figulus	Aves	ITPR3	found_annotated	1	1	UP000529852	5	1	1	protein_database_and_genome
GCA_013397465.1	Furnarius figulus	Aves	RYR	assembly_gap	1	1	UP000529852	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR1	assembly_gap	1	1	UP000525714	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR2	found_unannotated	1	1	UP000525714	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR3	tblastn_trace	1	1	UP000525714	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397495.1	Mionectes macconnelli	Aves	RYR	found_annotated	1	1	UP000525714	6	1	1	protein_database_and_genome
GCA_013397535.1	Pterocles burchelli	Aves	ITPR1	found_unannotated	1	1	UP000522270	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397535.1	Pterocles burchelli	Aves	ITPR2	found_unannotated	1	1	UP000522270	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397535.1	Pterocles burchelli	Aves	ITPR3	found_annotated	1	1	UP000522270	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397535.1	Pterocles burchelli	Aves	RYR	found_annotated	1	1	UP000522270	4	1	1	protein_database_and_genome
GCA_013397635.1	Columbina picui	Aves	ITPR1	found_annotated	1	1	UP000530263	6	2	1	protein_database_and_genome
GCA_013397635.1	Columbina picui	Aves	ITPR2	found_unannotated	1	1	UP000530263	6	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397635.1	Columbina picui	Aves	ITPR3	tblastn_trace	1	1	UP000530263	6	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397635.1	Columbina picui	Aves	RYR	found_annotated	1	1	UP000530263	6	2	1	protein_database_and_genome
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR1	found_unannotated	1	1	UP000557196	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR2	found_unannotated	1	1	UP000557196	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR3	found_annotated	1	1	UP000557196	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	found_unannotated	1	1	UP000557196	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013397895.1	Origma solitaria	Aves	ITPR1	found_unannotated	1	1	UP000571324	9	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397895.1	Origma solitaria	Aves	ITPR2	found_unannotated	1	1	UP000571324	9	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397895.1	Origma solitaria	Aves	ITPR3	found_annotated	1	1	UP000571324	9	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397895.1	Origma solitaria	Aves	RYR	found_annotated	1	1	UP000571324	9	1	1	protein_database_and_genome
GCA_013397955.1	Grantiella picta	Aves	ITPR1	found_unannotated	1	1	UP000575029	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397955.1	Grantiella picta	Aves	ITPR2	found_unannotated	1	1	UP000575029	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397955.1	Grantiella picta	Aves	ITPR3	found_annotated	1	1	UP000575029	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013397955.1	Grantiella picta	Aves	RYR	found_annotated	1	1	UP000575029	4	1	1	protein_database_and_genome
GCA_013398125.1	Aegotheles bennettii	Aves	ITPR1	found_unannotated	1	1	UP000559068	8	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398125.1	Aegotheles bennettii	Aves	ITPR2	assembly_gap	1	1	UP000559068	8	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398125.1	Aegotheles bennettii	Aves	ITPR3	found_annotated	1	1	UP000559068	8	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398125.1	Aegotheles bennettii	Aves	RYR	found_annotated	1	1	UP000559068	8	1	1	protein_database_and_genome
GCA_013398155.1	Pedionomus torquatus	Aves	ITPR1	found_annotated	1	1	UP000565207	4	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398155.1	Pedionomus torquatus	Aves	ITPR2	found_unannotated	1	1	UP000565207	4	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398155.1	Pedionomus torquatus	Aves	ITPR3	found_annotated	1	1	UP000565207	4	2	1	protein_database_and_genome
GCA_013398155.1	Pedionomus torquatus	Aves	RYR	found_annotated	1	1	UP000565207	4	2	1	protein_database_and_genome
GCA_013398175.1	Climacteris rufus	Aves	ITPR1	found_annotated	1	1	UP000580879	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398175.1	Climacteris rufus	Aves	ITPR2	found_unannotated	1	1	UP000580879	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398175.1	Climacteris rufus	Aves	ITPR3	found_annotated	1	1	UP000580879	5	2	1	protein_database_and_genome
GCA_013398175.1	Climacteris rufus	Aves	RYR	found_annotated	1	1	UP000580879	5	2	1	protein_database_and_genome
GCA_013398455.1	Loxia curvirostra	Aves	ITPR1	found_unannotated	1	1	UP000564784	3	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398455.1	Loxia curvirostra	Aves	ITPR2	found_unannotated	1	1	UP000564784	3	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398455.1	Loxia curvirostra	Aves	ITPR3	found_annotated	1	1	UP000564784	3	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398455.1	Loxia curvirostra	Aves	RYR	found_annotated	1	1	UP000564784	3	1	1	protein_database_and_genome
GCA_013398575.1	Certhia familiaris	Aves	ITPR1	found_annotated	1	1	UP000611277	4	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398575.1	Certhia familiaris	Aves	ITPR2	found_unannotated	1	1	UP000611277	4	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398575.1	Certhia familiaris	Aves	ITPR3	found_annotated	1	1	UP000611277	4	2	1	protein_database_and_genome
GCA_013398575.1	Certhia familiaris	Aves	RYR	found_annotated	1	1	UP000611277	4	2	1	protein_database_and_genome
GCA_013398615.1	Brachypodius melanocephalos	Aves	ITPR1	found_unannotated	1	1	UP000540762	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398615.1	Brachypodius melanocephalos	Aves	ITPR2	found_unannotated	1	1	UP000540762	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398615.1	Brachypodius melanocephalos	Aves	ITPR3	found_annotated	1	1	UP000540762	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398615.1	Brachypodius melanocephalos	Aves	RYR	found_annotated	1	1	UP000540762	4	1	1	protein_database_and_genome
GCA_013398795.1	Elachura formosa	Aves	ITPR1	found_unannotated	1	1	UP000623542	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013398795.1	Elachura formosa	Aves	ITPR2	found_unannotated	1	1	UP000623542	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013398795.1	Elachura formosa	Aves	ITPR3	tblastn_trace	1	1	UP000623542	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013398795.1	Elachura formosa	Aves	RYR	found_annotated	1	1	UP000623542	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013398835.1	Emberiza fucata	Aves	ITPR1	assembly_gap	1	1	UP000580681	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398835.1	Emberiza fucata	Aves	ITPR2	found_unannotated	1	1	UP000580681	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398835.1	Emberiza fucata	Aves	ITPR3	found_annotated	1	1	UP000580681	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398835.1	Emberiza fucata	Aves	RYR	found_annotated	1	1	UP000580681	4	1	1	protein_database_and_genome
GCA_013398935.1	Ceuthmochares aereus	Aves	ITPR1	found_unannotated	1	1	UP000519239	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398935.1	Ceuthmochares aereus	Aves	ITPR2	found_unannotated	1	1	UP000519239	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398935.1	Ceuthmochares aereus	Aves	ITPR3	assembly_gap	1	1	UP000519239	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398935.1	Ceuthmochares aereus	Aves	RYR	found_annotated	1	1	UP000519239	6	1	1	protein_database_and_genome
GCA_013398955.1	Callaeas wilsoni	Aves	ITPR1	assembly_gap	1	1	UP000576729	8	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398955.1	Callaeas wilsoni	Aves	ITPR2	found_unannotated	1	1	UP000576729	8	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398955.1	Callaeas wilsoni	Aves	ITPR3	found_annotated	1	1	UP000576729	8	1	0	genome_only:no_record_resolves_to_this_paralog
