accession	organism	vclass	cell	bait	bait_species	bait_band	bait_group	bait_origin	identity	coverage	aligned	found
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	Nothobranchius_furzeri	actinopteri	ray-finned fish	s5_addition	0.765	0.9921	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	A0A8M6Z266|itpr3|Danio_rerio|ITPR3	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7583	0.9932	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	A0A8J0SYK9|itpr3|Xenopus_tropicalis|ITPR3	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8456	0.9959	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Falcunculus_frontatus	aves	bird	s5_addition	0.9371	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	Gallus_gallus	aves	bird	s3_seed	0.9415	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	A0A4W3GWE7|ITPR3|Callorhinchus_milii	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s5_addition	0.7948	0.9958	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	P70227|Itpr3|Mus_musculus|ITPR3	Mus_musculus	mammalia	mammal	s3_seed	0.8851	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	Q14573|ITPR3|Homo_sapiens|ITPR3	Homo_sapiens	mammalia	mammal	s3_seed	0.8889	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	A0A6J0TV85|ITPR3|Pogona_vitticeps	Pogona_vitticeps	reptilia	reptile	s5_addition	0.9322	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	H3B932|ITPR3|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.7731	0.9944	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.852	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.6683	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Gallus_gallus	aves	bird	s3_seed	0.939	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s3_seed	0.6689	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	Petromyzon_marinus	cyclostomata	cyclostome	s3_seed	0.6769	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	Q92736|RYR2|Homo_sapiens|RYR2	Homo_sapiens	mammalia	mammal	s3_seed	0.9241	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0A3Q0HBW9|RYR|Alligator_sinensis	Alligator_sinensis	reptilia	reptile	s5_addition	0.9493	0.996	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	H3BGR5|RYR|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.6562	1.0	1	1
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.6571	0.7247	1	1
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8504	0.725	1	1
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Gallus_gallus	aves	bird	s3_seed	0.6699	0.7234	1	1
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s3_seed	0.8065	0.7228	1	1
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	Petromyzon_marinus	cyclostomata	cyclostome	s3_seed	0.6529	0.7303	1	1
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	Q92736|RYR2|Homo_sapiens|RYR2	Homo_sapiens	mammalia	mammal	s3_seed	0.0	0.0	0	0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	A0A3Q0HBW9|RYR|Alligator_sinensis	Alligator_sinensis	reptilia	reptile	s5_addition	0.6662	0.7276	1	1
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	H3BGR5|RYR|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.8204	0.7257	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	A0A672IUQ7|ITPR1|Salarias_fasciatus	Salarias_fasciatus	actinopteri	ray-finned fish	s5_addition	0.8204	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	A0A8M2BDG0|itpr1a|Danio_rerio|ITPR1	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7856	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	A0A8J0T3U5|itpr1|Xenopus_tropicalis|ITPR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8565	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	Gallus_gallus	aves	bird	s3_seed	0.9412	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	A0ABM4F3U0|ITPR1|Apteryx_mantelli	Apteryx_mantelli	aves	bird	s5_addition	0.946	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	P11881|Itpr1|Mus_musculus|ITPR1	Mus_musculus	mammalia	mammal	s3_seed	0.9027	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	Q14643|ITPR1|Homo_sapiens|ITPR1	Homo_sapiens	mammalia	mammal	s3_seed	0.9	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	A0A670JBK6|ITPR1|Podarcis_muralis	Podarcis_muralis	reptilia	reptile	s5_addition	0.9123	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	H3A1P5|ITPR1|Latimeria_chalumnae|ITPR1	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s3_seed	0.82	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	A0A8M9PQQ3|itpr2|Danio_rerio|ITPR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7232	0.9992	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	Astatotilapia_calliptera	actinopteri	ray-finned fish	s5_addition	0.7235	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	A0A6I8RGU0|itpr2|Xenopus_tropicalis|ITPR2	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8462	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	A0A672UP22|ITPR2|Strigops_habroptila	Strigops_habroptila	aves	bird	s5_addition	0.9408	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	F1P1X4|ITPR2|Gallus_gallus|ITPR2	Gallus_gallus	aves	bird	s3_seed	0.9404	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	Q14571|ITPR2|Homo_sapiens|ITPR2	Homo_sapiens	mammalia	mammal	s3_seed	0.893	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	Q9Z329|Itpr2|Mus_musculus|ITPR2	Mus_musculus	mammalia	mammal	s3_seed	0.8805	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	A0ABM1LG32|ITPR2|Gekko_japonicus	Gekko_japonicus	reptilia	reptile	s5_addition	0.8789	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	Nothobranchius_furzeri	actinopteri	ray-finned fish	s5_addition	0.7296	0.9921	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	A0A8M6Z266|itpr3|Danio_rerio|ITPR3	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7295	0.9932	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	A0A8J0SYK9|itpr3|Xenopus_tropicalis|ITPR3	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8174	0.9959	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Falcunculus_frontatus	aves	bird	s5_addition	0.9505	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	Gallus_gallus	aves	bird	s3_seed	0.9589	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	A0A4W3GWE7|ITPR3|Callorhinchus_milii	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s5_addition	0.7646	0.9958	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	P70227|Itpr3|Mus_musculus|ITPR3	Mus_musculus	mammalia	mammal	s3_seed	0.864	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	Q14573|ITPR3|Homo_sapiens|ITPR3	Homo_sapiens	mammalia	mammal	s3_seed	0.8677	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	A0A6J0TV85|ITPR3|Pogona_vitticeps	Pogona_vitticeps	reptilia	reptile	s5_addition	0.8985	1.0	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	H3B932|ITPR3|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.7467	0.9944	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7875	0.7063	1	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.6341	0.7034	1	1
