accession	cell	min_sufficient_identity
GCA_014839755.1	ITPR1	0.8247
GCA_014839755.1	ITPR2	0.7496
GCA_014839755.1	ITPR3	0.7567
GCA_014839755.1	RYR	0.662
GCA_015883425.2	ITPR1	0.8227
GCA_015883425.2	ITPR2	0.75
GCA_015883425.2	ITPR3	0.7592
GCA_015883425.2	RYR	0.663
GCA_017639675.1	ITPR1	0.8268
GCA_017639675.1	ITPR2	0.7584
GCA_017639675.1	ITPR3	0.7296
GCA_017639675.1	RYR	0.6414
GCA_018340635.1	ITPR1	0.8171
GCA_018340635.1	ITPR3	0.7496
GCA_018340635.1	RYR	0.6286
GCA_019447015.1	ITPR1	0.6374
GCA_019447015.1	ITPR2	0.5091
GCA_019447015.1	ITPR3	0.737
GCA_019447015.1	RYR	0.6509
GCA_020745705.1	ITPR1	0.8258
GCA_020745705.1	ITPR2	0.7483
GCA_020745705.1	ITPR3	0.7514
GCA_020745705.1	RYR	0.6602
GCA_022829145.1	ITPR1	0.8457
GCA_022829145.1	ITPR2	0.7969
GCA_022829145.1	ITPR3	0.7329
GCA_022829145.1	RYR	0.6606
GCA_023764695.1	ITPR1	0.8219
GCA_023764695.1	ITPR2	0.7455
GCA_023764695.1	ITPR3	0.7309
GCA_023764695.1	RYR	0.6639
GCA_023974075.1	ITPR1	0.807
GCA_023974075.1	ITPR2	0.7629
GCA_023974075.1	RYR	0.6348
GCA_027704905.1	ITPR1	0.8152
GCA_027704905.1	ITPR2	0.7549
GCA_027704905.1	ITPR3	0.6984
GCA_027704905.1	RYR	0.6423
GCA_028571685.1	ITPR1	0.8286
GCA_028571685.1	ITPR2	0.745
GCA_028571685.1	ITPR3	0.747
GCA_028571685.1	RYR	0.6616
GCA_029706075.1	ITPR1	0.8282
GCA_029706075.1	ITPR2	0.7858
GCA_029706075.1	ITPR3	0.7288
GCA_029706075.1	RYR	0.6552
GCA_031216635.1	ITPR1	0.8176
GCA_031216635.1	ITPR2	0.7606
GCA_031216635.1	ITPR3	0.7253
GCA_031216635.1	RYR	0.6432
GCA_031835075.1	ITPR1	0.8212
GCA_031835075.1	ITPR2	0.747
GCA_031835075.1	ITPR3	0.7472
GCA_031835075.1	RYR	0.6636
GCA_032275445.1	ITPR1	0.8155
GCA_032275445.1	ITPR2	0.7482
GCA_032275445.1	ITPR3	0.7494
GCA_032275445.1	RYR	0.6088
GCA_033238685.1	ITPR1	0.7974
GCA_033238685.1	ITPR2	0.5468
GCA_033238685.1	ITPR3	0.7269
GCA_033238685.1	RYR	0.6273
GCA_035590135.1	ITPR1	0.8233
GCA_035590135.1	ITPR2	0.7453
GCA_035590135.1	ITPR3	0.7552
GCA_035590135.1	RYR	0.6623
GCA_036247105.2	ITPR1	0.7925
GCA_036247105.2	ITPR2	0.7398
GCA_036247105.2	ITPR3	0.7162
GCA_036247105.2	RYR	0.653
GCA_036250305.1	RYR	0.6396
GCA_040091335.1	RYR	0.644
GCA_043380575.1	ITPR1	0.8558
GCA_043380575.1	ITPR2	0.7885
GCA_043380575.1	ITPR3	0.7506
GCA_043380575.1	RYR	0.6605
GCA_046255725.1	ITPR1	0.8251
GCA_046255725.1	ITPR2	0.7392
GCA_046255725.1	ITPR3	0.7184
GCA_046255725.1	RYR	0.6409
GCA_047511595.1	ITPR1	0.8276
GCA_047511595.1	ITPR2	0.77
GCA_047511595.1	ITPR3	0.6876
GCA_047511595.1	RYR	0.6528
GCA_048126345.2	ITPR1	0.8309
GCA_048126345.2	ITPR2	0.7488
GCA_048126345.2	ITPR3	0.7525
GCA_048126345.2	RYR	0.6636
GCA_048569125.1	ITPR1	0.8282
GCA_048569125.1	ITPR2	0.7669
GCA_048569125.1	ITPR3	0.7279
GCA_048569125.1	RYR	0.6485
GCA_050084785.1	ITPR1	0.8188
GCA_050084785.1	ITPR2	0.7615
GCA_050084785.1	ITPR3	0.7146
GCA_050084785.1	RYR	0.6405
GCA_054084135.1	ITPR1	0.8263
GCA_054084135.1	ITPR2	0.7485
GCA_054084135.1	ITPR3	0.7467
GCA_054084135.1	RYR	0.6631
GCA_054099775.1	ITPR1	0.8239
GCA_054099775.1	ITPR2	0.7526
GCA_054099775.1	ITPR3	0.7596
GCA_054099775.1	RYR	0.6639
GCA_054644205.1	ITPR1	0.8282
GCA_054644205.1	ITPR2	0.75
GCA_054644205.1	ITPR3	0.7518
GCA_054644205.1	RYR	0.6637
GCA_054883175.1	ITPR1	0.8258
GCA_054883175.1	ITPR2	0.775
GCA_054883175.1	ITPR3	0.7297
GCA_054883175.1	RYR	0.6451
GCA_054883375.1	ITPR1	0.8359
GCA_054883375.1	ITPR2	0.7743
GCA_054883375.1	ITPR3	0.7297
GCA_054883375.1	RYR	0.6594
GCA_056506795.1	ITPR1	0.8269
GCA_056506795.1	ITPR2	0.7731
GCA_056506795.1	ITPR3	0.7273
GCA_056506795.1	RYR	0.6439
GCA_056776345.1	ITPR1	0.8257
GCA_056776345.1	ITPR2	0.75
GCA_056776345.1	ITPR3	0.7588
GCA_056776345.1	RYR	0.663
GCA_056783565.1	ITPR1	0.8417
GCA_056783565.1	ITPR2	0.7717
GCA_056783565.1	ITPR3	0.7287
GCA_056783565.1	RYR	0.6566
GCA_056783665.1	ITPR1	0.8425
GCA_056783665.1	ITPR2	0.7973
GCA_056783665.1	ITPR3	0.7439
GCA_056783665.1	RYR	0.6612
GCA_056824565.1	ITPR1	0.8283
GCA_056824565.1	ITPR2	0.7383
GCA_056824565.1	ITPR3	0.6888
GCA_056824565.1	RYR	0.649
GCA_056824585.1	ITPR1	0.7941
GCA_056824585.1	ITPR2	0.7707
GCA_056824585.1	ITPR3	0.7393
GCA_056824585.1	RYR	0.6549
GCA_057876775.1	ITPR1	0.8137
GCA_057876775.1	ITPR2	0.7215
GCA_057876775.1	ITPR3	0.739
GCA_057876775.1	RYR	0.6609
GCA_058224745.1	ITPR1	0.8252
GCA_058224745.1	ITPR2	0.7497
GCA_058224745.1	ITPR3	0.7512
GCA_058224745.1	RYR	0.663
GCA_058707665.1	ITPR1	0.8233
GCA_058707665.1	ITPR2	0.7721
GCA_058707665.1	ITPR3	0.7314
GCA_058707665.1	RYR	0.6482
GCA_951230385.1	ITPR1	0.7985
GCA_951230385.1	RYR	0.6515
GCA_965364685.1	ITPR1	0.8245
GCA_965364685.1	ITPR2	0.7654
GCA_965364685.1	ITPR3	0.7176
GCA_965364685.1	RYR	0.6453
GCA_980438365.1	ITPR1	0.823
GCA_980438365.1	ITPR2	0.7689
GCA_980438365.1	ITPR3	0.7299
GCA_980438365.1	RYR	0.643
GCA_984656905.1	ITPR1	0.8291
GCA_984656905.1	ITPR2	0.7697
GCA_984656905.1	ITPR3	0.7312
GCA_984656905.1	RYR	0.6448
GCA_987193245.1	ITPR1	0.8202
GCA_987193245.1	ITPR2	0.7455
GCA_987193245.1	ITPR3	0.7441
GCA_987193245.1	RYR	0.66
GCF_000001405.40	ITPR1	0.8231
GCF_000001405.40	ITPR2	0.7492
GCF_000001405.40	ITPR3	0.7481
GCF_000001405.40	RYR	0.6634
GCF_000001635.27	ITPR1	0.8265
GCF_000001635.27	ITPR2	0.7452
GCF_000001635.27	ITPR3	0.7307
GCF_000001635.27	RYR	0.6612
GCF_000004195.4	ITPR1	0.8194
GCF_000004195.4	ITPR2	0.7464
GCF_000004195.4	ITPR3	0.7463
GCF_000004195.4	RYR	0.6582
GCF_000243295.1	ITPR1	0.8088
GCF_000243295.1	ITPR2	0.6864
GCF_000243295.1	ITPR3	0.7367
GCF_000243295.1	RYR	0.6508
GCF_000298275.1	ITPR1	0.8275
GCF_000298275.1	ITPR2	0.7476
GCF_000298275.1	ITPR3	0.7476
GCF_000298275.1	RYR	0.6544
GCF_000299155.1	ITPR1	0.8208
GCF_000299155.1	ITPR2	0.7483
GCF_000299155.1	ITPR3	0.7373
GCF_000299155.1	RYR	0.6603
GCF_000334495.1	ITPR1	0.8227
GCF_000334495.1	ITPR2	0.7464
GCF_000334495.1	ITPR3	0.7308
GCF_000334495.1	RYR	0.6418
GCF_000687185.1	ITPR1	0.8195
GCF_000687185.1	ITPR2	0.7343
GCF_000687185.1	ITPR3	0.7492
GCF_000687185.1	RYR	0.6261
GCF_000687285.1	ITPR3	0.7454
GCF_000687285.1	RYR	0.626
GCF_000690535.1	ITPR1	0.8269
GCF_000690535.1	ITPR3	0.7548
GCF_000690775.1	ITPR1	0.8255
GCF_000690775.1	ITPR3	0.7518
GCF_000690835.1	ITPR3	0.7417
GCF_000691845.1	RYR	0.654
GCF_000691975.1	ITPR1	0.824
GCF_000691975.1	ITPR2	0.7478
GCF_000691975.1	ITPR3	0.7587
GCF_000691975.1	RYR	0.6293
GCF_000695765.1	ITPR1	0.825
GCF_000695765.1	ITPR3	0.7487
GCF_000695815.1	ITPR1	0.8227
GCF_000695815.1	ITPR3	0.7087
GCF_000695815.1	RYR	0.6509
GCF_000696875.1	ITPR1	0.8228
GCF_000696875.1	ITPR3	0.7391
GCF_000698965.1	ITPR1	0.826
GCF_000698965.1	ITPR2	0.7419
GCF_000698965.1	ITPR3	0.7392
GCF_000698965.1	RYR	0.6574
GCF_000699105.1	ITPR1	0.8225
GCF_000699105.1	ITPR2	0.7426
GCF_000699105.1	ITPR3	0.7506
GCF_000699105.1	RYR	0.6626
GCF_000699145.1	ITPR1	0.8225
GCF_000699145.1	ITPR2	0.7501
GCF_000699145.1	ITPR3	0.7492
GCF_000699145.1	RYR	0.6619
GCF_000699245.1	ITPR1	0.8242
GCF_000699245.1	ITPR3	0.7203
GCF_000699245.1	RYR	0.6054
GCF_000700745.2	ITPR1	0.8236
GCF_000700745.2	ITPR3	0.7405
GCF_000703405.1	ITPR3	0.7393
GCF_000705375.1	ITPR1	0.8248
GCF_000705375.1	RYR	0.6628
GCF_000708025.1	ITPR1	0.8232
GCF_000708025.1	ITPR2	0.7364
GCF_000708025.1	ITPR3	0.7528
GCF_000708025.1	RYR	0.6625
GCF_000710305.1	ITPR3	0.7424
GCF_000710305.1	RYR	0.6111
GCF_000747805.2	ITPR1	0.8228
GCF_000747805.2	ITPR2	0.7446
GCF_000747805.2	ITPR3	0.7474
GCF_000747805.2	RYR	0.6629
GCF_001715985.3	ITPR1	0.8252
GCF_001715985.3	ITPR2	0.7479
GCF_001715985.3	ITPR3	0.7554
GCF_001715985.3	RYR	0.6623
GCF_003342845.1	ITPR1	0.8266
GCF_003342845.1	ITPR2	0.7456
GCF_003342845.1	ITPR3	0.7497
GCF_003342845.1	RYR	0.6575
GCF_003668045.3	ITPR1	0.8259
GCF_003668045.3	ITPR2	0.7445
GCF_003668045.3	ITPR3	0.7348
GCF_003668045.3	RYR	0.662
GCF_003957555.1	ITPR1	0.8273
GCF_003957555.1	ITPR2	0.7522
GCF_003957555.1	ITPR3	0.7311
GCF_003957555.1	RYR	0.6601
GCF_004115215.2	ITPR1	0.8187
GCF_004115215.2	ITPR2	0.7357
GCF_004115215.2	ITPR3	0.7525
GCF_004115215.2	RYR	0.6522
GCF_009764475.1	ITPR1	0.8147
GCF_009764475.1	ITPR2	0.7261
GCF_009764475.1	ITPR3	0.7296
GCF_009764475.1	RYR	0.6646
GCF_009769465.1	ITPR1	0.8225
GCF_009769465.1	ITPR2	0.7541
GCF_009769465.1	ITPR3	0.7579
GCF_009769465.1	RYR	0.6627
GCF_011004845.1	ITPR1	0.8245
GCF_011004845.1	ITPR2	0.7699
GCF_011004845.1	ITPR3	0.7395
GCF_011004845.1	RYR	0.6512
GCF_011004875.1	ITPR1	0.8272
GCF_011004875.1	ITPR2	0.7526
GCF_011004875.1	ITPR3	0.7576
GCF_011004875.1	RYR	0.6642
GCF_013368585.1	ITPR1	0.8417
GCF_013368585.1	ITPR2	0.7924
GCF_013368585.1	ITPR3	0.7482
GCF_013368585.1	RYR	0.662
GCF_013368605.1	ITPR1	0.8239
GCF_013368605.1	ITPR2	0.7519
GCF_013368605.1	ITPR3	0.7591
GCF_013368605.1	RYR	0.6624
GCF_014839835.1	ITPR1	0.8247
GCF_014839835.1	ITPR2	0.7463
GCF_014839835.1	ITPR3	0.743
GCF_014839835.1	RYR	0.6635
GCF_016433145.1	ITPR1	0.7935
GCF_016433145.1	ITPR2	0.7404
GCF_016433145.1	ITPR3	0.7302
GCF_016433145.1	RYR	0.6628
GCF_016699485.2	ITPR1	0.8228
GCF_016699485.2	ITPR2	0.7504
GCF_016699485.2	ITPR3	0.7534
GCF_016699485.2	RYR	0.6632
GCF_016859285.1	ITPR1	0.8307
GCF_016859285.1	ITPR2	0.7731
GCF_016859285.1	ITPR3	0.734
GCF_016859285.1	RYR	0.6431
GCF_017639515.1	ITPR1	0.8188
GCF_017639515.1	ITPR2	0.7234
GCF_017639515.1	ITPR3	0.7378
GCF_017639515.1	RYR	0.6616
GCF_017654505.1	ITPR1	0.8425
GCF_017654505.1	ITPR2	0.7802
GCF_017654505.1	ITPR3	0.7424
GCF_017654505.1	RYR	0.6611
GCF_017976375.1	ITPR1	0.8238
GCF_017976375.1	ITPR2	0.7495
GCF_017976375.1	ITPR3	0.7568
GCF_017976375.1	RYR	0.666
GCF_018139145.2	ITPR1	0.825
GCF_018139145.2	ITPR2	0.7537
GCF_018139145.2	ITPR3	0.7559
GCF_018139145.2	RYR	0.6644
GCF_018320785.1	ITPR1	0.8128
GCF_018320785.1	ITPR2	0.7582
GCF_018320785.1	ITPR3	0.7282
GCF_018320785.1	RYR	0.6406
GCF_018691265.1	ITPR1	0.8244
GCF_018691265.1	ITPR2	0.7519
GCF_018691265.1	ITPR3	0.7555
GCF_018691265.1	RYR	0.6624
GCF_018977255.1	ITPR1	0.82
GCF_018977255.1	ITPR2	0.7192
GCF_018977255.1	ITPR3	0.7404
GCF_018977255.1	RYR	0.657
GCF_019279795.1	ITPR1	0.753
GCF_019279795.1	ITPR2	0.7291
GCF_019279795.1	ITPR3	0.7334
GCF_019279795.1	RYR	0.6644
GCF_019393635.1	ITPR1	0.8294
GCF_019393635.1	ITPR2	0.7509
GCF_019393635.1	ITPR3	0.746
GCF_019393635.1	RYR	0.6592
GCF_019740435.1	ITPR1	0.7989
GCF_019740435.1	ITPR2	0.7271
GCF_019740435.1	ITPR3	0.7048
GCF_019740435.1	RYR	0.6403
GCF_020171115.1	ITPR1	0.8229
GCF_020171115.1	ITPR2	0.7492
GCF_020171115.1	ITPR3	0.7504
GCF_020171115.1	RYR	0.6632
GCF_020740795.1	ITPR1	0.8257
GCF_020740795.1	ITPR2	0.7517
GCF_020740795.1	ITPR3	0.751
GCF_020740795.1	RYR	0.6636
GCF_020826845.1	ITPR1	0.824
GCF_020826845.1	ITPR2	0.7472
GCF_020826845.1	ITPR3	0.7459
GCF_020826845.1	RYR	0.662
GCF_021028975.2	ITPR1	0.7039
GCF_021028975.2	ITPR2	0.7358
GCF_021028975.2	ITPR3	0.7493
GCF_021028975.2	RYR	0.6598
GCF_021292245.1	ITPR1	0.8254
GCF_021292245.1	ITPR2	0.7634
GCF_021292245.1	ITPR3	0.7288
GCF_021292245.1	RYR	0.6458
GCF_021613505.1	ITPR1	0.8266
GCF_021613505.1	ITPR2	0.7472
GCF_021613505.1	ITPR3	0.746
GCF_021613505.1	RYR	0.6645
GCF_023634155.1	ITPR1	0.8258
GCF_023634155.1	ITPR2	0.7521
GCF_023634155.1	ITPR3	0.7597
GCF_023634155.1	RYR	0.663
GCF_023851605.1	ITPR1	0.8243
GCF_023851605.1	ITPR2	0.7484
GCF_023851605.1	ITPR3	0.7458
GCF_023851605.1	RYR	0.6593
GCF_024166365.1	ITPR1	0.8234
GCF_024166365.1	ITPR2	0.7473
GCF_024166365.1	ITPR3	0.7382
GCF_024166365.1	RYR	0.6644
GCF_025201925.1	ITPR1	0.7695
GCF_025201925.1	ITPR2	0.7495
GCF_025201925.1	ITPR3	0.7494
GCF_025201925.1	RYR	0.6635
GCF_027244095.1	ITPR1	0.8232
GCF_027244095.1	ITPR2	0.7455
GCF_027244095.1	ITPR3	0.75
GCF_027244095.1	RYR	0.6615
GCF_027409185.1	ITPR1	0.8278
GCF_027409185.1	ITPR2	0.7455
GCF_027409185.1	ITPR3	0.7421
GCF_027409185.1	RYR	0.6616
GCF_027409825.1	ITPR1	0.8247
GCF_027409825.1	ITPR2	0.7704
GCF_027409825.1	ITPR3	0.7108
GCF_027409825.1	RYR	0.6476
GCF_027579695.1	ITPR1	0.7903
GCF_027579695.1	ITPR2	0.7521
GCF_027579695.1	ITPR3	0.7051
GCF_027579695.1	RYR	0.6562
GCF_027579735.1	ITPR1	0.8003
GCF_027579735.1	ITPR2	0.7489
GCF_027579735.1	ITPR3	0.73
GCF_027579735.1	RYR	0.6495
GCF_027595985.1	ITPR1	0.8239
GCF_027595985.1	ITPR2	0.7332
GCF_027595985.1	ITPR3	0.7377
GCF_027595985.1	RYR	0.6618
GCF_028372415.1	ITPR1	0.8312
GCF_028372415.1	ITPR2	0.7507
GCF_028372415.1	ITPR3	0.7512
GCF_028372415.1	RYR	0.6632
GCF_028389875.1	ITPR1	0.8256
GCF_028389875.1	ITPR2	0.7514
GCF_028389875.1	ITPR3	0.7548
GCF_028389875.1	RYR	0.664
GCF_028858725.1	ITPR1	0.8255
GCF_028858725.1	ITPR2	0.7514
GCF_028858725.1	ITPR3	0.7567
GCF_028858725.1	RYR	0.6628
GCF_029633855.1	ITPR1	0.7912
GCF_029633855.1	ITPR2	0.7433
GCF_029633855.1	ITPR3	0.7317
GCF_029633855.1	RYR	0.6413
GCF_029633865.1	ITPR1	0.828
GCF_029633865.1	ITPR2	0.7673
GCF_029633865.1	ITPR3	0.5153
GCF_029633865.1	RYR	0.6469
GCF_030020395.1	ITPR1	0.8254
GCF_030020395.1	ITPR2	0.7485
GCF_030020395.1	ITPR3	0.7368
GCF_030020395.1	RYR	0.658
GCF_030445035.2	ITPR1	0.8244
GCF_030445035.2	ITPR2	0.7431
GCF_030445035.2	ITPR3	0.7386
GCF_030445035.2	RYR	0.6627
GCF_030463565.1	ITPR1	0.8225
