accession	organism	vclass	cell	status	grade	found	control	control_reason	false_negative	s15_state	s15_rule	level	annotated_assembly	annotation_source	contig_n50	scaffold_n50	total_length_bp	spans_gene	best_coverage	recon_coverage
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Chromosome	Y	GenBank	7944	107358006	3438623608	0	0.0	0.6367
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	found_unannotated	found	1	ryr_sister	present in every vertebrate	0			Chromosome	Y	GenBank	7944	107358006	3438623608	0	0.9974	0.0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	21257	283007	1034771378	0	0.0	0.4905
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	21257	283007	1034771378	0	0.0	0.7189
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	21257	283007	1034771378	0	0.9801	0.0
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	found_unannotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	21257	283007	1034771378	0	1.0	0.0
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR1	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	10597	13160	1032295167	0	0.3516	0.0
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	10597	13160	1032295167	0	0.2111	0.0
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR3	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	10597	13160	1032295167	0	0.6295	0.0
GCA_002909625.1	Bambusicola thoracicus	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	10597	13160	1032295167	0	0.1985	0.0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	N	GenBank	27065	3052611	4272214985	0	0.9975	0.0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	N	GenBank	27065	3052611	4272214985	0	1.0	0.0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	N	GenBank	27065	3052611	4272214985	0	1.0	0.0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	found_no_annotation	found	1	ryr_sister	present in every vertebrate	0			Scaffold	N	GenBank	27065	3052611	4272214985	0	0.996	0.0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR1	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	N	GenBank	35581	39330	1558706106	0	0.5817	0.0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	N	GenBank	35581	39330	1558706106	0	0.5616	0.0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR3	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	N	GenBank	35581	39330	1558706106	0	0.5911	0.0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	found_no_annotation	found	1	ryr_sister	present in every vertebrate	0			Scaffold	N	GenBank	35581	39330	1558706106	0	0.725	0.0
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	N	GenBank	824	3350051	1190759065	0	1.0	0.0
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	N	GenBank	824	3350051	1190759065	0	1.0	0.0
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	N	GenBank	824	3350051	1190759065	0	1.0	0.0
GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	found_no_annotation	found	1	ryr_sister	present in every vertebrate	0			Scaffold	N	GenBank	824	3350051	1190759065	0	0.7081	0.0
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR1	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	N	GenBank	113766	19436979	2338882461	0	1.0	0.0
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR2	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	N	GenBank	113766	19436979	2338882461	0	1.0	0.0
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR3	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	N	GenBank	113766	19436979	2338882461	0	1.0	0.0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	found_no_annotation	found	1	ryr_sister	present in every vertebrate	0			Scaffold	N	GenBank	113766	19436979	2338882461	0	1.0	0.0
GCA_008658365.1	Alca torda	Aves	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	18221265	84526827	1178473458	1	1.0	0.0
GCA_008658365.1	Alca torda	Aves	ITPR2	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	18221265	84526827	1178473458	1	1.0	0.0
GCA_008658365.1	Alca torda	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	18221265	84526827	1178473458	1	1.0	0.0
GCA_008658365.1	Alca torda	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Chromosome	Y	GenBank	18221265	84526827	1178473458	1	1.0	0.0
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	12039478	40274051	1132597561	1	1.0	0.0
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR2	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	12039478	40274051	1132597561	1	1.0	0.0
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	12039478	40274051	1132597561	1	1.0	0.0
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Chromosome	Y	GenBank	12039478	40274051	1132597561	1	0.993	0.0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	14700712	85472901	1246226932	1	1.0	0.0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR2	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	14700712	85472901	1246226932	1	1.0	0.0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	14700712	85472901	1246226932	1	1.0	0.0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Chromosome	Y	GenBank	14700712	85472901	1246226932	1	1.0	0.0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	268660	77688133	2594114534	1	1.0	0.0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR2	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	268660	77688133	2594114534	1	1.0	0.0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	268660	77688133	2594114534	1	1.0	0.0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Chromosome	Y	GenBank	268660	77688133	2594114534	1	1.0	0.0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	3015437	36983948	926363279	1	1.0	0.0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	3015437	36983948	926363279	1	1.0	0.0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR3	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	3015437	36983948	926363279	1	1.0	0.0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	3015437	36983948	926363279	1	1.0	0.0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	99502	387774	1021424416	0	1.0	0.0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	99502	387774	1021424416	0	1.0	0.0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	99502	387774	1021424416	0	0.0	0.7581
GCA_013389825.1	Crypturellus undulatus	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	99502	387774	1021424416	0	0.9386	0.0
GCA_013389885.1	Geococcyx californianus	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	47040	59473	1134037073	0	1.0	0.0
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	47040	59473	1134037073	0	0.0	0.9537
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	47040	59473	1134037073	0	0.0	0.9251
GCA_013389885.1	Geococcyx californianus	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	47040	59473	1134037073	0	0.5779	0.0
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	8743	12670	853262227	0	0.0	0.594
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	8743	12670	853262227	0	0.0	0.1737
GCA_013389965.1	Todus mexicanus	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	8743	12670	853262227	0	1.0	0.0
GCA_013389965.1	Todus mexicanus	Aves	RYR	found_unannotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	8743	12670	853262227	0	0.8074	0.0
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	29388	113106	992742094	0	1.0	0.0
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	29388	113106	992742094	0	0.763	0.0
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	29388	113106	992742094	0	1.0	0.0
GCA_013389985.1	Dryoscopus gambensis	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	29388	113106	992742094	0	0.1707	0.0
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	39381	572698	1054347212	0	1.0	0.0
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	39381	572698	1054347212	0	1.0	0.0
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	39381	572698	1054347212	0	0.9337	0.0
GCA_013390065.1	Chloropsis hardwickii	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	39381	572698	1054347212	0	1.0	0.0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	14901	30899	910679850	0	0.0	0.8859
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	14901	30899	910679850	0	0.0	0.7211
GCA_013390105.1	Tichodroma muraria	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	14901	30899	910679850	0	1.0	0.0
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	trace	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	14901	30899	910679850	0	0.0	0.0
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	85461	2360993	1060480557	0	1.0	0.0
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	85461	2360993	1060480557	0	1.0	0.0
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	85461	2360993	1060480557	0	1.0	0.0
GCA_013396355.1	Menura novaehollandiae	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	85461	2360993	1060480557	0	0.9974	0.0
GCA_013396465.1	Smithornis capensis	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	67220	1785105	1061320296	0	0.9712	0.0
GCA_013396465.1	Smithornis capensis	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	67220	1785105	1061320296	0	1.0	0.0
GCA_013396465.1	Smithornis capensis	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	67220	1785105	1061320296	0	0.8573	0.0
GCA_013396465.1	Smithornis capensis	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	67220	1785105	1061320296	0	1.0	0.0
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	77643	1205068	1110559233	0	0.8395	0.0
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	77643	1205068	1110559233	0	0.9885	0.0
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR3	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	77643	1205068	1110559233	0	0.5311	0.0
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	77643	1205068	1110559233	0	1.0	0.0
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	26549	208022	1237629233	0	0.9971	0.0
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	26549	208022	1237629233	0	0.6381	0.0
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	26549	208022	1237629233	0	1.0	0.0
GCA_013396675.1	Eubucco bourcierii	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	26549	208022	1237629233	0	0.7363	0.0
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	36269	297144	1204560348	0	0.8178	0.0
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	36269	297144	1204560348	0	0.5256	0.0
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	36269	297144	1204560348	0	1.0	0.0
GCA_013396835.1	Psilopogon haemacephalus	Aves	RYR	found_unannotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	36269	297144	1204560348	0	1.0	0.0
GCA_013396875.1	Vireo altiloquus	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	121572	668056	1064977253	0	1.0	0.0
GCA_013396875.1	Vireo altiloquus	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	121572	668056	1064977253	0	1.0	0.0
GCA_013396875.1	Vireo altiloquus	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	121572	668056	1064977253	0	1.0	0.0
GCA_013396875.1	Vireo altiloquus	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	121572	668056	1064977253	0	0.9974	0.0
GCA_013396935.1	Baryphthengus martii	Aves	ITPR1	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	70136	225352	1100876976	0	0.6715	0.0
GCA_013396935.1	Baryphthengus martii	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	70136	225352	1100876976	0	0.9885	0.0
GCA_013396935.1	Baryphthengus martii	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	70136	225352	1100876976	0	1.0	0.0
GCA_013396935.1	Baryphthengus martii	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	70136	225352	1100876976	0	0.4229	0.0
GCA_013396975.1	Bucco capensis	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	66968	338467	988120178	0	1.0	0.0
GCA_013396975.1	Bucco capensis	Aves	ITPR2	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	66968	338467	988120178	0	0.0	0.9693
GCA_013396975.1	Bucco capensis	Aves	ITPR3	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	66968	338467	988120178	0	0.6854	0.0
GCA_013396975.1	Bucco capensis	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	66968	338467	988120178	0	0.5366	0.0
GCA_013397015.1	Myiagra hebetior	Aves	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	66181	831089	1049898355	0	1.0	0.0
GCA_013397015.1	Myiagra hebetior	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	66181	831089	1049898355	0	0.9885	0.0
GCA_013397015.1	Myiagra hebetior	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	66181	831089	1049898355	0	1.0	0.0
GCA_013397015.1	Myiagra hebetior	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	66181	831089	1049898355	0	0.9974	0.0
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR1	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	60402	495202	1031447271	0	0.5156	0.0
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	60402	495202	1031447271	0	0.877	0.0
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR3	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	60402	495202	1031447271	0	0.6157	0.0
GCA_013397245.1	Thryothorus ludovicianus	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	60402	495202	1031447271	0	0.6804	0.0
GCA_013397295.1	Polioptila caerulea	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	50944	602916	1038028908	0	0.0	0.9306
GCA_013397295.1	Polioptila caerulea	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	50944	602916	1038028908	0	1.0	0.0
GCA_013397295.1	Polioptila caerulea	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	50944	602916	1038028908	0	1.0	0.0
GCA_013397295.1	Polioptila caerulea	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	50944	602916	1038028908	0	0.9974	0.0
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	78603	970774	1050295543	0	1.0	0.0
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	78603	970774	1050295543	0	1.0	0.0
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	78603	970774	1050295543	0	0.9652	0.0
GCA_013397395.1	Sinosuthora webbiana	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	78603	970774	1050295543	0	1.0	0.0
GCA_013397465.1	Furnarius figulus	Aves	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	55547	650940	1020012445	0	1.0	0.0
