accession	organism	vclass	cell	panel	n_baits	found	best_coverage	best_identity	best_bait
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	no_ryr_control	30	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	no_ryr_control	30	0	0.0	0.0	
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	amniote_only	18	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	amniote_only	18	0	0.387	0.9542	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	amniote_only	18	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	amniote_only	18	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	human_only	4	0	0.3405	0.9554	Q14643|ITPR1|Homo_sapiens|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	human_only	4	0	0.0	0.0	
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	human_only	4	1	0.8244	0.8819	Q14573|ITPR3|Homo_sapiens|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	human_only	4	0	0.4782	0.9314	Q92736|RYR2|Homo_sapiens|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	drop_ray_finned_fish	30	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	drop_ray_finned_fish	30	0	0.387	0.9542	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	drop_ray_finned_fish	30	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	drop_ray_finned_fish	30	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	drop_amphibian	34	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	drop_amphibian	34	0	0.387	0.9542	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	drop_amphibian	34	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	drop_amphibian	34	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	drop_bird	31	0	0.3382	0.9763	A0A670JBK6|ITPR1|Podarcis_muralis
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	drop_bird	31	0	0.0	0.0	
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	drop_bird	31	1	0.8248	0.9216	A0A6J0TV85|ITPR3|Pogona_vitticeps
GCA_000699545.1	Podiceps cristatus	Aves	RYR	drop_bird	31	0	0.4826	0.9605	A0A3Q0HBW9|RYR|Alligator_sinensis
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	drop_cartilaginous_fish	35	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	drop_cartilaginous_fish	35	0	0.387	0.9542	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	drop_cartilaginous_fish	35	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	drop_cartilaginous_fish	35	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	drop_cyclostome	36	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	drop_cyclostome	36	0	0.387	0.9542	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	drop_cyclostome	36	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	drop_cyclostome	36	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	drop_mammal	31	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	drop_mammal	31	0	0.387	0.9542	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	drop_mammal	31	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	drop_mammal	31	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	drop_reptile	34	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	drop_reptile	34	0	0.387	0.9542	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	drop_reptile	34	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	drop_reptile	34	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	drop_lobe_finned_fish	35	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	drop_lobe_finned_fish	35	0	0.387	0.9542	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	drop_lobe_finned_fish	35	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	drop_lobe_finned_fish	35	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	drop_ITPR1_baits	29	0	0.0	0.0	
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	drop_ITPR1_baits	29	0	0.387	0.9542	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	drop_ITPR1_baits	29	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	drop_ITPR1_baits	29	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	drop_ITPR2_baits	30	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	drop_ITPR2_baits	30	0	0.0	0.0	
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	drop_ITPR2_baits	30	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	drop_ITPR2_baits	30	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	drop_ITPR3_baits	28	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	drop_ITPR3_baits	28	1	0.8212	0.6362	A0ABM1LG32|ITPR2|Gekko_japonicus
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	drop_ITPR3_baits	28	0	0.0	0.0	
GCA_000699545.1	Podiceps cristatus	Aves	RYR	drop_ITPR3_baits	28	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	one_per_cell_nonhuman	4	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	one_per_cell_nonhuman	4	0	0.0	0.0	
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	one_per_cell_nonhuman	4	1	0.8217	0.7654	H3B932|ITPR3|Latimeria_chalumnae
GCA_000699545.1	Podiceps cristatus	Aves	RYR	one_per_cell_nonhuman	4	0	0.4954	0.6661	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal
GCA_000699945.1	Cathartes aura	Aves	ITPR1	full38	38	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	full38	38	0	0.3752	0.9852	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699945.1	Cathartes aura	Aves	ITPR3	full38	38	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	full38	38	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	s3_seeds_only	25	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	s3_seeds_only	25	0	0.3748	0.9783	F1P1X4|ITPR2|Gallus_gallus|ITPR2
GCA_000699945.1	Cathartes aura	Aves	ITPR3	s3_seeds_only	25	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	s3_seeds_only	25	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	labelled_only	35	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	labelled_only	35	0	0.3752	0.9852	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699945.1	Cathartes aura	Aves	ITPR3	labelled_only	35	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	labelled_only	35	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	basal_only	3	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	basal_only	3	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR3	basal_only	3	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	RYR	basal_only	3	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR1	no_ryr_control	30	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	no_ryr_control	30	0	0.3752	0.9852	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699945.1	Cathartes aura	Aves	ITPR3	no_ryr_control	30	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	no_ryr_control	30	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR1	amniote_only	18	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	amniote_only	18	0	0.3752	0.9852	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699945.1	Cathartes aura	Aves	ITPR3	amniote_only	18	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	amniote_only	18	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	human_only	4	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	human_only	4	0	0.3754	0.9172	Q14571|ITPR2|Homo_sapiens|ITPR2
GCA_000699945.1	Cathartes aura	Aves	ITPR3	human_only	4	1	0.7469	0.8769	Q14573|ITPR3|Homo_sapiens|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	human_only	4	0	0.486	0.9287	Q92736|RYR2|Homo_sapiens|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	drop_ray_finned_fish	30	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	drop_ray_finned_fish	30	0	0.3752	0.9852	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699945.1	Cathartes aura	Aves	ITPR3	drop_ray_finned_fish	30	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	drop_ray_finned_fish	30	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	drop_amphibian	34	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	drop_amphibian	34	0	0.3752	0.9852	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699945.1	Cathartes aura	Aves	ITPR3	drop_amphibian	34	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	drop_amphibian	34	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	drop_bird	31	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	drop_bird	31	0	0.3754	0.9172	Q14571|ITPR2|Homo_sapiens|ITPR2
GCA_000699945.1	Cathartes aura	Aves	ITPR3	drop_bird	31	1	0.7464	0.9194	A0A6J0TV85|ITPR3|Pogona_vitticeps
GCA_000699945.1	Cathartes aura	Aves	RYR	drop_bird	31	0	0.4817	0.9625	A0A3Q0HBW9|RYR|Alligator_sinensis
GCA_000699945.1	Cathartes aura	Aves	ITPR1	drop_cartilaginous_fish	35	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	drop_cartilaginous_fish	35	0	0.3752	0.9852	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699945.1	Cathartes aura	Aves	ITPR3	drop_cartilaginous_fish	35	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	drop_cartilaginous_fish	35	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	drop_cyclostome	36	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	drop_cyclostome	36	0	0.3752	0.9852	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699945.1	Cathartes aura	Aves	ITPR3	drop_cyclostome	36	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	drop_cyclostome	36	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	drop_mammal	31	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	drop_mammal	31	0	0.3752	0.9852	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699945.1	Cathartes aura	Aves	ITPR3	drop_mammal	31	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	drop_mammal	31	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	drop_reptile	34	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	drop_reptile	34	0	0.3752	0.9852	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699945.1	Cathartes aura	Aves	ITPR3	drop_reptile	34	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	drop_reptile	34	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	drop_lobe_finned_fish	35	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	drop_lobe_finned_fish	35	0	0.3752	0.9852	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699945.1	Cathartes aura	Aves	ITPR3	drop_lobe_finned_fish	35	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	drop_lobe_finned_fish	35	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	drop_ITPR1_baits	29	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	drop_ITPR1_baits	29	0	0.3752	0.9852	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699945.1	Cathartes aura	Aves	ITPR3	drop_ITPR1_baits	29	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	drop_ITPR1_baits	29	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	drop_ITPR2_baits	30	0	0.3691	0.6874	Q14643|ITPR1|Homo_sapiens|ITPR1
GCA_000699945.1	Cathartes aura	Aves	ITPR2	drop_ITPR2_baits	30	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR3	drop_ITPR2_baits	30	1	0.7477	0.9781	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699945.1	Cathartes aura	Aves	RYR	drop_ITPR2_baits	30	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	drop_ITPR3_baits	28	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	drop_ITPR3_baits	28	1	0.7456	0.6225	Q14571|ITPR2|Homo_sapiens|ITPR2
GCA_000699945.1	Cathartes aura	Aves	ITPR3	drop_ITPR3_baits	28	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	RYR	drop_ITPR3_baits	28	0	0.4831	0.9858	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699945.1	Cathartes aura	Aves	ITPR1	one_per_cell_nonhuman	4	0	0.0	0.0	
GCA_000699945.1	Cathartes aura	Aves	ITPR2	one_per_cell_nonhuman	4	0	0.3752	0.8574	A0A6I8RGU0|itpr2|Xenopus_tropicalis|ITPR2
GCA_000699945.1	Cathartes aura	Aves	ITPR3	one_per_cell_nonhuman	4	1	0.7514	0.7451	H3B932|ITPR3|Latimeria_chalumnae
GCA_000699945.1	Cathartes aura	Aves	RYR	one_per_cell_nonhuman	4	0	0.4983	0.6462	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	full38	38	1	1.0	0.8879	Q14643|ITPR1|Homo_sapiens|ITPR1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	full38	38	1	1.0	0.8296	Q14571|ITPR2|Homo_sapiens|ITPR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	full38	38	0	0.0	0.0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	full38	38	1	0.9974	0.8775	Q92736|RYR2|Homo_sapiens|RYR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	s3_seeds_only	25	1	1.0	0.8879	Q14643|ITPR1|Homo_sapiens|ITPR1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	s3_seeds_only	25	1	1.0	0.8296	Q14571|ITPR2|Homo_sapiens|ITPR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	s3_seeds_only	25	0	0.0	0.0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	s3_seeds_only	25	1	0.9974	0.8775	Q92736|RYR2|Homo_sapiens|RYR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	labelled_only	35	1	1.0	0.8879	Q14643|ITPR1|Homo_sapiens|ITPR1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	labelled_only	35	1	1.0	0.8296	Q14571|ITPR2|Homo_sapiens|ITPR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	labelled_only	35	0	0.0	0.0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	labelled_only	35	1	0.9974	0.8775	Q92736|RYR2|Homo_sapiens|RYR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	basal_only	3	0	0.0	0.0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	basal_only	3	0	0.0	0.0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	basal_only	3	0	0.0	0.0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	basal_only	3	0	0.0	0.0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	no_ryr_control	30	1	1.0	0.8879	Q14643|ITPR1|Homo_sapiens|ITPR1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	no_ryr_control	30	1	1.0	0.8296	Q14571|ITPR2|Homo_sapiens|ITPR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	no_ryr_control	30	0	0.0	0.0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	no_ryr_control	30	0	0.0	0.0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	amniote_only	18	1	1.0	0.8879	Q14643|ITPR1|Homo_sapiens|ITPR1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	amniote_only	18	1	1.0	0.8296	Q14571|ITPR2|Homo_sapiens|ITPR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	amniote_only	18	0	0.0	0.0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	amniote_only	18	1	0.9974	0.8775	Q92736|RYR2|Homo_sapiens|RYR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	human_only	4	1	1.0	0.8879	Q14643|ITPR1|Homo_sapiens|ITPR1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	human_only	4	1	1.0	0.8296	Q14571|ITPR2|Homo_sapiens|ITPR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	human_only	4	0	0.0	0.0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	human_only	4	1	0.9974	0.8775	Q92736|RYR2|Homo_sapiens|RYR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	drop_ray_finned_fish	30	1	1.0	0.8879	Q14643|ITPR1|Homo_sapiens|ITPR1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	drop_ray_finned_fish	30	1	1.0	0.8296	Q14571|ITPR2|Homo_sapiens|ITPR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	drop_ray_finned_fish	30	0	0.0	0.0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	drop_ray_finned_fish	30	1	0.9974	0.8775	Q92736|RYR2|Homo_sapiens|RYR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	drop_amphibian	34	1	1.0	0.8879	Q14643|ITPR1|Homo_sapiens|ITPR1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	drop_amphibian	34	1	1.0	0.8296	Q14571|ITPR2|Homo_sapiens|ITPR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	drop_amphibian	34	0	0.0	0.0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	drop_amphibian	34	1	0.9974	0.8775	Q92736|RYR2|Homo_sapiens|RYR2
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	drop_bird	31	1	1.0	0.8879	Q14643|ITPR1|Homo_sapiens|ITPR1
