run	database	round	new_targets	n_included	n_own	n_sister	n_offfamily	sister_frac	sister_rise	growth	offfamily_frac	offfamily_rise	accepted
itpr_acanthamoeba	vertebrata	7	3300	22703	2608	2341	17754	0.1031	-0.2627	1.17	0.782	0.0369	1
itpr_acanthamoeba	vertebrata	8	867	23560	2608	2342	18610	0.0994	-0.2664	1.04	0.7899	0.0079	1
itpr_acanthamoeba	vertebrata	9	1312	24863	2608	2345	19910	0.0943	-0.2715	1.06	0.8008	0.0109	1
itpr_acanthamoeba	vertebrata	10	1421	26266	2608	2345	21313	0.0893	-0.2765	1.06	0.8114	0.0106	0
s20_viridiplantae	viridiplantae	1	56	56	49	0	7	0.0	0.0		0.125	0.0	1
s20_viridiplantae	viridiplantae	2	12	68	54	0	14	0.0	0.0	1.21	0.2059	0.0809	1
s20_viridiplantae	viridiplantae	3	1	69	54	0	15	0.0	0.0	1.01	0.2174	0.0115	1
s20_viridiplantae	viridiplantae	4	1	70	54	0	16	0.0	0.0	1.01	0.2286	0.0112	1
s20_viridiplantae	viridiplantae	5	0	70	54	0	16	0.0	0.0	1.0	0.2286	0.0	1
s20_fungi	fungi	1	39	39	33	0	6	0.0	0.0		0.1538	0.0	1
s20_fungi	fungi	2	3	42	33	0	9	0.0	0.0	1.08	0.2143	0.0605	1
s20_fungi	fungi	3	1400	1442	33	0	1409	0.0	0.0	34.33	0.9771	0.7628	0
s20_fungi	fungi	4	3990	5432	35	0	5397	0.0	0.0	3.77	0.9936	0.0165	0
s20_fungi	fungi	5	533	5964	35	0	5929	0.0	0.0	1.1	0.9941	0.0005	0
s20_fungi	fungi	6	265	6229	35	0	6194	0.0	0.0	1.04	0.9944	0.0003	0
s20_fungi	fungi	7	59	6282	35	0	6247	0.0	0.0	1.01	0.9944	0.0	0
s20_fungi	fungi	8	8	6289	35	0	6254	0.0	0.0	1.0	0.9944	0.0	0
s20_fungi	fungi	9	9	6297	35	0	6262	0.0	0.0	1.0	0.9944	0.0	0
s20_fungi	fungi	10	5	6302	35	0	6267	0.0	0.0	1.0	0.9944	0.0	0
s20_protista_other	protista_other	1	721	721	686	2	33	0.0028	0.0		0.0458	0.0	1
s20_protista_other	protista_other	2	182	903	728	2	173	0.0022	-0.0006	1.25	0.1916	0.1458	1
s20_protista_other	protista_other	3	1096	1995	729	2	1264	0.001	-0.0018	2.21	0.6336	0.442	1
s20_protista_other	protista_other	4	4356	6351	729	42	5580	0.0066	0.0038	3.18	0.8786	0.245	1
s20_protista_other	protista_other	5	1449	7796	729	43	7024	0.0055	0.0027	1.23	0.901	0.0224	1
s20_protista_other	protista_other	6	553	8346	729	43	7574	0.0052	0.0024	1.07	0.9075	0.0065	1
s20_protista_other	protista_other	7	559	8894	729	43	8122	0.0048	0.002	1.07	0.9132	0.0057	1
s20_protista_other	protista_other	8	7657	16530	729	43	15758	0.0026	-0.0002	1.86	0.9533	0.0401	1
s20_protista_other	protista_other	9	6364	22248	729	43	21476	0.0019	-0.0009	1.35	0.9653	0.012	1
s20_protista_other	protista_other	10	4767	26148	729	43	25376	0.0016	-0.0012	1.18	0.9705	0.0052	0
s20_metazoa_nonvert	metazoa_nonvert	1	1952	1952	1081	635	236	0.3253	0.0		0.1209	0.0	1
s20_metazoa_nonvert	metazoa_nonvert	2	407	2358	1174	807	377	0.3422	0.0169	1.21	0.1599	0.039	1
s20_metazoa_nonvert	metazoa_nonvert	3	188	2541	1188	925	428	0.364	0.0387	1.08	0.1684	0.0085	1
s20_metazoa_nonvert	metazoa_nonvert	4	50	2585	1188	941	456	0.364	0.0387	1.02	0.1764	0.008	1
s20_metazoa_nonvert	metazoa_nonvert	5	69	2646	1194	971	481	0.367	0.0417	1.02	0.1818	0.0054	1
s20_metazoa_nonvert	metazoa_nonvert	6	73	2716	1194	982	540	0.3616	0.0363	1.03	0.1988	0.017	1
s20_metazoa_nonvert	metazoa_nonvert	7	70	2786	1194	991	601	0.3557	0.0304	1.03	0.2157	0.0169	1
s20_metazoa_nonvert	metazoa_nonvert	8	42	2828	1194	1001	633	0.354	0.0287	1.02	0.2238	0.0081	1
s20_metazoa_nonvert	metazoa_nonvert	9	62	2888	1194	1004	690	0.3476	0.0223	1.02	0.2389	0.0151	1
s20_metazoa_nonvert	metazoa_nonvert	10	34	2921	1194	1005	722	0.3441	0.0188	1.01	0.2472	0.0083	0
