gene	class_bucket	element	n_positions	frac_of_class	n_residues	frac_of_protein	enrichment	odds_ratio	p_fisher
ITPR3	VUS	nterm_trefoil	34	0.0944	227	0.085	1.111	1.145	0.4775
ITPR3	VUS	channel	30	0.0833	226	0.0846	0.985	0.981	1.0
ITPR3	VUS	MIR	25	0.0694	198	0.0741	0.937	0.922	0.8287
ITPR3	VUS	RIH_N	20	0.0556	197	0.0738	0.753	0.709	0.1924
ITPR3	VUS	RIH_assoc	18	0.05	107	0.0401	1.248	1.314	0.3109
ITPR3	VUS	RIH_C	17	0.0472	140	0.0524	0.901	0.882	0.7042
ITPR3	VUS	cterm	17	0.0472	144	0.0539	0.876	0.852	0.6169
ITPR3	VUS	luminal_loop	10	0.0278	50	0.0187	1.484	1.622	0.2052
ITPR3	VUS	linker_MIR_RIH_N	6	0.0167	42	0.0157	1.06	1.071	0.8204
ITPR3	VUS	selectivity_filter	1	0.0028	7	0.0026	1.06	1.07	1.0
ITPR3	VUS	gate	1	0.0028	5	0.0019	1.484	1.607	0.5154
