paralog	accession	organism	vclass	vorder	mp_id	bait	coverage	identity	aligned_aa	frameshifts	stop_codons	integrity	seq_len	source	kept	reason	name
ITPR3	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	MP000087	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	1.0	0.8856	2670	9	0	elevated_lesions	2680	sweep_model	False	s15a_elevated_lesions	
ITPR1	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9867	2779	0	0	intact	2778	sweep_model	True	ok	ITPR1|Crypturellus_undulatus|GCA_013389825.1
ITPR2	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	MP000010	F1P1X4|ITPR2|Gallus_gallus|ITPR2	1.0	0.98	2700	0	0	intact	2699	sweep_model	True	ok	ITPR2|Crypturellus_undulatus|GCA_013389825.1
ITPR3	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR1	GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.987	2779	0	0	intact	2778	sweep_model	True	ok	ITPR1|Geococcyx_californianus|GCA_013389885.1
ITPR2	GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR3	GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR1	GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR2	GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR3	GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	MP000031	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9476	2670	0	0	intact	2610	sweep_model	True	ok	ITPR3|Todus_mexicanus|GCA_013389965.1
ITPR1	GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9853	2779	0	0	intact	2778	sweep_model	True	ok	ITPR1|Dryoscopus_gambensis|GCA_013389985.1
ITPR2	GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes			0.763	0.9456					0	sweep_model	False	below_quality_bar(found_unannotated)	
ITPR3	GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	MP000049	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9925	2670	0	1	intact	2678	sweep_model	True	ok	ITPR3|Dryoscopus_gambensis|GCA_013389985.1
ITPR1	GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9661	2779	0	0	intact	2798	sweep_model	True	ok	ITPR1|Chloropsis_hardwickii|GCA_013390065.1
ITPR2	GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	MP000048	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9554	2700	0	0	intact	2704	sweep_model	True	ok	ITPR2|Chloropsis_hardwickii|GCA_013390065.1
ITPR3	GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	MP000049	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0.9337	0.9224	2493	0	0	intact	2468	sweep_model	True	ok	ITPR3|Chloropsis_hardwickii|GCA_013390065.1
ITPR1	GCA_013390105.1	Tichodroma muraria	Aves	Passeriformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR2	GCA_013390105.1	Tichodroma muraria	Aves	Passeriformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR3	GCA_013390105.1	Tichodroma muraria	Aves	Passeriformes	MP000025	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9899	2670	0	0	intact	2686	sweep_model	True	ok	ITPR3|Tichodroma_muraria|GCA_013390105.1
ITPR1	GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9863	2779	0	0	intact	2778	sweep_model	True	ok	ITPR1|Menura_novaehollandiae|GCA_013396355.1
ITPR2	GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	MP000049	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9719	2700	0	0	intact	2704	sweep_model	True	ok	ITPR2|Menura_novaehollandiae|GCA_013396355.1
ITPR3	GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	MP000050	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9931	2670	1	0	intact	2669	sweep_model	True	ok	ITPR3|Menura_novaehollandiae|GCA_013396355.1
ITPR1	GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.9712	0.9856	2699	0	0	intact	2699	sweep_model	True	ok	ITPR1|Smithornis_capensis|GCA_013396465.1
ITPR2	GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	MP000052	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9848	2700	0	0	intact	2699	sweep_model	True	ok	ITPR2|Smithornis_capensis|GCA_013396465.1
ITPR3	GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	MP000053	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0.8573	0.84	2289	0	0	intact	2242	sweep_model	True	ok	ITPR3|Smithornis_capensis|GCA_013396465.1
ITPR1	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	MP000004	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.8395	0.9655	2333	0	0	intact	2343	sweep_model	True	ok	ITPR1|Ptilorrhoa_leucosticta|GCA_013396485.1
ITPR2	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	MP000050	A0A672UP22|ITPR2|Strigops_habroptila	0.9885	0.9798	2669	0	0	intact	2672	sweep_model	True	ok	ITPR2|Ptilorrhoa_leucosticta|GCA_013396485.1
ITPR3	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes			0.5311	0.8709					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR1	GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.9971	0.982	2771	0	0	intact	2777	sweep_model	True	ok	ITPR1|Eubucco_bourcierii|GCA_013396675.1
ITPR2	GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes			0.6381	0.9565					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR3	GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	MP000056	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9738	2670	0	0	intact	2674	sweep_model	True	ok	ITPR3|Eubucco_bourcierii|GCA_013396675.1
ITPR1	GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	MP000049	A0ABM4F3U0|ITPR1|Apteryx_mantelli	0.8178	0.9835	2249	0	0	intact	2250	sweep_model	True	ok	ITPR1|Psilopogon_haemacephalus|GCA_013396835.1
ITPR2	GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes			0.5256	0.9626					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR3	GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	MP000053	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9719	2670	1	0	intact	2670	sweep_model	True	ok	ITPR3|Psilopogon_haemacephalus|GCA_013396835.1
ITPR1	GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9849	2779	0	0	intact	2778	sweep_model	True	ok	ITPR1|Vireo_altiloquus|GCA_013396875.1
ITPR2	GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	MP000050	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9796	2700	0	0	intact	2699	sweep_model	True	ok	ITPR2|Vireo_altiloquus|GCA_013396875.1
ITPR3	GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	MP000051	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9973	2670	1	0	intact	2670	sweep_model	True	ok	ITPR3|Vireo_altiloquus|GCA_013396875.1
ITPR1	GCA_013396935.1	Baryphthengus martii	Aves	Coraciiformes			0.6715	0.9936					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR2	GCA_013396935.1	Baryphthengus martii	Aves	Coraciiformes	MP000081	A0A672UP22|ITPR2|Strigops_habroptila	0.9885	0.9768	2669	0	0	intact	2676	sweep_model	True	ok	ITPR2|Baryphthengus_martii|GCA_013396935.1
ITPR3	GCA_013396935.1	Baryphthengus martii	Aves	Coraciiformes	MP000026	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	1.0	0.9771	2664	1	0	intact	2659	sweep_model	True	ok	ITPR3|Baryphthengus_martii|GCA_013396935.1
ITPR1	GCA_013396975.1	Bucco capensis	Aves	Piciformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9867	2779	0	0	intact	2779	sweep_model	True	ok	ITPR1|Bucco_capensis|GCA_013396975.1
ITPR2	GCA_013396975.1	Bucco capensis	Aves	Piciformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR3	GCA_013396975.1	Bucco capensis	Aves	Piciformes			0.6854	0.9858					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR1	GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9845	2779	0	0	intact	2778	sweep_model	True	ok	ITPR1|Myiagra_hebetior|GCA_013397015.1
ITPR2	GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	MP000048	A0A672UP22|ITPR2|Strigops_habroptila	0.9885	0.982	2669	0	0	intact	2668	sweep_model	True	ok	ITPR2|Myiagra_hebetior|GCA_013397015.1
ITPR3	GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	MP000049	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9965	2670	1	0	intact	2670	sweep_model	True	ok	ITPR3|Myiagra_hebetior|GCA_013397015.1
ITPR1	GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes			0.5156	0.9767					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR2	GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes	MP000069	A0A672UP22|ITPR2|Strigops_habroptila	0.877	0.978	2368	0	0	intact	2367	sweep_model	True	ok	ITPR2|Thryothorus_ludovicianus|GCA_013397245.1
ITPR3	GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes			0.6157	0.9927					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR1	GCA_013397295.1	Polioptila caerulea	Aves	Passeriformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR2	GCA_013397295.1	Polioptila caerulea	Aves	Passeriformes	MP000050	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.98	2700	0	0	intact	2699	sweep_model	True	ok	ITPR2|Polioptila_caerulea|GCA_013397295.1
ITPR3	GCA_013397295.1	Polioptila caerulea	Aves	Passeriformes	MP000051	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9732	2670	1	0	intact	2693	sweep_model	True	ok	ITPR3|Polioptila_caerulea|GCA_013397295.1
ITPR1	GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9842	2779	0	1	intact	2778	sweep_model	True	ok	ITPR1|Sinosuthora_webbiana|GCA_013397395.1
ITPR2	GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	MP000051	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9819	2700	0	0	intact	2699	sweep_model	True	ok	ITPR2|Sinosuthora_webbiana|GCA_013397395.1
ITPR3	GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	MP000052	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0.9652	0.9551	2577	0	0	intact	2585	sweep_model	True	ok	ITPR3|Sinosuthora_webbiana|GCA_013397395.1
ITPR1	GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9853	2779	0	0	intact	2780	sweep_model	True	ok	ITPR1|Furnarius_figulus|GCA_013397465.1
ITPR2	GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	MP000054	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9796	2700	0	0	intact	2699	sweep_model	True	ok	ITPR2|Furnarius_figulus|GCA_013397465.1
ITPR3	GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	MP000055	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9888	2670	0	0	intact	2677	sweep_model	True	ok	ITPR3|Furnarius_figulus|GCA_013397465.1
ITPR1	GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes			0.6189	0.9849					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR2	GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes	MP000045	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9819	2700	0	0	intact	2699	sweep_model	True	ok	ITPR2|Mionectes_macconnelli|GCA_013397495.1
ITPR3	GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR1	GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9914	2779	0	0	intact	2778	sweep_model	True	ok	ITPR1|Pterocles_burchelli|GCA_013397535.1
ITPR2	GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	MP000045	A0A672UP22|ITPR2|Strigops_habroptila	0.9885	0.9865	2669	0	0	intact	2668	sweep_model	True	ok	ITPR2|Pterocles_burchelli|GCA_013397535.1
ITPR3	GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	MP000018	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	1.0	0.9857	2664	0	0	intact	2664	sweep_model	True	ok	ITPR3|Pterocles_burchelli|GCA_013397535.1
ITPR1	GCA_013397635.1	Columbina picui	Aves	Columbiformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9773	2779	0	0	intact	2765	sweep_model	True	ok	ITPR1|Columbina_picui|GCA_013397635.1
ITPR2	GCA_013397635.1	Columbina picui	Aves	Columbiformes	MP000048	A0A672UP22|ITPR2|Strigops_habroptila	0.9885	0.9693	2669	0	0	intact	2665	sweep_model	True	ok	ITPR2|Columbina_picui|GCA_013397635.1
ITPR3	GCA_013397635.1	Columbina picui	Aves	Columbiformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR1	GCA_013397815.1	Aleadryas rufinucha	Aves	Passeriformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.986	2779	0	0	intact	2778	sweep_model	True	ok	ITPR1|Aleadryas_rufinucha|GCA_013397815.1
ITPR2	GCA_013397815.1	Aleadryas rufinucha	Aves	Passeriformes	MP000051	A0A672UP22|ITPR2|Strigops_habroptila	0.9956	0.9792	2688	0	0	intact	2687	sweep_model	True	ok	ITPR2|Aleadryas_rufinucha|GCA_013397815.1
ITPR3	GCA_013397815.1	Aleadryas rufinucha	Aves	Passeriformes	MP000052	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0.9652	0.9981	2577	0	0	intact	2577	sweep_model	True	ok	ITPR3|Aleadryas_rufinucha|GCA_013397815.1
ITPR1	GCA_013397895.1	Origma solitaria	Aves	Passeriformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9856	2779	0	0	intact	2778	sweep_model	True	ok	ITPR1|Origma_solitaria|GCA_013397895.1
ITPR2	GCA_013397895.1	Origma solitaria	Aves	Passeriformes	MP000054	A0A672UP22|ITPR2|Strigops_habroptila	0.9885	0.982	2669	0	0	intact	2668	sweep_model	True	ok	ITPR2|Origma_solitaria|GCA_013397895.1
ITPR3	GCA_013397895.1	Origma solitaria	Aves	Passeriformes			0.7067	0.9942					0	sweep_model	False	below_quality_bar(found_annotated)	
ITPR1	GCA_013397955.1	Grantiella picta	Aves	Passeriformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9867	2779	0	0	intact	2779	sweep_model	True	ok	ITPR1|Grantiella_picta|GCA_013397955.1
ITPR2	GCA_013397955.1	Grantiella picta	Aves	Passeriformes	MP000051	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.98	2700	0	0	intact	2699	sweep_model	True	ok	ITPR2|Grantiella_picta|GCA_013397955.1
ITPR3	GCA_013397955.1	Grantiella picta	Aves	Passeriformes	MP000052	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9819	2670	1	0	intact	2688	sweep_model	True	ok	ITPR3|Grantiella_picta|GCA_013397955.1
ITPR1	GCA_013398125.1	Aegotheles bennettii	Aves	Caprimulgiformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9899	2779	0	0	intact	2778	sweep_model	True	ok	ITPR1|Aegotheles_bennettii|GCA_013398125.1
ITPR2	GCA_013398125.1	Aegotheles bennettii	Aves	Caprimulgiformes			0.5063	0.9832					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR3	GCA_013398125.1	Aegotheles bennettii	Aves	Caprimulgiformes			0.708	0.9857					0	sweep_model	False	below_quality_bar(found_annotated)	
ITPR1	GCA_013398155.1	Pedionomus torquatus	Aves	Charadriiformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9824	2779	0	0	intact	2779	sweep_model	True	ok	ITPR1|Pedionomus_torquatus|GCA_013398155.1
