ref_id	kind	source_db	query_id	expect_in_title	fetched_title	fetched_year	fetched_journal	fetched_first_author	verdict	used_for	checked
R156	db	pubmed	33156333	InterPro protein families and domains database	The InterPro protein families and domains database: 20 years on	2021	Nucleic Acids Res	Blum M	verified	the enumerated search space and every per-protein domain architecture	2026-09-09
R157	db	pubmed	36408920	UniProt	UniProt: the Universal Protein Knowledgebase in 2023	2023	Nucleic Acids Res		verified	the reference proteomes, the records and the taxonomy every census row is filed under	2026-09-09
R158	tool	pubmed	20003500	BLAST+	BLAST+: architecture and applications	2009	BMC Bioinformatics	Camacho C	verified	blastp attribution, tblastn rescue and every reciprocal best-hit check	2026-09-09
R159	db	pubmed	38969627	NCBI Datasets	Exploring and retrieving sequence and metadata for species across the tree of life with NCBI Datasets	2024	Sci Data	O'Leary NA	verified	the declared assembly manifests and every genome and annotation fetched	2026-09-09
R160	db	pubmed	37953337	Ensembl	Ensembl 2024	2024	Nucleic Acids Res	Harrison PW	verified	gene structure, the paralogy map and the endpoint probe behind the S0 client change	2026-09-09
R161	db	pubmed	27141089	Ensembl comparative genomics	Ensembl comparative genomics resources	2016	Database (Oxford)	Herrero J	verified	the gene trees and duplication nodes that date each paralogy link	2026-09-09
R162	db	pubmed	25897122	BioMart	The BioMart community portal: an innovative alternative to large, centralized data repositories	2015	Nucleic Acids Res	Smedley D	verified	the pinned-archive paralogy map behind the 2R test	2026-09-09
R163	db	pubmed	21062823	Sequence Read Archive	The sequence read archive	2011	Nucleic Acids Res	Leinonen R	verified	every RNA-seq run streamed for the expression evidence	2026-09-09
R164	tool	pubmed	36648328	miniprot	Protein-to-genome alignment with miniprot	2023	Bioinformatics	Li H	verified	protein-to-genome alignment for all 503 swept genomes	2026-09-09
R165	tool	pubmed	31375807	graph-based genome alignment	Graph-based genome alignment and genotyping with HISAT2 and HISAT-genotype	2019	Nat Biotechnol	Kim D	verified	read mapping for the junction-level expression evidence	2026-09-09
R166	tool	pubmed	15849316	TM-align	TM-align: a protein structure alignment algorithm based on the TM-score	2005	Nucleic Acids Res	Zhang Y	verified	every structural comparison, and the two published bars the calibration figure draws	2026-09-09
R167	method	pubmed	34265844	Highly accurate protein structure prediction	Highly accurate protein structure prediction with AlphaFold	2021	Nature	Jumper J	verified	the predicted models the structural panel is mostly made of	2026-09-09
R168	db	pubmed	34791371	AlphaFold Protein Structure Database	AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models	2022	Nucleic Acids Res	Varadi M	verified	the coverage probe that found the database does not hold this family	2026-09-09
R169	tool	pubmed	37156916	Fast and accurate protein structure search	Fast and accurate protein structure search with Foldseek	2024	Nat Biotechnol	van Kempen M	verified	the optional structure-based homology sweep	2026-09-09
R170	method	crossref	10.1111/j.2517-6161.1995.tb02031.x	Controlling the false discovery rate	Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing	1995	Journal of the Royal Statistical Society Series B: Statistical Methodology	Benjamini Y	verified	every family of tests in the project is corrected together rather than reported one at a time	2026-09-09
R171	method	pubmed	7966282	Position-based sequence weights	Position-based sequence weights	1994	J Mol Biol	Henikoff S	verified	sequence weighting before any column statistic, without which every teleost-specific residue reads as conserved	2026-09-09
R172	method	crossref	10.2307/2412519	Fitting the gene lineage into its species lineage	Fitting the Gene Lineage into its Species Lineage, a Parsimony Strategy Illustrated by Cladograms Constructed from Globin Sequences	1979	Systematic Zoology	Goodman M	verified	the LCA reconciliation mapping	2026-09-09
R173	method	pubmed	11590098	infer gene duplication and speciation events	A simple algorithm to infer gene duplication and speciation events on a gene tree	2001	Bioinformatics	Zmasek CM	verified	the loss count attached to each reconciled node	2026-09-09
R174	method	pubmed	18808330	non-binary species trees	Reconciliation with non-binary species trees	2008	J Comput Biol	Vernot B	verified	the duplication test that stays valid on a polytomy, which the familiar binary rule does not	2026-09-09
R175	method	crossref	10.2307/2412867	Phylogenetic analysis under Dollo's Law	Phylogenetic Analysis Under Dollo's Law	1977	Systematic Zoology	Farris JS	verified	the primary loss count	2026-09-09
R176	method	pubmed	12116640	likelihood approach to estimating phylogeny from discrete morphological character	A likelihood approach to estimating phylogeny from discrete morphological character data	2001	Syst Biol	Lewis PO	verified	the Mk fits run beside the parsimony count	2026-09-09
R177	method	pubmed	15405679	Index for rating diagnostic tests	Index for rating diagnostic tests	1950	Cancer	YOUDEN WJ	verified	the separation statistic every calibration in the project reports beside its threshold	2026-09-09
R178	method	crossref	10.1109/18.61115	Divergence measures based on the Shannon entropy	Divergence measures based on the Shannon entropy	1991	IEEE Transactions on Information Theory	Lin J	verified	the per-column conservation metric, reported beside a composition-free control	2026-09-09
R179	lit	crossref	10.1007/978-3-642-86659-3	Evolution by Gene Duplication	Evolution by Gene Duplication	1970	Springer Berlin Heidelberg	Ohno S	verified	the two-round whole-genome duplication hypothesis the paralogue origin is tested against	2026-09-09
R180	lit	pubmed	16128622	Two rounds of whole genome duplication	Two rounds of whole genome duplication in the ancestral vertebrate	2005	PLoS Biol	Dehal P	verified	the 2R account this project's paralogon test is read against	2026-09-09
R181	lit	pubmed	15496914	Tetraodon nigroviridis	Genome duplication in the teleost fish Tetraodon nigroviridis reveals the early vertebrate proto-karyotype	2004	Nature	Jaillon O	verified	the teleost-specific genome duplication behind the two-copy cells	2026-09-09
R182	lit	pubmed	32313176	Deeply conserved synteny	Deeply conserved synteny resolves early events in vertebrate evolution	2020	Nat Ecol Evol	Simakov O	verified	the current account of what 2R left in the vertebrate genome, against which a weak paralogon signal has to be read	2026-09-09
R183	lit	pubmed	17652425	Reconstruction of the vertebrate ancestral genome	Reconstruction of the vertebrate ancestral genome reveals dynamic genome reorganization in early vertebrates	2007	Genome Res	Nakatani Y	verified	the ancestral linkage groups the ITPR neighbourhoods are placed on	2026-09-09
R184	lit	pubmed	9831563	Zebrafish hox clusters	Zebrafish hox clusters and vertebrate genome evolution	1998	Science	Amores A	verified	the first genomic evidence for the teleost duplication	2026-09-09
R185	lit	pubmed	27762356	Genome evolution in the allotetraploid frog	Genome evolution in the allotetraploid frog Xenopus laevis	2016	Nature	Session AM	verified	the extra-whole-genome-duplication lineages carried as copy-number controls	2026-09-09
R186	lit	pubmed	29358652	sea lamprey germline genome	The sea lamprey germline genome provides insights into programmed genome rearrangement and vertebrate evolution	2018	Nat Genet	Smith JJ	verified	the cyclostome assemblies whose three ITPR loci the bait panel cannot label	2026-09-09
R187	lit	pubmed	30464347	Amphioxus functional genomics	Amphioxus functional genomics and the origins of vertebrate gene regulation	2018	Nature	Marlétaz F	verified	the pre-duplication chordate outgroup	2026-09-09
R188	db	pubmed	35932227	TimeTree 5	TimeTree 5: An Expanded Resource for Species Divergence Times	2022	Mol Biol Evol	Kumar S	verified	the median divergence times behind every node age in the species tree	2026-09-09
R189	lit	crossref	10.26879/424	Constraints on the timescale of animal evolutionary history	Constraints on the timescale of animal evolutionary history	2015	Palaeontologia Electronica	Benton M	verified	the fossil-calibrated bounds quoted beside each TimeTree median	2026-09-09
R190	lit	pubmed	28890940	jawed vertebrate timetree	Phylotranscriptomic consolidation of the jawed vertebrate timetree	2017	Nat Ecol Evol	Irisarri I	verified	the alternative deep vertebrate ages that make the root calibration the widest disagreement in the tree	2026-09-09
R191	lit	pubmed	28683774	Phylogenetic classification of bony fishes	Phylogenetic classification of bony fishes	2017	BMC Evol Biol	Betancur-R R	verified	the teleost topology and the membership of Ovalentaria	2026-09-09
R192	lit	pubmed	26444237	comprehensive phylogeny of birds	A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing	2015	Nature	Prum RO	verified	the avian backbone, where the sweep's contiguity problem is worst	2026-09-09
R193	lit	pubmed	27087500	Evolution by gene loss	Evolution by gene loss	2016	Nat Rev Genet	Albalat R	verified	the expectation that a gene family of this age should have lost copies somewhere	2026-09-09
R194	lit	pubmed	31097009	Next-generation genome annotation	Next-generation genome annotation: we still struggle to get it right	2019	Genome Biol	Salzberg SL	verified	the state of automated annotation this project's audit measures against	2026-09-09
R195	lit	pubmed	33911273	Towards complete and error-free genome assemblies	Towards complete and error-free genome assemblies of all vertebrate species	2021	Nature	Rhie A	verified	the assembly-quality standard behind the contiguity bar every absence claim passes	2026-09-09
R196	lit	pubmed	17150991	Inositol trisphosphate receptor in higher plants	Inositol trisphosphate receptor in higher plants: is it real?	2007	J Exp Bot	Krinke O	verified	the standing question in the plant literature that the land-plant absence answers	2026-09-09
R197	lit	pubmed	18703378	Ca2+ signalling in plants and green algae	Ca2+ signalling in plants and green algae--changing channels	2008	Trends Plant Sci	Wheeler GL	verified	the change in calcium-channel repertoire between the green algae and the land plants	2026-09-09
R198	lit	pubmed	28697370	Evolution of Calcium-Based Signalling in Plants	The Evolution of Calcium-Based Signalling in Plants	2017	Curr Biol	Edel KH	verified	what carries calcium signalling in a lineage that has no IP3 receptor	2026-09-09
R199	lit	pubmed	20456068	Calcium channels in photosynthetic eukaryotes	Calcium channels in photosynthetic eukaryotes: implications for evolution of calcium-based signalling	2010	New Phytol	Verret F	verified	the calcium-channel repertoires of the red algae and the diatoms, two of the absence clades	2026-09-09
R200	lit	pubmed	23485966	genomes of four tapeworm species	The genomes of four tapeworm species reveal adaptations to parasitism	2013	Nature	Tsai IJ	verified	the gene-family losses that accompany parasitism in the Cestoda, one of the absence clades	2026-09-09
R201	lit	pubmed	16188433	Causes and effects of nuclear genome reduction	Causes and effects of nuclear genome reduction	2005	Curr Opin Genet Dev	Keeling PJ	verified	the genome reduction behind the microsporidian and apicomplexan absences	2026-09-09
R202	lit	pubmed	17932292	Chlamydomonas genome reveals the evolution	The Chlamydomonas genome reveals the evolution of key animal and plant functions	2007	Science	Merchant SS	verified	the green alga that carries the receptor the land plants lack	2026-09-09
R203	lit	pubmed	34301952	proto-cyclostome	Reconstruction of proto-vertebrate, proto-cyclostome and proto-gnathostome genomes provides new insights into early vertebrate evolution	2021	Nat Commun	Nakatani Y	verified	the genome-scale placement of the two vertebrate duplications, against which this family's two splits are read	2026-09-09
R204	lit	pubmed	22908297	Gene balance hypothesis	Gene balance hypothesis: connecting issues of dosage sensitivity across biological disciplines	2012	Proc Natl Acad Sci U S A	Birchler JA	verified	the dosage-balance expectation for which duplicate copies are retained	2026-09-09
R205	lit	pubmed	26578810	Rapid genome reshaping by multiple-gene loss	Rapid genome reshaping by multiple-gene loss after whole-genome duplication in teleost fish suggested by mathematical modeling	2015	Proc Natl Acad Sci U S A	Inoue J	verified	the rate at which teleost genomes returned to single copy after their duplication	2026-09-09
R206	lit	pubmed	12956953	Remarkable interkingdom conservation of intron positions	Remarkable interkingdom conservation of intron positions and massive, lineage-specific intron loss and gain in eukaryotic evolution	2003	Curr Biol	Rogozin IB	verified	intron positions as durable characters, which is what the shared-intron result rests on	2026-09-09
R207	lit	pubmed	16485020	evolution of spliceosomal introns	The evolution of spliceosomal introns: patterns, puzzles and progress	2006	Nat Rev Genet	Roy SW	verified	the rates of intron loss and gain that make a shared position informative	2026-09-09
R208	lit	pubmed	12134150	Selection for short introns in highly expressed genes	Selection for short introns in highly expressed genes	2002	Nat Genet	Castillo-Davis CI	verified	the evidence that intron length is under selection	2026-09-09
R209	lit	pubmed	18492248	Evidence against the energetic cost hypothesis	Evidence against the energetic cost hypothesis for the short introns in highly expressed genes	2008	BMC Evol Biol	Huang YF	verified	the contested mechanism behind intron-length selection, cited so the claim is not overstated	2026-09-09
R210	lit	pubmed	32461654	mutational constraint spectrum	The mutational constraint spectrum quantified from variation in 141,456 humans	2020	Nature	Karczewski KJ	verified	the human population constraint on ITPR1	2026-09-09
R211	method	pubmed	10200254	protein phylogenetic profiles	Assigning protein functions by comparative genome analysis: protein phylogenetic profiles	1999	Proc Natl Acad Sci U S A	Pellegrini M	verified	co-occurrence across genomes as a way of asking about function, which a measured range enables	2026-09-09
R212	lit	pubmed	17051209	early evolution of Fungi using a six-gene phylogeny	Reconstructing the early evolution of Fungi using a six-gene phylogeny	2006	Nature	James TY	verified	the fungal backbone against which the early-diverging and derived lineages are named	2026-09-09
R213	lit	pubmed	24368850	Ohnologs are overrepresented in pathogenic copy number	Ohnologs are overrepresented in pathogenic copy number mutations	2014	Proc Natl Acad Sci U S A	McLysaght A	verified	the dosage sensitivity of vertebrate ohnologues, read against ITPR1's deletion phenotype	2026-09-09
