chapter	number	slug	source	formats	width_in	height_in	caption_stub	sha256_png
3	3.1	census_margin	results/census_v2/figures/census_margin	png,pdf	6.59	5.70	The labelled-bait identity margin, inside and outside the no-call band	c8a051265a79e59bf01efc8f68a0681da953ef24a732f051b5d5ccd69148ea2d
3	3.5	profile_separation_vert	results/census_v3/figures/profile_separation	png,pdf	7.52	2.84	Profile separation with the no-call band drawn	a3881b40cafeb302550c3ba22d65170052452c7c4ad6753f343387ae0ed6c715
3	3.6	instrument_agreement	results/census_v3/figures/instrument_agreement	png,pdf	6.64	2.64	Which instrument calls each record	0bc11a28143baa944d85fb552253300e479362915b9df1a804284eb8120b693f
3	3.7	jackhmmer_convergence	results/census_v3/figures/jackhmmer_convergence	png,pdf	6.64	2.54	Convergence against sister-family contamination	34122732d53629554d55c80025b93d5a366bdb81c78294be9d11b96c1b71434f
3	3.8	proteome_copy_number	results/census_v3/figures/proteome_copy_number	png,pdf	6.64	2.44	Copy number per proteome against annotation depth	fab65fc6b001ddb597a434ff94a60ceef16d75509e3b9549894ab1542ccc7225
4	4.1	ledger_by_class	results/genome_ledger/figures/ledger_by_class	png,pdf	6.56	3.46	The three-paralogue ledger across 309 genomes, by class	04c0adb52504effbc0b310a9ba095fcab1a1da0de21ad3b4fe5bb98758d2e45d
4	4.2	ledger_status	results/genome_ledger/figures/ledger_status	png,pdf	6.46	2.82	Cell status across the sweep	5181b9d7e4a17fc72116b1ed700c21b08cd1ab86351074c63c2ac55b7f0541d0
4	4.3	contiguity_confound	results/genome_ledger/figures/contiguity_confound	png,pdf	6.92	2.63	Recovery against assembly contiguity, binned on the bar	7bccd7cc92d4449035feb809ed658327a1dfbb48934cd07937797c8beadeb0a4
4	4.4	ledger_copy_number	results/genome_ledger/figures/copy_number	png,pdf	6.52	2.42	Copy number per genome across the vertebrate sweep	9e6a98710f46f847aaa51c5bed1cd98c55235a1d38f5106b0f1b3c615ab57a1e
4	4.5	s19_contiguity	results/methods/figures/fig_s19_contiguity	png,pdf	6.52	2.31	The measured false-negative rate against contiguity	86c453afa2570392b1c8d6dfad6f538e648364d04d0c7e7d16ed7619e28fb366
4	4.6	s19_panel	results/methods/figures/fig_s19_panel	png,pdf	6.70	2.70	What each bait was worth: the panel ablation	c3719c4ad59731104bde7350d4be3a4567491b84c49bed3936cc0549f2159034
4	4.7	s19_contribution	results/methods/figures/fig_s19_contribution	png,pdf	6.52	2.51	What each search channel contributed	7e75ef31efebd6d233f2c77ea04eda0976660cedba0a2e38164e757e03d44e5b
4	4.8	s19_drift	results/methods/figures/fig_s19_drift	png,pdf	6.99	2.32	The kill criterion scored as a classifier of drift	8022bee3bb0832305084e0301912ec40e0abf805847d8341179f206ab2061c2e
5	5.1	range_by_phylum	results/s20_sweep/figures/range_by_phylum	png,pdf	6.52	7.06	The family across the eukaryotes, as a fraction of swept proteomes	7388ffc00168a5ead1f617bd1d98eeda05ff52745246148af46468d4eab10ef2
5	5.2	profile_separation_euk	results/s20_sweep/figures/profile_separation	png,pdf	4.85	4.21	The same separation outside the vertebrates	81e2687fef34cffaa8904e65166592e875a8478d4382b10e98c7f1ff63b99813
5	5.3	plant_fungal_chase	results/s20_sweep/figures/plant_fungal_chase	png,pdf	6.95	2.42	Every plant and fungal record chased individually	e3532181955ad4c945f938b4abd136aa15514f79a8b817cc9996ed02728fc96d
5	5.4	jackhmmer_s20	results/s20_sweep/figures/jackhmmer_s20	png,pdf	6.52	2.42	Per-group convergence and its sister-family trace	9aba5426c64ab8144b53bdd7fd5dfafb001fb6aa35c2bb5c3d1db0c3df59b2d4
5	5.6	nonvert_copy_number	results/s23_scope/figures/copy_number	png,pdf	6.52	2.72	Copy number outside the vertebrates	9b815f4644a0b838705cadfe982837586f735ab557c30d7d604415d7d65a5808
5	5.5	absence_at_genome	results/s23_scope/figures/absence_at_genome	png,pdf	6.51	6.40	Each absence claim beside the controlled genomes behind it	7cb6bf94b8568e62f8874f69e8a7d131449f9e04738eb7e6ec1cdadb41d21cbc
5	5.7	identity_floor	results/s23_scope/figures/identity_floor	png,pdf	6.53	2.48	The measured identity floor and the populations it separates	e123789d67552e49478e6c283f3db06f664c84cf67c15d00cc38894690310501
5	5.8	span_inflation	results/s23_scope/figures/span_inflation	png,pdf	6.49	2.42	Locus span against coding footprint, by group	0b56e7ef27676c1c315e6029e2962d206cfeee74b76167011a04af20b287e313
6	6.5	msa_conservation	results/msa_v2/figures/msa_conservation	png,pdf	5.70	3.03	Per-column conservation with the architecture mapped through the alignment	bf0472b71632ccf0069000156dab16a7bebfbeb54d104a45027ec0ad12e25287
6	6.3	msa_identity_heatmap	results/msa_v2/figures/msa_identity_heatmap	png,pdf	5.55	4.89	All-pairs identity across the representative set	acc1e52bae30cf58a2f8d6a768542e4775f35e46b17c5def692656e0280f9067
6	6.4	msa_group_identity	results/msa_v2/figures/msa_group_identity	png,pdf	6.51	2.59	Identity within and between groups	1960bb247c638cdae52a720247d58df893e02a9df40b28dd2b3aace740d8c39f
6	6.2	msa_coverage	results/msa_v2/figures/msa_coverage	png,pdf	5.55	2.54	Per-sequence coverage of the alignment	e03457c239767e89584826c3893f23a2b4b77598f87802767de5b82f9da07274
6	6.1	supp_representative_alignment	results/supplementary/figures/SuppFig1_representative_alignment	png,pdf	5.41	5.95	The alignment, and the columns the tree actually saw	cfe246904a031aa8e8d04f790310e899a5e13dcba16ec71e9ef1d3f3101d3444
6	6.6	tree_ml_rooted	results/phylogeny/figures/tree_ml_rooted	png,pdf	8.35	6.92	The rooted maximum-likelihood phylogram	693da436123126ee2c7b8fd21d2fea5c90c6242318cb959e17a5f0fb0caad9d0
6	6.8	sister_au	results/phylogeny/figures/sister_au	png,pdf	6.10	2.96	The AU test on the three sister hypotheses	db38054eebde52e26199c8b01ecb4cca8b18e0595f0686baa0b61a3a16aef581
6	6.9	support_profile	results/phylogeny/figures/support_profile	png,pdf	4.85	2.77	Node support as a joint condition, not two marginals	6a00dacb28c01cf6d97e06d5b69f2c5f5621c0203a1974375b74bea1e825f116
6	6.7	paralog_placement	results/phylogeny/figures/paralog_placement	png,pdf	7.38	4.40	Where the tree places each tip against its census label	336a9c3c1457a70d772943e21344ceee2a900b66b99a57727f5deca9d04df8d9
7	7.3	synteny_paralogon	results/synteny/figures/synteny_paralogon	png,pdf	6.52	4.02	The three human neighbourhoods with their shared ohnologue families	1d108400704e117d6a680b39d45723654f0984aa860821e378545e91ddf5ac14
7	7.1	synteny_pair_classes	results/synteny/figures/synteny_pair_classes	png,pdf	7.20	2.82	Every pair class against its matched random-window control	a7a4ed4376685d7f8866b710a912160167964726bdbc9b3cbdff3a5d3515cedf
7	7.4	synteny_caller	results/synteny/figures/synteny_caller	png,pdf	6.73	2.42	The consensus paralogue caller, calibrated and swept	bdff64bd73e7e0f258a9e42369a21f7adf4d2be0193e86bc40c01e4ec9c21bb7
7	7.2	synteny_clade_decay	results/synteny/figures/synteny_clade_decay	png,pdf	6.52	2.52	How far a neighbourhood travels	9255754c353c73087d59f488e5cefcf9ba9aaf8b7b712d6a4484401e2970cf2e
7	7.10	s16_copy_number	results/duplication/figures/s16_copy_number	png,pdf	6.52	2.41	Copy number grouped by whole-genome-duplication status	6ee83d9888e4736433fbde90735ea773c2e4ba773d8872efbd975b5d89c82752
7	7.9	s16_paralogon	results/duplication/figures/s16_paralogon	png,pdf	6.52	2.42	The 2R test against its real-window permutation null	59e76cb1df5623c1b3e36777450358f7f96e817aad15b276feac4c15fdaf4818
7	7.11	s16_dcs	results/duplication/figures/s16_dcs	png,pdf	6.52	2.42	Double-conserved synteny for the teleost copies	31ae7b2c90da7b2d8dc87c780416ecafdc3aa2dcefbc40cbcd8e4cfecbb6c7c0
7	7.12	s16_blocks	results/duplication/figures/s16_blocks	png,pdf	6.51	2.42	Cross-anchor block identity, and whether the anchors agree	5d7271198679a5dfdef9127b6450af3417a86a306a2651c2f236ab9b28b198e4
7	7.6	recon_dated_backbone	results/reconciliation/figures/recon_dated_backbone	png,pdf	6.43	4.82	The dated backbone with each calibration's spread as a band	7b61dc546ad90a3677def760d1a7959a93b7d4db3a76098dcd6014ad96dd42cc
7	7.5	recon_matrix	results/reconciliation/figures/recon_matrix	png,pdf	7.26	2.32	The reconciliation matrix over topologies and variants	ed3e17edc1e7e5ab5ec3a30af41f7cfed52cd2515521878f92c25c7e3c96df1a
7	7.8	recon_losses	results/reconciliation/figures/recon_losses	png,pdf	6.51	1.89	The loss audit against the genome ledger	15a151aee6ac1fa45d9a5b2bf5850e5054255be6af6a8dd7917e27ac902b15cb
7	7.7	recon_cyclostome	results/reconciliation/figures/recon_cyclostome	png,pdf	6.46	2.22	The six cyclostome loci, and the long-branch check behind them	094cced0118511f0fd51c3cf6c4ecec07db3a48b26dd0e3693b42118b1662b06
8	8.2	architecture_by_paralog	results/gene_architecture/figures/architecture_by_paralog	png,pdf	6.52	2.32	Exon count and genomic span on separate axes	8999e5b1d958c17dc2b8472c03b1096ddbee79657a8e9e34586a013751d40687
8	8.3	intron_positions	results/gene_architecture/figures/intron_positions	png,pdf	6.52	2.42	Intron positions by alignment column and phase	5697a685d3cd85b411d95a61601d60bc52012650a066a096d574c3db5b8bf70d
8	8.1	junction_quality	results/gene_architecture/figures/junction_quality	png,pdf	6.47	2.23	The aligner's own junction error rate, drawn on the complement	11d271d5766f537b637b3a21be01e4621cbf7a43c498168e8d13a12fd88815eb
8	8.4	fragments_and_duplicates	results/gene_architecture/figures/fragments_and_duplicates	png,pdf	6.59	1.85	Where a fragmentary annotation stops, and the duplication detector	8cd90e611eef97135981dc811236142e2bb0134210dda28fd625dac91b65b3be
9	9.3	character_matrix	results/loss_dynamics/figures/s15_character_matrix	png,pdf	6.09	3.96	The character matrix, ordered by contiguity with the bar drawn	a6c1564b76b06d98c23a991514330f5c62613cab10f5fa0f2dfc96a8e34cbd8d
9	9.1	reconstruction	results/loss_dynamics/figures/s15_reconstruction	png,pdf	5.77	2.42	Reference coverage reassembled across contigs	87ba4de4e394fad3320c113952bedce775263df5ae896605936e1bbf32fca795
9	9.4	integrity	results/loss_dynamics/figures/s15_integrity	png,pdf	6.41	2.74	Lesion density, and the confounder that predicts it	2ea383cb424a8bc9fd31b54f4d404c300d70ddb6a2c87f401730d864a1027fb8
9	9.2	synteny_reach	results/loss_dynamics/figures/s15_synteny_reach	png,pdf	5.89	2.34	What a trace region gives the synteny caller to work with	cd11dda66ad0deca7ffef587fc18f1f792d5c9fb24c6ef47030ed66eb39390ed
9	9.6	reconstruction_bar	results/loss_counts/figures/reconstruction_bar	png,pdf	6.66	2.86	The calibrated bar with the gap's two edges drawn	9f0c48b788a03b3c08f65ea696060b4a3092ad2e02c3e012c82a811496a4750c
9	9.5	sensitivity_matrix	results/loss_counts/figures/sensitivity_matrix	png,pdf	7.07	3.46	The loss count across four axes of sensitivity	a37c3ea85935014c7f34b90902cf4fb107c218bea7daf40ed41a1ffe4c86e59d
9	9.7	mk_profile	results/loss_counts/figures/mk_profile	png,pdf	6.66	2.76	The likelihood along a rate grid, for every model and axis	242aa4bf62f65ccff62fddaa63e4963ac72337b7d697581aa6c77209fe47d9bd
9	9.8	lesion_strata	results/loss_counts/figures/lesion_strata	png,pdf	7.79	2.76	Lesion density stratified by class, with its contiguity control	c319c84e5166258c24c5332f8dc237227bd20b96f0c0b2b4375aca9db67b8370
10	10.2	omega_by_paralog	results/selection/figures/s9_omega_by_paralog	png,pdf	4.36	2.52	Per-paralogue omega on a logarithmic axis	6efe22c7f1b3429ef9353ff28f5c4a3f97d65728a0b8be063c80d4da1d8f55d1
10	10.4	branch_contrast	results/selection/figures/s9_branch_contrast	png,pdf	6.52	2.42	The two-ratio and branch-site contrasts	0c61f63560e3b705c654570adb0b373d273db4e430edeb54cb5334853fdb09ef
10	10.3	dnds_saturation	results/selection/figures/s9_dnds_saturation	png,pdf	6.51	2.42	Pairwise saturation, drawn log-log with the neutral diagonal	9638f119f500f9306120128eefd901051838eceb9ca39248c0dd28b29ef04338
10	10.5	bs_restarts	results/selection/figures/s9_bs_restarts	png,pdf	4.69	2.52	Branch-site fits across four initial omega	97f6234b2d8164b699455f30a7bd875f638f7fc868c59dea8c223bc62ec85300
10	10.1	supp_codon_alignment	results/supplementary/figures/SuppFig4_codon_alignment	png,pdf	6.52	5.82	The trimmed codon alignment behind every estimate	a9ef3892793c2cf238a0b362867a63a8448ceb797876eeaccc7c9ff16306935d
11	11.2	s11_panel	results/structures/figures/s11_panel	png,pdf	6.64	4.48	The structural panel: references, states and negative controls	575b5786edf2b396d223c0dab952c019cd95b34a57a4286947bc24e9c198b61c
11	11.3	s11_tm_calibration	results/structures/figures/s11_tm_calibration	png,pdf	5.55	3.25	TM-align scores with both published bars drawn	b42c1f1819f3caacbb442f7fcd6fdc21ddfb40d162bfdfd68eafc5306a4005fe
11	11.4	s11_plddt_domains	results/structures/figures/s11_plddt_domains	png,pdf	5.60	2.66	Per-domain confidence, against an outside-domains contrast	c659731eabaddbfb3912796ffb4820bd32010681262eb676dd17ff519d27b078
11	11.1	s11_afdb_coverage	results/structures/figures/s11_afdb_coverage	png,pdf	6.86	3.69	AlphaFold coverage against record length	f7402171e709b6b8743ca8df31c97c25efcd0a493d94ecba05b77808971a46b9
11	11.7	s17_channel_profile	results/constraint/figures/s17_channel_profile	png,pdf	6.52	4.42	Constraint along the channel, binned within element boundaries	13a06f12769e47d4720a677a7de39909468e60b6bfb19abf077d1ff0996a94d8
11	11.6	s17_elements	results/constraint/figures/s17_elements	png,pdf	6.66	3.32	Constraint by element, with the composition-free metric beside it	b1c84558ae96f80686a2ef1828b3929f36aeb525c8b7839913895d6286098734
11	11.8	s17_functional_sites	results/constraint/figures/s17_functional_sites	png,pdf	7.35	3.62	The measured functional residues against their own elements	29576b721a182800dc851ddb6f36b05f80ef62bc26697b9d29a80d2a74238226
11	11.9	s17_variant_classifier	results/constraint/figures/s17_variant_classifier	png,pdf	6.52	2.92	Four conservation layers as variant classifiers	dc6f869145e7377f3d2c27ea8e0ef702a7b1733219e78c6e48603f85dedebbee
11	11.5	supp_paralog_alignments	results/supplementary/figures/SuppFig3_paralog_alignments	png,pdf	6.52	6.02	The within-paralogue alignments the map is computed on	458e6c0238e40112b04d07ec66858bf8eeb88745db71580804efe5ee0c0bd730
11	11.11	supp_constraint_on_channel	results/supplementary/figures/SuppFig5_constraint_on_channel	png,pdf	6.39	7.45	The constraint map painted onto the channel	896eedce8ef0fc771f9a52e3a92aa2d345f2cecca059317beedda957c9396928
11	11.10	supp_variants_on_structure	results/supplementary/figures/SuppFig6_variants_on_structure	png,pdf	6.61	7.02	Every labelled variant, and the per-element enrichment test	3d5782d05b9083b3bac763ffc528291dc6808081b4021875cc86574591beb9d0
12	12.2	s22_modules	results/ligand_site/figures/s22_fig1_modules	png,pdf	6.52	4.21	The core against the pore, under both pore definitions	a804c5df69ac6d432d7abaff529e4eefdd3d58ca994094f8ecca462a896aad2d
12	12.3	s22_shells	results/ligand_site/figures/s22_fig2_shells	png,pdf	6.52	2.52	Constraint against distance from the ligand	234b1405819ababc2715cd4d7e2b5eb719c49488e85f9cb9c83a478e0d403f02
12	12.4	s22_omega	results/ligand_site/figures/s22_fig3_omega	png,pdf	6.52	2.42	Per-site rates by module and by shell	3698a162c3cc6f91eff24c052302c5e7fff2722fc5e1b3220e12ab8100011631
12	12.5	s22_lineage	results/ligand_site/figures/s22_fig4_lineage	png,pdf	6.50	2.52	The lineage test beside the shift it could have detected	ec522e74dd69a37b70155c50c2d125bb773fbc58208de6bdf4a56f034766a977
12	12.1	supp_labelled_positions	results/supplementary/figures/SuppFig2_labelled_positions	png,pdf	5.54	5.42	The two modules at residue resolution in all three paralogues	d01f7302091a6ee290c7bb3c3e8c915dd5a50f4ed73b28a216d95b2234e0e5b6
13	13.2	s18_by_source	results/annotation_audit/figures/s18_fig1_by_source	png,pdf	6.50	2.44	Locus state by annotation source, raw and above the contiguity bar	ad419f495456e61e59780598bcc7d79f131c10fc1e5895de3e6d445d62755351
13	13.1	s18_calibration	results/annotation_audit/figures/s18_fig2_calibration	png,pdf	6.52	2.17	The completeness bar drawn inside the distribution it sits in	006a5aab2ce8b8090cecc739a16b1631df04f47d33fb0ac5bb048c0c17de53a0
13	13.3	s18_family_vs_control	results/annotation_audit/figures/s18_fig3_family_vs_control	png,pdf	6.52	1.63	This family against its sister in the same assemblies	c596a79e6b8d8924eaf9c9519c4f3ef2b2cab6983de9acf80cbdef4d5a95c454
13	13.4	s18_protein_side	results/annotation_audit/figures/s18_fig4_protein_side	png,pdf	8.19	2.18	The protein records: what the name claims against what the sequence is	ae5bfce354f4d216c76bad631ed76fb9e18cd9e7de552ca6702d71e6737b1341
13	13.6	exon_tracks	results/annotation_bugs/figures/exon_tracks	png,pdf	6.22	4.11	Two loci at true genomic width, exons never widened	658c7f5fc712403f6d9a90f53ee84ff4d3c7ca7d65ca42a5ee822ac9b0982154
13	13.5	annotation_loss	results/annotation_bugs/figures/annotation_loss	png,pdf	6.52	2.32	Annotation loss across every recovered locus	cd2c7f79618c9257be29e929422e44d7c18d46fb7e09682d64b1be080ea89ac4
13	13.7	fragment_tiling	results/annotation_bugs/figures/fragment_tiling	png,pdf	6.49	3.02	The annotated proteins tiled back onto the genome's own loci	00ca578398a1bb3166e10386caf54ee7bc2d0ceb6e768979b7d6330e56feaf9b
13	13.8	case_validation	results/annotation_bugs/figures/validation	png,pdf	6.52	2.12	The five independent checks on each case	3eb01a6cf4b6ca6f65e1ea0812b30181347108d0da7f06534c832272a64e039a
13	13.10	s12_junctions	results/expression/figures/s12_junctions	png,pdf	6.52	5.06	Every junction, crossed or not, with the decoy floor drawn	a0d4a9ce38d8d3c9d12f75de05db7464eb06e1055f166633aeef84ff3c6d1d52
13	13.9	s12_detection	results/expression/figures/s12_detection	png,pdf	6.52	2.97	Detection per locus against its own reversed decoy	eff53f070864d506b5a7383cf381776f39bc996ad78e1253a32f349bceffc9d1
13	13.11	s12_gap_coverage	results/expression/figures/s12_gap_coverage	png,pdf	6.52	4.01	Read coverage over the sequence the annotation loses	7eff943f1c9ac0e033267ae82ad714f52a20d3f7afd713392b947eeb79e94a38
13	13.12	s12_instruments	results/expression/figures/s12_instruments	png,pdf	6.51	2.32	The deposit cross-check and its genomic negative control	69b4dfe6f0c87d3914a23ab02b9536d06468c696f934a64742c2c739f172774d
14	14.1	census_growth	results/census_v2/figures/census_growth	png,pdf	6.57	2.91	How the census grew across its editions, and on what evidence	13faf339f796507a8d1ba35d8a988d7acc3d1ca1f7e346aa5978e182f5ff73dc
