set	a	b	label_a	label_b	group_a	group_b	identity	identity_covered
family	P29994	Q8WN95	Itpr1 R. norvegicus	ITPR3 B. taurus	ITPR1	ITPR3	0.5979	0.6452
family	P29994	P29993	Itpr1 R. norvegicus	Itpr D. melanogaster	ITPR1	invert_grade	0.5546	0.6068
family	P29994	Q9Y0A1	Itpr1 R. norvegicus	itr-1 C. elegans	ITPR1	invert_grade	0.3506	0.4312
family	P29994	Q9NA13	Itpr1 R. norvegicus	iplA D. discoideum	ITPR1	invert_grade	0.1424	0.2286
family	A0A8V0ZJT0	A0A8V0ZJT0	ITPR1 G. gallus	ITPR1 G. gallus	ITPR1	ITPR1	1.0000	1.0000
family	A0A8V0ZJT0	A0A8J0T3U5	ITPR1 G. gallus	itpr1 X. tropicalis	ITPR1	ITPR1	0.8769	0.8988
family	A0A8V0ZJT0	A0A8M2BDG0	ITPR1 G. gallus	itpr1a D. rerio	ITPR1	ITPR1	0.8062	0.8336
family	A0A8V0ZJT0	A0AB32TXG4	ITPR1 G. gallus	itpr1b D. rerio	ITPR1	ITPR1	0.8310	0.8705
family	A0A8V0ZJT0	Q9TU34	ITPR1 G. gallus	ITPR1 B. taurus	ITPR1	ITPR1	0.9201	0.9439
family	A0A8V0ZJT0	Q14571	ITPR1 G. gallus	ITPR2 H. sapiens	ITPR1	ITPR2	0.6711	0.7073
family	A0A8V0ZJT0	Q9Z329	ITPR1 G. gallus	Itpr2 M. musculus	ITPR1	ITPR2	0.6728	0.7091
family	A0A8V0ZJT0	P29995	ITPR1 G. gallus	Itpr2 R. norvegicus	ITPR1	ITPR2	0.6725	0.7088
family	A0A8V0ZJT0	F1P1X4	ITPR1 G. gallus	ITPR2 G. gallus	ITPR1	ITPR2	0.6773	0.7136
family	A0A8V0ZJT0	A0A6I8RGU0	ITPR1 G. gallus	itpr2 X. tropicalis	ITPR1	ITPR2	0.6671	0.7052
family	A0A8V0ZJT0	A0A8M9PQQ3	ITPR1 G. gallus	itpr2 D. rerio	ITPR1	ITPR2	0.6270	0.6674
family	A0A8V0ZJT0	Q8WN96	ITPR1 G. gallus	ITPR2 B. taurus	ITPR1	ITPR2	0.6718	0.7080
family	A0A8V0ZJT0	Q14573	ITPR1 G. gallus	ITPR3 H. sapiens	ITPR1	ITPR3	0.5930	0.6443
family	A0A8V0ZJT0	P70227	ITPR1 G. gallus	Itpr3 M. musculus	ITPR1	ITPR3	0.5916	0.6430
family	A0A8V0ZJT0	Q63269	ITPR1 G. gallus	Itpr3 R. norvegicus	ITPR1	ITPR3	0.5906	0.6419
family	A0A8V0ZJT0	A0A8V1ACE6	ITPR1 G. gallus	ITPR3 G. gallus	ITPR1	ITPR3	0.6035	0.6561
family	A0A8V0ZJT0	A4ZYX8	ITPR1 G. gallus	itpr3 X. tropicalis	ITPR1	ITPR3	0.5834	0.6352
family	A0A8V0ZJT0	A0A8M6Z266	ITPR1 G. gallus	itpr3 D. rerio	ITPR1	ITPR3	0.5771	0.6376
family	A0A8V0ZJT0	Q8WN95	ITPR1 G. gallus	ITPR3 B. taurus	ITPR1	ITPR3	0.5927	0.6457
family	A0A8V0ZJT0	P29993	ITPR1 G. gallus	Itpr D. melanogaster	ITPR1	invert_grade	0.5508	0.6073
family	A0A8V0ZJT0	Q9Y0A1	ITPR1 G. gallus	itr-1 C. elegans	ITPR1	invert_grade	0.3537	0.4357
family	A0A8V0ZJT0	Q9NA13	ITPR1 G. gallus	iplA D. discoideum	ITPR1	invert_grade	0.1415	0.2291
family	A0A8J0T3U5	A0A8J0T3U5	itpr1 X. tropicalis	itpr1 X. tropicalis	ITPR1	ITPR1	1.0000	1.0000
family	A0A8J0T3U5	A0A8M2BDG0	itpr1 X. tropicalis	itpr1a D. rerio	ITPR1	ITPR1	0.8084	0.8258
family	A0A8J0T3U5	A0AB32TXG4	itpr1 X. tropicalis	itpr1b D. rerio	ITPR1	ITPR1	0.8176	0.8463
family	A0A8J0T3U5	Q9TU34	itpr1 X. tropicalis	ITPR1 B. taurus	ITPR1	ITPR1	0.8768	0.8983
family	A0A8J0T3U5	Q14571	itpr1 X. tropicalis	ITPR2 H. sapiens	ITPR1	ITPR2	0.6692	0.7004
family	A0A8J0T3U5	Q9Z329	itpr1 X. tropicalis	Itpr2 M. musculus	ITPR1	ITPR2	0.6706	0.7019
family	A0A8J0T3U5	P29995	itpr1 X. tropicalis	Itpr2 R. norvegicus	ITPR1	ITPR2	0.6692	0.7004
family	A0A8J0T3U5	F1P1X4	itpr1 X. tropicalis	ITPR2 G. gallus	ITPR1	ITPR2	0.6712	0.7023
family	A0A8J0T3U5	A0A6I8RGU0	itpr1 X. tropicalis	itpr2 X. tropicalis	ITPR1	ITPR2	0.6654	0.6989
family	A0A8J0T3U5	A0A8M9PQQ3	itpr1 X. tropicalis	itpr2 D. rerio	ITPR1	ITPR2	0.6205	0.6564
family	A0A8J0T3U5	Q8WN96	itpr1 X. tropicalis	ITPR2 B. taurus	ITPR1	ITPR2	0.6699	0.7011
family	A0A8J0T3U5	Q14573	itpr1 X. tropicalis	ITPR3 H. sapiens	ITPR1	ITPR3	0.5907	0.6375
family	A0A8J0T3U5	P70227	itpr1 X. tropicalis	Itpr3 M. musculus	ITPR1	ITPR3	0.5907	0.6377
family	A0A8J0T3U5	Q63269	itpr1 X. tropicalis	Itpr3 R. norvegicus	ITPR1	ITPR3	0.5883	0.6350
family	A0A8J0T3U5	A0A8V1ACE6	itpr1 X. tropicalis	ITPR3 G. gallus	ITPR1	ITPR3	0.5999	0.6462
family	A0A8J0T3U5	A4ZYX8	itpr1 X. tropicalis	itpr3 X. tropicalis	ITPR1	ITPR3	0.5871	0.6349
family	A0A8J0T3U5	A0A8M6Z266	itpr1 X. tropicalis	itpr3 D. rerio	ITPR1	ITPR3	0.5779	0.6333
family	A0A8J0T3U5	Q8WN95	itpr1 X. tropicalis	ITPR3 B. taurus	ITPR1	ITPR3	0.5918	0.6404
family	A0A8J0T3U5	P29993	itpr1 X. tropicalis	Itpr D. melanogaster	ITPR1	invert_grade	0.5471	0.6010
family	A0A8J0T3U5	Q9Y0A1	itpr1 X. tropicalis	itr-1 C. elegans	ITPR1	invert_grade	0.3495	0.4296
family	A0A8J0T3U5	Q9NA13	itpr1 X. tropicalis	iplA D. discoideum	ITPR1	invert_grade	0.1414	0.2271
family	A0A8M2BDG0	A0A8M2BDG0	itpr1a D. rerio	itpr1a D. rerio	ITPR1	ITPR1	1.0000	1.0000
family	A0A8M2BDG0	A0AB32TXG4	itpr1a D. rerio	itpr1b D. rerio	ITPR1	ITPR1	0.8086	0.8457
family	A0A8M2BDG0	Q9TU34	itpr1a D. rerio	ITPR1 B. taurus	ITPR1	ITPR1	0.8103	0.8321
family	A0A8M2BDG0	Q14571	itpr1a D. rerio	ITPR2 H. sapiens	ITPR1	ITPR2	0.6531	0.6832
family	A0A8M2BDG0	Q9Z329	itpr1a D. rerio	Itpr2 M. musculus	ITPR1	ITPR2	0.6498	0.6798
family	A0A8M2BDG0	P29995	itpr1a D. rerio	Itpr2 R. norvegicus	ITPR1	ITPR2	0.6491	0.6790
family	A0A8M2BDG0	F1P1X4	itpr1a D. rerio	ITPR2 G. gallus	ITPR1	ITPR2	0.6547	0.6847
family	A0A8M2BDG0	A0A6I8RGU0	itpr1a D. rerio	itpr2 X. tropicalis	ITPR1	ITPR2	0.6478	0.6802
family	A0A8M2BDG0	A0A8M9PQQ3	itpr1a D. rerio	itpr2 D. rerio	ITPR1	ITPR2	0.6144	0.6468
family	A0A8M2BDG0	Q8WN96	itpr1a D. rerio	ITPR2 B. taurus	ITPR1	ITPR2	0.6531	0.6832
family	A0A8M2BDG0	Q14573	itpr1a D. rerio	ITPR3 H. sapiens	ITPR1	ITPR3	0.5917	0.6355
family	A0A8M2BDG0	P70227	itpr1a D. rerio	Itpr3 M. musculus	ITPR1	ITPR3	0.5899	0.6338
family	A0A8M2BDG0	Q63269	itpr1a D. rerio	Itpr3 R. norvegicus	ITPR1	ITPR3	0.5902	0.6342
family	A0A8M2BDG0	A0A8V1ACE6	itpr1a D. rerio	ITPR3 G. gallus	ITPR1	ITPR3	0.5976	0.6407
family	A0A8M2BDG0	A4ZYX8	itpr1a D. rerio	itpr3 X. tropicalis	ITPR1	ITPR3	0.5848	0.6285
family	A0A8M2BDG0	A0A8M6Z266	itpr1a D. rerio	itpr3 D. rerio	ITPR1	ITPR3	0.5695	0.6217
family	A0A8M2BDG0	Q8WN95	itpr1a D. rerio	ITPR3 B. taurus	ITPR1	ITPR3	0.5920	0.6376
family	A0A8M2BDG0	P29993	itpr1a D. rerio	Itpr D. melanogaster	ITPR1	invert_grade	0.5474	0.5999
family	A0A8M2BDG0	Q9Y0A1	itpr1a D. rerio	itr-1 C. elegans	ITPR1	invert_grade	0.3528	0.4292
family	A0A8M2BDG0	Q9NA13	itpr1a D. rerio	iplA D. discoideum	ITPR1	invert_grade	0.1398	0.2231
family	A0AB32TXG4	A0AB32TXG4	itpr1b D. rerio	itpr1b D. rerio	ITPR1	ITPR1	1.0000	1.0000
family	A0AB32TXG4	Q9TU34	itpr1b D. rerio	ITPR1 B. taurus	ITPR1	ITPR1	0.8244	0.8654
family	A0AB32TXG4	Q14571	itpr1b D. rerio	ITPR2 H. sapiens	ITPR1	ITPR2	0.6489	0.6901
family	A0AB32TXG4	Q9Z329	itpr1b D. rerio	Itpr2 M. musculus	ITPR1	ITPR2	0.6485	0.6897
family	A0AB32TXG4	P29995	itpr1b D. rerio	Itpr2 R. norvegicus	ITPR1	ITPR2	0.6499	0.6912
family	A0AB32TXG4	F1P1X4	itpr1b D. rerio	ITPR2 G. gallus	ITPR1	ITPR2	0.6555	0.6975
family	A0AB32TXG4	A0A6I8RGU0	itpr1b D. rerio	itpr2 X. tropicalis	ITPR1	ITPR2	0.6467	0.6908
family	A0AB32TXG4	A0A8M9PQQ3	itpr1b D. rerio	itpr2 D. rerio	ITPR1	ITPR2	0.6077	0.6528
family	A0AB32TXG4	Q8WN96	itpr1b D. rerio	ITPR2 B. taurus	ITPR1	ITPR2	0.6467	0.6879
family	A0AB32TXG4	Q14573	itpr1b D. rerio	ITPR3 H. sapiens	ITPR1	ITPR3	0.5759	0.6318
family	A0AB32TXG4	P70227	itpr1b D. rerio	Itpr3 M. musculus	ITPR1	ITPR3	0.5745	0.6305
family	A0AB32TXG4	Q63269	itpr1b D. rerio	Itpr3 R. norvegicus	ITPR1	ITPR3	0.5742	0.6301
family	A0AB32TXG4	A0A8V1ACE6	itpr1b D. rerio	ITPR3 G. gallus	ITPR1	ITPR3	0.5884	0.6458
family	A0AB32TXG4	A4ZYX8	itpr1b D. rerio	itpr3 X. tropicalis	ITPR1	ITPR3	0.5750	0.6316
family	A0AB32TXG4	A0A8M6Z266	itpr1b D. rerio	itpr3 D. rerio	ITPR1	ITPR3	0.5645	0.6293
family	A0AB32TXG4	Q8WN95	itpr1b D. rerio	ITPR3 B. taurus	ITPR1	ITPR3	0.5759	0.6335
family	A0AB32TXG4	P29993	itpr1b D. rerio	Itpr D. melanogaster	ITPR1	invert_grade	0.5398	0.5999
family	A0AB32TXG4	Q9Y0A1	itpr1b D. rerio	itr-1 C. elegans	ITPR1	invert_grade	0.3505	0.4320
family	A0AB32TXG4	Q9NA13	itpr1b D. rerio	iplA D. discoideum	ITPR1	invert_grade	0.1419	0.2297
family	Q9TU34	Q9TU34	ITPR1 B. taurus	ITPR1 B. taurus	ITPR1	ITPR1	1.0000	1.0000
family	Q9TU34	Q14571	ITPR1 B. taurus	ITPR2 H. sapiens	ITPR1	ITPR2	0.6799	0.6993
family	Q9TU34	Q9Z329	ITPR1 B. taurus	Itpr2 M. musculus	ITPR1	ITPR2	0.6803	0.6997
family	Q9TU34	P29995	ITPR1 B. taurus	Itpr2 R. norvegicus	ITPR1	ITPR2	0.6795	0.6989
family	Q9TU34	F1P1X4	ITPR1 B. taurus	ITPR2 G. gallus	ITPR1	ITPR2	0.6849	0.7042
family	Q9TU34	A0A6I8RGU0	ITPR1 B. taurus	itpr2 X. tropicalis	ITPR1	ITPR2	0.6762	0.6976
family	Q9TU34	A0A8M9PQQ3	ITPR1 B. taurus	itpr2 D. rerio	ITPR1	ITPR2	0.6333	0.6578
family	Q9TU34	Q8WN96	ITPR1 B. taurus	ITPR2 B. taurus	ITPR1	ITPR2	0.6821	0.7015
family	Q9TU34	Q14573	ITPR1 B. taurus	ITPR3 H. sapiens	ITPR1	ITPR3	0.6020	0.6385
family	Q9TU34	P70227	ITPR1 B. taurus	Itpr3 M. musculus	ITPR1	ITPR3	0.5995	0.6360
family	Q9TU34	Q63269	ITPR1 B. taurus	Itpr3 R. norvegicus	ITPR1	ITPR3	0.5991	0.6356
family	Q9TU34	A0A8V1ACE6	ITPR1 B. taurus	ITPR3 G. gallus	ITPR1	ITPR3	0.6121	0.6494
family	Q9TU34	A4ZYX8	ITPR1 B. taurus	itpr3 X. tropicalis	ITPR1	ITPR3	0.5950	0.6324
family	Q9TU34	A0A8M6Z266	ITPR1 B. taurus	itpr3 D. rerio	ITPR1	ITPR3	0.5830	0.6283
family	Q9TU34	Q8WN95	ITPR1 B. taurus	ITPR3 B. taurus	ITPR1	ITPR3	0.6031	0.6413
family	Q9TU34	P29993	ITPR1 B. taurus	Itpr D. melanogaster	ITPR1	invert_grade	0.5584	0.6023
family	Q9TU34	Q9Y0A1	ITPR1 B. taurus	itr-1 C. elegans	ITPR1	invert_grade	0.3546	0.4304
family	Q9TU34	Q9NA13	ITPR1 B. taurus	iplA D. discoideum	ITPR1	invert_grade	0.1426	0.2287
family	Q14571	Q14571	ITPR2 H. sapiens	ITPR2 H. sapiens	ITPR2	ITPR2	1.0000	1.0000
family	Q14571	Q9Z329	ITPR2 H. sapiens	Itpr2 M. musculus	ITPR2	ITPR2	0.9582	0.9582
family	Q14571	P29995	ITPR2 H. sapiens	Itpr2 R. norvegicus	ITPR2	ITPR2	0.9534	0.9534
family	Q14571	F1P1X4	ITPR2 H. sapiens	ITPR2 G. gallus	ITPR2	ITPR2	0.9293	0.9311
family	Q14571	A0A6I8RGU0	ITPR2 H. sapiens	itpr2 X. tropicalis	ITPR2	ITPR2	0.8801	0.8846
family	Q14571	A0A8M9PQQ3	ITPR2 H. sapiens	itpr2 D. rerio	ITPR2	ITPR2	0.7441	0.7581
family	Q14571	Q8WN96	ITPR2 H. sapiens	ITPR2 B. taurus	ITPR2	ITPR2	0.9726	0.9726
family	Q14571	Q14573	ITPR2 H. sapiens	ITPR3 H. sapiens	ITPR2	ITPR3	0.6340	0.6654
family	Q14571	P70227	ITPR2 H. sapiens	Itpr3 M. musculus	ITPR2	ITPR3	0.6343	0.6660
family	Q14571	Q63269	ITPR2 H. sapiens	Itpr3 R. norvegicus	ITPR2	ITPR3	0.6340	0.6656
family	Q14571	A0A8V1ACE6	ITPR2 H. sapiens	ITPR3 G. gallus	ITPR2	ITPR3	0.6401	0.6721
family	Q14571	A4ZYX8	ITPR2 H. sapiens	itpr3 X. tropicalis	ITPR2	ITPR3	0.6281	0.6612
family	Q14571	A0A8M6Z266	ITPR2 H. sapiens	itpr3 D. rerio	ITPR2	ITPR3	0.6092	0.6484
family	Q14571	Q8WN95	ITPR2 H. sapiens	ITPR3 B. taurus	ITPR2	ITPR3	0.6314	0.6645
family	Q14571	P29993	ITPR2 H. sapiens	Itpr D. melanogaster	ITPR2	invert_grade	0.5270	0.5752
family	Q14571	Q9Y0A1	ITPR2 H. sapiens	itr-1 C. elegans	ITPR2	invert_grade	0.3460	0.4156
family	Q14571	Q9NA13	ITPR2 H. sapiens	iplA D. discoideum	ITPR2	invert_grade	0.1467	0.2341
family	Q9Z329	Q9Z329	Itpr2 M. musculus	Itpr2 M. musculus	ITPR2	ITPR2	1.0000	1.0000
family	Q9Z329	P29995	Itpr2 M. musculus	Itpr2 R. norvegicus	ITPR2	ITPR2	0.9841	0.9841
family	Q9Z329	F1P1X4	Itpr2 M. musculus	ITPR2 G. gallus	ITPR2	ITPR2	0.9156	0.9173
family	Q9Z329	A0A6I8RGU0	Itpr2 M. musculus	itpr2 X. tropicalis	ITPR2	ITPR2	0.8768	0.8813
family	Q9Z329	A0A8M9PQQ3	Itpr2 M. musculus	itpr2 D. rerio	ITPR2	ITPR2	0.7445	0.7585
family	Q9Z329	Q8WN96	Itpr2 M. musculus	ITPR2 B. taurus	ITPR2	ITPR2	0.9496	0.9496
family	Q9Z329	Q14573	Itpr2 M. musculus	ITPR3 H. sapiens	ITPR2	ITPR3	0.6347	0.6662
family	Q9Z329	P70227	Itpr2 M. musculus	Itpr3 M. musculus	ITPR2	ITPR3	0.6336	0.6653
family	Q9Z329	Q63269	Itpr2 M. musculus	Itpr3 R. norvegicus	ITPR2	ITPR3	0.6325	0.6641
family	Q9Z329	A0A8V1ACE6	Itpr2 M. musculus	ITPR3 G. gallus	ITPR2	ITPR3	0.6379	0.6699
family	Q9Z329	A4ZYX8	Itpr2 M. musculus	itpr3 X. tropicalis	ITPR2	ITPR3	0.6252	0.6581
family	Q9Z329	A0A8M6Z266	Itpr2 M. musculus	itpr3 D. rerio	ITPR2	ITPR3	0.6074	0.6464
family	Q9Z329	Q8WN95	Itpr2 M. musculus	ITPR3 B. taurus	ITPR2	ITPR3	0.6310	0.6641
family	Q9Z329	P29993	Itpr2 M. musculus	Itpr D. melanogaster	ITPR2	invert_grade	0.5253	0.5733
family	Q9Z329	Q9Y0A1	Itpr2 M. musculus	itr-1 C. elegans	ITPR2	invert_grade	0.3470	0.4168
family	Q9Z329	Q9NA13	Itpr2 M. musculus	iplA D. discoideum	ITPR2	invert_grade	0.1455	0.2323
family	P29995	P29995	Itpr2 R. norvegicus	Itpr2 R. norvegicus	ITPR2	ITPR2	1.0000	1.0000
family	P29995	F1P1X4	Itpr2 R. norvegicus	ITPR2 G. gallus	ITPR2	ITPR2	0.9142	0.9159
family	P29995	A0A6I8RGU0	Itpr2 R. norvegicus	itpr2 X. tropicalis	ITPR2	ITPR2	0.8753	0.8798
family	P29995	A0A8M9PQQ3	Itpr2 R. norvegicus	itpr2 D. rerio	ITPR2	ITPR2	0.7430	0.7570
family	P29995	Q8WN96	Itpr2 R. norvegicus	ITPR2 B. taurus	ITPR2	ITPR2	0.9467	0.9467
family	P29995	Q14573	Itpr2 R. norvegicus	ITPR3 H. sapiens	ITPR2	ITPR3	0.6343	0.6658
family	P29995	P70227	Itpr2 R. norvegicus	Itpr3 M. musculus	ITPR2	ITPR3	0.6329	0.6645
family	P29995	Q63269	Itpr2 R. norvegicus	Itpr3 R. norvegicus	ITPR2	ITPR3	0.6325	0.6641
family	P29995	A0A8V1ACE6	Itpr2 R. norvegicus	ITPR3 G. gallus	ITPR2	ITPR3	0.6379	0.6699
family	P29995	A4ZYX8	Itpr2 R. norvegicus	itpr3 X. tropicalis	ITPR2	ITPR3	0.6241	0.6570
family	P29995	A0A8M6Z266	Itpr2 R. norvegicus	itpr3 D. rerio	ITPR2	ITPR3	0.6067	0.6456
family	P29995	Q8WN95	Itpr2 R. norvegicus	ITPR3 B. taurus	ITPR2	ITPR3	0.6307	0.6637
family	P29995	P29993	Itpr2 R. norvegicus	Itpr D. melanogaster	ITPR2	invert_grade	0.5253	0.5733
family	P29995	Q9Y0A1	Itpr2 R. norvegicus	itr-1 C. elegans	ITPR2	invert_grade	0.3470	0.4168
