edge_index	clade_size	n_duplications	implied_losses	total_events	root_event	root_species_node	deepest_paralog_dup_node	example_tips	is_minimum
16	1	17	68	85	duplication	Vertebrata	Vertebrata	ITPR1_Xenopus_tropicalis_Western_clawed_frog_A0A8J0T3U5	
17	6	16	62	78	duplication	Vertebrata	Vertebrata	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0;ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7	
18	2	16	65	81	duplication	Vertebrata	Vertebrata	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0;ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AB32U288	
19	1	17	71	88	duplication	Vertebrata	Vertebrata	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AB32U288	
20	1	17	71	88	duplication	Vertebrata	Vertebrata	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0	
21	4	16	65	81	duplication	Vertebrata	Vertebrata	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7;ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0	
22	1	17	70	87	duplication	Vertebrata	Vertebrata	ITPR1_Salarias_fasciatus_Jewelled_blenny_Ble_A0A672IUQ7	
23	3	17	70	87	duplication	Vertebrata	Vertebrata	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7;ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0	
24	2	18	76	94	duplication	Vertebrata	Vertebrata	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0;ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AC58JVG8	
25	1	18	81	99	duplication	Vertebrata	Vertebrata	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AC58JVG8	
26	1	18	81	99	duplication	Vertebrata	Vertebrata	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0	
27	1	18	76	94	duplication	Vertebrata	Vertebrata	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7	
28	2	15	58	73	duplication	Vertebrata	Vertebrata	ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5;vertebrate_basal_Latimeria_chalumnae_GCF_037176945.1_ITPR1_35775795	
29	1	15	62	77	duplication	Vertebrata	Vertebrata	vertebrate_basal_Latimeria_chalumnae_GCF_037176945.1_ITPR1_35775795	
30	1	15	62	77	duplication	Vertebrata	Vertebrata	ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5	
31	4	15	56	71	duplication	Vertebrata	Vertebrata	ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519;vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3IQL0	
32	2	16	60	76	duplication	Vertebrata	Vertebrata	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3IQL0;vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JHJ0	
33	1	16	63	79	duplication	Vertebrata	Vertebrata	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3IQL0	
34	1	16	63	79	duplication	Vertebrata	Vertebrata	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JHJ0	
35	2	16	60	76	duplication	Vertebrata	Vertebrata	ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519;vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401SQC9	
36	1	17	65	82	duplication	Vertebrata	Vertebrata	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401SQC9	
37	1	17	65	82	duplication	Vertebrata	Vertebrata	ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519	
38	34	13	51	64	duplication	Vertebrata	Vertebrata	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1;ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3	minimum
39	2	14	53	67	duplication	Vertebrata	Vertebrata	vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_86116883;vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8C056	
40	1	15	56	71	duplication	Vertebrata	Vertebrata	vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8C056	
41	1	15	56	71	duplication	Vertebrata	Vertebrata	vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_86116883	
42	32	14	53	67	duplication	Vertebrata	Vertebrata	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1;ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3	
43	19	14	54	68	duplication	Vertebrata	Vertebrata	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9;ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7	
44	3	15	57	72	duplication	Vertebrata	Vertebrata	ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7;ITPR3_Echinorhinus_cookei_GCA_057876775.1_ITPR3_46076206	
45	2	16	61	77	duplication	Vertebrata	Vertebrata	ITPR3_Echinorhinus_cookei_GCA_057876775.1_ITPR3_46076206;vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401S8Q3	
46	1	17	66	83	duplication	Vertebrata	Vertebrata	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401S8Q3	
47	1	17	66	83	duplication	Vertebrata	Vertebrata	ITPR3_Echinorhinus_cookei_GCA_057876775.1_ITPR3_46076206	
48	1	16	61	77	duplication	Vertebrata	Vertebrata	ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7	
49	16	15	57	72	duplication	Vertebrata	Vertebrata	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9;ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051	
50	3	15	59	74	duplication	Vertebrata	Vertebrata	ITPR3_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M6Z266;ITPR3_Latimeria_chalumnae_Coelacanth_H3B932	
51	1	16	63	79	duplication	Vertebrata	Vertebrata	ITPR3_Latimeria_chalumnae_Coelacanth_H3B932	
52	2	16	63	79	duplication	Vertebrata	Vertebrata	ITPR3_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M6Z266;ITPR3_Nothobranchius_furzeri_Turquoise_killi_A0A8C6KWV8	
53	1	17	68	85	duplication	Vertebrata	Vertebrata	ITPR3_Nothobranchius_furzeri_Turquoise_killi_A0A8C6KWV8	
54	1	17	68	85	duplication	Vertebrata	Vertebrata	ITPR3_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M6Z266	
55	13	15	59	74	duplication	Vertebrata	Vertebrata	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9;ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051	
56	2	16	65	81	duplication	Vertebrata	Vertebrata	ITPR3_Hymenochirus_boettgeri_GCA_019447015.1_ITPR3_126480658;ITPR3_Xenopus_tropicalis_Western_clawed_frog_A0A8J0SYK9	
57	1	17	72	89	duplication	Vertebrata	Vertebrata	ITPR3_Xenopus_tropicalis_Western_clawed_frog_A0A8J0SYK9	
58	1	17	72	89	duplication	Vertebrata	Vertebrata	ITPR3_Hymenochirus_boettgeri_GCA_019447015.1_ITPR3_126480658	
59	11	16	65	81	duplication	Vertebrata	Vertebrata	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9;ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051	
60	5	17	72	89	duplication	Vertebrata	Vertebrata	ITPR3_Homo_sapiens_Human_Q14573;ITPR3_Mus_musculus_Mouse_P70227	
61	2	17	78	95	duplication	Vertebrata	Vertebrata	ITPR3_Mus_musculus_Mouse_P70227;ITPR3_Rattus_norvegicus_Rat_Q63269	
62	1	18	88	106	duplication	Vertebrata	Vertebrata	ITPR3_Rattus_norvegicus_Rat_Q63269	
63	1	18	88	106	duplication	Vertebrata	Vertebrata	ITPR3_Mus_musculus_Mouse_P70227	
64	3	17	78	95	duplication	Vertebrata	Vertebrata	ITPR3_Homo_sapiens_Human_Q14573;ITPR3_Saguinus_oedipus_GCA_031835075.1_ITPR3_43596197	
65	1	18	86	104	duplication	Vertebrata	Vertebrata	ITPR3_Sousa_chinensis_GCA_007760645.1_ITPR3_5949234	
66	2	18	86	104	duplication	Vertebrata	Vertebrata	ITPR3_Homo_sapiens_Human_Q14573;ITPR3_Saguinus_oedipus_GCA_031835075.1_ITPR3_43596197	
67	1	19	96	115	duplication	Vertebrata	Vertebrata	ITPR3_Saguinus_oedipus_GCA_031835075.1_ITPR3_43596197	
68	1	19	96	115	duplication	Vertebrata	Vertebrata	ITPR3_Homo_sapiens_Human_Q14573	
69	6	17	72	89	duplication	Vertebrata	Vertebrata	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9;ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051	
70	2	18	80	98	duplication	Vertebrata	Vertebrata	ITPR3_Pogona_vitticeps_central_bearded_drago_A0A6J0TV85;ITPR3_Sphenodon_punctatus_GCA_003113815.1_ITPR3_3264626	
71	1	19	89	108	duplication	Vertebrata	Vertebrata	ITPR3_Sphenodon_punctatus_GCA_003113815.1_ITPR3_3264626	
72	1	19	89	108	duplication	Vertebrata	Vertebrata	ITPR3_Pogona_vitticeps_central_bearded_drago_A0A6J0TV85	
73	4	18	80	98	duplication	Vertebrata	Vertebrata	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9;ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051	
74	1	19	90	109	duplication	Vertebrata	Vertebrata	ITPR3_Gallus_gallus_Chicken_A0A8V1ACE6	
75	3	19	90	109	duplication	Vertebrata	Vertebrata	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9;ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051	
76	2	20	101	121	duplication	Vertebrata	Vertebrata	ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051;ITPR3_Spizella_passerina_GCA_056776345.1_ITPR3_2783550	
77	1	21	114	135	duplication	Vertebrata	Vertebrata	ITPR3_Spizella_passerina_GCA_056776345.1_ITPR3_2783550	
78	1	21	114	135	duplication	Vertebrata	Vertebrata	ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051	
79	1	20	101	121	duplication	Vertebrata	Vertebrata	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9	
80	13	14	54	68	duplication	Vertebrata	Vertebrata	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1;ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3	
81	3	15	57	72	duplication	Vertebrata	Vertebrata	ITPR2_Echinorhinus_cookei_GCA_057876775.1_ITPR2_17288896;vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JQ24	
82	1	16	61	77	duplication	Vertebrata	Vertebrata	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JQ24	
83	2	16	61	77	duplication	Vertebrata	Vertebrata	ITPR2_Echinorhinus_cookei_GCA_057876775.1_ITPR2_17288896;vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3	
84	1	17	66	83	duplication	Vertebrata	Vertebrata	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3	
85	1	17	66	83	duplication	Vertebrata	Vertebrata	ITPR2_Echinorhinus_cookei_GCA_057876775.1_ITPR2_17288896	
86	10	15	57	72	duplication	Vertebrata	Vertebrata	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1;ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3	
87	7	16	61	77	duplication	Vertebrata	Vertebrata	ITPR2_Gallus_gallus_Chicken_F1P1X4;ITPR2_Gekko_japonicus_Schlegel_s_Japanese_ge_A0ABM1LG32	
88	1	17	67	84	duplication	Vertebrata	Vertebrata	ITPR2_Xenopus_tropicalis_Western_clawed_frog_A0A6I8RGU0	
89	6	17	67	84	duplication	Vertebrata	Vertebrata	ITPR2_Gallus_gallus_Chicken_F1P1X4;ITPR2_Gekko_japonicus_Schlegel_s_Japanese_ge_A0ABM1LG32	
90	1	17	72	89	duplication	Vertebrata	Vertebrata	ITPR2_Gekko_japonicus_Schlegel_s_Japanese_ge_A0ABM1LG32	
91	5	17	72	89	duplication	Vertebrata	Vertebrata	ITPR2_Gallus_gallus_Chicken_F1P1X4;ITPR2_Homo_sapiens_Human_Q14571	
92	3	18	79	97	duplication	Vertebrata	Vertebrata	ITPR2_Homo_sapiens_Human_Q14571;ITPR2_Mus_musculus_Mouse_Q9Z329	
93	2	19	88	107	duplication	Vertebrata	Vertebrata	ITPR2_Mus_musculus_Mouse_Q9Z329;ITPR2_Rattus_norvegicus_Rat_P29995	
94	1	20	98	118	duplication	Vertebrata	Vertebrata	ITPR2_Rattus_norvegicus_Rat_P29995	
95	1	20	98	118	duplication	Vertebrata	Vertebrata	ITPR2_Mus_musculus_Mouse_Q9Z329	
96	1	19	88	107	duplication	Vertebrata	Vertebrata	ITPR2_Homo_sapiens_Human_Q14571	
97	2	18	79	97	duplication	Vertebrata	Vertebrata	ITPR2_Gallus_gallus_Chicken_F1P1X4;ITPR2_Strigops_habroptila_Kakapo_A0A672UP22	
98	1	19	89	108	duplication	Vertebrata	Vertebrata	ITPR2_Strigops_habroptila_Kakapo_A0A672UP22	
99	1	19	89	108	duplication	Vertebrata	Vertebrata	ITPR2_Gallus_gallus_Chicken_F1P1X4	
100	3	16	61	77	duplication	Vertebrata	Vertebrata	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1;ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3	
101	1	17	66	83	duplication	Vertebrata	Vertebrata	ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3	
102	2	17	66	83	duplication	Vertebrata	Vertebrata	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1;ITPR2_Nibea_albiflora_GCA_014281875.1_ITPR2_12447838	
103	1	18	72	90	duplication	Vertebrata	Vertebrata	ITPR2_Nibea_albiflora_GCA_014281875.1_ITPR2_12447838	
104	1	18	72	90	duplication	Vertebrata	Vertebrata	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1	
105	4	14	53	67	duplication	Vertebrata	Vertebrata	vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_122839381;vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_297520938	
106	2	14	54	68	duplication	Vertebrata	Vertebrata	vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_297520938;vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8BRT5	
107	1	15	57	72	duplication	Vertebrata	Vertebrata	vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8BRT5	
108	1	15	57	72	duplication	Vertebrata	Vertebrata	vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_297520938	
109	2	14	54	68	duplication	Vertebrata	Vertebrata	vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_122839381;vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0AAJ7U4X1	
110	1	15	57	72	duplication	Vertebrata	Vertebrata	vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0AAJ7U4X1	
111	1	15	57	72	duplication	Vertebrata	Vertebrata	vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_122839381	
