label	tree_paralog	root_to_tip	vs_median	rank	n_tips	is_cyclostome
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0	ITPR1	2.7979	0.989	37	57	
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AC58JVG8	ITPR1	2.7979	0.989	37	57	
ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7	ITPR1	2.7857	0.985	39	57	
vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8BRT5	unplaced	2.7719	0.98	40	57	cyclostome
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AB32U288	ITPR1	2.7474	0.971	41	57	
ITPR1_Salarias_fasciatus_Jewelled_blenny_Ble_A0A672IUQ7	ITPR1	2.7472	0.971	42	57	
vertebrate_basal_Latimeria_chalumnae_GCF_037176945.1_ITPR1_35775795	ITPR1	2.747	0.971	43	57	
ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5	ITPR1	2.744	0.97	44	57	
ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0	ITPR1	2.731	0.965	45	57	
ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519	ITPR1	2.7242	0.963	46	57	
ITPR1_Xenopus_tropicalis_Western_clawed_frog_A0A8J0T3U5	ITPR1	2.7228	0.962	47	57	
vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JHJ0	ITPR1	2.7218	0.962	48	57	
ITPR1_Bos_taurus_Bovine_Q9TU34	ITPR1	2.7181	0.961	49	57	
ITPR1_Mus_musculus_Mouse_P11881	ITPR1	2.7117	0.958	50	57	
ITPR1_Podarcis_muralis_Wall_lizard_Lacerta_m_A0A670JBK6	ITPR1	2.7108	0.958	51	57	
ITPR1_Homo_sapiens_Human_Q14643	ITPR1	2.71	0.958	52	57	
ITPR1_Gallus_gallus_Chicken_A0A8V0ZJT0	ITPR1	2.7096	0.958	53	57	
vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3IQL0	ITPR1	2.7081	0.957	54	57	
vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0AAJ7U4X1	unplaced	2.7076	0.957	55	57	cyclostome
ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0	ITPR1	2.7072	0.957	56	57	
vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401SQC9	ITPR1	2.6864	0.95	57	57	
