accession	assignment	confidence	evidence	reason	itpr_score	ryr_score	score_margin	rel_margin	itpr_evalue	ryr_evalue	best_evalue	itpr_coverage	ryr_coverage	itpr_positions	ryr_positions	target_coverage	length	gene	species	taxon_id	reviewed	protein_name
A0A7K4IS81	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	130.3	256.2	125.9	0.4914	2.4e-35	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr2_1	Geococcyx californianus	8947	0	RYR2 protein (Fragment)
A0A7K4ITN2	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	40.4	326.8	286.4	0.8764	3e-08	8.6e-95	8.6e-95	0.025	0.035	67	173	0.994	174	Ryr2_0	Geococcyx californianus	8947	0	RYR2 protein (Fragment)
A0A7K4IVT4	unassigned	none	module	itpr.hmm matched only 81 profile positions (< 200) — a shared module, not a family assignment	109.1	0.0	109.1	1.0	6e-29		6e-29	0.03	0.0	81	0	0.988	82	Itpr1_0	Geococcyx californianus	8947	0	ITPR1 protein (Fragment)
A0A7K4IWB9	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.2	256.2	123.0	0.4801	3.2e-36	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr3_0	Geococcyx californianus	8947	0	RYR3 protein (Fragment)
A0A7K4J7F2	unassigned	none	module	itpr.hmm matched only 72 profile positions (< 200) — a shared module, not a family assignment	100.5	0.0	100.5	1.0	2.3e-26		2.3e-26	0.027	0.0	72	0	0.878	82	Itpr2_1	Geococcyx californianus	8947	0	ITPR2 protein (Fragment)
A0A7K4JN00	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	42.4	320.4	278.0	0.8677	7.7e-09	7.3e-93	7.3e-93	0.029	0.035	78	173	0.989	174	Ryr3_2	Geococcyx californianus	8947	0	RYR3 protein (Fragment)
A0A7K4JN75	unassigned	none	module	ryr.hmm matched only 44 profile positions (< 200) — a shared module, not a family assignment	0.0	47.4	47.4	1.0		1.3e-10	1.3e-10	0.0	0.009	0	44	0.979	47	Ryr3_1	Geococcyx californianus	8947	0	RYR3 protein (Fragment)
A0A7K4JZF5	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	43.1	322.5	279.4	0.8664	4.5e-09	1.8e-93	1.8e-93	0.029	0.035	78	173	1.0	174	Ryr3_0	Crypturellus soui	458187	0	RYR3 protein (Fragment)
A0A7K4JZN9	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.2	256.2	123.0	0.4801	3.2e-36	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr3_1	Crypturellus soui	458187	0	RYR3 protein (Fragment)
A0A7K4JZZ8	unassigned	none	module	itpr.hmm matched only 81 profile positions (< 200) — a shared module, not a family assignment	109.3	0.0	109.3	1.0	5.1e-29		5.1e-29	0.03	0.0	81	0	0.988	82	Itpr1_0	Crypturellus soui	458187	0	ITPR1 protein (Fragment)
A0A7K4KMU3	unassigned	none	module	itpr.hmm matched only 83 profile positions (< 200) — a shared module, not a family assignment	101.3	0.0	101.3	1.0	1.3e-26		1.3e-26	0.031	0.0	83	0	0.939	82	Itpr2_0	Crypturellus soui	458187	0	ITPR2 protein (Fragment)
A0A7K4KMZ3	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	78.0	164.4	86.4	0.5255	1.4e-19	7.3e-46	7.3e-46	0.028	0.015	75	74	1.0	74	Ryr1_2	Crypturellus soui	458187	0	RYR1 protein (Fragment)
A0A7K4KMZ9	unassigned	none	module	ryr.hmm matched only 49 profile positions (< 200) — a shared module, not a family assignment	0.0	46.3	46.3	1.0		2.7e-10	2.7e-10	0.0	0.01	0	49	0.979	48	Ryr1_0	Crypturellus soui	458187	0	RYR1 protein (Fragment)
A0A7K4KPP1	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	35.1	306.7	271.6	0.8856	1.2e-06	9.5e-89	9.5e-89	0.022	0.035	59	173	0.977	176	Ryr1_1	Crypturellus soui	458187	0	RYR1 protein (Fragment)
A0A7K4L232	unassigned	none	module	itpr.hmm matched only 169 profile positions (< 200) — a shared module, not a family assignment	263.5	0.0	263.5	1.0	1.7e-75		1.7e-75	0.063	0.0	169	0	0.994	169	Itpr3_2	Crypturellus soui	458187	0	Inositol 1,4,5-trisphosphate receptor (Fragment)
A0A7K4L3W8	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	130.3	256.2	125.9	0.4914	2.4e-35	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr2_0	Crypturellus undulatus	48396	0	RYR2 protein (Fragment)
A0A7K4LHU6	unassigned	none	module	itpr.hmm matched only 83 profile positions (< 200) — a shared module, not a family assignment	101.3	0.0	101.3	1.0	1.3e-26		1.3e-26	0.031	0.0	83	0	0.939	82	Itpr2_0	Crypturellus undulatus	48396	0	ITPR2 protein (Fragment)
A0A7K4LI79	unassigned	none	module	ryr.hmm matched only 49 profile positions (< 200) — a shared module, not a family assignment	0.0	46.3	46.3	1.0		2.7e-10	2.7e-10	0.0	0.01	0	49	0.979	48	Ryr1_1	Crypturellus undulatus	48396	0	RYR1 protein (Fragment)
A0A7K4LKC2	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	35.4	306.8	271.4	0.8846	9.4e-07	9.3e-89	9.3e-89	0.022	0.035	59	173	0.977	176	Ryr1_2	Crypturellus undulatus	48396	0	RYR1 protein (Fragment)
A0A7K4LQQ4	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	43.1	322.5	279.4	0.8664	4.5e-09	1.8e-93	1.8e-93	0.029	0.035	78	173	1.0	174	Ryr3_0	Crypturellus undulatus	48396	0	RYR3 protein (Fragment)
A0A7K4LQQ6	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.2	256.2	123.0	0.4801	3.2e-36	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr3_1	Crypturellus undulatus	48396	0	RYR3 protein (Fragment)
A0A7K4LTG5	unassigned	none	module	itpr.hmm matched only 81 profile positions (< 200) — a shared module, not a family assignment	109.3	0.0	109.3	1.0	5.1e-29		5.1e-29	0.03	0.0	81	0	0.988	82	Itpr1_0	Crypturellus undulatus	48396	0	ITPR1 protein (Fragment)
A0A7K4M6F9	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	68.3	123.3	55.0	0.4461	1.2e-16	1.7e-33	1.7e-33	0.021	0.011	56	54	1.0	56	Ryr1_3	Crypturellus undulatus	48396	0	RYR1 protein (Fragment)
A0A7K4PA70	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.2	256.2	123.0	0.4801	3.2e-36	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr3_2	Melospiza melodia	44397	0	RYR3 protein (Fragment)
A0A7K4PAD7	unassigned	none	module	ryr.hmm matched only 44 profile positions (< 200) — a shared module, not a family assignment	0.0	46.2	46.2	1.0		2.9e-10	2.9e-10	0.0	0.009	0	44	0.979	47	Ryr3_0	Melospiza melodia	44397	0	RYR3 protein (Fragment)
A0A7K4PDP0	unassigned	none	module	ryr.hmm matched only 128 profile positions (< 200) — a shared module, not a family assignment	43.4	223.7	180.3	0.806	3.8e-09	9.7e-64	9.7e-64	0.029	0.026	78	128	0.977	130	Ryr3_1	Melospiza melodia	44397	0	RYR3 protein (Fragment)
A0A7K4PGT7	unassigned	none	module	itpr.hmm matched only 81 profile positions (< 200) — a shared module, not a family assignment	103.4	0.0	103.4	1.0	3e-27		3e-27	0.03	0.0	81	0	0.964	83	Itpr1_0	Melospiza melodia	44397	0	ITPR1 protein (Fragment)
A0A7K4Q0B7	unassigned	none	module	itpr.hmm matched only 83 profile positions (< 200) — a shared module, not a family assignment	101.3	0.0	101.3	1.0	1.3e-26		1.3e-26	0.031	0.0	83	0	0.939	82	Itpr2_0	Melospiza melodia	44397	0	ITPR2 protein (Fragment)
A0A7K4QFC2	unassigned	none	module	itpr.hmm matched only 83 profile positions (< 200) — a shared module, not a family assignment	101.3	0.0	101.3	1.0	1.3e-26		1.3e-26	0.031	0.0	83	0	0.939	82	Itpr2_0	Neopipo cinnamomea	456388	0	ITPR2 protein (Fragment)
A0A7K4QGU9	unassigned	none	module	itpr.hmm matched only 78 profile positions (< 200) — a shared module, not a family assignment	104.1	0.0	104.1	1.0	2e-27		2e-27	0.029	0.0	78	0	0.94	83	Itpr1_0	Neopipo cinnamomea	456388	0	ITPR1 protein (Fragment)
A0A7K4RE99	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	130.3	256.2	125.9	0.4914	2.4e-35	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr2_1	Neopipo cinnamomea	456388	0	RYR2 protein (Fragment)
A0A7K4RFQ7	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.2	256.2	123.0	0.4801	3.2e-36	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr3_2	Neopipo cinnamomea	456388	0	RYR3 protein (Fragment)
A0A7K4RG38	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	41.3	321.0	279.7	0.8713	1.7e-08	4.8e-93	4.8e-93	0.028	0.035	75	173	0.983	175	Ryr3_1	Neopipo cinnamomea	456388	0	RYR3 protein (Fragment)
A0A7K4RLS6	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.8	256.7	122.9	0.4788	2.1e-36	1.1e-73	1.1e-73	0.041	0.022	110	108	1.0	108	Ryr3_2	Columbina picui	115618	0	RYR3 protein (Fragment)
A0A7K4RLS8	unassigned	none	module	ryr.hmm matched only 44 profile positions (< 200) — a shared module, not a family assignment	0.0	46.6	46.6	1.0		2.3e-10	2.3e-10	0.0	0.009	0	44	0.979	47	Ryr3_0	Columbina picui	115618	0	RYR3 protein (Fragment)
A0A7K4RNB9	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	42.4	321.4	279.0	0.8681	7.6e-09	3.7e-93	3.7e-93	0.029	0.035	78	173	0.989	174	Ryr3_1	Columbina picui	115618	0	RYR3 protein (Fragment)
A0A7K4SQ55	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	42.4	321.4	279.0	0.8681	7.6e-09	3.7e-93	3.7e-93	0.029	0.035	78	173	0.989	174	Ryr3_0	Burhinus bistriatus	240201	0	RYR3 protein (Fragment)
A0A7K4SSH6	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.2	256.2	123.0	0.4801	3.2e-36	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr3_1	Burhinus bistriatus	240201	0	RYR3 protein (Fragment)
A0A7K4T7S2	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	41.0	327.5	286.5	0.8748	1.9e-08	5.5e-95	5.5e-95	0.025	0.035	67	173	0.977	177	Ryr2_0	Burhinus bistriatus	240201	0	RYR2 protein (Fragment)
A0A7K4T8Y3	unassigned	none	module	ryr.hmm matched only 49 profile positions (< 200) — a shared module, not a family assignment	0.0	45.5	45.5	1.0		4.8e-10	4.8e-10	0.0	0.01	0	49	0.667	72	Ryr1	Burhinus bistriatus	240201	0	RYR1 protein (Fragment)
A0A7K4T960	unassigned	none	module	itpr.hmm matched only 83 profile positions (< 200) — a shared module, not a family assignment	101.3	0.0	101.3	1.0	1.3e-26		1.3e-26	0.031	0.0	83	0	0.939	82	Itpr2_0	Burhinus bistriatus	240201	0	ITPR2 protein (Fragment)
A0A7K4TAE9	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	130.3	256.2	125.9	0.4914	2.4e-35	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr2_1	Burhinus bistriatus	240201	0	RYR2 protein (Fragment)
A0A7K4TAI9	unassigned	none	module	itpr.hmm matched only 81 profile positions (< 200) — a shared module, not a family assignment	109.3	0.0	109.3	1.0	5.1e-29		5.1e-29	0.03	0.0	81	0	0.988	82	Itpr1_0	Burhinus bistriatus	240201	0	ITPR1 protein (Fragment)
A0A7K4TZP7	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	77.4	163.4	86.0	0.5263	2.1e-19	1.5e-45	1.5e-45	0.028	0.015	75	74	1.0	74	Ryr1_0	Sinosuthora webbiana	337173	0	RYR1 protein (Fragment)
A0A7K4UBN8	unassigned	none	module	itpr.hmm matched only 75 profile positions (< 200) — a shared module, not a family assignment	100.6	0.0	100.6	1.0	2.2e-26		2.2e-26	0.028	0.0	75	0	0.938	81	Itpr2_0	Sinosuthora webbiana	337173	0	ITPR2 protein (Fragment)
A0A7K4UGM8	unassigned	none	module	itpr.hmm matched only 81 profile positions (< 200) — a shared module, not a family assignment	103.4	0.0	103.4	1.0	3e-27		3e-27	0.03	0.0	81	0	0.964	83	Itpr1_0	Sinosuthora webbiana	337173	0	ITPR1 protein (Fragment)
A0A7K4UGY6	unassigned	none	module	itpr.hmm matched only 102 profile positions (< 200) — a shared module, not a family assignment	229.2	118.6	110.6	0.4825	3.6e-65	4.6e-32	3.6e-65	0.038	0.02	102	99	1.0	101	Itpr1_1	Sinosuthora webbiana	337173	0	ITPR1 protein (Fragment)
A0A7K4ULM8	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.2	256.2	123.0	0.4801	3.2e-36	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr3_2	Sinosuthora webbiana	337173	0	RYR3 protein (Fragment)
A0A7K4UMC4	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	42.3	321.3	279.0	0.8683	8.1e-09	3.9e-93	3.9e-93	0.029	0.035	78	173	0.983	175	Ryr3_1	Sinosuthora webbiana	337173	0	RYR3 protein (Fragment)
A0A7K4UP94	unassigned	none	module	ryr.hmm matched only 49 profile positions (< 200) — a shared module, not a family assignment	0.0	45.7	45.7	1.0		4.2e-10	4.2e-10	0.0	0.01	0	49	0.923	52	Ryr1_1	Sinosuthora webbiana	337173	0	RYR1 protein (Fragment)
A0A7K4V991	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.2	256.2	123.0	0.4801	3.2e-36	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr3_3	Emberiza fucata	337179	0	RYR3 protein (Fragment)
A0A7K4V9P4	unassigned	none	module	ryr.hmm matched only 44 profile positions (< 200) — a shared module, not a family assignment	0.0	46.7	46.7	1.0		2e-10	2e-10	0.0	0.009	0	44	0.979	47	Ryr3_1	Emberiza fucata	337179	0	RYR3 protein (Fragment)
A0A7K4VB31	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	43.2	321.8	278.6	0.8658	4.2e-09	2.8e-93	2.8e-93	0.03	0.035	81	173	0.994	175	Ryr3_2	Emberiza fucata	337179	0	RYR3 protein (Fragment)
A0A7K4VFP3	unassigned	none	module	itpr.hmm matched only 83 profile positions (< 200) — a shared module, not a family assignment	101.3	0.0	101.3	1.0	1.3e-26		1.3e-26	0.031	0.0	83	0	0.939	82	Itpr2_0	Emberiza fucata	337179	0	ITPR2 protein (Fragment)
A0A7K4VMR2	unassigned	none	module	itpr.hmm matched only 81 profile positions (< 200) — a shared module, not a family assignment	103.4	0.0	103.4	1.0	3e-27		3e-27	0.03	0.0	81	0	0.964	83	Itpr1_1	Emberiza fucata	337179	0	ITPR1 protein (Fragment)
A0A7K4WFF8	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	41.7	320.6	278.9	0.8699	1.2e-08	6.3e-93	6.3e-93	0.028	0.035	75	173	0.977	175	Ryr3_1	Tachuris rubrigastra	495162	0	RYR3 protein (Fragment)
A0A7K4WFM6	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.2	256.2	123.0	0.4801	3.2e-36	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr3_2	Tachuris rubrigastra	495162	0	RYR3 protein (Fragment)
A0A7K4WG62	unassigned	none	module	ryr.hmm matched only 44 profile positions (< 200) — a shared module, not a family assignment	0.0	46.2	46.2	1.0		3e-10	3e-10	0.0	0.009	0	44	0.979	47	Ryr3_0	Tachuris rubrigastra	495162	0	RYR3 protein (Fragment)
A0A7K4WHI1	unassigned	none	module	itpr.hmm matched only 81 profile positions (< 200) — a shared module, not a family assignment	103.4	0.0	103.4	1.0	3e-27		3e-27	0.03	0.0	81	0	0.964	83	Itpr1_0	Tachuris rubrigastra	495162	0	ITPR1 protein (Fragment)
A0A7K4WRD8	unassigned	none	module	itpr.hmm matched only 83 profile positions (< 200) — a shared module, not a family assignment	101.3	0.0	101.3	1.0	1.3e-26		1.3e-26	0.031	0.0	83	0	0.939	82	Itpr2_0	Tachuris rubrigastra	495162	0	ITPR2 protein (Fragment)
A0A7K4X5B3	unassigned	none	module	itpr.hmm matched only 83 profile positions (< 200) — a shared module, not a family assignment	101.3	0.0	101.3	1.0	1.3e-26		1.3e-26	0.031	0.0	83	0	0.939	82	Itpr2_0	Regulus satrapa	13245	0	ITPR2 protein (Fragment)
A0A7K4XP44	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.2	256.2	123.0	0.4801	3.2e-36	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr3_1	Regulus satrapa	13245	0	RYR3 protein (Fragment)
A0A7K4XQ23	unassigned	none	module	itpr.hmm matched only 81 profile positions (< 200) — a shared module, not a family assignment	103.4	0.0	103.4	1.0	3e-27		3e-27	0.03	0.0	81	0	0.964	83	Itpr1_0	Regulus satrapa	13245	0	ITPR1 protein (Fragment)
A0A7K4XR39	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	42.3	321.3	279.0	0.8683	8.1e-09	3.9e-93	3.9e-93	0.029	0.035	78	173	0.983	175	Ryr3_0	Regulus satrapa	13245	0	RYR3 protein (Fragment)
A0A7K4YSF8	unassigned	none	module	ryr.hmm matched only 49 profile positions (< 200) — a shared module, not a family assignment	0.0	45.3	45.3	1.0		5.4e-10	5.4e-10	0.0	0.01	0	49	0.706	68	Ryr1_0	Bucorvus abyssinicus	153643	0	RYR1 protein (Fragment)
A0A7K4YVJ5	unassigned	none	module	ryr.hmm matched only 143 profile positions (< 200) — a shared module, not a family assignment	0.0	192.3	192.3	1.0		2.9e-54	2.9e-54	0.0	0.029	0	143	0.596	245	Ryr3_0	Bucorvus abyssinicus	153643	0	RYR3 protein (Fragment)
A0A7K4YVJ8	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.2	256.2	123.0	0.4801	3.2e-36	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr3_2	Bucorvus abyssinicus	153643	0	RYR3 protein (Fragment)
A0A7K4YVP2	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	41.9	321.1	279.2	0.8695	1.1e-08	4.5e-93	4.5e-93	0.029	0.035	78	173	0.983	175	Ryr3_1	Bucorvus abyssinicus	153643	0	RYR3 protein (Fragment)
A0A7K4Z1Q0	unassigned	none	module	itpr.hmm matched only 83 profile positions (< 200) — a shared module, not a family assignment	100.6	0.0	100.6	1.0	2.1e-26		2.1e-26	0.031	0.0	83	0	0.939	82	Itpr2_0	Bucorvus abyssinicus	153643	0	ITPR2 protein (Fragment)
A0A7K4ZHQ9	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.2	256.2	123.0	0.4801	3.2e-36	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr3_3	Centropus unirufus	1118519	0	RYR3 protein (Fragment)
A0A7K4ZHT1	unassigned	none	module	ryr.hmm matched only 138 profile positions (< 200) — a shared module, not a family assignment	0.0	191.8	191.8	1.0		4e-54	4e-54	0.0	0.028	0	138	0.611	229	Ryr3_1	Centropus unirufus	1118519	0	RYR3 protein (Fragment)
A0A7K4ZHU9	unassigned	none	module	ryr.hmm matched only 44 profile positions (< 200) — a shared module, not a family assignment	0.0	47.4	47.4	1.0		1.3e-10	1.3e-10	0.0	0.009	0	44	0.979	47	Ryr3_0	Centropus unirufus	1118519	0	RYR3 protein (Fragment)
