accession	call	confidence	reason	instruments	arch_call	profile_call	profile_confidence	itpr_score	ryr_score	rel_margin	searches	source	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams
A0A2G9PHT1	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 440.7 bits (100.0% of 440.7) over 291 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	440.7	1.0	sweep	HMM	AB205_0156010	Ryanodine receptor Ryr domain-containing protein (Fragment)	Aquarana catesbeiana	8400	Vertebrata	Metazoa	Chordata				290			0						
A0A2G9PS42	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 422.8 bits (60.4% of 700.2) over 311 profile positions	profile		RYR	medium	277.4	700.2	0.6038	sweep	HMM	AB205_0058580	Ion transport domain-containing protein (Fragment)	Aquarana catesbeiana	8400	Vertebrata	Metazoa	Chordata				313			0						
A0A2G9REK1	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 462.1 bits (100.0% of 462.1) over 381 profile positions; no ryr.hmm hit	profile		ITPR	medium	462.1	0.0	1.0	sweep	HMM	AB205_0129360	Uncharacterized protein	Aquarana catesbeiana	8400	Vertebrata	Metazoa	Chordata				365			0						
A0A2G9RXK1	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 370.1 bits (100.0% of 370.1) over 301 profile positions; no ryr.hmm hit	profile		ITPR	medium	370.1	0.0	1.0	sweep	HMM	AB205_0055830	Inositol 1,4,5-trisphosphate receptor (Fragment)	Aquarana catesbeiana	8400	Vertebrata	Metazoa	Chordata				310			0						
A0A2I0LIQ5	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 1235.8 bits (100.0% of 1235.8) over 991 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	1235.8	1.0	sweep	HMM	A306_00014560	Ryanodine receptor 1-like	Columba livia	8932	Vertebrata	Metazoa	Chordata				1253			0						
A0A2I0TK21	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 376.4 bits (63.7% of 590.7) over 333 profile positions	profile		ITPR	medium	590.7	214.3	0.6372	sweep	HMM	llap_15584	Ion transport domain-containing protein	Limosa lapponica baueri	1758121	Vertebrata	Metazoa	Chordata				383			0						
A0A2I4D5T4	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 1214.3 bits (78.9% of 1539.7) over 951 profile positions	profile		RYR	medium	325.4	1539.7	0.7887	sweep	HMM	LOC106535208	LOW QUALITY PROTEIN: ryanodine receptor 3-like	Austrofundulus limnaeus	52670	Vertebrata	Metazoa	Chordata				957			0						
A0A2K5DAZ3	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 518.3 bits (69.0% of 750.8) over 411 profile positions	profile		ITPR	medium	750.8	232.5	0.6903	sweep	HMM		Ion transport domain-containing protein	Aotus nancymaae	37293	Vertebrata	Metazoa	Chordata				466			0						
A0A2P4SH86	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 278.2 bits (68.4% of 406.7) over 207 profile positions	profile		RYR	medium	128.5	406.7	0.684	sweep	HMM	CIB84_012794	Ion transport domain-containing protein (Fragment)	Bambusicola thoracicus	9083	Vertebrata	Metazoa	Chordata				252			0						
A0A2P4SWD5	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 647.7 bits (74.0% of 874.9) over 502 profile positions	profile		ITPR	medium	874.9	227.2	0.7403	sweep	HMM	CIB84_007851	Ion transport domain-containing protein (Fragment)	Bambusicola thoracicus	9083	Vertebrata	Metazoa	Chordata				542			0						
A0A2P4TAC8	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 533.0 bits (73.0% of 729.9) over 411 profile positions	profile		ITPR	medium	729.9	196.9	0.7302	sweep	HMM	CIB84_002931	Ion transport domain-containing protein (Fragment)	Bambusicola thoracicus	9083	Vertebrata	Metazoa	Chordata				469			0						
A0A2P4TGL7	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 569.8 bits (73.2% of 778.8) over 419 profile positions	profile		ITPR	medium	778.8	209.0	0.7316	sweep	HMM	CIB84_000733	Ion transport domain-containing protein (Fragment)	Bambusicola thoracicus	9083	Vertebrata	Metazoa	Chordata				467			0						
A0A2U3YJ50	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 495.2 bits (100.0% of 495.2) over 397 profile positions; no ryr.hmm hit	profile		ITPR	medium	495.2	0.0	1.0	sweep	HMM	ITPR3	Inositol 1,4,5-trisphosphate receptor	Leptonychotes weddellii	9713	Vertebrata	Metazoa	Chordata				557			0						
A0A315V5E5	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 270.5 bits (100.0% of 270.5) over 202 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	270.5	1.0	sweep	HMM	CCH79_00016698	Ryanodine receptor Ryr domain-containing protein	Gambusia affinis	33528	Vertebrata	Metazoa	Chordata				224			0						
A0A315VFZ0	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 388.2 bits (100.0% of 388.2) over 311 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	388.2	1.0	sweep	HMM	CCH79_00018225	Uncharacterized protein	Gambusia affinis	33528	Vertebrata	Metazoa	Chordata				312			0						
A0A315VHK9	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 380.6 bits (100.0% of 380.6) over 306 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	380.6	1.0	sweep	HMM	CCH79_00018227	Ryanodine receptor Ryr domain-containing protein	Gambusia affinis	33528	Vertebrata	Metazoa	Chordata				362			0						
A0A3B1KAR3	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 516.5 bits (100.0% of 516.5) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	516.5	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Astyanax mexicanus	7994	Vertebrata	Metazoa	Chordata				303			0						
A0A3B3B6G7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 524.4 bits (100.0% of 524.4) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	524.4	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Oryzias melastigma	30732	Vertebrata	Metazoa	Chordata				305			0						
A0A3B3BTH6	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 402.5 bits (100.0% of 402.5) over 281 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	402.5	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Oryzias melastigma	30732	Vertebrata	Metazoa	Chordata				316			0						
A0A3B3C9F9	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 480.8 bits (68.3% of 703.6) over 427 profile positions	profile		ITPR	medium	703.6	222.8	0.6833	sweep	HMM		Ion transport domain-containing protein	Oryzias melastigma	30732	Vertebrata	Metazoa	Chordata				462			0						
A0A3B3CJS3	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 515.5 bits (100.0% of 515.5) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	515.5	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Oryzias melastigma	30732	Vertebrata	Metazoa	Chordata				297			0						
A0A3B3HRI4	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 513.5 bits (100.0% of 513.5) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	513.5	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Oryzias latipes	8090	Vertebrata	Metazoa	Chordata				297			0						
A0A3B3IIK0	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 511.0 bits (100.0% of 511.0) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	511.0	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Oryzias latipes	8090	Vertebrata	Metazoa	Chordata				298			0						
A0A3B3INL7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 469.8 bits (78.1% of 601.8) over 404 profile positions	profile		RYR	medium	132.0	601.8	0.7807	sweep	HMM		Uncharacterized protein	Oryzias latipes	8090	Vertebrata	Metazoa	Chordata				409			0						
A0A3B3RBH7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 512.5 bits (100.0% of 512.5) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	512.5	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Paramormyrops kingsleyae	1676925	Vertebrata	Metazoa	Chordata				297			0						
A0A3B3VLV4	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 519.5 bits (69.2% of 750.5) over 440 profile positions	profile		ITPR	medium	750.5	231.0	0.6922	sweep	HMM		Ion transport domain-containing protein	Poecilia latipinna	48699	Vertebrata	Metazoa	Chordata				479			0						
A0A3B3WJ85	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 541.8 bits (69.9% of 775.0) over 432 profile positions	profile		ITPR	medium	775.0	233.2	0.6991	sweep	HMM		Ion transport domain-containing protein	Poecilia mexicana	48701	Vertebrata	Metazoa	Chordata				463			0						
A0A3B3WTS6	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 518.4 bits (100.0% of 518.4) over 311 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	518.4	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Poecilia mexicana	48701	Vertebrata	Metazoa	Chordata				316			0						
A0A3B3WXV7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 516.1 bits (100.0% of 516.1) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	516.1	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Poecilia mexicana	48701	Vertebrata	Metazoa	Chordata				329			0						
A0A3B3YLI8	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 517.9 bits (100.0% of 517.9) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	517.9	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Poecilia mexicana	48701	Vertebrata	Metazoa	Chordata				345			0						
A0A3B3ZXK3	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 334.6 bits (100.0% of 334.6) over 286 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	334.6	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Periophthalmus magnuspinnatus	409849	Vertebrata	Metazoa	Chordata				300			0						
A0A3B4AQA5	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 516.0 bits (100.0% of 516.0) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	516.0	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Periophthalmus magnuspinnatus	409849	Vertebrata	Metazoa	Chordata				309			0						
A0A3B4AQZ0	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 539.1 bits (100.0% of 539.1) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	539.1	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Periophthalmus magnuspinnatus	409849	Vertebrata	Metazoa	Chordata				304			0						
A0A3B4ASF8	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 537.7 bits (100.0% of 537.7) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	537.7	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Periophthalmus magnuspinnatus	409849	Vertebrata	Metazoa	Chordata				305			0						
A0A3B4B2J7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 538.0 bits (100.0% of 538.0) over 306 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	538.0	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Periophthalmus magnuspinnatus	409849	Vertebrata	Metazoa	Chordata				323			0						
A0A3B4B8G6	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 519.7 bits (100.0% of 519.7) over 306 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	519.7	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Periophthalmus magnuspinnatus	409849	Vertebrata	Metazoa	Chordata				307			0						
A0A3B5KS88	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 555.5 bits (70.2% of 791.7) over 448 profile positions	profile		ITPR	medium	791.7	236.2	0.7017	sweep	HMM		Ion transport domain-containing protein	Xiphophorus couchianus	32473	Vertebrata	Metazoa	Chordata				471			0						
A0A3B5L1R4	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 521.1 bits (100.0% of 521.1) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	521.1	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Xiphophorus couchianus	32473	Vertebrata	Metazoa	Chordata				303			0						
A0A3B5M9W9	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 527.5 bits (100.0% of 527.5) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	527.5	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Xiphophorus couchianus	32473	Vertebrata	Metazoa	Chordata				302			0						
A0A3B5MTV5	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 523.8 bits (100.0% of 523.8) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	523.8	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Xiphophorus couchianus	32473	Vertebrata	Metazoa	Chordata				310			0						
A0A3B5QLE1	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 518.9 bits (100.0% of 518.9) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	518.9	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Xiphophorus maculatus	8083	Vertebrata	Metazoa	Chordata				304			0						
A0A3B5QUK7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 523.8 bits (100.0% of 523.8) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	523.8	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Xiphophorus maculatus	8083	Vertebrata	Metazoa	Chordata				310			0						
A0A3B5R5B4	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 513.7 bits (100.0% of 513.7) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	513.7	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Xiphophorus maculatus	8083	Vertebrata	Metazoa	Chordata				309			0						
A0A3L8Q561	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 449.3 bits (100.0% of 449.3) over 429 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	449.3	1.0	sweep	HMM	DV515_00019418	Ryanodine Receptor TM 4-6 domain-containing protein	Chloebia gouldiae	44316	Vertebrata	Metazoa	Chordata				448			0						
A0A3L8SIK9	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 344.6 bits (59.5% of 579.1) over 306 profile positions	profile		ITPR	medium	579.1	234.5	0.5951	sweep	HMM	DV515_00007631	Ion transport domain-containing protein	Chloebia gouldiae	44316	Vertebrata	Metazoa	Chordata				342			0						
A0A3L8SMF9	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 40.9 bits (100.0% of 40.9) over 222 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	40.9	1.0	sweep	HMM	DV515_00005851	B30.2/SPRY domain-containing protein	Chloebia gouldiae	44316	Vertebrata	Metazoa	Chordata				557			0						
A0A3M0IN77	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 518.6 bits (70.9% of 731.5) over 439 profile positions	profile		RYR	medium	212.9	731.5	0.709	sweep	HMM	DUI87_33455	Ion transport domain-containing protein	Hirundo rustica rustica	333673	Vertebrata	Metazoa	Chordata				628			0						
A0A3M0JEH4	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 639.1 bits (74.1% of 862.7) over 494 profile positions	profile		ITPR	medium	862.7	223.6	0.7408	sweep	HMM	DUI87_24098	Ion transport domain-containing protein	Hirundo rustica rustica	333673	Vertebrata	Metazoa	Chordata				535			0						
A0A3M0JR92	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 413.4 bits (64.4% of 641.7) over 325 profile positions	profile		ITPR	medium	641.7	228.3	0.6442	sweep	HMM	DUI87_20012	Ion transport domain-containing protein	Hirundo rustica rustica	333673	Vertebrata	Metazoa	Chordata				359			0						
A0A3M0LCP8	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 355.0 bits (72.2% of 492.0) over 360 profile positions	profile		RYR	medium	137.0	492.0	0.7215	sweep	HMM	DUI87_00038	Ion transport domain-containing protein	Hirundo rustica rustica	333673	Vertebrata	Metazoa	Chordata				374			0						
A0A3N0YG82	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 776.2 bits (100.0% of 776.2) over 680 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	776.2	1.0	sweep	HMM	DPX16_17873	Ryanodine receptor 2	Anabarilius grahami	495550	Vertebrata	Metazoa	Chordata				752			0						
A0A3N0YGP2	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 641.4 bits (69.1% of 928.0) over 508 profile positions	profile		RYR	medium	286.6	928.0	0.6912	sweep	HMM	DPX16_17875	Ryanodine receptor 2	Anabarilius grahami	495550	Vertebrata	Metazoa	Chordata				548			0						
A0A3P8UIV2	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 493.8 bits (100.0% of 493.8) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	493.8	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Cynoglossus semilaevis	244447	Vertebrata	Metazoa	Chordata				299			0						
A0A3P8UT24	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 516.5 bits (100.0% of 516.5) over 306 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	516.5	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Cynoglossus semilaevis	244447	Vertebrata	Metazoa	Chordata				310			0						
