accession	call	confidence	reason	instruments	arch_call	profile_call	profile_confidence	itpr_score	ryr_score	rel_margin	searches	source	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	verdict
A0A1D5P2S9	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4275.8	446.8	0.8955	interpro+calibration	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor	Gallus gallus (Chicken)	9031	Vertebrata	Metazoa	Chordata	Aves	Galliformes	Phasianidae	2685	1		0	Evidence at protein level	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1D5QUC0	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4007.2	399.2	0.9004	interpro+calibration	InterPro	ITPR3	Inositol 1,4,5-trisphosphate receptor	Macaca mulatta (Rhesus macaque)	9544	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	2665	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1D5R5F4	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4289.2	414.8	0.9033	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Macaca mulatta (Rhesus macaque)	9544	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	2602	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1D5RF86	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4163.7	451.7	0.8915	interpro+calibration	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor	Macaca mulatta (Rhesus macaque)	9544	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	2658	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1S3ENF4	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4448.1	427.6	0.9039	interpro+calibration	InterPro	Itpr1	Inositol 1,4,5-trisphosphate receptor	Dipodomys ordii (Ord's kangaroo rat)	10020	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Heteromyidae	2719	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1S3ENH0	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4450.5	426.4	0.9042	interpro+calibration	InterPro	Itpr1	Inositol 1,4,5-trisphosphate receptor	Dipodomys ordii (Ord's kangaroo rat)	10020	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Heteromyidae	2695	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1S3EPM5	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4454.0	427.6	0.904	interpro+calibration	InterPro	Itpr1	Inositol 1,4,5-trisphosphate receptor	Dipodomys ordii (Ord's kangaroo rat)	10020	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Heteromyidae	2710	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1S3EPQ6	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4283.0	407.4	0.9049	interpro+calibration	InterPro	Itpr1	Inositol 1,4,5-trisphosphate receptor	Dipodomys ordii (Ord's kangaroo rat)	10020	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Heteromyidae	2611	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1S3ER37	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4442.5	426.4	0.904	interpro+calibration	InterPro	Itpr1	Inositol 1,4,5-trisphosphate receptor	Dipodomys ordii (Ord's kangaroo rat)	10020	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Heteromyidae	2723	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1S3GNS7	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4045.7	419.0	0.8964	interpro+calibration	InterPro	Itpr3	Inositol 1,4,5-trisphosphate receptor	Dipodomys ordii (Ord's kangaroo rat)	10020	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Heteromyidae	2668	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1S3GP46	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4036.6	419.4	0.8961	interpro+calibration	InterPro	Itpr3	Inositol 1,4,5-trisphosphate receptor	Dipodomys ordii (Ord's kangaroo rat)	10020	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Heteromyidae	2674	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1S3GS26	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3550.0	343.4	0.9033	interpro+calibration	InterPro	Itpr2	Inositol 1,4,5-trisphosphate receptor	Dipodomys ordii (Ord's kangaroo rat)	10020	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Heteromyidae	2377	1		0	Inferred from homology	0	PF01365;PF08454	PF00520;PF01365;PF02815;PF08454	4		not in the DB; another entry of the same gene was hit
A0A1S3KQA4	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4038.8	446.3	0.8895	interpro+calibration	InterPro	LOC100196824	Inositol 1,4,5-trisphosphate receptor	Salmo salar (Atlantic salmon)	8030	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2696	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1S3LB34	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4339.5	407.8	0.906	interpro+calibration	InterPro	LOC106565476	Inositol 1,4,5-trisphosphate receptor	Salmo salar (Atlantic salmon)	8030	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2733	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1S3LB39	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4338.2	407.7	0.906	interpro+calibration	InterPro	LOC106565476	Inositol 1,4,5-trisphosphate receptor	Salmo salar (Atlantic salmon)	8030	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2745	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1S3LB41	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4346.8	407.6	0.9062	interpro+calibration	InterPro	LOC106565476	Inositol 1,4,5-trisphosphate receptor	Salmo salar (Atlantic salmon)	8030	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2718	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1S3P2N8	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4268.6	397.1	0.907	interpro+calibration	InterPro	itpr1b	Inositol 1,4,5-trisphosphate receptor	Salmo salar (Atlantic salmon)	8030	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2745	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1S3P2R8	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4269.9	398.2	0.9067	interpro+calibration	InterPro	itpr1b	Inositol 1,4,5-trisphosphate receptor	Salmo salar (Atlantic salmon)	8030	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2735	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1U7Q3N1	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4453.2	430.4	0.9034	interpro+calibration	InterPro	Itpr1	Inositol 1,4,5-trisphosphate receptor	Mesocricetus auratus (Golden hamster)	10036	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	2694	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1U7Q6Y6	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4440.0	432.3	0.9026	interpro+calibration	InterPro	Itpr1	Inositol 1,4,5-trisphosphate receptor	Mesocricetus auratus (Golden hamster)	10036	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	2757	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1U7Q8M5	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4455.4	432.5	0.9029	interpro+calibration	InterPro	Itpr1	Inositol 1,4,5-trisphosphate receptor	Mesocricetus auratus (Golden hamster)	10036	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	2709	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1U7QEZ5	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4437.8	430.2	0.9031	interpro+calibration	InterPro	Itpr1	Inositol 1,4,5-trisphosphate receptor	Mesocricetus auratus (Golden hamster)	10036	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	2742	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1U7QHI7	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4443.6	430.2	0.9032	interpro+calibration	InterPro	Itpr1	Inositol 1,4,5-trisphosphate receptor	Mesocricetus auratus (Golden hamster)	10036	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	2733	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1U8BI12	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4445.8	432.3	0.9028	interpro+calibration	InterPro	Itpr1	Inositol 1,4,5-trisphosphate receptor	Mesocricetus auratus (Golden hamster)	10036	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	2748	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1U8DHX3	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4421.3	429.0	0.903	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Alligator sinensis (Chinese alligator)	38654	Vertebrata	Metazoa	Chordata		Crocodylia	Alligatoridae	2697	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A1V4J2B5	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4187.4	439.8	0.895	interpro+calibration	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor	Patagioenas fasciata monilis	372326	Vertebrata	Metazoa	Chordata	Aves	Columbiformes	Columbidae	2709	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A286XQ72	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4438.2	430.8	0.9029	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Cavia porcellus (Guinea pig)	10141	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Caviidae	2723	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A286ZUQ1	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4445.6	435.1	0.9021	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Sus scrofa (Pig)	9823	Vertebrata	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	2726	1		0	Evidence at protein level	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A287D5A0	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	medium	960.6	58.2	0.9394	interpro+calibration	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor type 2	Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus)	43179	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Sciuridae	637	0		0	Predicted	1	PF01365	PF01365;PF02815	2		not in the DB; another entry of the same gene was hit
A0A2D0PIW9	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4330.7	402.8	0.907	interpro+calibration	InterPro	itpr1b	Inositol 1,4,5-trisphosphate receptor	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	7998	Vertebrata	Metazoa	Chordata	Actinopteri	Siluriformes	Ictaluridae	2735	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A2D0PKE3	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4321.6	402.5	0.9069	interpro+calibration	InterPro	itpr1b	Inositol 1,4,5-trisphosphate receptor	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	7998	Vertebrata	Metazoa	Chordata	Actinopteri	Siluriformes	Ictaluridae	2763	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A2D0QU11	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3992.2	431.6	0.8919	interpro+calibration	InterPro	itpr2	Inositol 1,4,5-trisphosphate receptor	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	7998	Vertebrata	Metazoa	Chordata	Actinopteri	Siluriformes	Ictaluridae	2672	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A2I2Y2V9	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	medium	993.8	122.1	0.8771	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Gorilla gorilla gorilla (Western lowland gorilla)	9595	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hominidae	714	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		not in the DB; another entry of the same gene was hit
A0A2I2YU45	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	medium	1622.7	158.6	0.9023	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Gorilla gorilla gorilla (Western lowland gorilla)	9595	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hominidae	1021	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		not in the DB; another entry of the same gene was hit
A0A2I2YUG6	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	medium	1314.9	327.5	0.7509	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Gorilla gorilla gorilla (Western lowland gorilla)	9595	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hominidae	721	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		not in the DB; another entry of the same gene was hit
A0A2I2Z1G9	ITPR	low	architecture only — no profile verdict	architecture	ITPR	unassigned	none	259.2	26.5	0.8978	interpro+calibration	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor	Gorilla gorilla gorilla (Western lowland gorilla)	9595	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hominidae	150	0		0	Inferred from homology	1	PF08709	PF08709	1		not in the DB; another entry of the same gene was hit
A0A2I2ZF77	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3960.6	400.3	0.8989	interpro+calibration	InterPro	ITPR3	Inositol 1,4,5-trisphosphate receptor	Gorilla gorilla gorilla (Western lowland gorilla)	9595	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hominidae	2658	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A2I3G082	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	medium	1315.8	328.0	0.7507	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	721	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		not in the DB; another entry of the same gene was hit
A0A2I3G2P9	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4336.9	438.1	0.899	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	2713	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A2I3G3P1	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	medium	993.1	123.4	0.8757	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	631	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		not in the DB; another entry of the same gene was hit
A0A2I3GSB4	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4254.4	410.6	0.9035	interpro+calibration	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	2727	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A2I3GTW4	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4326.1	433.1	0.8999	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	2720	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A2I3H0Y3	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3920.2	397.0	0.8987	interpro+calibration	InterPro	ITPR3	Inositol 1,4,5-trisphosphate receptor	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	2728	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A2I3H1T9	ITPR	low	architecture only — no profile verdict	architecture	ITPR	unassigned	none	317.0	26.3	0.917	interpro+calibration	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	181	0		0	Inferred from homology	1	PF08709	PF08709	1		not in the DB; another entry of the same gene was hit
A0A2I3H7R4	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4336.3	438.1	0.899	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	2714	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A2I3HA68	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3918.4	403.9	0.8969	interpro+calibration	InterPro	ITPR3	Inositol 1,4,5-trisphosphate receptor	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	2749	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A2I3HDM6	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4322.6	433.4	0.8997	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	2740	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A2I3HXI3	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4329.2	437.5	0.8989	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	2737	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
