accession	band	role	length	n_itpr_arch	itpr_score	verdict	detail
A0A0C2G6N1	Nematoda	RYR	939	2	252.6	shape	length 939 outside RyR bait band 4600-5400
A0A0C2GGK8	Nematoda	ITPR	512	1	343.1	shape	length 512 outside measured bait band 2450-3250
A0A0C2GYJ8	Nematoda	RYR	2116	1	66.5	shape	length 2116 outside RyR bait band 4600-5400
A0A0D3HYU0	Haptophyta	ITPR	236	1	110.5	shape	length 236 outside measured bait band 2450-3250
A0A0D3IFT4	Haptophyta	ITPR	1615	3	430.0	shape	length 1615 outside measured bait band 2450-3250
A0A0D3JYL6	Haptophyta	ITPR	305	1	124.7	shape	length 305 outside measured bait band 2450-3250
A0A0D6LFT5	Nematoda	RYR	1386	2	429.2	shape	length 1386 outside RyR bait band 4600-5400
A0A0D6LLP6	Nematoda	RYR	3360	3	171.5	shape	length 3360 outside RyR bait band 4600-5400
A0A0D6M9A4	Nematoda	ITPR	668	2	682.8	shape	length 668 outside measured bait band 2450-3250
A0A0D6MBX8	Nematoda	ITPR	1418	3	1328.8	shape	length 1418 outside measured bait band 2450-3250
A0A0D8XX81	Nematoda	ITPR	1970	3	1432.2	shape	length 1970 outside measured bait band 2450-3250
A0A0D8XZF2	Nematoda	ITPR	828	2	771.6	shape	length 828 outside measured bait band 2450-3250
A0A0D8Y974	Nematoda	RYR	232	2	44.0	shape	length 232 outside RyR bait band 4600-5400
A0A0D8Y979	Nematoda	RYR	1335	2	413.3	shape	length 1335 outside RyR bait band 4600-5400
A0A0D8YBI9	Nematoda	RYR	864	2	82.6	shape	length 864 outside RyR bait band 4600-5400
A0A0G2QMX0	Arthropoda	RYR	267	1	63.5	shape	length 267 outside RyR bait band 4600-5400
A0A0J7KNH3	Arthropoda	ITPR	1026	2	1293.7	shape	length 1026 outside measured bait band 2450-3250
A0A0J7L472	Arthropoda	RYR	1889	1	71.3	shape	length 1889 outside RyR bait band 4600-5400
A0A0J7L4Z0	Arthropoda	RYR	1655	3	118.8	shape	length 1655 outside RyR bait band 4600-5400
A0A0J7L564	Arthropoda	RYR	830	1	161.4	shape	length 830 outside RyR bait band 4600-5400
A0A0J7NVA4	Arthropoda	ITPR	1489	3	2107.7	shape	length 1489 outside measured bait band 2450-3250
A0A0K0D1J5	Nematoda	ITPR	521	1	411.0	shape	length 521 outside measured bait band 2450-3250
A0A0K0DIA6	Nematoda	ITPR	378	2	342.5	shape	length 378 outside measured bait band 2450-3250
A0A0K0DQM5	Nematoda	ITPR	354	1	348.5	shape	length 354 outside measured bait band 2450-3250
A0A0L7LMR0	Arthropoda	RYR	3507	3	205.4	shape	length 3507 outside RyR bait band 4600-5400
A0A0L7LRU7	Arthropoda	ITPR	784	3	623.8	shape	length 784 outside measured bait band 2450-3250
A0A0M0J4V2	Haptophyta	ITPR	3272	3	789.2	shape	length 3272 outside measured bait band 2450-3250
A0A0M0JZC8	Haptophyta	ITPR	422	1	144.2	shape	length 422 outside measured bait band 2450-3250
A0A0M0K0T8	Haptophyta	ITPR	774	2	431.2	shape	length 774 outside measured bait band 2450-3250
A0A0M0K8W7	Haptophyta	ITPR	236	1	130.3	shape	length 236 outside measured bait band 2450-3250
A0A0M3IZX2	Nematoda	RYR	513	2	77.6	shape	length 513 outside RyR bait band 4600-5400
A0A0M3J0C2	Nematoda	RYR	492	2	77.7	shape	length 492 outside RyR bait band 4600-5400
A0A0M3J5J2	Nematoda	RYR	308	1	41.8	shape	length 308 outside RyR bait band 4600-5400
A0A0M3K3Q7	Nematoda	RYR	267	1	59.0	shape	length 267 outside RyR bait band 4600-5400
A0A0N0DTZ2	Euglenozoa	ITPR	2978	3	499.1	shape	architecture 3/5, not complete, and itpr.hmm scores it only 499 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A0N0DYC0	Euglenozoa	ITPR	996	2	409.6	shape	length 996 outside measured bait band 2450-3250
A0A0N0P7Y1	Euglenozoa	ITPR	2946	3	489.3	shape	architecture 3/5, not complete, and itpr.hmm scores it only 489 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A0N0PAE5	Arthropoda	ITPR	462	2	690.1	shape	length 462 outside measured bait band 2450-3250
A0A0N0VGZ6	Euglenozoa	ITPR	1609	1	40.7	shape	length 1609 outside measured bait band 2450-3250
A0A0N1PDU9	Euglenozoa	ITPR	3823	3	660.2	shape	length 3823 outside measured bait band 2450-3250
A0A0N1PF50	Arthropoda	ITPR	2362	3	2693.2	shape	length 2362 outside measured bait band 2450-3250
A0A0N4UI19	Nematoda	RYR	1140	3	185.4	shape	length 1140 outside RyR bait band 4600-5400
A0A0N4V1U6	Nematoda	RYR	2974	3	410.0	shape	length 2974 outside RyR bait band 4600-5400
A0A0N4X3W1	Nematoda	RYR	843	1	152.7	shape	length 843 outside RyR bait band 4600-5400
A0A0N4Y873	Nematoda	ITPR	1212	3	1082.0	shape	length 1212 outside measured bait band 2450-3250
A0A0N4YKW9	Nematoda	RYR	615	1	61.9	shape	length 615 outside RyR bait band 4600-5400
A0A0N4YS30	Nematoda	RYR	1028	2	221.5	shape	length 1028 outside RyR bait band 4600-5400
A0A0N4YUU7	Nematoda	ITPR	677	1	557.1	shape	length 677 outside measured bait band 2450-3250
A0A0N5CMI6	Nematoda	RYR	1379	2	447.8	shape	length 1379 outside RyR bait band 4600-5400
A0A0N5CRT3	Nematoda	ITPR	659	3	708.3	shape	length 659 outside measured bait band 2450-3250
A0A0N5CZR3	Nematoda	RYR	3363	3	258.9	shape	length 3363 outside RyR bait band 4600-5400
A0A0Q5WBQ6	Arthropoda	RYR	3954	3	513.2	shape	length 3954 outside RyR bait band 4600-5400
A0A0Q5WKX8	Arthropoda	RYR	3770	3	271.6	shape	length 3770 outside RyR bait band 4600-5400
A0A0Q9W2A2	Arthropoda	RYR	4042	3	517.5	shape	length 4042 outside RyR bait band 4600-5400
A0A0R1DPG6	Arthropoda	RYR	3966	3	514.7	shape	length 3966 outside RyR bait band 4600-5400
A0A0R1DTJ2	Arthropoda	RYR	3778	3	272.8	shape	length 3778 outside RyR bait band 4600-5400
A0A0R1EE22	Arthropoda	ITPR	256	1	304.8	shape	length 256 outside measured bait band 2450-3250
A0A0R3PUV7	Nematoda	ITPR	918	2	798.8	shape	length 918 outside measured bait band 2450-3250
A0A0R3QJC6	Nematoda	RYR	3602	3	214.0	shape	length 3602 outside RyR bait band 4600-5400
A0A0R3QMC7	Nematoda	RYR	1546	2	447.3	shape	length 1546 outside RyR bait band 4600-5400
A0A0R3QMQ1	Nematoda	ITPR	1473	3	1291.4	shape	length 1473 outside measured bait band 2450-3250
A0A0R3TP59	Platyhelminthes	RYR	931	3	179.2	shape	length 931 outside RyR bait band 4600-5400
A0A0R3UJQ6	Platyhelminthes	RYR	5743	5	689.9	shape	length 5743 outside RyR bait band 4600-5400
A0A0R3WVY2	Platyhelminthes	RYR	411	1	51.8	shape	length 411 outside RyR bait band 4600-5400
A0A0S4INA7	Euglenozoa	ITPR	1134	2	271.4	shape	length 1134 outside measured bait band 2450-3250
A0A0S4INB1	Euglenozoa	ITPR	2655	4	734.6	shape	architecture 4/5, not complete, and itpr.hmm scores it only 735 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A0S4IRR4	Euglenozoa	ITPR	2848	2	486.0	shape	architecture 2/5, not complete, and itpr.hmm scores it only 486 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A0S4J3F2	Euglenozoa	ITPR	2423	4	680.3	shape	length 2423 outside measured bait band 2450-3250
A0A0S4JGF0	Euglenozoa	ITPR	4222	4	767.0	shape	length 4222 outside measured bait band 2450-3250
A0A0S4JQF2	Euglenozoa	ITPR	2412	3	586.3	shape	length 2412 outside measured bait band 2450-3250
A0A0S4KDU1	Euglenozoa	ITPR	2356	3	782.5	shape	length 2356 outside measured bait band 2450-3250
A0A0T6ATW9	Arthropoda	ITPR	2034	3	2665.5	shape	length 2034 outside measured bait band 2450-3250
A0A0T6BEI4	Arthropoda	RYR	2235	1	99.1	shape	length 2235 outside RyR bait band 4600-5400
A0A0V0Q8T2	Ciliophora	ITPR	1473	1	367.8	shape	length 1473 outside measured bait band 2450-3250
A0A0V0Q9G8	Ciliophora	ITPR	3067	2	660.1	shape	architecture 2/5, not complete, and itpr.hmm scores it only 660 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A0V0QEF2	Ciliophora	ITPR	3260	3	275.5	shape	length 3260 outside measured bait band 2450-3250
A0A0V0QF34	Ciliophora	ITPR	2793	4	731.6	shape	architecture 4/5, not complete, and itpr.hmm scores it only 732 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A0V0QKQ8	Ciliophora	ITPR	774	1	189.0	shape	length 774 outside measured bait band 2450-3250
A0A0V0QX04	Ciliophora	ITPR	3118	4	645.2	shape	architecture 4/5, not complete, and itpr.hmm scores it only 645 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A0V0QX12	Ciliophora	ITPR	2663	2	189.4	shape	architecture 2/5, not complete, and itpr.hmm scores it only 189 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A0V0QZC4	Ciliophora	ITPR	2619	3	169.9	shape	architecture 3/5, not complete, and itpr.hmm scores it only 170 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A0V0R1C0	Ciliophora	ITPR	3293	2	274.6	shape	length 3293 outside measured bait band 2450-3250
A0A0V0R2X6	Ciliophora	ITPR	3618	3	532.2	shape	length 3618 outside measured bait band 2450-3250
A0A0V0R420	Ciliophora	ITPR	1858	2	436.6	shape	length 1858 outside measured bait band 2450-3250
A0A0V0R4A7	Ciliophora	ITPR	1804	1	144.9	shape	length 1804 outside measured bait band 2450-3250
A0A0V0R7F6	Ciliophora	ITPR	2497	1	152.7	shape	architecture 1/5, not complete, and itpr.hmm scores it only 153 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A0V0R9A1	Ciliophora	ITPR	3169	2	276.7	shape	architecture 2/5, not complete, and itpr.hmm scores it only 277 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A0V0SN25	Nematoda	RYR	4270	4	374.1	shape	length 4270 outside RyR bait band 4600-5400
A0A0V0UHR2	Nematoda	RYR	4290	4	374.2	shape	length 4290 outside RyR bait band 4600-5400
A0A0V1A3S2	Nematoda	ITPR	2206	4	1977.7	shape	length 2206 outside measured bait band 2450-3250
A0A0V1AFD4	Nematoda	RYR	4290	4	377.8	shape	length 4290 outside RyR bait band 4600-5400
A0A0V1AFR9	Nematoda	RYR	2129	3	212.6	shape	length 2129 outside RyR bait band 4600-5400
A0A0V1AH67	Nematoda	RYR	2990	3	490.1	shape	length 2990 outside RyR bait band 4600-5400
A0A0V1LTB4	Nematoda	RYR	4308	4	373.7	shape	length 4308 outside RyR bait band 4600-5400
A0A0V1N0Y7	Nematoda	RYR	3473	3	503.0	shape	length 3473 outside RyR bait band 4600-5400
A0A0V1N1C2	Nematoda	RYR	1417	3	195.9	shape	length 1417 outside RyR bait band 4600-5400
A0A131XWU7	Arthropoda	ITPR	2225	3	2967.1	shape	length 2225 outside measured bait band 2450-3250
A0A131XZ16	Arthropoda	RYR	2114	2	447.7	shape	length 2114 outside RyR bait band 4600-5400
A0A140CQB0	Arthropoda	ITPR	1090	3	1438.0	shape	length 1090 outside measured bait band 2450-3250
A0A140CQB1	Arthropoda	ITPR	1822	3	2279.7	shape	length 1822 outside measured bait band 2450-3250
A0A150GRF6	Chlorophyta	ITPR	2580	3	489.0	shape	architecture 3/5, not complete, and itpr.hmm scores it only 489 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A151WNH1	Arthropoda	ITPR	3266	5	3690.6	shape	length 3266 outside measured bait band 2450-3250
A0A152A0K1	Evosea	ITPR	2803	1	329.4	shape	architecture 1/5, not complete, and itpr.hmm scores it only 329 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A152A870	Evosea	ITPR	2342	2	409.2	shape	length 2342 outside measured bait band 2450-3250
A0A154NZD4	Arthropoda	RYR	318	2	104.0	shape	length 318 outside RyR bait band 4600-5400
A0A158PCK9	Nematoda	ITPR	567	1	438.3	shape	length 567 outside measured bait band 2450-3250
A0A158PDE3	Nematoda	RYR	4328	4	349.5	shape	length 4328 outside RyR bait band 4600-5400
A0A158PK86	Nematoda	ITPR	1554	3	1343.4	shape	length 1554 outside measured bait band 2450-3250
A0A158QB09	Nematoda	RYR	2338	3	137.4	shape	length 2338 outside RyR bait band 4600-5400
A0A158QIV9	Platyhelminthes	RYR	2819	2	206.1	shape	length 2819 outside RyR bait band 4600-5400
A0A158QNM0	Nematoda	RYR	1330	3	165.7	shape	length 1330 outside RyR bait band 4600-5400
A0A158R0H1	Nematoda	RYR	1389	3	137.9	shape	length 1389 outside RyR bait band 4600-5400
A0A158RB35	Nematoda	ITPR	1995	3	1759.7	shape	length 1995 outside measured bait band 2450-3250
A0A177ASQ7	Orthonectida	ITPR	632	1	186.7	shape	length 632 outside measured bait band 2450-3250
A0A177AXA9	Orthonectida	RYR	498	1	122.9	shape	length 498 outside RyR bait band 4600-5400
A0A177AYD0	Orthonectida	ITPR	1018	2	461.5	shape	length 1018 outside measured bait band 2450-3250
A0A177AYP9	Orthonectida	ITPR	1190	3	585.9	shape	length 1190 outside measured bait band 2450-3250
A0A177B248	Orthonectida	ITPR	928	3	506.3	shape	length 928 outside measured bait band 2450-3250
A0A182E4C5	Nematoda	RYR	2618	1	88.2	shape	length 2618 outside RyR bait band 4600-5400
A0A182E8T9	Nematoda	RYR	1243	3	147.2	shape	length 1243 outside RyR bait band 4600-5400
A0A182K7K4	Arthropoda	ITPR	2054	3	2291.9	shape	length 2054 outside measured bait band 2450-3250
A0A182KGR0	Arthropoda	ITPR	960	3	1184.3	shape	length 960 outside measured bait band 2450-3250
A0A182PPG2	Arthropoda	ITPR	742	3	1053.1	shape	length 742 outside measured bait band 2450-3250
A0A182PPG3	Arthropoda	ITPR	2373	3	2567.1	shape	length 2373 outside measured bait band 2450-3250
A0A182S998	Arthropoda	ITPR	564	3	888.3	shape	length 564 outside measured bait band 2450-3250
A0A182SBJ7	Arthropoda	RYR	491	3	120.4	shape	length 491 outside RyR bait band 4600-5400
A0A182SJF8	Arthropoda	ITPR	671	1	667.6	shape	length 671 outside measured bait band 2450-3250
A0A182T8N8	Arthropoda	ITPR	381	1	458.0	shape	length 381 outside measured bait band 2450-3250
A0A182TMK2	Arthropoda	ITPR	1331	2	1544.8	shape	length 1331 outside measured bait band 2450-3250
A0A183AC72	Platyhelminthes	ITPR	628	1	59.3	shape	length 628 outside measured bait band 2450-3250
A0A183AK78	Platyhelminthes	RYR	1774	1	30.5	shape	length 1774 outside RyR bait band 4600-5400
A0A183ALA8	Platyhelminthes	RYR	839	1	30.9	shape	length 839 outside RyR bait band 4600-5400
A0A183B1Z7	Platyhelminthes	RYR	471	3	110.4	shape	length 471 outside RyR bait band 4600-5400
A0A183BIF4	Nematoda	RYR	3683	4	299.6	shape	length 3683 outside RyR bait band 4600-5400
A0A183CC87	Nematoda	ITPR	3298	5	2503.3	shape	length 3298 outside measured bait band 2450-3250
A0A183CVJ1	Nematoda	RYR	407	1	0.0	shape	length 407 outside RyR bait band 4600-5400
A0A183E6A7	Nematoda	RYR	450	1	143.0	shape	length 450 outside RyR bait band 4600-5400
A0A183E906	Nematoda	RYR	425	2	44.4	shape	length 425 outside RyR bait band 4600-5400
A0A183GYX3	Nematoda	RYR	1557	1	58.1	shape	length 1557 outside RyR bait band 4600-5400
A0A183H4Q6	Nematoda	RYR	565	1	142.6	shape	length 565 outside RyR bait band 4600-5400
A0A183H6V6	Nematoda	ITPR	427	1	280.5	shape	length 427 outside measured bait band 2450-3250
A0A183H7W0	Nematoda	ITPR	308	1	353.3	shape	length 308 outside measured bait band 2450-3250
A0A183HZP9	Nematoda	RYR	557	3	111.7	shape	length 557 outside RyR bait band 4600-5400
A0A183IJH0	Nematoda	RYR	2376	2	175.3	shape	length 2376 outside RyR bait band 4600-5400
A0A183IP22	Nematoda	ITPR	290	1	166.2	shape	length 290 outside measured bait band 2450-3250
A0A183IWS2	Nematoda	ITPR	635	2	556.1	shape	length 635 outside measured bait band 2450-3250
A0A183JX80	Platyhelminthes	RYR	278	1	57.0	shape	length 278 outside RyR bait band 4600-5400
A0A183JZQ5	Platyhelminthes	ITPR	1251	1	374.4	shape	length 1251 outside measured bait band 2450-3250
A0A183JZW8	Platyhelminthes	RYR	1047	3	194.3	shape	length 1047 outside RyR bait band 4600-5400
A0A183K1U8	Platyhelminthes	RYR	1576	1	41.8	shape	length 1576 outside RyR bait band 4600-5400
A0A183LAN0	Platyhelminthes	RYR	235	1	40.9	shape	length 235 outside RyR bait band 4600-5400
A0A183LH75	Platyhelminthes	ITPR	320	2	285.3	shape	length 320 outside measured bait band 2450-3250
A0A183LIP6	Platyhelminthes	RYR	1560	1	37.4	shape	length 1560 outside RyR bait band 4600-5400
A0A183MSI1	Platyhelminthes	RYR	1599	2	120.2	shape	length 1599 outside RyR bait band 4600-5400
A0A183NTK5	Platyhelminthes	RYR	879	2	122.3	shape	length 879 outside RyR bait band 4600-5400
A0A183NXT8	Platyhelminthes	RYR	1190	1	53.0	shape	length 1190 outside RyR bait band 4600-5400
A0A183NZC1	Platyhelminthes	ITPR	847	1	152.7	shape	length 847 outside measured bait band 2450-3250
A0A183P4M0	Platyhelminthes	ITPR	276	1	170.5	shape	length 276 outside measured bait band 2450-3250
A0A183SPW0	Platyhelminthes	RYR	1180	3	116.2	shape	length 1180 outside RyR bait band 4600-5400
A0A183TKH1	Platyhelminthes	RYR	559	1	36.2	shape	length 559 outside RyR bait band 4600-5400
A0A183TXD4	Nematoda	ITPR	780	2	620.8	shape	length 780 outside measured bait band 2450-3250
A0A183UJY7	Nematoda	ITPR	1662	3	1479.4	shape	length 1662 outside measured bait band 2450-3250
A0A194QH23	Arthropoda	RYR	1711	2	440.3	shape	length 1711 outside RyR bait band 4600-5400
A0A194QMY4	Arthropoda	RYR	3275	3	279.0	shape	length 3275 outside RyR bait band 4600-5400
A0A194RJJ5	Arthropoda	RYR	2228	3	205.3	shape	length 2228 outside RyR bait band 4600-5400
A0A194RJU7	Arthropoda	RYR	383	1	26.9	shape	length 383 outside RyR bait band 4600-5400
A0A194RNL9	Arthropoda	RYR	2892	3	500.6	shape	length 2892 outside RyR bait band 4600-5400
A0A1B0A7F3	Arthropoda	RYR	3171	3	496.1	shape	length 3171 outside RyR bait band 4600-5400
A0A1B0BLM4	Arthropoda	RYR	3168	3	495.8	shape	length 3168 outside RyR bait band 4600-5400
A0A1B0CJQ3	Arthropoda	ITPR	1314	2	1665.8	shape	length 1314 outside measured bait band 2450-3250
A0A1B0CVJ7	Arthropoda	ITPR	1655	3	2390.4	shape	length 1655 outside measured bait band 2450-3250
A0A1B0D1S8	Arthropoda	RYR	1443	3	93.9	shape	length 1443 outside RyR bait band 4600-5400
A0A1B0D1T0	Arthropoda	RYR	2076	2	364.6	shape	length 2076 outside RyR bait band 4600-5400
A0A1B0D817	Arthropoda	ITPR	601	2	763.6	shape	length 601 outside measured bait band 2450-3250
A0A1B0D9Z6	Arthropoda	ITPR	810	1	942.8	shape	length 810 outside measured bait band 2450-3250
A0A1B0DF68	Arthropoda	ITPR	943	2	1321.9	shape	length 943 outside measured bait band 2450-3250
A0A1B0ETX9	Arthropoda	RYR	1751	1	106.4	shape	length 1751 outside RyR bait band 4600-5400
A0A1D1VKJ5	Tardigrada	RYR	2272	3	187.5	shape	length 2272 outside RyR bait band 4600-5400
A0A1D1VMT0	Tardigrada	RYR	2298	3	187.4	shape	length 2298 outside RyR bait band 4600-5400
A0A1D1VU71	Tardigrada	RYR	2875	3	499.9	shape	length 2875 outside RyR bait band 4600-5400
A0A1D2MKL1	Arthropoda	RYR	549	3	153.9	shape	length 549 outside RyR bait band 4600-5400
A0A1D2MKN1	Arthropoda	RYR	301	1	0.0	shape	length 301 outside RyR bait band 4600-5400
A0A1D2MPJ9	Arthropoda	ITPR	2428	5	1891.9	shape	length 2428 outside measured bait band 2450-3250
A0A1D2N817	Arthropoda	RYR	2712	3	341.2	shape	length 2712 outside RyR bait band 4600-5400
A0A1E1XW82	Arthropoda	RYR	861	1	88.6	shape	length 861 outside RyR bait band 4600-5400
A0A1G4I324	Euglenozoa	ITPR	3099	4	579.6	shape	architecture 4/5, not complete, and itpr.hmm scores it only 580 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A1I7T9I4	Nematoda	RYR	2979	3	506.4	shape	length 2979 outside RyR bait band 4600-5400
A0A1I7T9I5	Nematoda	RYR	2965	3	506.1	shape	length 2965 outside RyR bait band 4600-5400
A0A1I7T9I6	Nematoda	RYR	2180	3	196.6	shape	length 2180 outside RyR bait band 4600-5400
A0A1I7T9I7	Nematoda	RYR	2204	3	196.5	shape	length 2204 outside RyR bait band 4600-5400
A0A1I7UCK7	Nematoda	ITPR	1472	3	1478.5	shape	length 1472 outside measured bait band 2450-3250
A0A1I7UCK8	Nematoda	ITPR	1313	2	1381.6	shape	length 1313 outside measured bait band 2450-3250
A0A1I7WUB5	Nematoda	ITPR	451	2	158.5	shape	length 451 outside measured bait band 2450-3250
A0A1I7XLA4	Nematoda	RYR	1167	3	143.0	shape	length 1167 outside RyR bait band 4600-5400
A0A1I7XLU3	Nematoda	RYR	359	1	41.7	shape	length 359 outside RyR bait band 4600-5400
A0A1I7XLW8	Nematoda	RYR	597	1	103.3	shape	length 597 outside RyR bait band 4600-5400
A0A1I7XY60	Nematoda	RYR	1495	3	184.8	shape	length 1495 outside RyR bait band 4600-5400
A0A1I7YC12	Nematoda	RYR	1458	1	160.6	shape	length 1458 outside RyR bait band 4600-5400
A0A1I7YC96	Nematoda	RYR	1417	1	160.5	shape	length 1417 outside RyR bait band 4600-5400
A0A1I7Z2U2	Nematoda	RYR	1959	1	84.7	shape	length 1959 outside RyR bait band 4600-5400
A0A1I7Z333	Nematoda	RYR	1968	1	83.9	shape	length 1968 outside RyR bait band 4600-5400
A0A1I8AZG3	Nematoda	ITPR	1766	3	1354.7	shape	length 1766 outside measured bait band 2450-3250
A0A1I8C065	Nematoda	RYR	1829	2	436.3	shape	length 1829 outside RyR bait band 4600-5400
A0A1I8C070	Nematoda	RYR	263	1	29.0	shape	length 263 outside RyR bait band 4600-5400
A0A1I8C074	Nematoda	RYR	540	3	121.1	shape	length 540 outside RyR bait band 4600-5400
A0A1I8C1W2	Nematoda	RYR	2680	1	61.6	shape	length 2680 outside RyR bait band 4600-5400
A0A1I8F6Y5	Platyhelminthes	RYR	1379	1	0.0	shape	length 1379 outside RyR bait band 4600-5400
A0A1I8FE30	Platyhelminthes	ITPR	389	1	168.3	shape	length 389 outside measured bait band 2450-3250
A0A1I8FLE0	Platyhelminthes	ITPR	370	1	86.7	shape	length 370 outside measured bait band 2450-3250
A0A1I8G215	Platyhelminthes	ITPR	1065	1	429.2	shape	length 1065 outside measured bait band 2450-3250
A0A1I8GCE3	Platyhelminthes	ITPR	249	1	92.2	shape	length 249 outside measured bait band 2450-3250
A0A1I8GH29	Platyhelminthes	ITPR	287	1	222.7	shape	length 287 outside measured bait band 2450-3250
