id	accession	band	role	length	passed	assignment	rel_margin	itpr_score	ryr_score	envelope_frac	max_internal_gap	n_segments	reason
A0AAE0RS76|CHS0354_002966|Potamilus_streckersoni|Mollusca|ITPR	A0AAE0RS76	Mollusca	ITPR	2698	1	ITPR	0.8737	3703.3	467.9	0.9937	0	1	itpr.hmm wins at 87% margin over an envelope covering 99% in 1 segment(s)
A0ABM0GHD2|LOC100533406|Aplysia_californica|Mollusca|ITPR	A0ABM0GHD2	Mollusca	ITPR	2762	1	ITPR	0.8734	3683.4	466.5	0.9964	0	1	itpr.hmm wins at 87% margin over an envelope covering 100% in 1 segment(s)
A0ABQ9EYP8|KUTeg_013945|Tegillarca_granosa|Mollusca|RYR	A0ABQ9EYP8	Mollusca	RYR	5194	1	RYR	0.8931	766.1	7168.9	0.9852	74	2	ryr.hmm wins at 89% margin over an envelope covering 99% in 2 segment(s)
A0AAE0Y8M6|RRG08_000604|Elysia_crispata|Mollusca|RYR	A0AAE0Y8M6	Mollusca	RYR	5236	1	RYR	0.8929	749.7	7003.1	0.9979	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0AA88Y1D7|FSP39_023525|Pinctada_imbricata|Mollusca|RYR	A0AA88Y1D7	Mollusca	RYR	5203	1	RYR	0.8968	720.0	6979.1	0.9975	0	1	ryr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0AAN9GDY6|V1264_018248|Littorina_saxatilis|Mollusca|RYR	A0AAN9GDY6	Mollusca	RYR	5190	1	RYR	0.8981	717.1	7039.9	0.9983	0	1	ryr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0AAE0TEQ7|CHS0354_042592|Potamilus_streckersoni|Mollusca|RYR	A0AAE0TEQ7	Mollusca	RYR	5165	1	RYR	0.8988	712.9	7044.9	0.999	0	1	ryr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A2T7NWF8|C0Q70_13166|Pomacea_canaliculata|Mollusca|RYR	A0A2T7NWF8	Mollusca	RYR	5035	1	RYR	0.8952	711.1	6786.6	0.9968	6	2	ryr.hmm wins at 90% margin over an envelope covering 100% in 2 segment(s)
R7TPX0|unnamed|Capitella_teleta|Annelida|ITPR	R7TPX0	Annelida	ITPR	2718	1	ITPR	0.8841	3920.6	454.4	0.9978	0	1	itpr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
A0AAD9J7D1|LSH36_550g03045|Paralvinella_palmiformis|Annelida|ITPR	A0AAD9J7D1	Annelida	ITPR	2757	1	ITPR	0.8755	3669.6	457.0	0.9637	27	2	itpr.hmm wins at 88% margin over an envelope covering 96% in 2 segment(s)
A0AAD9KPF5|NP493_759g01031|Ridgeia_piscesae|Annelida|ITPR	A0AAD9KPF5	Annelida	ITPR	2619	1	ITPR	0.8682	3361.2	442.9	0.9905	14	2	itpr.hmm wins at 87% margin over an envelope covering 99% in 2 segment(s)
A0A7I8W6S8|DGYR_LOCUS11827|Dimorphilus_gyrociliatus|Annelida|ITPR	A0A7I8W6S8	Annelida	ITPR	2698	1	ITPR	0.8756	3469.1	431.7	0.9952	0	1	itpr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
A0AAD9KQF7|NP493_708g03050|Ridgeia_piscesae|Annelida|ITPR	A0AAD9KQF7	Annelida	ITPR	2931	1	ITPR	0.8199	1593.6	287.0	0.9417	0	1	itpr.hmm wins at 82% margin over an envelope covering 94% in 1 segment(s)
A0A8S4Q492|OFUS_LOCUS22813|Owenia_fusiformis|Annelida|ITPR	A0A8S4Q492	Annelida	ITPR	3071	1	ITPR	0.8148	1563.6	289.6	0.8639	0	1	itpr.hmm wins at 81% margin over an envelope covering 86% in 1 segment(s)
A0A267FK94|BOX15_Mlig001931g6|Macrostomum_lignano|Platyhelminthes|ITPR	A0A267FK94	Platyhelminthes	ITPR	2914	1	ITPR	0.8803	3385.6	405.4	0.9925	0	1	itpr.hmm wins at 88% margin over an envelope covering 99% in 1 segment(s)
R9S1J3|unnamed|Dugesia_japonica|Platyhelminthes|ITPR	R9S1J3	Platyhelminthes	ITPR	2666	1	ITPR	0.869	3207.0	420.1	0.9955	0	1	itpr.hmm wins at 87% margin over an envelope covering 100% in 1 segment(s)
A0A4S2MCV8|CRM22_000929|Opisthorchis_felineus|Platyhelminthes|ITPR	A0A4S2MCV8	Platyhelminthes	ITPR	2845	1	ITPR	0.8287	1788.7	306.4	0.9589	75	3	itpr.hmm wins at 83% margin over an envelope covering 96% in 3 segment(s)
A0A4E0RYC0|D915_000340|Fasciola_hepatica|Platyhelminthes|ITPR	A0A4E0RYC0	Platyhelminthes	ITPR	2838	1	ITPR	0.8112	1679.8	317.1	0.9711	76	2	itpr.hmm wins at 81% margin over an envelope covering 97% in 2 segment(s)
A0A4Z2DCQ2|EWB00_002260|Schistosoma_japonicum|Platyhelminthes|ITPR	A0A4Z2DCQ2	Platyhelminthes	ITPR	2897	1	ITPR	0.8105	1505.4	285.3	0.9503	105	3	itpr.hmm wins at 81% margin over an envelope covering 95% in 3 segment(s)
A0A267FZQ8|BOX15_Mlig001931g5|Macrostomum_lignano|Platyhelminthes|ITPR	A0A267FZQ8	Platyhelminthes	ITPR	2918	1	ITPR	0.8796	3385.0	407.6	0.9925	0	1	itpr.hmm wins at 88% margin over an envelope covering 99% in 1 segment(s)
A0A1I8H4L8|unnamed|Macrostomum_lignano|Platyhelminthes|RYR	A0A1I8H4L8	Platyhelminthes	RYR	4842	1	RYR	0.8969	569.1	5517.4	0.9542	154	3	ryr.hmm wins at 90% margin over an envelope covering 95% in 3 segment(s)
A0A068Y0W3|EmuJ_000544400|Echinococcus_multilocularis|Platyhelminthes|RYR	A0A068Y0W3	Platyhelminthes	RYR	4760	1	RYR	0.8783	522.4	4293.4	0.9303	193	4	ryr.hmm wins at 88% margin over an envelope covering 93% in 4 segment(s)
A0AA85F8T4|unnamed|Schistosoma_rodhaini|Platyhelminthes|RYR	A0AA85F8T4	Platyhelminthes	RYR	5079	1	RYR	0.9108	431.3	4832.6	0.9709	47	3	ryr.hmm wins at 91% margin over an envelope covering 97% in 3 segment(s)
A0A564YS66|WMSIL1_LOCUS8477|Hymenolepis_diminuta|Platyhelminthes|RYR	A0A564YS66	Platyhelminthes	RYR	4964	1	RYR	0.8889	507.8	4572.0	0.973	79	3	ryr.hmm wins at 89% margin over an envelope covering 97% in 3 segment(s)
A0A3P7G6U0|TTAC_LOCUS903|Hydatigera_taeniaeformis|Platyhelminthes|RYR	A0A3P7G6U0	Platyhelminthes	RYR	5152	1	RYR	0.8878	482.3	4299.4	0.9641	80	5	ryr.hmm wins at 89% margin over an envelope covering 96% in 5 segment(s)
A0AA85F8G5|unnamed|Schistosoma_rodhaini|Platyhelminthes|RYR	A0AA85F8G5	Platyhelminthes	RYR	5082	1	RYR	0.9108	431.2	4832.2	0.9709	47	3	ryr.hmm wins at 91% margin over an envelope covering 97% in 3 segment(s)
A0A813MP72|OXX778_LOCUS2086|Brachionus_calyciflorus|Rotifera|ITPR	A0A813MP72	Rotifera	ITPR	3029	1	ITPR	0.8669	3077.1	409.6	0.9888	17	2	itpr.hmm wins at 87% margin over an envelope covering 99% in 2 segment(s)
A0A819Y5W7|UJA718_LOCUS3122|Rotaria_socialis|Rotifera|ITPR	A0A819Y5W7	Rotifera	ITPR	2863	1	ITPR	0.8585	3065.4	433.9	0.9962	0	1	itpr.hmm wins at 86% margin over an envelope covering 100% in 1 segment(s)
A0A815EU05|QVE165_LOCUS31977|Adineta_steineri|Rotifera|ITPR	A0A815EU05	Rotifera	ITPR	2827	1	ITPR	0.8551	3047.7	441.6	0.9883	21	2	itpr.hmm wins at 86% margin over an envelope covering 99% in 2 segment(s)
A0A813MJU6|OXX778_LOCUS2086|Brachionus_calyciflorus|Rotifera|ITPR	A0A813MJU6	Rotifera	ITPR	2965	1	ITPR	0.8662	3065.2	410.0	0.9943	0	1	itpr.hmm wins at 87% margin over an envelope covering 99% in 1 segment(s)
A0A813MGN2|OXX778_LOCUS2086|Brachionus_calyciflorus|Rotifera|ITPR	A0A813MGN2	Rotifera	ITPR	3053	1	ITPR	0.8665	3061.3	408.6	0.9872	22	2	itpr.hmm wins at 87% margin over an envelope covering 99% in 2 segment(s)
A0A813MG42|OXX778_LOCUS2086|Brachionus_calyciflorus|Rotifera|ITPR	A0A813MG42	Rotifera	ITPR	3025	1	ITPR	0.8667	3059.6	407.8	0.9894	15	2	itpr.hmm wins at 87% margin over an envelope covering 99% in 2 segment(s)
A0A813M7S2|OXX778_LOCUS1568|Brachionus_calyciflorus|Rotifera|RYR	A0A813M7S2	Rotifera	RYR	5149	1	RYR	0.889	688.9	6207.3	0.9981	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A813T754|JXQ802_LOCUS4602|Rotaria_sordida|Rotifera|RYR	A0A813T754	Rotifera	RYR	5245	1	RYR	0.8903	667.3	6080.3	0.9969	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A814WFU3|QVE165_LOCUS19177|Adineta_steineri|Rotifera|RYR	A0A814WFU3	Rotifera	RYR	5242	1	RYR	0.8923	652.7	6057.6	0.9968	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A813MD17|OXX778_LOCUS1568|Brachionus_calyciflorus|Rotifera|RYR	A0A813MD17	Rotifera	RYR	5152	1	RYR	0.889	688.9	6206.0	0.9981	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A813R8P9|JXQ802_LOCUS4555|Rotaria_sordida|Rotifera|RYR	A0A813R8P9	Rotifera	RYR	5245	1	RYR	0.8907	664.7	6078.7	0.9969	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A813NCM0|QVE165_LOCUS19907|Adineta_steineri|Rotifera|RYR	A0A813NCM0	Rotifera	RYR	5242	1	RYR	0.8926	650.4	6055.0	0.9968	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A1S3JYY5|LOC106177103|Lingula_anatina|Brachiopoda|ITPR	A0A1S3JYY5	Brachiopoda	ITPR	2595	1	ITPR	0.8853	3505.2	401.9	0.9476	38	3	itpr.hmm wins at 89% margin over an envelope covering 95% in 3 segment(s)
A0A1S3H6U8|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	A0A1S3H6U8	Brachiopoda	ITPR	2788	1	ITPR	0.8482	2120.5	321.9	0.9993	0	1	itpr.hmm wins at 85% margin over an envelope covering 100% in 1 segment(s)
A0A1S3H6U3|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	A0A1S3H6U3	Brachiopoda	ITPR	2791	1	ITPR	0.8553	2108.4	305.0	0.9993	0	1	itpr.hmm wins at 86% margin over an envelope covering 100% in 1 segment(s)
A0A1S3H9B5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	A0A1S3H9B5	Brachiopoda	ITPR	2788	1	ITPR	0.8521	2108.0	311.8	0.9993	0	1	itpr.hmm wins at 85% margin over an envelope covering 100% in 1 segment(s)
A0A1S3H897|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	A0A1S3H897	Brachiopoda	ITPR	2808	1	ITPR	0.8558	2104.1	303.5	0.9993	0	1	itpr.hmm wins at 86% margin over an envelope covering 100% in 1 segment(s)
A0A7M7MXP9|unnamed|Strongylocentrotus_purpuratus|Echinodermata|ITPR	A0A7M7MXP9	Echinodermata	ITPR	2783	1	ITPR	0.8943	4049.9	428.1	0.9989	0	1	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A9Q1HIR2|HOLleu_04993|Holothuria_leucospilota|Echinodermata|ITPR	A0A9Q1HIR2	Echinodermata	ITPR	2757	1	ITPR	0.8924	3719.3	400.2	0.9989	0	1	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A913ZTA1|unnamed|Patiria_miniata|Echinodermata|ITPR	A0A913ZTA1	Echinodermata	ITPR	2748	1	ITPR	0.8954	4087.0	427.5	0.9975	0	1	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A913ZTM5|unnamed|Patiria_miniata|Echinodermata|ITPR	A0A913ZTM5	Echinodermata	ITPR	2746	1	ITPR	0.8988	4077.7	412.6	0.9975	0	1	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A913ZSN3|unnamed|Patiria_miniata|Echinodermata|ITPR	A0A913ZSN3	Echinodermata	ITPR	2760	1	ITPR	0.8984	4069.2	413.3	0.9975	0	1	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A8B7ZN74|LOC110986867|Acanthaster_planci|Echinodermata|RYR	A0A8B7ZN74	Echinodermata	RYR	5283	1	RYR	0.8973	710.1	6915.3	1.0	0	1	ryr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A7M7T5D0|unnamed|Strongylocentrotus_purpuratus|Echinodermata|RYR	A0A7M7T5D0	Echinodermata	RYR	4609	1	RYR	0.9316	426.1	6230.3	0.9946	0	1	ryr.hmm wins at 93% margin over an envelope covering 99% in 1 segment(s)
A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	A0ACM8C709	Hemichordata	ITPR	2596	1	ITPR	0.7859	1508.9	323.1	0.9869	17	2	itpr.hmm wins at 79% margin over an envelope covering 99% in 2 segment(s)
A0ACM8C723|LOC100375251|Saccoglossus_kowalevskii|Hemichordata|ITPR	A0ACM8C723	Hemichordata	ITPR	2473	1	ITPR	0.7831	1391.7	301.9	0.983	0	1	itpr.hmm wins at 78% margin over an envelope covering 98% in 1 segment(s)
A0ACM8CH91|LOC100328999|Saccoglossus_kowalevskii|Hemichordata|RYR	A0ACM8CH91	Hemichordata	RYR	5221	1	RYR	0.9013	667.8	6766.5	0.9983	0	1	ryr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	A0A8K0A0Y4	Chordata	ITPR	2783	1	ITPR	0.8851	4041.9	464.3	0.996	0	1	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0ABP0G8H4|CVLEPA_LOCUS20152|Clavelina_lepadiformis|Chordata|ITPR	A0ABP0G8H4	Chordata	ITPR	2836	1	ITPR	0.8895	3477.4	384.2	0.9982	0	1	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A6F9DES0|Itpr2|Phallusia_mammillata|Chordata|ITPR	A0A6F9DES0	Chordata	ITPR	2802	1	ITPR	0.8877	3455.0	388.1	0.9982	0	1	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
E4XJL0|GSOID_T00012809001|Oikopleura_dioica|Chordata|ITPR	E4XJL0	Chordata	ITPR	2761	1	ITPR	0.8391	2612.1	420.2	0.9801	0	1	itpr.hmm wins at 84% margin over an envelope covering 98% in 1 segment(s)
A0A8K0ETM8|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	A0A8K0ETM8	Chordata	ITPR	2802	1	ITPR	0.8866	4038.1	457.9	0.9961	0	1	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A8J9ZZT9|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	A0A8J9ZZT9	Chordata	ITPR	2821	1	ITPR	0.8871	4037.8	455.8	0.9961	0	1	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
H2Y879|unnamed|Ciona_savignyi|Chordata|RYR	H2Y879	Chordata	RYR	4897	1	RYR	0.875	780.5	6243.9	0.999	0	1	ryr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
A0ABP0GL45|CVLEPA_LOCUS24856|Clavelina_lepadiformis|Chordata|RYR	A0ABP0GL45	Chordata	RYR	5090	1	RYR	0.8865	732.4	6450.9	0.9992	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A6P4XJ96|LOC109464113|Branchiostoma_belcheri|Chordata|RYR	A0A6P4XJ96	Chordata	RYR	4960	1	RYR	0.8851	723.3	6293.4	0.9998	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
E4XPI8|GSOID_T00016960001|Oikopleura_dioica|Chordata|RYR	E4XPI8	Chordata	RYR	4968	1	RYR	0.8809	687.2	5770.0	0.9986	0	1	ryr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
H2Y883|unnamed|Ciona_savignyi|Chordata|RYR	H2Y883	Chordata	RYR	4932	1	RYR	0.8753	775.2	6215.2	0.9994	0	1	ryr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
H2Y878|unnamed|Ciona_savignyi|Chordata|RYR	H2Y878	Chordata	RYR	4962	1	RYR	0.8752	774.8	6206.7	0.999	0	1	ryr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
A0ABN8N199|PLOB_00042910|Porites_lobata|Cnidaria|ITPR	A0ABN8N199	Cnidaria	ITPR	2717	1	ITPR	0.8862	3841.2	437.2	0.996	0	1	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A7M5V9X5|unnamed|Clytia_hemisphaerica|Cnidaria|ITPR	A0A7M5V9X5	Cnidaria	ITPR	2739	1	ITPR	0.8702	3444.3	447.1	0.9956	0	1	itpr.hmm wins at 87% margin over an envelope covering 100% in 1 segment(s)
A0ABM4D4D9|LOC100202979|Hydra_vulgaris|Cnidaria|ITPR	A0ABM4D4D9	Cnidaria	ITPR	2668	1	ITPR	0.8673	3429.2	455.2	0.9925	0	1	itpr.hmm wins at 87% margin over an envelope covering 99% in 1 segment(s)
A7SEK1|NEMVEDRAFT_v1g244707|Nematostella_vectensis|Cnidaria|ITPR	A7SEK1	Cnidaria	ITPR	2623	1	ITPR	0.8815	3841.4	455.1	0.9985	0	1	itpr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
A0A913WYC7|unnamed|Exaiptasia_diaphana|Cnidaria|ITPR	A0A913WYC7	Cnidaria	ITPR	2714	1	ITPR	0.8931	3741.6	399.8	0.9971	0	1	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0ACF8YJ40|ACHWQZ_G010582|Mnemiopsis_leidyi|Ctenophora|ITPR	A0ACF8YJ40	Ctenophora	ITPR	2716	1	ITPR	0.8722	3298.0	421.5	0.9948	0	1	itpr.hmm wins at 87% margin over an envelope covering 99% in 1 segment(s)
A0ACF8YHE6|ACHWQZ_G010582|Mnemiopsis_leidyi|Ctenophora|ITPR	A0ACF8YHE6	Ctenophora	ITPR	2680	1	ITPR	0.875	3297.1	412.1	0.9948	0	1	itpr.hmm wins at 88% margin over an envelope covering 99% in 1 segment(s)
A0ACF8YHW3|ACHWQZ_G010582|Mnemiopsis_leidyi|Ctenophora|ITPR	A0ACF8YHW3	Ctenophora	ITPR	2736	1	ITPR	0.8749	3295.3	412.1	0.9949	0	1	itpr.hmm wins at 87% margin over an envelope covering 99% in 1 segment(s)
A0ACF8YJV4|ACHWQZ_G010582|Mnemiopsis_leidyi|Ctenophora|ITPR	A0ACF8YJV4	Ctenophora	ITPR	2773	1	ITPR	0.8732	3292.3	417.6	0.995	0	1	itpr.hmm wins at 87% margin over an envelope covering 100% in 1 segment(s)
A0ACF8YJ31|ACHWQZ_G010582|Mnemiopsis_leidyi|Ctenophora|ITPR	A0ACF8YJ31	Ctenophora	ITPR	2694	1	ITPR	0.8736	3292.0	416.0	0.9948	0	1	itpr.hmm wins at 87% margin over an envelope covering 99% in 1 segment(s)
A0AAV7JYY9|LOD99_3002|Oopsacas_minuta|Porifera|ITPR	A0AAV7JYY9	Porifera	ITPR	2633	1	ITPR	0.8309	1913.4	323.6	0.973	23	3	itpr.hmm wins at 83% margin over an envelope covering 97% in 3 segment(s)
A0A1X7VBQ9|100632615|Amphimedon_queenslandica|Porifera|ITPR	A0A1X7VBQ9	Porifera	ITPR	2642	1	ITPR	0.7683	1109.4	257.1	0.9943	0	1	itpr.hmm wins at 77% margin over an envelope covering 99% in 1 segment(s)
A0AAN0IYX6|100632615|Amphimedon_queenslandica|Porifera|ITPR	A0AAN0IYX6	Porifera	ITPR	2596	1	ITPR	0.768	1103.7	256.1	0.9942	0	1	itpr.hmm wins at 77% margin over an envelope covering 99% in 1 segment(s)
A0AAN0JWZ9|100634093|Amphimedon_queenslandica|Porifera|ITPR	A0AAN0JWZ9	Porifera	ITPR	2662	1	ITPR	0.7654	1092.5	256.3	0.9869	0	1	itpr.hmm wins at 77% margin over an envelope covering 99% in 1 segment(s)
A0A1X7VNQ3|100634093|Amphimedon_queenslandica|Porifera|ITPR	A0A1X7VNQ3	Porifera	ITPR	2661	1	ITPR	0.7653	1091.8	256.3	0.9868	0	1	itpr.hmm wins at 77% margin over an envelope covering 99% in 1 segment(s)
A0AAV7JZ53|LOD99_631|Oopsacas_minuta|Porifera|RYR	A0AAV7JZ53	Porifera	RYR	4658	1	RYR	0.8142	485.4	2612.6	0.9407	179	5	ryr.hmm wins at 81% margin over an envelope covering 94% in 5 segment(s)
