species	organism	accession	cell	role	junction_index	intron_class	annotated	splice_class	probe_len	deposit_status	deposit_hits	deposit_spanning	deposit_spanning_anchor_only	deposit_best_identity	deposit_best_subject	control_hits	control_spanning
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	44	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	43	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	42	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	41	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	40	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	39	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	38	within_one_model	1	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	37	within_one_model	1	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	36	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	35	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	34	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	33	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	32	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	31	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	30	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	29	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	28	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	27	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	26	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	25	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	24	within_one_model	1	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	23	within_one_model	1	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	22	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	21	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	20	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	19	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	18	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	17	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	16	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	15	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	14	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	13	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	12	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	11	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	10	within_one_model	1	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	9	within_one_model	1	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	8	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	5	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	4	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	3	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	2	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	1	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	1	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	2	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	3	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	4	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	5	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	6	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	7	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	8	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	9	unannotated	0	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	10	unannotated	0	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	11	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	12	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	13	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	14	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	15	unannotated	0	minor	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	16	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	17	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	18	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	19	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	20	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	21	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	22	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	23	unannotated	0	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	24	unannotated	0	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	25	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	26	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	27	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	28	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	29	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	30	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	31	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	32	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	33	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	34	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	35	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	36	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	37	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	38	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	39	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	40	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	41	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	42	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	43	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	44	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	45	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	46	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	47	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	48	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	49	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	50	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	51	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	52	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	53	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	54	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2	failed	55	unannotated	0	canonical	171	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	59	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	58	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	57	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	56	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	55	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	54	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	53	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	52	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	51	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	50	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	49	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	48	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	47	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	46	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	45	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	44	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	43	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	42	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	41	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	40	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	39	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	38	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	37	model_to_gap	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	13	between_models	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	2	between_models	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	36	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	35	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	34	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	33	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	32	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	31	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	30	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	29	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	28	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	27	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	26	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	25	within_one_model	1	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	24	within_one_model	1	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	23	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	22	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	21	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	20	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	19	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	18	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	17	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	16	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	15	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	14	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	12	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	11	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	10	within_one_model	1	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	9	within_one_model	1	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	8	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	7	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	6	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	5	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	4	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	3	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3	failed	1	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	1	unannotated	0	canonical	135	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	2	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	3	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	4	model_to_gap	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	98	model_to_gap	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	99	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	100	unannotated	0	canonical	180	cached	0	0	0			1	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	101	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	102	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	103	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	104	unannotated	0	minor	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	105	unannotated	0	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	106	unannotated	0	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	107	unannotated	0	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	108	unannotated	0	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	109	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	110	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	111	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	112	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	113	unannotated	0	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	114	unannotated	0	canonical	180	cached	0	0	0			3	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	5	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	6	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	7	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	8	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	9	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	10	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	11	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	12	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	13	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	14	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	15	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	16	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	17	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	18	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	19	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	20	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	21	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	22	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR	control_family	23	within_one_model	1	canonical	180	cached	0	0	0			2	0
