species	seq	junction_index	cds_offset	left_exon	right_exon	intron_start	intron_end	intron_length	class	annotated	donor	acceptor	splice_class	left_models	right_models
deleginoides	ITPR2|deleginoides	2	163	2	3	21946018	21946299	282	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	3	282	3	4	21946419	21947152	734	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	4	369	4	5	21947240	21948448	1209	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	5	528	5	6	21948608	21949754	1147	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	6	627	6	7	21949854	21951427	1574	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	7	711	7	8	21951512	21951626	115	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	8	858	8	9	21951774	21952492	719	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	9	954	9	10	21952589	21952886	298	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	10	999	10	11	21952932	21955146	2215	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	11	1151	11	12	21955299	21956122	824	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	12	1251	12	13	21956223	21956457	235	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	13	1412	13	14	21956619	21956713	95	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	14	1554	14	15	21956856	21957410	555	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	15	1713	15	16	21957570	21958554	985	unannotated	0	GC	AG	minor		
deleginoides	ITPR2|deleginoides	16	1886	16	17	21958728	21959338	611	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	17	2006	17	18	21959459	21959698	240	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	18	2189	18	19	21959882	21960504	623	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	19	2441	19	20	21960757	21960840	84	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	20	2589	20	21	21960989	21961137	149	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	21	2741	21	22	21961290	21962153	864	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	22	2929	22	23	21962342	21962459	118	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	23	3047	23	24	21962578	21962676	99	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	24	3105	24	25	21962735	21962871	137	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	25	3271	25	26	21963038	21963331	294	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	26	3439	26	27	21963500	21963980	481	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	27	3526	27	28	21964068	21964162	95	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	28	3652	28	29	21964289	21964412	124	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	29	3775	29	30	21964536	21964770	235	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	30	3976	30	31	21964972	21965066	95	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	31	4228	31	32	21965319	21965408	90	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	32	4354	32	33	21965535	21965704	170	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	33	4483	33	34	21965834	21966147	314	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	34	4604	34	35	21966269	21966640	372	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	35	4786	35	36	21966823	21967402	580	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	36	4929	36	37	21967546	21968229	684	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	37	5038	37	38	21968339	21978057	9719	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	38	5159	38	39	21978179	21978796	618	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	39	5347	39	40	21978985	21979080	96	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	40	5528	40	41	21979262	21979965	704	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	41	5782	41	42	21980220	21980310	91	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	42	5983	42	43	21980512	21981022	511	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	43	6094	43	44	21981134	21983056	1923	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	44	6190	44	45	21983153	21983232	80	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	45	6310	45	46	21983353	21984564	1212	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	46	6445	46	47	21984700	21984817	118	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	47	6638	47	48	21985011	21985214	204	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	48	6764	48	49	21985341	21987555	2215	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	49	6940	49	50	21987732	21987818	87	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	50	7105	50	51	21987984	21988086	103	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	51	7314	51	52	21988296	21990211	1916	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	52	7504	52	53	21990402	21990604	203	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	53	7670	53	54	21990771	21990865	95	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	54	7831	54	55	21991027	21997965	6939	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	55	7993	55	56	21998128	21999730	1603	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	1	92	1	2	8229196	8242004	12809	within_one_model	1	GT	AG	canonical	gene-KUDE01_018062	gene-KUDE01_018062
deleginoides	ITPR3|deleginoides	2	163	2	3	8225580	8229124	3545	between_models	0	GT	AG	canonical	gene-KUDE01_017523	gene-KUDE01_018062
deleginoides	ITPR3|deleginoides	3	285	3	4	8224489	8225457	969	within_one_model	1	GT	AG	canonical	gene-KUDE01_017523	gene-KUDE01_017523
deleginoides	ITPR3|deleginoides	4	372	4	5	8221083	8224401	3319	within_one_model	1	GT	AG	canonical	gene-KUDE01_017523	gene-KUDE01_017523
deleginoides	ITPR3|deleginoides	5	531	5	6	8220035	8220923	889	within_one_model	1	GT	AG	canonical	gene-KUDE01_017523	gene-KUDE01_017523
deleginoides	ITPR3|deleginoides	6	630	6	7	8219835	8219935	101	within_one_model	1	GT	AG	canonical	gene-KUDE01_017523	gene-KUDE01_017523
deleginoides	ITPR3|deleginoides	7	714	7	8	8219219	8219750	532	within_one_model	1	GT	AG	canonical	gene-KUDE01_017523	gene-KUDE01_017523
deleginoides	ITPR3|deleginoides	8	861	8	9	8218892	8219071	180	within_one_model	1	GT	AG	canonical	gene-KUDE01_017523	gene-KUDE01_017523
deleginoides	ITPR3|deleginoides	9	957	9	10	8218367	8218795	429	within_one_model	1	GT	AG	canonical	gene-KUDE01_017523	gene-KUDE01_017523
deleginoides	ITPR3|deleginoides	10	1001	10	11	8218144	8218322	179	within_one_model	1	GT	AG	canonical	gene-KUDE01_017523	gene-KUDE01_017523
deleginoides	ITPR3|deleginoides	11	1141	11	12	8217526	8218003	478	within_one_model	1	GT	AG	canonical	gene-KUDE01_017523	gene-KUDE01_017523
deleginoides	ITPR3|deleginoides	12	1241	12	13	8217205	8217425	221	within_one_model	1	GT	AG	canonical	gene-KUDE01_017523	gene-KUDE01_017523
deleginoides	ITPR3|deleginoides	13	1402	13	14	8216668	8217043	376	between_models	0	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_017523
deleginoides	ITPR3|deleginoides	14	1544	14	15	8216439	8216525	87	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	15	1709	15	16	8215542	8216273	732	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	16	1882	16	17	8215282	8215368	87	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	17	2002	17	18	8214511	8215161	651	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	18	2078	18	19	8213485	8214434	950	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	19	2194	19	20	8212499	8213368	870	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	20	2446	20	21	8203824	8212246	8423	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	21	2591	21	22	8203571	8203678	108	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	22	2736	22	23	8202934	8203425	492	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	23	2945	23	24	8202415	8202724	310	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	24	3066	24	25	8201954	8202293	340	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	25	3121	25	26	8201710	8201898	189	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	26	3287	26	27	8200360	8201543	1184	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	27	3455	27	28	8198309	8200191	1883	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	28	3530	28	29	8197038	8198233	1196	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	29	3650	29	30	8196058	8196917	860	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	30	3773	30	31	8195170	8195934	765	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	31	3974	31	32	8194071	8194968	898	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	32	4090	32	33	8193107	8193954	848	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	33	4226	33	34	8192359	8192970	612	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	34	4352	34	35	8192040	8192232	193	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	35	4478	35	36	8191707	8191913	207	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	36	4599	36	37	8190634	8191585	952	within_one_model	1	GT	AG	canonical	gene-KUDE01_018466	gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	37	4781	37	38	8189792	8190451	660	model_to_gap	0	GT	AG	canonical		gene-KUDE01_018466
deleginoides	ITPR3|deleginoides	38	4930	38	39	8189548	8189642	95	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	39	5039	39	40	8189168	8189438	271	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	40	5133	40	41	8188513	8189073	561	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	41	5309	41	42	8187743	8188336	594	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	42	5469	42	43	8186263	8187582	1320	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	43	5688	43	44	8185277	8186043	767	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	44	5889	44	45	8184634	8185075	442	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	45	6000	45	46	8183965	8184522	558	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	46	6096	46	47	8183758	8183868	111	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	47	6198	47	48	8183025	8183655	631	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	48	6282	48	49	8182295	8182940	646	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	49	6393	49	50	8181592	8182183	592	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	50	6586	50	51	8181161	8181398	238	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	51	6706	51	52	8179586	8181040	1455	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	52	6882	52	53	8178961	8179409	449	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	53	7047	53	54	8178365	8178795	431	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	54	7234	54	55	8177674	8178177	504	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	55	7339	55	56	8177487	8177568	82	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	56	7458	56	57	8176986	8177367	382	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	57	7624	57	58	8176261	8176819	559	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	58	7785	58	59	8175206	8176099	894	unannotated	0	GT	AG	canonical		
deleginoides	ITPR3|deleginoides	59	7947	59	60	8174211	8175043	833	unannotated	0	GT	AG	canonical		
deleginoides	RYR|deleginoides	1	45	1	2	25145383	25192883	47501	unannotated	0	GT	AG	canonical		
deleginoides	RYR|deleginoides	2	165	2	3	25193004	25193794	791	unannotated	0	GT	AG	canonical		
deleginoides	RYR|deleginoides	3	276	3	4	25193906	25199463	5558	unannotated	0	GT	AG	canonical		
deleginoides	RYR|deleginoides	4	351	4	5	25199539	25200188	650	model_to_gap	0	GT	AG	canonical		gene-KUDE01_024247
deleginoides	RYR|deleginoides	5	430	5	6	25200268	25202024	1757	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	6	543	6	7	25202138	25209026	6889	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	7	643	7	8	25209127	25210014	888	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	8	740	8	9	25210112	25211002	891	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	9	815	9	10	25211078	25220025	8948	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	10	972	10	11	25220183	25220577	395	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	11	1137	11	12	25220743	25220903	161	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	12	1259	12	13	25221026	25221663	638	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	13	1443	13	14	25221848	25222529	682	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	14	1579	14	15	25222666	25223383	718	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	15	1675	15	16	25223480	25223873	394	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	16	1794	16	17	25223993	25224391	399	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	17	1928	17	18	25224526	25224990	465	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	18	2170	18	19	25225233	25225753	521	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	19	2363	19	20	25225947	25226427	481	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	20	2568	20	21	25226633	25226749	117	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	21	2673	21	22	25226855	25229915	3061	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	22	2777	22	23	25230020	25230254	235	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	23	2861	23	24	25230339	25230428	90	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	24	3021	24	25	25230589	25231220	632	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	25	3169	25	26	25231369	25231569	201	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	26	3273	26	27	25231674	25231809	136	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	27	3378	27	28	25231915	25232021	107	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	28	3553	28	29	25232197	25232499	303	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	29	3762	29	30	25232709	25232929	221	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	30	3939	30	31	25233107	25233344	238	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
deleginoides	RYR|deleginoides	31	4085	31	32	25233491	25233644	154	within_one_model	1	GT	AG	canonical	gene-KUDE01_024247	gene-KUDE01_024247
