species	organism	accession	seq	role	cell	length	n_exons	n_junctions	n_junctions_annotated	n_junctions_unannotated	annotation_loss	failure_mode	cell_status	annot_gene	annot_biotype	annot_frac_cds	genome_copies	sweep_coverage	sweep_identity	contig	start	end	strand	mp_id	bait	frameshifts	frame_breaks	blocks_placed	blocks_tested	placement	translation_identity	source	note
deleginoides	Dissostichus eleginoides	GCA_031216635.1	decoy_RYR|deleginoides	decoy	RYR	14895	0	0	0	0																						reversed(RYR|deleginoides)	reversed CDS: identical base composition, no homology
deleginoides	Dissostichus eleginoides	GCA_031216635.1	decoy_hk_EEF1A1|deleginoides	decoy	EEF1A1	1440	0	0	0	0																						reversed(hk_EEF1A1|deleginoides)	reversed CDS: identical base composition, no homology
deleginoides	Dissostichus eleginoides	GCA_031216635.1	decoy_hk_GAPDH|deleginoides	decoy	GAPDH	1005	0	0	0	0																						reversed(hk_GAPDH|deleginoides)	reversed CDS: identical base composition, no homology
deleginoides	Dissostichus eleginoides	GCA_031216635.1	decoy_hk_RPL13A|deleginoides	decoy	RPL13A	618	0	0	0	0																						reversed(hk_RPL13A|deleginoides)	reversed CDS: identical base composition, no homology
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	ITPR1|dmawsoni	failed	ITPR1	8228	58	57	0	57	1.0	omission	found_unannotated					1.0	0.9528	JAAKFY010000006.1	25372485	25435846	-	MP000083	A0A672IUQ7|ITPR1|Salarias_fasciatus	4	3	58	58	1.0	0.9777	miniprot:GCA_011823955.1:MP000083	
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	ITPR2|dmawsoni	failed	ITPR2	8065	56	55	1	54	0.876	truncation	found_unannotated					1.0	0.8622	JAAKFY010000007.1	17781036	17839072	-	MP000085	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	4	4	56	56	1.0	0.9745	miniprot:GCA_011823955.1:MP000085	
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	ITPR3|dmawsoni	failed	ITPR3	8058	60	59	0	59	0.989	truncation	found_unannotated					1.0	0.8856	JAAKFY010000002.1	32293568	32378972	+	MP000087	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	9	9	55	60	0.9167	0.9176	miniprot:GCA_011823955.1:MP000087	
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	RYR|dmawsoni	control_family	RYR	14887	115	114	80	34			found_annotated	F7725_014813	protein_coding	0.564		1.0	0.8696	JAAKFY010000008.1	28825739	28999030	+	MP000072	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	17	14	109	114	0.9561	0.9456	miniprot:GCA_011823955.1:MP000072	
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	hk_EEF1A1|dmawsoni	housekeeping	EEF1A1	1389	7	6	6	0							5	1.0022		JAAKFY010000019.1	10381960	10385542	-	MP000004	EEF1A1	0	0	7	7	1.0	1.0	miniprot:GCA_011823955.1:MP000004	
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	hk_GAPDH|dmawsoni	housekeeping	GAPDH	1003	11	10	9	1							3	1.0		JAAKFY010000026.1	23308373	23317218	-	MP000002	GAPDH	2	2	9	10	0.9	0.958	miniprot:GCA_011823955.1:MP000002	
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	hk_RPL13A|dmawsoni	housekeeping	RPL13A	618	7	6	6	0							1	1.0049		JAAKFY010000015.1	18881244	18884394	+	MP000009	RPL13A	0	0	6	6	1.0	1.0	miniprot:GCA_011823955.1:MP000009	
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	decoy_ITPR1|dmawsoni	decoy	ITPR1	8228	0	0	0	0																						reversed(ITPR1|dmawsoni)	reversed CDS: identical base composition, no homology
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	decoy_ITPR2|dmawsoni	decoy	ITPR2	8065	0	0	0	0																						reversed(ITPR2|dmawsoni)	reversed CDS: identical base composition, no homology
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	decoy_ITPR3|dmawsoni	decoy	ITPR3	8058	0	0	0	0																						reversed(ITPR3|dmawsoni)	reversed CDS: identical base composition, no homology
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	decoy_RYR|dmawsoni	decoy	RYR	14887	0	0	0	0																						reversed(RYR|dmawsoni)	reversed CDS: identical base composition, no homology
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	decoy_hk_EEF1A1|dmawsoni	decoy	EEF1A1	1389	0	0	0	0																						reversed(hk_EEF1A1|dmawsoni)	reversed CDS: identical base composition, no homology
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	decoy_hk_GAPDH|dmawsoni	decoy	GAPDH	1003	0	0	0	0																						reversed(hk_GAPDH|dmawsoni)	reversed CDS: identical base composition, no homology
dmawsoni	Dissostichus mawsoni	GCA_011823955.1	decoy_hk_RPL13A|dmawsoni	decoy	RPL13A	618	0	0	0	0																						reversed(hk_RPL13A|dmawsoni)	reversed CDS: identical base composition, no homology
nalbiflora	Nibea albiflora	GCA_014281875.1	ITPR1|nalbiflora	control_paralog	ITPR1	8255	58	57	46	11	0.02		found_annotated	ITPR1	pseudogene	0.98		1.0	0.9595	CM024790.1	23069459	23127860	-	MP000094	A0A672IUQ7|ITPR1|Salarias_fasciatus	2	2	58	58	1.0	0.9826	miniprot:GCA_014281875.1:MP000094	
nalbiflora	Nibea albiflora	GCA_014281875.1	ITPR2|nalbiflora	failed	ITPR2	8021	56	55	0	55	1.0	omission	found_unannotated					1.0	0.8663	CM024800.1	12447838	12500306	-	MP000096	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	2	2	56	56	1.0	0.9998	miniprot:GCA_014281875.1:MP000096	
nalbiflora	Nibea albiflora	GCA_014281875.1	ITPR3|nalbiflora	control_paralog	ITPR3	8185	58	57	41	16	0.034		found_annotated	ITPR2	pseudogene	0.966		1.0	0.8823	CM024793.1	25693049	25721341	-	MP000097	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	1	1	58	58	1.0	0.9978	miniprot:GCA_014281875.1:MP000097	
nalbiflora	Nibea albiflora	GCA_014281875.1	RYR|nalbiflora	control_family	RYR	14961	116	115	0	115			found_unannotated					1.0	0.8835	CM024806.1	1526459	1654991	+	MP000082	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	0	0	115	115	1.0	1.0	miniprot:GCA_014281875.1:MP000082	
nalbiflora	Nibea albiflora	GCA_014281875.1	hk_EEF1A1|nalbiflora	housekeeping	EEF1A1	1389	7	6	6	0							6	1.0022		CM024797.1	3961879	3964181	+	MP000004	EEF1A1	0	0	7	7	1.0	1.0	miniprot:GCA_014281875.1:MP000004	
nalbiflora	Nibea albiflora	GCA_014281875.1	hk_GAPDH|nalbiflora	housekeeping	GAPDH	1005	11	10	0	10							3	1.006		CM024811.1	18222054	18228692	-	MP000002	GAPDH	0	0	10	10	1.0	1.0	miniprot:GCA_014281875.1:MP000002	
nalbiflora	Nibea albiflora	GCA_014281875.1	hk_RPL13A|nalbiflora	housekeeping	RPL13A	618	7	6	5	1							1	1.0049		CM024799.1	22230398	22233161	+	MP000010	RPL13A	0	0	6	6	1.0	1.0	miniprot:GCA_014281875.1:MP000010	
nalbiflora	Nibea albiflora	GCA_014281875.1	decoy_ITPR1|nalbiflora	decoy	ITPR1	8255	0	0	0	0																						reversed(ITPR1|nalbiflora)	reversed CDS: identical base composition, no homology
nalbiflora	Nibea albiflora	GCA_014281875.1	decoy_ITPR2|nalbiflora	decoy	ITPR2	8021	0	0	0	0																						reversed(ITPR2|nalbiflora)	reversed CDS: identical base composition, no homology
nalbiflora	Nibea albiflora	GCA_014281875.1	decoy_ITPR3|nalbiflora	decoy	ITPR3	8185	0	0	0	0																						reversed(ITPR3|nalbiflora)	reversed CDS: identical base composition, no homology
nalbiflora	Nibea albiflora	GCA_014281875.1	decoy_RYR|nalbiflora	decoy	RYR	14961	0	0	0	0																						reversed(RYR|nalbiflora)	reversed CDS: identical base composition, no homology
nalbiflora	Nibea albiflora	GCA_014281875.1	decoy_hk_EEF1A1|nalbiflora	decoy	EEF1A1	1389	0	0	0	0																						reversed(hk_EEF1A1|nalbiflora)	reversed CDS: identical base composition, no homology
nalbiflora	Nibea albiflora	GCA_014281875.1	decoy_hk_GAPDH|nalbiflora	decoy	GAPDH	1005	0	0	0	0																						reversed(hk_GAPDH|nalbiflora)	reversed CDS: identical base composition, no homology
nalbiflora	Nibea albiflora	GCA_014281875.1	decoy_hk_RPL13A|nalbiflora	decoy	RPL13A	618	0	0	0	0																						reversed(hk_RPL13A|nalbiflora)	reversed CDS: identical base composition, no homology
