species	seq	junction_index	cds_offset	annotated	class	reads	runs_with_reads	runs_tested
deleginoides	ITPR3|deleginoides	47	6198	0	unannotated	32	8	18
deleginoides	ITPR3|deleginoides	48	6282	0	unannotated	21	8	18
deleginoides	ITPR3|deleginoides	49	6393	0	unannotated	27	9	18
deleginoides	ITPR3|deleginoides	50	6586	0	unannotated	15	7	18
deleginoides	ITPR3|deleginoides	51	6706	0	unannotated	33	9	18
deleginoides	ITPR3|deleginoides	52	6882	0	unannotated	18	6	18
deleginoides	ITPR3|deleginoides	53	7047	0	unannotated	24	8	18
deleginoides	ITPR3|deleginoides	54	7234	0	unannotated	14	6	18
deleginoides	ITPR3|deleginoides	55	7339	0	unannotated	9	5	18
deleginoides	ITPR3|deleginoides	56	7458	0	unannotated	29	7	18
deleginoides	ITPR3|deleginoides	57	7624	0	unannotated	49	6	18
deleginoides	ITPR3|deleginoides	58	7785	0	unannotated	72	11	18
deleginoides	ITPR3|deleginoides	59	7947	0	unannotated	57	12	18
deleginoides	RYR|deleginoides	1	45	0	unannotated	0	0	18
deleginoides	RYR|deleginoides	2	165	0	unannotated	2	1	18
deleginoides	RYR|deleginoides	3	276	0	unannotated	0	0	18
deleginoides	RYR|deleginoides	4	351	0	model_to_gap	0	0	18
deleginoides	RYR|deleginoides	5	430	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	6	543	1	within_one_model	3	2	18
deleginoides	RYR|deleginoides	7	643	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	8	740	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	9	815	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	10	972	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	11	1137	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	12	1259	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	13	1443	1	within_one_model	3	1	18
deleginoides	RYR|deleginoides	14	1579	1	within_one_model	3	1	18
deleginoides	RYR|deleginoides	15	1675	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	16	1794	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	17	1928	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	18	2170	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	19	2363	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	20	2568	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	21	2673	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	22	2777	1	within_one_model	2	2	18
deleginoides	RYR|deleginoides	23	2861	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	24	3021	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	25	3169	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	26	3273	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	27	3378	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	28	3553	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	29	3762	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	30	3939	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	31	4085	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	32	4197	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	33	4358	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	34	4518	1	within_one_model	5	2	18
deleginoides	RYR|deleginoides	35	4605	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	36	4737	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	37	4832	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	38	5008	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	39	5643	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	40	5844	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	41	5950	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	42	6094	1	within_one_model	7	1	18
deleginoides	RYR|deleginoides	43	6222	1	within_one_model	3	1	18
deleginoides	RYR|deleginoides	44	6368	1	within_one_model	3	1	18
deleginoides	RYR|deleginoides	45	6483	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	46	6616	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	47	6720	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	48	6856	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	49	7043	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	50	7155	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	51	7276	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	52	7446	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	53	7667	1	within_one_model	3	1	18
deleginoides	RYR|deleginoides	54	7758	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	55	7899	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	56	8063	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	57	8142	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	58	8232	1	within_one_model	3	2	18
deleginoides	RYR|deleginoides	59	8370	1	within_one_model	4	1	18
deleginoides	RYR|deleginoides	60	8448	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	61	8524	1	within_one_model	6	1	18
deleginoides	RYR|deleginoides	62	8648	1	within_one_model	11	3	18
deleginoides	RYR|deleginoides	63	8764	1	within_one_model	5	2	18
deleginoides	RYR|deleginoides	64	8829	1	within_one_model	4	2	18
deleginoides	RYR|deleginoides	65	8951	1	within_one_model	5	1	18
deleginoides	RYR|deleginoides	66	9001	1	within_one_model	3	1	18
deleginoides	RYR|deleginoides	67	9062	1	within_one_model	3	2	18
deleginoides	RYR|deleginoides	68	9301	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	69	9383	1	within_one_model	7	1	18
deleginoides	RYR|deleginoides	70	9514	1	within_one_model	5	2	18
deleginoides	RYR|deleginoides	71	9642	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	72	9835	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	73	9918	1	within_one_model	1	1	18
deleginoides	RYR|deleginoides	74	10076	1	within_one_model	7	1	18
deleginoides	RYR|deleginoides	75	10164	1	within_one_model	2	1	18
deleginoides	RYR|deleginoides	76	10257	1	within_one_model	9	2	18
deleginoides	RYR|deleginoides	77	10428	1	within_one_model	3	1	18
deleginoides	RYR|deleginoides	78	10488	1	within_one_model	5	1	18
deleginoides	RYR|deleginoides	79	10623	1	within_one_model	3	1	18
deleginoides	RYR|deleginoides	80	10736	1	within_one_model	6	1	18
deleginoides	RYR|deleginoides	81	10833	1	within_one_model	3	1	18
deleginoides	RYR|deleginoides	82	10940	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	83	10992	1	within_one_model	3	1	18
deleginoides	RYR|deleginoides	84	11043	1	within_one_model	5	1	18
deleginoides	RYR|deleginoides	85	11143	1	within_one_model	3	1	18
deleginoides	RYR|deleginoides	86	11223	1	within_one_model	8	1	18
deleginoides	RYR|deleginoides	87	11300	1	within_one_model	7	1	18
deleginoides	RYR|deleginoides	88	11374	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	89	11392	1	within_one_model	0	0	18
deleginoides	RYR|deleginoides	90	11473	1	within_one_model	9	2	18
deleginoides	RYR|deleginoides	91	11562	1	within_one_model	6	2	18
deleginoides	RYR|deleginoides	92	11691	1	within_one_model	7	2	18
deleginoides	RYR|deleginoides	93	11796	1	within_one_model	4	1	18
deleginoides	RYR|deleginoides	94	11878	1	within_one_model	4	1	18
deleginoides	RYR|deleginoides	95	12037	1	within_one_model	7	3	18
deleginoides	RYR|deleginoides	96	12192	1	within_one_model	5	2	18
deleginoides	RYR|deleginoides	97	12408	1	within_one_model	12	2	18
deleginoides	RYR|deleginoides	98	12681	0	model_to_gap	11	2	18
deleginoides	RYR|deleginoides	99	12888	0	unannotated	12	3	18
deleginoides	RYR|deleginoides	100	13194	0	unannotated	0	0	18
deleginoides	RYR|deleginoides	101	13265	0	unannotated	9	2	18
deleginoides	RYR|deleginoides	102	13416	0	unannotated	13	2	18
deleginoides	RYR|deleginoides	103	13503	0	unannotated	11	2	18
deleginoides	RYR|deleginoides	104	13773	0	unannotated	9	2	18
deleginoides	RYR|deleginoides	105	13904	0	unannotated	9	3	18
deleginoides	RYR|deleginoides	106	13947	0	unannotated	9	3	18
deleginoides	RYR|deleginoides	107	14081	0	unannotated	13	3	18
deleginoides	RYR|deleginoides	108	14142	0	unannotated	16	3	18
deleginoides	RYR|deleginoides	109	14289	0	unannotated	15	3	18
deleginoides	RYR|deleginoides	110	14424	0	unannotated	12	4	18
deleginoides	RYR|deleginoides	111	14581	0	unannotated	15	3	18
deleginoides	RYR|deleginoides	112	14646	0	unannotated	9	1	18
deleginoides	RYR|deleginoides	113	14747	0	unannotated	15	2	18
deleginoides	RYR|deleginoides	114	14799	0	unannotated	7	2	18
deleginoides	hk_EEF1A1|deleginoides	1	144	1	within_one_model	1298	5	18
deleginoides	hk_EEF1A1|deleginoides	2	324	1	within_one_model	1563	5	18
deleginoides	hk_EEF1A1|deleginoides	3	621	1	within_one_model	2062	6	18
deleginoides	hk_EEF1A1|deleginoides	4	772	1	within_one_model	2137	7	18
deleginoides	hk_EEF1A1|deleginoides	5	1354	1	within_one_model	2755	8	18
deleginoides	hk_GAPDH|deleginoides	1	23	1	within_one_model	1654	6	18
deleginoides	hk_GAPDH|deleginoides	2	123	1	within_one_model	6785	7	18
deleginoides	hk_GAPDH|deleginoides	3	233	1	within_one_model	7157	7	18
deleginoides	hk_GAPDH|deleginoides	4	324	1	within_one_model	7399	6	18
deleginoides	hk_GAPDH|deleginoides	5	440	1	within_one_model	9099	7	18
deleginoides	hk_GAPDH|deleginoides	6	522	1	within_one_model	9547	7	18
deleginoides	hk_GAPDH|deleginoides	7	674	1	within_one_model	15674	8	18
deleginoides	hk_GAPDH|deleginoides	8	753	1	within_one_model	12552	8	18
deleginoides	hk_GAPDH|deleginoides	9	837	1	within_one_model	14292	8	18
deleginoides	hk_GAPDH|deleginoides	10	935	1	within_one_model	10575	8	18
deleginoides	hk_RPL13A|deleginoides	1	21	1	within_one_model	11289	18	18
deleginoides	hk_RPL13A|deleginoides	2	94	1	within_one_model	29893	18	18
deleginoides	hk_RPL13A|deleginoides	3	160	1	within_one_model	32728	18	18
deleginoides	hk_RPL13A|deleginoides	4	262	1	within_one_model	38909	18	18
deleginoides	hk_RPL13A|deleginoides	5	348	1	within_one_model	26437	18	18
deleginoides	hk_RPL13A|deleginoides	6	408	1	within_one_model	30780	18	18
dmawsoni	ITPR1|dmawsoni	1	92	0	unannotated	7	5	17
dmawsoni	ITPR1|dmawsoni	2	163	0	unannotated	10	7	17
dmawsoni	ITPR1|dmawsoni	3	273	0	unannotated	9	7	17
dmawsoni	ITPR1|dmawsoni	4	360	0	unannotated	3	2	17
dmawsoni	ITPR1|dmawsoni	5	519	0	unannotated	2	2	17
dmawsoni	ITPR1|dmawsoni	6	618	0	unannotated	13	6	17
dmawsoni	ITPR1|dmawsoni	7	702	0	unannotated	6	4	17
dmawsoni	ITPR1|dmawsoni	8	849	0	unannotated	10	4	17
dmawsoni	ITPR1|dmawsoni	9	945	0	unannotated	11	7	17
dmawsoni	ITPR1|dmawsoni	10	990	0	unannotated	11	8	17
dmawsoni	ITPR1|dmawsoni	11	1145	0	unannotated	17	10	17
dmawsoni	ITPR1|dmawsoni	12	1245	0	unannotated	7	5	17
dmawsoni	ITPR1|dmawsoni	13	1406	0	unannotated	9	7	17
dmawsoni	ITPR1|dmawsoni	14	1548	0	unannotated	3	3	17
dmawsoni	ITPR1|dmawsoni	15	1707	0	unannotated	6	3	17
dmawsoni	ITPR1|dmawsoni	16	1880	0	unannotated	9	7	17
dmawsoni	ITPR1|dmawsoni	17	2000	0	unannotated	6	6	17
dmawsoni	ITPR1|dmawsoni	18	2195	0	unannotated	19	11	17
dmawsoni	ITPR1|dmawsoni	19	2447	0	unannotated	13	8	17
dmawsoni	ITPR1|dmawsoni	20	2589	0	unannotated	7	4	17
dmawsoni	ITPR1|dmawsoni	21	2743	0	unannotated	5	5	17
dmawsoni	ITPR1|dmawsoni	22	2934	0	unannotated	7	6	17
dmawsoni	ITPR1|dmawsoni	23	3067	0	unannotated	10	8	17
dmawsoni	ITPR1|dmawsoni	24	3122	0	unannotated	10	8	17
dmawsoni	ITPR1|dmawsoni	25	3288	0	unannotated	9	8	17
dmawsoni	ITPR1|dmawsoni	26	3462	0	unannotated	5	4	17
dmawsoni	ITPR1|dmawsoni	27	3537	0	unannotated	20	13	17
dmawsoni	ITPR1|dmawsoni	28	3675	0	unannotated	13	9	17
dmawsoni	ITPR1|dmawsoni	29	3801	0	unannotated	10	4	17
dmawsoni	ITPR1|dmawsoni	30	4002	0	unannotated	12	7	17
dmawsoni	ITPR1|dmawsoni	31	4254	0	unannotated	15	10	17
dmawsoni	ITPR1|dmawsoni	32	4380	0	unannotated	20	12	17
dmawsoni	ITPR1|dmawsoni	33	4509	0	unannotated	8	6	17
dmawsoni	ITPR1|dmawsoni	34	4630	0	unannotated	17	9	17
dmawsoni	ITPR1|dmawsoni	35	4815	0	unannotated	15	8	17
dmawsoni	ITPR1|dmawsoni	36	4964	0	unannotated	14	5	17
dmawsoni	ITPR1|dmawsoni	37	5103	0	unannotated	0	0	17
dmawsoni	ITPR1|dmawsoni	38	5151	0	unannotated	1	1	17
dmawsoni	ITPR1|dmawsoni	39	5284	0	unannotated	24	11	17
dmawsoni	ITPR1|dmawsoni	40	5472	0	unannotated	46	13	17
dmawsoni	ITPR1|dmawsoni	41	5662	0	unannotated	0	0	17
dmawsoni	ITPR1|dmawsoni	42	5916	0	unannotated	42	13	17
dmawsoni	ITPR1|dmawsoni	43	6117	0	unannotated	66	15	17
dmawsoni	ITPR1|dmawsoni	44	6228	0	unannotated	51	16	17
dmawsoni	ITPR1|dmawsoni	45	6324	0	unannotated	49	14	17
dmawsoni	ITPR1|dmawsoni	46	6468	0	unannotated	68	14	17
dmawsoni	ITPR1|dmawsoni	47	6576	0	unannotated	70	16	17
dmawsoni	ITPR1|dmawsoni	48	6769	0	unannotated	56	16	17
dmawsoni	ITPR1|dmawsoni	49	6892	0	unannotated	39	14	17
dmawsoni	ITPR1|dmawsoni	50	7068	0	unannotated	48	16	17
dmawsoni	ITPR1|dmawsoni	51	7232	0	unannotated	74	16	17
dmawsoni	ITPR1|dmawsoni	52	7420	0	unannotated	46	15	17
dmawsoni	ITPR1|dmawsoni	53	7513	0	unannotated	44	12	17
dmawsoni	ITPR1|dmawsoni	54	7653	0	unannotated	84	17	17
dmawsoni	ITPR1|dmawsoni	55	7819	0	unannotated	108	17	17
dmawsoni	ITPR1|dmawsoni	56	7979	0	unannotated	97	16	17
dmawsoni	ITPR1|dmawsoni	57	8141	0	unannotated	141	16	17
dmawsoni	ITPR2|dmawsoni	1	92	0	unannotated	7	6	17
dmawsoni	ITPR2|dmawsoni	2	163	0	unannotated	11	8	17
dmawsoni	ITPR2|dmawsoni	3	282	0	unannotated	15	10	17
dmawsoni	ITPR2|dmawsoni	4	369	0	unannotated	13	8	17
dmawsoni	ITPR2|dmawsoni	5	528	0	model_to_gap	24	7	17
dmawsoni	ITPR2|dmawsoni	6	627	0	model_to_gap	30	12	17
dmawsoni	ITPR2|dmawsoni	7	711	0	model_to_gap	24	9	17
dmawsoni	ITPR2|dmawsoni	8	858	1	within_one_model	25	11	17
dmawsoni	ITPR2|dmawsoni	9	954	0	model_to_gap	30	10	17
dmawsoni	ITPR2|dmawsoni	10	999	0	unannotated	26	8	17
dmawsoni	ITPR2|dmawsoni	11	1150	0	unannotated	17	9	17
dmawsoni	ITPR2|dmawsoni	12	1250	0	unannotated	13	7	17
dmawsoni	ITPR2|dmawsoni	13	1411	0	unannotated	21	10	17
dmawsoni	ITPR2|dmawsoni	14	1553	0	unannotated	22	10	17
dmawsoni	ITPR2|dmawsoni	15	1716	0	unannotated	0	0	17
dmawsoni	ITPR2|dmawsoni	16	1879	0	unannotated	18	7	17
dmawsoni	ITPR2|dmawsoni	17	1999	0	unannotated	25	8	17
dmawsoni	ITPR2|dmawsoni	18	2182	0	unannotated	23	9	17
dmawsoni	ITPR2|dmawsoni	19	2434	0	unannotated	32	12	17
