accession	organism	vclass	vorder	annotated	assembly_level	genome_bp	contig_n50	contig_spans_gene	reasons	ITPR1	ITPR1_n	ITPR2	ITPR2_n	ITPR3	ITPR3_n	RYR	RYR_n	itpr_found	n_loci	other_loci	novel_models	control_ok	sweep_s
GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes	Y	Scaffold	1031447271	60402	0	fragment_only	assembly_gap	2	found_unannotated	1	assembly_gap	2	assembly_gap	4	1	9	0	9	1	62.7
GCA_013397295.1	Polioptila caerulea	Aves	Passeriformes	Y	Scaffold	1038028908	50944	0	missing_paralog	tblastn_trace	0	found_unannotated	1	found_annotated	1	found_annotated	2	2	4	0	3	1	666.9
GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	Y	Scaffold	1050295543	78603	0	missing_paralog	found_unannotated	1	found_unannotated	1	found_annotated	1	found_annotated	2	3	5	0	3	1	52.0
GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	Y	Scaffold	1020012445	55547	0	missing_paralog	found_annotated	1	found_unannotated	1	found_annotated	1	assembly_gap	3	3	6	0	5	1	218.0
GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes	Y	Scaffold	1042002978	72805	0	fragment_only	assembly_gap	1	found_unannotated	1	tblastn_trace	0	found_annotated	2	1	4	0	3	1	605.5
GCA_013397815.1	Aleadryas rufinucha	Aves	Passeriformes	Y	Scaffold	1050107613	90297	0	missing_paralog;fragment_only	found_unannotated	1	found_unannotated	1	found_annotated	1	found_unannotated	2	3	5	0	5	1	251.0
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	Y	Scaffold	1033410747	99117	0	fragment_only	found_unannotated	1	found_unannotated	1	found_annotated	2	found_annotated	2	3	6	0	4	1	66.1
GCA_013397955.1	Grantiella picta	Aves	Passeriformes	Y	Scaffold	1014521746	100624	0	missing_paralog;fragment_only	found_unannotated	1	found_unannotated	1	found_annotated	1	found_annotated	2	3	5	0	4	1	54.6
GCA_013398125.1	Aegotheles bennettii	Aves	Caprimulgiformes	Y	Scaffold	1089119258	65833	0	fragment_only	found_unannotated	1	assembly_gap	1	found_annotated	2	found_annotated	2	2	6	0	4	1	46.9
GCA_013398175.1	Climacteris rufus	Aves	Passeriformes	Y	Scaffold	1058972301	72434	0	missing_paralog	found_annotated	1	found_unannotated	1	found_annotated	1	found_annotated	2	3	5	0	3	1	66.4
GCA_013398455.1	Loxia curvirostra	Aves	Passeriformes	Y	Scaffold	1028271095	211346	1	missing_paralog;fragment_only	found_unannotated	1	found_unannotated	1	found_annotated	1	found_annotated	2	3	5	0	4	1	58.6
GCA_013398615.1	Brachypodius melanocephalos	Aves	Passeriformes	Y	Scaffold	906727256	85408	0	missing_paralog;fragment_only	found_unannotated	1	found_unannotated	1	found_annotated	1	found_annotated	2	3	5	0	4	1	23.8
GCA_013398795.1	Elachura formosa	Aves	Passeriformes	Y	Scaffold	1013707244	43159	0	fragment_only	found_unannotated	1	found_unannotated	1	tblastn_trace	0	found_annotated	2	2	4	0	4	1	401.4
GCA_013398835.1	Emberiza fucata	Aves	Passeriformes	Y	Scaffold	1032579516	19687	0	missing_paralog;fragment_only	assembly_gap	1	found_unannotated	1	found_annotated	1	found_annotated	2	2	5	0	4	1	53.6
GCA_013398955.1	Callaeas wilsoni	Aves	Passeriformes	Y	Scaffold	1047533504	118426	0	fragment_only	assembly_gap	1	found_unannotated	1	found_annotated	2	found_annotated	2	2	6	0	3	1	60.1
GCA_013398975.1	Catharus fuscescens	Aves	Passeriformes	Y	Scaffold	1041802491	56061	0	missing_paralog	assembly_gap	2	found_unannotated	1	found_annotated	1	found_annotated	2	2	6	0	5	1	76.7
GCA_013399035.1	Quiscalus mexicanus	Aves	Passeriformes	Y	Scaffold	1041398572	60532	0	missing_paralog	assembly_gap	2	assembly_gap	1	found_annotated	1	found_unannotated	2	1	6	0	5	1	67.4
GCA_013399075.1	Chloroceryle aenea	Aves	Coraciiformes	Y	Scaffold	1062127307	34835	0	missing_paralog;fragment_only	found_annotated	1	found_unannotated	1	found_annotated	1	found_annotated	1	3	4	0	3	1	70.6
GCA_013399455.1	Anthoscopus minutus	Aves	Passeriformes	Y	Scaffold	978848727	49651	0	fragment_only	found_unannotated	1	assembly_gap	1	assembly_gap	2	assembly_gap	2	1	6	0	6	1	239.0
GCA_013399735.1	Tyrannus savana	Aves	Passeriformes	Y	Scaffold	1055499921	72317	0	missing_paralog;fragment_only	found_unannotated	1	assembly_gap	1	found_annotated	1	found_unannotated	2	2	5	0	5	1	53.8
GCA_013399795.1	Zosterops hypoxanthus	Aves	Passeriformes	Y	Scaffold	1051741454	48044	0	missing_paralog;fragment_only	assembly_gap	2	found_unannotated	1	found_annotated	1	found_unannotated	3	2	7	0	7	1	57.1
GCA_013399855.1	Oxyruncus cristatus	Aves	Passeriformes	Y	Scaffold	1062467484	75750	0	missing_paralog;fragment_only	found_unannotated	1	found_unannotated	1	found_annotated	1	found_unannotated	2	3	5	0	5	1	48.8
GCA_013399895.1	Serilophus lunatus	Aves	Passeriformes	Y	Scaffold	1040370003	89885	0	missing_paralog	found_unannotated	1	found_unannotated	1	found_annotated	1	found_annotated	2	3	5	0	3	1	422.7
GCA_013400075.1	Hippolais icterina	Aves	Passeriformes	Y	Scaffold	1048398027	64762	0	missing_paralog	assembly_gap	1	found_unannotated	1	found_annotated	1	found_unannotated	2	2	5	0	4	1	59.1
GCA_013400215.1	Cisticola juncidis	Aves	Passeriformes	Y	Scaffold	1016620075	74140	0	missing_paralog	found_unannotated	1	found_unannotated	1	found_annotated	1	found_annotated	2	3	5	0	3	1	51.9
GCA_013400415.1	Scytalopus superciliaris	Aves	Passeriformes	Y	Scaffold	1061776118	60031	0	missing_paralog	found_annotated	1	found_unannotated	1	found_annotated	1	found_unannotated	2	3	5	0	4	1	69.2
GCA_013400445.1	Leiothrix lutea	Aves	Passeriformes	Y	Scaffold	1058758629	27764	0	missing_paralog	tblastn_trace	0	found_unannotated	1	found_annotated	1	found_unannotated	4	2	6	0	5	1	289.3
GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	Y	Scaffold	1013967273	45331	0	missing_paralog	found_annotated	1	found_unannotated	1	found_annotated	1	assembly_gap	5	3	8	0	7	1	64.3
GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	Y	Scaffold	985401841	24720	0	missing_paralog;fragment_only	found_unannotated	1	found_unannotated	1	found_annotated	1	assembly_gap	5	3	8	0	8	1	197.9
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	Passeriformes	Y	Scaffold	854293167	23460	0	missing_paralog	tblastn_trace	0	tblastn_trace	0	found_annotated	1	assembly_gap	1	1	2	0	1	1	3.1
GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	Y	Scaffold	1024462016	7054	0	fragment_only	tblastn_trace	0	fragment	2	assembly_gap	4	assembly_gap	2	0	8	0	8	1	195.8
GCA_013400735.1	Pomatostomus ruficeps	Aves	Passeriformes	Y	Scaffold	1020560999	34780	0	missing_paralog	tblastn_trace	0	assembly_gap	1	found_annotated	1	assembly_gap	4	1	6	0	5	1	645.5
GCA_013400815.1	Centropus bengalensis	Aves	Cuculiformes	Y	Scaffold	1015638883	34951	0	fragment_only	assembly_gap	1	found_unannotated	1	found_annotated	1	found_annotated	2	2	5	0	5	1	60.0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	Passeriformes	Y	Scaffold	1040192226	13219	0	missing_paralog;fragment_only	tblastn_trace	0	assembly_gap	2	tblastn_trace	0	assembly_gap	2	0	4	0	4	1	729.0
GCA_013400915.1	Pardalotus punctatus	Aves	Passeriformes	Y	Scaffold	1032444361	83169	0	fragment_only	assembly_gap	1	assembly_gap	2	assembly_gap	2	found_annotated	2	0	7	0	6	1	265.5
GCA_013400955.1	Drymodes brunneopygia	Aves	Passeriformes	Y	Scaffold	1058966521	79910	0	missing_paralog	found_unannotated	1	assembly_gap	1	found_annotated	1	found_annotated	1	2	4	0	2	1	62.8
GCA_013401195.1	Pomatorhinus ruficollis	Aves	Passeriformes	Y	Scaffold	1065047492	60017	0	fragment_only	tblastn_trace	0	found_unannotated	1	tblastn_trace	0	found_annotated	2	1	3	0	2	1	170.3
GCA_014281875.1	Nibea albiflora	Actinopteri		Y	Chromosome	627578634	4420150	1	missing_paralog;fragment_only	found_annotated	2	found_unannotated	1	found_annotated	2	found_unannotated	6	3	11	0	10	1	134.0
GCA_014363365.1	Leucopsar rothschildi	Aves	Passeriformes	N	Scaffold	999682512	104200	0	missing_paralog;fragment_only	assembly_gap	3	assembly_gap	3	assembly_gap	3	assembly_gap	4	0	13	0	13	1	0.3
GCA_014839755.1	Sylvia borin	Aves	Passeriformes	Y	Chromosome	1045652180	31914676	1	missing_paralog;fragment_only	found_annotated	1	found_annotated	1	found_annotated	1	found_annotated	3	3	6	0	0	1	84.1
GCA_015883425.2	Lamprotornis superbus	Aves	Passeriformes	Y	Chromosome	1068005652	150307	1	missing_paralog	found_annotated	1	found_annotated	1	found_annotated	1	found_annotated	2	3	5	0	5	1	53.0
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	Perciformes	Y	Chromosome	1065596499	1500626	1	fragment_only	found_annotated	2	found_annotated	1	fragment	1	found_unannotated	6	2	10	0	10	1	83.5
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	Gadiformes	Y	Chromosome	893743365	636888	1	fragment_only	found_annotated	2	found_annotated	1	found_annotated	1	found_annotated	6	3	10	0	10	1	34.3
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	Perciformes	Y	Chromosome	844744120	4228958	1	fragment_only	found_unannotated	2	found_unannotated	1	found_unannotated	1	found_annotated	6	3	10	0	10	1	29.9
GCA_032275445.1	Crypturellus soui	Aves	Tinamiformes	N	Scaffold	1038921062	10551	0	fragment_only	found_no_annotation	1	found_no_annotation	1	found_no_annotation	1	found_no_annotation	2	3	5	0	5	1	28.9
GCA_033238685.1	Lates japonicus	Actinopteri		Y	Scaffold	837949969	285591	1	fragment_only	found_annotated	2	found_annotated	1	found_unannotated	3	found_unannotated	6	3	12	0	12	1	26.4
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	Cypriniformes	Y	Chromosome	1057024841	3631979	1	zero_hit_proteome	found_unannotated	2	found_unannotated	1	found_unannotated	1	found_unannotated	6	3	10	0	10	1	54.8
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	Y	Scaffold	929852946	16136	0	fragment_only	assembly_gap	2	assembly_gap	1	assembly_gap	3	found_annotated	5	0	11	0	7	1	43.3
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	Y	Scaffold	925961068	18129	0	fragment_only	assembly_gap	2	assembly_gap	1	assembly_gap	1	assembly_gap	9	0	14	1	14	1	39.7
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	Y	Scaffold	935215237	16857	0	fragment_only	assembly_gap	3	assembly_gap	3	assembly_gap	2	assembly_gap	4	0	12	0	12	1	26.0
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	Y	Scaffold	927507663	11867	0	fragment_only	assembly_gap	2	assembly_gap	3	assembly_gap	3	assembly_gap	11	0	19	0	19	1	39.1
GCA_040091325.1	Goodea atripinnis	Actinopteri	Cyprinodontiformes	Y	Scaffold	979082110	16062	0	fragment_only	assembly_gap	3	assembly_gap	3	assembly_gap	4	assembly_gap	9	0	19	0	19	1	685.6
GCA_040091335.1	Xenoophorus captivus	Actinopteri	Cyprinodontiformes	Y	Scaffold	970757911	19941	0	fragment_only	assembly_gap	4	assembly_gap	2	assembly_gap	4	found_unannotated	3	0	13	0	13	1	670.5
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	Cyprinodontiformes	Y	Scaffold	958301961	15690	0	fragment_only	assembly_gap	2	assembly_gap	3	assembly_gap	1	assembly_gap	9	0	15	0	15	1	688.7
GCA_043380575.1	Atractosteus spatula	Actinopteri	Semionotiformes	N	Chromosome	1045212796	15716625	1	missing_paralog	found_no_annotation	1	found_no_annotation	1	found_no_annotation	1	found_no_annotation	3	3	6	0	6	1	29.3
GCA_050084785.1	Liparis tanakae	Actinopteri	Perciformes	N	Chromosome	574413635	1346787	1	fragment_only	found_no_annotation	2	found_no_annotation	1	found_no_annotation	1	found_no_annotation	6	3	10	0	10	1	54.3
GCA_054084135.1	Copsychus sechellarum	Aves	Passeriformes	N	Chromosome	1040605357	12529446	1	fragment_only	found_no_annotation	1	found_no_annotation	1	found_no_annotation	1	found_no_annotation	2	3	5	0	5	1	54.2
GCA_054883375.1	Arapaima gigas	Actinopteri	Osteoglossiformes	N	Complete Genome	667947082	27159801	1	missing_paralog	found_no_annotation	2	found_no_annotation	1	found_no_annotation	1	found_no_annotation	4	3	8	0	8	1	12.0
GCA_056783665.1	Albula glossodonta	Actinopteri	Albuliformes	N	Chromosome	985760009	36502201	1	fragment_only	found_no_annotation	2	found_no_annotation	1	found_no_annotation	1	found_no_annotation	5	3	9	0	9	1	43.6
GCF_000695815.1	Acanthisitta chloris	Aves	Passeriformes	Y	Scaffold	1035876403	20602	0	zero_hit_proteome	found_annotated	1	fragment	1	found_annotated	1	found_annotated	1	2	4	0	3	1	272.0
GCF_000696875.1	Nestor notabilis	Aves	Psittaciformes	Y	Scaffold	1053559886	26546	0	missing_paralog	found_annotated	1	assembly_gap	1	found_annotated	1	assembly_gap	5	2	8	0	6	1	77.3
GCF_000705375.1	Tinamus guttatus	Aves	Tinamiformes	Y	Scaffold	1047056493	29773	0	missing_paralog;fragment_only	found_annotated	1	tblastn_trace	0	assembly_gap	1	found_annotated	2	1	4	0	2	1	207.5
GCF_003957555.1	Calypte anna	Aves	Apodiformes	Y	Chromosome	1059687259	14522327	1	missing_paralog	found_annotated	1	found_annotated	1	found_annotated	1	found_annotated	2	3	5	0	0	1	90.0
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	Monotremata	Y	Chromosome	1859264908	15146802	1	order_rep:Monotremata	found_annotated	1	found_annotated	1	found_annotated	1	found_annotated	3	3	6	0	0	1	0.2
GCF_019740435.1	Gambusia affinis	Actinopteri	Cyprinodontiformes	Y	Chromosome	680149392	12906370	1	missing_paralog	found_annotated	2	found_annotated	1	found_annotated	1	found_annotated	6	3	10	0	3	1	57.0
GCF_046128005.1	Genypterus blacodes	Actinopteri	Ophidiiformes	Y	Contig	463765610	4774482	1	order_rep:Ophidiiformes	found_annotated	2	found_annotated	1	found_annotated	1	found_annotated	6	3	10	0	3	1	0.4
GCF_901000725.3	Takifugu rubripes	Actinopteri	Tetraodontiformes	Y	Chromosome	384110215	3136617	1	order_rep:Tetraodontiformes	found_annotated	2	found_annotated	1	found_annotated	1	found_annotated	6	3	10	0	3	1	83.0
GCF_949152265.1	Phoxinus phoxinus	Actinopteri	Cypriniformes	Y	Chromosome	950479694	1988965	1	missing_paralog	found_annotated	2	found_annotated	1	found_annotated	1	found_annotated	6	3	10	0	1	1	942.1
