accession	organism	vclass	class	status	contig	start	coverage	identity	family_margin	paralog_margin	assigned_via	bait	annot_gene	annot_paralog	annot_agrees
GCA_002909625.1	Bambusicola thoracicus	Aves	RYR	assembly_gap	PPHD01048816.1	168	0.1336	0.6774	1.0	1.0	primary	H3BGR5|RYR|Latimeria_chalumnae			0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	found_no_annotation	QEPC01008366.1	2025790	0.9975	0.9524	1.0	0.3546	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	found_no_annotation	QEPC01007142.1	232928	1.0	0.9338	1.0	0.284	primary	F1P1X4|ITPR2|Gallus_gallus|ITPR2			0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	found_no_annotation	QEPC01007384.1	3264626	1.0	0.9415	1.0	0.3593	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3			0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	found_no_annotation	QEPC01010682.1	4003349	0.996	0.9493	1.0	1.0	primary	A0A3Q0HBW9|RYR|Alligator_sinensis			0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	found_no_annotation	QEPC01001878.1	319223	0.9968	0.738	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	found_no_annotation	QEPC01010852.1	1631536	1.0	0.6711	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR1	assembly_gap	BHFT01002173.1	5172	0.5817	0.9671	1.0	0.309	primary	A0A670JBK6|ITPR1|Podarcis_muralis			0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR2	assembly_gap	BHFT01019722.1	2266	0.5616	0.913	1.0	0.2833	primary	A0ABM1LG32|ITPR2|Gekko_japonicus			0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR3	assembly_gap	BHFT01014849.1	37021	0.5911	0.9385	1.0	0.3441	primary	A0A6J0TV85|ITPR3|Pogona_vitticeps			0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	found_no_annotation	BHFT01042859.1	31	0.725	0.8504	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	found_no_annotation	BHFT01026245.1	2114	0.4308	0.905	1.0	1.0	primary	A0A3Q0HBW9|RYR|Alligator_sinensis			0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	found_no_annotation	BHFT01031327.1	6564	0.2422	0.7973	1.0	1.0	primary	H3BGR5|RYR|Latimeria_chalumnae			0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	found_no_annotation	BHFT01031326.1	736	0.2156	0.9045	1.0	1.0	primary	Q92736|RYR2|Homo_sapiens|RYR2			0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	found_no_annotation	BHFT01041112.1	5596	0.2559	0.7173	1.0	1.0	primary	Q92736|RYR2|Homo_sapiens|RYR2			0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	found_no_annotation	BHFT01036106.1	2172	0.1572	0.8903	1.0	1.0	primary	Q92736|RYR2|Homo_sapiens|RYR2			0
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	found_no_annotation	SZQC01000012.1	7428581	1.0	0.9412	1.0	0.3311	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	found_no_annotation	SZQC01000052.1	75815	1.0	0.9404	1.0	0.3194	primary	F1P1X4|ITPR2|Gallus_gallus|ITPR2			0
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	found_no_annotation	SZQC01000046.1	3993909	1.0	0.9589	1.0	0.4009	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3			0
GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	found_no_annotation	SZQC01000381.1	3437	0.7081	0.9043	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	found_no_annotation	SZQC01000017.1	7191534	0.5473	0.6358	1.0	1.0	primary	A0A3Q0HBW9|RYR|Alligator_sinensis			0
GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	found_no_annotation	SZQC01000027.1	6276364	0.2816	0.9042	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR1	found_no_annotation	RWJT01005793.1	19976061	1.0	0.9797	1.0	0.326	primary	Q14643|ITPR1|Homo_sapiens|ITPR1			0
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR2	found_no_annotation	RWJT01020497.1	5271385	1.0	0.9594	1.0	0.3114	primary	Q14571|ITPR2|Homo_sapiens|ITPR2			0
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR3	found_no_annotation	RWJT01022005.1	5949234	1.0	0.9738	1.0	0.3862	primary	Q14573|ITPR3|Homo_sapiens|ITPR3			0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	found_no_annotation	RWJT01001056.1	140403	1.0	0.9763	1.0	1.0	primary	Q92736|RYR2|Homo_sapiens|RYR2			0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	found_no_annotation	RWJT01019646.1	7646897	1.0	0.7861	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	found_no_annotation	RWJT01018246.1	1472992	0.9968	0.6653	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_008658365.1	Alca torda	Aves	ITPR1	found_annotated	CM018086.1	14511323	1.0	0.9903	1.0	0.3348	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1	ITPR1	1
GCA_008658365.1	Alca torda	Aves	ITPR2	found_annotated	CM018076.1	74630781	1.0	0.9772	1.0	0.3171	primary	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2	ITPR2	1
GCA_008658365.1	Alca torda	Aves	ITPR3	found_annotated	CM018095.1	3506405	1.0	0.9831	1.0	0.3964	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3	ITPR3	1
GCA_008658365.1	Alca torda	Aves	RYR	found_annotated	CM018078.1	42099162	1.0	0.9847	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2	RYR2	1
GCA_008658365.1	Alca torda	Aves	RYR	found_annotated	CM018080.1	32535056	1.0	0.6768	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR3	RYR3	1
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR1	found_annotated	CM020037.1	21025145	1.0	0.9888	1.0	0.3325	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1	ITPR1	1
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR2	found_annotated	CM020053.1	12089772	1.0	0.9767	1.0	0.3107	primary	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2	ITPR2	1
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR3	found_annotated	CM020055.1	2991828	1.0	0.9865	1.0	0.3893	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3	ITPR3	1
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	found_annotated	CM020031.1	30080173	0.993	0.9795	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2	RYR2	1
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	found_annotated	CM020042.1	5133878	1.0	0.6738	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR3	RYR3	1
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR1	found_annotated	CM020224.1	2238597	1.0	0.9928	1.0	0.334	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1	ITPR1	1
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR2	found_annotated	CM020215.1	76787452	1.0	0.9865	1.0	0.3227	primary	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2	ITPR2	1
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR3	found_annotated	CM020239.1	4308884	1.0	0.9899	1.0	0.3919	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3	ITPR3	1
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	found_annotated	CM020217.1	43176402	1.0	0.9851	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2	RYR2	1
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	found_annotated	CM020219.1	36415959	1.0	0.6771	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR3	RYR3	1
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR1	found_annotated	CM021215.1	37515229	1.0	0.9815	1.0	0.3218	primary	Q14643|ITPR1|Homo_sapiens|ITPR1	G4228_016139		0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR2	found_annotated	CM021213.1	22769371	1.0	0.9785	1.0	0.3152	primary	Q14571|ITPR2|Homo_sapiens|ITPR2	G4228_014783		0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR3	found_annotated	CM021198.1	7228230	1.0	0.9715	1.0	0.3865	primary	Q14573|ITPR3|Homo_sapiens|ITPR3	G4228_004757		0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	found_annotated	CM021206.1	2723846	1.0	0.9793	1.0	1.0	primary	Q92736|RYR2|Homo_sapiens|RYR2	G4228_010619		0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	found_annotated	CM021195.1	45417026	1.0	0.7888	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	G4228_002289		0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	found_annotated	CM021203.1	24710155	1.0	0.6715	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	G4228_008671		0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	found_unannotated	JAAKFY010000006.1	25372485	1.0	0.9528	1.0	0.2963	primary	A0A672IUQ7|ITPR1|Salarias_fasciatus			0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	found_unannotated	JAAKFY010000006.1	12061969	1.0	0.847	1.0	0.2301	unresolved:vertebrate_basal	A0A672IUQ7|ITPR1|Salarias_fasciatus	F7725_016552		0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR2	found_unannotated	JAAKFY010000007.1	17781036	1.0	0.8622	1.0	0.2894	primary	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera			0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR3	found_unannotated	JAAKFY010000002.1	32293568	1.0	0.8856	1.0	0.3039	primary	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri			0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	found_annotated	JAAKFY010000008.1	28825736	1.0	0.8696	1.0	1.0	primary	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	F7725_014813		0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	found_annotated	JAAKFY010000013.1	8762014	0.9992	0.7975	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	F7725_020359		0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	found_annotated	JAAKFY010000020.1	12009470	1.0	0.7939	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	found_annotated	JAAKFY010000015.1	14893862	1.0	0.6669	1.0	1.0	primary	Q92736|RYR2|Homo_sapiens|RYR2	F7725_007914		0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	found_annotated	JAAKFY010000019.1	13853216	1.0	0.6456	1.0	1.0	primary	Q92736|RYR2|Homo_sapiens|RYR2			0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	found_annotated	JAAKFY010000011.1	18743167	1.0	0.6069	1.0	1.0	primary	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	F7725_019825		0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR1	found_unannotated	VWPW01023980.1	74623	1.0	0.9867	1.0	0.3377	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR2	found_unannotated	VWPW01014676.1	286425	1.0	0.98	1.0	0.3104	primary	F1P1X4|ITPR2|Gallus_gallus|ITPR2			0
GCA_013389825.1	Crypturellus undulatus	Aves	RYR	found_annotated	VWPW01022533.1	2613	0.9386	0.9768	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2_1	RYR2	1
GCA_013389825.1	Crypturellus undulatus	Aves	RYR	found_annotated	VWPW01021686.1	6388	1.0	0.6769	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013389885.1	Geococcyx californianus	Aves	ITPR1	found_unannotated	VWPV01004098.1	11933	1.0	0.987	1.0	0.3219	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013389885.1	Geococcyx californianus	Aves	RYR	assembly_gap	VWPV01009501.1	2457	0.5779	0.9795	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2_2	RYR2	1
GCA_013389885.1	Geococcyx californianus	Aves	RYR	assembly_gap	VWPV01031520.1	759	0.5634	0.6928	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013389885.1	Geococcyx californianus	Aves	RYR	assembly_gap	VWPV01000077.1	38012	0.3549	0.9807	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR3	found_annotated	WEIS01036230.1	1967	1.0	0.9476	1.0	0.3324	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	TODMEX_R03131		0
GCA_013389965.1	Todus mexicanus	Aves	RYR	found_unannotated	WEIS01025216.1	1	0.8074	0.6968	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR1	found_unannotated	WEIT01025007.1	6149	1.0	0.9853	1.0	0.3198	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR2	found_unannotated	WEIT01016686.1	1	0.763	0.9456	1.0	1.0	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR3	found_annotated	WEIT01027115.1	18120	1.0	0.9925	1.0	0.3491	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	DRYGAM_R08247		0
GCA_013389985.1	Dryoscopus gambensis	Aves	RYR	assembly_gap	WEIT01008220.1	2604	0.1707	0.7488	1.0	1.0	primary	A0A3Q0HBW9|RYR|Alligator_sinensis			0
GCA_013389985.1	Dryoscopus gambensis	Aves	RYR	assembly_gap	WEIT01027086.1	2446	0.1035	0.9443	1.0	1.0	primary	A0A3Q0HBW9|RYR|Alligator_sinensis			0
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR1	found_unannotated	WEIW01000372.1	584206	1.0	0.9661	1.0	0.3292	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR2	found_unannotated	WEIW01000437.1	216914	1.0	0.9554	1.0	0.3112	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR3	found_annotated	WEIW01003401.1	12699	0.9337	0.9224	1.0	1.0	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	CHLHAR_R12659		0
GCA_013390065.1	Chloropsis hardwickii	Aves	RYR	found_annotated	WEIW01000007.1	603461	1.0	0.9679	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	CHLHAR_R11689		0
GCA_013390065.1	Chloropsis hardwickii	Aves	RYR	found_annotated	WEIW01000336.1	3014	1.0	0.6669	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR3	found_annotated	WAAG01017736.1	29323	1.0	0.9899	1.0	0.346	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Itpr3	ITPR3	1
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR1	found_unannotated	VWPS01000057.1	1454359	1.0	0.9863	1.0	0.3305	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR2	found_unannotated	VWPS01000128.1	596224	1.0	0.9719	1.0	0.3134	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR3	found_annotated	VWPS01000164.1	595136	1.0	0.9931	1.0	0.395	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	MENNOV_R13731		0
GCA_013396355.1	Menura novaehollandiae	Aves	RYR	found_annotated	VWPS01000054.1	947597	0.9974	0.9788	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2	RYR2	1
GCA_013396355.1	Menura novaehollandiae	Aves	RYR	found_annotated	VWPS01000022.1	4514479	1.0	0.6757	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013396465.1	Smithornis capensis	Aves	ITPR1	found_unannotated	VWYW01000920.1	2801	0.9712	0.9856	1.0	0.3366	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013396465.1	Smithornis capensis	Aves	ITPR2	found_unannotated	VWYW01000229.1	449541	1.0	0.9848	1.0	0.3074	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013396465.1	Smithornis capensis	Aves	ITPR3	found_annotated	VWYW01001199.1	8	0.8573	0.84	1.0	1.0	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Itpr3	ITPR3	1
GCA_013396465.1	Smithornis capensis	Aves	RYR	found_annotated	VWYW01000101.1	1644478	1.0	0.9783	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2	RYR2	1
GCA_013396465.1	Smithornis capensis	Aves	RYR	found_annotated	VWYW01000072.1	911143	1.0	0.6559	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR1	found_unannotated	VWYY01001129.1	8355	0.8395	0.9655	1.0	0.3808	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR2	found_unannotated	VWYY01000731.1	1727	0.9885	0.9798	1.0	0.3095	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR3	assembly_gap	VWYY01003676.1	3	0.5311	0.8709	1.0	1.0	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus			0
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	RYR	found_annotated	VWYY01000123.1	510360	1.0	0.9777	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2	RYR2	1
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	RYR	found_annotated	VWYY01000118.1	1297525	1.0	0.6753	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR1	found_annotated	VWZE01010273.1	79466	0.9971	0.982	1.0	0.3202	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	Itpr1	ITPR1	1
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR2	assembly_gap	VWZE01018369.1	1271	0.6381	0.9565	1.0	1.0	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR3	found_annotated	VWZE01023714.1	96269	1.0	0.9738	1.0	0.3311	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Itpr3	ITPR3	1
GCA_013396675.1	Eubucco bourcierii	Aves	RYR	found_annotated	VWZE01005099.1	1658	0.7363	0.9795	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2_0	RYR2	1
GCA_013396675.1	Eubucco bourcierii	Aves	RYR	found_annotated	VWZE01015450.1	306854	1.0	0.6826	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
