accession	organism	vclass	cell	cell_status	region_kind	contig	start	end	n_hsps	aligned_aa	best_evalue	best_pident	assigned_clade	attribution_rel_margin	family_call	family_rel_margin	clade_bits	overlapping_genes	annot_paralog	annot_agrees
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	attributed_elsewhere	KZ507134.1	4386	13627	12	745	2.64e-17	47.475	ITPR2	0.367	ITPR	0.938	ITPR2=579.4;ITPR1=367.0;vertebrate_basal=327.3;ITPR3=293.4;RYR=36.2	llap_12228		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	rescue_regions	KZ512119.1	14405	20761	18	1154	1.18e-49	98.413	ITPR2	0.289	ITPR	0.951	ITPR2=724.6;ITPR1=515.1;vertebrate_basal=502.2;ITPR3=491.9;RYR=35.8	llap_17801		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	rescue_regions	KZ507134.1	513	58811	39	2228	1.88e-40	95.349	ITPR2	0.278	ITPR	0.911	ITPR2=1475.9;ITPR1=1065.2;vertebrate_basal=1031.1;ITPR3=959.1;RYR=131.7	llap_12228		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	rescue_regions	KZ511543.1	912	23833	18	941	4.13e-33	82.022	ITPR2	0.268	ITPR	1.0	ITPR2=614.3;ITPR1=449.6;vertebrate_basal=440.7;ITPR3=415.8	llap_17424		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	rescue_regions	KZ509793.1	34401	36348	9	439	7.52e-24	94.915	ITPR2	0.264	ITPR	1.0	ITPR2=306.5;vertebrate_basal=230.2;ITPR3=225.6;ITPR1=220.3	llap_15980		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	rescue_regions	KZ507134.1	81090	82573	6	264	1.02e-21	94.643	ITPR2	0.306	ITPR	1.0	ITPR2=174.1;vertebrate_basal=121.7;ITPR1=120.9;ITPR3=93.2	llap_12228		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	ambiguous_regions	KZ537444.1	658	918	3	261	8.23e-49	97.701	ITPR2	0.154	ITPR	1.0	ITPR2=182.0;ITPR1=154.0;vertebrate_basal=154.0;ITPR3=131.0			0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	ambiguous_regions	KZ509793.1	357	12302	19	816	9.75e-25	100.0	ITPR2	0.132	ITPR	1.0	ITPR2=589.8;vertebrate_basal=522.3;ITPR1=512.1;ITPR3=508.7	llap_15980		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	attributed_elsewhere	KZ512296.1	4813	14435	21	1277	3.24e-37	85.882	ITPR1	0.312	ITPR	1.0	ITPR1=1041.3;vertebrate_basal=906.7;ITPR2=716.2;ITPR3=657.7	llap_17923		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	attributed_elsewhere	KZ517889.1	83	1012	6	396	1.2e-35	83.146	ITPR1	0.114	ITPR	1.0	ITPR1=277.8;vertebrate_basal=277.2;ITPR2=246.0;ITPR3=217.4	llap_20526		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	attributed_elsewhere	KZ520196.1	406	4199	6	336	3.67e-26	73.684	ITPR1	0.117	ITPR	0.872	ITPR1=279.5;vertebrate_basal=249.1;ITPR3=246.8;ITPR2=241.8;RYR=35.8	llap_21163		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	attributed_elsewhere	KZ509414.1	25756	33382	15	835	3.51e-21	87.273	ITPR1	0.342	ITPR	0.871	ITPR1=710.8;vertebrate_basal=664.1;ITPR2=467.9;ITPR3=460.3;RYR=91.7	llap_15584		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	attributed_elsewhere	KZ520963.1	4562	4711	3	150	2.32e-18	90.0	ITPR1	0.152	ITPR	1.0	ITPR1=178.9;vertebrate_basal=175.4;ITPR2=151.7;ITPR3=143.2			0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	rescue_regions	VWPW01071736.1	175	722	6	474	6.51e-79	100.0	ITPR3	0.339	ITPR	1.0	ITPR3=322.0;ITPR2=212.7;ITPR1=206.5;vertebrate_basal=196.7			0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	rescue_regions	VWPW01017074.1	127	570	3	445	1.03e-70	76.351	ITPR3	0.533	ITPR	0.858	ITPR3=244.0;ITPR1=114.0;vertebrate_basal=111.7;ITPR2=110.0;RYR=34.7			0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	rescue_regions	VWPW01077101.1	23	677	6	542	3.08e-63	76.429	ITPR3	0.55	ITPR	1.0	ITPR3=339.9;vertebrate_basal=155.4;ITPR1=152.8;ITPR2=148.3			0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	rescue_regions	VWPW01072113.1	237	716	3	471	1.68e-53	66.875	ITPR3	0.665	ITPR	1.0	ITPR3=234.7;ITPR2=78.6;ITPR1=71.6;vertebrate_basal=63.9			0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	rescue_regions	VWPW01084567.1	323	3834	19	1191	1.88e-52	80.263	ITPR3	0.302	ITPR	0.833	ITPR3=728.7;ITPR1=508.3;vertebrate_basal=507.5;ITPR2=504.9;RYR=121.7	Itpr3	ITPR3	1
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	rescue_regions	VWPW01082139.1	113	1355	12	722	2.19e-45	97.701	ITPR3	0.278	ITPR	1.0	ITPR3=458.8;ITPR2=331.4;vertebrate_basal=329.5;ITPR1=325.3			0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	rescue_regions	VWPW01081707.1	85	1588	9	788	1.11e-36	97.143	ITPR3	0.374	ITPR	1.0	ITPR3=461.1;ITPR2=288.7;vertebrate_basal=285.2;ITPR1=283.1			0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	rescue_regions	VWPW01083502.1	31	2410	10	488	1.25e-31	100.0	ITPR3	0.488	ITPR	1.0	ITPR3=412.2;ITPR2=210.9;vertebrate_basal=205.8;ITPR1=202.9			0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	ambiguous_regions	VWPW01084284.1	1763	3512	18	739	2.56e-43	96.61	ITPR3	0.133	ITPR	1.0	ITPR3=527.5;ITPR2=457.1;vertebrate_basal=451.0;ITPR1=435.6			0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	ambiguous_regions	VWPW01077493.1	7	833	6	645	3.91e-35	54.0	ITPR3	0.045	ITPR	1.0	ITPR3=241.5;ITPR2=230.7;ITPR1=211.1;vertebrate_basal=208.8			0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	ambiguous_regions	VWPW01035065.1	2	193	3	190	1.64e-32	87.5	ITPR3	0.104	ITPR	1.0	ITPR3=125.0;vertebrate_basal=113.0;ITPR1=112.0;ITPR2=107.0			0
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	ambiguous_regions	VWPW01073934.1	217	737	6	390	2.67e-29	77.333	ITPR3	0.152	ITPR	1.0	ITPR3=231.0;ITPR2=195.9;vertebrate_basal=177.5;ITPR1=174.5			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	rescue_regions	WEIS01114839.1	570	1002	6	331	2.13e-52	91.379	ITPR1	0.391	ITPR	1.0	ITPR1=278.1;vertebrate_basal=252.2;ITPR2=169.3;ITPR3=156.3			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	rescue_regions	WEIS01044297.1	1091	11058	24	1408	2.84e-43	98.837	ITPR1	0.235	ITPR	1.0	ITPR1=916.1;vertebrate_basal=891.6;ITPR2=700.6;ITPR3=609.8			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	rescue_regions	WEIS01090406.1	4180	20101	12	688	6.39e-38	92.941	ITPR1	0.478	ITPR	1.0	ITPR1=571.2;vertebrate_basal=466.7;ITPR2=298.1;ITPR3=251.2			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	rescue_regions	WEIS01314767.1	209	1833	6	363	1.21e-30	87.5	ITPR1	0.363	ITPR	1.0	ITPR1=223.8;vertebrate_basal=181.7;ITPR2=142.5;ITPR3=130.9			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	rescue_regions	WEIS01319799.1	17	3411	12	754	1.53e-29	94.03	ITPR1	0.465	ITPR	1.0	ITPR1=436.7;vertebrate_basal=335.1;ITPR2=233.7;ITPR3=205.3			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	rescue_regions	WEIS01303555.1	480	689	3	210	9.45e-29	90.0	ITPR1	0.627	ITPR	1.0	ITPR1=127.0;vertebrate_basal=115.0;ITPR2=47.4;ITPR3=46.6			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	rescue_regions	WEIS01317989.1	1138	2297	6	464	2.13e-26	86.567	ITPR1	0.259	ITPR	0.626	ITPR1=244.0;vertebrate_basal=243.0;ITPR2=180.9;ITPR3=167.9;RYR=91.3			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	ambiguous_regions	WEIS01107487.1	1149	1421	3	273	3.44e-45	94.505	ITPR1	0.11	ITPR	1.0	ITPR1=182.0;vertebrate_basal=172.0;ITPR2=162.0;ITPR3=146.0			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	ambiguous_regions	WEIS01302251.1	188	531	6	252	4.61e-35	100.0	ITPR1	0.125	ITPR	0.821	ITPR1=174.6;vertebrate_basal=167.8;ITPR2=152.8;ITPR3=145.2;RYR=31.2			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	ambiguous_regions	WEIS01301934.1	400	621	3	222	1.4e-32	83.784	ITPR1	0.13	ITPR	1.0	ITPR1=138.0;vertebrate_basal=134.0;ITPR2=120.0;ITPR3=105.0			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	ambiguous_regions	WEIS01212629.1	39	215	3	177	3.59e-31	98.305	ITPR1	0.074	ITPR	1.0	ITPR1=122.0;vertebrate_basal=120.0;ITPR3=113.0;ITPR2=105.0			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	ambiguous_regions	WEIS01309985.1	1584	1751	3	168	1.8e-26	94.643	ITPR1	0.188	ITPR	1.0	ITPR1=121.0;vertebrate_basal=109.0;ITPR2=98.2;ITPR3=94.7			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	rescue_regions	WEIS01072460.1	712	12495	15	888	2.05e-26	98.214	ITPR2	0.293	ITPR	1.0	ITPR2=503.0;vertebrate_basal=356.6;ITPR1=355.4;ITPR3=353.1			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	rescue_regions	WEIS01044122.1	9142	10635	6	281	1.56e-22	96.429	ITPR2	0.306	ITPR	1.0	ITPR2=180.3;vertebrate_basal=126.3;ITPR1=125.2;ITPR3=94.0	Itpr2	ITPR2	1
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	ambiguous_regions	WEIS01188287.1	3	191	3	189	6.23e-35	98.413	ITPR2	0.195	ITPR	1.0	ITPR2=133.0;vertebrate_basal=108.0;ITPR1=107.0;ITPR3=91.3			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	ambiguous_regions	WEIS01302558.1	885	1094	3	205	6.18e-32	96.923	ITPR2	0.153	ITPR	1.0	ITPR2=137.0;vertebrate_basal=117.0;ITPR1=116.0;ITPR3=107.0			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	WEIS01107487.1	1149	1403	3	255	4.33e-38	85.882	ITPR1	0.11	ITPR	1.0	ITPR1=182.0;vertebrate_basal=172.0;ITPR2=162.0;ITPR3=146.0			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	WEIS01044297.1	2094	11058	21	1255	1.33e-35	86.047	ITPR1	0.235	ITPR	1.0	ITPR1=916.1;vertebrate_basal=891.6;ITPR2=700.6;ITPR3=609.8			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	WEIS01114839.1	570	1008	6	360	3.92e-32	60.345	ITPR1	0.391	ITPR	1.0	ITPR1=278.1;vertebrate_basal=252.2;ITPR2=169.3;ITPR3=156.3			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	WEIS01302251.1	188	504	6	234	2.94e-28	75.0	ITPR1	0.125	ITPR	0.821	ITPR1=174.6;vertebrate_basal=167.8;ITPR2=152.8;ITPR3=145.2;RYR=31.2			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	WEIS01301934.1	391	630	3	224	9.5e-27	67.532	ITPR1	0.13	ITPR	1.0	ITPR1=138.0;vertebrate_basal=134.0;ITPR2=120.0;ITPR3=105.0			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	WEIS01212629.1	39	215	3	177	2.39e-25	83.051	ITPR1	0.074	ITPR	1.0	ITPR1=122.0;vertebrate_basal=120.0;ITPR3=113.0;ITPR2=105.0			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	WEIS01317989.1	1138	2294	6	369	1.32e-22	77.612	ITPR1	0.259	ITPR	0.626	ITPR1=244.0;vertebrate_basal=243.0;ITPR2=180.9;ITPR3=167.9;RYR=91.3			0
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	WEIS01292184.1	1	168	3	162	1.44e-19	91.071	vertebrate_basal	0.004	ITPR	0.662	vertebrate_basal=99.0;ITPR1=98.6;ITPR2=98.2;ITPR3=86.7;RYR=33.5			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	rescue_regions	WAAG01047562.1	2	14234	39	2126	3.12e-52	100.0	ITPR1	0.313	ITPR	1.0	ITPR1=1467.5;vertebrate_basal=1355.6;ITPR2=1007.6;ITPR3=903.1			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	rescue_regions	WAAG01044659.1	370	5401	9	648	2.27e-38	88.043	ITPR1	0.279	ITPR	0.913	ITPR1=413.0;vertebrate_basal=369.0;ITPR2=297.6;ITPR3=241.4;RYR=35.8			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	rescue_regions	WAAG01025500.1	59	14920	36	1693	2.32e-35	80.303	ITPR1	0.241	ITPR	1.0	ITPR1=1151.8;vertebrate_basal=1047.1;ITPR2=874.7;ITPR3=838.8			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	rescue_regions	WAAG01018021.1	532	32061	35	2173	3.31e-31	83.117	ITPR1	0.345	ITPR	0.93	ITPR1=1342.9;vertebrate_basal=1227.0;ITPR2=879.0;ITPR3=835.3;RYR=93.6	Itpr1	ITPR1	1
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	rescue_regions	WAAG01201795.1	520	2327	9	540	1.75e-29	98.485	ITPR1	0.287	ITPR	1.0	ITPR1=345.4;vertebrate_basal=300.0;ITPR2=246.4;ITPR3=237.2			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	rescue_regions	WAAG01097741.1	1117	20986	14	687	2.61e-27	94.03	ITPR1	0.51	ITPR	1.0	ITPR1=534.2;vertebrate_basal=471.9;ITPR2=261.9;ITPR3=246.2			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	ambiguous_regions	WAAG01085545.1	1	186	3	186	5.49e-32	98.387	ITPR1	0.045	ITPR	1.0	ITPR1=134.0;ITPR2=128.0;vertebrate_basal=127.0;ITPR3=114.0			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	attributed_elsewhere	WAAG01029067.1	294	24308	24	1376	2.97e-35	79.545	ITPR2	0.238	ITPR	1.0	ITPR2=1022.4;ITPR1=778.8;vertebrate_basal=769.7;ITPR3=670.8			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	attributed_elsewhere	WAAG01047510.1	10560	15770	14	730	6.36e-30	79.487	ITPR2	0.209	ITPR	1.0	ITPR2=522.2;vertebrate_basal=412.8;ITPR3=412.8;ITPR1=399.8			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	attributed_elsewhere	WAAG01036817.1	13735	19126	15	942	4.15e-25	95.588	ITPR2	0.313	ITPR	0.941	ITPR2=637.5;ITPR1=437.7;vertebrate_basal=414.0;ITPR3=365.3;RYR=37.4			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	attributed_elsewhere	WAAG01048210.1	20394	40426	22	1359	1.47e-23	75.758	ITPR2	0.239	ITPR	0.869	ITPR2=982.1;vertebrate_basal=751.8;ITPR1=747.6;ITPR3=699.7;RYR=129.0			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	attributed_elsewhere	WAAG01196009.1	483	644	3	162	5.08e-23	83.333	ITPR3	0.107	ITPR	0.577	ITPR3=122.0;ITPR2=109.0;ITPR1=107.0;vertebrate_basal=107.0;RYR=51.6			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	rescue_regions	WAAG01029067.1	300	25991	27	1491	1.06e-43	95.455	ITPR2	0.238	ITPR	1.0	ITPR2=1022.4;ITPR1=778.8;vertebrate_basal=769.7;ITPR3=670.8			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	rescue_regions	WAAG01036817.1	11964	17099	14	1079	2.21e-40	95.349	ITPR2	0.313	ITPR	0.941	ITPR2=637.5;ITPR1=437.7;vertebrate_basal=414.0;ITPR3=365.3;RYR=37.4			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	rescue_regions	WAAG01166630.1	71	259	3	189	6.12e-36	98.413	ITPR2	0.504	ITPR	1.0	ITPR2=136.0;ITPR1=67.4;vertebrate_basal=60.8;ITPR3=59.7			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	rescue_regions	WAAG01048210.1	489	40429	29	1700	2.1e-29	95.385	ITPR2	0.257	ITPR	0.88	ITPR2=1074.1;ITPR1=797.7;vertebrate_basal=787.6;ITPR3=743.6;RYR=129.0			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	rescue_regions	WAAG01091490.1	261	21014	15	840	1.68e-28	89.706	ITPR2	0.463	ITPR	1.0	ITPR2=591.6;ITPR1=317.7;vertebrate_basal=316.6;ITPR3=302.2			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	ambiguous_regions	WAAG01047510.1	10557	15770	15	775	1.12e-40	94.286	ITPR2	0.209	ITPR	1.0	ITPR2=522.2;vertebrate_basal=412.8;ITPR3=412.8;ITPR1=399.8			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	ambiguous_regions	WAAG01085983.1	395	571	3	177	2.58e-26	98.305	ITPR2	0.131	ITPR	1.0	ITPR2=122.0;ITPR3=106.0;vertebrate_basal=104.0;ITPR1=103.0			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	attributed_elsewhere	WAAG01047562.1	1819	14234	30	1665	1.35e-35	86.047	ITPR1	0.313	ITPR	1.0	ITPR1=1467.5;vertebrate_basal=1355.6;ITPR2=1007.6;ITPR3=903.1			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	attributed_elsewhere	WAAG01085545.1	1	186	3	186	1.23e-29	91.935	ITPR1	0.045	ITPR	1.0	ITPR1=134.0;ITPR2=128.0;vertebrate_basal=127.0;ITPR3=114.0			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	attributed_elsewhere	WAAG01025500.1	59	14920	31	1569	3.34e-28	78.689	ITPR1	0.241	ITPR	1.0	ITPR1=1151.8;vertebrate_basal=1047.1;ITPR2=874.7;ITPR3=838.8			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	attributed_elsewhere	WAAG01044659.1	370	5401	9	612	9.65e-26	97.059	ITPR1	0.279	ITPR	0.913	ITPR1=413.0;vertebrate_basal=369.0;ITPR2=297.6;ITPR3=241.4;RYR=35.8			0
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	attributed_elsewhere	WAAG01018021.1	1599	27650	25	1494	5.57e-25	62.791	ITPR1	0.345	ITPR	0.93	ITPR1=1342.9;vertebrate_basal=1227.0;ITPR2=879.0;ITPR3=835.3;RYR=93.6	Itpr1	ITPR1	1
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	ambiguous_regions	WAAG01027632.1	2	2152	6	429	4.37e-55	99.02	RYR	0.0	RYR	1.0	RYR=299.0			0
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	ambiguous_regions	WAAG01133924.1	1	228	3	228	1.43e-43	98.684	RYR	0.0	RYR	1.0	RYR=158.0			0
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	ambiguous_regions	WAAG01079118.1	551	6005	15	929	6.71e-38	63.889	RYR	0.0	RYR	1.0	RYR=541.1			0
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	ambiguous_regions	WAAG01025074.1	1419	8531	12	642	2e-36	93.243	RYR	0.0	RYR	1.0	RYR=536.2			0
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	ambiguous_regions	WAAG01069244.1	528	785	3	258	3.59e-35	82.558	RYR	0.0	RYR	1.0	RYR=146.0			0
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	ambiguous_regions	WAAG01143580.1	6	242	3	237	2.12e-34	70.886	RYR	0.0	RYR	1.0	RYR=135.0			0
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	ambiguous_regions	WAAG01006301.1	593	2735	9	710	1.01e-31	55.752	RYR	0.0	RYR	1.0	RYR=518.0			0
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	ambiguous_regions	WAAG01062370.1	1	986	6	285	2.48e-29	96.721	RYR	0.0	RYR	1.0	RYR=208.4			0
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	ambiguous_regions	WAAG01167637.1	77	274	3	198	2.92e-29	74.242	RYR	0.0	RYR	1.0	RYR=153.0			0
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	ambiguous_regions	WAAG01046905.1	360	542	3	176	8.11e-29	90.164	RYR	0.0	RYR	1.0	RYR=253.9			0
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	ambiguous_regions	WAAG01144622.1	3	227	3	225	4.77e-28	60.0	RYR	0.0	RYR	1.0	RYR=128.0			0
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	attributed_elsewhere	WAAG01014175.1	181	840	3	660	1.43e-107	75.455	RYR	1.0	RYR	0.926	RYR=431.7;ITPR1=32.0;vertebrate_basal=31.6			0
GCA_013396975.1	Bucco capensis	Aves	ITPR2	tblastn_trace	rescue_regions	VWZO01012999.1	6096	20780	30	2047	7.32e-48	72.993	ITPR2	0.276	ITPR	0.97	ITPR2=1213.1;vertebrate_basal=888.7;ITPR1=877.7;ITPR3=872.1;RYR=35.8	Itpr2_0	ITPR2	1
