accession	assignment	confidence	evidence	reason	itpr_score	ryr_score	score_margin	rel_margin	itpr_evalue	ryr_evalue	best_evalue	itpr_coverage	ryr_coverage	itpr_positions	ryr_positions	target_coverage	length	gene	species	taxon_id	reviewed	protein_name	group
A0A024G845	unassigned	none	module	ryr.hmm matched only 69 profile positions (< 200) — a shared module, not a family assignment	0.0	56.5	56.5	1.0		5.8e-14	5.8e-14	0.0	0.014	0	69	0.879	149	BN9_032710	Albugo candida	65357	0	Calmodulin	protista_other
A0A024G851	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	60.2	60.2	1.0		4.3e-15	4.3e-15	0.0	0.015	0	74	0.886	149	BN9_032760	Albugo candida	65357	0	Calmodulin	protista_other
A0A024GC57	unassigned	none	module	ryr.hmm matched only 133 profile positions (< 200) — a shared module, not a family assignment	0.0	104.8	104.8	1.0		1.6e-28	1.6e-28	0.0	0.027	0	133	0.042	4652	BN9_052270	Albugo candida	65357	0	B30.2/SPRY domain-containing protein	protista_other
A0A024GCD3	RYR	medium	partial	ryr.hmm wins by 184.0 bits (100.0% of 184.0) over 232 profile positions; no itpr.hmm hit	0.0	184.0	184.0	1.0		2.3e-52	2.3e-52	0.0	0.047	0	232	0.192	1232	BN9_052090	Albugo candida	65357	0	Ryanodine receptor Ryr domain-containing protein	protista_other
A0A024GNR6	unassigned	none	module	ryr.hmm matched only 84 profile positions (< 200) — a shared module, not a family assignment	0.0	33.1	33.1	1.0		6.5e-07	6.5e-07	0.0	0.017	0	84	0.11	770	BN9_092520	Albugo candida	65357	0	Protein kinase domain-containing protein	protista_other
A0A024GRG2	unassigned	none	module	ryr.hmm matched only 104 profile positions (< 200) — a shared module, not a family assignment	0.0	175.4	175.4	1.0		8.5e-50	8.5e-50	0.0	0.021	0	104	0.144	1376	BN9_106320	Albugo candida	65357	0	Polycystin cation channel PKD1/PKD2 domain-containing protein	protista_other
A0A024GRY4	unassigned	none	module	ryr.hmm matched only 104 profile positions (< 200) — a shared module, not a family assignment	0.0	175.5	175.5	1.0		8.5e-50	8.5e-50	0.0	0.021	0	104	0.144	1375	BN9_106330	Albugo candida	65357	0	Polycystin cation channel PKD1/PKD2 domain-containing protein	protista_other
A0A058ZAT2	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	53.5	53.5	1.0		4.7e-13	4.7e-13	0.0	0.015	0	74	0.872	149	H696_01995	Fonticula alba	691883	0	Calmodulin	protista_other
A0A058ZDJ2	ITPR	high	architecture	itpr.hmm wins by 1886.3 bits (83.0% of 2273.6) over 2421 profile positions	2273.6	387.3	1886.3	0.8297	0	1.3e-113	0	0.902	0.182	2421	897	0.878	3443	H696_01395	Fonticula alba	691883	0	MIR domain-containing protein	protista_other
A0A060RMY7	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	30.2	30.2	1.0		4.9e-06	4.9e-06	0.0	0.012	0	59	0.685	168	CEN1	Plasmodium reichenowi	5854	0	Centrin-1	protista_other
A0A060RZV6	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	58.6	58.6	1.0		1.3e-14	1.3e-14	0.0	0.013	0	64	0.846	149	CAM	Plasmodium reichenowi	5854	0	Calmodulin	protista_other
A0A060S388	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	41.6	41.6	1.0		1.8e-09	1.8e-09	0.0	0.013	0	64	0.224	568	CDPK5	Plasmodium reichenowi	5854	0	non-specific serine/threonine protein kinase	protista_other
A0A061D9K9	unassigned	none	module	ryr.hmm matched only 84 profile positions (< 200) — a shared module, not a family assignment	0.0	40.4	40.4	1.0		4.2e-09	4.2e-09	0.0	0.017	0	84	0.116	709	BBBOND_0311260	Babesia bigemina	5866	0	ATP-dependent RNA helicase	protista_other
A0A061DEQ7	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	48.8	48.8	1.0		1.2e-11	1.2e-11	0.0	0.011	0	54	0.758	149	BBBOND_0401920	Babesia bigemina	5866	0	Calmodulin	protista_other
A0A061IS45	unassigned	none	module	ryr.hmm matched only 148 profile positions (< 200) — a shared module, not a family assignment	0.0	107.8	107.8	1.0		2.1e-29	2.1e-29	0.0	0.03	0	148	0.102	3660	TRSC58_06815	Trypanosoma rangeli SC58	429131	0	Ubiquitin-protein ligase	protista_other
A0A061IWB1	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	53.6	53.6	1.0		4.3e-13	4.3e-13	0.0	0.012	0	59	0.779	149	TRSC58_00122	Trypanosoma rangeli SC58	429131	0	Calmodulin	protista_other
A0A061IWK5	unassigned	none	module	ryr.hmm matched only 133 profile positions (< 200) — a shared module, not a family assignment	0.0	111.6	111.6	1.0		1.5e-30	1.5e-30	0.0	0.027	0	133	0.063	4416	TRSC58_06941	Trypanosoma rangeli SC58	429131	0	Ubiquitin-protein ligase	protista_other
A0A061IXF3	RYR	medium	partial	ryr.hmm wins by 42.0 bits (100.0% of 42.0) over 794 profile positions; no itpr.hmm hit	0.0	42.0	42.0	1.0		1.3e-09	1.3e-09	0.0	0.161	0	794	0.05	2950	TRSC58_06654	Trypanosoma rangeli SC58	429131	0	B30.2/SPRY domain-containing protein	protista_other
A0A067BHI7	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	0.0	115.2	115.2	1.0		1.2e-31	1.2e-31	0.0	0.022	0	108	0.426	460	SPRG_16899	Saprolegnia parasitica (strain CBS 223.65)	695850	0	CAMKK protein kinase	protista_other
A0A067BLH0	unassigned	none	module	ryr.hmm matched only 99 profile positions (< 200) — a shared module, not a family assignment	0.0	59.1	59.1	1.0		9.8e-15	9.8e-15	0.0	0.02	0	99	0.024	4533	SPRG_15526	Saprolegnia parasitica (strain CBS 223.65)	695850	0	CUB domain-containing protein	protista_other
A0A067BMM1	unassigned	none	module	itpr.hmm matched only 118 profile positions (< 200) — a shared module, not a family assignment	105.5	73.1	32.4	0.3071	1.8e-28	5.7e-19	1.8e-28	0.044	0.018	118	89	0.953	129	SPRG_18481	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Uncharacterized protein	protista_other
A0A067BPJ2	ITPR	medium	partial	itpr.hmm wins by 12.9 bits (17.2% of 74.9) over 231 profile positions	74.9	62.0	12.9	0.1722	3e-19	1.3e-15	3e-19	0.086	0.055	231	271	0.435	517	SPRG_17875	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Uncharacterized protein (Fragment)	protista_other
A0A067BQJ0	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	40.4	40.4	1.0		4.1e-09	4.1e-09	0.0	0.013	0	64	0.188	653	SPRG_17906	Saprolegnia parasitica (strain CBS 223.65)	695850	0	EF-hand domain-containing protein (Fragment)	protista_other
A0A067BSJ9	unassigned	none	module	ryr.hmm matched only 69 profile positions (< 200) — a shared module, not a family assignment	0.0	57.8	57.8	1.0		2.3e-14	2.3e-14	0.0	0.014	0	69	0.21	936	SPRG_12473	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Serine/threonine-protein phosphatase	protista_other
A0A067BT19	unassigned	none	module	ryr.hmm matched only 89 profile positions (< 200) — a shared module, not a family assignment	0.0	48.9	48.9	1.0		1.1e-11	1.1e-11	0.0	0.018	0	89	0.267	1028	SPRG_12415	Saprolegnia parasitica (strain CBS 223.65)	695850	0	EF-hand domain-containing protein	protista_other
A0A067BUF1	unassigned	none	module	ryr.hmm matched only 192 profile positions (< 200) — a shared module, not a family assignment	0.0	113.7	113.7	1.0		3.4e-31	3.4e-31	0.0	0.039	0	192	0.232	820	SPRG_13993	Saprolegnia parasitica (strain CBS 223.65)	695850	0	CAMKK protein kinase	protista_other
A0A067BWW5	unassigned	none	module	ryr.hmm matched only 182 profile positions (< 200) — a shared module, not a family assignment	0.0	76.2	76.2	1.0		6.7e-20	6.7e-20	0.0	0.037	0	182	0.095	3963	SPRG_21096	Saprolegnia parasitica (strain CBS 223.65)	695850	0	HECT-type E3 ubiquitin transferase	protista_other
A0A067BXB7	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	61.9	61.9	1.0		1.3e-15	1.3e-15	0.0	0.013	0	64	0.21	903	SPRG_12469	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Serine/threonine-protein phosphatase	protista_other
A0A067BYD1	unassigned	none	module	ryr.hmm matched only 89 profile positions (< 200) — a shared module, not a family assignment	0.0	34.5	34.5	1.0		2.5e-07	2.5e-07	0.0	0.018	0	89	0.022	4153	SPRG_15523	Saprolegnia parasitica (strain CBS 223.65)	695850	0	HECT domain-containing protein	protista_other
A0A067C0E6	unassigned	none	module	ryr.hmm matched only 123 profile positions (< 200) — a shared module, not a family assignment	0.0	76.7	76.7	1.0		4.8e-20	4.8e-20	0.0	0.025	0	123	0.038	3412	SPRG_14189	Saprolegnia parasitica (strain CBS 223.65)	695850	0	B30.2/SPRY domain-containing protein	protista_other
A0A067C0I0	ITPR	high	architecture	itpr.hmm wins by 626.4 bits (71.3% of 878.4) over 2289 profile positions	878.4	252.0	626.4	0.7131	2e-261	7.2e-73	2e-261	0.853	0.201	2289	991	0.899	2700	SPRG_22304	Saprolegnia parasitica (strain CBS 223.65)	695850	0	MIR domain-containing protein	protista_other
A0A067C0Y4	unassigned	none	module	itpr.hmm matched only 118 profile positions (< 200) — a shared module, not a family assignment	56.7	0.0	56.7	1.0	9.3e-14		9.3e-14	0.044	0.0	118	0	0.854	144	SPRG_14005	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	protista_other
A0A067C135	unassigned	none	module	ryr.hmm matched only 123 profile positions (< 200) — a shared module, not a family assignment	0.0	93.3	93.3	1.0		4.6e-25	4.6e-25	0.0	0.025	0	123	0.216	610	SPRG_10632	Saprolegnia parasitica (strain CBS 223.65)	695850	0	C3H1-type domain-containing protein	protista_other
A0A067C1N9	ITPR	high	architecture	itpr.hmm wins by 602.7 bits (69.8% of 863.4) over 1567 profile positions	863.4	260.7	602.7	0.6981	6.2e-257	1.8e-75	6.2e-257	0.584	0.127	1567	626	0.734	2168	SPRG_14004	Saprolegnia parasitica (strain CBS 223.65)	695850	0	RyR/IP3R Homology associated domain-containing protein	protista_other
A0A067C373	unassigned	none	module	best profile score 29.1 < 30 bits	0.0	29.1	29.1	1.0		1e-05	1e-05	0.0	0.012	0	59	0.111	1102	SPRG_22238	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Uncharacterized protein	protista_other
A0A067C482	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	39.6	39.6	1.0		7.1e-09	7.1e-09	0.0	0.013	0	64	0.133	922	SPRG_13670	Saprolegnia parasitica (strain CBS 223.65)	695850	0	EF-hand domain-containing protein	protista_other
A0A067C5H2	unassigned	none	module	itpr.hmm matched only 132 profile positions (< 200) — a shared module, not a family assignment	43.4	0.0	43.4	1.0	9.5e-10		9.5e-10	0.049	0.0	132	0	0.852	142	SPRG_09784	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	protista_other
A0A067C7T7	ITPR	high	architecture	itpr.hmm wins by 486.9 bits (68.6% of 710.1) over 2112 profile positions	710.1	223.2	486.9	0.6857	1e-210	3.4e-64	1e-210	0.787	0.172	2112	848	0.809	2775	SPRG_12592	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Uncharacterized protein	protista_other
A0A067C9U7	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	38.2	38.2	1.0		1.9e-08	1.9e-08	0.0	0.011	0	54	0.194	577	SPRG_07497	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Calmodulin	protista_other
A0A067CCZ6	unassigned	none	module	ryr.hmm matched only 84 profile positions (< 200) — a shared module, not a family assignment	0.0	74.4	74.4	1.0		2.3e-19	2.3e-19	0.0	0.017	0	84	0.039	3985	SPRG_07766	Saprolegnia parasitica (strain CBS 223.65)	695850	0	B30.2/SPRY domain-containing protein	protista_other
A0A067CH94	ITPR	medium	partial	itpr.hmm wins by 21.7 bits (10.0% of 217.1) over 247 profile positions	217.1	195.4	21.7	0.1	4.1e-62	8.6e-56	4.1e-62	0.092	0.045	247	222	0.655	351	SPRG_04940	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Ion transport domain-containing protein	protista_other
A0A067CJC0	unassigned	none	module	ryr.hmm matched only 128 profile positions (< 200) — a shared module, not a family assignment	0.0	87.8	87.8	1.0		2.2e-23	2.2e-23	0.0	0.026	0	128	0.06	2145	SPRG_22165	Saprolegnia parasitica (strain CBS 223.65)	695850	0	B30.2/SPRY domain-containing protein	protista_other
A0A067CMC4	RYR	medium	partial	ryr.hmm wins by 187.9 bits (100.0% of 187.9) over 227 profile positions; no itpr.hmm hit	0.0	187.9	187.9	1.0		1.5e-53	1.5e-53	0.0	0.046	0	227	0.198	1318	SPRG_03764	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Ryanodine receptor Ryr domain-containing protein	protista_other
A0A067CN86	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	40.1	40.1	1.0		5.1e-09	5.1e-09	0.0	0.011	0	54	0.226	505	SPRG_03200	Saprolegnia parasitica (strain CBS 223.65)	695850	0	CAMK protein kinase	protista_other
A0A067CP00	ITPR	high	architecture	itpr.hmm wins by 663.9 bits (72.8% of 911.6) over 1589 profile positions	911.6	247.7	663.9	0.7283	1.9e-271	1.5e-71	1.9e-271	0.592	0.125	1589	616	0.965	1873	SPRG_03410	Saprolegnia parasitica (strain CBS 223.65)	695850	0	RyR/IP3R Homology associated domain-containing protein	protista_other
A0A067CP85	ITPR	medium	partial	itpr.hmm wins by 134.6 bits (52.1% of 258.3) over 666 profile positions	258.3	123.7	134.6	0.5211	1.6e-74	3.3e-34	1.6e-74	0.248	0.046	666	227	0.752	1062	SPRG_02777	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Ion transport domain-containing protein	protista_other
A0A067CRA1	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	56.5	56.5	1.0		5.8e-14	5.8e-14	0.0	0.013	0	64	0.167	3470	SPRG_06121	Saprolegnia parasitica (strain CBS 223.65)	695850	0	EF-hand domain-containing protein	protista_other
A0A067CRX9	unassigned	none	module	ryr.hmm matched only 128 profile positions (< 200) — a shared module, not a family assignment	0.0	33.4	33.4	1.0		5.2e-07	5.2e-07	0.0	0.026	0	128	0.032	4137	SPRG_19926	Saprolegnia parasitica (strain CBS 223.65)	695850	0	FHA domain-containing protein	protista_other
A0A067CSU7	ITPR	high	architecture	itpr.hmm wins by 308.3 bits (76.6% of 402.7) over 1519 profile positions	402.7	94.4	308.3	0.7656	4.7e-118	2.2e-25	4.7e-118	0.566	0.153	1519	754	0.797	1905	SPRG_04939	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Uncharacterized protein	protista_other
A0A067CTC1	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	57.6	57.6	1.0		2.7e-14	2.7e-14	0.0	0.015	0	74	0.872	149	SPRG_01624	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Calmodulin	protista_other
A0A067CX89	unassigned	none	module	itpr.hmm matched only 161 profile positions (< 200) — a shared module, not a family assignment	52.4	0.0	52.4	1.0	1.9e-12		1.9e-12	0.06	0.0	161	0	0.369	407	SPRG_00158	Saprolegnia parasitica (strain CBS 223.65)	695850	0	RyR/IP3R Homology associated domain-containing protein (Fragment)	protista_other
A0A067CXU1	ITPR	medium	partial	itpr.hmm wins by 39.8 bits (25.6% of 155.8) over 403 profile positions	155.8	116.0	39.8	0.2555	1.3e-43	6.8e-32	1.3e-43	0.15	0.03	403	148	0.988	515	SPRG_00157	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Ion transport domain-containing protein	protista_other
A0A067CZC0	ITPR	medium	partial	itpr.hmm wins by 238.3 bits (61.7% of 386.1) over 1224 profile positions	386.1	147.8	238.3	0.6172	4.7e-113	1.8e-41	4.7e-113	0.456	0.052	1224	256	0.446	2875	SPRG_00668	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Uncharacterized protein	protista_other
A0A067CZJ8	ITPR	medium	partial	itpr.hmm wins by 321.5 bits (78.9% of 407.6) over 875 profile positions	407.6	86.1	321.5	0.7888	1.6e-119	7.1e-23	1.6e-119	0.326	0.065	875	320	0.836	1070	SPRG_03409	Saprolegnia parasitica (strain CBS 223.65)	695850	0	MIR domain-containing protein	protista_other
A0A067D2B6	unassigned	none	module	ryr.hmm matched only 104 profile positions (< 200) — a shared module, not a family assignment	0.0	199.0	199.0	1.0		7e-57	7e-57	0.0	0.021	0	104	0.163	1231	SPRG_00474	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Ryanodine receptor Ryr domain-containing protein	protista_other
A0A067D5R0	unassigned	none	module	ryr.hmm matched only 148 profile positions (< 200) — a shared module, not a family assignment	0.0	46.7	46.7	1.0		5.3e-11	5.3e-11	0.0	0.03	0	148	0.075	2600	SPRG_01315	Saprolegnia parasitica (strain CBS 223.65)	695850	0	HECT-type E3 ubiquitin transferase	protista_other
A0A067D8I3	unassigned	none	module	itpr.hmm matched only 156 profile positions (< 200) — a shared module, not a family assignment	154.7	107.4	47.3	0.3058	2.6e-43	2.7e-29	2.6e-43	0.058	0.029	156	143	0.977	172	SPRG_00161	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Ion transport domain-containing protein	protista_other
A0A077TIG6	unassigned	none	module	best profile score 29.3 < 30 bits	0.0	29.3	29.3	1.0		8.9e-06	8.9e-06	0.0	0.012	0	59	0.685	168	PCHAS_0204700	Plasmodium chabaudi chabaudi	31271	0	non-specific serine/threonine protein kinase	protista_other
A0A077TPS2	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	42.0	42.0	1.0		1.4e-09	1.4e-09	0.0	0.012	0	59	0.211	565	PCHAS_1356100	Plasmodium chabaudi chabaudi	31271	0	non-specific serine/threonine protein kinase	protista_other
A0A077YE73	unassigned	none	module	ryr.hmm matched only 69 profile positions (< 200) — a shared module, not a family assignment	0.0	57.9	57.9	1.0		2.2e-14	2.2e-14	0.0	0.014	0	69	0.872	149	PCHAS_1011500	Plasmodium chabaudi chabaudi	31271	0	Calmodulin	protista_other
A0A077ZVT6	ITPR	high	architecture	itpr.hmm wins by 358.1 bits (60.2% of 594.6) over 2571 profile positions	594.6	236.5	358.1	0.6023	6.7e-176	3.4e-68	6.7e-176	0.958	0.234	2571	1154	0.943	3398	Contig10331.g11023	Stylonychia lemnae	5949	0	Inositol-triphosphate receptor	protista_other
A0A077ZVZ5	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	51.8	51.8	1.0		1.5e-12	1.5e-12	0.0	0.013	0	64	0.104	1690	Contig9887.g10571	Stylonychia lemnae	5949	0	Ef hand family protein	protista_other
A0A077ZWT8	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	31.4	31.4	1.0		2.2e-06	2.2e-06	0.0	0.012	0	59	0.251	466	Contig12341.g13172	Stylonychia lemnae	5949	0	Calcium-dependent protein kinase 1	protista_other
A0A077ZYI0	ITPR	high	architecture	itpr.hmm wins by 221.9 bits (63.6% of 349.1) over 1860 profile positions	349.1	127.2	221.9	0.6356	6.8e-102	3e-35	6.8e-102	0.693	0.148	1860	730	0.75	2799	Contig4758.g5084	Stylonychia lemnae	5949	0	RyR/IP3R Homology associated domain-containing protein	protista_other
A0A078A1F3	unassigned	none	module	ryr.hmm matched only 84 profile positions (< 200) — a shared module, not a family assignment	0.0	33.5	33.5	1.0		5e-07	5e-07	0.0	0.017	0	84	0.342	612	Contig6183.g6611	Stylonychia lemnae	5949	0	Ef hand family protein	protista_other
A0A078A1F6	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	33.5	33.5	1.0		5.1e-07	5.1e-07	0.0	0.012	0	59	0.564	204	Contig6522.g6985	Stylonychia lemnae	5949	0	Centrin	protista_other
A0A078A1U0	ITPR	high	architecture	itpr.hmm wins by 283.1 bits (50.9% of 556.1) over 2013 profile positions	556.1	273.0	283.1	0.5091	2.8e-164	3.5e-79	2.8e-164	0.75	0.152	2013	749	0.738	3530	Contig1440.g1580	Stylonychia lemnae	5949	0	Cation channel family protein	protista_other
A0A078A4T9	ITPR	medium	partial	itpr.hmm wins by 187.1 bits (54.4% of 343.6) over 1135 profile positions	343.6	156.5	187.1	0.5445	3e-100	4.3e-44	3e-100	0.423	0.057	1135	281	0.64	2116	Contig15245.g16249	Stylonychia lemnae	5949	0	Uncharacterized protein	protista_other
A0A078A727	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	30.8	30.8	1.0		3.2e-06	3.2e-06	0.0	0.012	0	59	0.711	166	Contig15244.g16246	Stylonychia lemnae	5949	0	Calciumdependent protein 4	protista_other
A0A078A8I0	ITPR	high	architecture	itpr.hmm wins by 796.4 bits (70.1% of 1135.8) over 2571 profile positions	1135.8	339.4	796.4	0.7012	0	3.5e-99	0	0.958	0.266	2571	1311	0.99	2894	Contig9742.g10423	Stylonychia lemnae	5949	0	Cation channel family protein	protista_other
A0A078AB00	unassigned	none	module	best profile score 29.8 < 30 bits	0.0	29.8	29.8	1.0		6.4e-06	6.4e-06	0.0	0.013	0	64	0.241	497	Contig5799.g6208	Stylonychia lemnae	5949	0	Calcium-dependent protein kinase 1	protista_other
A0A078ADT1	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	32.9	32.9	1.0		7.3e-07	7.3e-07	0.0	0.015	0	74	0.173	769	Contig12614.g630	Stylonychia lemnae	5949	0	Calcium-dependent protein kinase 1	protista_other
A0A078AE98	unassigned	none	module	ryr.hmm matched only 69 profile positions (< 200) — a shared module, not a family assignment	0.0	57.9	57.9	1.0		2.2e-14	2.2e-14	0.0	0.014	0	69	0.872	149	Contig11946.g12780	Stylonychia lemnae	5949	0	Calmodulin	protista_other
