upid	organism	taxid	protein_count	group	genus	genus_n_available	status
UP000008524	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	185431	8588	protista_other			swept
UP000008743	Capsaspora owczarzaki (strain ATCC 30864)	595528	9794	protista_other			swept
UP000008983	Ichthyophthirius multifiliis (White spot disease agent) (Ich)	5932	8049	protista_other			swept
UP000009168	Tetrahymena thermophila (strain SB210)	312017	26975	protista_other			swept
UP000011083	Acanthamoeba castellanii (strain ATCC 30010 / Neff)	1257118	14939	protista_other			swept
UP000011087	Guillardia theta (strain CCMP2712) (Cryptophyte)	905079	24738	protista_other			swept
UP000011713	Hyaloperonospora arabidopsidis (strain Emoy2) (Downy mildew agent) (Peronospora arabidopsidis)	559515	13837	protista_other			swept
UP000012073	Chondrus crispus (Carrageen Irish moss) (Polymorpha crispa)	2769	9598	protista_other			swept
UP000013827	Emiliania huxleyi (strain CCMP1516)	280463	35617	protista_other			swept
UP000014680	Entamoeba invadens IP1	370355	9857	protista_other			swept
UP000015354	Strigomonas culicis	28005	9986	protista_other			swept
UP000018050	Eimeria acervulina (Coccidian parasite)	5801	6867	protista_other			swept
UP000018538	Plasmodium yoelii 17X	1323249	6833	protista_other			swept
UP000018721	Phytophthora nicotianae P1569	1317065	26477	protista_other			swept
UP000019132	Globisporangium ultimum (strain ATCC 200006 / CBS 805.95 / DAOM BR144) (Pythium ultimum)	431595	15153	protista_other			swept
UP000019763	Gregarina niphandrodes (Septate eugregarine)	110365	6341	protista_other			swept
UP000027581	Plasmodium reichenowi	5854	5630	protista_other			swept
UP000030640	Plasmodium inui San Antonio 1	1237626	5828	protista_other			swept
UP000030673	Plasmodium falciparum (isolate NF54)	5843	5920	protista_other			swept
UP000030680	Galdieria sulphuraria (Red alga)	130081	7035	protista_other			swept
UP000030693	Fonticula alba (Slime mold)	691883	6244	protista_other			swept
UP000030744	Eimeria mitis	44415	10057	protista_other			swept
UP000030745	Saprolegnia parasitica (strain CBS 223.65)	695850	20052	protista_other			swept
UP000030747	Eimeria tenella (Coccidian parasite)	5802	8595	protista_other			swept
UP000030750	Eimeria brunetti	51314	8711	protista_other			swept
UP000030754	Eimeria necatrix	51315	8608	protista_other			swept
UP000030762	Saprolegnia diclina (strain VS20)	1156394	18047	protista_other			swept
UP000030763	Eimeria maxima (Coccidian parasite)	5804	6057	protista_other			swept
UP000031512	Theileria equi (strain WA) (Babesia equi)	1537102	5313	protista_other			swept
UP000031513	Plasmodium knowlesi (strain H)	5851	5339	protista_other			swept
UP000031737	Trypanosoma rangeli SC58	429131	7365	protista_other			swept
UP000033188	Babesia bigemina	5866	4432	protista_other			swept
UP000037460	Chrysochromulina tobinii	1460289	16679	protista_other			swept
UP000038009	Leptomonas seymouri	5684	8480	protista_other			swept
UP000039324	Plasmodiophora brassicae (Clubroot disease agent)	37360	9720	protista_other			swept
UP000039865	Stylonychia lemnae (Ciliate)	5949	20720	protista_other			swept
UP000051952	Bodo saltans (Flagellated protozoan)	75058	18124	protista_other			swept
UP000053237	Albugo candida	65357	13200	protista_other			swept
UP000054408	Thecamonas trahens ATCC 50062	461836	10604	protista_other			swept
UP000054560	Sphaeroforma arctica JP610	667725	18649	protista_other			swept
UP000054561	Plasmodium fragile	5857	5638	protista_other			swept
UP000054937	Pseudocohnilembus persalinus (Ciliate)	266149	13175	protista_other			swept
UP000063063	Leishmania panamensis	5679	8354	protista_other			swept
UP000071118	Plasmodium chabaudi chabaudi	31271	5197	protista_other			swept
UP000074855	Plasmodium berghei (strain Anka)	5823	4927	protista_other			swept
UP000076078	Tieghemostelium lacteum (Slime mold) (Dictyostelium lacteum)	361077	10208	protista_other			swept
UP000078348	Blastocystis sp. subtype 1 (strain ATCC 50177 / NandII)	478820	6377	protista_other			swept
UP000092716	Plasmodium coatneyi	208452	5514	protista_other			swept
UP000095192	Cyclospora cayetanensis	88456	7151	protista_other			swept
UP000095751	Fragilariopsis cylindrus CCMP1102	635003	18075	protista_other			swept
UP000179807	Tritrichomonas foetus	1144522	24634	protista_other			swept
UP000186176	Cryptosporidium ubiquitum	857276	3765	protista_other			swept
UP000186804	Cryptosporidium andersoni	117008	3876	protista_other			swept
UP000186817	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	2951	43269	protista_other			swept
UP000187209	Stentor coeruleus	5963	30969	protista_other			swept
UP000192257	Trypanosoma theileri	67003	11236	protista_other			swept
UP000195521	Plasmodium gonderi	77519	5915	protista_other			swept
UP000195570	Trypanosoma equiperdum	5694	7660	protista_other			swept
UP000198406	Fistulifera solaris (Oleaginous diatom)	1519565	20319	protista_other			swept
UP000218209	Porphyra umbilicalis (Purple laver) (Red alga)	2786	13469	protista_other			swept
UP000219813	Plasmodium malariae	5858	5915	protista_other			swept
UP000220158	Plasmodium relictum	85471	5136	protista_other			swept
UP000220797	Plasmodium gallinaceum	5849	5276	protista_other			swept
UP000221165	Cystoisospora suis	483139	11541	protista_other			swept
UP000236319	Babesia ovata	189622	5006	protista_other			swept
UP000236928	Cryptosporidium meleagridis	93969	3753	protista_other			swept
UP000241769	Planoprotostelium fungivorum	1890364	16856	protista_other			swept
UP000241890	Hondaea fermentalgiana	2315210	11849	protista_other			swept
UP000242942	Plasmodium ovale (malaria parasite P. ovale)	36330	6625	protista_other			swept
UP000243217	Thraustotheca clavata	74557	13171	protista_other			swept
UP000243579	Achlya hypogyna (Oomycete) (Protoachlya hypogyna)	1202772	14400	protista_other			swept
UP000247409	Gracilariopsis chorda	448386	10593	protista_other			swept
UP000251314	Phytophthora cactorum	29920	23398	protista_other			swept
UP000274082	Leishmania donovani	5661	8326	protista_other			swept
UP000282087	Peronospora effusa	542832	8522	protista_other			swept
UP000283634	Trypanosoma rangeli	5698	10070	protista_other			swept
UP000284403	Trypanosoma conorhini	83891	10134	protista_other			swept
UP000284702	Aphanomyces astaci (Crayfish plague agent)	112090	14008	protista_other			swept
UP000285060	Aphanomyces invadans	157072	10860	protista_other			swept
UP000285624	Phytophthora kernoviae	325452	9833	protista_other			swept
UP000291116	Pseudo-nitzschia multistriata	183589	11907	protista_other			swept
UP000294530	Bremia lactucae (Lettuce downy mildew)	4779	9236	protista_other			swept
UP000323011	Cafeteria roenbergensis (Marine flagellate)	33653	8530	protista_other			swept
UP000324585	Porphyridium purpureum (Red alga) (Porphyridium cruentum)	35688	9673	protista_other			swept
UP000332933	Aphanomyces stellatus	120398	20738	protista_other			swept
UP000355283	Nannochloropsis salina CCMP1776	1027361	8911	protista_other			swept
UP000419144	Leishmania tarentolae (Sauroleishmania tarentolae)	5689	8388	protista_other			swept
UP000433483	Phytophthora fragariae	53985	34421	protista_other			swept
UP000434957	Phytophthora rubi	129364	35379	protista_other			swept
UP000444721	Naegleria fowleri (Brain eating amoeba)	5763	13596	protista_other			swept
UP000481153	Aphanomyces euteiches	100861	20021	protista_other			swept
UP000503178	Paulinella micropora	1928728	897	protista_other			swept
UP000515125	Cyclospora cayetanensis	88456	5793	protista_other			swept
UP000515268	Plasmodium vinckei petteri	138298	5276	protista_other			swept
UP000515908	Angomonas deanei	59799	10115	protista_other			swept
UP000530660	Cyanidiococcus yangmingshanensis	2690220	5172	protista_other			swept
UP000553632	Perkinsus olseni (Perkinsus atlanticus)	32597	33890	protista_other			swept
UP000557509	Toxoplasma gondii	5811	8261	protista_other			swept
UP000591131	Perkinsus chesapeaki (Clam parasite) (Perkinsus andrewsi)	330153	10985	protista_other			swept
UP000601435	Symbiodinium necroappetens	1628268	35659	protista_other			swept
UP000602510	Phytophthora infestans (Potato late blight agent) (Botrytis infestans)	4787	19701	protista_other			swept
UP000604046	Symbiodinium natans	878477	34950	protista_other			swept
UP000649617	Symbiodinium pilosum (Dinoflagellate)	2952	23427	protista_other			swept
UP000654075	Polarella glacialis (Dinoflagellate)	89957	55419	protista_other			swept
UP000664859	Tribonema minus	303371	18071	protista_other			swept
UP000673552	Leishmania martiniquensis	1580590	7805	protista_other			swept
UP000674143	Leishmania orientalis	2249476	8051	protista_other			swept
UP000674318	Porcisia hertigi	2761500	7688	protista_other			swept
UP000683925	Paramecium octaurelia	43137	41748	protista_other			swept
UP000688137	Paramecium primaurelia	5886	37792	protista_other			swept
UP000689195	Paramecium pentaurelia	43138	40886	protista_other			swept
UP000692954	Paramecium sonneborni	65129	48764	protista_other			swept
UP000693981	Phytophthora boehmeriae	109152	11927	protista_other			swept
UP000694044	Phytophthora pseudosyringae	221518	15363	protista_other			swept
UP000695562	Polysphondylium violaceum	133409	10615	protista_other			swept
UP000709295	Phytophthora aleatoria	2496075	17716	protista_other			swept
UP000717585	Carpediemonas membranifera	201153	8117	protista_other			swept
UP000751190	Diacronema lutheri (Unicellular marine alga) (Monochrysis lutheri)	2081491	14328	protista_other			swept
UP000789595	Pelagomonas calceolata	35677	16441	protista_other			swept
UP000794436	Pythium oligandrum (Mycoparasitic fungus)	41045	14742	protista_other			swept
UP000798662	Pyropia yezoensis (Susabi-nori) (Porphyra yezoensis)	2788	13100	protista_other			swept
UP000799049	Andalucia godoyi (Flagellate)	505711	1023	protista_other			swept
UP000816034	Naegleria lovaniensis (Amoeba)	51637	14471	protista_other			swept
UP000823046	Cardiosporidium cionae	476202	4565	protista_other			swept
UP000831156	Plasmodium gaboni	647221	5123	protista_other			swept
UP001054902	Chaetoceros tenuissimus	426638	18458	protista_other			swept
UP001056978	Plasmodium brasilianum	5824	5500	protista_other			swept
UP001057455	Babesia ovis	5869	3403	protista_other			swept
UP001061958	Galdieria partita	83374	7492	protista_other			swept
UP001071777	Cryptosporidium canis	195482	3762	protista_other			swept
UP001141327	Paratrimastix pyriformis	342808	10665	protista_other			swept
UP001146120	Lagenidium giganteum	4803	12988	protista_other			swept
UP001149090	Anaeramoeba ignava (Anaerobic marine amoeba)	1746090	14682	protista_other			swept
UP001150062	Anaeramoeba flamelloides	1746091	28726	protista_other			swept
UP001153069	Seminavis robusta	568900	35858	protista_other			swept
UP001157938	Peronospora farinosa	134698	9853	protista_other			swept
UP001157974	Rhodosorus marinus	101924	8528	protista_other			swept
UP001158986	Peronospora belbahrii	622444	9519	protista_other			swept
UP001162029	Peronospora destructor	86335	13224	protista_other			swept
UP001162031	Hyaloperonospora brassicae (Brassica downy mildew) (Peronospora brassicae)	162125	9794	protista_other			swept
UP001162131	Blepharisma stoltei	1481888	26456	protista_other			swept
UP001165060	Tetraparma gracilis	2962635	15982	protista_other			swept
UP001165065	Triparma columacea	722753	14417	protista_other			swept
UP001165082	Triparma retinervis	2557542	13692	protista_other			swept
UP001165085	Triparma strigata	1606541	15251	protista_other			swept
UP001165122	Triparma laevis f. longispina	1714387	17307	protista_other			swept
UP001165160	Triparma verrucosa	1606542	14723	protista_other			swept
UP001178507	Effrenium voratum	2562239	41633	protista_other			swept
UP001195914	Babesia divergens	32595	4091	protista_other			swept
UP001209570	Pythium insidiosum (Pythiosis disease agent)	114742	12114	protista_other			swept
UP001214638	Babesia duncani	323732	3776	protista_other			swept
UP001224775	Skeletonema marinoi	267567	17125	protista_other			swept
UP001230188	Chrysophaeum taylorii	2483200	10575	protista_other			swept
UP001230268	Babesia gibsoni	33632	3533	protista_other			swept
UP001259832	Phytophthora citrophthora	4793	15826	protista_other			swept
UP001295423	Cylindrotheca closterium	2856	24137	protista_other			swept
UP001295684	Euplotes crassus	5936	28993	protista_other			swept
UP001300502	Galdieria yellowstonensis	3028027	6893	protista_other			swept
UP001301350	Cyanidium caldarium (Red alga)	2771	4861	protista_other			swept
UP001311799	Cryptosporidium xiaoi	659607	3725	protista_other			swept
UP001344447	Dictyostelium firmibasis	79012	10512	protista_other			swept
UP001363151	Aureococcus anophagefferens (Harmful bloom alga)	44056	12380	protista_other			swept
UP001429100	Cryptosporidium hominis	237895	3957	protista_other			swept
UP001430356	Novymonas esmeraldas	1808958	8343	protista_other			swept
UP001431209	Acrasis kona	1008807	15388	protista_other			swept
UP001443563	Leishmania shawi	5680	7975	protista_other			swept
UP001470230	Tritrichomonas musculus	1915356	42208	protista_other			swept
UP001482455	Leishmania utingensis	653362	8002	protista_other			swept
UP001500131	Leishmania lindenbergi	651832	8033	protista_other			swept
UP001501274	Leishmania naiffi	5678	7945	protista_other			swept
UP001515480	Prymnesium parvum (Toxic golden alga)	97485	24407	protista_other			swept
UP001516023	Cyclotella cryptica	29204	14013	protista_other			swept
UP001530293	Discostella pseudostelligera	259834	10378	protista_other			swept
UP001530315	Stephanodiscus triporus	2934178	11329	protista_other			swept
UP001530377	Cyclostephanos tholiformis	382380	11767	protista_other			swept
UP001530400	Cyclotella atomus	382360	13984	protista_other			swept
UP001628156	Entamoeba nuttalli	412467	8892	protista_other			swept
UP001632037	Phytophthora oleae	2107226	18551	protista_other			swept
UP001642484	Durusdinium trenchii	1381693	68864	protista_other			swept
UP000001542	Trichomonas vaginalis (strain ATCC PRA-98 / G3)	412133	50190	protista_other			swept
UP000001548	Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia)	184922	4900	protista_other			swept
UP000002173	Babesia bovis	5865	3213	protista_other			swept
UP000002630	Ectocarpus siliculosus (Brown alga) (Conferva siliculosa)	2880	16372	protista_other			swept
UP000006726	Cryptosporidium parvum (strain Iowa II)	353152	3805	protista_other			swept
UP000008333	Plasmodium vivax (strain Salvador I)	126793	5389	protista_other			swept
UP000008553	Plasmodium yoelii yoelii	73239	7740	protista_other			swept
UP000009027	Trypanosoma vivax (strain Y486)	1055687	3778	protista_other			swept
UP000018201	Eimeria praecox	51316	7635	protista_other			swept
UP000018208	Spironucleus salmonicida	348837	8076	protista_other			swept
UP000019335	Nannochloropsis gaditana	72520	10819	protista_other			swept
UP000023152	Reticulomyxa filosa	46433	39903	protista_other			swept
UP000037923	Leptomonas pyrrhocoris (Firebug parasite)	157538	9272	protista_other			swept
UP000041254	Vitrella brassicaformis	1169539	23030	protista_other			unavailable
UP000053232	Oxytricha trifallax	1172189	810	protista_other			swept
UP000054928	Plasmopara halstedii (Downy mildew of sunflower)	4781	15449	protista_other			swept
UP000078555	Plasmodium ovale wallikeri	864142	8410	protista_other			swept
UP000198211	Phytophthora megakarya	4795	34747	protista_other			swept
UP000224006	Besnoitia besnoiti (Apicomplexan protozoan)	94643	8036	protista_other			swept
UP000237271	Phytophthora palmivora	4796	24468	protista_other			swept
UP000265618	Kipferlia bialata	797122	16754	protista_other			swept
UP000266841	Thalassiosira oceanica (Marine diatom)	159749	34564	protista_other			swept
UP000315496	Giardia muris	5742	4560	protista_other			swept
UP000674179	Leishmania enriettii	5663	8172	protista_other			swept
UP000693970	Nitzschia inconspicua	303405	34694	protista_other			swept
UP000785679	Halteria grandinella	5974	17754	protista_other			swept
UP001057375	Aduncisulcus paluster	2918883	14752	protista_other			swept
UP001152797	Cladocopium goreaui	2562237	48768	protista_other			swept
UP001163321	Peronosclerospora sorghi	230839	18193	protista_other			swept
UP001165083	Phytophthora lilii	2077276	18848	protista_other			swept
UP001165121	Phytophthora fragariaefolia	1490495	30582	protista_other			swept
UP001189429	Prorocentrum cordatum	2364126	112835	protista_other			swept
UP001281761	Blattamonas nauphoetae	2049346	24049	protista_other			swept
UP001439008	Bonamia ostreae	126728	5695	protista_other			swept
UP001497744	Babesia caballi	5871	5876	protista_other			swept
UP001642409	Hexamita inflata	28002	67101	protista_other			swept
UP001642464	Durusdinium trenchii	1381693	57175	protista_other			swept
UP001701489	Tetrahymena utriculariae	2486642	22816	protista_other			swept
UP001701514	Tetrahymena malaccensis	5901	22921	protista_other			swept
