group	profile	accession	target	species	taxon_id	gene	length	full_evalue	full_score	hmm_coverage	qlen	positions	protein_name
fungi	itpr	A0A8H7VKW7	tr|A0A8H7VKW7|A0A8H7VKW7_9FUNG	Circinella minor	1195481	INT45_012506	155	7.2e-42	152.2	0.047	2684	126	Uncharacterized protein
fungi	itpr	A0A433DLF4	tr|A0A433DLF4|A0A433DLF4_9FUNG	Jimgerdemannia flammicorona	994334	BC936DRAFT_146851	159	1.2e-33	124.9	0.044	2684	118	Ion transport domain-containing protein
fungi	itpr	A0A433DLC9	tr|A0A433DLC9|A0A433DLC9_9FUNG	Jimgerdemannia flammicorona	994334	BC936DRAFT_146853	221	4.4e-32	119.7	0.067	2684	180	Inositol 1,4,5-trisphosphate/ryanodine receptor-domain-containing protein
fungi	itpr	A0A433DL91	tr|A0A433DL91|A0A433DL91_9FUNG	Jimgerdemannia flammicorona	994334	BC936DRAFT_146852	192	1.5e-25	98.1	0.064	2684	172	Uncharacterized protein
fungi	itpr	A0A0B7N6H0	tr|A0A0B7N6H0|A0A0B7N6H0_9FUNG	Parasitella parasitica	35722	PARPA_04387.1	253	5.9e-19	76.2	0.075	2684	201	Uncharacterized protein
fungi	itpr	A0AAD5XEU8	tr|A0AAD5XEU8|A0AAD5XEU8_9FUNG	Physocladia obscura	109957	HK100_007616	148	2.4e-14	60.9	0.02	2684	54	Uncharacterized protein (Fragment)
fungi	itpr	A0A1X2J2C0	tr|A0A1X2J2C0|A0A1X2J2C0_9FUNG	Absidia repens	90262	BCR42DRAFT_400030	176	4.3e-07	36.8	0.052	2684	140	MIR motif-containing protein
fungi	itpr	A0A8H7S8H6	tr|A0A8H7S8H6|A0A8H7S8H6_9FUNG	Circinella minor	1195481	INT45_009047	207	6.5e-07	36.2	0.09	2684	242	MIR domain-containing protein
fungi	itpr	A0AAD5JYY5	tr|A0AAD5JYY5|A0AAD5JYY5_9FUNG	Phascolomyces articulosus	60185	BDA99DRAFT_511573	206	1.4e-06	35.2	0.076	2684	204	MIR motif-containing protein
fungi	itpr	A0A0B7NLG6	tr|A0A0B7NLG6|A0A0B7NLG6_9FUNG	Parasitella parasitica	35722	PARPA_13741.1	184	1.4e-06	35.1	0.053	2684	142	MIR domain-containing protein
fungi	itpr	A0A137P4A9	tr|A0A137P4A9|A0A137P4A9_CONC2	Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638)	796925	CONCODRAFT_79110	686	2.4e-06	34.4	0.053	2684	142	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	itpr	A0A9N9CV97	tr|A0A9N9CV97|A0A9N9CV97_9GLOM	Acaulospora morrowiae	94023	AMORRO_LOCUS8502	923	1.2e-05	32.1	0.121	2684	325	9841_t:CDS:1 (Fragment)
fungi	itpr	A0A9P7CMG5	tr|A0A9P7CMG5|A0A9P7CMG5_9FUNG	Rhizopus delemar	936053	G6F50_008270	188	1.7e-05	31.6	0.053	2684	142	MIR domain-containing protein
fungi	itpr	I1BW33	tr|I1BW33|I1BW33_RHIO9	Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880)	246409	RO3G_05118	188	1.7e-05	31.6	0.053	2684	142	MIR domain-containing protein
fungi	itpr	A0A1Y2GDE8	tr|A0A1Y2GDE8|A0A1Y2GDE8_9FUNG	Lobosporangium transversale	64571	BCR41DRAFT_361112	210	2.1e-05	31.2	0.022	2684	59	MIR motif-containing protein
fungi	itpr	A0A367KG64	tr|A0A367KG64|A0A367KG64_RHIAZ	Rhizopus azygosporus	86630	CU097_015100	188	6e-05	29.7	0.052	2684	140	MIR domain-containing protein
fungi	itpr	A0A367KF24	tr|A0A367KF24|A0A367KF24_RHIST	Rhizopus stolonifer	4846	CU098_006875	187	9.7e-05	29.0	0.052	2684	140	MIR domain-containing protein
fungi	itpr	A0A2G4T6Q1	tr|A0A2G4T6Q1|A0A2G4T6Q1_RHIZD	Rhizopus microsporus ATCC 52813	1340429	RHIMIDRAFT_310912	188	0.0001	29.0	0.051	2684	137	MIR domain-containing protein
fungi	itpr	A0A9P6XKH1	tr|A0A9P6XKH1|A0A9P6XKH1_RHIOR	Rhizopus oryzae	64495	G6F64_000243	188	0.00011	28.9	0.053	2684	142	MIR domain-containing protein
fungi	itpr	A0A137P7F1	tr|A0A137P7F1|A0A137P7F1_CONC2	Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638)	796925	CONCODRAFT_6464	190	0.00011	28.9	0.053	2684	142	MIR domain-containing protein
fungi	itpr	A0A9W8EJL1	tr|A0A9W8EJL1|A0A9W8EJL1_9FUNG	Coemansia thaxteri	2663907	H4R26_003012	432	0.00011	28.8	0.057	2684	153	MIR domain-containing protein
fungi	itpr	A0A9N9IE92	tr|A0A9N9IE92|A0A9N9IE92_9GLOM	Acaulospora morrowiae	94023	AMORRO_LOCUS14190	338	0.00012	28.8	0.052	2684	140	11084_t:CDS:1 (Fragment)
fungi	itpr	S2JDV0	tr|S2JDV0|S2JDV0_MUCC1	Mucor circinelloides f. circinelloides (strain 1006PhL)	1220926	HMPREF1544_05167	184	0.00012	28.8	0.052	2684	140	MIR domain-containing protein
fungi	itpr	A0A367JKH4	tr|A0A367JKH4|A0A367JKH4_RHIAZ	Rhizopus azygosporus	86630	CU097_009349	188	0.00012	28.7	0.051	2684	137	MIR domain-containing protein
fungi	itpr	A0A1R1YAX5	tr|A0A1R1YAX5|A0A1R1YAX5_9FUNG	Smittium culicis	133412	AYI69_g4774	755	0.00013	28.6	0.034	2684	91	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	itpr	A0A0C9M1X3	tr|A0A0C9M1X3|A0A0C9M1X3_9FUNG	Mucor ambiguus	91626	MAM1_0024d01990	184	0.00015	28.4	0.051	2684	137	MIR domain-containing protein
fungi	itpr	A0A367K2C5	tr|A0A367K2C5|A0A367K2C5_RHIAZ	Rhizopus azygosporus	86630	CU097_006822	197	0.00015	28.4	0.038	2684	102	MIR domain-containing protein
fungi	itpr	A0A8H7UWY8	tr|A0A8H7UWY8|A0A8H7UWY8_9FUNG	Mucor saturninus	64648	INT47_010571	183	0.00017	28.3	0.052	2684	140	MIR domain-containing protein
fungi	itpr	A0A162YY60	tr|A0A162YY60|A0A162YY60_MUCCL	Mucor lusitanicus CBS 277.49	747725	MUCCIDRAFT_156776	184	0.00017	28.2	0.051	2684	137	MIR domain-containing protein
fungi	itpr	A0A1R1X5I5	tr|A0A1R1X5I5|A0A1R1X5I5_9FUNG	Smittium culicis	133412	AYI70_g10670	755	0.0002	28.0	0.033	2684	89	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	itpr	A0AAD7UXF6	tr|A0AAD7UXF6|A0AAD7UXF6_9FUNG	Lichtheimia ornata	688661	O0I10_009448	207	0.0002	28.0	0.058	2684	156	MIR domain-containing protein
fungi	itpr	A0A9P7BR71	tr|A0A9P7BR71|A0A9P7BR71_RHIOR	Rhizopus oryzae	64495	G6F64_006814	188	0.00022	27.9	0.053	2684	142	MIR domain-containing protein
fungi	itpr	A0A9W8ALH8	tr|A0A9W8ALH8|A0A9W8ALH8_9FUNG	Dispira parvispora	1520584	PMT4	764	0.00023	27.8	0.05	2684	134	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	itpr	A0A1Y1XRW1	tr|A0A1Y1XRW1|A0A1Y1XRW1_9FUNG	Basidiobolus meristosporus CBS 931.73	1314790	K493DRAFT_290508	728	0.00027	27.6	0.053	2684	142	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	itpr	A0ACC2RP91	tr|A0ACC2RP91|A0ACC2RP91_9FUNG	Entomophthora muscae	34485	DSO57_1039453	185	0.00027	27.6	0.048	2684	129	MIR domain-containing protein
fungi	itpr	A0ACC2SHQ0	tr|A0ACC2SHQ0|A0ACC2SHQ0_9FUNG	Entomophthora muscae	34485	DSO57_1016756	185	0.00027	27.6	0.048	2684	129	MIR domain-containing protein
fungi	itpr	A0A507FLM5	tr|A0A507FLM5|A0A507FLM5_9FUNG	Chytriomyces confervae	246404	CcCBS67573_g01445	210	0.00032	27.3	0.029	2684	78	MIR domain-containing protein
fungi	itpr	A0AAN7HU44	tr|A0AAN7HU44|A0AAN7HU44_9FUNG	Mucor velutinosus	708070	ATC70_000675	184	0.00033	27.3	0.051	2684	137	MIR domain-containing protein
fungi	itpr	A0A2G4T256	tr|A0A2G4T256|A0A2G4T256_RHIZD	Rhizopus microsporus ATCC 52813	1340429	RHIMIDRAFT_289581	196	0.00042	26.9	0.038	2684	102	MIR domain-containing protein
fungi	itpr	A0A1Y1VKA5	tr|A0A1Y1VKA5|A0A1Y1VKA5_9FUNG	Piromyces finnis	1754191	BCR36DRAFT_278006	209	0.00042	26.9	0.031	2684	83	Stromal cell-derived factor 2-like protein
fungi	itpr	A0A9P6TW29	tr|A0A9P6TW29|A0A9P6TW29_9FUNG	Mortierella polycephala	41804	BG011_009639	855	0.00044	26.9	0.05	2684	134	ATP-dependent RNA helicase
fungi	itpr	A0A397SX95	tr|A0A397SX95|A0A397SX95_9GLOM	Glomus cerebriforme	658196	C1645_693351	193	0.00046	26.8	0.061	2684	164	MIR motif-containing protein
fungi	itpr	A0A2Z6S8R5	tr|A0A2Z6S8R5|A0A2Z6S8R5_9GLOM	Rhizophagus clarus	94130	RclHR1_00610024	221	0.00054	26.5	0.051	2684	137	MIR domain-containing protein
fungi	itpr	A0A9P7Y6F4	tr|A0A9P7Y6F4|A0A9P7Y6F4_9FUNG	Linnemannia hyalina	64524	SDF2L1	216	0.00058	26.5	0.022	2684	59	Stromal cell-derived factor 2-like protein 1
fungi	itpr	A0ACC2TS94	tr|A0ACC2TS94|A0ACC2TS94_9FUNG	Entomophthora muscae	34485	DSO57_1020068	339	0.00058	26.4	0.058	2684	156	MIR domain-containing protein
fungi	itpr	I1C0R8	tr|I1C0R8|I1C0R8_RHIO9	Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880)	246409	RO3G_06753	181	0.0006	26.4	0.053	2684	142	MIR domain-containing protein
fungi	itpr	A0A367KDE2	tr|A0A367KDE2|A0A367KDE2_RHIAZ	Rhizopus azygosporus	86630	CU097_009196	196	0.00062	26.4	0.037	2684	99	MIR domain-containing protein
fungi	itpr	A0A397W141	tr|A0A397W141|A0A397W141_9GLOM	Gigaspora rosea	44941	C2G38_2137654	362	0.00065	26.3	0.05	2684	134	MIR domain-containing protein
fungi	itpr	A0A9P6Z5Y8	tr|A0A9P6Z5Y8|A0A9P6Z5Y8_9FUNG	Rhizopus delemar	936053	G6F50_004648	188	0.00066	26.3	0.053	2684	142	MIR domain-containing protein
fungi	itpr	A0A8H7QXD0	tr|A0A8H7QXD0|A0A8H7QXD0_9FUNG	Mucor plumbeus	97098	INT46_004022	184	0.00068	26.2	0.052	2684	140	MIR domain-containing protein
fungi	itpr	A0A9N9IRM6	tr|A0A9N9IRM6|A0A9N9IRM6_9GLOM	Funneliformis caledonium	1117310	FCALED_LOCUS15936	221	0.00074	26.1	0.066	2684	177	9922_t:CDS:1 (Fragment)
fungi	itpr	A0A167M235	tr|A0A167M235|A0A167M235_PHYB8	Phycomyces blakesleeanus (strain ATCC 8743b / DSM 1359 / FGSC 10004 / NBRC 33097 / NRRL 1555)	763407	PHYBLDRAFT_159288	183	0.00077	26.0	0.052	2684	140	MIR domain-containing protein
fungi	itpr	A0ABR3ALA3	tr|A0ABR3ALA3|A0ABR3ALA3_PHYBL	Phycomyces blakesleeanus	4837	J3Q64DRAFT_1772985	183	0.00077	26.0	0.052	2684	140	MIR motif-containing protein
fungi	itpr	F4RKM5	tr|F4RKM5|F4RKM5_MELLP	Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7)	747676	MELLADRAFT_48233	707	0.00079	26.0	0.054	2684	145	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	itpr	A0A137NY80	tr|A0A137NY80|A0A137NY80_CONC2	Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638)	796925	CONCODRAFT_86801	241	0.00079	26.0	0.039	2684	105	MIR domain-containing protein
fungi	itpr	A0A2U1J221	tr|A0A2U1J221|A0A2U1J221_SMIAN	Smittium angustum	133377	BB558_004878	359	0.00081	26.0	0.037	2684	99	MIR domain-containing protein
fungi	itpr	A0ACA9MTF2	tr|A0ACA9MTF2|A0ACA9MTF2_9GLOM	Acaulospora colombiana	27376	ACOLOM_LOCUS6952	317	0.001	25.6	0.077	2684	207	10748_t:CDS:1 (Fragment)
fungi	itpr	A0A2H9TFJ9	tr|A0A2H9TFJ9|A0A2H9TFJ9_9FUNG	Paramicrosporidium saccamoebae	1246581	PSACC_03653	667	0.0011	25.6	0.053	2684	142	Dolichyl-phosphate-mannose--protein mannosyltransferase (Fragment)
fungi	itpr	A0A1C7NAD1	tr|A0A1C7NAD1|A0A1C7NAD1_9FUNG	Choanephora cucurbitarum	101091	SDF2	184	0.0011	25.5	0.053	2684	142	Stromal cell-derived factor 2-like protein
fungi	itpr	A0A1R1YNL6	tr|A0A1R1YNL6|A0A1R1YNL6_9FUNG	Smittium culicis	133412	AYI69_g2201	166	0.0012	25.4	0.041	2684	110	Stromal cell-derived factor 2-like protein
fungi	itpr	A0A1Y1W6R4	tr|A0A1Y1W6R4|A0A1Y1W6R4_9FUNG	Linderina pennispora	61395	DL89DRAFT_224319	180	0.0012	25.4	0.036	2684	97	MIR domain-containing protein (Fragment)
fungi	itpr	A0ACC1KBI8	tr|A0ACC1KBI8|A0ACC1KBI8_9FUNG	Coemansia linderi	2663919	GGI18_003680	207	0.0012	25.4	0.04	2684	107	MIR domain-containing protein (Fragment)
fungi	itpr	A0A2G5B1D3	tr|A0A2G5B1D3|A0A2G5B1D3_COERN	Coemansia reversa (strain ATCC 12441 / NRRL 1564)	763665	COEREDRAFT_12133	739	0.0013	25.3	0.066	2684	177	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	itpr	A0A2T9YJ69	tr|A0A2T9YJ69|A0A2T9YJ69_9FUNG	Furculomyces boomerangus	61424	BB559_003737	482	0.0014	25.2	0.037	2684	99	MIR domain-containing protein
fungi	itpr	A0A9N9EMY0	tr|A0A9N9EMY0|A0A9N9EMY0_FUNMO	Funneliformis mosseae	27381	FMOSSE_LOCUS12892	145	0.0015	25.1	0.04	2684	107	10086_t:CDS:1 (Fragment)
fungi	itpr	A0A197KCS3	tr|A0A197KCS3|A0A197KCS3_9FUNG	Linnemannia elongata AG-77	1314771	K457DRAFT_133514	216	0.0015	25.1	0.031	2684	83	MIR domain-containing protein
fungi	itpr	A0A397UTY9	tr|A0A397UTY9|A0A397UTY9_9GLOM	Gigaspora rosea	44941	C2G38_2201355	362	0.0015	25.0	0.059	2684	158	MIR domain-containing protein
fungi	itpr	A0A9N8VSP6	tr|A0A9N8VSP6|A0A9N8VSP6_9GLOM	Paraglomus occultum	144539	POCULU_LOCUS472	218	0.0016	25.0	0.026	2684	70	6205_t:CDS:1
fungi	itpr	A0A9P6JYP6	tr|A0A9P6JYP6|A0A9P6JYP6_9FUNG	Mortierella hygrophila	979708	SDF2L1	216	0.0017	24.9	0.022	2684	59	Stromal cell-derived factor 2-like protein 1
fungi	itpr	A0A137P7E6	tr|A0A137P7E6|A0A137P7E6_CONC2	Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638)	796925	CONCODRAFT_78615	190	0.0018	24.8	0.053	2684	142	MIR domain-containing protein
fungi	itpr	A0A9W4XGD0	tr|A0A9W4XGD0|A0A9W4XGD0_9ASCO	Candida verbasci	1227364	CANVERA_P2248	753	0.0019	24.8	0.039	2684	105	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	itpr	A0ABP9YQY2	tr|A0ABP9YQY2|A0ABP9YQY2_9FUNG	Mucor flavus	439312	MFLAVUS_002674	183	0.002	24.7	0.053	2684	142	MIR domain-containing protein
fungi	itpr	A0A2T9Y8M3	tr|A0A2T9Y8M3|A0A2T9Y8M3_9FUNG	Smittium simulii	133385	BB561_005746	371	0.002	24.7	0.041	2684	110	MIR domain-containing protein
fungi	itpr	G3AZA6	tr|G3AZA6|G3AZA6_CANTC	Candida tenuis (strain ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70)	590646	CANTEDRAFT_112908	735	0.0022	24.5	0.031	2684	83	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	itpr	A0A015LHH9	tr|A0A015LHH9|A0A015LHH9_RHIIW	Rhizophagus irregularis (strain DAOM 197198w)	1432141	RirG_235690	375	0.0026	24.3	0.051	2684	137	Pmt1p
fungi	itpr	A0A2P4QK23	tr|A0A2P4QK23|A0A2P4QK23_RHIID	Rhizophagus irregularis (strain DAOM 181602 / DAOM 197198 / MUCL 43194)	747089	GLOIN_2v1543161	375	0.0026	24.3	0.051	2684	137	MIR domain-containing protein
fungi	itpr	A0ACH0HGL0	tr|A0ACH0HGL0|A0ACH0HGL0_9GLOM	Rhizophagus irregularis	588596	OCT59_017713	375	0.0026	24.3	0.051	2684	137	Uncharacterized protein
fungi	itpr	A0A9P3H5M6	tr|A0A9P3H5M6|A0A9P3H5M6_9FUNG	Entomortierella parvispora	205924	EMPS_02808	216	0.0028	24.2	0.024	2684	64	MIR domain-containing protein
fungi	itpr	A0A9N8WRP1	tr|A0A9N8WRP1|A0A9N8WRP1_9GLOM	Ambispora leptoticha	144679	ALEPTO_LOCUS3158	188	0.0028	24.2	0.052	2684	140	2518_t:CDS:1
fungi	itpr	A0A1R1WYZ7	tr|A0A1R1WYZ7|A0A1R1WYZ7_9FUNG	Smittium culicis	133412	AYI70_g12069	629	0.003	24.1	0.042	2684	113	Stromal cell-derived factor 2-like protein (Fragment)
fungi	itpr	A0A9P6MP98	tr|A0A9P6MP98|A0A9P6MP98_9FUNG	Entomortierella chlamydospora	101097	SDF2L1	782	0.003	24.1	0.462	2684	1240	Stromal cell-derived factor 2-like protein 1
fungi	itpr	A0A9W8GLS5	tr|A0A9W8GLS5|A0A9W8GLS5_9FUNG	Coemansia spiralis	417178	PMT2_1	750	0.003	24.1	0.053	2684	142	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	itpr	I1CP74	tr|I1CP74|I1CP74_RHIO9	Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880)	246409	RO3G_14965	154	0.0033	24.0	0.019	2684	51	MIR domain-containing protein
fungi	itpr	A0ACC1LGU2	tr|A0ACC1LGU2|A0ACC1LGU2_9FUNG	Coemansia helicoidea	1286919	PMT2_3	504	0.0035	23.8	0.054	2684	145	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	itpr	A0AAD4DD90	tr|A0AAD4DD90|A0AAD4DD90_9FUNG	Linnemannia exigua	604196	SDF2L1	216	0.0038	23.8	0.021	2684	56	Stromal cell-derived factor 2-like protein 1
fungi	itpr	A0ACC1INB5	tr|A0ACC1INB5|A0ACC1INB5_9FUNG	Kickxella alabastrina	61397	PMT2_7	759	0.0038	23.7	0.054	2684	145	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	itpr	A0ACC2TQC8	tr|A0ACC2TQC8|A0ACC2TQC8_9FUNG	Entomophthora muscae	34485	DSO57_1023555	339	0.004	23.7	0.058	2684	156	MIR domain-containing protein
fungi	itpr	A0A9W8LE05	tr|A0A9W8LE05|A0A9W8LE05_9FUNG	Coemansia pectinata	1052879	PMT2_3	743	0.0041	23.6	0.054	2684	145	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	itpr	A0A1R1PN97	tr|A0A1R1PN97|A0A1R1PN97_ZANCU	Zancudomyces culisetae	1213189	AX774_g4135	364	0.0042	23.6	0.052	2684	140	Stromal cell-derived factor 2-like protein
fungi	itpr	A0A139A8S1	tr|A0A139A8S1|A0A139A8S1_GONPJ	Gonapodya prolifera (strain JEL478)	1344416	M427DRAFT_58907	221	0.0042	23.6	0.056	2684	150	Stromal cell-derived factor 2-like protein 1-like protein
fungi	itpr	A3LW31	tr|A3LW31|A3LW31_PICST	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	322104	PICST_72313	758	0.0043	23.6	0.034	2684	91	Dolichyl-phosphate-mannose--protein mannosyltransferase
