upid	organism	taxid	protein_count	group	genus	genus_n_available	status
UP000008141	Chlorella variabilis (Green alga)	554065	9751	viridiplantae			swept
UP000008694	Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)	81972	32161	viridiplantae			swept
UP000008810	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	15368	44786	viridiplantae			swept
UP000008827	Glycine max (Soybean) (Glycine hispida)	3847	74859	viridiplantae			swept
UP000009170	Ostreococcus tauri (Marine green alga)	70448	7751	viridiplantae			swept
UP000009183	Vitis vinifera (Grape)	29760	29867	viridiplantae			swept
UP000011115	Solanum tuberosum (Potato)	4113	53020	viridiplantae			swept
UP000011116	Hordeum vulgare subsp. vulgare (Domesticated barley)	112509	35906	viridiplantae			swept
UP000011750	Brassica campestris (Field mustard)	3711	40824	viridiplantae			swept
UP000012960	Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis)	214687	40347	viridiplantae			swept
UP000015105	Aegilops tauschii subsp. strangulata (Goatgrass)	200361	214161	viridiplantae			swept
UP000015106	Triticum urartu (Red wild einkorn) (Crithodium urartu)	4572	54204	viridiplantae			swept
UP000015453	Genlisea aurea	192259	17675	viridiplantae			swept
UP000017836	Amborella trichopoda	13333	27406	viridiplantae			swept
UP000019116	Triticum aestivum (Wheat)	4565	130674	viridiplantae			swept
UP000026915	Theobroma cacao (Cacao) (Cocoa)	3641	40687	viridiplantae			swept
UP000026960	Oryza barthii	65489	40214	viridiplantae			swept
UP000026961	Oryza glumipatula	40148	44731	viridiplantae			swept
UP000026962	Oryza punctata (Red rice)	4537	38431	viridiplantae			swept
UP000027120	Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis)	2711	44118	viridiplantae			swept
UP000027138	Jatropha curcas (Barbados nut)	180498	27141	viridiplantae			swept
UP000028924	Auxenochlorella protothecoides (Green microalga) (Chlorella protothecoides)	3075	7122	viridiplantae			swept
UP000028999	Brassica napus (Rape)	3708	57579	viridiplantae			swept
UP000029120	Arabis alpina (Alpine rock-cress)	50452	23352	viridiplantae			swept
UP000029121	Capsella rubella	81985	28039	viridiplantae			swept
UP000029981	Cucumis sativus (Cucumber)	3659	24351	viridiplantae			swept
UP000030645	Morus notabilis	981085	26760	viridiplantae			swept
UP000030687	Citrus clementina (Clementine) (Citrus deliciosa x Citrus sinensis)	85681	31352	viridiplantae			swept
UP000030689	Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum)	72664	28426	viridiplantae			swept
UP000030711	Eucalyptus grandis (Flooded gum)	71139	43828	viridiplantae			swept
UP000030748	Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus)	4155	28716	viridiplantae			swept
UP000032141	Brassica oleracea var. oleracea	109376	58535	viridiplantae			swept
UP000032180	Leersia perrieri	77586	36779	viridiplantae			swept
UP000032304	Gossypium raimondii (Peruvian cotton) (Gossypium klotzschianum subsp. raimondii)	29730	66638	viridiplantae			swept
UP000035740	Beta vulgaris subsp. vulgaris (Beet)	3555	7837	viridiplantae			swept
UP000036987	Zostera marina (Eelgrass)	29655	20559	viridiplantae			swept
UP000054498	Monoraphidium neglectum	145388	16738	viridiplantae			swept
UP000054558	Klebsormidium nitens (Green alga) (Ulothrix nitens)	105231	16251	viridiplantae			swept
UP000075243	Cajanus cajan (Pigeon pea) (Cajanus indicus)	3821	22983	viridiplantae			swept
UP000075714	Gonium pectorale (Green alga)	33097	16291	viridiplantae			swept
UP000077202	Marchantia polymorpha subsp. ruderalis	1480154	17951	viridiplantae			swept
UP000077755	Daucus carota subsp. sativus (Carrot)	79200	35531	viridiplantae			swept
UP000087171	Cicer arietinum (Chickpea) (Garbanzo)	3827	30850	viridiplantae			swept
UP000087766	Vigna radiata var. radiata (Mung bean) (Phaseolus aureus)	3916	35038	viridiplantae			swept
UP000091857	Manihot esculenta (Cassava) (Jatropha manihot)	3983	54841	viridiplantae			swept
UP000095767	Dichanthelium oligosanthes	888268	26451	viridiplantae			swept
UP000187203	Corchorus olitorius	93759	35596	viridiplantae			swept
UP000187406	Cephalotus follicularis (Albany pitcher plant)	3775	36460	viridiplantae			swept
UP000188268	Corchorus capsularis (Jute)	210143	29210	viridiplantae			swept
UP000188354	Lupinus angustifolius (Narrow-leaved blue lupine)	3871	31106	viridiplantae			swept
UP000189701	Nicotiana sylvestris (Wood tobacco) (South American tobacco)	4096	51864	viridiplantae			swept
UP000189703	Nelumbo nucifera (Sacred lotus)	4432	31582	viridiplantae			swept
UP000195402	Macleaya cordata (Five-seeded plume-poppy) (Bocconia cordata)	56857	21782	viridiplantae			swept
UP000198341	Bathycoccus prasinos	41875	7886	viridiplantae			swept
UP000228380	Phoenix dactylifera (Date palm)	42345	39393	viridiplantae			swept
UP000230069	Aquilegia coerulea (Rocky mountain columbine)	218851	37079	viridiplantae			swept
UP000231279	Handroanthus impetiginosus	429701	29726	viridiplantae			swept
UP000232323	Chlamydomonas eustigma	1157962	14139	viridiplantae			swept
UP000233551	Punica granatum (Pomegranate)	22663	50426	viridiplantae			swept
UP000233837	Dendrobium catenatum	906689	28690	viridiplantae			swept
UP000235220	Juglans regia (English walnut)	51240	38419	viridiplantae			swept
UP000236161	Apostasia shenzhenica	1088818	21679	viridiplantae			swept
UP000236333	Tetrabaena socialis	47790	14193	viridiplantae			swept
UP000236630	Citrus unshiu (Satsuma mandarin) (Citrus nobilis var. unshiu)	55188	16791	viridiplantae			swept
UP000237000	Trema orientale (Charcoal tree) (Celtis orientalis)	63057	35879	viridiplantae			swept
UP000237105	Parasponia andersonii (Sponia andersonii)	3476	37260	viridiplantae			swept
UP000237347	Quercus suber (Cork oak)	58331	36427	viridiplantae			swept
UP000239649	Micractinium conductrix	554055	9815	viridiplantae			swept
UP000239899	Chlorella sorokiniana (Freshwater green alga)	3076	10201	viridiplantae			swept
UP000242715	Trifolium subterraneum (Subterranean clover)	3900	36727	viridiplantae			swept
UP000243459	Asparagus officinalis (Garden asparagus)	4686	24059	viridiplantae			swept
UP000243975	Cynara cardunculus var. scolymus (Globe artichoke) (Cynara scolymus)	59895	26515	viridiplantae			swept
UP000244005	Marchantia polymorpha (Common liverwort) (Marchantia aquatica)	3197	22017	viridiplantae			swept
UP000244336	Panicum hallii var. hallii	1504633	38607	viridiplantae			swept
UP000245207	Artemisia annua (Sweet wormwood)	35608	65652	viridiplantae			swept
UP000247498	Raphidocelis subcapitata	307507	13347	viridiplantae			swept
UP000249390	Cuscuta australis	267555	18107	viridiplantae			swept
UP000250321	Prunus yedoensis var. nudiflora	2094558	40375	viridiplantae			swept
UP000256970	Tetradesmus obliquus (Green alga) (Acutodesmus obliquus)	3088	18631	viridiplantae			swept
UP000257109	Mucuna pruriens (Velvet bean) (Dolichos pruriens)	157652	56010	viridiplantae			swept
UP000265515	Chara braunii (Braun's stonewort)	69332	35576	viridiplantae			swept
UP000266723	Brassica cretica (Mustard)	69181	62924	viridiplantae			swept
UP000283530	Cinnamomum micranthum f. kanehirae	337451	26485	viridiplantae			swept
UP000291084	Vigna angularis var. angularis	157739	30270	viridiplantae			swept
UP000295252	Coffea canephora (Robusta coffee)	49390	25484	viridiplantae			swept
UP000298416	Salvia splendens (Scarlet sage)	180675	55398	viridiplantae			swept
UP000298652	Setaria viridis (Green bristlegrass) (Setaria italica subsp. viridis)	4556	46692	viridiplantae			swept
UP000306102	Camellia sinensis var. sinensis (China tea)	542762	30132	viridiplantae			swept
UP000309997	Populus alba (White poplar)	43335	33925	viridiplantae			swept
UP000315295	Malus baccata (Siberian crab apple) (Pyrus baccata)	106549	45583	viridiplantae			swept
UP000316621	Papaver somniferum (Opium poppy)	3469	41429	viridiplantae			swept
UP000316726	Chloropicon primus	1764295	8712	viridiplantae			swept
UP000322667	Gossypium tomentosum (Hawaiian cotton) (Gossypium sandvicense)	34277	96138	viridiplantae			swept
UP000323506	Gossypium darwinii (Darwin's cotton) (Gossypium barbadense var. darwinii)	34276	87738	viridiplantae			swept
UP000323597	Gossypium mustelinum (Cotton) (Gossypium caicoense)	34275	91116	viridiplantae			swept
UP000324705	Triticum turgidum subsp. durum (Durum wheat) (Triticum durum)	4567	188219	viridiplantae			swept
UP000325081	Striga asiatica (Asiatic witchweed) (Buchnera asiatica)	4170	33322	viridiplantae			swept
UP000325315	Gossypium australe	47621	38202	viridiplantae			swept
UP000325577	Nyssa sinensis	561372	36198	viridiplantae			swept
UP000327013	Carpinus fangiana	176857	28539	viridiplantae			swept
UP000327439	Gossypium barbadense (Sea Island cotton) (Hibiscus barbadensis)	3634	91238	viridiplantae			swept
UP000428333	Rhododendron williamsianum	262921	21355	viridiplantae			swept
UP000436088	Hibiscus syriacus (Rose of Sharon)	106335	82544	viridiplantae			swept
UP000467841	Microthlaspi erraticum	1685480	45482	viridiplantae			swept
UP000479710	Oryza meyeriana var. granulata	110450	44343	viridiplantae			swept
UP000489600	Arabis nemorensis	586526	28762	viridiplantae			swept
UP000501690	Vigna unguiculata (Cowpea)	3917	39604	viridiplantae			swept
UP000504603	Momordica charantia (Bitter gourd) (Balsam pear)	3673	24041	viridiplantae			swept
UP000504604	Sesamum indicum (Oriental sesame) (Sesamum orientale)	4182	29714	viridiplantae			swept
UP000504607	Elaeis guineensis var. tenera (Oil palm)	51953	39177	viridiplantae			swept
UP000504608	Cucurbita maxima (Pumpkin) (Winter squash)	3661	34507	viridiplantae			swept
UP000504609	Cucurbita moschata (Winter crookneck squash) (Cucurbita pepo var. moschata)	3662	35465	viridiplantae			swept
UP000504610	Raphanus sativus (Radish) (Raphanus raphanistrum var. sativus)	3726	55038	viridiplantae			swept
UP000504621	Herrania umbratica	108875	23848	viridiplantae			swept
UP000515121	Durio zibethinus (Durian)	66656	53026	viridiplantae			swept
UP000515123	Ananas comosus (Pineapple) (Ananas ananas)	4615	29712	viridiplantae			swept
UP000515124	Prunus avium (Cherry) (Cerasus avium)	42229	30515	viridiplantae			swept
UP000515151	Punica granatum (Pomegranate)	22663	30384	viridiplantae			swept
UP000515211	Arachis duranensis (Wild peanut)	130453	38319	viridiplantae			swept
UP000541444	Kingdonia uniflora	39325	42660	viridiplantae			swept
UP000554482	Thalictrum thalictroides (Rue-anemone) (Anemone thalictroides)	46969	33596	viridiplantae			swept
UP000583929	Cannabis sativa (Hemp) (Marijuana)	3483	30304	viridiplantae			swept
UP000585474	Actinidia rufa	165716	51764	viridiplantae			swept
UP000593560	Gossypium harknessii	34285	31133	viridiplantae			swept
UP000593561	Gossypium davidsonii (Davidson's cotton) (Gossypium klotzschianum subsp. davidsonii)	34287	34640	viridiplantae			swept
UP000593562	Tripterygium wilfordii (Thunder God vine)	458696	27709	viridiplantae			swept
UP000593563	Apium graveolens (Celery)	4045	1732	viridiplantae			swept
UP000593564	Camellia sinensis (Tea plant) (Thea sinensis)	4442	32420	viridiplantae			swept
UP000593568	Gossypium trilobum	34281	32727	viridiplantae			swept
UP000593572	Gossypium lobatum	34289	30293	viridiplantae			swept
UP000593573	Gossypium klotzschianum	34286	34667	viridiplantae			swept
UP000593574	Gossypium laxum	34288	28436	viridiplantae			swept
UP000593575	Gossypium armourianum	34283	25444	viridiplantae			swept
UP000593576	Gossypium schwendimanii (Cotton)	34291	35461	viridiplantae			swept
UP000593577	Gossypium aridum (American cotton) (Erioxylum aridum)	34290	29562	viridiplantae			swept
UP000593579	Gossypium gossypioides (Mexican cotton) (Selera gossypioides)	34282	24870	viridiplantae			swept
UP000594261	Quercus lobata (Valley oak)	97700	38593	viridiplantae			swept
UP000594263	Kalanchoe fedtschenkoi (Lavender scallops) (South American air plant)	63787	38377	viridiplantae			swept
UP000594638	Olea europaea subsp. europaea	158383	78352	viridiplantae			swept
UP000595140	Cuscuta campestris	132261	44786	viridiplantae			swept
UP000596660	Chenopodium quinoa (Quinoa)	63459	33949	viridiplantae			swept
UP000596661	Cannabis sativa (Hemp) (Marijuana)	3483	32999	viridiplantae			swept
UP000604825	Miscanthus lutarioriparius	422564	67261	viridiplantae			swept
UP000607653	Nelumbo nucifera (Sacred lotus)	4432	31187	viridiplantae			swept
UP000612055	Edaphochlamys debaryana	47281	20289	viridiplantae			swept
UP000613740	Chlamydomonas schloesseri	2026947	16113	viridiplantae			swept
UP000623129	Carex littledalei	544730	22319	viridiplantae			swept
UP000626092	Rhododendron simsii (Sims's rhododendron)	118357	32714	viridiplantae			swept
UP000631114	Coptis chinensis	261450	39841	viridiplantae			swept
UP000634136	Senna tora	362788	44772	viridiplantae			swept
UP000636709	Digitaria exilis	1010633	60043	viridiplantae			swept
UP000650467	Chlamydomonas incerta	51695	16857	viridiplantae			swept
UP000652761	Colocasia esculenta (Wild taro) (Arum esculentum)	4460	56262	viridiplantae			swept
UP000653305	Phtheirospermum japonicum	374723	30147	viridiplantae			swept
UP000655225	Tetracentron sinense (Spur-leaf)	13715	32325	viridiplantae			swept
UP000657918	Salix dunnii	1413687	29716	viridiplantae			swept
UP000660262	Pycnococcus provasolii	41880	11381	viridiplantae			swept
UP000663760	Spirodela intermedia (Intermediate duckweed)	51605	21675	viridiplantae			swept
UP000682877	Arabidopsis arenosa (Sand rock-cress) (Cardaminopsis arenosa)	38785	23062	viridiplantae			swept
UP000694005	Brassica campestris (Field mustard)	3711	51921	viridiplantae			swept
UP000694853	Abrus precatorius (Indian licorice) (Glycine abrus)	3816	34846	viridiplantae			swept
UP000694861	Prunus mume (Japanese apricot) (Armeniaca mume)	102107	26575	viridiplantae			swept
UP000694864	Camelina sativa (False flax) (Myagrum sativum)	90675	92816	viridiplantae			swept
UP000694918	Populus euphratica (Euphrates poplar)	75702	39850	viridiplantae			swept
UP000694930	Solanum pennellii (Tomato) (Lycopersicon pennellii)	28526	32393	viridiplantae			swept
UP000708148	Ostreobium quekettii	121088	10809	viridiplantae			swept
UP000729402	Zizania palustris (Northern wild rice)	103762	54742	viridiplantae			swept
UP000734854	Zingiber officinale (Ginger) (Amomum zingiber)	94328	71528	viridiplantae			swept
UP000737018	Castanea mollissima (Chinese chestnut)	60419	34261	viridiplantae			swept
UP000747110	Volvox reticuliferus	1737510	19030	viridiplantae			swept
UP000747399	Volvox africanus	51714	18297	viridiplantae			swept
UP000775213	Dendrobium chrysotoxum (Orchid)	161865	24898	viridiplantae			swept
UP000790787	Nicotiana tabacum (Common tobacco)	4097	75390	viridiplantae			swept
UP000796880	Rhamnella rubrinervis	2594499	27017	viridiplantae			swept
UP000797356	Cocos nucifera (Coconut palm)	13894	27983	viridiplantae			swept
UP000806378	Corymbia citriodora subsp. variegata	360336	37782	viridiplantae			swept
UP000811609	Carya illinoinensis (Pecan)	32201	39561	viridiplantae			swept
UP000813463	Spinacia oleracea (Spinach)	3562	34300	viridiplantae			swept
UP000815325	Dunaliella salina (Green alga) (Protococcus salinus)	3046	18552	viridiplantae			swept
UP000818029	Gossypium hirsutum (Upland cotton) (Gossypium mexicanum)	3635	90172	viridiplantae			swept
UP000822688	Ceratodon purpureus (Fire moss) (Dicranum purpureum)	3225	36430	viridiplantae			swept
UP000823388	Panicum virgatum (Blackwell switchgrass)	38727	114662	viridiplantae			swept
UP000823775	Datura stramonium (Jimsonweed) (Common thornapple)	4076	52138	viridiplantae			swept
UP000824469	Taxus chinensis (Chinese yew) (Taxus wallichiana var. chinensis)	29808	44066	viridiplantae			swept
UP000824732	Ricinus communis (Castor bean)	3988	28144	viridiplantae			swept
UP000824890	Brassica napus (Rape)	3708	93609	viridiplantae			swept
UP000825729	Aristolochia fimbriata (White veined hardy Dutchman's pipe vine)	158543	21775	viridiplantae			swept
UP000825935	Ceratopteris richardii (Triangle waterfern)	49495	64680	viridiplantae			swept
UP000826271	Buddleja alternifolia	168488	29139	viridiplantae			swept
UP000826656	Solanum tuberosum (Potato)	4113	37410	viridiplantae			swept
UP000827721	Xanthoceras sorbifolium	99658	21820	viridiplantae			swept
UP000827889	Rhodamnia argentea	178133	32080	viridiplantae			swept
UP000827976	Dioscorea alata (Purple yam)	55571	38602	viridiplantae			swept
UP000828048	Vaccinium darrowii	229202	34804	viridiplantae			swept
UP000828251	Gossypium stocksii	47602	46007	viridiplantae			swept
UP000828922	Sphagnum magellanicum	128215	2457	viridiplantae			swept
UP000828941	Bauhinia variegata (Purple orchid tree) (Phanera variegata)	167791	41861	viridiplantae			swept
UP000829196	Dendrobium nobile (Orchid)	94219	28750	viridiplantae			swept
UP000829398	Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis)	2711	80064	viridiplantae			swept
UP000832498	Corylus avellana (European hazel) (Corylus maxima)	13451	31309	viridiplantae			swept
UP000834106	Fraxinus pennsylvanica	56036	35489	viridiplantae			swept
UP000836841	Thlaspi arvense (Field penny-cress)	13288	26379	viridiplantae			swept
UP000886595	Brassica carinata (Ethiopian mustard) (Abyssinian cabbage)	52824	95941	viridiplantae			swept
UP001054252	Rubroshorea leprosula	152421	66944	viridiplantae			swept
UP001054857	Astrephomene gubernaculifera	47775	13703	viridiplantae			swept
UP001054889	Eleusine coracana subsp. coracana	191504	54886	viridiplantae			swept
UP001055439	Musa troglodytarum (fe'i banana)	320322	69043	viridiplantae			swept
UP001055712	Chlorella vulgaris (Green alga)	3077	11003	viridiplantae			swept
UP001055811	Cichorium intybus (Chicory)	13427	43721	viridiplantae			swept
UP001056120	Smallanthus sonchifolius	185202	83389	viridiplantae			swept
UP001060085	Catharanthus roseus (Madagascar periwinkle) (Vinca rosea)	4058	36593	viridiplantae			swept
UP001060215	Camellia lanceoleosa	1840588	54167	viridiplantae			swept
UP001062846	Rhododendron molle (Chinese azalea) (Azalea mollis)	49168	52425	viridiplantae			swept
UP001140949	Iris pallida (Sweet iris)	29817	55717	viridiplantae			swept
UP001141552	Turnera subulata	218843	29656	viridiplantae			swept
UP001141806	Protea cynaroides	273540	33227	viridiplantae			swept
UP001151287	Rhynchospora breviuscula	2022672	21906	viridiplantae			swept
UP001152484	Cuscuta europaea (European dodder)	41803	29034	viridiplantae			swept
UP001152523	Cuscuta epithymum	186058	50982	viridiplantae			swept
UP001152561	Anisodus acutangulus	402998	38066	viridiplantae			swept
UP001153076	Carnegiea gigantea	171969	33880	viridiplantae			swept
UP001153555	Striga hermonthica (Purple witchweed) (Buchnera hermonthica)	68872	29515	viridiplantae			swept
UP001154282	Linum tenue	586396	123869	viridiplantae			swept
UP001157006	Vicia faba (Broad bean) (Faba vulgaris)	3906	36311	viridiplantae			swept
UP001157418	Lactuca virosa	75947	42214	viridiplantae			swept
UP001161247	Oldenlandia corymbosa var. corymbosa	529605	32307	viridiplantae			swept
UP001162992	Diphasiastrum complanatum (Issler's clubmoss) (Lycopodium complanatum)	34168	58468	viridiplantae			swept
UP001163603	Pistacia integerrima	434235	34064	viridiplantae			swept
UP001164250	Pistacia atlantica	434234	33570	viridiplantae			swept
UP001164539	Melia azedarach (Chinaberry tree)	155640	31022	viridiplantae			swept
UP001165080	Pleodorina starrii	330485	15442	viridiplantae			swept
UP001165090	Volvox africanus	51714	13265	viridiplantae			swept
UP001165190	Hibiscus trionum (Flower of an hour)	183268	52015	viridiplantae			swept
UP001168098	Vitis rotundifolia (Muscadine grape)	103349	40044	viridiplantae			swept
UP001168877	Acer saccharum (Sugar maple)	4024	38066	viridiplantae			swept
UP001177003	Lactuca saligna (Willowleaf lettuce)	75948	44208	viridiplantae			swept
UP001177021	Trifolium pratense (Red clover)	57577	52142	viridiplantae			swept
UP001177140	Papaver nudicaule (Iceland poppy)	74823	29684	viridiplantae			swept
UP001179952	Acorus gramineus (Dwarf sweet flag)	55184	24544	viridiplantae			swept
UP001180020	Acorus calamus (Sweet flag)	4465	45136	viridiplantae			swept
UP001187471	Escallonia rubra	112253	30672	viridiplantae			swept
UP001188597	Escallonia herrerae	1293975	47165	viridiplantae			swept
UP001189122	Spirodela intermedia (Intermediate duckweed)	51605	21937	viridiplantae			swept
UP001189624	Sphenostylis stenocarpa	92480	30727	viridiplantae			swept
UP001190926	Perilla frutescens var. hirtella (Perilla citriodora) (Perilla setoyensis)	608512	21013	viridiplantae			swept
UP001202328	Papaver atlanticum	357466	32465	viridiplantae			swept
UP001205105	Chlorella ohadii	2649997	11249	viridiplantae			swept
UP001206925	Ambrosia artemisiifolia (Common ragweed)	4212	33735	viridiplantae			swept
UP001210211	Rhynchospora tenuis	198213	21516	viridiplantae			swept
UP001222027	Ensete ventricosum (Abyssinian banana) (Musa ensete)	4639	34908	viridiplantae			swept
UP001227230	Vitis vinifera (Grape)	29760	33207	viridiplantae			swept
UP001229421	Tagetes erecta (African marigold)	13708	35583	viridiplantae			swept
UP001231189	Lolium multiflorum (Italian ryegrass) (Lolium perenne subsp. multiflorum)	4521	67259	viridiplantae			swept
UP001234297	Persea americana (Avocado)	3435	42442	viridiplantae			swept
UP001234989	Solanum verrucosum	315347	53032	viridiplantae			swept
UP001237642	Heracleum sosnowskyi	360622	53712	viridiplantae			swept
UP001244341	Tetradesmus obliquus (Green alga) (Acutodesmus obliquus)	3088	16114	viridiplantae			swept
UP001255856	Prototheca wickerhamii	3111	5452	viridiplantae			swept
UP001279734	Nepenthes gracilis (Slender pitcher plant)	150966	33982	viridiplantae			swept
UP001280121	Dipteronia dyeriana	168575	32504	viridiplantae			swept
UP001281410	Dipteronia sinensis	43782	32987	viridiplantae			swept
UP001289374	Sesamum angolense	2727404	31130	viridiplantae			swept
UP001291623	Anisodus tanguticus	243964	44051	viridiplantae			swept
UP001291926	Penstemon davidsonii	160366	16871	viridiplantae			swept
UP001293254	Sesamum alatum	300844	29783	viridiplantae			swept
UP001293593	Acacia crassicarpa (northern wattle)	499986	33784	viridiplantae			swept
UP001311915	Solanum pinnatisectum (tansyleaf nightshade)	50273	34180	viridiplantae			swept
UP001314170	Dovyalis caffra	77055	27325	viridiplantae			swept
UP001314263	Coccomyxa viridis	1274662	11115	viridiplantae			swept
UP001318860	Rehmannia glutinosa (Chinese foxglove)	99300	49262	viridiplantae			swept
UP001324115	Quercus rubra (Northern red oak) (Quercus borealis)	3512	40816	viridiplantae			swept
UP001327560	Canna indica (Indian-shot)	4628	29410	viridiplantae			swept
UP001341281	Paspalum notatum var. saurae	547442	50017	viridiplantae			swept
UP001341840	Stylosanthes scabra	79078	121503	viridiplantae			swept
UP001346149	Trapa natans (Water chestnut)	22666	32149	viridiplantae			swept
UP001359559	Clitoria ternatea (Butterfly pea)	43366	26876	viridiplantae			swept
UP001367508	Canavalia gladiata (Sword bean) (Dolichos gladiatus)	3824	34082	viridiplantae			swept
UP001370490	Dillenia turbinata	194707	36788	viridiplantae			swept
UP001371456	Solanum bulbocastanum (Ornamental nightshade)	147425	30396	viridiplantae			swept
UP001372338	Crotalaria pallida (Smooth rattlebox) (Crotalaria striata)	3830	33091	viridiplantae			swept
UP001374535	Vigna mungo (Black gram) (Phaseolus mungo)	3915	37670	viridiplantae			swept
UP001374584	Phaseolus coccineus (Scarlet runner bean) (Phaseolus multiflorus)	3886	29253	viridiplantae			swept
UP001386955	Psophocarpus tetragonolobus (Winged bean) (Dolichos tetragonolobus)	3891	27252	viridiplantae			swept
UP001396334	Hibiscus sabdariffa (roselle)	183260	86344	viridiplantae			swept
UP001408789	Deinandra increscens subsp. villosa	3103831	31785	viridiplantae			swept
UP001412067	Platanthera guangdongensis	2320717	22280	viridiplantae			swept
UP001415857	Liquidambar formosana (Formosan gum)	63359	27652	viridiplantae			swept
UP001417504	Stephania japonica	461633	26629	viridiplantae			swept
UP001418222	Platanthera zijinensis	2320716	24050	viridiplantae			swept
UP001419268	Stephania cephalantha	152367	30910	viridiplantae			swept
UP001420932	Stephania yunnanensis	152371	31830	viridiplantae			swept
UP001428341	Citrus x changshan-huyou	2935761	29234	viridiplantae			swept
UP001438707	Apatococcus lobatus	904363	12385	viridiplantae			swept
UP001443914	Saponaria officinalis (Common soapwort) (Lychnis saponaria)	3572	43544	viridiplantae			swept
UP001445335	Elliptochloris bilobata	381761	9538	viridiplantae			swept
UP001454036	Lithospermum erythrorhizon (Purple gromwell) (Lithospermum officinale var. erythrorhizon)	34254	44024	viridiplantae			swept
UP001457282	Rubus argutus (Southern blackberry)	59490	39955	viridiplantae			swept
UP001459277	Lithocarpus litseifolius	425828	35004	viridiplantae			swept
UP001465755	Symbiochloris irregularis	706552	11670	viridiplantae			swept
UP001472677	Hibiscus sabdariffa (roselle)	183260	78072	viridiplantae			swept
UP001472866	Chloropicon roscoffensis	1461544	9008	viridiplantae			swept
UP001485043	Apatococcus fuscideae	2026836	13765	viridiplantae			swept
UP001489004	[Myrmecia] bisecta	41462	13410	viridiplantae			swept
UP001491310	Coccomyxa subellipsoidea	248742	10452	viridiplantae			swept
UP001497392	Coccomyxa viridis	1274662	11604	viridiplantae			swept
UP001497444	Sphagnum jensenii	128206	28014	viridiplantae			swept
UP001497457	Urochloa decumbens	240449	135058	viridiplantae			swept
UP001497480	Lupinus luteus (European yellow lupine)	3873	36009	viridiplantae			swept
UP001497512	Sphagnum troendelagicum	128251	23964	viridiplantae			swept
UP001497516	Linum trigynum	586398	57652	viridiplantae			swept
UP001515500	Dioscorea cayennensis subsp. rotundata (White Guinea yam) (Dioscorea rotundata)	55577	29250	viridiplantae			swept
UP001552299	Dendrobium thyrsiflorum (Pinecone-like raceme dendrobium) (Orchid)	117978	26289	viridiplantae			swept
UP001558713	Cardamine amara subsp. amara	228776	36381	viridiplantae			swept
UP001567538	Salvia divinorum (Maria pastora) (Diviner's sage)	28513	38681	viridiplantae			swept
UP001603857	Flemingia macrophylla	520843	33069	viridiplantae			swept
UP001604277	Forsythia ovata	205694	53950	viridiplantae			swept
