accession	verdict	rule	evidence	kingdom	phylum	lineage_class	species	taxon_id	gene	protein_name	length	source	call_by	itpr_score	ryr_score	rel_margin	itpr_positions	fragment	protein_existence	reviewed	pfams	n_embl	n_proteomes	out_kingdom_best	out_kingdom_pident	out_kingdom_qcov	out_kingdom_group	within_best	within_pident	within_group
A0A1X2IXV9	real_gene	R6	2651 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 24.2 % (A0A8S4Q492, Metazoa (non-vertebrate)); nearest within-kingdom 79.4 %	Fungi	Mucoromycota	other_early_diverging	Absidia repens	90262	BCR42DRAFT_402338	Uncharacterized protein	2651	census_v3+s20_sweep:fungi	both	1263.7	369.8	0.7074	2609		Predicted	0	PF08709;PF00520;PF02815;PF08454;	1	1	A0A8S4Q492	24.2	0.69	Metazoa (non-vertebrate)	A0A168RJ50	79.4	Fungi
A0A1Y1XHY3	real_gene	R6	2495 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 24.2 % (A0A8S4Q492, Metazoa (non-vertebrate)); nearest within-kingdom 86.7 %	Fungi	Basidiobolomycota	other_early_diverging	Basidiobolus meristosporus CBS 931.73	1314790	K493DRAFT_341790	Uncharacterized protein	2495	census_v3+s20_sweep:fungi	both	1889.0	361.3	0.8087	2528		Predicted	0	PF08709;PF00520;PF02815;PF08454;PF01365;	1	1	A0A8S4Q492	24.2	0.962	Metazoa (non-vertebrate)	A0ABR2W6A1	86.7	Fungi
A0A1Y1YQ92	real_gene	R6	2278 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 29.8 % (L8GF85, Amoebozoa); nearest within-kingdom 79.1 %	Fungi	Basidiobolomycota	other_early_diverging	Basidiobolus meristosporus CBS 931.73	1314790	K493DRAFT_348021	MIR domain-containing protein	2278	census_v3+s20_sweep:fungi	both	1647.1	431.2	0.7382	2289		Inferred from homology	0	PF08709;PF00520;PF02815;PF08454;PF01365;	1	1	L8GF85	29.8	0.373	Amoebozoa	A0ABR2W6A1	79.1	Fungi
A0A1Y2B255	real_gene	R6	3246 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 33.2 % (L8GF85, Amoebozoa); nearest within-kingdom 54.8 %	Fungi	Chytridiomycota	other_early_diverging	Rhizoclosmatium globosum	329046	BCR33DRAFT_724882	MIR domain-containing protein	3246	census_v3+s20_sweep:fungi	both	1361.5	400.5	0.7058	2601		Predicted	0	PF08709;PF00520;PF02815;PF08454;PF01365;	1	1	L8GF85	33.2	0.156	Amoebozoa	A0A507FK04	54.8	Fungi
A0A2J8AAQ9	real_gene	R6	2680 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 22.6 % (A0AA97JSQ0, Vertebrata); nearest within-kingdom 56.0 %	Viridiplantae	Chlorophyta	green_alga	Tetrabaena socialis	47790	TSOC_003768	Inositol 1,4,5-trisphosphate receptor type 2	2680	census_v3+s20_sweep:viridiplantae	both	533.4	61.0	0.8856	2013		Predicted	0	PF08709;PF08454;PF01365;	1	1	A0AA97JSQ0	22.6	0.326	Vertebrata	A0A150GRF6	56.0	Viridiplantae
A0A2K3CTW4	real_gene	R6	3210 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 21.6 % (A0AAW0TKI5, Metazoa (non-vertebrate)); nearest within-kingdom 92.7 %	Viridiplantae	Chlorophyta	green_alga	Chlamydomonas reinhardtii (Chlamydomonas smithii)	3055	CHLRE_16g665450v5	MIR domain-containing protein	3210	census_v3+s20_sweep:viridiplantae	both	705.3	124.0	0.8242	2375		Predicted	0	PF08709;PF00520;PF02815;PF08454;PF01365;	1	1	A0AAW0TKI5	21.6	0.35	Metazoa (non-vertebrate)	A0A835TB45	92.7	Viridiplantae
A0A367KEP6	fragment	R5	UniProt flags it a fragment; 1501 aa against the 2000 aa family floor	Fungi	Mucoromycota	other_early_diverging	Rhizopus stolonifer (Rhizopus nigricans)	4846	CU098_000902	RyR/IP3R Homology associated domain-containing protein	1501	census_v3+s20_sweep:fungi	profile	447.9	43.7	0.9024	1457	fragment	Predicted	0	PF08454;	1	1	A0A8B8F144	20.7	0.755	Metazoa (non-vertebrate)	A0A1C7NSC1	64.9	Fungi
A0A433QY11	real_gene	R6	2599 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 23.6 % (A0AAN9C066, Metazoa (non-vertebrate)); nearest within-kingdom 45.1 %	Fungi	Mucoromycota	other_early_diverging	Jimgerdemannia flammicorona	994334	BC938DRAFT_479224	MIR domain-containing protein	2599	census_v3+s20_sweep:fungi	both	1348.6	347.8	0.7421	2405		Inferred from homology	0	PF08709;PF00520;PF02815;PF08454;PF01365;	1	1	A0AAN9C066	23.6	0.943	Metazoa (non-vertebrate)	A0ABR3B852	45.1	Fungi
A0A4P9W363	fragment	R5	756 aa against the 2000 aa family floor	Fungi	Chytridiomycota	other_early_diverging	Blyttiomyces helicus	388810	BDK51DRAFT_47624	RyR and IP3R homology associated-domain-containing protein	756	census_v3+s20_sweep:fungi	profile	357.4	111.7	0.6875	561		Predicted	0	PF08454;	1	1	A0A9W3AWE7	26.0	0.776	Metazoa (non-vertebrate)	A0ABR4NID5	51.0	Fungi
A0A4P9Y2S6	fragment	R5	1019 aa against the 2000 aa family floor	Fungi	Zoopagomycota	other_early_diverging	Piptocephalis cylindrospora	1907219	BJ684DRAFT_20267	Ion transport domain-containing protein	1019	census_v3+s20_sweep:fungi	profile	595.3	284.1	0.5228	762		Predicted	0	PF00520;PF08454;	1	1	L8GF85	32.9	0.488	Amoebozoa	A0ABR2WSE9	50.4	Fungi
A0A507FK04	real_gene	R6	3329 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 33.5 % (L8GF85, Amoebozoa); nearest within-kingdom 55.1 %	Fungi	Chytridiomycota	other_early_diverging	Chytriomyces confervae	246404	CcCBS67573_g02688	MIR domain-containing protein	3329	census_v3+s20_sweep:fungi	both	1324.3	412.1	0.6888	2429		Predicted	0	PF08709;PF00520;PF02815;PF08454;PF01365;	1	1	L8GF85	33.5	0.152	Amoebozoa	A0A1Y2B255	55.1	Fungi
A0A830HJY1	fragment	R5	1662 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Pycnococcus provasolii	41880	PPROV_000485700	Ion transport domain-containing protein	1662	census_v3+s20_sweep:viridiplantae	profile	386.9	125.0	0.6769	1055		Predicted	0	PF00520;PF08454;	1	1	A0AAD5PX35	27.1	0.184	Metazoa (non-vertebrate)	A0AAE0GX54	38.8	Viridiplantae
A0A830HKN8	fragment	R5	534 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Pycnococcus provasolii	41880	PPROV_000485800	Inositol 1,4,5-trisphosphate receptor type 1	534	census_v3+s20_sweep:viridiplantae	profile	128.9	0.0	1.0	475		Predicted	0	PF01365;	1	1	A0A0N0BFT7	24.1	0.539	Metazoa (non-vertebrate)	A0AAE0H2Q1	30.3	Viridiplantae
A0A835TB45	real_gene	R6	3182 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 20.9 % (A0A8C3LVG9, Vertebrata); nearest within-kingdom 92.8 %	Viridiplantae	Chlorophyta	green_alga	Chlamydomonas incerta	51695	HXX76_003529	MIR domain-containing protein	3182	census_v3+s20_sweep:viridiplantae	both	683.9	129.5	0.8106	2335		Predicted	0	PF08709;PF00520;PF08454;PF01365;	1	1	A0A8C3LVG9	20.9	0.289	Vertebrata	A0A2K3CTW4	92.8	Viridiplantae
A0A835Y1X9	real_gene	R6	3268 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 23.2 % (A0A2K5CJU2, Vertebrata); nearest within-kingdom 60.7 %	Viridiplantae	Chlorophyta	green_alga	Edaphochlamys debaryana	47281	HYH03_010506	MIR domain-containing protein	3268	census_v3+s20_sweep:viridiplantae	both	658.6	158.2	0.7598	2359		Predicted	0	PF08709;PF00520;PF08454;PF01365;	1	1	A0A2K5CJU2	23.2	0.288	Vertebrata	A0A150GRF6	60.7	Viridiplantae
A0A836B9Y3	real_gene	R6	3219 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 21.9 % (A0A2I2YWP0, Vertebrata); nearest within-kingdom 90.1 %	Viridiplantae	Chlorophyta	green_alga	Chlamydomonas schloesseri	2026947	HYH02_003409	MIR domain-containing protein	3219	census_v3+s20_sweep:viridiplantae	both	717.6	129.6	0.8194	2448		Predicted	0	PF08709;PF00520;PF08454;PF01365;	1	1	A0A2I2YWP0	21.9	0.293	Vertebrata	A0A2K3CTW4	90.1	Viridiplantae
A0A8H7BU48	real_gene	R6	2391 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 22.4 % (A0AAN9C066, Metazoa (non-vertebrate)); nearest within-kingdom 69.0 %	Fungi	Mucoromycota	other_early_diverging	Apophysomyces ossiformis	679940	EC973_001941	Uncharacterized protein	2391	census_v3+s20_sweep:fungi	both	1152.1	387.4	0.6637	2362		Inferred from homology	0	PF08709;PF00520;PF02815;PF08454;PF01365;	1	1	A0AAN9C066	22.4	0.82	Metazoa (non-vertebrate)	A0ABR3B852	69.0	Fungi
A0A8H7S8H6	fragment	R5	207 aa against the 2000 aa family floor	Fungi	Mucoromycota	other_early_diverging	Circinella minor	1195481	INT45_009047	MIR domain-containing protein	207	s20_sweep:fungi	profile	36.2	0.0	1.0	242		Predicted	0	PF02815;	1	1	A0ABN7SZC1	24.3	0.87	Metazoa (non-vertebrate)	A0AAD5JYY5	80.7	Fungi
A0A8H7VCW8	real_gene	R6	2604 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 22.5 % (A0A1S3H6V5, Metazoa (non-vertebrate)); nearest within-kingdom 83.1 %	Fungi	Mucoromycota	other_early_diverging	Mucor plumbeus	97098	INT46_007433	Uncharacterized protein	2604	census_v3+s20_sweep:fungi	both	1226.9	350.9	0.714	2612		Predicted	0	PF08709;PF00520;PF02815;PF08454;	1	1	A0A1S3H6V5	22.5	0.654	Metazoa (non-vertebrate)	A0AAN7D8C4	83.1	Fungi
A0A8J4BKS1	fragment	R5	UniProt flags it a fragment; 1827 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Volvox africanus	51714	Vafri_17504	Uncharacterized protein	1827	census_v3	profile	405.8	40.3	0.9007	1259	fragment	Predicted	0	PF08709;PF01365;	1	1	A0A226MIV1	21.6	0.454	Vertebrata	A0A8J4BL52	100.0	Viridiplantae
A0A8J4BL52	fragment	R5	UniProt flags it a fragment; 1944 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Volvox africanus	51714	Vafri_17504	Uncharacterized protein	1944	census_v3+s20_sweep:viridiplantae	profile	442.8	40.7	0.9081	1358	fragment	Predicted	0	PF08709;PF01365;	1	1	A0A226MIV1	21.6	0.484	Vertebrata	A0A8J4BKS1	100.0	Viridiplantae
A0A8J4D1Q5	fragment	R5	UniProt flags it a fragment; 358 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Volvox reticuliferus	1737510	Vretifemale_20889	Ion transport domain-containing protein (Fragment)	358	s20_sweep:viridiplantae	profile	129.9	92.0	0.2918	260	fragment	Predicted	0	PF00520;	1	1	A0A7J7J401	27.4	0.701	Metazoa (non-vertebrate)	A0ABQ5SNM9	90.6	Viridiplantae
A0A8J4EWX3	fragment	R5	813 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Volvox africanus	51714	Vafri_6619	Ion transport domain-containing protein	813	census_v3+s20_sweep:viridiplantae	profile	208.9	91.5	0.562	666		Predicted	0	PF00520;PF08454;	1	1	A0A1Y1XHY3	25.0	0.979	Fungi	A0ABQ5SNM9	90.9	Viridiplantae
A0A8S1J4S2	real_gene	R6	2446 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 20.5 % (A0ABR2W6A1, Fungi); nearest within-kingdom 29.9 %	Viridiplantae	Chlorophyta	green_alga	Ostreobium quekettii	121088	OSTQU699_LOCUS8069	Uncharacterized protein	2446	census_v3+s20_sweep:viridiplantae	both	652.8	180.5	0.7235	2102		Predicted	0	PF00520;PF08454;PF01365;	1	1	A0ABR2W6A1	20.5	0.869	Fungi	A0ABQ5SNM9	29.9	Viridiplantae
A0A9W6C1N2	real_gene	R6	3372 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 22.6 % (H2QLZ4, Vertebrata); nearest within-kingdom 70.5 %	Viridiplantae	Chlorophyta	green_alga	Pleodorina starrii	330485	PLEST011099	Ryanodine receptor 1	3372	census_v3+s20_sweep:viridiplantae	both	618.2	134.3	0.7828	2110		Predicted	0	PF08709;PF00520;PF08454;PF01365;	1	1	H2QLZ4	22.6	0.27	Vertebrata	A0ABQ5SNM9	70.5	Viridiplantae
A0AAD3HMG2	fragment	R5	UniProt flags it a fragment; 2540 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Astrephomene gubernaculifera	47775	Agub_g7473	Uncharacterized protein	2540	census_v3+s20_sweep:viridiplantae	profile	440.2	94.3	0.7858	1747	fragment	Predicted	0	PF00520;PF08454;	1	1	A0A0S4JGF0	28.9	0.094	Discoba	A0A835TB45	49.2	Viridiplantae
A0AAD5JYY5	fragment	R5	206 aa against the 2000 aa family floor	Fungi	Mucoromycota	other_early_diverging	Phascolomyces articulosus	60185	BDA99DRAFT_511573	MIR motif-containing protein	206	s20_sweep:fungi	profile	35.2	0.0	1.0	204		Predicted	0	PF02815;	1	1	A0A914RMR8	29.8	0.66	Metazoa (non-vertebrate)	A0A8H7S8H6	83.1	Fungi
A0AAD5K078	real_gene	R6	2588 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 23.5 % (A0A433UB23, Metazoa (non-vertebrate)); nearest within-kingdom 66.0 %	Fungi	Mucoromycota	other_early_diverging	Phascolomyces articulosus	60185	BDA99DRAFT_575816	Uncharacterized protein	2588	census_v3+s20_sweep:fungi	both	1308.4	396.8	0.6967	2440		Inferred from homology	0	PF08709;PF00520;PF02815;PF08454;PF01365;	1	1	A0A433UB23	23.5	0.954	Metazoa (non-vertebrate)	A0AAD7UQL8	66.0	Fungi
A0AAD5SYU5	fragment	R5	UniProt flags it a fragment; 2858 aa against the 2000 aa family floor	Fungi	Chytridiomycota	other_early_diverging	Physocladia obscura	109957	HK100_001428	Uncharacterized protein	2858	census_v3+s20_sweep:fungi	both	913.3	170.4	0.8134	2236	fragment	Predicted	0	PF08709;PF02815;PF08454;PF01365;	1	1	A0AAN9C066	25.6	0.192	Metazoa (non-vertebrate)	A0A1Y2B255	53.4	Fungi
A0AAD5U2Z8	fragment	R5	UniProt flags it a fragment; 1920 aa against the 2000 aa family floor	Fungi	Chytridiomycota	other_early_diverging	Clydaea vesicula	447962	HK099_002047	Uncharacterized protein	1920	census_v3+s20_sweep:fungi	profile	398.1	0.0	1.0	1761	fragment	Predicted	0	PF08709;PF08454;PF01365;	1	1	A0A812ETH3	21.6	0.66	Metazoa (non-vertebrate)	A0AAD5XWK9	26.7	Fungi
A0AAD5U9K5	real_gene	R6	2759 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 30.5 % (L8GF85, Amoebozoa); nearest within-kingdom 29.7 %	Fungi	Chytridiomycota	other_early_diverging	Clydaea vesicula	447962	HK099_005063	Inositol 1,4,5-trisphosphate receptor	2759	census_v3+s20_sweep:fungi	both	1156.3	357.9	0.6905	2445		Predicted	0	PF08709;PF00520;PF02815;PF08454;PF01365;	1	1	L8GF85	30.5	0.292	Amoebozoa	A0ABR2W6A1	29.7	Fungi
A0AAD5XWK9	real_gene	R6	2327 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 20.5 % (A0A6J7ZXT9, Metazoa (non-vertebrate)); nearest within-kingdom 26.6 %	Fungi	Chytridiomycota	other_early_diverging	Clydaea vesicula	447962	HK099_002856	Uncharacterized protein	2327	census_v3+s20_sweep:fungi	profile	420.0	120.2	0.7138	1841		Predicted	0	PF08454;PF01365;	1	1	A0A6J7ZXT9	20.5	0.437	Metazoa (non-vertebrate)	A0AAD5U2Z8	26.6	Fungi
A0AAD7UQL8	real_gene	R6	2610 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 23.1 % (A0AAN9C066, Metazoa (non-vertebrate)); nearest within-kingdom 66.3 %	Fungi	Mucoromycota	other_early_diverging	Lichtheimia ornata	688661	O0I10_012669	Inositol 1,4,5-trisphosphate receptor type 3	2610	census_v3+s20_sweep:fungi	both	1300.3	387.4	0.7021	2448		Predicted	0	PF08709;PF00520;PF02815;PF08454;	1	1	A0AAN9C066	23.1	0.945	Metazoa (non-vertebrate)	A0AAD5K078	66.3	Fungi
A0AAE0BBD3	real_gene	R6	2899 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 20.6 % (K9J457, Vertebrata); nearest within-kingdom 98.0 %	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_56220	MIR domain-containing protein	2899	census_v3	both	1010.3	137.7	0.8637	2268		Predicted	0	PF08709;PF08454;PF01365;	1	1	K9J457	20.6	0.485	Vertebrata	A0AAE0BCU2	98.0	Viridiplantae
A0AAE0BCU2	real_gene	R6	2953 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 19.9 % (A0A2U3Y2Z3, Vertebrata); nearest within-kingdom 98.0 %	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_56220	MIR domain-containing protein	2953	census_v3+s20_sweep:viridiplantae	both	1039.4	151.8	0.854	2268		Predicted	0	PF08709;PF08454;PF01365;	1	1	A0A2U3Y2Z3	19.9	0.505	Vertebrata	A0AAE0BBD3	98.0	Viridiplantae
A0AAE0BXW2	fragment	R5	UniProt flags it a fragment; 1512 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_45622	Uncharacterized protein (Fragment)	1512	s20_sweep:viridiplantae	profile	126.8	0.0	1.0	655	fragment	Predicted	0		1	1	A0ACB7S0Q7	21.9	0.333	Metazoa (non-vertebrate)	A0AAE0FNT5	27.3	Viridiplantae
A0AAE0CB19	fragment	R5	1466 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_39992	MIR domain-containing protein	1466	census_v3+s20_sweep:viridiplantae	profile	297.4	58.8	0.8023	1106		Predicted	0	PF08709;PF02815;PF01365;	1	1	A0ABD2A0Z0	29.3	0.246	Metazoa (non-vertebrate)	A0AAE0F1H0	26.7	Viridiplantae
A0AAE0CFQ3	fragment	R5	1592 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_36573	RyR/IP3R Homology associated domain-containing protein	1592	census_v3+s20_sweep:viridiplantae	profile	226.3	0.0	1.0	891		Predicted	0	PF08454;	1	1	A0ACC2TPX2	24.1	0.177	Fungi	A0AAE0KPX7	98.0	Viridiplantae
A0AAE0ENM3	fragment	R5	493 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_54538	Uncharacterized protein	493	s20_sweep:viridiplantae	profile	234.0	75.6	0.6769	427		Predicted	0		1	1	A0ABP1R053	28.9	0.521	Metazoa (non-vertebrate)	A0AAE0EZ22	100.0	Viridiplantae
A0AAE0ESH2	real_gene	R6	3164 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 28.4 % (A0A6G0WFQ1, SAR); nearest within-kingdom 100.0 %	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_51330	RIH domain-containing protein	3164	census_v3+s20_sweep:viridiplantae	profile	425.2	120.9	0.7157	1688		Predicted	0	PF01365;	1	1	A0A6G0WFQ1	28.4	0.078	SAR	A0AAE0ETT8	100.0	Viridiplantae
A0AAE0ET13	real_gene	R6	2660 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 20.4 % (A0A7M5V9X5, Metazoa (non-vertebrate)); nearest within-kingdom 30.8 %	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_50243	MIR domain-containing protein	2660	census_v3+s20_sweep:viridiplantae	both	631.2	66.2	0.8951	1919		Inferred from homology	0	PF08709;PF02815;PF08454;PF01365;	1	1	A0A7M5V9X5	20.4	0.582	Metazoa (non-vertebrate)	A0AAE0BCU2	30.8	Viridiplantae
A0AAE0ETT8	real_gene	R6	3163 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 28.4 % (A0A6G0WFQ1, SAR); nearest within-kingdom 100.0 %	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_51330	RIH domain-containing protein	3163	census_v3	profile	424.8	120.6	0.7161	1688		Predicted	0	PF01365;	1	1	A0A6G0WFQ1	28.4	0.078	SAR	A0AAE0ESH2	100.0	Viridiplantae
A0AAE0EYG5	fragment	R5	UniProt flags it a fragment; 616 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_45277	MIR domain-containing protein	616	census_v3+s20_sweep:viridiplantae	profile	192.7	66.5	0.6549	389	fragment	Predicted	0	PF08709;PF02815;	1	1	L8GF85	23.4	0.683	Amoebozoa	A0AAE0GZ30	34.8	Viridiplantae
A0AAE0EZ22	real_gene	R6	2761 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 21.6 % (A0A8B7ZNI0, Metazoa (non-vertebrate)); nearest within-kingdom 99.9 %	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_44432	MIR domain-containing protein	2761	census_v3+s20_sweep:viridiplantae	both	901.9	111.4	0.8765	2136		Predicted	0	PF08709;PF08454;PF01365;	1	1	A0A8B7ZNI0	21.6	0.573	Metazoa (non-vertebrate)	A0AAE0GZ30	99.9	Viridiplantae
