accession	organism	vclass	cell	ledger_status	base_state	base_rule	recon_coverage	recon_n_contigs	n_spare_itpr_loci	contig_spans_gene	n_settings_absent	n_settings	loosest_evidence	needs_r5_off	needs_r6_off	released_by	base_reason
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.7189	5	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.72 of the reference reassembled from 5 contigs outside every locus the aligner found, bar 0.137
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	present_fragmented	R4	0.7581	12	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.76 of the reference reassembled from 12 contigs outside every locus the aligner found, bar 0.137
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.594	12	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.59 of the reference reassembled from 12 contigs outside every locus the aligner found, bar 0.137
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.8859	7	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.89 of the reference reassembled from 7 contigs outside every locus the aligner found, bar 0.137
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.7211	7	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.72 of the reference reassembled from 7 contigs outside every locus the aligner found, bar 0.137
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR3	tblastn_trace	present_fragmented	R4	0.794	5	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.79 of the reference reassembled from 5 contigs outside every locus the aligner found, bar 0.137
GCA_013398795.1	Elachura formosa	Aves	ITPR3	tblastn_trace	present_fragmented	R4	0.8169	2	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.82 of the reference reassembled from 2 contigs outside every locus the aligner found, bar 0.137
GCA_013400445.1	Leiothrix lutea	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.7262	5	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.73 of the reference reassembled from 5 contigs outside every locus the aligner found, bar 0.137
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.8359	9	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.84 of the reference reassembled from 9 contigs outside every locus the aligner found, bar 0.137
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.7419	5	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.74 of the reference reassembled from 5 contigs outside every locus the aligner found, bar 0.137
GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.89	8	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.89 of the reference reassembled from 8 contigs outside every locus the aligner found, bar 0.137
GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.8539	5	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.85 of the reference reassembled from 5 contigs outside every locus the aligner found, bar 0.137
GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR3	tblastn_trace	present_fragmented	R4	0.6172	5	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.62 of the reference reassembled from 5 contigs outside every locus the aligner found, bar 0.137
GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR3	tblastn_trace	present_fragmented	R4	0.6603	10	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.66 of the reference reassembled from 10 contigs outside every locus the aligner found, bar 0.137
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.9537	5	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.95 of the reference reassembled from 5 contigs outside every locus the aligner found, bar 0.137
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	present_fragmented	R4	0.9251	4	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.93 of the reference reassembled from 4 contigs outside every locus the aligner found, bar 0.137
GCA_013397295.1	Polioptila caerulea	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.9306	3	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.93 of the reference reassembled from 3 contigs outside every locus the aligner found, bar 0.137
GCA_013399775.1	Semnornis frantzii	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.9449	5	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.94 of the reference reassembled from 5 contigs outside every locus the aligner found, bar 0.137
GCA_013399775.1	Semnornis frantzii	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.9589	4	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.96 of the reference reassembled from 4 contigs outside every locus the aligner found, bar 0.137
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.9403	6	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.94 of the reference reassembled from 6 contigs outside every locus the aligner found, bar 0.137
GCF_000690535.1	Cariama cristata	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.9404	3	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.94 of the reference reassembled from 3 contigs outside every locus the aligner found, bar 0.137
GCF_000690775.1	Eurypyga helias	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.9519	10	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.95 of the reference reassembled from 10 contigs outside every locus the aligner found, bar 0.137
GCF_000700745.2	Antrostomus carolinensis	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.9519	5	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.95 of the reference reassembled from 5 contigs outside every locus the aligner found, bar 0.137
GCF_000703405.1	Apaloderma vittatum	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.9205	4	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.92 of the reference reassembled from 4 contigs outside every locus the aligner found, bar 0.137
GCF_000703405.1	Apaloderma vittatum	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.9396	5	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.94 of the reference reassembled from 5 contigs outside every locus the aligner found, bar 0.137
GCF_000705375.1	Tinamus guttatus	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.953	6	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.95 of the reference reassembled from 6 contigs outside every locus the aligner found, bar 0.137
GCF_000710305.1	Buceros rhinoceros silvestris	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.9176	6	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.92 of the reference reassembled from 6 contigs outside every locus the aligner found, bar 0.137
GCF_000710305.1	Buceros rhinoceros silvestris	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.9544	6	0	0	6	32	no_recon	0	1	evidence=no_recon; R6 off (D4)	0.95 of the reference reassembled from 6 contigs outside every locus the aligner found, bar 0.137
GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.1866	6	1	0	5	32	recon_half	1	1	evidence=recon_half; R5 off (D45); R6 off (D4)	0.19 of the reference reassembled from 6 contigs outside every locus the aligner found, bar 0.137
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.2355	7	4	0	5	32	recon_half	1	1	evidence=recon_half; R5 off (D45); R6 off (D4)	0.24 of the reference reassembled from 7 contigs outside every locus the aligner found, bar 0.137
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.2703	9	4	0	5	32	recon_half	1	1	evidence=recon_half; R5 off (D45); R6 off (D4)	0.27 of the reference reassembled from 9 contigs outside every locus the aligner found, bar 0.137
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.2434	9	1	0	5	32	recon_half	1	1	evidence=recon_half; R5 off (D45); R6 off (D4)	0.24 of the reference reassembled from 9 contigs outside every locus the aligner found, bar 0.137
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR3	tblastn_trace	present_fragmented	R4	0.4929	11	1	0	5	32	recon_half	1	1	evidence=recon_half; R5 off (D45); R6 off (D4)	0.49 of the reference reassembled from 11 contigs outside every locus the aligner found, bar 0.137
GCA_013401035.1	Horornis vulcanius	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.2565	7	4	0	5	32	recon_half	1	1	evidence=recon_half; R5 off (D45); R6 off (D4)	0.26 of the reference reassembled from 7 contigs outside every locus the aligner found, bar 0.137
GCA_900312595.1	Guentherus altivela	Actinopteri	ITPR2	tblastn_trace	present_fragmented	R4	0.3502	6	1	0	5	32	recon_half	1	1	evidence=recon_half; R5 off (D45); R6 off (D4)	0.35 of the reference reassembled from 6 contigs outside every locus the aligner found, bar 0.137
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	fragment	present_partial	R3	0	0	0	0	4	32	locus_only	0	1	evidence=locus_only; R6 off (D4)	locus at coverage 0.39 with no assembly excuse
GCA_000699945.1	Cathartes aura	Aves	ITPR2	fragment	present_partial	R3	0	0	0	0	4	32	locus_only	0	1	evidence=locus_only; R6 off (D4)	locus at coverage 0.38 with no assembly excuse
GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR3	tblastn_trace	present_fragmented	R4	0.6587	10	1	0	4	32	recon_strict	1	1	evidence=recon_strict; R5 off (D45); R6 off (D4)	0.66 of the reference reassembled from 10 contigs outside every locus the aligner found, bar 0.137
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR3	fragment	present_partial	R3	0	0	1	1	4	32	locus_only	1	0	evidence=locus_only; R5 off (D45)	locus at coverage 0.69 with no assembly excuse
GCF_000695765.1	Mesitornis unicolor	Aves	ITPR2	fragment	present_partial	R3	0	0	0	0	4	32	locus_only	0	1	evidence=locus_only; R6 off (D4)	locus at coverage 0.61 with no assembly excuse
GCF_000695815.1	Acanthisitta chloris	Aves	ITPR2	fragment	present_partial	R3	0	0	0	0	4	32	locus_only	0	1	evidence=locus_only; R6 off (D4)	locus at coverage 0.61 with no assembly excuse
GCF_000699245.1	Pterocles gutturalis	Aves	ITPR2	fragment	present_partial	R3	0	0	0	0	4	32	locus_only	0	1	evidence=locus_only; R6 off (D4)	locus at coverage 0.62 with no assembly excuse
GCA_013396975.1	Bucco capensis	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.9693	5	1	0	3	32	no_recon	1	1	evidence=no_recon; R5 off (D45); R6 off (D4)	0.97 of the reference reassembled from 5 contigs outside every locus the aligner found, bar 0.137
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.33, truncated at a contig edge or an N-run
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR1	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.58, truncated at a contig edge or an N-run
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR2	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.56, truncated at a contig edge or an N-run
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR3	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.59, truncated at a contig edge or an N-run
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.53, truncated at a contig edge or an N-run
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.64, truncated at a contig edge or an N-run
GCA_013396935.1	Baryphthengus martii	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.67, truncated at a contig edge or an N-run
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.62, truncated at a contig edge or an N-run
GCA_013398835.1	Emberiza fucata	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.62, truncated at a contig edge or an N-run
GCA_013398935.1	Ceuthmochares aereus	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.47, truncated at a contig edge or an N-run
GCA_013399565.1	Podilymbus podiceps	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.66, truncated at a contig edge or an N-run
GCA_013399735.1	Tyrannus savana	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.57, truncated at a contig edge or an N-run
GCA_013400075.1	Hippolais icterina	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.52, truncated at a contig edge or an N-run
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR2	fragment	present_partial	R3	0	0	4	0	2	32	locus_only	1	1	evidence=locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.19 with no assembly excuse
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.56, truncated at a contig edge or an N-run
GCA_013400815.1	Centropus bengalensis	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.50, truncated at a contig edge or an N-run
GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.63, truncated at a contig edge or an N-run
GCA_013401255.1	Urocolius indicus	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.66, truncated at a contig edge or an N-run
GCA_013401255.1	Urocolius indicus	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.58, truncated at a contig edge or an N-run
GCA_013401315.1	Balaeniceps rex	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.47, truncated at a contig edge or an N-run
GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.20, truncated at a contig edge or an N-run
GCA_951230385.1	Staurois parvus	Amphibia	ITPR2	assembly_gap	present_truncated	R2	0	0	2	1	2	32	full_locus_only	1	0	evidence=full_locus_only; R5 off (D45)	locus at coverage 0.49, truncated at a contig edge or an N-run
GCA_951230385.1	Staurois parvus	Amphibia	ITPR3	assembly_gap	present_truncated	R2	0	0	2	1	2	32	full_locus_only	1	0	evidence=full_locus_only; R5 off (D45)	locus at coverage 0.70, truncated at a contig edge or an N-run
GCF_000696875.1	Nestor notabilis	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.62, truncated at a contig edge or an N-run
GCF_000705375.1	Tinamus guttatus	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	0	0	2	32	full_locus_only	0	1	evidence=full_locus_only; R6 off (D4)	locus at coverage 0.57, truncated at a contig edge or an N-run
GCF_042186555.1	Aquarana catesbeiana	Amphibia	ITPR1	assembly_gap	present_truncated	R2	0	0	1	1	2	32	full_locus_only	1	0	evidence=full_locus_only; R5 off (D45)	locus at coverage 0.55, truncated at a contig edge or an N-run
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.35, truncated at a contig edge or an N-run
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.21, truncated at a contig edge or an N-run
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.63, truncated at a contig edge or an N-run
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.53, truncated at a contig edge or an N-run
GCA_013396975.1	Bucco capensis	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.69, truncated at a contig edge or an N-run
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	2	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.52, truncated at a contig edge or an N-run
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	2	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.62, truncated at a contig edge or an N-run
GCA_013398125.1	Aegotheles bennettii	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.51, truncated at a contig edge or an N-run
GCA_013398955.1	Callaeas wilsoni	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.67, truncated at a contig edge or an N-run
GCA_013398975.1	Catharus fuscescens	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.70, truncated at a contig edge or an N-run
GCA_013399035.1	Quiscalus mexicanus	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.69, truncated at a contig edge or an N-run
GCA_013399035.1	Quiscalus mexicanus	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.56, truncated at a contig edge or an N-run
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.59, truncated at a contig edge or an N-run
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.50, truncated at a contig edge or an N-run
GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.70, truncated at a contig edge or an N-run
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	4	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.32, truncated at a contig edge or an N-run
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	4	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.17, truncated at a contig edge or an N-run
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	4	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.13, truncated at a contig edge or an N-run
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.60, truncated at a contig edge or an N-run
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	2	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.45, truncated at a contig edge or an N-run
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	2	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.47, truncated at a contig edge or an N-run
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	2	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.62, truncated at a contig edge or an N-run
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	2	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.59, truncated at a contig edge or an N-run
GCA_013401035.1	Horornis vulcanius	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	4	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.18, truncated at a contig edge or an N-run
GCA_013401035.1	Horornis vulcanius	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	4	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.20, truncated at a contig edge or an N-run
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.64, truncated at a contig edge or an N-run
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.29, truncated at a contig edge or an N-run
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.53, truncated at a contig edge or an N-run
GCA_013401295.1	Glareola pratincola	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	2	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.61, truncated at a contig edge or an N-run
GCA_014363365.1	Leucopsar rothschildi	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	6	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.50, truncated at a contig edge or an N-run
GCA_014363365.1	Leucopsar rothschildi	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	6	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.54, truncated at a contig edge or an N-run
GCA_014363365.1	Leucopsar rothschildi	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	6	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.41, truncated at a contig edge or an N-run
