accession	organism	vclass	cell	contig	coverage	identity	aligned_aa	frameshifts	stop_codons	lesion_density	verdict	cell_state	elevated	incomplete	not_live	state_reading_available	is_fossil	reading
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	QEPC01008366.1	0.9975	0.9524	2772	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	QEPC01007142.1	1	0.9338	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	QEPC01007384.1	1	0.9415	2664	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	QEPC01010682.1	0.996	0.9493	4966	0	1	0.2014	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	QEPC01001878.1	0.9968	0.738	5021	8	0	1.5933	assembly_explained	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	QEPC01010852.1	1	0.6711	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	BHFT01042859.1	0.725	0.8504	3652	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	SZQC01000012.1	1	0.9412	2779	1	0	0.3598	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	SZQC01000052.1	1	0.9404	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	SZQC01000046.1	1	0.9589	2664	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	SZQC01000381.1	0.7081	0.9043	3518	0	2	0.5685	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR1	RWJT01005793.1	1	0.9797	2758	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR2	RWJT01020497.1	1	0.9594	2701	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR3	RWJT01022005.1	1	0.9738	2671	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	RWJT01001056.1	1	0.9763	4967	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	RWJT01019646.1	1	0.7861	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	RWJT01018246.1	0.9968	0.6653	5021	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_008658365.1	Alca torda	Aves	ITPR1	CM018086.1	1	0.9903	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_008658365.1	Alca torda	Aves	ITPR2	CM018076.1	1	0.9772	2700	5	1	2.2222	elevated_lesions	present_single_locus	1	0	0	1	1	above the lesion bar with 1 internal stops
GCA_008658365.1	Alca torda	Aves	ITPR3	CM018095.1	1	0.9831	2664	15	0	5.6306	elevated_lesions	present_single_locus	1	0	0	1	0	not a fossil under any reading
GCA_008658365.1	Alca torda	Aves	RYR	CM018078.1	1	0.9847	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_008658365.1	Alca torda	Aves	RYR	CM018080.1	1	0.6768	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR1	CM020037.1	1	0.9888	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR2	CM020053.1	1	0.9767	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR3	CM020055.1	1	0.9865	2664	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	CM020031.1	0.993	0.9795	4933	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	CM020042.1	1	0.6738	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR1	CM020224.1	1	0.9928	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR2	CM020215.1	1	0.9865	2700	3	0	1.1111	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR3	CM020239.1	1	0.9899	2664	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	CM020217.1	1	0.9851	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	CM020219.1	1	0.6771	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR1	CM021215.1	1	0.9815	2758	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR2	CM021213.1	1	0.9785	2701	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR3	CM021198.1	1	0.9715	2671	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	CM021206.1	1	0.9793	4967	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	CM021195.1	1	0.7888	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	CM021203.1	1	0.6715	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	JAAKFY010000006.1	1	0.9528	2748	4	0	1.4556	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	JAAKFY010000006.1	1	0.847	2748	10	0	3.639	elevated_lesions	present_single_locus	1	0	0	1	0	not a fossil under any reading
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR2	JAAKFY010000007.1	1	0.8622	2701	4	0	1.4809	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR3	JAAKFY010000002.1	1	0.8856	2670	9	0	3.3708	elevated_lesions	present_single_locus	1	0	0	1	0	not a fossil under any reading
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	JAAKFY010000008.1	1	0.8696	4961	17	1	3.6283	elevated_lesions	not_in_matrix	1	0	0	0	1	above the lesion bar with 1 internal stops
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	JAAKFY010000013.1	0.9992	0.7975	5033	6	0	1.1921	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	JAAKFY010000020.1	1	0.7939	5037	10	0	1.9853	elevated_lesions	not_in_matrix	1	0	0	0	0	not a fossil under any reading
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	JAAKFY010000015.1	1	0.6669	4967	10	0	2.0133	elevated_lesions	not_in_matrix	1	0	0	0	0	not a fossil under any reading
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	JAAKFY010000019.1	1	0.6456	4967	8	0	1.6106	elevated_lesions	not_in_matrix	1	0	0	0	0	not a fossil under any reading
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	JAAKFY010000011.1	1	0.6069	5168	10	1	2.1285	elevated_lesions	not_in_matrix	1	0	0	0	1	above the lesion bar with 1 internal stops
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR1	VWPW01023980.1	1	0.9867	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR2	VWPW01014676.1	1	0.98	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013389825.1	Crypturellus undulatus	Aves	RYR	VWPW01022533.1	0.9386	0.9768	4663	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013389825.1	Crypturellus undulatus	Aves	RYR	VWPW01021686.1	1	0.6769	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013389885.1	Geococcyx californianus	Aves	ITPR1	VWPV01004098.1	1	0.987	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013389965.1	Todus mexicanus	Aves	ITPR3	WEIS01036230.1	1	0.9476	2670	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013389965.1	Todus mexicanus	Aves	RYR	WEIS01025216.1	0.8074	0.6968	4067	2	0	0.4918	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR1	WEIT01025007.1	1	0.9853	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR2	WEIT01016686.1	0.763	0.9456	2060	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR3	WEIT01027115.1	1	0.9925	2670	0	1	0.3745	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR1	WEIW01000372.1	1	0.9661	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR2	WEIW01000437.1	1	0.9554	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR3	WEIW01003401.1	0.9337	0.9224	2493	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013390065.1	Chloropsis hardwickii	Aves	RYR	WEIW01000007.1	1	0.9679	4968	0	1	0.2013	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013390065.1	Chloropsis hardwickii	Aves	RYR	WEIW01000336.1	1	0.6669	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013390105.1	Tichodroma muraria	Aves	ITPR3	WAAG01017736.1	1	0.9899	2670	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR1	VWPS01000057.1	1	0.9863	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR2	VWPS01000128.1	1	0.9719	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR3	VWPS01000164.1	1	0.9931	2670	1	0	0.3745	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396355.1	Menura novaehollandiae	Aves	RYR	VWPS01000054.1	0.9974	0.9788	4955	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013396355.1	Menura novaehollandiae	Aves	RYR	VWPS01000022.1	1	0.6757	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013396465.1	Smithornis capensis	Aves	ITPR1	VWYW01000920.1	0.9712	0.9856	2699	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396465.1	Smithornis capensis	Aves	ITPR2	VWYW01000229.1	1	0.9848	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396465.1	Smithornis capensis	Aves	ITPR3	VWYW01001199.1	0.8573	0.84	2289	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396465.1	Smithornis capensis	Aves	RYR	VWYW01000101.1	1	0.9783	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013396465.1	Smithornis capensis	Aves	RYR	VWYW01000072.1	1	0.6559	5037	2	0	0.3971	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR1	VWYY01001129.1	0.8395	0.9655	2333	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR2	VWYY01000731.1	0.9885	0.9798	2669	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	RYR	VWYY01000123.1	1	0.9777	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	RYR	VWYY01000118.1	1	0.6753	5037	0	1	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR1	VWZE01010273.1	0.9971	0.982	2771	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR3	VWZE01023714.1	1	0.9738	2670	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396675.1	Eubucco bourcierii	Aves	RYR	VWZE01005099.1	0.7363	0.9795	3658	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013396675.1	Eubucco bourcierii	Aves	RYR	VWZE01015450.1	1	0.6826	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR1	VWZI01023573.1	0.8178	0.9835	2249	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR3	VWZI01004865.1	1	0.9719	2670	1	0	0.3745	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396835.1	Psilopogon haemacephalus	Aves	RYR	VWZI01009657.1	1	0.6838	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013396875.1	Vireo altiloquus	Aves	ITPR1	VZRF01009815.1	1	0.9849	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396875.1	Vireo altiloquus	Aves	ITPR2	VZRF01000017.1	1	0.9796	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396875.1	Vireo altiloquus	Aves	ITPR3	VZRF01014545.1	1	0.9973	2670	1	0	0.3745	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396875.1	Vireo altiloquus	Aves	RYR	VZRF01001132.1	0.9974	0.9782	4955	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013396875.1	Vireo altiloquus	Aves	RYR	VZRF01009222.1	1	0.6724	5037	0	1	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013396935.1	Baryphthengus martii	Aves	ITPR2	VWZK01012176.1	0.9885	0.9768	2669	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396935.1	Baryphthengus martii	Aves	ITPR3	VWZK01016629.1	1	0.9771	2664	1	0	0.3754	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013396975.1	Bucco capensis	Aves	ITPR1	VWZO01019971.1	1	0.9867	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397015.1	Myiagra hebetior	Aves	ITPR1	VWZQ01007131.1	1	0.9845	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397015.1	Myiagra hebetior	Aves	ITPR2	VWZQ01006530.1	0.9885	0.982	2669	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397015.1	Myiagra hebetior	Aves	ITPR3	VWZQ01007200.1	1	0.9965	2670	1	0	0.3745	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397015.1	Myiagra hebetior	Aves	RYR	VWZQ01001806.1	0.9974	0.978	4955	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397015.1	Myiagra hebetior	Aves	RYR	VWZQ01008955.1	1	0.6748	5037	0	1	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR2	VZTB01004788.1	0.877	0.978	2368	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397295.1	Polioptila caerulea	Aves	ITPR2	VYXF01001320.1	1	0.98	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397295.1	Polioptila caerulea	Aves	ITPR3	VYXF01003972.1	1	0.9732	2670	1	0	0.3745	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397295.1	Polioptila caerulea	Aves	RYR	VYXF01004723.1	0.9974	0.977	4955	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397295.1	Polioptila caerulea	Aves	RYR	VYXF01009487.1	1	0.6768	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR1	VXBN01013252.1	1	0.9842	2779	0	1	0.3598	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR2	VXBN01011463.1	1	0.9819	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR3	VXBN01011685.1	0.9652	0.9551	2577	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397395.1	Sinosuthora webbiana	Aves	RYR	VXBN01012045.1	1	0.9773	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397395.1	Sinosuthora webbiana	Aves	RYR	VXBN01015030.1	1	0.676	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397465.1	Furnarius figulus	Aves	ITPR1	VYZD01000015.1	1	0.9853	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397465.1	Furnarius figulus	Aves	ITPR2	VYZD01000396.1	1	0.9796	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397465.1	Furnarius figulus	Aves	ITPR3	VYZD01000217.1	1	0.9888	2670	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR2	VYZC01000147.1	1	0.9819	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397495.1	Mionectes macconnelli	Aves	RYR	VYZC01000047.1	1	0.9783	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397495.1	Mionectes macconnelli	Aves	RYR	VYZC01000019.1	1	0.6711	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397535.1	Pterocles burchelli	Aves	ITPR1	VYZE01000085.1	1	0.9914	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397535.1	Pterocles burchelli	Aves	ITPR2	VYZE01000061.1	0.9885	0.9865	2669	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397535.1	Pterocles burchelli	Aves	ITPR3	VYZE01000639.1	1	0.9857	2664	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397535.1	Pterocles burchelli	Aves	RYR	VYZE01000008.1	0.993	0.9761	4933	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397635.1	Columbina picui	Aves	ITPR1	VYZG01001033.1	1	0.9773	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397635.1	Columbina picui	Aves	ITPR2	VYZG01000419.1	0.9885	0.9693	2669	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397635.1	Columbina picui	Aves	RYR	VYZG01000063.1	1	0.9732	4968	1	0	0.2013	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397635.1	Columbina picui	Aves	RYR	VYZG01000089.1	1	0.6664	5037	3	0	0.5956	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR1	VZTH01000998.1	1	0.986	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR2	VZTH01019192.1	0.9956	0.9792	2688	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR3	VZTH01008759.1	0.9652	0.9981	2577	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	VZTH01000269.1	0.9312	0.9769	4626	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	VZTH01018405.1	1	0.6732	5037	0	1	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397895.1	Origma solitaria	Aves	ITPR1	VZRL01005794.1	1	0.9856	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397895.1	Origma solitaria	Aves	ITPR2	VZRL01002161.1	0.9885	0.982	2669	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397895.1	Origma solitaria	Aves	ITPR3	VZRL01001132.1	0.7067	0.9942	1887	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397895.1	Origma solitaria	Aves	RYR	VZRL01003992.1	0.9976	0.9782	4956	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397895.1	Origma solitaria	Aves	RYR	VZRL01002523.1	1	0.6754	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397955.1	Grantiella picta	Aves	ITPR1	VZRM01002778.1	1	0.9867	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397955.1	Grantiella picta	Aves	ITPR2	VZRM01003629.1	1	0.98	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397955.1	Grantiella picta	Aves	ITPR3	VZRM01006298.1	1	0.9819	2670	1	0	0.3745	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013397955.1	Grantiella picta	Aves	RYR	VZRM01002603.1	0.9976	0.9754	4956	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013397955.1	Grantiella picta	Aves	RYR	VZRM01007608.1	1	0.6765	5037	2	0	0.3971	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013398125.1	Aegotheles bennettii	Aves	ITPR1	VZRW01010862.1	1	0.9899	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013398125.1	Aegotheles bennettii	Aves	ITPR3	VZRW01011544.1	0.708	0.9857	1886	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013398125.1	Aegotheles bennettii	Aves	RYR	VZRW01002778.1	0.9764	0.9823	4851	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013398125.1	Aegotheles bennettii	Aves	RYR	VZRW01014125.1	0.9248	0.6709	4658	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_013398155.1	Pedionomus torquatus	Aves	ITPR1	VZRU01011476.1	1	0.9824	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013398155.1	Pedionomus torquatus	Aves	ITPR2	VZRU01019648.1	0.9885	0.9809	2669	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013398155.1	Pedionomus torquatus	Aves	ITPR3	VZRU01018657.1	0.9887	0.9871	2634	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_013398155.1	Pedionomus torquatus	Aves	RYR	VZRU01009960.1	0.9974	0.9812	4955	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
