coding	character	evidence	use_r5	use_r6	branch_lengths	is_base	n_tips_scored	n_present	n_absent	n_undecided	dollo_losses_max	dollo_losses_min	gain_node	gain_rule	mk_fitted	mk_best_model	mk_loss_rate	mk_irrev_rate	mk_irrev_loglik	mk_refusal
family	ITPR_family	calibrated	1	1	unit	1	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	calibrated	1	1	unit	1	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	calibrated	1	1	unit	1	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	calibrated	1	1	unit	1	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	calibrated	1	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	calibrated	1	0	unit	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	calibrated	1	0	unit	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	calibrated	1	0	unit	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	calibrated	0	1	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	calibrated	0	1	unit	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	calibrated	0	1	unit	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130285	0.00130285	-7.6432	
paralog	ITPR3	calibrated	0	1	unit	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130285	0.00130285	-7.6432	
family	ITPR_family	calibrated	0	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	calibrated	0	0	unit	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	calibrated	0	0	unit	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130285	0.00130285	-7.6432	
paralog	ITPR3	calibrated	0	0	unit	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130285	0.00130285	-7.6432	
family	ITPR_family	gap_hi	1	1	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_hi	1	1	unit	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_hi	1	1	unit	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	gap_hi	1	1	unit	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	gap_hi	1	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_hi	1	0	unit	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_hi	1	0	unit	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	gap_hi	1	0	unit	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	gap_hi	0	1	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_hi	0	1	unit	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_hi	0	1	unit	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130285	0.00130285	-7.6432	
paralog	ITPR3	gap_hi	0	1	unit	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130285	0.00130285	-7.6432	
family	ITPR_family	gap_hi	0	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_hi	0	0	unit	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_hi	0	0	unit	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130285	0.00130285	-7.6432	
paralog	ITPR3	gap_hi	0	0	unit	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130285	0.00130285	-7.6432	
family	ITPR_family	recon_half	1	1	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_half	1	1	unit	0	309	303	0	6	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	recon_half	1	1	unit	0	309	305	0	4	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	recon_half	1	1	unit	0	309	305	0	4	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	recon_half	1	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_half	1	0	unit	0	309	303	1	5	1	1	Vertebrata	MRCA of present tips	1	irreversible	0.00130719	0.00130719	-6.9467	
paralog	ITPR2	recon_half	1	0	unit	0	309	305	1	3	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.00130208	0.00130208	-6.9506	
paralog	ITPR3	recon_half	1	0	unit	0	309	305	1	3	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.00130208	0.00130208	-6.9506	
family	ITPR_family	recon_half	0	1	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_half	0	1	unit	0	309	303	0	6	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	recon_half	0	1	unit	0	309	305	2	2	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130968	0.00130968	-7.6379	
paralog	ITPR3	recon_half	0	1	unit	0	309	305	2	2	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00130968	0.00130968	-7.6379	
family	ITPR_family	recon_half	0	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_half	0	0	unit	0	309	303	6	0	6	5	Vertebrata	MRCA of present tips	1	ARD	0.0116362	0.00779237	-30.9688	
paralog	ITPR2	recon_half	0	0	unit	0	309	305	4	0	2	2	Gnathostomata	MRCA of present tips	1	irreversible	0.00391832	0.00391832	-18.2397	
paralog	ITPR3	recon_half	0	0	unit	0	309	305	4	0	2	2	Gnathostomata	MRCA of present tips	1	irreversible	0.00391832	0.00391832	-18.2397	
family	ITPR_family	recon_strict	1	1	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_strict	1	1	unit	0	309	297	0	12	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	recon_strict	1	1	unit	0	309	300	1	8	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.00131926	0.00131926	-6.9375	
paralog	ITPR3	recon_strict	1	1	unit	0	309	298	0	11	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	recon_strict	1	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_strict	1	0	unit	0	309	297	7	5	7	7	Vertebrata	MRCA of present tips	1	ARD	0.0146155	0.00922292	-34.9505	
paralog	ITPR2	recon_strict	1	0	unit	0	309	300	6	3	6	6	Gnathostomata	MRCA of present tips	1	ARD	0.0354508	0.00786386	-30.914	
paralog	ITPR3	recon_strict	1	0	unit	0	309	298	7	4	7	7	Gnathostomata	MRCA of present tips	1	ARD	0.0383277	0.00921079	-34.9597	
family	ITPR_family	recon_strict	0	1	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_strict	0	1	unit	0	309	297	0	12	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	recon_strict	0	1	unit	0	309	300	3	6	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.00265044	0.00265044	-13.1728	
paralog	ITPR3	recon_strict	0	1	unit	0	309	298	2	9	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00133414	0.00133414	-7.6194	
family	ITPR_family	recon_strict	0	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_strict	0	0	unit	0	309	297	12	0	12	8	Vertebrata	MRCA of present tips	1	ARD	0.0126457	0.0157081	-53.5257	
paralog	ITPR2	recon_strict	0	0	unit	0	309	300	9	0	7	7	Gnathostomata	MRCA of present tips	1	irreversible	0.0105148	0.0105148	-39.586	
paralog	ITPR3	recon_strict	0	0	unit	0	309	298	11	0	9	8	Gnathostomata	MRCA of present tips	1	irreversible	0.013177	0.013177	-47.0519	
family	ITPR_family	no_recon	1	1	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	no_recon	1	1	unit	0	309	292	0	17	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	no_recon	1	1	unit	0	309	291	1	17	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.00135135	0.00135135	-6.9135	
paralog	ITPR3	no_recon	1	1	unit	0	309	297	0	12	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	no_recon	1	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	no_recon	1	0	unit	0	309	292	12	5	12	11	Vertebrata	MRCA of present tips	1	ARD	0.0165245	0.0159165	-53.3676	
paralog	ITPR2	no_recon	1	0	unit	0	309	291	14	4	14	14	Gnathostomata	MRCA of present tips	1	ARD	0.0390602	0.0185944	-60.0852	
paralog	ITPR3	no_recon	1	0	unit	0	309	297	8	4	8	8	Gnathostomata	MRCA of present tips	1	ARD	0.0433157	0.0105406	-38.8752	
family	ITPR_family	no_recon	0	1	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	no_recon	0	1	unit	0	309	292	0	17	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	no_recon	0	1	unit	0	309	291	3	15	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.0027152	0.0027152	-13.1245	
paralog	ITPR3	no_recon	0	1	unit	0	309	297	2	10	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.00133771	0.00133771	-7.6168	
family	ITPR_family	no_recon	0	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	no_recon	0	0	unit	0	309	292	17	0	17	12	Vertebrata	MRCA of present tips	1	ARD	0.0070661	0.0224016	-69.7945	
paralog	ITPR2	no_recon	0	0	unit	0	309	291	18	0	16	16	Gnathostomata	MRCA of present tips	1	ARD	0.0335703	0.0226037	-70.3273	
paralog	ITPR3	no_recon	0	0	unit	0	309	297	12	0	10	9	Gnathostomata	MRCA of present tips	1	irreversible	0.0145132	0.0145132	-50.6252	
family	ITPR_family	locus_only	1	1	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	locus_only	1	1	unit	0	309	292	0	17	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	locus_only	1	1	unit	0	309	285	1	23	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.00137363	0.00137363	-6.8972	
paralog	ITPR3	locus_only	1	1	unit	0	309	296	0	13	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	locus_only	1	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	locus_only	1	0	unit	0	309	292	12	5	12	11	Vertebrata	MRCA of present tips	1	ARD	0.0165245	0.0159165	-53.3676	
paralog	ITPR2	locus_only	1	0	unit	0	309	285	19	5	19	18	Gnathostomata	MRCA of present tips	1	ARD	0.0318702	0.0254747	-75.5636	
paralog	ITPR3	locus_only	1	0	unit	0	309	296	8	5	8	8	Gnathostomata	MRCA of present tips	1	ARD	0.043459	0.0105684	-38.854	
family	ITPR_family	locus_only	0	1	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	locus_only	0	1	unit	0	309	292	0	17	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	locus_only	0	1	unit	0	309	285	3	21	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.00276016	0.00276016	-13.0917	
paralog	ITPR3	locus_only	0	1	unit	0	309	296	3	10	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.00267883	0.00267883	-13.1515	
family	ITPR_family	locus_only	0	0	unit	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	locus_only	0	0	unit	0	309	292	17	0	17	12	Vertebrata	MRCA of present tips	1	ARD	0.0070661	0.0224016	-69.7945	
paralog	ITPR2	locus_only	0	0	unit	0	309	285	24	0	22	20	Gnathostomata	MRCA of present tips	1	ARD	0.0422838	0.0308228	-87.7693	
paralog	ITPR3	locus_only	0	0	unit	0	309	296	13	0	11	10	Gnathostomata	MRCA of present tips	1	ARD	0.023377	0.0158529	-54.1047	
family	ITPR_family	full_locus_only	1	1	unit	0	309	308	0	1	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	full_locus_only	1	1	unit	0	309	261	0	48	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	full_locus_only	1	1	unit	0	309	253	1	55	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.00151401	0.00151401	-6.3944	
paralog	ITPR3	full_locus_only	1	1	unit	0	309	269	0	40	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	full_locus_only	1	0	unit	0	309	308	1	0	1	1	Vertebrata	pinned at root	1	irreversible	0.00129032	0.00129032	-6.9597	
paralog	ITPR1	full_locus_only	1	0	unit	0	309	261	20	28	20	16	Vertebrata	MRCA of present tips	1	ARD	0.020478	0.0286411	-76.7927	
paralog	ITPR2	full_locus_only	1	0	unit	0	309	253	28	28	25	23	Gnathostomata	MRCA of present tips	1	ARD	0.0223631	0.0371213	-92.039	
paralog	ITPR3	full_locus_only	1	0	unit	0	309	269	13	27	13	13	Gnathostomata	MRCA of present tips	1	ARD	0.0533278	0.0183896	-55.9374	
family	ITPR_family	full_locus_only	0	1	unit	0	309	308	0	1	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	full_locus_only	0	1	unit	0	309	261	1	47	1	1	Vertebrata	MRCA of present tips	1	irreversible	0.00147275	0.00147275	-6.8275	
paralog	ITPR2	full_locus_only	0	1	unit	0	309	253	4	52	2	2	Gnathostomata	MRCA of present tips	1	irreversible	0.0045582	0.0045582	-17.3804	
paralog	ITPR3	full_locus_only	0	1	unit	0	309	269	4	36	2	2	Gnathostomata	MRCA of present tips	1	irreversible	0.0043312	0.0043312	-17.9391	
family	ITPR_family	full_locus_only	0	0	unit	0	309	308	1	0	1	1	Vertebrata	pinned at root	1	irreversible	0.00129032	0.00129032	-6.9597	
paralog	ITPR1	full_locus_only	0	0	unit	0	309	261	48	0	41	29	Vertebrata	MRCA of present tips	1	ARD	0.042131	0.0573619	-131.143	
paralog	ITPR2	full_locus_only	0	0	unit	0	309	253	56	0	45	37	Gnathostomata	MRCA of present tips	1	ARD	0.0388475	0.066445	-142.138	
paralog	ITPR3	full_locus_only	0	0	unit	0	309	269	40	0	32	27	Gnathostomata	MRCA of present tips	1	ARD	0.0530102	0.045656	-113.355	
family	ITPR_family	gap_lo	1	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_lo	1	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_lo	1	1	ultrametric	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	gap_lo	1	1	ultrametric	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	gap_lo	1	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_lo	1	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_lo	1	0	ultrametric	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	gap_lo	1	0	ultrametric	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	gap_lo	0	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_lo	0	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_lo	0	1	ultrametric	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0153762	0.0153762	-5.2702	
paralog	ITPR3	gap_lo	0	1	ultrametric	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0153762	0.0153762	-5.2702	
family	ITPR_family	gap_lo	0	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_lo	0	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_lo	0	0	ultrametric	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0153762	0.0153762	-5.2702	
