coding	character	evidence	use_r5	use_r6	node	parent	parent_degree	parent_is_polytomy	siblings_lost_under_parent	n_tips_lost	n_tips_unknown	tips
paralog	ITPR3	recon_strict	0	0	Buphagus_erythrorhynchus	Sturnidae	3	1	1	1	0	GCA_013400855.1
paralog	ITPR3	recon_strict	0	0	Pomatorhinus_ruficollis	Timaliidae	5	1	2	1	0	GCA_013401195.1
paralog	ITPR3	recon_strict	0	0	Mystacornis_crossleyi	Timaliidae	5	1	2	1	0	GCA_013400655.1
paralog	ITPR3	recon_strict	0	0	Ceyx_cyanopectus	Coraciiformes	5	1	1	1	0	GCA_013401355.1
paralog	ITPR2	no_recon	1	1	Bothrops_jararaca	Colubroidea	2	0	1	1	0	GCA_018340635.1
paralog	ITPR1	no_recon	1	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR1	no_recon	1	0	Tichodroma_muraria	Passeriformes	23	1	1	1	0	GCA_013390105.1
paralog	ITPR1	no_recon	1	0	Polioptila_caerulea	Certhiidae	3	1	1	1	0	GCA_013397295.1
paralog	ITPR1	no_recon	1	0	Leiothrix_lutea	Sylvioidea	7	1	1	1	0	GCA_013400445.1
paralog	ITPR1	no_recon	1	0	Hypocryptadius_cinnamomeus	Zosteropidae	2	0	1	1	0	GCA_013400635.1
paralog	ITPR1	no_recon	1	0	Pomatostomus_ruficeps	Timaliidae	5	1	2	1	0	GCA_013400735.1
paralog	ITPR1	no_recon	1	0	Pomatorhinus_ruficollis	Timaliidae	5	1	2	1	0	GCA_013401195.1
paralog	ITPR1	no_recon	1	0	Apaloderma_vittatum	Coraciimorphae	6	1	1	1	0	GCF_000703405.1
paralog	ITPR1	no_recon	1	0	Semnornis_frantzii	Ramphastidae	2	0	1	1	0	GCA_013399775.1
paralog	ITPR1	no_recon	1	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR1	no_recon	1	0	Buceros_rhinoceros_silvestris	Bucerotiformes	2	0	1	1	0	GCF_000710305.1
paralog	ITPR1	no_recon	1	0	Cathartes_aura	Cathartidae	2	0	1	1	0	GCA_000699945.1
paralog	ITPR2	no_recon	1	0	Bothrops_jararaca	Colubroidea	2	0	1	1	0	GCA_018340635.1
paralog	ITPR2	no_recon	1	0	Tinamus_guttatus	Tinamidae	3	1	1	1	0	GCF_000705375.1
paralog	ITPR2	no_recon	1	0	Eurypyga_helias	Phaethontimorphae	2	0	1	1	0	GCF_000690775.1
paralog	ITPR2	no_recon	1	0	Geococcyx_californianus	Cuculiformes	3	1	1	1	0	GCA_013389885.1
paralog	ITPR2	no_recon	1	0	Thalassarche_chlororhynchos	Procellariiformes	2	0	1	1	0	GCA_013400895.1
paralog	ITPR2	no_recon	1	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR2	no_recon	1	0	Antrostomus_carolinensis	Caprimulgidae	3	1	1	1	0	GCF_000700745.2
paralog	ITPR2	no_recon	1	0	Tichodroma_muraria	Passeriformes	23	1	1	1	0	GCA_013390105.1
paralog	ITPR2	no_recon	1	0	Hypocryptadius_cinnamomeus	Zosteropidae	2	0	1	1	0	GCA_013400635.1
paralog	ITPR2	no_recon	1	0	Cariama_cristata	Australaves	4	1	1	1	0	GCF_000690535.1
paralog	ITPR2	no_recon	1	0	Apaloderma_vittatum	Coraciimorphae	6	1	1	1	0	GCF_000703405.1
paralog	ITPR2	no_recon	1	0	Semnornis_frantzii	Ramphastidae	2	0	1	1	0	GCA_013399775.1
paralog	ITPR2	no_recon	1	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR2	no_recon	1	0	Buceros_rhinoceros_silvestris	Bucerotiformes	2	0	1	1	0	GCF_000710305.1
paralog	ITPR3	no_recon	1	0	Cervus_elaphus_hippelaphus	Cervus	2	0	1	1	0	GCA_002197005.1
paralog	ITPR3	no_recon	1	0	Crypturellus_undulatus	Crypturellus	2	0	1	1	0	GCA_013389825.1
paralog	ITPR3	no_recon	1	0	Geococcyx_californianus	Cuculiformes	3	1	1	1	0	GCA_013389885.1
paralog	ITPR3	no_recon	1	0	Columbina_picui	Columbidae	2	0	1	1	0	GCA_013397635.1
paralog	ITPR3	no_recon	1	0	Mionectes_macconnelli	Tyrannidae	2	0	1	1	0	GCA_013397495.1
paralog	ITPR3	no_recon	1	0	Elachura_formosa	Passeriformes	23	1	1	1	0	GCA_013398795.1
paralog	ITPR3	no_recon	1	0	Pomatorhinus_ruficollis	Timaliidae	5	1	1	1	0	GCA_013401195.1
paralog	ITPR3	no_recon	1	0	Ceyx_cyanopectus	Coraciiformes	5	1	1	1	0	GCA_013401355.1
paralog	ITPR2	no_recon	0	1	Bothrops_jararaca	Colubroidea	2	0	1	1	0	GCA_018340635.1
paralog	ITPR1	no_recon	0	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR1	no_recon	0	0	Tichodroma_muraria	Passeriformes	23	1	2	1	0	GCA_013390105.1
paralog	ITPR1	no_recon	0	0	Neodrepanis_coruscans	Passeriformes	23	1	2	1	0	GCA_013400695.1
paralog	ITPR1	no_recon	0	0	Polioptila_caerulea	Certhiidae	3	1	1	1	0	GCA_013397295.1
paralog	ITPR1	no_recon	0	0	Buphagus_erythrorhynchus	Sturnidae	3	1	1	1	0	GCA_013400855.1
paralog	ITPR1	no_recon	0	0	Leiothrix_lutea	Sylvioidea	7	1	2	1	0	GCA_013400445.1
paralog	ITPR1	no_recon	0	0	Hypocryptadius_cinnamomeus	Zosteropidae	2	0	1	1	0	GCA_013400635.1
paralog	ITPR1	no_recon	0	0	Horornis_vulcanius	Sylvioidea	7	1	2	1	0	GCA_013401035.1
paralog	ITPR1	no_recon	0	0	Pomatostomus_ruficeps	Timaliidae	5	1	4	1	0	GCA_013400735.1
paralog	ITPR1	no_recon	0	0	Pomatorhinus_ruficollis	Timaliidae	5	1	4	1	0	GCA_013401195.1
paralog	ITPR1	no_recon	0	0	Oxylabes_madagascariensis	Timaliidae	5	1	4	1	0	GCA_013400675.1
paralog	ITPR1	no_recon	0	0	Mystacornis_crossleyi	Timaliidae	5	1	4	1	0	GCA_013400655.1
paralog	ITPR1	no_recon	0	0	Apaloderma_vittatum	Coraciimorphae	6	1	1	1	0	GCF_000703405.1
paralog	ITPR1	no_recon	0	0	Semnornis_frantzii	Ramphastidae	2	0	1	1	0	GCA_013399775.1
paralog	ITPR1	no_recon	0	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR1	no_recon	0	0	Buceros_rhinoceros_silvestris	Bucerotiformes	2	0	1	1	0	GCF_000710305.1
paralog	ITPR1	no_recon	0	0	Cathartes_aura	Cathartidae	2	0	1	1	0	GCA_000699945.1
paralog	ITPR2	no_recon	0	0	Bothrops_jararaca	Colubroidea	2	0	1	1	0	GCA_018340635.1
paralog	ITPR2	no_recon	0	0	Tinamus_guttatus	Tinamidae	3	1	1	1	0	GCF_000705375.1
paralog	ITPR2	no_recon	0	0	Eurypyga_helias	Phaethontimorphae	2	0	1	1	0	GCF_000690775.1
paralog	ITPR2	no_recon	0	0	Geococcyx_californianus	Cuculiformes	3	1	1	1	0	GCA_013389885.1
paralog	ITPR2	no_recon	0	0	Thalassarche_chlororhynchos	Procellariiformes	2	0	1	1	0	GCA_013400895.1
paralog	ITPR2	no_recon	0	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR2	no_recon	0	0	Antrostomus_carolinensis	Caprimulgidae	3	1	1	1	0	GCF_000700745.2
paralog	ITPR2	no_recon	0	0	Tichodroma_muraria	Passeriformes	23	1	1	1	0	GCA_013390105.1
paralog	ITPR2	no_recon	0	0	Hypocryptadius_cinnamomeus	Zosteropidae	2	0	1	1	0	GCA_013400635.1
paralog	ITPR2	no_recon	0	0	Cariama_cristata	Australaves	4	1	1	1	0	GCF_000690535.1
paralog	ITPR2	no_recon	0	0	Apaloderma_vittatum	Coraciimorphae	6	1	1	1	0	GCF_000703405.1
paralog	ITPR2	no_recon	0	0	Semnornis_frantzii	Ramphastidae	2	0	1	1	0	GCA_013399775.1
paralog	ITPR2	no_recon	0	0	Bucco_capensis	Piciformes	4	1	1	1	0	GCA_013396975.1
paralog	ITPR2	no_recon	0	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR2	no_recon	0	0	Buceros_rhinoceros_silvestris	Bucerotiformes	2	0	1	1	0	GCF_000710305.1
paralog	ITPR2	no_recon	0	0	Guentherus_altivela	Neoteleostei	2	0	1	1	0	GCA_900312595.1
paralog	ITPR3	no_recon	0	0	Cervus_elaphus_hippelaphus	Cervus	2	0	1	1	0	GCA_002197005.1
paralog	ITPR3	no_recon	0	0	Crypturellus_undulatus	Crypturellus	2	0	1	1	0	GCA_013389825.1
paralog	ITPR3	no_recon	0	0	Geococcyx_californianus	Cuculiformes	3	1	1	1	0	GCA_013389885.1
paralog	ITPR3	no_recon	0	0	Columbina_picui	Columbidae	2	0	1	1	0	GCA_013397635.1
paralog	ITPR3	no_recon	0	0	Mionectes_macconnelli	Tyrannidae	2	0	1	1	0	GCA_013397495.1
paralog	ITPR3	no_recon	0	0	Elachura_formosa	Passeriformes	23	1	1	1	0	GCA_013398795.1
paralog	ITPR3	no_recon	0	0	Buphagus_erythrorhynchus	Sturnidae	3	1	1	1	0	GCA_013400855.1
paralog	ITPR3	no_recon	0	0	Pomatorhinus_ruficollis	Timaliidae	5	1	2	1	0	GCA_013401195.1
paralog	ITPR3	no_recon	0	0	Mystacornis_crossleyi	Timaliidae	5	1	2	1	0	GCA_013400655.1
paralog	ITPR3	no_recon	0	0	Ceyx_cyanopectus	Coraciiformes	5	1	1	1	0	GCA_013401355.1
paralog	ITPR2	locus_only	1	1	Bothrops_jararaca	Colubroidea	2	0	1	1	0	GCA_018340635.1
paralog	ITPR1	locus_only	1	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR1	locus_only	1	0	Tichodroma_muraria	Passeriformes	23	1	1	1	0	GCA_013390105.1
paralog	ITPR1	locus_only	1	0	Polioptila_caerulea	Certhiidae	3	1	1	1	0	GCA_013397295.1
paralog	ITPR1	locus_only	1	0	Leiothrix_lutea	Sylvioidea	7	1	1	1	0	GCA_013400445.1
paralog	ITPR1	locus_only	1	0	Hypocryptadius_cinnamomeus	Zosteropidae	2	0	1	1	0	GCA_013400635.1
paralog	ITPR1	locus_only	1	0	Pomatostomus_ruficeps	Timaliidae	5	1	2	1	0	GCA_013400735.1
paralog	ITPR1	locus_only	1	0	Pomatorhinus_ruficollis	Timaliidae	5	1	2	1	0	GCA_013401195.1
paralog	ITPR1	locus_only	1	0	Apaloderma_vittatum	Coraciimorphae	6	1	1	1	0	GCF_000703405.1
paralog	ITPR1	locus_only	1	0	Semnornis_frantzii	Ramphastidae	2	0	1	1	0	GCA_013399775.1
paralog	ITPR1	locus_only	1	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR1	locus_only	1	0	Buceros_rhinoceros_silvestris	Bucerotiformes	2	0	1	1	0	GCF_000710305.1
paralog	ITPR1	locus_only	1	0	Cathartes_aura	Cathartidae	2	0	1	1	0	GCA_000699945.1
paralog	ITPR2	locus_only	1	0	Bothrops_jararaca	Colubroidea	2	0	1	1	0	GCA_018340635.1
paralog	ITPR2	locus_only	1	0	Tinamus_guttatus	Tinamidae	3	1	1	1	0	GCF_000705375.1
paralog	ITPR2	locus_only	1	0	Podiceps_cristatus	Podicipedidae	2	0	1	1	0	GCA_000699545.1
paralog	ITPR2	locus_only	1	0	Eurypyga_helias	Phaethontimorphae	2	0	1	1	0	GCF_000690775.1
paralog	ITPR2	locus_only	1	0	Geococcyx_californianus	Cuculiformes	3	1	1	1	0	GCA_013389885.1
paralog	ITPR2	locus_only	1	0	Pterocles_gutturalis	Pterocles	2	0	1	1	0	GCF_000699245.1
paralog	ITPR2	locus_only	1	0	Mesitornis_unicolor	Columbimorphae	3	1	1	1	0	GCF_000695765.1
paralog	ITPR2	locus_only	1	0	Thalassarche_chlororhynchos	Procellariiformes	2	0	1	1	0	GCA_013400895.1
paralog	ITPR2	locus_only	1	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR2	locus_only	1	0	Antrostomus_carolinensis	Caprimulgidae	3	1	1	1	0	GCF_000700745.2
paralog	ITPR2	locus_only	1	0	Tichodroma_muraria	Passeriformes	23	1	2	1	0	GCA_013390105.1
paralog	ITPR2	locus_only	1	0	Hypocryptadius_cinnamomeus	Zosteropidae	2	0	1	1	0	GCA_013400635.1
paralog	ITPR2	locus_only	1	0	Acanthisitta_chloris	Passeriformes	23	1	2	1	0	GCF_000695815.1
paralog	ITPR2	locus_only	1	0	Cariama_cristata	Australaves	4	1	1	1	0	GCF_000690535.1
paralog	ITPR2	locus_only	1	0	Apaloderma_vittatum	Coraciimorphae	6	1	1	1	0	GCF_000703405.1
paralog	ITPR2	locus_only	1	0	Semnornis_frantzii	Ramphastidae	2	0	1	1	0	GCA_013399775.1
paralog	ITPR2	locus_only	1	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR2	locus_only	1	0	Buceros_rhinoceros_silvestris	Bucerotiformes	2	0	1	1	0	GCF_000710305.1
paralog	ITPR2	locus_only	1	0	Cathartes_aura	Cathartidae	2	0	1	1	0	GCA_000699945.1
paralog	ITPR3	locus_only	1	0	Cervus_elaphus_hippelaphus	Cervus	2	0	1	1	0	GCA_002197005.1
paralog	ITPR3	locus_only	1	0	Crypturellus_undulatus	Crypturellus	2	0	1	1	0	GCA_013389825.1
paralog	ITPR3	locus_only	1	0	Geococcyx_californianus	Cuculiformes	3	1	1	1	0	GCA_013389885.1
paralog	ITPR3	locus_only	1	0	Columbina_picui	Columbidae	2	0	1	1	0	GCA_013397635.1
paralog	ITPR3	locus_only	1	0	Mionectes_macconnelli	Tyrannidae	2	0	1	1	0	GCA_013397495.1
paralog	ITPR3	locus_only	1	0	Elachura_formosa	Passeriformes	23	1	1	1	0	GCA_013398795.1
paralog	ITPR3	locus_only	1	0	Pomatorhinus_ruficollis	Timaliidae	5	1	1	1	0	GCA_013401195.1
paralog	ITPR3	locus_only	1	0	Ceyx_cyanopectus	Coraciiformes	5	1	1	1	0	GCA_013401355.1
paralog	ITPR2	locus_only	0	1	Bothrops_jararaca	Colubroidea	2	0	1	1	0	GCA_018340635.1
paralog	ITPR3	locus_only	0	1	Chaenocephalus_aceratus	Notothenioidei	2	0	1	1	0	GCA_023974075.1
paralog	ITPR1	locus_only	0	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR1	locus_only	0	0	Tichodroma_muraria	Passeriformes	23	1	2	1	0	GCA_013390105.1
paralog	ITPR1	locus_only	0	0	Neodrepanis_coruscans	Passeriformes	23	1	2	1	0	GCA_013400695.1
paralog	ITPR1	locus_only	0	0	Polioptila_caerulea	Certhiidae	3	1	1	1	0	GCA_013397295.1
paralog	ITPR1	locus_only	0	0	Buphagus_erythrorhynchus	Sturnidae	3	1	1	1	0	GCA_013400855.1
paralog	ITPR1	locus_only	0	0	Leiothrix_lutea	Sylvioidea	7	1	2	1	0	GCA_013400445.1
paralog	ITPR1	locus_only	0	0	Hypocryptadius_cinnamomeus	Zosteropidae	2	0	1	1	0	GCA_013400635.1
paralog	ITPR1	locus_only	0	0	Horornis_vulcanius	Sylvioidea	7	1	2	1	0	GCA_013401035.1
paralog	ITPR1	locus_only	0	0	Pomatostomus_ruficeps	Timaliidae	5	1	4	1	0	GCA_013400735.1
paralog	ITPR1	locus_only	0	0	Pomatorhinus_ruficollis	Timaliidae	5	1	4	1	0	GCA_013401195.1
paralog	ITPR1	locus_only	0	0	Oxylabes_madagascariensis	Timaliidae	5	1	4	1	0	GCA_013400675.1
paralog	ITPR1	locus_only	0	0	Mystacornis_crossleyi	Timaliidae	5	1	4	1	0	GCA_013400655.1
paralog	ITPR1	locus_only	0	0	Apaloderma_vittatum	Coraciimorphae	6	1	1	1	0	GCF_000703405.1
paralog	ITPR1	locus_only	0	0	Semnornis_frantzii	Ramphastidae	2	0	1	1	0	GCA_013399775.1
paralog	ITPR1	locus_only	0	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR1	locus_only	0	0	Buceros_rhinoceros_silvestris	Bucerotiformes	2	0	1	1	0	GCF_000710305.1
paralog	ITPR1	locus_only	0	0	Cathartes_aura	Cathartidae	2	0	1	1	0	GCA_000699945.1
paralog	ITPR2	locus_only	0	0	Bothrops_jararaca	Colubroidea	2	0	1	1	0	GCA_018340635.1
paralog	ITPR2	locus_only	0	0	Tinamus_guttatus	Tinamidae	3	1	1	1	0	GCF_000705375.1
paralog	ITPR2	locus_only	0	0	Podiceps_cristatus	Podicipedidae	2	0	1	1	0	GCA_000699545.1
paralog	ITPR2	locus_only	0	0	Eurypyga_helias	Phaethontimorphae	2	0	1	1	0	GCF_000690775.1
paralog	ITPR2	locus_only	0	0	Geococcyx_californianus	Cuculiformes	3	1	1	1	0	GCA_013389885.1
paralog	ITPR2	locus_only	0	0	Pterocles_gutturalis	Pterocles	2	0	1	1	0	GCF_000699245.1
paralog	ITPR2	locus_only	0	0	Mesitornis_unicolor	Columbimorphae	3	1	1	1	0	GCF_000695765.1
paralog	ITPR2	locus_only	0	0	Thalassarche_chlororhynchos	Procellariiformes	2	0	1	1	0	GCA_013400895.1
paralog	ITPR2	locus_only	0	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR2	locus_only	0	0	Antrostomus_carolinensis	Caprimulgidae	3	1	1	1	0	GCF_000700745.2
paralog	ITPR2	locus_only	0	0	Tichodroma_muraria	Passeriformes	23	1	3	1	0	GCA_013390105.1
paralog	ITPR2	locus_only	0	0	Neodrepanis_coruscans	Passeriformes	23	1	3	1	0	GCA_013400695.1
paralog	ITPR2	locus_only	0	0	Hypocryptadius_cinnamomeus	Zosteropidae	2	0	1	1	0	GCA_013400635.1
paralog	ITPR2	locus_only	0	0	Acanthisitta_chloris	Passeriformes	23	1	3	1	0	GCF_000695815.1
paralog	ITPR2	locus_only	0	0	Cariama_cristata	Australaves	4	1	1	1	0	GCF_000690535.1
paralog	ITPR2	locus_only	0	0	Apaloderma_vittatum	Coraciimorphae	6	1	1	1	0	GCF_000703405.1
paralog	ITPR2	locus_only	0	0	Semnornis_frantzii	Ramphastidae	2	0	1	1	0	GCA_013399775.1
paralog	ITPR2	locus_only	0	0	Bucco_capensis	Piciformes	4	1	1	1	0	GCA_013396975.1
paralog	ITPR2	locus_only	0	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR2	locus_only	0	0	Buceros_rhinoceros_silvestris	Bucerotiformes	2	0	1	1	0	GCF_000710305.1
paralog	ITPR2	locus_only	0	0	Cathartes_aura	Cathartidae	2	0	1	1	0	GCA_000699945.1
paralog	ITPR2	locus_only	0	0	Guentherus_altivela	Neoteleostei	2	0	1	1	0	GCA_900312595.1
paralog	ITPR3	locus_only	0	0	Cervus_elaphus_hippelaphus	Cervus	2	0	1	1	0	GCA_002197005.1
paralog	ITPR3	locus_only	0	0	Crypturellus_undulatus	Crypturellus	2	0	1	1	0	GCA_013389825.1
paralog	ITPR3	locus_only	0	0	Geococcyx_californianus	Cuculiformes	3	1	1	1	0	GCA_013389885.1
paralog	ITPR3	locus_only	0	0	Columbina_picui	Columbidae	2	0	1	1	0	GCA_013397635.1
paralog	ITPR3	locus_only	0	0	Mionectes_macconnelli	Tyrannidae	2	0	1	1	0	GCA_013397495.1
paralog	ITPR3	locus_only	0	0	Elachura_formosa	Passeriformes	23	1	1	1	0	GCA_013398795.1
paralog	ITPR3	locus_only	0	0	Buphagus_erythrorhynchus	Sturnidae	3	1	1	1	0	GCA_013400855.1
paralog	ITPR3	locus_only	0	0	Pomatorhinus_ruficollis	Timaliidae	5	1	2	1	0	GCA_013401195.1
paralog	ITPR3	locus_only	0	0	Mystacornis_crossleyi	Timaliidae	5	1	2	1	0	GCA_013400655.1
paralog	ITPR3	locus_only	0	0	Ceyx_cyanopectus	Coraciiformes	5	1	1	1	0	GCA_013401355.1
paralog	ITPR3	locus_only	0	0	Chaenocephalus_aceratus	Notothenioidei	2	0	1	1	0	GCA_023974075.1
