model_id	accession	organism	group	kingdom	phylum	class	order	genome_status	db_status	copy_index	genome_copy_number	contig	start	end	strand	length	grade	coverage	identity	family_margin	span_bp	cds_footprint_bp	frameshifts	stop_codons	bait	band	annot_gene	annot_family	control_verdict	contig_spans_gene	annotated_assembly	profile_call	profile_confidence	itpr_score	ryr_score	profile_rel_margin
GCA_001642005.1|copy2|LWCA01000777.1:7455-17774	GCA_001642005.1	Intoshia linei	metazoa	Metazoa	Orthonectida			assembly_gap	annotated_unnamed	2	0	LWCA01000777.1	7455	17774	+	1177	fragment	0.4414	0.4208	1.0	10320	3529	1	0	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	Hemichordata	A3Q56_05306		controlled_cross_kingdom	0	Y	ITPR	medium	566.3	123.0	0.7828
GCA_001642005.1|copy3|LWCA01000769.1:4732-13480	GCA_001642005.1	Intoshia linei	metazoa	Metazoa	Orthonectida			assembly_gap	annotated_unnamed	3	0	LWCA01000769.1	4732	13480	-	935	fragment	0.3536	0.3581	1.0	8749	2802	0	0	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	Brachiopoda	A3Q56_05269		controlled_cross_kingdom	0	Y	ITPR	medium	484.4	202.2	0.5826
GCA_001970955.1|copy1|MPUH01000666.1:8516-32703	GCA_001970955.1	Stentor coeruleus	sar		Ciliophora	Heterotrichea	Heterotrichida	found_annotated	annotated_unnamed	1	13	MPUH01000666.1	8516	32703	+	2518	full	0.7913	0.2295	1.0	24188	8004	0	1	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	SteCoe_24932		controlled_by_target	1	Y	ITPR	high	1008.3	292.6	0.7098
GCA_001970955.1|copy2|MPUH01000256.1:370-61003	GCA_001970955.1	Stentor coeruleus	sar		Ciliophora	Heterotrichea	Heterotrichida	found_annotated	annotated_unnamed	2	13	MPUH01000256.1	370	61003	-	2574	full	0.7706	0.2252	1.0	60634	7719	0	1	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	SteCoe_13976		controlled_by_target	1	Y	ITPR	high	943.7	253.9	0.731
GCA_001970955.1|copy3|MPUH01000014.1:5764-73754	GCA_001970955.1	Stentor coeruleus	sar		Ciliophora	Heterotrichea	Heterotrichida	found_annotated	annotated_unnamed	3	13	MPUH01000014.1	5764	73754	-	2578	full	0.7928	0.2066	1.0	67991	7731	0	0	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	SteCoe_1330		controlled_by_target	1	Y	ITPR	high	814.0	213.4	0.7378
GCA_001970955.1|copy4|MPUH01001053.1:13953-21766	GCA_001970955.1	Stentor coeruleus	sar		Ciliophora	Heterotrichea	Heterotrichida	found_annotated	annotated_unnamed	4	13	MPUH01001053.1	13953	21766	+	2496	full	0.9698	0.2214	1.0	7814	7519	2	0	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	Chordata	SteCoe_31151		controlled_by_target	1	Y	ITPR	high	922.7	275.4	0.7015
GCA_001970955.1|copy5|MPUH01000387.1:35430-43250	GCA_001970955.1	Stentor coeruleus	sar		Ciliophora	Heterotrichea	Heterotrichida	found_annotated	annotated_unnamed	5	13	MPUH01000387.1	35430	43250	-	2606	full	0.9802	0.2166	1.0	7821	7605	0	0	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	Chordata	SteCoe_18318		controlled_by_target	1	Y	ITPR	high	968.5	288.4	0.7022
GCA_001970955.1|copy6|MPUH01000676.1:4839-12806	GCA_001970955.1	Stentor coeruleus	sar		Ciliophora	Heterotrichea	Heterotrichida	found_annotated	annotated_unnamed	6	13	MPUH01000676.1	4839	12806	+	2349	full	0.7213	0.2107	1.0	7968	7044	0	0	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	SteCoe_25135		controlled_by_target	1	Y	ITPR	high	562.2	258.2	0.5407
GCA_001970955.1|copy7|MPUH01000766.1:17193-31036	GCA_001970955.1	Stentor coeruleus	sar		Ciliophora	Heterotrichea	Heterotrichida	found_annotated	genome_only	7	13	MPUH01000766.1	17193	31036	+	892	full	0.8038	0.2245	0.7062	13844	5999	1	1	A0A078ASZ8|Contig10368.g11065|Stylonychia_lemnae|Ciliophora|ITPR	Ciliophora			controlled_by_target	1	Y	ITPR	medium	337.2	157.1	0.5341
GCA_001970955.1|copy8|MPUH01000077.1:24264-48775	GCA_001970955.1	Stentor coeruleus	sar		Ciliophora	Heterotrichea	Heterotrichida	found_annotated	annotated_unnamed	8	13	MPUH01000077.1	24264	48775	-	2301	full	0.9866	0.2102	1.0	24512	7335	0	0	A0AAN8PFL6|SNE40_013589|Patella_caerulea|Mollusca|ITPR	Mollusca	SteCoe_5764		controlled_by_target	1	Y	ITPR	high	678.6	311.1	0.5416
GCA_001970955.1|copy9|MPUH01000604.1:34352-41903	GCA_001970955.1	Stentor coeruleus	sar		Ciliophora	Heterotrichea	Heterotrichida	found_annotated	genome_only	9	13	MPUH01000604.1	34352	41903	+	2400	full	0.9538	0.2081	1.0	7552	7200	2	0	A0A078ASZ8|Contig10368.g11065|Stylonychia_lemnae|Ciliophora|ITPR	Ciliophora			controlled_by_target	1	Y	ITPR	high	615.7	220.1	0.6425
GCA_001970955.1|copy10|MPUH01000441.1:11536-22173	GCA_001970955.1	Stentor coeruleus	sar		Ciliophora	Heterotrichea	Heterotrichida	found_annotated	annotated_unnamed	10	13	MPUH01000441.1	11536	22173	-	552	full	0.9688	0.2084	1.0	10638	6993	0	0	A0ABR2W6A1|K7432_003395|Basidiobolus_ranarum|Basidiobolomycota|ITPR	Basidiobolomycota	SteCoe_19775		controlled_by_target	1	Y	ITPR	medium	383.1	207.6	0.4581
GCA_001970955.1|copy11|MPUH01000193.1:22327-29930	GCA_001970955.1	Stentor coeruleus	sar		Ciliophora	Heterotrichea	Heterotrichida	found_annotated	genome_only	11	13	MPUH01000193.1	22327	29930	-	701	full	0.9484	0.2042	1.0	7604	7167	0	0	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	Hemichordata			controlled_by_target	1	Y	ITPR	medium	373.7	232.2	0.3786
GCA_001970955.1|copy13|MPUH01000273.1:17966-25417	GCA_001970955.1	Stentor coeruleus	sar		Ciliophora	Heterotrichea	Heterotrichida	found_annotated	annotated_unnamed	13	13	MPUH01000273.1	17966	25417	+	2435	full	0.9438	0.193	1.0	7452	7302	0	0	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	Hemichordata	SteCoe_14590		controlled_by_target	1	Y	ITPR	high	607.3	315.2	0.481
GCA_002104905.1|copy1|MCFE01000591.1:14328-24097	GCA_002104905.1	Basidiobolus meristosporus CBS 931.73	fungi	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	found_annotated	annotated_unnamed	1	2	MCFE01000591.1	14328	24097	-	2506	full	1.0	0.8755	1.0	9770	7517	1	0	A0ABR2W6A1|K7432_003395|Basidiobolus_ranarum|Basidiobolomycota|ITPR	Basidiobolomycota	K493DRAFT_341790		controlled_by_target	1	Y	ITPR	high	1937.9	393.8	0.7968
GCA_002104905.1|copy2|MCFE01000086.1:24011-32322	GCA_002104905.1	Basidiobolus meristosporus CBS 931.73	fungi	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	found_annotated	annotated_unnamed	2	2	MCFE01000086.1	24011	32322	-	2516	full	1.0	0.8051	1.0	8312	7548	0	0	A0ABR2W6A1|K7432_003395|Basidiobolus_ranarum|Basidiobolomycota|ITPR	Basidiobolomycota	K493DRAFT_348021		controlled_by_target	1	Y	ITPR	high	1835.4	415.6	0.7736
GCA_002269645.1|copy1|NIVC01000975.1:83430-373605	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	1	18	NIVC01000975.1	83430	373605	+	3158	full	1.0	0.9986	1.0	290176	8757	0	0	A0A267FK94|BOX15_Mlig001931g6|Macrostomum_lignano|Platyhelminthes|ITPR	Platyhelminthes	BOX15_Mlig001931g6		controlled_by_target	1	Y	ITPR	high	3142.0	398.7	0.8731
GCA_002269645.1|copy2|NIVC01003713.1:9986-44829	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	genome_only	2	18	NIVC01003713.1	9986	44829	-	2808	full	1.0	0.9921	1.0	34844	8769	0	0	A0A267FK94|BOX15_Mlig001931g6|Macrostomum_lignano|Platyhelminthes|ITPR	Platyhelminthes			controlled_by_target	1	Y	ITPR	high	3388.8	407.0	0.8799
GCA_002269645.1|copy3|NIVC01000647.1:144956-433775	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	3	18	NIVC01000647.1	144956	433775	-	2840	full	1.0	0.9918	1.0	288820	8757	0	0	A0A267FK94|BOX15_Mlig001931g6|Macrostomum_lignano|Platyhelminthes|ITPR	Platyhelminthes	BOX15_Mlig001931g5		controlled_by_target	1	Y	ITPR	high	3392.6	408.4	0.8796
GCA_002269645.1|copy4|NIVC01000525.1:37868-246274	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	4	18	NIVC01000525.1	37868	246274	+	2538	full	0.9954	0.4679	1.0	208407	8254	1	0	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	Brachiopoda	BOX15_Mlig011719g6		controlled_by_target	1	Y	ITPR	high	1062.6	202.4	0.8095
GCA_002269645.1|copy5|NIVC01000023.1:191213-317060	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	5	18	NIVC01000023.1	191213	317060	+	2740	full	0.9954	0.4596	1.0	125848	8218	1	0	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	Brachiopoda	BOX15_Mlig006095g2		controlled_by_target	1	Y	ITPR	high	1509.7	271.7	0.82
GCA_002269645.1|copy6|NIVC01002565.1:98642-152602	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	6	18	NIVC01002565.1	98642	152602	+	2642	full	0.9523	0.4775	1.0	53961	7923	0	0	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	Brachiopoda	BOX15_Mlig032795g1		controlled_by_target	1	Y	ITPR	high	1469.1	232.0	0.8421
GCA_002269645.1|copy7|NIVC01002364.1:7202-101656	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	7	18	NIVC01002364.1	7202	101656	-	2726	full	0.9804	0.4608	1.0	94455	8176	1	0	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	Brachiopoda	BOX15_Mlig006095g3		controlled_by_target	1	Y	ITPR	high	1498.9	267.4	0.8216
GCA_002269645.1|copy8|NIVC01002299.1:50053-107851	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	8	18	NIVC01002299.1	50053	107851	-	2740	full	0.9964	0.4641	1.0	57799	8219	1	0	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	Brachiopoda	BOX15_Mlig011719g2		controlled_by_target	1	Y	ITPR	high	1525.4	271.8	0.8218
GCA_002269645.1|copy9|NIVC01000260.1:110882-242297	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	9	18	NIVC01000260.1	110882	242297	-	2343	full	0.9886	0.4577	1.0	131416	8419	2	0	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	Brachiopoda	BOX15_Mlig033347g2		controlled_by_target	1	Y	ITPR	high	1173.4	228.1	0.8056
GCA_002269645.1|copy10|NIVC01000024.1:370736-419134	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	10	18	NIVC01000024.1	370736	419134	-	2796	full	0.9886	0.4572	1.0	48399	8388	2	1	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	Brachiopoda	BOX15_Mlig033347g1		controlled_by_target	1	Y	ITPR	high	1462.6	233.5	0.8404
GCA_002269645.1|copy11|NIVC01002910.1:10842-35559	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	genome_only	11	18	NIVC01002910.1	10842	35559	+	2571	full	0.9834	0.48	1.0	24718	7710	0	0	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	Hemichordata			controlled_by_target	1	Y	ITPR	high	1375.6	333.2	0.7578
GCA_002269645.1|copy12|NIVC01002909.1:383-27785	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	genome_only	12	18	NIVC01002909.1	383	27785	-	2569	full	0.9834	0.479	1.0	27403	7705	1	0	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	Hemichordata			controlled_by_target	1	Y	ITPR	high	1378.8	334.0	0.7578
GCA_002269645.1|copy13|NIVC01003111.1:13796-54516	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	13	18	NIVC01003111.1	13796	54516	-	2575	full	0.9985	0.4682	1.0	40721	7826	1	0	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	Hemichordata	BOX15_Mlig001198g2		controlled_by_target	1	Y	ITPR	high	1355.7	299.0	0.7794
GCA_002269645.1|copy14|NIVC01003243.1:15195-98991	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	genome_only	14	18	NIVC01003243.1	15195	98991	+	2342	full	0.8426	0.4433	1.0	83797	7024	1	0	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	Brachiopoda			controlled_by_target	1	Y	ITPR	high	1177.9	187.6	0.8407
GCA_002269645.1|copy15|NIVC01000522.1:191669-410279	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	15	18	NIVC01000522.1	191669	410279	+	2574	full	0.9988	0.4124	1.0	218611	7720	1	0	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	Hemichordata	BOX15_Mlig033498g2		controlled_by_target	1	Y	ITPR	high	1292.4	299.4	0.7683
GCA_002269645.1|copy16|NIVC01002246.1:58508-92878	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	16	18	NIVC01002246.1	58508	92878	-	2533	full	0.985	0.415	1.0	34371	7596	0	0	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	Hemichordata	BOX15_Mlig025693g1		controlled_by_target	1	Y	ITPR	high	1278.9	315.9	0.753
GCA_002269645.1|copy17|NIVC01004227.1:702-21739	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	genome_only	17	18	NIVC01004227.1	702	21739	-	2119	full	0.7639	0.47	1.0	21038	6354	0	0	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	Brachiopoda			controlled_by_target	1	Y	ITPR	high	1041.1	103.0	0.9011
GCA_002269645.1|copy18|NIVC01000441.1:391223-419455	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	18	18	NIVC01000441.1	391223	419455	-	1529	fragment	0.6093	0.2561	1.0	28233	4585	1	0	A0ACC2TPX2|DSO57_1024190|Entomophthora_muscae|Entomophthoromycota|ITPR	Entomophthoromycota	BOX15_Mlig011719g3		controlled_by_target	1	Y	ITPR	high	775.5	178.9	0.7693
GCA_002269645.1|copy19|NIVC01002639.1:126649-151577	GCA_002269645.1	Macrostomum lignano	metazoa	Metazoa	Platyhelminthes			found_annotated	annotated_unnamed	19	18	NIVC01002639.1	126649	151577	-	1289	fragment	0.5079	0.2677	1.0	24929	3864	0	0	A0A433QY11|BC938DRAFT_479224|Jimgerdemannia_flammicorona|Mucoromycota|ITPR	Mucoromycota	BOX15_Mlig033347g5		controlled_by_target	1	Y	ITPR	medium	679.7	140.6	0.7931
GCA_002796945.1|copy1|NIUQ01003454.1:3-16142	GCA_002796945.1	Plectus sambesii	metazoa	Metazoa	Nematoda	Chromadorea	Plectida	found_no_annotation	genome_only	1	1	NIUQ01003454.1	3	16142	+	1241	fragment	0.4668	0.5912	1.0	16140	4047	0	0	Q9Y0A1|itr-1|Caenorhabditis_elegans|Nematoda|ITPR	Nematoda			controlled_by_target	0	N	ITPR	medium	1204.7	84.3	0.93
GCA_002796945.1|copy2|NIUQ01001906.1:218-22614	GCA_002796945.1	Plectus sambesii	metazoa	Metazoa	Nematoda	Chromadorea	Plectida	found_no_annotation	genome_only	2	1	NIUQ01001906.1	218	22614	-	2471	full	0.9052	0.3217	1.0	22397	6968	1	1	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	Hemichordata			controlled_by_target	0	N	ITPR	high	855.4	136.2	0.8408
GCA_002796945.1|copy3|NIUQ01005651.1:271-8448	GCA_002796945.1	Plectus sambesii	metazoa	Metazoa	Nematoda	Chromadorea	Plectida	found_no_annotation	genome_only	3	1	NIUQ01005651.1	271	8448	-	726	fragment	0.3582	0.5223	1.0	8178	3066	0	0	Q9Y0A1|itr-1|Caenorhabditis_elegans|Nematoda|ITPR	Nematoda			controlled_by_target	0	N	ITPR	medium	964.1	267.3	0.7227
GCA_002796945.1|copy4|NIUQ01004429.1:2127-7147	GCA_002796945.1	Plectus sambesii	metazoa	Metazoa	Nematoda	Chromadorea	Plectida	found_no_annotation	genome_only	4	1	NIUQ01004429.1	2127	7147	+	1266	fragment	0.4613	0.1971	1.0	5021	3798	2	0	A0AB34IS99|AB1Y20_010572|Prymnesium_parvum|Haptophyta|ITPR	Haptophyta			controlled_by_target	0	N	ITPR	medium	481.9	112.5	0.7665
GCA_009757345.1|copy1|VUNT01001326.1:129225-230697	GCA_009757345.1	Campodea augens	metazoa	Metazoa	Arthropoda	Diplura	Rhabdura	assembly_gap	genome_only	1	0	VUNT01001326.1	129225	230697	+	1410	fragment	0.5314	0.6451	1.0	101473	4227	0	0	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	Arthropoda			controlled_cross_kingdom	0	N	ITPR	high	1848.1	307.3	0.8337
GCA_009757345.1|copy2|VUNT01006802.1:43288-76417	GCA_009757345.1	Campodea augens	metazoa	Metazoa	Arthropoda	Diplura	Rhabdura	assembly_gap	genome_only	2	0	VUNT01006802.1	43288	76417	+	964	fragment	0.3591	0.686	1.0	33130	3075	0	0	A0ABM1SEU6|LOC106459878|Limulus_polyphemus|Arthropoda|ITPR	Arthropoda			controlled_cross_kingdom	0	N	ITPR	medium	1396.7	155.7	0.8885
GCA_010279815.1|copy1|QEOQ01000486.1:777348-811773	GCA_010279815.1	Brachionus plicatilis	metazoa	Metazoa	Rotifera	Eurotatoria	Ploima	found_no_annotation	genome_only	1	2	QEOQ01000486.1	777348	811773	+	2994	full	0.9993	0.8187	1.0	34426	8979	0	0	A0A813MP72|OXX778_LOCUS2086|Brachionus_calyciflorus|Rotifera|ITPR	Rotifera			controlled_by_target	0	N	ITPR	high	3070.6	406.1	0.8677
GCA_010279815.1|copy2|QEOQ01000527.1:2556-20423	GCA_010279815.1	Brachionus plicatilis	metazoa	Metazoa	Rotifera	Eurotatoria	Ploima	found_no_annotation	genome_only	2	2	QEOQ01000527.1	2556	20423	-	2636	full	0.9842	0.4525	1.0	17868	7995	0	0	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	Chordata			controlled_by_target	0	N	ITPR	high	2695.1	396.1	0.853
GCA_011109175.1|copy1|RDEW01000002.1:1388155-1683411	GCA_011109175.1	Dicyema japonicum	metazoa	Metazoa	Dicyemida	Rhombozoa		found_no_annotation	genome_only	1	1	RDEW01000002.1	1388155	1683411	+	2660	full	0.9823	0.3953	1.0	295257	7770	10	1	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	Arthropoda			controlled_by_target	1	N	ITPR	high	2221.8	373.1	0.8321
GCA_014839935.2|copy1|QTSX02002259.1:38747-46638	GCA_014839935.2	Entomophthora muscae	fungi	Fungi	Entomophthoromycota	Entomophthoromycetes	Entomophthorales	found_annotated	annotated_unnamed	1	1	QTSX02002259.1	38747	46638	+	2568	full	1.0	1.0	1.0	7892	7704	0	0	A0ACC2TPX2|DSO57_1024190|Entomophthora_muscae|Entomophthoromycota|ITPR	Entomophthoromycota	DSO57_1024190		controlled_by_target	1	Y	ITPR	high	1322.1	396.0	0.7005
GCA_019649035.1|copy1|BMAT01007185.1:139788-528233	GCA_019649035.1	Elysia marginata	metazoa	Metazoa	Mollusca	Gastropoda		found_annotated	annotated_unnamed	1	4	BMAT01007185.1	139788	528233	+	2643	full	0.9592	0.6612	1.0	388446	7897	3	0	A0AAN9BAK1|V1264_020598|Littorina_saxatilis|Mollusca|ITPR	Mollusca	ElyMa_003498200		controlled_by_target	0	Y	ITPR	high	3061.2	418.5	0.8633
GCA_019649035.1|copy2|BMAT01010738.1:133749-466898	GCA_019649035.1	Elysia marginata	metazoa	Metazoa	Mollusca	Gastropoda		found_annotated	genome_only	2	4	BMAT01010738.1	133749	466898	+	2723	full	0.9822	0.4762	1.0	333150	8169	2	0	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	Brachiopoda			controlled_by_target	0	Y	ITPR	high	1376.2	223.4	0.8377
GCA_019649035.1|copy3|BMAT01013420.1:261134-347442	GCA_019649035.1	Elysia marginata	metazoa	Metazoa	Mollusca	Gastropoda		found_annotated	genome_only	3	4	BMAT01013420.1	261134	347442	+	2450	full	0.9954	0.4487	1.0	86309	8129	5	2	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	Brachiopoda			controlled_by_target	0	Y	ITPR	high	1253.3	239.7	0.8087
GCA_019649035.1|copy4|BMAT01000795.1:53944-167995	GCA_019649035.1	Elysia marginata	metazoa	Metazoa	Mollusca	Gastropoda		found_annotated	genome_only	4	4	BMAT01000795.1	53944	167995	+	2476	full	0.9927	0.4566	1.0	114052	7427	1	2	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	Hemichordata			controlled_by_target	0	Y	ITPR	high	1187.4	229.9	0.8064
