accession	call	confidence	reason	instruments	arch_call	profile_call	profile_confidence	itpr_score	ryr_score	rel_margin	searches	source	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	source_detail	genome_accession	contig	start	end	strand	cell	cell_status	db_status	coverage	contig_spans_gene	s20_call	s20_confidence	s20_group	s20_itpr_score	s20_ryr_score	s20_rel_margin	s20_evidence	tax_domain	tax_kingdom	tax_phylum	tax_class	tax_order	tax_family	tax_genus	tax_group	plant_fungal_verdict	plant_fungal_rule
A0A016VVL2	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1019.7	270.3	0.7349	interpro+calibration	InterPro	Acey_s0004.g2120	Ion transport domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	864	0		0	Predicted	1	PF08454	PF00520;PF08454	2		InterPro																		Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016VVL8	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	1807.5	0.0	1.0	interpro+calibration	InterPro	Acey_s0004.g2123	Inositol 1,4,5-trisphosphate receptor	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	2004	1		0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		InterPro																		Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016VWG3	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1018.4	269.5	0.7354	interpro+calibration	InterPro	Acey_s0004.g2120	Ion transport domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	849	0		0	Predicted	1	PF08454	PF00520;PF08454	2		InterPro																		Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016VWG9	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	1678.1	0.0	1.0	interpro+calibration	InterPro	Acey_s0004.g2123	Inositol 1,4,5-trisphosphate receptor	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	1843	0		0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		InterPro																		Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016VX74	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	medium	1021.8	270.3	0.7355	interpro+calibration	InterPro	Acey_s0004.g2120	Ion transport domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	867	0		0	Predicted	1	PF08454	PF00520;PF08454	2		InterPro											ITPR	medium	metazoa_nonvert	1021.8	270.3	0.7355	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016VX80	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	ITPR	ITPR	high	1806.7	0.0	1.0	interpro+calibration	InterPro	Acey_s0004.g2123	Inositol 1,4,5-trisphosphate receptor	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	2012	1		0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		InterPro											ITPR	high	metazoa_nonvert	1806.7	0.0	1.0	architecture	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A023F2G4	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3805.7	435.0	0.8857	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Triatoma infestans (Assassin bug)	30076	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hemiptera	Reduviidae	2724	1		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Hemiptera	Reduviidae	Triatoma	Metazoa (non-vertebrate)		
A0A023F678	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	715.3	7002.4	0.8978	interpro+calibration	InterPro		Putative ca2+ release channel ryanodine receptor	Triatoma infestans (Assassin bug)	30076	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hemiptera	Reduviidae	5065	0	fragment	0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Hemiptera	Reduviidae	Triatoma	Metazoa (non-vertebrate)		
A0A023NE85	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	691.9	7094.7	0.9025	interpro+calibration	InterPro		Ryanodine receptor	Leptinotarsa decemlineata (Colorado potato beetle) (Doryphora decemlineata)	7539	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Coleoptera	Chrysomelidae	5128	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Leptinotarsa	Metazoa (non-vertebrate)		
A0A023NEE5	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	700.0	7028.8	0.9004	interpro+calibration	InterPro		Ryanodine receptor	Sogatella furcifera (White-backed planthopper)	113103	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hemiptera	Delphacidae	5128	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Hemiptera	Delphacidae	Sogatella	Metazoa (non-vertebrate)		
A0A023UJ66	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	695.5	7155.1	0.9028	interpro+calibration	InterPro	RyR	Ryanodine receptor	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	27457	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	5140	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Metazoa (non-vertebrate)		
A0A026VRJ2	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	unassigned	RYR	medium	51.5	539.3	0.9045	interpro+calibration	InterPro	X777_00206	Ryanodine receptor 44F	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	2015173	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	354	0	fragment	0	Predicted	1	PF01365	PF01365	1		InterPro											RYR	medium	metazoa_nonvert	51.5	539.3	0.9045	partial	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Ooceraea	Metazoa (non-vertebrate)		
A0A026VT77	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	ITPR	ITPR	high	3694.3	453.7	0.8772	interpro+calibration	InterPro	X777_00544	Inositol 1,4,5-trisphosphate receptor	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	2015173	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	2719	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		InterPro											ITPR	high	metazoa_nonvert	3694.3	453.7	0.8772	architecture	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Ooceraea	Metazoa (non-vertebrate)		
A0A026W7Q8	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	RYR	RYR	high	705.0	7047.2	0.9	interpro+calibration	InterPro	X777_09115	Ryanodine receptor 44F	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	2015173	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	5061	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro											RYR	high	metazoa_nonvert	705.0	7047.2	0.9	architecture	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Ooceraea	Metazoa (non-vertebrate)		
A0A034VYQ7	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	696.3	7192.9	0.9032	interpro+calibration	InterPro	LOC105232171	Ryanodine receptor isoform X16	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	27457	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	5115	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Metazoa (non-vertebrate)		
A0A034W1A0	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	696.3	7193.5	0.9032	interpro+calibration	InterPro	LOC105232171	Ryanodine receptor isoform X14	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	27457	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	5119	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Metazoa (non-vertebrate)		
A0A034W1A4	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	695.2	7192.9	0.9033	interpro+calibration	InterPro	LOC105232171	Ryanodine receptor isoform X6	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	27457	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	5134	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Metazoa (non-vertebrate)		
A0A034W289	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	695.2	7192.3	0.9033	interpro+calibration	InterPro	LOC105232171	Ryanodine receptor isoform X8	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	27457	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	5130	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Metazoa (non-vertebrate)		
A0A058ZDJ2	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	ITPR	ITPR	high	2273.6	387.3	0.8297	interpro+calibration	InterPro	H696_01395	MIR domain-containing protein	Fonticula alba (Slime mold)	691883	Eukaryota (other)				Rotosphaerida	Fonticulaceae	3443	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		InterPro											ITPR	high	protista_other	2273.6	387.3	0.8297	architecture	Eukaryota				Rotosphaerida	Fonticulaceae	Fonticula	Eukaryota (other)		
A0A059XHF1	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	703.4	7083.4	0.9007	interpro+calibration	InterPro	RyR	Ryanodine receptor	Chilo suppressalis (Asiatic rice borer moth)	168631	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	5133	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Chilo	Metazoa (non-vertebrate)		
A0A059XLU6	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	716.2	7039.0	0.8983	interpro+calibration	InterPro	RyR	Ryanodine receptor	Nilaparvata lugens (Brown planthopper)	108931	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hemiptera	Delphacidae	5135	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Hemiptera	Delphacidae	Nilaparvata	Metazoa (non-vertebrate)		
A0A059XMJ0	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	706.2	7042.6	0.8997	interpro+calibration	InterPro	RyR	Ryanodine receptor	Helicoverpa armigera (Cotton bollworm) (Heliothis armigera)	29058	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	5117	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	Helicoverpa	Metazoa (non-vertebrate)		
A0A059XRL5	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	702.4	7048.0	0.9003	interpro+calibration	InterPro	RyR	Ryanodine receptor	Laodelphax striatellus (Small brown planthopper) (Delphax striatella)	195883	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hemiptera	Delphacidae	5135	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Hemiptera	Delphacidae	Laodelphax	Metazoa (non-vertebrate)		
A0A059XRP6	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	703.1	7035.2	0.9001	interpro+calibration	InterPro	RyR	Ryanodine receptor	Spodoptera exigua (Beet armyworm) (Noctua fulgens)	7107	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	5135	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Metazoa (non-vertebrate)		
A0A059XRQ0	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	709.9	7033.6	0.8991	interpro+calibration	InterPro	RyR	Ryanodine receptor	Sogatella furcifera (White-backed planthopper)	113103	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hemiptera	Delphacidae	5128	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Hemiptera	Delphacidae	Sogatella	Metazoa (non-vertebrate)		
A0A067BPJ2	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	medium	74.9	62.0	0.1722	interpro+calibration	InterPro	SPRG_17875	Uncharacterized protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	517	0	fragment	0	Predicted	1	PF08709	PF02815;PF08709	2		InterPro											ITPR	medium	protista_other	74.9	62.0	0.1722	partial	Eukaryota		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	Saprolegnia	SAR		
A0A067C0I0	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	ITPR	ITPR	high	878.4	252.0	0.7131	interpro+calibration	InterPro	SPRG_22304	MIR domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	2700	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF01365;PF02815;PF08454;PF08709	4		InterPro											ITPR	high	protista_other	878.4	252.0	0.7131	architecture	Eukaryota		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	Saprolegnia	SAR		
A0A067C0Y4	unassigned	none	neither instrument called it	none	unassigned	unassigned	none	56.7	0.0	1.0	interpro+calibration	InterPro	SPRG_14005	Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	144	0		0	Predicted	1	PF08709	PF08709	1		InterPro											unassigned	none	protista_other	56.7	0.0	1.0	module	Eukaryota		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	Saprolegnia	SAR		
A0A067C1N9	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	ITPR	ITPR	high	863.4	260.7	0.6981	interpro+calibration	InterPro	SPRG_14004	RyR/IP3R Homology associated domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	2168	1		0	Predicted	0	PF01365;PF08454	PF00520;PF01365;PF08454	3		InterPro											ITPR	high	protista_other	863.4	260.7	0.6981	architecture	Eukaryota		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	Saprolegnia	SAR		
A0A067C5H2	unassigned	none	neither instrument called it	none	unassigned	unassigned	none	43.4	0.0	1.0	interpro+calibration	InterPro	SPRG_09784	Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	142	0		0	Predicted	1	PF08709	PF08709	1		InterPro											unassigned	none	protista_other	43.4	0.0	1.0	module	Eukaryota		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	Saprolegnia	SAR		
A0A067C7T7	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	ITPR	ITPR	high	710.1	223.2	0.6857	interpro+calibration	InterPro	SPRG_12592	Uncharacterized protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	2775	1		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF08454;PF08709	4		InterPro											ITPR	high	protista_other	710.1	223.2	0.6857	architecture	Eukaryota		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	Saprolegnia	SAR		
A0A067CP00	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	high	911.6	247.7	0.7283	interpro+calibration	InterPro	SPRG_03410	RyR/IP3R Homology associated domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	1873	0		0	Predicted	0	PF08454	PF00520;PF08454	2		InterPro											ITPR	high	protista_other	911.6	247.7	0.7283	architecture	Eukaryota		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	Saprolegnia	SAR		
A0A067CSU7	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	high	402.7	94.4	0.7656	interpro+calibration	InterPro	SPRG_04939	Uncharacterized protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	1905	0		0	Predicted	0	PF01365;PF08454;PF08709	PF01365;PF02815;PF08454;PF08709	4		InterPro											ITPR	high	protista_other	402.7	94.4	0.7656	architecture	Eukaryota		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	Saprolegnia	SAR		
