label	organism	vclass	cell	truth	call	best	best_score	margin	n_keys	score_ITPR1	score_ITPR2	score_ITPR3
Chaetura_pelagica|GCF_000747805.2|ITPR1.0	Chaetura pelagica	Aves	ITPR1	ITPR1	ITPR1	ITPR1	13	13	17	13	0	0
Chanos_chanos|GCF_902362185.1|ITPR1.0	Chanos chanos	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Characodon_lateralis|GCA_036250325.1|ITPR1.0	Characodon lateralis	Actinopteri	ITPR1	ITPR1	no_call		0	0	0	0	0	0
Charadrius_vociferus|GCF_000708025.1|ITPR1.0	Charadrius vociferus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	18	14	0	0
Chiloscyllium_punctatum|GCF_047496795.1|ITPR1.0	Chiloscyllium punctatum	Chondrichthyes	ITPR1	ITPR1	ITPR1	ITPR1	10	10	20	10	0	0
Chlamydotis_macqueenii|GCF_036417535.1|ITPR1.0	Chlamydotis macqueenii	Aves	ITPR1	ITPR1	ITPR1	ITPR1	13	13	20	13	0	0
Ciconia_boyciana|GCF_034638445.1|ITPR1.0	Ciconia boyciana	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Cnephaeus_nilssonii|GCF_951640355.1|ITPR1.0	Cnephaeus nilssonii	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	8	8	20	8	0	0
Colius_striatus|GCF_028858725.1|ITPR1.0	Colius striatus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Cololabis_saira|GCF_033807715.1|ITPR1.0	Cololabis saira	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Columbina_picui|GCA_013397635.1|ITPR1.0	Columbina picui	Aves	ITPR1	ITPR1	no_call	ITPR1	1	1	1	1	0	0
Corvus_brachyrhynchos|GCF_000691975.1|ITPR1.0	Corvus brachyrhynchos	Aves	ITPR1	ITPR1	ITPR1	ITPR1	13	13	16	13	0	0
Cricetulus_griseus|GCF_003668045.3|ITPR1.0	Cricetulus griseus	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Cuculus_canorus|GCF_017976375.1|ITPR1.0	Cuculus canorus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	13	13	20	13	0	0
Cynocephalus_volans|GCF_027409185.1|ITPR1.0	Cynocephalus volans	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Danio_rerio|GCF_052040795.1|ITPR1.0	Danio rerio	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Dasypus_novemcinctus|GCF_030445035.2|ITPR1.0	Dasypus novemcinctus	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	13	13	20	13	0	0
Diceros_bicornis_minor|GCF_020826845.1|ITPR1.0	Diceros bicornis minor	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Dromaius_novaehollandiae|GCF_036370855.1|ITPR1.0	Dromaius novaehollandiae	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Dromiciops_gliroides|GCF_019393635.1|ITPR1.0	Dromiciops gliroides	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Dryobates_pubescens|GCF_014839835.1|ITPR1.0	Dryobates pubescens	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Egretta_garzetta|GCF_000687185.1|ITPR1.0	Egretta garzetta	Aves	ITPR1	ITPR1	ITPR1	ITPR1	9	9	13	9	0	0
Electrophorus_electricus|GCF_041902795.1|ITPR1.0	Electrophorus electricus	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Elephantulus_edwardii|GCF_000299155.1|ITPR1.0	Elephantulus edwardii	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	9	9	12	9	0	0
Elephas_maximus_indicus|GCF_024166365.1|ITPR1.0	Elephas maximus indicus	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Eleutherodactylus_coqui|GCF_035609145.1|ITPR1.0	Eleutherodactylus coqui	Amphibia	ITPR1	ITPR1	ITPR1	ITPR1	13	13	20	13	0	0
Engraulis_encrasicolus|GCF_034702125.1|ITPR1.0	Engraulis encrasicolus	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Equus_quagga|GCF_021613505.1|ITPR1.0	Equus quagga	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Eubucco_bourcierii|GCA_013396675.1|ITPR1.0	Eubucco bourcierii	Aves	ITPR1	ITPR1	ITPR1	ITPR1	3	3	4	3	0	0
Eurypyga_helias|GCF_000690775.1|ITPR1.0	Eurypyga helias	Aves	ITPR1	ITPR1	no_call		0	0	0	0	0	0
Falco_peregrinus|GCF_023634155.1|ITPR1.0	Falco peregrinus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Fulmarus_glacialis|GCF_000690835.1|ITPR1.0	Fulmarus glacialis	Aves	ITPR1	ITPR1	no_call		0	0	0	0	0	0
Gadus_morhua|GCF_902167405.1|ITPR1.0	Gadus morhua	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Gallinula_chloropus|GCF_964237585.1|ITPR1.0	Gallinula chloropus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Gallus_gallus|GCF_016699485.2|ITPR1.0	Gallus gallus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Gavia_stellata|GCF_030936135.1|ITPR1.0	Gavia stellata	Aves	ITPR1	ITPR1	ITPR1	ITPR1	13	13	20	13	0	0
Genypterus_blacodes|GCF_046128005.1|ITPR1.0	Genypterus blacodes	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Giraffa_tippelskirchi|GCF_054371585.1|ITPR1.0	Giraffa tippelskirchi	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Gopherus_flavomarginatus|GCF_025201925.1|ITPR1.0	Gopherus flavomarginatus	Testudines	ITPR1	ITPR1	ITPR1	ITPR1	12	12	20	12	0	0
Gracilinanus_agilis|GCF_016433145.1|ITPR1.0	Gracilinanus agilis	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	13	13	20	13	0	0
Gymnogyps_californianus|GCF_018139145.2|ITPR1.0	Gymnogyps californianus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Haliaeetus_albicilla|GCF_947461875.1|ITPR1.0	Haliaeetus albicilla	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Hemicordylus_capensis|GCF_027244095.1|ITPR1.0	Hemicordylus capensis	Lepidosauria	ITPR1	ITPR1	ITPR1	ITPR1	12	12	20	12	0	0
Hemitrygon_akajei|GCF_048418815.1|ITPR1.0	Hemitrygon akajei	Chondrichthyes	ITPR1	ITPR1	ITPR1	ITPR1	11	11	20	11	0	0
Heptranchias_perlo|GCF_035084215.1|ITPR1.0	Heptranchias perlo	Chondrichthyes	ITPR1	ITPR1	ITPR1	ITPR1	11	11	20	11	0	0
Heterodontus_francisci|GCF_036365525.1|ITPR1.0	Heterodontus francisci	Chondrichthyes	ITPR1	ITPR1	ITPR1	ITPR1	11	11	20	11	0	0
Heterohyrax_brucei|GCA_028571685.1|ITPR1.0	Heterohyrax brucei	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Homo_sapiens|GCF_000001405.40|ITPR1.0	Homo sapiens	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	19	14	0	0
Hoplias_malabaricus|GCF_029633855.1|ITPR1.0	Hoplias malabaricus	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Ilyodon_furcidens|GCA_040091305.1|ITPR1.0	Ilyodon furcidens	Actinopteri	ITPR1	ITPR1	no_call		0	0	0	0	0	0
Larus_argentatus|GCF_964417175.1|ITPR1.0	Larus argentatus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Lathamus_discolor|GCF_037157495.1|ITPR1.0	Lathamus discolor	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Lepisosteus_oculatus|GCF_040954835.1|ITPR1.0	Lepisosteus oculatus	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	7	7	20	7	0	0
Leptosomus_discolor|GCF_034619465.1|ITPR1.0	Leptosomus discolor	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Lissotriton_helveticus|GCF_964261635.1|ITPR1.0	Lissotriton helveticus	Amphibia	ITPR1	ITPR1	ITPR1	ITPR1	13	13	20	13	0	0
Lutjanus_erythropterus|GCF_056507025.1|ITPR1.0	Lutjanus erythropterus	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Macaca_mulatta|GCF_049350105.2|ITPR1.0	Macaca mulatta	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Macrotis_lagotis|GCF_037893015.1|ITPR1.0	Macrotis lagotis	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Manacus_vitellinus|GCF_001715985.3|ITPR1.0	Manacus vitellinus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Manis_pentadactyla|GCF_030020395.1|ITPR1.0	Manis pentadactyla	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Mesitornis_unicolor|GCF_000695765.1|ITPR1.0	Mesitornis unicolor	Aves	ITPR1	ITPR1	no_call		0	0	0	0	0	0
Microchirus_variegatus|GCF_963457635.1|ITPR1.0	Microchirus variegatus	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Mus_musculus|GCF_000001635.27|ITPR1.0	Mus musculus	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Mycteria_americana|GCF_035582795.1|ITPR1.0	Mycteria americana	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Narcine_bancroftii|GCF_036971445.1|ITPR1.0	Narcine bancroftii	Chondrichthyes	ITPR1	ITPR1	ITPR1	ITPR1	7	7	20	7	0	0
Neoarius_graeffei|GCF_027579695.1|ITPR1.0	Neoarius graeffei	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	11	1	0	0
Neogale_vison|GCF_020171115.1|ITPR1.0	Neogale vison	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	13	13	20	13	0	0
Nestor_notabilis|GCF_000696875.1|ITPR1.0	Nestor notabilis	Aves	ITPR1	ITPR1	no_call		0	0	0	0	0	0
Nibea_albiflora|GCA_014281875.1|ITPR1.0	Nibea albiflora	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Nipponia_nippon|GCF_047370975.1|ITPR1.0	Nipponia nippon	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Notamacropus_eugenii|GCF_028372415.1|ITPR1.0	Notamacropus eugenii	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	13	13	20	13	0	0
Nothoprocta_perdicaria|GCF_003342845.1|ITPR1.0	Nothoprocta perdicaria	Aves	ITPR1	ITPR1	ITPR1	ITPR1	9	9	20	9	0	0
Notothenia_rossii|GCF_949606895.1|ITPR1.0	Notothenia rossii	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Nyctibius_grandis|GCF_013368605.1|ITPR1.0	Nyctibius grandis	Aves	ITPR1	ITPR1	ITPR1	ITPR1	13	13	20	13	0	0
Opisthocomus_hoazin|GCF_030867145.1|ITPR1.0	Opisthocomus hoazin	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Ornithorhynchus_anatinus|GCF_004115215.2|ITPR1.0	Ornithorhynchus anatinus	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Orycteropus_afer_afer|GCF_000298275.1|ITPR1.0	Orycteropus afer afer	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	4	4	4	4	0	0
Oryctolagus_cuniculus|GCF_964237555.1|ITPR1.0	Oryctolagus cuniculus	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	18	14	0	0
Pelecanus_crispus|GCF_030463565.1|ITPR1.0	Pelecanus crispus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Phaethon_aethereus|GCF_964289735.1|ITPR1.0	Phaethon aethereus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	13	13	20	13	0	0
Phaethon_lepturus|GCF_000687285.1|ITPR1.0	Phaethon lepturus	Aves	ITPR1	ITPR1	no_call		0	0	0	0	0	0
Phalacrocorax_carbo|GCF_963921805.1|ITPR1.0	Phalacrocorax carbo	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Phoenicopterus_ruber_ruber|GCA_009819775.1|ITPR1.0	Phoenicopterus ruber ruber	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Phoxinus_phoxinus|GCF_949152265.1|ITPR1.0	Phoxinus phoxinus	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Platalea_leucorodia|GCF_965183815.1|ITPR1.0	Platalea leucorodia	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Poecile_atricapillus|GCF_030490865.1|ITPR1.0	Poecile atricapillus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Polyodon_spathula|GCF_017654505.1|ITPR1.1	Polyodon spathula	Actinopteri	ITPR1	ITPR1	no_call		0	0	20	0	0	0
Pristis_pectinata|GCF_009764475.1|ITPR1.0	Pristis pectinata	Chondrichthyes	ITPR1	ITPR1	ITPR1	ITPR1	11	11	20	11	0	0
Protopterus_annectens|GCF_019279795.1|ITPR1.0	Protopterus annectens	Dipnoi	ITPR1	ITPR1	ITPR1	ITPR1	8	8	20	8	0	0
Pterocles_gutturalis|GCF_000699245.1|ITPR1.0	Pterocles gutturalis	Aves	ITPR1	ITPR1	no_call		0	0	0	0	0	0
Pygoscelis_adeliae|GCF_000699105.1|ITPR1.0	Pygoscelis adeliae	Aves	ITPR1	ITPR1	ITPR1	ITPR1	9	9	11	9	0	0
Rhea_pennata|GCF_028389875.1|ITPR1.0	Rhea pennata	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Rhinatrema_bivittatum|GCF_901001135.2|ITPR1.0	Rhinatrema bivittatum	Amphibia	ITPR1	ITPR1	ITPR1	ITPR1	12	12	20	12	0	0
Saccopteryx_bilineata|GCF_036850765.1|ITPR1.0	Saccopteryx bilineata	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	9	9	20	9	0	0
Scyliorhinus_torazame|GCF_047496885.1|ITPR1.0	Scyliorhinus torazame	Chondrichthyes	ITPR1	ITPR1	ITPR1	ITPR1	8	8	20	8	0	0
Sminthopsis_crassicaudata|GCF_048593235.1|ITPR1.0	Sminthopsis crassicaudata	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Sorex_araneus|GCF_027595985.1|ITPR1.0	Sorex araneus	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	12	12	16	12	0	0
Sphaeramia_orbicularis|GCF_902148855.1|ITPR1.0	Sphaeramia orbicularis	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Sphaerodactylus_townsendi|GCF_021028975.2|ITPR1.0	Sphaerodactylus townsendi	Lepidosauria	ITPR1	ITPR1	ITPR1	ITPR1	12	12	20	12	0	0
Steatornis_caripensis|GCA_054099775.1|ITPR1.0	Steatornis caripensis	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Strix_uralensis|GCF_047716275.1|ITPR1.0	Strix uralensis	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Struthio_camelus|GCF_040807025.1|ITPR1.0	Struthio camelus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Struthio_camelus_australis|GCF_000698965.1|ITPR1.0	Struthio camelus australis	Aves	ITPR1	ITPR1	ITPR1	ITPR1	6	6	10	6	0	0
Sylvia_borin|GCA_014839755.1|ITPR1.0	Sylvia borin	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Tamandua_tetradactyla|GCF_023851605.1|ITPR1.0	Tamandua tetradactyla	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	9	9	20	9	0	0
Tauraco_erythrolophus|GCF_009769465.1|ITPR1.0	Tauraco erythrolophus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Tenrec_ecaudatus|GCF_050624435.1|ITPR1.0	Tenrec ecaudatus	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	6	6	20	6	0	0
Tinamus_guttatus|GCF_000705375.1|ITPR1.0	Tinamus guttatus	Aves	ITPR1	ITPR1	no_call	ITPR1	2	2	2	2	0	0
Trichechus_manatus_latirostris|GCF_000243295.1|ITPR1.0	Trichechus manatus latirostris	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	13	13	15	13	0	0
Tupaia_belangeri_chinensis|GCF_000334495.1|ITPR1.0	Tupaia belangeri chinensis	Mammalia	ITPR1	ITPR1	ITPR1	ITPR1	4	4	4	4	0	0
Tyto_alba|GCF_018691265.1|ITPR1.0	Tyto alba	Aves	ITPR1	ITPR1	ITPR1	ITPR1	12	12	20	12	0	0
Xenopus_tropicalis|GCF_000004195.4|ITPR1.0	Xenopus tropicalis	Amphibia	ITPR1	ITPR1	ITPR1	ITPR1	12	12	20	12	0	0
Alca_torda|GCA_008658365.1|ITPR2.0	Alca torda	Aves	ITPR2	ITPR2	ITPR2	ITPR2	10	10	20	0	10	0
Alligator_mississippiensis|GCF_030867095.1|ITPR2.0	Alligator mississippiensis	Crocodylia	ITPR2	ITPR2	ITPR2	ITPR2	11	11	20	0	11	0
Ameca_splendens|GCA_040091285.1|ITPR2.0	Ameca splendens	Actinopteri	ITPR2	ITPR2	no_call		0	0	0	0	0	0
Amia_ocellicauda|GCF_036373705.1|ITPR2.0	Amia ocellicauda	Actinopteri	ITPR2	ITPR2	ITPR2	ITPR2	3	3	20	0	3	0
Ammodytes_marinus|GCF_949987685.1|ITPR2.0	Ammodytes marinus	Actinopteri	ITPR2	ITPR2	ITPR2	ITPR2	4	4	20	0	4	0
Anas_platyrhynchos|GCF_047663525.1|ITPR2.0	Anas platyrhynchos	Aves	ITPR2	ITPR2	ITPR2	ITPR2	11	11	20	0	11	0
Antennarius_striatus|GCF_040054535.1|ITPR2.0	Antennarius striatus	Actinopteri	ITPR2	ITPR2	ITPR2	ITPR2	4	4	20	0	4	0
Aphelocoma_coerulescens|GCF_041296385.2|ITPR2.0	Aphelocoma coerulescens	Aves	ITPR2	ITPR2	ITPR2	ITPR2	11	11	20	0	11	0
Aplochiton_taeniatus|GCA_017639675.1|ITPR2.0	Aplochiton taeniatus	Actinopteri	ITPR2	ITPR2	ITPR2	ITPR2	3	3	20	0	3	0
Aptenodytes_forsteri|GCF_000699145.1|ITPR2.0	Aptenodytes forsteri	Aves	ITPR2	ITPR2	ITPR2	ITPR2	9	9	20	0	9	0
Aptenodytes_patagonicus|GCF_965638725.1|ITPR2.0	Aptenodytes patagonicus	Aves	ITPR2	ITPR2	ITPR2	ITPR2	11	11	20	0	11	0
Apteryx_mantelli|GCF_036417845.1|ITPR2.0	Apteryx mantelli	Aves	ITPR2	ITPR2	ITPR2	ITPR2	10	10	20	0	10	0
Apus_apus|GCF_020740795.1|ITPR2.0	Apus apus	Aves	ITPR2	ITPR2	ITPR2	ITPR2	11	11	20	0	11	0
Aquarana_catesbeiana|GCF_042186555.1|ITPR2.0	Aquarana catesbeiana	Amphibia	ITPR2	ITPR2	ITPR2	ITPR2	9	9	20	0	9	0
Ataeniobius_toweri|GCA_036250305.1|ITPR2.0	Ataeniobius toweri	Actinopteri	ITPR2	ITPR2	no_call		0	0	0	0	0	0
Balearica_regulorum_gibbericeps|GCF_011004875.1|ITPR2.0	Balearica regulorum gibbericeps	Aves	ITPR2	ITPR2	ITPR2	ITPR2	11	11	20	0	11	0
Bombina_bombina|GCF_027579735.1|ITPR2.0	Bombina bombina	Amphibia	ITPR2	ITPR2	ITPR2	ITPR2	11	11	20	0	11	0
Borostomias_antarcticus|GCF_949987555.1|ITPR2.0	Borostomias antarcticus	Actinopteri	ITPR2	ITPR2	ITPR2	ITPR2	4	4	20	0	4	0
Bucorvus_abyssinicus|GCA_009769605.1|ITPR2.0	Bucorvus abyssinicus	Aves	ITPR2	ITPR2	ITPR2	ITPR2	6	6	16	0	6	0
Callorhinchus_milii|GCF_018977255.1|ITPR2.0	Callorhinchus milii	Chondrichthyes	ITPR2	ITPR2	ITPR2	ITPR2	3	3	20	0	3	0
Caloenas_nicobarica|GCF_036013445.1|ITPR2.0	Caloenas nicobarica	Aves	ITPR2	ITPR2	ITPR2	ITPR2	11	11	20	0	11	0
Calonectris_borealis|GCF_964195595.1|ITPR2.0	Calonectris borealis	Aves	ITPR2	ITPR2	ITPR2	ITPR2	11	11	20	0	11	0
Calypte_anna|GCF_003957555.1|ITPR2.0	Calypte anna	Aves	ITPR2	ITPR2	ITPR2	ITPR2	10	10	20	0	10	0
Caprimulgus_europaeus|GCF_907165065.1|ITPR2.0	Caprimulgus europaeus	Aves	ITPR2	ITPR2	ITPR2	ITPR2	10	10	20	0	10	0
Carcharodon_carcharias|GCF_017639515.1|ITPR2.0	Carcharodon carcharias	Chondrichthyes	ITPR2	ITPR2	ITPR2	ITPR2	3	3	20	0	3	0
Chaetodon_trifascialis|GCF_039877785.1|ITPR2.0	Chaetodon trifascialis	Actinopteri	ITPR2	ITPR2	ITPR2	ITPR2	4	4	20	0	4	0
Chaetura_pelagica|GCF_000747805.2|ITPR2.0	Chaetura pelagica	Aves	ITPR2	ITPR2	ITPR2	ITPR2	4	4	10	0	4	0
Channa_argus|GCF_033026475.1|ITPR2.0	Channa argus	Actinopteri	ITPR2	ITPR2	ITPR2	ITPR2	4	4	20	0	4	0
Chanos_chanos|GCF_902362185.1|ITPR2.0	Chanos chanos	Actinopteri	ITPR2	ITPR2	ITPR2	ITPR2	3	3	20	0	3	0
Characodon_lateralis|GCA_036250325.1|ITPR2.0	Characodon lateralis	Actinopteri	ITPR2	ITPR2	no_call		0	0	0	0	0	0
Charadrius_vociferus|GCF_000708025.1|ITPR2.0	Charadrius vociferus	Aves	ITPR2	ITPR2	ITPR2	ITPR2	6	6	20	0	6	0
Cheilinus_undulatus|GCF_018320785.1|ITPR2.0	Cheilinus undulatus	Actinopteri	ITPR2	ITPR2	ITPR2	ITPR2	3	3	20	0	3	0
Chelon_labrosus|GCF_963514085.1|ITPR2.0	Chelon labrosus	Actinopteri	ITPR2	ITPR2	ITPR2	ITPR2	4	4	20	0	4	0
Chiloscyllium_punctatum|GCF_047496795.1|ITPR2.0	Chiloscyllium punctatum	Chondrichthyes	ITPR2	ITPR2	ITPR2	ITPR2	3	3	20	0	3	0
Chlamydotis_macqueenii|GCF_036417535.1|ITPR2.0	Chlamydotis macqueenii	Aves	ITPR2	ITPR2	ITPR2	ITPR2	11	11	20	0	11	0
Ciconia_boyciana|GCF_034638445.1|ITPR2.0	Ciconia boyciana	Aves	ITPR2	ITPR2	ITPR2	ITPR2	11	11	20	0	11	0
