label	accession	organism	vclass	vorder	cell	locus_idx	status	contig	start	end	span_bp	identity	coverage	bait	bait_paralog	annot_gene	annot_paralog	has_gene_table
Sphenodon_punctatus|GCA_003113815.1|ITPR1.0	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	ITPR1	0	found_no_annotation	QEPC01008366.1	2025790	2509193	483403	0.9524	0.9975	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1			0
Sphenodon_punctatus|GCA_003113815.1|ITPR2.0	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	ITPR2	0	found_no_annotation	QEPC01007142.1	232928	852348	619420	0.9338	1.0000	F1P1X4|ITPR2|Gallus_gallus|ITPR2	ITPR2			0
Sphenodon_punctatus|GCA_003113815.1|ITPR3.0	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	ITPR3	0	found_no_annotation	QEPC01007384.1	3264626	3429450	164824	0.9415	1.0000	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3			0
Sphenodon_punctatus|GCA_003113815.1|RYR.0	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	RYR	0	found_no_annotation	QEPC01010682.1	4003349	5346596	1343247	0.9493	0.9960	A0A3Q0HBW9|RYR|Alligator_sinensis	RYR			0
Sphenodon_punctatus|GCA_003113815.1|RYR.1	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	RYR	1	found_no_annotation	QEPC01001878.1	319223	437986	118763	0.7380	0.9968	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			0
Sphenodon_punctatus|GCA_003113815.1|RYR.2	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	RYR	2	found_no_annotation	QEPC01010852.1	1631536	2749155	1117619	0.6711	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			0
Laticauda_laticaudata|GCA_004320025.1|ITPR1.0	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	ITPR1	0	assembly_gap	BHFT01002173.1	5172	60614	55442	0.9671	0.5817	A0A670JBK6|ITPR1|Podarcis_muralis	ITPR1			0
Laticauda_laticaudata|GCA_004320025.1|ITPR2.0	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	ITPR2	0	assembly_gap	BHFT01019722.1	2266	51441	49175	0.9130	0.5616	A0ABM1LG32|ITPR2|Gekko_japonicus	ITPR2			0
Laticauda_laticaudata|GCA_004320025.1|ITPR3.0	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	ITPR3	0	assembly_gap	BHFT01014849.1	37021	87841	50820	0.9385	0.5911	A0A6J0TV85|ITPR3|Pogona_vitticeps	ITPR3			0
Laticauda_laticaudata|GCA_004320025.1|RYR.0	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	RYR	0	found_no_annotation	BHFT01042859.1	31	83319	83288	0.8504	0.7250	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			0
Laticauda_laticaudata|GCA_004320025.1|RYR.1	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	RYR	1	found_no_annotation	BHFT01026245.1	2114	50549	48435	0.9050	0.4308	A0A3Q0HBW9|RYR|Alligator_sinensis	RYR			0
Laticauda_laticaudata|GCA_004320025.1|RYR.2	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	RYR	2	found_no_annotation	BHFT01031327.1	6564	41077	34513	0.7973	0.2422	H3BGR5|RYR|Latimeria_chalumnae	RYR			0
Laticauda_laticaudata|GCA_004320025.1|RYR.3	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	RYR	3	found_no_annotation	BHFT01031326.1	736	43779	43043	0.9045	0.2156	Q92736|RYR2|Homo_sapiens|RYR2	RYR2			0
Laticauda_laticaudata|GCA_004320025.1|RYR.4	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	RYR	4	found_no_annotation	BHFT01041112.1	5596	50321	44725	0.7173	0.2559	Q92736|RYR2|Homo_sapiens|RYR2	RYR2			0
Laticauda_laticaudata|GCA_004320025.1|RYR.5	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	RYR	5	found_no_annotation	BHFT01036106.1	2172	45179	43007	0.8903	0.1572	Q92736|RYR2|Homo_sapiens|RYR2	RYR2			0
Anomalopteryx_didiformis|GCA_006937325.1|ITPR1.0	GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	ITPR1	0	found_no_annotation	SZQC01000012.1	7428581	7607553	178972	0.9412	1.0000	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1			0
Anomalopteryx_didiformis|GCA_006937325.1|ITPR2.0	GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	ITPR2	0	found_no_annotation	SZQC01000052.1	75815	345217	269402	0.9404	1.0000	F1P1X4|ITPR2|Gallus_gallus|ITPR2	ITPR2			0
Anomalopteryx_didiformis|GCA_006937325.1|ITPR3.0	GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	ITPR3	0	found_no_annotation	SZQC01000046.1	3993909	4037271	43362	0.9589	1.0000	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3			0
Anomalopteryx_didiformis|GCA_006937325.1|RYR.0	GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	RYR	0	found_no_annotation	SZQC01000381.1	3437	371350	367913	0.9043	0.7081	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			0
Anomalopteryx_didiformis|GCA_006937325.1|RYR.1	GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	RYR	1	found_no_annotation	SZQC01000017.1	7191534	7297088	105554	0.6358	0.5473	A0A3Q0HBW9|RYR|Alligator_sinensis	RYR			0
Anomalopteryx_didiformis|GCA_006937325.1|RYR.2	GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	RYR	2	found_no_annotation	SZQC01000027.1	6276364	6354250	77886	0.9042	0.2816	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			0
Sousa_chinensis|GCA_007760645.1|ITPR1.0	GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	ITPR1	0	found_no_annotation	RWJT01005793.1	19976061	20272933	296872	0.9797	1.0000	Q14643|ITPR1|Homo_sapiens|ITPR1	ITPR1			0
Sousa_chinensis|GCA_007760645.1|ITPR2.0	GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	ITPR2	0	found_no_annotation	RWJT01020497.1	5271385	5782005	510620	0.9594	1.0000	Q14571|ITPR2|Homo_sapiens|ITPR2	ITPR2			0
Sousa_chinensis|GCA_007760645.1|ITPR3.0	GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	ITPR3	0	found_no_annotation	RWJT01022005.1	5949234	6016275	67041	0.9738	1.0000	Q14573|ITPR3|Homo_sapiens|ITPR3	ITPR3			0
Sousa_chinensis|GCA_007760645.1|RYR.0	GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	RYR	0	found_no_annotation	RWJT01001056.1	140403	872842	732439	0.9763	1.0000	Q92736|RYR2|Homo_sapiens|RYR2	RYR2			0
Sousa_chinensis|GCA_007760645.1|RYR.1	GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	RYR	1	found_no_annotation	RWJT01019646.1	7646897	7772846	125949	0.7861	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			0
Sousa_chinensis|GCA_007760645.1|RYR.2	GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	RYR	2	found_no_annotation	RWJT01018246.1	1472992	2023843	550851	0.6653	0.9968	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			0
Alca_torda|GCA_008658365.1|ITPR1.0	GCA_008658365.1	Alca torda	Aves	Charadriiformes	ITPR1	0	found_annotated	CM018086.1	14511323	14687739	176416	0.9903	1.0000	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1	ITPR1	ITPR1	1
Alca_torda|GCA_008658365.1|ITPR2.0	GCA_008658365.1	Alca torda	Aves	Charadriiformes	ITPR2	0	found_annotated	CM018076.1	74630781	74897326	266545	0.9772	1.0000	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2	ITPR2	ITPR2	1
Alca_torda|GCA_008658365.1|ITPR3.0	GCA_008658365.1	Alca torda	Aves	Charadriiformes	ITPR3	0	found_annotated	CM018095.1	3506405	3555552	49147	0.9831	1.0000	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3	ITPR3	ITPR3	1
Alca_torda|GCA_008658365.1|RYR.0	GCA_008658365.1	Alca torda	Aves	Charadriiformes	RYR	0	found_annotated	CM018078.1	42099162	42521409	422247	0.9847	1.0000	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2	RYR2	RYR2	1
Alca_torda|GCA_008658365.1|RYR.1	GCA_008658365.1	Alca torda	Aves	Charadriiformes	RYR	1	found_annotated	CM018080.1	32535056	32770773	235717	0.6768	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1	RYR3	RYR3	1
Bucorvus_abyssinicus|GCA_009769605.1|ITPR1.0	GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	ITPR1	0	found_annotated	CM020037.1	21025145	21185024	159879	0.9888	1.0000	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1	ITPR1	ITPR1	1
Bucorvus_abyssinicus|GCA_009769605.1|ITPR2.0	GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	ITPR2	0	found_annotated	CM020053.1	12089772	12346833	257061	0.9767	1.0000	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2	ITPR2	ITPR2	1
Bucorvus_abyssinicus|GCA_009769605.1|ITPR3.0	GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	ITPR3	0	found_annotated	CM020055.1	2991828	3045426	53598	0.9865	1.0000	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3	ITPR3	ITPR3	1
Bucorvus_abyssinicus|GCA_009769605.1|RYR.0	GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	RYR	0	found_annotated	CM020031.1	30080173	30383635	303462	0.9795	0.9930	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2	RYR2	RYR2	1
Bucorvus_abyssinicus|GCA_009769605.1|RYR.1	GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	RYR	1	found_annotated	CM020042.1	5133878	5346665	212787	0.6738	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1	RYR3	RYR3	1
Phoenicopterus_ruber_ruber|GCA_009819775.1|ITPR1.0	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	ITPR1	0	found_annotated	CM020224.1	2238597	2413674	175077	0.9928	1.0000	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1	ITPR1	ITPR1	1
Phoenicopterus_ruber_ruber|GCA_009819775.1|ITPR2.0	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	ITPR2	0	found_annotated	CM020215.1	76787452	77053252	265800	0.9865	1.0000	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2	ITPR2	ITPR2	1
Phoenicopterus_ruber_ruber|GCA_009819775.1|ITPR3.0	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	ITPR3	0	found_annotated	CM020239.1	4308884	4357363	48479	0.9899	1.0000	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3	ITPR3	ITPR3	1
Phoenicopterus_ruber_ruber|GCA_009819775.1|RYR.0	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	RYR	0	found_annotated	CM020217.1	43176402	43630802	454400	0.9851	1.0000	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2	RYR2	RYR2	1
Phoenicopterus_ruber_ruber|GCA_009819775.1|RYR.1	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	RYR	1	found_annotated	CM020219.1	36415959	36660665	244706	0.6771	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1	RYR3	RYR3	1
Cervus_hanglu_yarkandensis|GCA_010411085.1|ITPR1.0	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	ITPR1	0	found_annotated	CM021215.1	37515229	37833219	317990	0.9815	1.0000	Q14643|ITPR1|Homo_sapiens|ITPR1	ITPR1	G4228_016139		1
Cervus_hanglu_yarkandensis|GCA_010411085.1|ITPR2.0	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	ITPR2	0	found_annotated	CM021213.1	22769371	23329935	560564	0.9785	1.0000	Q14571|ITPR2|Homo_sapiens|ITPR2	ITPR2	G4228_014783		1
Cervus_hanglu_yarkandensis|GCA_010411085.1|ITPR3.0	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	ITPR3	0	found_annotated	CM021198.1	7228230	7444914	216684	0.9715	1.0000	Q14573|ITPR3|Homo_sapiens|ITPR3	ITPR3	G4228_004757		1
Cervus_hanglu_yarkandensis|GCA_010411085.1|RYR.0	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	RYR	0	found_annotated	CM021206.1	2723846	3495477	771631	0.9793	1.0000	Q92736|RYR2|Homo_sapiens|RYR2	RYR2	G4228_010619		1
Cervus_hanglu_yarkandensis|GCA_010411085.1|RYR.1	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	RYR	1	found_annotated	CM021195.1	45417026	45713776	296750	0.7888	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1	G4228_002289		1
Cervus_hanglu_yarkandensis|GCA_010411085.1|RYR.2	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	RYR	2	found_annotated	CM021203.1	24710155	25256973	546818	0.6715	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1	G4228_008671		1
Dissostichus_mawsoni|GCA_011823955.1|ITPR1.0	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR1	0	found_unannotated	JAAKFY010000006.1	25372485	25435846	63361	0.9528	1.0000	A0A672IUQ7|ITPR1|Salarias_fasciatus	ITPR1			1
Dissostichus_mawsoni|GCA_011823955.1|ITPR1.1	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR1	1	found_unannotated	JAAKFY010000006.1	12061969	12166519	104550	0.8470	1.0000	A0A672IUQ7|ITPR1|Salarias_fasciatus	ITPR1	F7725_016552		1
Dissostichus_mawsoni|GCA_011823955.1|ITPR2.0	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR2	0	found_unannotated	JAAKFY010000007.1	17781036	17839072	58036	0.8622	1.0000	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	ITPR2			1
Dissostichus_mawsoni|GCA_011823955.1|ITPR3.0	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR3	0	found_unannotated	JAAKFY010000002.1	32293568	32378972	85404	0.8856	1.0000	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	ITPR3			1
Dissostichus_mawsoni|GCA_011823955.1|RYR.0	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	0	found_annotated	JAAKFY010000008.1	28825736	28999030	173294	0.8696	1.0000	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	RYR2	F7725_014813		1
Dissostichus_mawsoni|GCA_011823955.1|RYR.1	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	1	found_annotated	JAAKFY010000013.1	8762014	8874393	112379	0.7975	0.9992	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1	F7725_020359		1
Dissostichus_mawsoni|GCA_011823955.1|RYR.2	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	2	found_annotated	JAAKFY010000020.1	12009470	12064928	55458	0.7939	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			1
Dissostichus_mawsoni|GCA_011823955.1|RYR.3	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	3	found_annotated	JAAKFY010000015.1	14893862	15017626	123764	0.6669	1.0000	Q92736|RYR2|Homo_sapiens|RYR2	RYR2	F7725_007914		1
Dissostichus_mawsoni|GCA_011823955.1|RYR.4	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	4	found_annotated	JAAKFY010000019.1	13853216	13935566	82350	0.6456	1.0000	Q92736|RYR2|Homo_sapiens|RYR2	RYR2			1
Dissostichus_mawsoni|GCA_011823955.1|RYR.5	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	5	found_annotated	JAAKFY010000011.1	18743167	18859665	116498	0.6069	1.0000	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	vertebrate_basal	F7725_019825		1
Crypturellus_undulatus|GCA_013389825.1|ITPR1.0	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	ITPR1	0	found_unannotated	VWPW01023980.1	74623	225975	151352	0.9867	1.0000	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1			1
Crypturellus_undulatus|GCA_013389825.1|ITPR2.0	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	ITPR2	0	found_unannotated	VWPW01014676.1	286425	522703	236278	0.9800	1.0000	F1P1X4|ITPR2|Gallus_gallus|ITPR2	ITPR2			1
Crypturellus_undulatus|GCA_013389825.1|RYR.0	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	RYR	0	found_annotated	VWPW01022533.1	2613	236680	234067	0.9768	0.9386	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2	Ryr2_1	RYR2	1
Crypturellus_undulatus|GCA_013389825.1|RYR.1	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	RYR	1	found_annotated	VWPW01021686.1	6388	188083	181695	0.6769	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			1
Geococcyx_californianus|GCA_013389885.1|ITPR1.0	GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes	ITPR1	0	found_unannotated	VWPV01004098.1	11933	181147	169214	0.9870	1.0000	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1			1
