label	accession	organism	vclass	vorder	cell	locus_idx	status	window	n_flanks	scanned_up	scanned_down	n_informative	n_root_keys	in_matrix	keys_relaxed
Bucorvus_abyssinicus|GCA_009769605.1|ITPR3.0	GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	ITPR3	0	found_annotated	fixed10	20	10	10	16	16	1	APOBEC2;BAK1;FOXP4;GRM4;HMGA1;LEMD2;MDFI;MLN;NFYA;NUDT3;OARD1;PACSIN1;RPS10;SMIM29;SPDEF;TSPO2
Bucorvus_abyssinicus|GCA_009769605.1|RYR.0	GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	RYR	0	found_annotated	fixed10	20	10	10	19	19	0	ACTN2;B3GALNT2;CHRM3;EDARADD;ERO1B;EXO1;GPR137B;GREM2;HEATR1;LGALS8;LYST;MAP1LC3C;MTR;NID1;OPN3;PIGM;PLD5;RGS7;WDR64
Bucorvus_abyssinicus|GCA_009769605.1|RYR.1	GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	RYR	1	found_annotated	fixed10	20	10	10	18	18	1	AVEN;CDIN1;CHRM5;DPH6;EIF2AK4;EMC7;FAM98B;FMN1;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SPRED1;SRP14;THBS1;ZNF770
Phoenicopterus_ruber_ruber|GCA_009819775.1|ITPR1.0	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	ITPR1	0	found_annotated	fixed10	20	10	10	16	16	1	ARL8B;BHLHE40;CAV3;CHL1;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SRGAP3;SSUH2;SUMF1;TRNT1
Phoenicopterus_ruber_ruber|GCA_009819775.1|ITPR2.0	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	ITPR2	0	found_annotated	fixed10	20	10	10	19	19	1	BHLHE41;BMAL2;CYB5R3;DNAI7;ETFRF1;FGFR1OP2;GYS2;INTS13;IRAG2;KCNJ8;LDHB;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;STK38L;TM7SF3
Phoenicopterus_ruber_ruber|GCA_009819775.1|ITPR3.0	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	ITPR3	0	found_annotated	fixed10	20	10	10	17	17	1	APOBEC2;BAK1;FOXP4;GRM4;HMGA1;IP6K3;LEMD2;MDFI;MLN;NCR2;NFYA;OARD1;PACSIN1;RPS10;SMIM29;TFEB;TSPO2
Phoenicopterus_ruber_ruber|GCA_009819775.1|RYR.0	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	RYR	0	found_annotated	fixed10	20	10	10	20	20	1	ACTN2;CHRM3;EDARADD;ERO1B;EXO1;FMN2;GNG4;GPR137B;GREM2;HEATR1;LGALS8;LYST;MAP1LC3C;MTR;NID1;OPN3;PIGM;PLD5;RGS7;WDR64
Phoenicopterus_ruber_ruber|GCA_009819775.1|RYR.1	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	RYR	1	found_annotated	fixed10	20	10	10	18	18	0	ARHGAP11A;AVEN;CDIN1;CHRM5;DPH6;EIF2AK4;EMC7;FAM98B;FMN1;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SPRED1;SRP14;THBS1
Cervus_hanglu_yarkandensis|GCA_010411085.1|ITPR1.0	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	ITPR1	0	found_annotated	fixed10	20	10	10	0	0	1	
Cervus_hanglu_yarkandensis|GCA_010411085.1|ITPR2.0	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	ITPR2	0	found_annotated	fixed10	20	10	10	0	0	1	
Cervus_hanglu_yarkandensis|GCA_010411085.1|ITPR3.0	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	ITPR3	0	found_annotated	fixed10	20	10	10	0	0	1	
Cervus_hanglu_yarkandensis|GCA_010411085.1|RYR.0	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	RYR	0	found_annotated	fixed10	18	8	10	0	0	1	
Cervus_hanglu_yarkandensis|GCA_010411085.1|RYR.1	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	RYR	1	found_annotated	fixed10	20	10	10	0	0	0	
Cervus_hanglu_yarkandensis|GCA_010411085.1|RYR.2	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	RYR	2	found_annotated	fixed10	20	10	10	0	0	0	
Dissostichus_mawsoni|GCA_011823955.1|ITPR1.0	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR1	0	found_unannotated	fixed10	20	10	10	0	0	1	
Dissostichus_mawsoni|GCA_011823955.1|ITPR1.1	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR1	1	found_unannotated	fixed10	20	10	10	0	0	0	
Dissostichus_mawsoni|GCA_011823955.1|ITPR2.0	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR2	0	found_unannotated	fixed10	20	10	10	0	0	1	
Dissostichus_mawsoni|GCA_011823955.1|ITPR3.0	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR3	0	found_unannotated	fixed10	20	10	10	0	0	1	
Dissostichus_mawsoni|GCA_011823955.1|RYR.0	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	0	found_annotated	fixed10	13	10	3	0	0	1	
Dissostichus_mawsoni|GCA_011823955.1|RYR.1	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	1	found_annotated	fixed10	20	10	10	0	0	0	
Dissostichus_mawsoni|GCA_011823955.1|RYR.2	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	2	found_annotated	fixed10	20	10	10	0	0	0	
Dissostichus_mawsoni|GCA_011823955.1|RYR.3	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	3	found_annotated	fixed10	20	10	10	0	0	0	
Dissostichus_mawsoni|GCA_011823955.1|RYR.4	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	4	found_annotated	fixed10	20	10	10	0	0	0	
Dissostichus_mawsoni|GCA_011823955.1|RYR.5	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	5	found_annotated	fixed10	20	10	10	0	0	0	
Crypturellus_undulatus|GCA_013389825.1|ITPR1.0	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	ITPR1	0	found_unannotated	fixed10	3	2	1	3	3	1	BHLHE40;SETMAR;SUMF1
Crypturellus_undulatus|GCA_013389825.1|ITPR2.0	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	ITPR2	0	found_unannotated	fixed10	8	3	5	7	7	1	BHLHE41;FGFR1OP2;INTS13;MED21;SSPN;STK38L;TM7SF3
Crypturellus_undulatus|GCA_013389825.1|RYR.0	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	RYR	0	found_annotated	fixed10	0	0	0	0	0	0	
Crypturellus_undulatus|GCA_013389825.1|RYR.1	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	RYR	1	found_annotated	fixed10	11	1	10	9	9	1	ARHGAP11A;AVEN;DPH6;FAM98B;GREM1;LD;RASGRP1;SCG5;SPRED1
Geococcyx_californianus|GCA_013389885.1|ITPR1.0	GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes	ITPR1	0	found_unannotated	fixed10	0	0	0	0	0	1	
Geococcyx_californianus|GCA_013389885.1|RYR.0	GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes	RYR	0	assembly_gap	fixed10	0	0	0	0	0	1	
Geococcyx_californianus|GCA_013389885.1|RYR.1	GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes	RYR	1	assembly_gap	fixed10	0	0	0	0	0	0	
Geococcyx_californianus|GCA_013389885.1|RYR.2	GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes	RYR	2	assembly_gap	fixed10	0	0	0	0	0	0	
Todus_mexicanus|GCA_013389965.1|ITPR3.0	GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	ITPR3	0	found_annotated	fixed10	0	0	0	0	0	1	
Todus_mexicanus|GCA_013389965.1|RYR.0	GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	RYR	0	found_unannotated	fixed10	0	0	0	0	0	1	
Dryoscopus_gambensis|GCA_013389985.1|ITPR1.0	GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	ITPR1	0	found_unannotated	fixed10	3	0	3	3	3	1	ARL8BA;BHLHE40;EDEM1
Dryoscopus_gambensis|GCA_013389985.1|ITPR2.0	GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	ITPR2	0	found_unannotated	fixed10	2	0	2	2	2	1	RASSF8;SSPN
Dryoscopus_gambensis|GCA_013389985.1|ITPR3.0	GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	ITPR3	0	found_annotated	fixed10	10	0	10	9	9	1	GRM4;HMGA1;IP6K3;LEMD2;MLN;NUDT3;PACSIN1;RPS10;UQCC2
Dryoscopus_gambensis|GCA_013389985.1|RYR.0	GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	RYR	0	assembly_gap	fixed10	0	0	0	0	0	1	
Dryoscopus_gambensis|GCA_013389985.1|RYR.1	GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	RYR	1	assembly_gap	fixed10	0	0	0	0	0	0	
Chloropsis_hardwickii|GCA_013390065.1|ITPR1.0	GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	ITPR1	0	found_unannotated	fixed10	10	9	1	7	7	1	BHLHE40;CRBN;IL5RA;LRRN1;SETMAR;SUMF1;TRNT1
Chloropsis_hardwickii|GCA_013390065.1|ITPR2.0	GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	ITPR2	0	found_unannotated	fixed10	6	2	4	5	5	1	FGFR1OP2;INTS13;MED21;SSPN;TM7SF3
Chloropsis_hardwickii|GCA_013390065.1|ITPR3.0	GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	ITPR3	0	found_annotated	fixed10	2	2	0	2	2	1	IP6K3;UQCC2
Chloropsis_hardwickii|GCA_013390065.1|RYR.0	GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	RYR	0	found_annotated	fixed10	10	0	10	9	9	1	ACTN2;EDARADD;ERO1B;GNG4;GPR137B;HEATR1;LGALS8;LYST;NID1
Chloropsis_hardwickii|GCA_013390065.1|RYR.1	GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	RYR	1	found_annotated	fixed10	8	0	8	7	7	0	AVEN;CHRM5;EMC7;FSIP1;GPR176;KATNBL1;THBS1
Tichodroma_muraria|GCA_013390105.1|ITPR3.0	GCA_013390105.1	Tichodroma muraria	Aves	Passeriformes	ITPR3	0	found_annotated	fixed10	11	1	10	10	10	1	BAK1;GRM4;HMGA1;IP6K3;LEMD2;MLN;NUDT3;PRA1;RPS10;SNRPC
Menura_novaehollandiae|GCA_013396355.1|ITPR1.0	GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	ITPR1	0	found_unannotated	fixed10	20	10	10	14	14	1	BHLHE40;CAV3;CNTN4;CRBN;EDEM1;IL5RA;LMCD1;LRRN1;RAD18;SETMAR;SRGAP3;SUMF1;THUMPD3;TRNT1
Menura_novaehollandiae|GCA_013396355.1|ITPR2.0	GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	ITPR2	0	found_unannotated	fixed10	20	10	10	13	13	1	BHLHE41;CYB5R3;ENDOUA;ETFRF1;FGFR1OP2;GYS2;INTS13;KRAS;PPFIBP1;REP15;SPX;SSPN;TM7SF3
Menura_novaehollandiae|GCA_013396355.1|ITPR3.0	GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	ITPR3	0	found_annotated	fixed10	20	10	10	18	18	1	APOBEC2;BAK1;CD300A;GRM4;HMGA1;IP6K3;LEMD2;MDFI;MLN;NFYA;NUDT3;OARD1;PRA1;RPS10;SNRPC;TFEB;TREM2;UHRF1BP1
Menura_novaehollandiae|GCA_013396355.1|RYR.0	GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	RYR	0	found_annotated	fixed10	20	10	10	17	17	0	ACTN2;B3GALNT2;CHRM3;EDARADD;ERO1B;EXO1;FMN2;GNG4;GPR137B;GREM2;HEATR1;LYST;MAP1LC3C;NID1;OPN3;PIGM;RGS7
Menura_novaehollandiae|GCA_013396355.1|RYR.1	GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	RYR	1	found_annotated	fixed10	19	10	9	17	17	1	ARHGAP11A;AVEN;CHRM5;EIF2AK4;EMC7;FAM98B;FSIP1;GPR176;GREM1;KATNBL1;LD;MEIS2;RASGRP1;SCG5;SPRED1;SRP14;THBS1
Smithornis_capensis|GCA_013396465.1|ITPR1.0	GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	ITPR1	0	found_unannotated	fixed10	0	0	0	0	0	1	
Smithornis_capensis|GCA_013396465.1|ITPR2.0	GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	ITPR2	0	found_unannotated	fixed10	19	10	9	15	15	1	BHLHE41;CYB5R3;ENDOUA;ETFRF1;FGFR1OP2;GYS2;INTS13;KRAS;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;TM7SF3
Smithornis_capensis|GCA_013396465.1|ITPR3.0	GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	ITPR3	0	found_annotated	fixed10	4	0	4	4	4	1	IP6K3;LEMD2;MLN;UQCC2
Smithornis_capensis|GCA_013396465.1|RYR.0	GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	RYR	0	found_annotated	fixed10	10	10	0	10	10	1	ACTN2;B3GALNT2;EDARADD;ERO1B;GNG4;GPR137B;HEATR1;LYST;MTR;NID1
Smithornis_capensis|GCA_013396465.1|RYR.1	GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	RYR	1	found_annotated	fixed10	20	10	10	17	17	0	ARHGAP11A;AVEN;CHRM5;EIF2AK4;EMC7;FAM98B;FSIP1;GPR176;GREM1;KATNBL1;LD;ODF3;RASGRP1;SCG5;SPRED1;SRP14;THBS1
Ptilorrhoa_leucosticta|GCA_013396485.1|ITPR1.0	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	ITPR1	0	found_unannotated	fixed10	0	0	0	0	0	1	
Ptilorrhoa_leucosticta|GCA_013396485.1|ITPR2.0	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	ITPR2	0	found_unannotated	fixed10	2	0	2	2	2	1	BHLHE41;SSPN
Ptilorrhoa_leucosticta|GCA_013396485.1|ITPR3.0	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	ITPR3	0	assembly_gap	fixed10	0	0	0	0	0	1	
Ptilorrhoa_leucosticta|GCA_013396485.1|RYR.0	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	RYR	0	found_annotated	fixed10	11	8	3	9	9	1	ACTN2;CHRM3;EDARADD;ERO1B;FMN2;GPR137B;GREM2;HEATR1;NID1
Ptilorrhoa_leucosticta|GCA_013396485.1|RYR.1	GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	RYR	1	found_annotated	fixed10	17	10	7	16	16	0	ARHGAP11A;AVEN;CHRM5;EIF2AK4;EMC7;FAM98B;FSIP1;GPR176;GREM1;KATNBL1;LD;RASGRP1;SCG5;SPRED1;SRP14;THBS1
Eubucco_bourcierii|GCA_013396675.1|ITPR1.0	GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	ITPR1	0	found_annotated	fixed10	5	2	3	4	4	1	BHLHE40;EDEM1;SETMAR;SUMF1
Eubucco_bourcierii|GCA_013396675.1|ITPR2.0	GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	ITPR2	0	assembly_gap	fixed10	6	0	6	4	4	1	BHLHE41;ETFRF1;KRAS;SSPN
Eubucco_bourcierii|GCA_013396675.1|ITPR3.0	GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	ITPR3	0	found_annotated	fixed10	7	1	6	5	5	1	APOBEC2;BAK1;LRIF1;NFYA;OARD1
Eubucco_bourcierii|GCA_013396675.1|RYR.0	GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	RYR	0	found_annotated	fixed10	0	0	0	0	0	0	
Eubucco_bourcierii|GCA_013396675.1|RYR.1	GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	RYR	1	found_annotated	fixed10	3	2	1	3	3	1	AVEN;GREM1;LD
Eubucco_bourcierii|GCA_013396675.1|RYR.2	GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	RYR	2	found_annotated	fixed10	0	0	0	0	0	0	
Psilopogon_haemacephalus|GCA_013396835.1|ITPR1.0	GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	ITPR1	0	found_annotated	fixed10	0	0	0	0	0	1	
Psilopogon_haemacephalus|GCA_013396835.1|ITPR2.0	GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	ITPR2	0	assembly_gap	fixed10	2	2	0	2	2	1	FGFR1OP2;INTS13
Psilopogon_haemacephalus|GCA_013396835.1|ITPR3.0	GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	ITPR3	0	found_annotated	fixed10	20	10	10	19	19	1	ADIPOR1;ANKS1A;APOBEC2;BAK1;GRM4;HMGA1;LMOD1;LRIF1;NFYA;NUDT3;OARD1;PACSIN1;RPS10;SCUBE3;SNRPC;TAF11;TIMM17A;UBE2T;UHRF1BP1
Psilopogon_haemacephalus|GCA_013396835.1|RYR.0	GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	RYR	0	found_unannotated	fixed10	8	3	5	7	7	1	AVEN;CHRM5;EMC7;GREM1;KATNBL1;LD;SCG5
Psilopogon_haemacephalus|GCA_013396835.1|RYR.1	GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	RYR	1	found_unannotated	fixed10	0	0	0	0	0	0	
Vireo_altiloquus|GCA_013396875.1|ITPR1.0	GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	ITPR1	0	found_unannotated	fixed10	7	4	3	4	4	1	BHLHE40;EDEM1;SETMAR;SUMF1
Vireo_altiloquus|GCA_013396875.1|ITPR2.0	GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	ITPR2	0	found_unannotated	fixed10	5	0	5	4	4	1	BHLHE41;ETFRF1;KRAS;SSPN
Vireo_altiloquus|GCA_013396875.1|ITPR3.0	GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	ITPR3	0	found_annotated	fixed10	13	6	7	12	12	1	APOBEC2;BAK1;CD300LB;GRM4;HMGA1;MLN;NFYA;NUDT3;OARD1;PRA1;RPS10;TREM2
Vireo_altiloquus|GCA_013396875.1|RYR.0	GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	RYR	0	found_annotated	fixed10	3	0	3	1	1	0	ACTN2
Vireo_altiloquus|GCA_013396875.1|RYR.1	GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	RYR	1	found_annotated	fixed10	12	6	6	11	11	1	AVEN;CHRM5;EMC7;FAM98B;GREM1;KATNBL1;LD;RASGRP1;SCG5;SPRED1;THBS1
Baryphthengus_martii|GCA_013396935.1|ITPR1.0	GCA_013396935.1	Baryphthengus martii	Aves	Coraciiformes	ITPR1	0	assembly_gap	fixed10	0	0	0	0	0	1	
Baryphthengus_martii|GCA_013396935.1|ITPR2.0	GCA_013396935.1	Baryphthengus martii	Aves	Coraciiformes	ITPR2	0	found_unannotated	fixed10	2	0	2	2	2	1	BHLHE41;SSPN
Baryphthengus_martii|GCA_013396935.1|ITPR3.0	GCA_013396935.1	Baryphthengus martii	Aves	Coraciiformes	ITPR3	0	found_annotated	fixed10	10	7	3	9	9	1	APOBEC2;BAK1;CD300LD;IP6K3;LEMD2;NFYA;OARD1;PRA1;TREM2
Baryphthengus_martii|GCA_013396935.1|RYR.0	GCA_013396935.1	Baryphthengus martii	Aves	Coraciiformes	RYR	0	assembly_gap	fixed10	0	0	0	0	0	1	
