pair_class	stratum	key	window	n_pairs	mean_j	median_j	max_j	frac_positive	control_mean_j	control_median_j	control_frac_positive	excess_mean	ratio	n_used	n_ties	frac_beats_control	z
cross_ITPR1_vs_ITPR2	all	relaxed	fixed10	54293	0.0000	0.0000	0.0370	0.0003	0.0005	0.0000	0.0114	-0.0005	0.0146	631	53662	0.0222	-23.9652
cross_ITPR1_vs_ITPR2	same_vclass	relaxed	fixed10	17204	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0089	-0.0008	0.0000	153	17051	0.0000	-12.2885
cross_ITPR1_vs_ITPR2	cross_vclass	relaxed	fixed10	37089	0.0000	0.0000	0.0370	0.0004	0.0004	0.0000	0.0125	-0.0004	0.0283	478	36611	0.0293	-20.5368
cross_ITPR1_vs_ITPR3	all	relaxed	fixed10	54529	0.0002	0.0000	0.2000	0.0025	0.0005	0.0000	0.0115	-0.0004	0.3046	760	53769	0.1763	-17.8104
cross_ITPR1_vs_ITPR3	same_vclass	relaxed	fixed10	17392	0.0001	0.0000	0.0667	0.0013	0.0009	0.0000	0.0094	-0.0008	0.0725	185	17207	0.1135	-10.4400
cross_ITPR1_vs_ITPR3	cross_vclass	relaxed	fixed10	37137	0.0002	0.0000	0.2000	0.0030	0.0004	0.0000	0.0124	-0.0002	0.5453	575	36562	0.1965	-14.5126
cross_ITPR1_vs_RYR	all	relaxed	fixed10	56160	0.0002	0.0000	0.0833	0.0042	0.0005	0.0000	0.0113	-0.0004	0.2912	866	55294	0.2679	-13.6265
cross_ITPR1_vs_RYR	same_vclass	relaxed	fixed10	17855	0.0002	0.0000	0.0833	0.0050	0.0008	0.0000	0.0092	-0.0007	0.2072	255	17600	0.3529	-4.6341
cross_ITPR1_vs_RYR	cross_vclass	relaxed	fixed10	38305	0.0001	0.0000	0.0714	0.0038	0.0004	0.0000	0.0123	-0.0002	0.3772	611	37694	0.2324	-13.1885
cross_ITPR2_vs_ITPR3	all	relaxed	fixed10	54295	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0116	-0.0006	0.0000	632	53663	0.0000	-25.0998
cross_ITPR2_vs_ITPR3	same_vclass	relaxed	fixed10	17504	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0094	-0.0009	0.0000	164	17340	0.0000	-12.7282
cross_ITPR2_vs_ITPR3	cross_vclass	relaxed	fixed10	36791	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0127	-0.0004	0.0000	468	36323	0.0000	-21.5871
cross_ITPR2_vs_RYR	all	relaxed	fixed10	55920	0.0000	0.0000	0.0769	0.0006	0.0005	0.0000	0.0115	-0.0005	0.0577	678	55242	0.0516	-23.3117
cross_ITPR2_vs_RYR	same_vclass	relaxed	fixed10	17970	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0092	-0.0008	0.0000	165	17805	0.0000	-12.7674
cross_ITPR2_vs_RYR	cross_vclass	relaxed	fixed10	37950	0.0000	0.0000	0.0769	0.0009	0.0004	0.0000	0.0126	-0.0003	0.1167	513	37437	0.0682	-19.5148
cross_ITPR3_vs_RYR	all	relaxed	fixed10	56161	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0117	-0.0006	0.0000	655	55506	0.0000	-25.5539
cross_ITPR3_vs_RYR	same_vclass	relaxed	fixed10	18170	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0099	-0.0009	0.0000	179	17991	0.0000	-13.3043
cross_ITPR3_vs_RYR	cross_vclass	relaxed	fixed10	37991	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0125	-0.0004	0.0000	476	37515	0.0000	-21.7716
within_RYR_RYR1	all	relaxed	fixed10	1770	0.1655	0.0000	1.0000	0.4395	0.0005	0.0000	0.0079	0.1650	329.2723	786	984	0.9898	27.4293
within_RYR_RYR1	same_vclass	relaxed	fixed10	567	0.4050	0.4118	1.0000	0.8360	0.0010	0.0000	0.0088	0.4039	400.4296	476	91	0.9958	21.5882
within_RYR_RYR1	cross_vclass	relaxed	fixed10	1203	0.0527	0.0000	1.0000	0.2527	0.0003	0.0000	0.0075	0.0524	200.3442	310	893	0.9806	16.8685
within_RYR_RYR2	all	relaxed	fixed10	14028	0.1643	0.0323	1.0000	0.5787	0.0005	0.0000	0.0115	0.1638	342.9595	8169	5859	0.9922	88.9553
within_RYR_RYR2	same_vclass	relaxed	fixed10	5035	0.2853	0.1364	1.0000	0.6119	0.0006	0.0000	0.0073	0.2847	475.5682	3093	1942	0.9958	55.1293
within_RYR_RYR2	cross_vclass	relaxed	fixed10	8993	0.0966	0.0303	0.9091	0.5601	0.0004	0.0000	0.0139	0.0962	234.7190	5076	3917	0.9900	69.8004
within_ITPR1	all	root	fixed10	27261	0.2199	0.0588	1.0000	0.7142	0.0032	0.0000	0.2158	0.2166	67.7169	20613	6648	0.9436	127.3644
within_ITPR1	same_vclass	root	fixed10	8546	0.3366	0.2667	1.0000	0.7257	0.0042	0.0000	0.2657	0.3324	79.8226	6726	1820	0.9219	69.1970
within_ITPR1	cross_vclass	root	fixed10	18715	0.1665	0.0476	1.0000	0.7090	0.0028	0.0000	0.1930	0.1637	59.4009	13887	4828	0.9541	107.0067
within_ITPR2	all	root	fixed10	27028	0.2200	0.1290	1.0000	0.7951	0.0033	0.0000	0.2184	0.2167	66.9869	22176	4852	0.9684	139.4947
within_ITPR2	same_vclass	root	fixed10	8655	0.3478	0.3077	1.0000	0.8027	0.0042	0.0000	0.2672	0.3435	82.1178	7311	1344	0.9494	76.8382
within_ITPR2	cross_vclass	root	fixed10	18373	0.1598	0.1154	0.9444	0.7915	0.0028	0.0000	0.1954	0.1569	56.3430	14865	3508	0.9777	116.4842
within_ITPR3	all	root	fixed10	27261	0.1279	0.0000	1.0000	0.4477	0.0033	0.0000	0.2150	0.1247	39.1124	14662	12599	0.8315	80.2648
within_ITPR3	same_vclass	root	fixed10	8845	0.2577	0.1667	1.0000	0.6904	0.0042	0.0000	0.2580	0.2535	60.9036	6631	2214	0.9198	68.3524
within_ITPR3	cross_vclass	root	fixed10	18416	0.0656	0.0000	0.8750	0.3311	0.0028	0.0000	0.1943	0.0628	23.3507	8031	10385	0.7586	46.3311
within_RYR	all	root	fixed10	28920	0.1039	0.0000	1.0000	0.4575	0.0032	0.0000	0.2133	0.1007	32.0355	15782	13138	0.8358	84.3692
within_RYR	same_vclass	root	fixed10	9330	0.1972	0.0588	1.0000	0.5714	0.0043	0.0000	0.2620	0.1929	46.2584	6153	3177	0.8648	57.2149
within_RYR	cross_vclass	root	fixed10	19590	0.0595	0.0000	1.0000	0.4033	0.0028	0.0000	0.1902	0.0568	21.5700	9629	9961	0.8173	62.2659
cross_ITPR1_vs_ITPR2	all	root	fixed10	54293	0.0188	0.0000	0.5000	0.4384	0.0033	0.0000	0.2172	0.0155	5.7427	29301	24992	0.8064	104.8866
cross_ITPR1_vs_ITPR2	same_vclass	root	fixed10	17204	0.0189	0.0000	0.5000	0.4111	0.0042	0.0000	0.2666	0.0147	4.4677	9296	7908	0.7538	48.9235
cross_ITPR1_vs_ITPR2	cross_vclass	root	fixed10	37089	0.0187	0.0000	0.3333	0.4510	0.0028	0.0000	0.1942	0.0159	6.6289	20005	17084	0.8308	93.5810
cross_ITPR1_vs_ITPR3	all	root	fixed10	54529	0.0092	0.0000	0.2500	0.2351	0.0033	0.0000	0.2154	0.0059	2.8247	20733	33796	0.6139	32.7940
cross_ITPR1_vs_ITPR3	same_vclass	root	fixed10	17392	0.0090	0.0000	0.1250	0.2610	0.0042	0.0000	0.2619	0.0048	2.1414	7559	9833	0.5953	16.5627
cross_ITPR1_vs_ITPR3	cross_vclass	root	fixed10	37137	0.0093	0.0000	0.2500	0.2229	0.0028	0.0000	0.1936	0.0065	3.3059	13174	23963	0.6246	28.5856
cross_ITPR1_vs_RYR	all	root	fixed10	56160	0.0003	0.0000	0.0833	0.0086	0.0032	0.0000	0.2146	-0.0029	0.1072	12446	43714	0.0387	-102.9117
cross_ITPR1_vs_RYR	same_vclass	root	fixed10	17855	0.0002	0.0000	0.0833	0.0052	0.0042	0.0000	0.2639	-0.0041	0.0426	4785	13070	0.0192	-66.4993
cross_ITPR1_vs_RYR	cross_vclass	root	fixed10	38305	0.0004	0.0000	0.0833	0.0102	0.0028	0.0000	0.1916	-0.0024	0.1531	7661	30644	0.0509	-78.6042
cross_ITPR2_vs_ITPR3	all	root	fixed10	54295	0.0003	0.0000	0.0714	0.0094	0.0033	0.0000	0.2166	-0.0029	0.0997	12131	42164	0.0416	-100.9617
cross_ITPR2_vs_ITPR3	same_vclass	root	fixed10	17504	0.0002	0.0000	0.0526	0.0045	0.0042	0.0000	0.2623	-0.0041	0.0379	4661	12843	0.0167	-65.9719
cross_ITPR2_vs_ITPR3	cross_vclass	root	fixed10	36791	0.0004	0.0000	0.0714	0.0118	0.0028	0.0000	0.1948	-0.0024	0.1436	7470	29321	0.0572	-76.5367
cross_ITPR2_vs_RYR	all	root	fixed10	55920	0.0005	0.0000	0.0769	0.0122	0.0033	0.0000	0.2158	-0.0028	0.1390	12594	43326	0.0536	-100.1845
cross_ITPR2_vs_RYR	same_vclass	root	fixed10	17970	0.0001	0.0000	0.0625	0.0033	0.0042	0.0000	0.2644	-0.0041	0.0273	4797	13173	0.0125	-67.5133
cross_ITPR2_vs_RYR	cross_vclass	root	fixed10	37950	0.0006	0.0000	0.0769	0.0163	0.0028	0.0000	0.1928	-0.0022	0.2191	7797	30153	0.0789	-74.3596
cross_ITPR3_vs_RYR	all	root	fixed10	56161	0.0005	0.0000	0.0833	0.0126	0.0033	0.0000	0.2142	-0.0028	0.1442	12609	43552	0.0559	-99.7241
cross_ITPR3_vs_RYR	same_vclass	root	fixed10	18170	0.0003	0.0000	0.0833	0.0060	0.0042	0.0000	0.2601	-0.0040	0.0616	4818	13352	0.0226	-66.2567
cross_ITPR3_vs_RYR	cross_vclass	root	fixed10	37991	0.0006	0.0000	0.0625	0.0157	0.0028	0.0000	0.1922	-0.0022	0.2044	7791	30200	0.0765	-74.7508
within_RYR_RYR1	all	root	fixed10	1770	0.1779	0.0588	1.0000	0.6367	0.0033	0.0000	0.2299	0.1746	54.2271	1226	544	0.9192	29.3309
within_RYR_RYR1	same_vclass	root	fixed10	567	0.4051	0.4118	1.0000	0.8377	0.0045	0.0000	0.3016	0.4006	89.3686	498	69	0.9538	20.2098
within_RYR_RYR1	cross_vclass	root	fixed10	1203	0.0708	0.0333	1.0000	0.5420	0.0027	0.0000	0.1962	0.0681	26.3123	728	475	0.8956	21.3109
within_RYR_RYR2	all	root	fixed10	14028	0.1667	0.0345	1.0000	0.6036	0.0033	0.0000	0.2206	0.1634	50.1689	9325	4703	0.9056	78.3298
within_RYR_RYR2	same_vclass	root	fixed10	5035	0.2885	0.1364	1.0000	0.6485	0.0038	0.0000	0.2417	0.2847	75.7592	3564	1471	0.9155	49.5986
within_RYR_RYR2	cross_vclass	root	fixed10	8993	0.0985	0.0312	0.9091	0.5784	0.0031	0.0000	0.2088	0.0954	32.2837	5761	3232	0.8995	60.6314
within_ITPR1	all	relaxed	informative10	27261	0.1936	0.0435	1.0000	0.7177	0.0007	0.0000	0.0196	0.1929	282.7957	19669	7592	0.9923	138.0857
within_ITPR1	same_vclass	relaxed	informative10	8546	0.3061	0.2222	1.0000	0.7275	0.0010	0.0000	0.0144	0.3051	291.8240	6242	2304	0.9949	78.1836
within_ITPR1	cross_vclass	relaxed	informative10	18715	0.1423	0.0270	1.0000	0.7132	0.0005	0.0000	0.0220	0.1417	274.4526	13427	5288	0.9911	113.8124
within_ITPR2	all	relaxed	informative10	27028	0.1999	0.1111	1.0000	0.8007	0.0007	0.0000	0.0197	0.1992	286.6350	21685	5343	0.9974	146.4909
within_ITPR2	same_vclass	relaxed	informative10	8655	0.3326	0.2903	1.0000	0.8035	0.0011	0.0000	0.0146	0.3315	314.5991	6971	1684	0.9967	82.9296
within_ITPR2	cross_vclass	relaxed	informative10	18373	0.1373	0.0909	0.9048	0.7994	0.0005	0.0000	0.0222	0.1368	260.2454	14714	3659	0.9978	120.7489
within_ITPR3	all	relaxed	informative10	27261	0.1201	0.0000	1.0000	0.4580	0.0008	0.0000	0.0199	0.1194	159.7221	12840	14421	0.9698	106.4567
within_ITPR3	same_vclass	relaxed	informative10	8845	0.2484	0.1481	1.0000	0.7036	0.0012	0.0000	0.0156	0.2472	203.1003	6272	2573	0.9896	77.5418
within_ITPR3	cross_vclass	relaxed	informative10	18416	0.0585	0.0000	0.9048	0.3401	0.0005	0.0000	0.0219	0.0580	111.2507	6568	11848	0.9508	73.0598
within_RYR	all	relaxed	informative10	28920	0.0921	0.0000	1.0000	0.3423	0.0007	0.0000	0.0198	0.0913	127.6102	10251	18669	0.9639	93.9285
within_RYR	same_vclass	relaxed	informative10	9330	0.1808	0.0000	1.0000	0.4089	0.0012	0.0000	0.0150	0.1797	155.6769	3897	5433	0.9784	59.7187
within_RYR	cross_vclass	relaxed	informative10	19590	0.0498	0.0000	1.0000	0.3106	0.0005	0.0000	0.0221	0.0493	97.2746	6354	13236	0.9550	72.5236
cross_ITPR1_vs_ITPR2	all	relaxed	informative10	54293	0.0000	0.0000	0.0667	0.0005	0.0007	0.0000	0.0197	-0.0007	0.0203	1093	53200	0.0229	-31.5179
cross_ITPR1_vs_ITPR2	same_vclass	relaxed	informative10	17204	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0145	-0.0011	0.0000	250	16954	0.0000	-15.7481
cross_ITPR1_vs_ITPR2	cross_vclass	relaxed	informative10	37089	0.0000	0.0000	0.0667	0.0007	0.0005	0.0000	0.0221	-0.0005	0.0393	843	36246	0.0297	-27.2779
cross_ITPR1_vs_ITPR3	all	relaxed	informative10	54529	0.0001	0.0000	0.1429	0.0036	0.0007	0.0000	0.0197	-0.0006	0.1666	1264	53265	0.1551	-24.4988
cross_ITPR1_vs_ITPR3	same_vclass	relaxed	informative10	17392	0.0001	0.0000	0.1429	0.0023	0.0011	0.0000	0.0149	-0.0011	0.0618	298	17094	0.1309	-12.6863
cross_ITPR1_vs_ITPR3	cross_vclass	relaxed	informative10	37137	0.0001	0.0000	0.0811	0.0043	0.0005	0.0000	0.0219	-0.0004	0.2731	966	36171	0.1625	-20.9456
cross_ITPR1_vs_RYR	all	relaxed	informative10	56160	0.0001	0.0000	0.0667	0.0043	0.0007	0.0000	0.0197	-0.0006	0.1741	1340	54820	0.1761	-23.6846
cross_ITPR1_vs_RYR	same_vclass	relaxed	informative10	17855	0.0001	0.0000	0.0667	0.0050	0.0011	0.0000	0.0147	-0.0010	0.1339	352	17503	0.2557	-9.1143
cross_ITPR1_vs_RYR	cross_vclass	relaxed	informative10	38305	0.0001	0.0000	0.0400	0.0039	0.0005	0.0000	0.0221	-0.0004	0.2142	988	37317	0.1478	-22.1109
cross_ITPR2_vs_ITPR3	all	relaxed	informative10	54295	0.0000	0.0000	0.0811	0.0002	0.0007	0.0000	0.0198	-0.0007	0.0094	1085	53210	0.0111	-32.1804
cross_ITPR2_vs_ITPR3	same_vclass	relaxed	informative10	17504	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0150	-0.0011	0.0000	262	17242	0.0000	-16.1246
cross_ITPR2_vs_ITPR3	cross_vclass	relaxed	informative10	36791	0.0000	0.0000	0.0811	0.0003	0.0005	0.0000	0.0220	-0.0005	0.0190	823	35968	0.0146	-27.8165
cross_ITPR2_vs_RYR	all	relaxed	informative10	55920	0.0000	0.0000	0.0714	0.0007	0.0007	0.0000	0.0197	-0.0007	0.0417	1141	54779	0.0333	-31.4991
cross_ITPR2_vs_RYR	same_vclass	relaxed	informative10	17970	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0147	-0.0011	0.0000	264	17706	0.0000	-16.1865
cross_ITPR2_vs_RYR	cross_vclass	relaxed	informative10	37950	0.0000	0.0000	0.0714	0.0010	0.0005	0.0000	0.0221	-0.0005	0.0834	877	37073	0.0433	-27.0141
cross_ITPR3_vs_RYR	all	relaxed	informative10	56161	0.0000	0.0000	0.0256	0.0000	0.0007	0.0000	0.0198	-0.0007	0.0012	1116	55045	0.0018	-33.2569
cross_ITPR3_vs_RYR	same_vclass	relaxed	informative10	18170	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000	0.0153	-0.0012	0.0000	278	17892	0.0000	-16.6134
cross_ITPR3_vs_RYR	cross_vclass	relaxed	informative10	37991	0.0000	0.0000	0.0256	0.0001	0.0005	0.0000	0.0220	-0.0005	0.0026	838	37153	0.0024	-28.7755
within_RYR_RYR1	all	relaxed	informative10	1770	0.1577	0.0000	1.0000	0.4418	0.0006	0.0000	0.0136	0.1571	248.5798	795	975	0.9836	27.2382
within_RYR_RYR1	same_vclass	relaxed	informative10	567	0.3893	0.3750	1.0000	0.8360	0.0012	0.0000	0.0141	0.3880	317.6506	477	90	0.9937	21.5198
within_RYR_RYR1	cross_vclass	relaxed	informative10	1203	0.0486	0.0000	1.0000	0.2560	0.0004	0.0000	0.0133	0.0482	136.4598	318	885	0.9686	16.6549
within_RYR_RYR2	all	relaxed	informative10	14028	0.1587	0.0256	1.0000	0.5966	0.0006	0.0000	0.0197	0.1580	246.9285	8449	5579	0.9884	89.7752
within_RYR_RYR2	same_vclass	relaxed	informative10	5035	0.2802	0.1212	1.0000	0.6320	0.0008	0.0000	0.0133	0.2793	335.7440	3200	1835	0.9941	55.8791
within_RYR_RYR2	cross_vclass	relaxed	informative10	8993	0.0907	0.0256	0.9091	0.5768	0.0005	0.0000	0.0234	0.0901	169.3974	5249	3744	0.9849	70.2554
within_ITPR1	all	root	informative10	27261	0.2021	0.0435	1.0000	0.7189	0.0044	0.0000	0.3377	0.1977	45.6523	21328	5933	0.9147	121.1098
within_ITPR1	same_vclass	root	informative10	8546	0.3196	0.2258	1.0000	0.7278	0.0052	0.0000	0.3638	0.3144	61.0384	6875	1671	0.9030	66.8149
within_ITPR1	cross_vclass	root	informative10	18715	0.1485	0.0278	1.0000	0.7148	0.0041	0.0000	0.3257	0.1444	36.5869	14453	4262	0.9202	101.0309
within_ITPR2	all	root	informative10	27028	0.2012	0.1111	1.0000	0.8021	0.0044	0.0000	0.3369	0.1968	45.4141	22605	4423	0.9581	137.7456
within_ITPR2	same_vclass	root	informative10	8655	0.3338	0.2903	1.0000	0.8066	0.0052	0.0000	0.3628	0.3286	63.9667	7411	1244	0.9409	75.8998
within_ITPR2	cross_vclass	root	informative10	18373	0.1387	0.0938	0.9048	0.8000	0.0041	0.0000	0.3247	0.1347	34.1782	15194	3179	0.9665	114.9971
within_ITPR3	all	root	informative10	27261	0.1239	0.0000	1.0000	0.4976	0.0044	0.0000	0.3314	0.1195	28.1322	17376	9885	0.7772	73.0780
within_ITPR3	same_vclass	root	informative10	8845	0.2511	0.1500	1.0000	0.7077	0.0052	0.0000	0.3513	0.2459	48.1652	6922	1923	0.9018	66.8401
within_ITPR3	cross_vclass	root	informative10	18416	0.0627	0.0000	0.9048	0.3967	0.0040	0.0000	0.3219	0.0587	15.6316	10454	7962	0.6948	39.8162
within_RYR	all	root	informative10	28920	0.1003	0.0000	1.0000	0.4806	0.0044	0.0000	0.3317	0.0959	22.8692	17960	10960	0.7692	72.1338
within_RYR	same_vclass	root	informative10	9330	0.1930	0.0526	1.0000	0.5854	0.0052	0.0000	0.3547	0.1877	36.9003	6550	2780	0.8318	53.6870
within_RYR	cross_vclass	root	informative10	19590	0.0562	0.0000	1.0000	0.4307	0.0040	0.0000	0.3208	0.0522	14.1032	11410	8180	0.7332	49.8139
cross_ITPR1_vs_ITPR2	all	root	informative10	54293	0.0155	0.0000	0.5000	0.4445	0.0044	0.0000	0.3373	0.0111	3.5103	32988	21305	0.7200	79.9280
cross_ITPR1_vs_ITPR2	same_vclass	root	informative10	17204	0.0169	0.0000	0.5000	0.4118	0.0052	0.0000	0.3635	0.0117	3.2289	10305	6899	0.6742	35.3647
cross_ITPR1_vs_ITPR2	cross_vclass	root	informative10	37089	0.0149	0.0000	0.2000	0.4597	0.0041	0.0000	0.3252	0.0109	3.6784	22683	14406	0.7409	72.5456
cross_ITPR1_vs_ITPR3	all	root	informative10	54529	0.0083	0.0000	0.2500	0.2795	0.0044	0.0000	0.3345	0.0039	1.8739	27266	27263	0.5483	15.9456
cross_ITPR1_vs_ITPR3	same_vclass	root	informative10	17392	0.0084	0.0000	0.1471	0.2889	0.0052	0.0000	0.3575	0.0031	1.5998	9101	8291	0.5399	7.6101
cross_ITPR1_vs_ITPR3	cross_vclass	root	informative10	37137	0.0082	0.0000	0.2500	0.2751	0.0040	0.0000	0.3238	0.0042	2.0400	18165	18972	0.5525	14.1418
cross_ITPR1_vs_RYR	all	root	informative10	56160	0.0005	0.0000	0.0714	0.0188	0.0044	0.0000	0.3347	-0.0039	0.1167	19462	36698	0.0531	-124.6897
cross_ITPR1_vs_RYR	same_vclass	root	informative10	17855	0.0004	0.0000	0.0714	0.0155	0.0052	0.0000	0.3593	-0.0048	0.0842	6619	11236	0.0412	-74.6338
cross_ITPR1_vs_RYR	cross_vclass	root	informative10	38305	0.0005	0.0000	0.0556	0.0203	0.0040	0.0000	0.3232	-0.0035	0.1364	12843	25462	0.0592	-99.9056
cross_ITPR2_vs_ITPR3	all	root	informative10	54295	0.0014	0.0000	0.0833	0.0484	0.0044	0.0000	0.3340	-0.0030	0.3087	19660	34635	0.1306	-103.5773
cross_ITPR2_vs_ITPR3	same_vclass	root	informative10	17504	0.0016	0.0000	0.0526	0.0587	0.0052	0.0000	0.3566	-0.0036	0.3020	6840	10664	0.1466	-58.4371
cross_ITPR2_vs_ITPR3	cross_vclass	root	informative10	36791	0.0013	0.0000	0.0833	0.0435	0.0040	0.0000	0.3233	-0.0028	0.3129	12820	23971	0.1221	-85.5726
cross_ITPR2_vs_RYR	all	root	informative10	55920	0.0008	0.0000	0.0714	0.0271	0.0044	0.0000	0.3342	-0.0036	0.1712	19681	36239	0.0757	-119.0400
cross_ITPR2_vs_RYR	same_vclass	root	informative10	17970	0.0002	0.0000	0.0556	0.0086	0.0052	0.0000	0.3585	-0.0050	0.0459	6536	11434	0.0229	-77.1224
cross_ITPR2_vs_RYR	cross_vclass	root	informative10	37950	0.0010	0.0000	0.0714	0.0359	0.0040	0.0000	0.3227	-0.0030	0.2481	13145	24805	0.1019	-91.2678
cross_ITPR3_vs_RYR	all	root	informative10	56161	0.0010	0.0000	0.0541	0.0365	0.0044	0.0000	0.3316	-0.0034	0.2234	19992	36169	0.1010	-112.8273
cross_ITPR3_vs_RYR	same_vclass	root	informative10	18170	0.0007	0.0000	0.0541	0.0254	0.0052	0.0000	0.3531	-0.0045	0.1305	6740	11430	0.0680	-70.9279
cross_ITPR3_vs_RYR	cross_vclass	root	informative10	37991	0.0011	0.0000	0.0526	0.0417	0.0040	0.0000	0.3214	-0.0029	0.2815	13252	24739	0.1178	-87.9885
within_RYR_RYR1	all	root	informative10	1770	0.1684	0.0526	1.0000	0.6424	0.0044	0.0000	0.3542	0.1639	37.8392	1297	473	0.8766	27.1007
within_RYR_RYR1	same_vclass	root	informative10	567	0.3907	0.3793	1.0000	0.8377	0.0056	0.0000	0.4056	0.3850	69.3504	505	62	0.9406	19.7577
within_RYR_RYR1	cross_vclass	root	informative10	1203	0.0636	0.0256	1.0000	0.5503	0.0039	0.0000	0.3300	0.0597	16.3386	792	411	0.8359	18.8683
within_RYR_RYR2	all	root	informative10	14028	0.1614	0.0278	1.0000	0.6228	0.0044	0.0000	0.3319	0.1570	36.8837	10013	4015	0.8675	73.5322
within_RYR_RYR2	same_vclass	root	informative10	5035	0.2839	0.1333	1.0000	0.6697	0.0047	0.0000	0.3353	0.2792	59.9191	3768	1267	0.8938	48.3350
within_RYR_RYR2	cross_vclass	root	informative10	8993	0.0928	0.0256	0.9091	0.5966	0.0042	0.0000	0.3300	0.0886	22.2378	6245	2748	0.8516	55.5518
