label	organism	vclass	cell	locus_idx	status	contig	start	end	bait_paralog	annot_gene	n_keys	call	best	best_score	margin	p_null	null_verdict	score_ITPR1	score_ITPR2	score_ITPR3	reason	keys
Ammodytes_marinus|GCF_949987685.1|ITPR1.1	Ammodytes marinus	Actinopteri	ITPR1	1	found_annotated	NC_137233.1	22566881	22658759	ITPR1	itpr1b	20	ITPR1	ITPR1	1	1	0.0083	within_null	1	0	0	extra locus in a multi-copy cell	APOBEC2A;ARFRP1;BHLHE40;CAMKV;CCDC120B;CNTN2;COMT;CXXC1B;ELF3;GOLT1A;GRM6B;LRRN2;MBD1B;MON1A;MST1R;NFASC;PLEKHA6;SERINC3;SETMAR;TRAIP
Antennarius_striatus|GCF_040054535.1|ITPR1.1	Antennarius striatus	Actinopteri	ITPR1	1	found_annotated	NC_090780.1	21682101	21749617	ITPR1	itpr1b	20	ITPR1	ITPR1	4	4	0.0000	supported	4	0	0	extra locus in a multi-copy cell	ARL6IP5A;ARL8B;AVPR2B;BHLHE40;CCDC120B;COMT;EEVS;FOXP1B;FRMD4B;GRM6B;LRRN1;MBD1B;MDFIC2;MITF;MON1A;MST1R;SEMA3F;SETMAR;TRAIP;TRNT1
Aplochiton_taeniatus|GCA_017639675.1|ITPR1.0	Aplochiton taeniatus	Actinopteri	ITPR1	0	found_annotated	CM030173.1	32495697	32548345	ITPR1	FYW47_018673	20	ITPR1	ITPR1	2	2	0.0055	within_null	2	0	0	no paralog-named annotation at the locus	ATF1;ATF7B;CTSZ;DIP2B;ESPL1;ESYT1B;GPR25;ITGB7;LARP4A;LRRN1;NELFCD;NPEPL1;PFDN5;SCN8A;SLC4A8;STX16;SUMF1;TTLL3;ZC3H10;ZNF740A
Ataeniobius_toweri|GCA_036250305.1|ITPR1.0	Ataeniobius toweri	Actinopteri	ITPR1	0	assembly_gap	JAHUTI010000884.1	4498	22398	ITPR1	ITPR1_10	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Ataeniobius_toweri|GCA_036250305.1|ITPR1.1	Ataeniobius toweri	Actinopteri	ITPR1	1	assembly_gap	JAHUTI010042598.1	997	9209	ITPR1	ITPR1_6	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Ataeniobius_toweri|GCA_036250305.1|ITPR2.0	Ataeniobius toweri	Actinopteri	ITPR2	0	assembly_gap	JAHUTI010019866.1	10266	40326	ITPR2	ITPR2_1	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Ataeniobius_toweri|GCA_036250305.1|ITPR3.0	Ataeniobius toweri	Actinopteri	ITPR3	0	assembly_gap	JAHUTI010049480.1	2542	26960	ITPR3	ITPR3_2	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Ataeniobius_toweri|GCA_036250305.1|ITPR3.1	Ataeniobius toweri	Actinopteri	ITPR3	1	assembly_gap	JAHUTI010080507.1	1260	12555	ITPR3	ITPR3_1	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Ataeniobius_toweri|GCA_036250305.1|ITPR3.2	Ataeniobius toweri	Actinopteri	ITPR3	2	assembly_gap	JAHUTI010061784.1	1458	8414	ITPR3		0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Borostomias_antarcticus|GCF_949987555.1|ITPR1.1	Borostomias antarcticus	Actinopteri	ITPR1	1	found_annotated	NC_140240.1	5632377	5713056	ITPR1	itpr1b	20	ITPR1	ITPR1	4	4	0.0000	supported	4	0	0	extra locus in a multi-copy cell	ARL6IP5A;ARL8B;AVPR2B;BHLHE40;CAMKV;CCDC120B;COMT;FOXP1B;FRMD4B;GPR27;GRM6B;LRRN1;MDFIC2;MITF;MON1A;MST1R;SEMA3F;SETMAR;TRAIP;TRNT1
Chaenocephalus_aceratus|GCA_023974075.1|ITPR1.0	Chaenocephalus aceratus	Actinopteri	ITPR1	0	found_annotated	CM043789.1	23300234	23365372	ITPR1	KUCAC02_030453	0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Chaenocephalus_aceratus|GCA_023974075.1|ITPR1.1	Chaenocephalus aceratus	Actinopteri	ITPR1	1	found_annotated	CM043789.1	39026518	39154347	ITPR1	KUCAC02_030490	0	no_call		0	0	1.0000	no_call	0	0	0	extra locus in a multi-copy cell	
Chaenocephalus_aceratus|GCA_023974075.1|ITPR2.0	Chaenocephalus aceratus	Actinopteri	ITPR2	0	found_annotated	CM043790.1	21534207	21592699	ITPR2	KUCAC02_021225	0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Chaenocephalus_aceratus|GCA_023974075.1|ITPR3.0	Chaenocephalus aceratus	Actinopteri	ITPR3	0	fragment	JAMFTG010000131.1	71109	106667	ITPR3	KUCAC02_020530	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status fragment	
Chaetodon_trifascialis|GCF_039877785.1|ITPR1.0	Chaetodon trifascialis	Actinopteri	ITPR1	0	found_annotated	NC_092058.1	17320622	17388134	ITPR1	LOC139327908	20	ITPR1	ITPR1	1	1	0.0083	within_null	1	0	0	no paralog-named annotation at the locus	ATF1;ATF7B;CDK4;DIP2B;DTX3L;ESPL1;ESYT1B;FAIM2B;LARP4A;METTL1;PFDN5;PFKM;RARG;SCN8A;SLC4A8;SMUG1;SUMF1;TTLL3;ZC3H10;ZNF740A
Chaetodon_trifascialis|GCF_039877785.1|ITPR1.1	Chaetodon trifascialis	Actinopteri	ITPR1	1	found_annotated	NC_092058.1	23631237	23712016	ITPR1	itpr1b	20	ITPR1	ITPR1	4	4	0.0000	supported	4	0	0	extra locus in a multi-copy cell	ARL6IP5A;ARL8B;AVPR2B;BHLHE40;CCDC120B;COMT;EEVS;FOXP1B;FRMD4B;GRM6B;LRRN1;MBD1B;MDFIC2;MITF;MON1A;MST1R;SEMA3F;SETMAR;TRAIP;TRNT1
Channa_argus|GCF_033026475.1|ITPR1.0	Channa argus	Actinopteri	ITPR1	0	found_annotated	NC_090201.1	13103597	13164435	ITPR1	LOC137127812	20	ITPR1	ITPR1	1	1	0.0083	within_null	1	0	0	no paralog-named annotation at the locus	ATF1;ATF7B;C1QL4B;CALCOCO1B;CDK4;CYP27B1;DIP2B;ESPL1;ESYT1B;FAIM2B;LARP4A;METTL1;PFDN5;PFKM;SCN8A;SLC4A8;SMUG1;SUMF1;ZC3H10;ZNF740A
Channa_argus|GCF_033026475.1|ITPR1.1	Channa argus	Actinopteri	ITPR1	1	found_annotated	NC_090201.1	6408074	6480628	ITPR1	itpr1b	20	ITPR1	ITPR1	4	4	0.0000	supported	4	0	0	extra locus in a multi-copy cell	ARL6IP5A;ARL8B;AVPR2B;BHLHE40;CAMKV;CCDC120B;COMT;EEVS;FOXP1B;FRMD4B;GRM6B;LRRN1;MDFIC2;MITF;MON1A;MST1R;SEMA3F;SETMAR;TRAIP;TRNT1
Chanos_chanos|GCF_902362185.1|ITPR1.1	Chanos chanos	Actinopteri	ITPR1	1	found_annotated	NC_044500.1	43408354	43495188	ITPR1	itpr1b	20	ITPR1	ITPR1	3	3	0.0000	supported	3	0	0	extra locus in a multi-copy cell	ARL6IP5A;AVPR2B;BHLHE40;CAMKV;EEVS;FOXP1B;FRMD4B;GNAI2A;INKA1A;LRRN1;MDFIC2;MITF;MON1A;MST1R;PHTF1;SEMA3F;SETMAR;SLC38A3A;TRAIP;TRNT1
Characodon_lateralis|GCA_036250325.1|ITPR1.0	Characodon lateralis	Actinopteri	ITPR1	0	assembly_gap	JAHUTJ010058458.1	4568	22054	ITPR1	ITPR1_6	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Characodon_lateralis|GCA_036250325.1|ITPR1.1	Characodon lateralis	Actinopteri	ITPR1	1	assembly_gap	JAHUTJ010067284.1	7769	16050	ITPR1	ITPR1_8	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Characodon_lateralis|GCA_036250325.1|ITPR2.0	Characodon lateralis	Actinopteri	ITPR2	0	assembly_gap	JAHUTJ010065589.1	4244	46933	ITPR2	ITPR2_1	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Characodon_lateralis|GCA_036250325.1|ITPR3.0	Characodon lateralis	Actinopteri	ITPR3	0	assembly_gap	JAHUTJ010058461.1	412	13303	ITPR3	ITPR3_1	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Cheilinus_undulatus|GCF_018320785.1|ITPR1.0	Cheilinus undulatus	Actinopteri	ITPR1	0	found_annotated	NC_054867.1	27332762	27452368	ITPR1	LOC121506856	20	ITPR1	ITPR1	1	1	0.0083	within_null	1	0	0	no paralog-named annotation at the locus	ATF1;ATF7B;CALCOCO1B;CDK4;DIP2B;ESPL1;ESYT1B;FAIM2B;LARP4A;METTL1;PFDN5;PFKM;RBMS2A;SCN8A;SLC4A8;SMUG1;SUMF1;TTLL3;ZC3H10;ZNF740A
Cheilinus_undulatus|GCF_018320785.1|ITPR1.1	Cheilinus undulatus	Actinopteri	ITPR1	1	found_annotated	NC_054867.1	15136625	15271944	ITPR1	itpr1b	20	ITPR1	ITPR1	4	4	0.0000	supported	4	0	0	extra locus in a multi-copy cell	ARL6IP5A;ARL8B;BHLHE40;CAMKV;CCDC120B;COMT;EEVS;EFCC1;FOXP1B;FRMD4B;GRM6B;LRRN1;MBD1B;MDFIC2;MITF;MON1A;MST1R;SEMA3F;SETMAR;TRNT1
Chelon_labrosus|GCF_963514085.1|ITPR1.0	Chelon labrosus	Actinopteri	ITPR1	0	found_annotated	NC_140340.1	6279721	6356852	ITPR1	LOC311487562	20	ITPR1	ITPR1	1	1	0.0083	within_null	1	0	0	no paralog-named annotation at the locus	ATF1;ATF7B;CALCOCO1B;CDK4;CYP27B1;DIP2B;DTX3L;ESPL1;ESYT1B;FAIM2B;LARP4A;METTL1;PFDN5;PFKM;SCN8A;SLC4A8;SUMF1;TTLL3;ZC3H10;ZNF740A
Chelon_labrosus|GCF_963514085.1|ITPR1.1	Chelon labrosus	Actinopteri	ITPR1	1	found_annotated	NC_140340.1	3307422	3378273	ITPR1	LOC311486932	20	ITPR1	ITPR1	3	3	0.0000	supported	3	0	0	extra locus in a multi-copy cell	ARL6IP5A;AVPR2B;BHLHE40;DYNLRB1;EEVS;EIF6;FAM83C;FOXP1B;FRMD4B;GDF5;GPR27;LRRN1;MAP1LC3A;MITF;MMP24;SDC4;SETMAR;SMPD4;TRNT1;UQCC1
Cirrhinus_mrigala|GCA_036247105.2|ITPR1.0	Cirrhinus mrigala	Actinopteri	ITPR1	0	found_unannotated	CM070012.1	25047339	25086266	ITPR1		0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Cirrhinus_mrigala|GCA_036247105.2|ITPR1.1	Cirrhinus mrigala	Actinopteri	ITPR1	1	found_unannotated	CM070017.1	6969879	7192304	ITPR1		0	no_call		0	0	1.0000	no_call	0	0	0	extra locus in a multi-copy cell	
Cirrhinus_mrigala|GCA_036247105.2|ITPR2.0	Cirrhinus mrigala	Actinopteri	ITPR2	0	found_unannotated	CM070024.1	10536323	10652643	ITPR2		0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Cirrhinus_mrigala|GCA_036247105.2|ITPR3.0	Cirrhinus mrigala	Actinopteri	ITPR3	0	found_unannotated	CM070014.1	10417496	10458965	ITPR3		0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Cololabis_saira|GCF_033807715.1|ITPR1.1	Cololabis saira	Actinopteri	ITPR1	1	found_annotated	NC_084594.1	35806517	35919716	ITPR1	LOC133448914	20	ITPR1	ITPR1	2	2	0.0055	within_null	2	0	0	extra locus in a multi-copy cell	ACAD9;ARL6IP5A;EEVS;EOGT;FGD5A;FOXP1B;FRMD4B;GATA2A;GPR27;LRRN1;MITF;PROK2;RPN1;SETMAR;SFMBT1;STIMATE;SUCLG2;TAFA4B;TMF1;TRNT1
Conger_conger|GCF_963514075.1|ITPR1.0	Conger conger	Actinopteri	ITPR1	0	found_annotated	NC_083769.1	27525930	27630323	ITPR1	LOC133139028	20	ITPR1	ITPR1	3	3	0.0000	supported	3	0	0	no paralog-named annotation at the locus	ARL8B;CAMKV;EDEM1;EEFSEC;GATA2B;GHRL;GNAT1;GNL3;MST1R;MUSTN1A;PBRM1L;RBM6;RFT1;RUVBL1;STAU1;SUMF1;TADA3L;TATDN2;UBA7;ZBTB46
Conger_conger|GCF_963514075.1|ITPR1.1	Conger conger	Actinopteri	ITPR1	1	found_annotated	NC_083773.1	15363336	15471668	ITPR1	itpr1b	20	ITPR1	ITPR1	3	3	0.0000	supported	3	0	0	extra locus in a multi-copy cell	ARL8B;BHLHE40;CAMKV;CCDC174;CHCHD4A;CIDEC;DNAH1;GNAI2A;HMCES;INKA1A;MON1A;MST1R;NUF2;PFKFB4A;RPN1;SEMA3F;SETMAR;SLC38A3A;TRAIP;TRNT1
Danio_rerio|GCF_052040795.1|ITPR1.1	Danio rerio	Actinopteri	ITPR1	1	found_annotated	NC_141031.1	38671712	38907392	ITPR1	itpr1b	20	ITPR1	ITPR1	2	2	0.0055	within_null	2	0	0	extra locus in a multi-copy cell	ARL8B;BHLHE40;BRK1;CAMKV;CAV4A;GNAI2A;GPX1A;GRM2B;INKA1A;MON1A;MST1R;NFYA;PSMA5;RRP9;SEMA3F;SETMAR;SLC38A3A;SORT1A;TEX264B;TRAIP
Diretmus_argenteus|GCA_048569125.1|ITPR1.0	Diretmus argenteus	Actinopteri	ITPR1	0	found_annotated	CM109045.1	38677351	38746858	ITPR1	ACN63O_003237	20	ITPR1	ITPR1	1	1	0.0083	within_null	1	0	0	no paralog-named annotation at the locus	ATF1;ATF7B;CDK4;CYP27B1;DIP2B;ESPL1;LARP4A;MCRS1;METTL1;MMP19;PFDN5;PFKM;SCN8A;SLC4A8;SUMF1;SUOX;TIMELESS;TTLL3;ZC3H10;ZNF740A
Diretmus_argenteus|GCA_048569125.1|ITPR1.1	Diretmus argenteus	Actinopteri	ITPR1	1	found_annotated	CM109045.1	47617436	47739034	ITPR1	ACN63O_005671	20	ITPR1	ITPR1	3	3	0.0000	supported	3	0	0	extra locus in a multi-copy cell	ARHGAP46A;ARL6IP5A;AVPR2B;BHLHE40;CDH4;DIDO1;FOXP1B;FRMD4B;GPR27;ID1;LRRN1;MITF;RAE1;RYBP;SETMAR;SULF2A;TADA3L;TAF4A;TRNT1;ZMYND8
Diretmus_argenteus|GCA_048569125.1|ITPR2.0	Diretmus argenteus	Actinopteri	ITPR2	0	found_annotated	CM109053.1	10558258	10611018	ITPR2	ACN63O_005793	20	ITPR2	ITPR2	4	4	0.0000	supported	0	4	0	no paralog-named annotation at the locus	BANP;BHLHE41;BMAL2;C1QTNF13;EEA1;ENDOUC;FANCI;FBXO31;KRAS;NR1H4;NUDT4A;PLEKHG7;POLG;PPFIBP1B;RASSF8A;RHCG;SLC17A8;SSPN;UBE2N;ZNF469
Diretmus_argenteus|GCA_048569125.1|ITPR2.1	Diretmus argenteus	Actinopteri	ITPR2	1	found_annotated	CM109053.1	10481772	10537224	ITPR2	ACN63O_005803	20	ITPR2	ITPR2	4	4	0.0000	supported	0	4	0	extra locus in a multi-copy cell	BANP;BHLHE41;BMAL2;C1QTNF13;EEA1;ENDOUC;FANCI;FBXO31;KRAS;NR1H4;NUDT4A;PLEKHG7;POLG;PPFIBP1B;RASSF8A;RHCG;SLC17A8;SSPN;UBE2N;ZNF469
Dissostichus_eleginoides|GCA_031216635.1|ITPR1.0	Dissostichus eleginoides	Actinopteri	ITPR1	0	found_unannotated	CM062265.1	23122254	23184229	ITPR1		0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Dissostichus_eleginoides|GCA_031216635.1|ITPR1.1	Dissostichus eleginoides	Actinopteri	ITPR1	1	found_unannotated	CM062265.1	10215838	10320589	ITPR1		0	no_call		0	0	1.0000	no_call	0	0	0	extra locus in a multi-copy cell	
Dissostichus_eleginoides|GCA_031216635.1|ITPR2.0	Dissostichus eleginoides	Actinopteri	ITPR2	0	found_unannotated	CM062273.1	21940942	21999811	ITPR2		0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Dissostichus_eleginoides|GCA_031216635.1|ITPR3.0	Dissostichus eleginoides	Actinopteri	ITPR3	0	found_unannotated	CM062267.1	8174094	8242096	ITPR3		0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Dissostichus_mawsoni|GCA_011823955.1|ITPR1.0	Dissostichus mawsoni	Actinopteri	ITPR1	0	found_unannotated	JAAKFY010000006.1	25372485	25435846	ITPR1		0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Dissostichus_mawsoni|GCA_011823955.1|ITPR1.1	Dissostichus mawsoni	Actinopteri	ITPR1	1	found_unannotated	JAAKFY010000006.1	12061969	12166519	ITPR1	F7725_016552	0	no_call		0	0	1.0000	no_call	0	0	0	extra locus in a multi-copy cell	
Dissostichus_mawsoni|GCA_011823955.1|ITPR2.0	Dissostichus mawsoni	Actinopteri	ITPR2	0	found_unannotated	JAAKFY010000007.1	17781036	17839072	ITPR2		0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Dissostichus_mawsoni|GCA_011823955.1|ITPR3.0	Dissostichus mawsoni	Actinopteri	ITPR3	0	found_unannotated	JAAKFY010000002.1	32293568	32378972	ITPR3		0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Electrophorus_electricus|GCF_041902795.1|ITPR1.1	Electrophorus electricus	Actinopteri	ITPR1	1	found_annotated	NC_137518.1	14783297	14891923	ITPR1	itpr1b	20	ITPR1	ITPR1	2	2	0.0055	within_null	2	0	0	extra locus in a multi-copy cell	ARL8B;BHLHE40;BRK1;CAMKV;CAV4A;CPNE5B;GPX1A;GRM2B;KIF21B;LHFPL5A;MON1A;MST1R;NFYA;PSMA5;RRP9;SEMA3F;SETMAR;SORT1A;TEX264B;TRAIP
Engraulis_encrasicolus|GCF_034702125.1|ITPR1.1	Engraulis encrasicolus	Actinopteri	ITPR1	1	found_annotated	NC_085870.1	26797879	27067336	ITPR1	itpr1b	20	ITPR1	ITPR1	3	3	0.0000	supported	3	0	0	extra locus in a multi-copy cell	ARL6IP5A;AVPR2B;BHLHE40;EEVS;ERBB3A;FOXP1B;FRMD4B;GPR27;HP1BP3;KIF17;LRRN1;MITF;NINJ1;PFKFB2B;PHTF1;SETMAR;SH2D5;TRNT1;WNK2;YOD1
Entelurus_aequoreus|GCF_033978785.1|ITPR1.0	Entelurus aequoreus	Actinopteri	ITPR1	0	found_annotated	NC_084731.1	33154477	33362908	ITPR1	LOC133650755	20	ITPR1	ITPR1	1	1	0.0083	within_null	1	0	0	no paralog-named annotation at the locus	ATF1;ATF7B;CALCOCO1B;CAMK1A;CDK4;CFAP20DC;DIP2B;ESPL1;ESYT1B;FAIM2B;NR1D4B;PFDN5;SLC4A8;SMUG1;STAU1;SUMF1;TGM8;TMT1A;ZC3H10;ZNF740A
Entelurus_aequoreus|GCF_033978785.1|ITPR1.1	Entelurus aequoreus	Actinopteri	ITPR1	1	found_annotated	NC_084731.1	24183116	24381431	ITPR1	itpr1b	20	ITPR1	ITPR1	4	4	0.0000	supported	4	0	0	extra locus in a multi-copy cell	ARL6IP5A;ARL8B;AVPR2B;BHLHE40;CCDC120B;COMT;FOXP1B;FRMD4B;GRM6B;LRRN1;MBD1B;MITF;MON1A;MST1R;PROK2;RYBP;SEMA3F;SETMAR;TRAIP;TRNT1
Esox_lucius|GCF_011004845.1|ITPR1.0	Esox lucius	Actinopteri	ITPR1	0	found_annotated	NC_047585.1	29844710	29945756	ITPR1	LOC105017006	20	ITPR1	ITPR1	3	3	0.0000	supported	3	0	0	no paralog-named annotation at the locus	ATF1;CALCOCO1B;CDK4;CSE1L;DIP2B;DTX3L2;ESYT1B;HNRNPA1A;NR1D4B;OXTR;PBRM1;RAD18;SLC4A8;SMUG1;SRGAP3;SUMF1;THUMPD3;TTLL3;ZC3H10;ZNF740A
Esox_lucius|GCF_011004845.1|ITPR1.1	Esox lucius	Actinopteri	ITPR1	1	found_annotated	NC_047585.1	17252673	17361421	ITPR1	itpr1b	20	ITPR1	ITPR1	4	4	0.0000	supported	4	0	0	extra locus in a multi-copy cell	ARL6IP5A;ARL8B;BHLHE40;CAMKV;CCDC120;COMT;EEVS;FOXP1B;FRMD4B;GPR27;GRM6B;LRRN1;MDFIC2;MITF;MON1A;MST1R;SEMA3F;SETMAR;TRAIP;TRNT1
Gadus_morhua|GCF_902167405.1|ITPR1.1	Gadus morhua	Actinopteri	ITPR1	1	found_annotated	NC_044060.1	17049730	17145221	ITPR1	itpr1b	20	ITPR1	ITPR1	3	3	0.0000	supported	3	0	0	extra locus in a multi-copy cell	ARL8B;ATG7;BHLHE40;CAMKV;CCDC120B;COMT;GRM6B;HRH1;IFFO2B;LRRN1;MON1A;MST1R;PPARG;SEMA3F;SETMAR;SYN2B;TAMM41;TERF2IP;TRAIP;VGLL4B
Gambusia_affinis|GCF_019740435.1|ITPR1.0	Gambusia affinis	Actinopteri	ITPR1	0	found_annotated	NC_057874.1	12759475	12840509	ITPR1	LOC122833870	20	ITPR1	ITPR1	1	1	0.0083	within_null	1	0	0	no paralog-named annotation at the locus	ATF1;ATF7B;C1QL4B;CDK4;DIP2B;ESPL1;ESYT1B;LARP4A;MCRS1;METTL1;MMP19;PFDN5;PFKM;SCN8A;SLC4A8;SMUG1;SUMF1;SUOX;ZC3H10;ZNF740A
Gambusia_affinis|GCF_019740435.1|ITPR1.1	Gambusia affinis	Actinopteri	ITPR1	1	found_annotated	NC_057874.1	4757660	4864707	ITPR1	itpr1b	20	ITPR1	ITPR1	2	2	0.0055	within_null	2	0	0	extra locus in a multi-copy cell	ALDH1L1;CASS4;CCDC120B;COMT;CSTF1;FRMD4B;GRM6B;LRRN1;MITF;MON1A;MST1R;MTMR14;PDRG1;PHF2;PLXNB1B;SETD5;SETMAR;TP53RK;TRNT1;ZNF831
Genypterus_blacodes|GCF_046128005.1|ITPR1.1	Genypterus blacodes	Actinopteri	ITPR1	1	found_annotated	NW_027466831.1	7083524	7138046	ITPR1	itpr1b	13	ITPR1	ITPR1	1	1	0.0083	within_null	1	0	0	extra locus in a multi-copy cell	BHLHE40;CDC42;ETNK2;FBXO2;KLHDC8A;SETMAR;SLC41A1;SLC48A1B;SNRPE;SOX13;SVBP;TXNRD3;WNT4
Genypterus_blacodes|GCF_046128005.1|ITPR3.0	Genypterus blacodes	Actinopteri	ITPR3	0	found_annotated	NW_027467302.1	163	24592	ITPR3	LOC142990507	0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
