cell	key_kind	window	symbol	n_species	n_species_total	fraction	background	enrichment
ITPR2	root	fixed10	FGFR1OP	121	215	0.5628	0.0045	126.4403
ITPR2	root	fixed10	TM7SF	115	215	0.5349	0.0015	360.5116
ITPR2	root	fixed10	MED	110	215	0.5116	0.0208	24.6312
ITPR2	root	fixed10	RASSF	109	215	0.5070	0.0045	113.9008
ITPR2	root	fixed10	BMAL	97	215	0.4512	0.0000	inf
ITPR2	root	fixed10	STK38L	94	215	0.4372	0.0000	inf
ITPR2	root	fixed10	ETFRF	93	215	0.4326	0.0000	inf
ITPR2	root	fixed10	DNAI	83	215	0.3860	0.0074	52.0391
ITPR2	root	fixed10	PPFIBP	83	215	0.3860	0.0015	260.1953
ITPR2	root	fixed10	IRAG	71	215	0.3302	0.0015	222.5767
ITPR2	root	fixed10	REP	71	215	0.3302	0.0000	inf
ITPR2	root	fixed10	LMNTD	63	215	0.2930	0.0000	inf
ITPR2	root	fixed10	EEA	62	215	0.2884	0.0015	194.3628
ITPR2	root	fixed10	PLEKHG	62	215	0.2884	0.0059	48.5907
ITPR2	root	fixed10	GYS	52	215	0.2419	0.0000	inf
ITPR2	root	fixed10	UBE2N	51	215	0.2372	0.0015	159.8791
ITPR2	root	fixed10	SPX	50	215	0.2326	0.0000	inf
ITPR2	root	fixed10	NUDT4A	48	215	0.2233	0.0000	inf
ITPR2	root	fixed10	NR1H	47	215	0.2186	0.0030	73.6698
ITPR2	root	fixed10	C1QTNF	45	215	0.2093	0.0089	23.5116
ITPR2	root	fixed10	SLC17A	45	215	0.2093	0.0059	35.2674
ITPR2	root	fixed10	BANP	35	215	0.1628	0.0015	109.7209
ITPR2	root	fixed10	CYB5R	34	215	0.1581	0.0000	inf
ITPR2	root	fixed10	PPFIBP1B	33	215	0.1535	0.0015	103.4512
ITPR2	root	fixed10	BCAT	32	215	0.1488	0.0000	inf
ITPR2	root	fixed10	FBXO	31	215	0.1442	0.0341	4.2253
ITPR2	root	fixed10	ARNTL	27	215	0.1256	0.0000	inf
ITPR2	root	fixed10	LDHB	27	215	0.1256	0.0000	inf
ITPR2	root	fixed10	CES2B	26	215	0.1209	0.0015	81.5070
ITPR2	root	fixed10	ZNF	26	215	0.1209	0.1083	1.1165
ITPR2	root	fixed10	FANCI	25	215	0.1163	0.0015	78.3721
ITPR2	root	fixed10	RASSF8A	24	215	0.1116	0.0000	inf
ITPR3	root	fixed10	BAK	125	215	0.5814	0.0015	391.8605
ITPR3	root	fixed10	GRM	115	215	0.5349	0.0045	120.1705
ITPR3	root	fixed10	HMGA	104	215	0.4837	0.0000	inf
ITPR3	root	fixed10	NUDT	94	215	0.4372	0.0104	42.0970
ITPR3	root	fixed10	SMIM	92	215	0.4279	0.0223	19.2273
ITPR3	root	fixed10	RPS	91	215	0.4233	0.0252	16.7808
ITPR3	root	fixed10	LEMD	88	215	0.4093	0.0015	275.8698
ITPR3	root	fixed10	OARD	88	215	0.4093	0.0030	137.9349
ITPR3	root	fixed10	APOBEC	82	215	0.3814	0.0015	257.0605
ITPR3	root	fixed10	PACSIN	81	215	0.3767	0.0015	253.9256
ITPR3	root	fixed10	MLN	79	215	0.3674	0.0000	inf
ITPR3	root	fixed10	NFYA	79	215	0.3674	0.0015	247.6558
ITPR3	root	fixed10	IP6K	75	215	0.3488	0.0000	inf
ITPR3	root	fixed10	FOXP	56	215	0.2605	0.0015	175.5535
ITPR3	root	fixed10	SPDEF	53	215	0.2465	0.0000	inf
ITPR3	root	fixed10	MDFI	48	215	0.2233	0.0015	150.4744
ITPR3	root	fixed10	TSPO	42	215	0.1953	0.0000	inf
ITPR3	root	fixed10	SNRPC	37	215	0.1721	0.0000	inf
ITPR3	root	fixed10	TFEB	37	215	0.1721	0.0015	115.9907
ITPR3	root	fixed10	UQCC	36	215	0.1674	0.0015	112.8558
ITPR3	root	fixed10	GPR37L1B	31	215	0.1442	0.0000	inf
ITPR3	root	fixed10	TREM	31	215	0.1442	0.0015	97.1814
ITPR3	root	fixed10	HM13	29	215	0.1349	0.0015	90.9116
ITPR3	root	fixed10	PHF	29	215	0.1349	0.0119	11.3640
ITPR3	root	fixed10	ZBTB	29	215	0.1349	0.0341	3.9527
ITPR3	root	fixed10	CUTA	28	215	0.1302	0.0000	inf
ITPR3	root	fixed10	KIFC	28	215	0.1302	0.0030	43.8884
ITPR3	root	fixed10	MRGBP	27	215	0.1256	0.0074	16.9284
ITPR3	root	fixed10	SYNGAP	27	215	0.1256	0.0000	inf
ITPR3	root	fixed10	DAXX	26	215	0.1209	0.0000	inf
ITPR3	root	fixed10	ILRUN	26	215	0.1209	0.0000	inf
ITPR3	root	fixed10	SNX	26	215	0.1209	0.0267	4.5282
RYR	root	fixed10	MTR	118	213	0.5540	0.0000	inf
RYR	root	fixed10	CHRM	102	213	0.4789	0.0059	80.6901
RYR	root	fixed10	HEATR	93	213	0.4366	0.0015	294.2817
RYR	root	fixed10	GREM	92	213	0.4319	0.0015	291.1174
RYR	root	fixed10	ACTN	90	213	0.4225	0.0015	284.7887
RYR	root	fixed10	EDARADD	80	213	0.3756	0.0000	inf
RYR	root	fixed10	LGALS	80	213	0.3756	0.0089	42.1909
RYR	root	fixed10	GPR137B	75	213	0.3521	0.0000	inf
RYR	root	fixed10	ERO1B	74	213	0.3474	0.0000	inf
RYR	root	fixed10	FMN	74	213	0.3474	0.0000	inf
RYR	root	fixed10	NID	73	213	0.3427	0.0000	inf
RYR	root	fixed10	LYST	66	213	0.3099	0.0000	inf
RYR	root	fixed10	OPN	59	213	0.2770	0.0015	186.6948
RYR	root	fixed10	RGS	57	213	0.2676	0.0208	12.8833
RYR	root	fixed10	GNG	52	213	0.2441	0.0015	164.5446
RYR	root	fixed10	EXO	47	213	0.2207	0.0000	inf
RYR	root	fixed10	AVEN	45	213	0.2113	0.0015	142.3944
RYR	root	fixed10	WDR	45	213	0.2113	0.0608	3.4730
RYR	root	fixed10	PIGM	44	213	0.2066	0.0000	inf
RYR	root	fixed10	FMN2B	43	213	0.2019	0.0000	inf
RYR	root	fixed10	RASGRP	39	213	0.1831	0.0045	41.1362
RYR	root	fixed10	SPRED	38	213	0.1784	0.0030	60.1221
RYR	root	fixed10	MAP1LC3C	37	213	0.1737	0.0000	inf
RYR	root	fixed10	FH	36	213	0.1690	0.0000	inf
RYR	root	fixed10	KATNBL	35	213	0.1643	0.0000	inf
RYR	root	fixed10	CHRM3B	33	213	0.1549	0.0000	inf
RYR	root	fixed10	EMC	30	213	0.1408	0.0074	18.9859
RYR	root	fixed10	FAM98B	27	213	0.1268	0.0000	inf
RYR	root	fixed10	SCG	26	213	0.1221	0.0074	16.4545
RYR	root	fixed10	EXOC	25	213	0.1174	0.0059	19.7770
RYR	root	fixed10	FSIP	25	213	0.1174	0.0000	inf
RYR	root	fixed10	GPR	25	213	0.1174	0.0401	2.9299
RYR	root	fixed10	PLD	25	213	0.1174	0.0030	39.5540
RYR	root	fixed10	ARHGAP11A	23	213	0.1080	0.0015	72.7793
RYR	root	fixed10	BMS	22	213	0.1033	0.0015	69.6150
ITPR1	relaxed	informative10	SUMF1	188	207	0.9082	0.0000	inf
ITPR1	relaxed	informative10	EDEM1	135	207	0.6522	0.0000	inf
ITPR1	relaxed	informative10	LRRN1	135	207	0.6522	0.0000	inf
ITPR1	relaxed	informative10	BHLHE40	129	207	0.6232	0.0000	inf
ITPR1	relaxed	informative10	CRBN	125	207	0.6039	0.0000	inf
ITPR1	relaxed	informative10	TRNT1	120	207	0.5797	0.0000	inf
ITPR1	relaxed	informative10	ARL8B	113	207	0.5459	0.0000	inf
ITPR1	relaxed	informative10	IL5RA	104	207	0.5024	0.0000	inf
ITPR1	relaxed	informative10	LMCD1	100	207	0.4831	0.0000	inf
ITPR1	relaxed	informative10	RAD18	96	207	0.4638	0.0000	inf
ITPR1	relaxed	informative10	CAV3	91	207	0.4396	0.0000	inf
ITPR1	relaxed	informative10	CHL1	90	207	0.4348	0.0000	inf
ITPR1	relaxed	informative10	GRM7	86	207	0.4155	0.0000	inf
ITPR1	relaxed	informative10	OXTR	85	207	0.4106	0.0000	inf
ITPR1	relaxed	informative10	SRGAP3	83	207	0.4010	0.0000	inf
ITPR1	relaxed	informative10	PDZRN3	76	207	0.3671	0.0000	inf
ITPR1	relaxed	informative10	CNTN4	56	207	0.2705	0.0000	inf
ITPR1	relaxed	informative10	CNTN3	54	207	0.2609	0.0000	inf
ITPR1	relaxed	informative10	SETMAR	54	207	0.2609	0.0000	inf
ITPR1	relaxed	informative10	SSUH2	54	207	0.2609	0.0000	inf
ITPR1	relaxed	informative10	PPP4R2	52	207	0.2512	0.0000	inf
ITPR1	relaxed	informative10	CNTN6	51	207	0.2464	0.0000	inf
ITPR1	relaxed	informative10	THUMPD3	46	207	0.2222	0.0000	inf
ITPR1	relaxed	informative10	SLC4A8	44	207	0.2126	0.0029	72.2705
ITPR1	relaxed	informative10	ESPL1	42	207	0.2029	0.0015	137.9710
ITPR1	relaxed	informative10	PFDN5	42	207	0.2029	0.0015	137.9710
ITPR1	relaxed	informative10	GXYLT2	40	207	0.1932	0.0000	inf
ITPR1	relaxed	informative10	ZC3H10	40	207	0.1932	0.0000	inf
ITPR1	relaxed	informative10	ATF1	38	207	0.1836	0.0029	62.4155
ITPR1	relaxed	informative10	TTLL3	38	207	0.1836	0.0015	124.8309
ITPR1	relaxed	informative10	ZNF740A	38	207	0.1836	0.0000	inf
ITPR1	relaxed	informative10	DIP2B	37	207	0.1787	0.0029	60.7729
ITPR1	relaxed	informative10	CDK4	34	207	0.1643	0.0015	111.6908
ITPR1	relaxed	informative10	FAIM2B	34	207	0.1643	0.0000	inf
ITPR1	relaxed	informative10	ATF7B	33	207	0.1594	0.0015	108.4058
ITPR1	relaxed	informative10	METTL1	33	207	0.1594	0.0015	108.4058
ITPR1	relaxed	informative10	LARP4A	31	207	0.1498	0.0015	101.8357
ITPR1	relaxed	informative10	PFKM	31	207	0.1498	0.0000	inf
ITPR1	relaxed	informative10	SCN8A	31	207	0.1498	0.0029	50.9179
ITPR1	relaxed	informative10	ESYT1B	26	207	0.1256	0.0000	inf
ITPR1	relaxed	informative10	MCRS1	25	207	0.1208	0.0000	inf
ITPR1	relaxed	informative10	CYP27B1	23	207	0.1111	0.0000	inf
ITPR1	relaxed	informative10	SUOX	22	207	0.1063	0.0000	inf
ITPR2	relaxed	informative10	SSPN	198	216	0.9167	0.0000	inf
ITPR2	relaxed	informative10	BHLHE41	184	216	0.8519	0.0015	579.2593
ITPR2	relaxed	informative10	INTS13	139	216	0.6435	0.0000	inf
ITPR2	relaxed	informative10	KRAS	139	216	0.6435	0.0015	437.5926
ITPR2	relaxed	informative10	FGFR1OP2	122	216	0.5648	0.0000	inf
ITPR2	relaxed	informative10	TM7SF3	115	216	0.5324	0.0000	inf
ITPR2	relaxed	informative10	MED21	110	216	0.5093	0.0015	346.2963
ITPR2	relaxed	informative10	RASSF8	103	216	0.4769	0.0000	inf
ITPR2	relaxed	informative10	BMAL2	100	216	0.4630	0.0015	314.8148
ITPR2	relaxed	informative10	ETFRF1	94	216	0.4352	0.0000	inf
ITPR2	relaxed	informative10	STK38L	94	216	0.4352	0.0000	inf
ITPR2	relaxed	informative10	DNAI7	86	216	0.3981	0.0000	inf
ITPR2	relaxed	informative10	PPFIBP1	85	216	0.3935	0.0000	inf
ITPR2	relaxed	informative10	REP15	79	216	0.3657	0.0000	inf
ITPR2	relaxed	informative10	IRAG2	72	216	0.3333	0.0000	inf
ITPR2	relaxed	informative10	LMNTD1	63	216	0.2917	0.0000	inf
ITPR2	relaxed	informative10	EEA1	62	216	0.2870	0.0015	195.1852
ITPR2	relaxed	informative10	PLEKHG7	62	216	0.2870	0.0015	195.1852
ITPR2	relaxed	informative10	GYS2	58	216	0.2685	0.0000	inf
ITPR2	relaxed	informative10	SPX	52	216	0.2407	0.0000	inf
ITPR2	relaxed	informative10	UBE2N	52	216	0.2407	0.0029	81.8519
ITPR2	relaxed	informative10	NUDT4A	48	216	0.2222	0.0000	inf
ITPR2	relaxed	informative10	ARFGAP3	47	216	0.2176	0.0000	inf
ITPR2	relaxed	informative10	NR1H4	47	216	0.2176	0.0029	73.9815
ITPR2	relaxed	informative10	SLC17A8	47	216	0.2176	0.0029	73.9815
ITPR2	relaxed	informative10	BCAT1	46	216	0.2130	0.0000	inf
ITPR2	relaxed	informative10	C1QTNF13	45	216	0.2083	0.0015	141.6667
ITPR2	relaxed	informative10	SOX5	44	216	0.2037	0.0000	inf
ITPR2	relaxed	informative10	PPFIBP1B	43	216	0.1991	0.0015	135.3704
ITPR2	relaxed	informative10	ENDOUC	40	216	0.1852	0.0015	125.9259
ITPR2	relaxed	informative10	LDHB	37	216	0.1713	0.0000	inf
ITPR2	relaxed	informative10	BANP	36	216	0.1667	0.0029	56.6667
ITPR2	relaxed	informative10	FBXO31	36	216	0.1667	0.0015	113.3333
ITPR2	relaxed	informative10	CYB5R3	34	216	0.1574	0.0000	inf
ITPR2	relaxed	informative10	FANCI	32	216	0.1481	0.0015	100.7407
ITPR2	relaxed	informative10	POLG	31	216	0.1435	0.0015	97.5926
ITPR2	relaxed	informative10	ARNTL2	28	216	0.1296	0.0000	inf
ITPR2	relaxed	informative10	ZNF469	27	216	0.1250	0.0015	85.0000
ITPR2	relaxed	informative10	CES2B	26	216	0.1204	0.0015	81.8519
ITPR2	relaxed	informative10	RASSF8A	25	216	0.1157	0.0015	78.7037
ITPR3	relaxed	informative10	BAK1	125	215	0.5814	0.0015	395.3488
ITPR3	relaxed	informative10	GRM4	114	215	0.5302	0.0000	inf
ITPR3	relaxed	informative10	HMGA1	104	215	0.4837	0.0000	inf
ITPR3	relaxed	informative10	PACSIN1	97	215	0.4512	0.0000	inf
ITPR3	relaxed	informative10	NUDT3	96	215	0.4465	0.0000	inf
ITPR3	relaxed	informative10	RPS10	93	215	0.4326	0.0000	inf
ITPR3	relaxed	informative10	SMIM29	93	215	0.4326	0.0029	147.0698
ITPR3	relaxed	informative10	OARD1	89	215	0.4140	0.0044	93.8295
ITPR3	relaxed	informative10	LEMD2	88	215	0.4093	0.0000	inf
ITPR3	relaxed	informative10	APOBEC2	82	215	0.3814	0.0015	259.3488
ITPR3	relaxed	informative10	SPDEF	80	215	0.3721	0.0000	inf
ITPR3	relaxed	informative10	MLN	79	215	0.3674	0.0000	inf
ITPR3	relaxed	informative10	NFYA	79	215	0.3674	0.0015	249.8605
ITPR3	relaxed	informative10	IP6K3	75	215	0.3488	0.0015	237.2093
ITPR3	relaxed	informative10	FOXP4	61	215	0.2837	0.0015	192.9302
ITPR3	relaxed	informative10	MDFI	60	215	0.2791	0.0015	189.7674
ITPR3	relaxed	informative10	TFEB	60	215	0.2791	0.0015	189.7674
ITPR3	relaxed	informative10	FRS3	57	215	0.2651	0.0000	inf
ITPR3	relaxed	informative10	ILRUN	54	215	0.2512	0.0000	inf
ITPR3	relaxed	informative10	SNRPC	49	215	0.2279	0.0000	inf
ITPR3	relaxed	informative10	TSPO2	41	215	0.1907	0.0000	inf
ITPR3	relaxed	informative10	UQCC2	37	215	0.1721	0.0015	117.0233
ITPR3	relaxed	informative10	HM13	34	215	0.1581	0.0015	107.5349
