label	organism	vclass	accession	anchor_gene	n_keys	call	best	best_score	margin	score_ITPR1	score_ITPR2	score_ITPR3
Cervus_hanglu_yarkandensis|GCA_010411085.1|control2	Cervus hanglu yarkandensis	Mammalia	GCA_010411085.1	G4228_005900	0	no_call		0	0	0	0	0
Dissostichus_mawsoni|GCA_011823955.1|control0	Dissostichus mawsoni	Actinopteri	GCA_011823955.1	F7725_024210	0	no_call		0	0	0	0	0
Dissostichus_mawsoni|GCA_011823955.1|control1	Dissostichus mawsoni	Actinopteri	GCA_011823955.1	F7725_011926	0	no_call		0	0	0	0	0
Dissostichus_mawsoni|GCA_011823955.1|control2	Dissostichus mawsoni	Actinopteri	GCA_011823955.1	F7725_025736	0	no_call		0	0	0	0	0
Crypturellus_undulatus|GCA_013389825.1|control0	Crypturellus undulatus	Aves	GCA_013389825.1	Lypd6b	14	no_call		0	0	0	0	0
Crypturellus_undulatus|GCA_013389825.1|control1	Crypturellus undulatus	Aves	GCA_013389825.1	Haus2	19	no_call		0	0	0	0	0
Crypturellus_undulatus|GCA_013389825.1|control2	Crypturellus undulatus	Aves	GCA_013389825.1	Opn4a	18	no_call		0	0	0	0	0
Dryoscopus_gambensis|GCA_013389985.1|control0	Dryoscopus gambensis	Aves	GCA_013389985.1	Il17rc_1	20	no_call		0	0	0	0	0
Dryoscopus_gambensis|GCA_013389985.1|control1	Dryoscopus gambensis	Aves	GCA_013389985.1	Rab11a_0	19	no_call		0	0	0	0	0
Dryoscopus_gambensis|GCA_013389985.1|control2	Dryoscopus gambensis	Aves	GCA_013389985.1	Hgs	18	no_call		0	0	0	0	0
Chloropsis_hardwickii|GCA_013390065.1|control0	Chloropsis hardwickii	Aves	GCA_013390065.1	Mob4	20	no_call		0	0	0	0	0
Chloropsis_hardwickii|GCA_013390065.1|control1	Chloropsis hardwickii	Aves	GCA_013390065.1	Pex1	20	no_call		0	0	0	0	0
Chloropsis_hardwickii|GCA_013390065.1|control2	Chloropsis hardwickii	Aves	GCA_013390065.1	Slc27a4	20	no_call		0	0	0	0	0
Tichodroma_muraria|GCA_013390105.1|control0	Tichodroma muraria	Aves	GCA_013390105.1	Kcam	20	no_call		0	0	0	0	0
Tichodroma_muraria|GCA_013390105.1|control1	Tichodroma muraria	Aves	GCA_013390105.1	Def8	20	no_call		0	0	0	0	0
Tichodroma_muraria|GCA_013390105.1|control2	Tichodroma muraria	Aves	GCA_013390105.1	Fam49a	20	no_call		0	0	0	0	0
Menura_novaehollandiae|GCA_013396355.1|control0	Menura novaehollandiae	Aves	GCA_013396355.1	Commd5	20	no_call		0	0	0	0	0
Menura_novaehollandiae|GCA_013396355.1|control1	Menura novaehollandiae	Aves	GCA_013396355.1	Tmprss13	20	no_call		0	0	0	0	0
Menura_novaehollandiae|GCA_013396355.1|control2	Menura novaehollandiae	Aves	GCA_013396355.1	Aadacl3_0	20	no_call		0	0	0	0	0
Smithornis_capensis|GCA_013396465.1|control0	Smithornis capensis	Aves	GCA_013396465.1	Mfhas1	18	no_call		0	0	0	0	0
Smithornis_capensis|GCA_013396465.1|control1	Smithornis capensis	Aves	GCA_013396465.1	Cdc7	20	no_call		0	0	0	0	0
Smithornis_capensis|GCA_013396465.1|control2	Smithornis capensis	Aves	GCA_013396465.1	Dpysl3	19	no_call		0	0	0	0	0
Ptilorrhoa_leucosticta|GCA_013396485.1|control0	Ptilorrhoa leucosticta	Aves	GCA_013396485.1	Sp5	20	no_call		0	0	0	0	0
Ptilorrhoa_leucosticta|GCA_013396485.1|control1	Ptilorrhoa leucosticta	Aves	GCA_013396485.1	Dlg2	20	no_call		0	0	0	0	0
Ptilorrhoa_leucosticta|GCA_013396485.1|control2	Ptilorrhoa leucosticta	Aves	GCA_013396485.1	Gstt1_0	14	no_call		0	0	0	0	0
Eubucco_bourcierii|GCA_013396675.1|control0	Eubucco bourcierii	Aves	GCA_013396675.1	Eif4e_1	20	no_call		0	0	0	0	0
Eubucco_bourcierii|GCA_013396675.1|control1	Eubucco bourcierii	Aves	GCA_013396675.1	Ralgps1_0	20	no_call		0	0	0	0	0
Eubucco_bourcierii|GCA_013396675.1|control2	Eubucco bourcierii	Aves	GCA_013396675.1	Mad2l2	20	no_call		0	0	0	0	0
Psilopogon_haemacephalus|GCA_013396835.1|control0	Psilopogon haemacephalus	Aves	GCA_013396835.1	Actr1a	20	no_call		0	0	0	0	0
Psilopogon_haemacephalus|GCA_013396835.1|control1	Psilopogon haemacephalus	Aves	GCA_013396835.1	Ogfr	20	no_call		0	0	0	0	0
Psilopogon_haemacephalus|GCA_013396835.1|control2	Psilopogon haemacephalus	Aves	GCA_013396835.1	Bmp15	20	no_call		0	0	0	0	0
Vireo_altiloquus|GCA_013396875.1|control0	Vireo altiloquus	Aves	GCA_013396875.1	Mrps15	20	no_call		0	0	0	0	0
Vireo_altiloquus|GCA_013396875.1|control1	Vireo altiloquus	Aves	GCA_013396875.1	Cfap99	14	no_call		0	0	0	0	0
Vireo_altiloquus|GCA_013396875.1|control2	Vireo altiloquus	Aves	GCA_013396875.1	Dgkz	20	no_call		0	0	0	0	0
Baryphthengus_martii|GCA_013396935.1|control0	Baryphthengus martii	Aves	GCA_013396935.1	Olfml3	20	no_call		0	0	0	0	0
Baryphthengus_martii|GCA_013396935.1|control1	Baryphthengus martii	Aves	GCA_013396935.1	Polh	17	no_call		0	0	0	0	0
Baryphthengus_martii|GCA_013396935.1|control2	Baryphthengus martii	Aves	GCA_013396935.1	Rps14	18	no_call		0	0	0	0	0
Bucco_capensis|GCA_013396975.1|control0	Bucco capensis	Aves	GCA_013396975.1	Stub1	20	no_call		0	0	0	0	0
Bucco_capensis|GCA_013396975.1|control1	Bucco capensis	Aves	GCA_013396975.1	Pnrc1	20	no_call		0	0	0	0	0
Bucco_capensis|GCA_013396975.1|control2	Bucco capensis	Aves	GCA_013396975.1	Nop58	16	no_call		0	0	0	0	0
Myiagra_hebetior|GCA_013397015.1|control0	Myiagra hebetior	Aves	GCA_013397015.1	Nop16	19	no_call		0	0	0	0	0
Myiagra_hebetior|GCA_013397015.1|control1	Myiagra hebetior	Aves	GCA_013397015.1	Cr2_2	17	no_call		0	0	0	0	0
Myiagra_hebetior|GCA_013397015.1|control2	Myiagra hebetior	Aves	GCA_013397015.1	Cdkl1	20	no_call		0	0	0	0	0
Thryothorus_ludovicianus|GCA_013397245.1|control0	Thryothorus ludovicianus	Aves	GCA_013397245.1	Polr2c	20	no_call		0	0	0	0	0
Thryothorus_ludovicianus|GCA_013397245.1|control1	Thryothorus ludovicianus	Aves	GCA_013397245.1	Patl2	20	no_call		0	0	0	0	0
Thryothorus_ludovicianus|GCA_013397245.1|control2	Thryothorus ludovicianus	Aves	GCA_013397245.1	Duoxa2	18	no_call		0	0	0	0	0
Polioptila_caerulea|GCA_013397295.1|control0	Polioptila caerulea	Aves	GCA_013397295.1	Atp5f1	18	no_call		0	0	0	0	0
Polioptila_caerulea|GCA_013397295.1|control1	Polioptila caerulea	Aves	GCA_013397295.1	Tesk2	20	no_call		0	0	0	0	0
Polioptila_caerulea|GCA_013397295.1|control2	Polioptila caerulea	Aves	GCA_013397295.1	Lrrk2	20	no_call		0	0	0	0	0
Sinosuthora_webbiana|GCA_013397395.1|control0	Sinosuthora webbiana	Aves	GCA_013397395.1	Rab3ip	17	no_call		0	0	0	0	0
Sinosuthora_webbiana|GCA_013397395.1|control1	Sinosuthora webbiana	Aves	GCA_013397395.1	Cryba2	20	no_call		0	0	0	0	0
Sinosuthora_webbiana|GCA_013397395.1|control2	Sinosuthora webbiana	Aves	GCA_013397395.1	Kcnk1	20	no_call		0	0	0	0	0
Furnarius_figulus|GCA_013397465.1|control0	Furnarius figulus	Aves	GCA_013397465.1	Mrpl35	20	no_call		0	0	0	0	0
Furnarius_figulus|GCA_013397465.1|control1	Furnarius figulus	Aves	GCA_013397465.1	Tbx1b_1	20	no_call		0	0	0	0	0
Furnarius_figulus|GCA_013397465.1|control2	Furnarius figulus	Aves	GCA_013397465.1	Card10	20	no_call		0	0	0	0	0
Mionectes_macconnelli|GCA_013397495.1|control0	Mionectes macconnelli	Aves	GCA_013397495.1	Ctrc	20	no_call		0	0	0	0	0
Mionectes_macconnelli|GCA_013397495.1|control1	Mionectes macconnelli	Aves	GCA_013397495.1	Kcnh1	20	no_call		0	0	0	0	0
Mionectes_macconnelli|GCA_013397495.1|control2	Mionectes macconnelli	Aves	GCA_013397495.1	Dpp6	19	no_call		0	0	0	0	0
Pterocles_burchelli|GCA_013397535.1|control0	Pterocles burchelli	Aves	GCA_013397535.1	Specc1l	20	no_call		0	0	0	0	0
Pterocles_burchelli|GCA_013397535.1|control1	Pterocles burchelli	Aves	GCA_013397535.1	Hs6st2	20	no_call		0	0	0	0	0
Pterocles_burchelli|GCA_013397535.1|control2	Pterocles burchelli	Aves	GCA_013397535.1	Dnah3	15	no_call		0	0	0	0	0
Columbina_picui|GCA_013397635.1|control0	Columbina picui	Aves	GCA_013397635.1	Tmem106b	20	no_call		0	0	0	0	0
Columbina_picui|GCA_013397635.1|control1	Columbina picui	Aves	GCA_013397635.1	Pcgf6	20	no_call		0	0	0	0	0
Columbina_picui|GCA_013397635.1|control2	Columbina picui	Aves	GCA_013397635.1	Yipf7	20	no_call		0	0	0	0	0
Aleadryas_rufinucha|GCA_013397815.1|control0	Aleadryas rufinucha	Aves	GCA_013397815.1	Adap1_1	20	no_call		0	0	0	0	0
Aleadryas_rufinucha|GCA_013397815.1|control1	Aleadryas rufinucha	Aves	GCA_013397815.1	Lrig1	20	no_call		0	0	0	0	0
Aleadryas_rufinucha|GCA_013397815.1|control2	Aleadryas rufinucha	Aves	GCA_013397815.1	Dnm1l	16	no_call		0	0	0	0	0
Origma_solitaria|GCA_013397895.1|control0	Origma solitaria	Aves	GCA_013397895.1	Tada2b	20	no_call		0	0	0	0	0
Origma_solitaria|GCA_013397895.1|control1	Origma solitaria	Aves	GCA_013397895.1	Tcf12	20	no_call		0	0	0	0	0
Origma_solitaria|GCA_013397895.1|control2	Origma solitaria	Aves	GCA_013397895.1	Csnk1g1	20	no_call		0	0	0	0	0
Grantiella_picta|GCA_013397955.1|control0	Grantiella picta	Aves	GCA_013397955.1	Rpl23a	20	no_call		0	0	0	0	0
Grantiella_picta|GCA_013397955.1|control1	Grantiella picta	Aves	GCA_013397955.1	Rassf1	20	no_call		0	0	0	0	0
Grantiella_picta|GCA_013397955.1|control2	Grantiella picta	Aves	GCA_013397955.1	Tmed2	16	no_call		0	0	0	0	0
Aegotheles_bennettii|GCA_013398125.1|control0	Aegotheles bennettii	Aves	GCA_013398125.1	Chsy1	20	no_call		0	0	0	0	0
Aegotheles_bennettii|GCA_013398125.1|control1	Aegotheles bennettii	Aves	GCA_013398125.1	Tmem104	20	no_call		0	0	0	0	0
Aegotheles_bennettii|GCA_013398125.1|control2	Aegotheles bennettii	Aves	GCA_013398125.1	Cacng1	20	no_call		0	0	0	0	0
Pedionomus_torquatus|GCA_013398155.1|control0	Pedionomus torquatus	Aves	GCA_013398155.1	Sult6b1_0	15	no_call		0	0	0	0	0
Pedionomus_torquatus|GCA_013398155.1|control1	Pedionomus torquatus	Aves	GCA_013398155.1	Sult6b1_0	15	no_call		0	0	0	0	0
Pedionomus_torquatus|GCA_013398155.1|control2	Pedionomus torquatus	Aves	GCA_013398155.1	Sult6b1_0	15	no_call		0	0	0	0	0
Climacteris_rufus|GCA_013398175.1|control0	Climacteris rufus	Aves	GCA_013398175.1	Slc25a20	20	no_call		0	0	0	0	0
Climacteris_rufus|GCA_013398175.1|control1	Climacteris rufus	Aves	GCA_013398175.1	Slc25a43	20	no_call		0	0	0	0	0
Climacteris_rufus|GCA_013398175.1|control2	Climacteris rufus	Aves	GCA_013398175.1	Dok7	20	no_call		0	0	0	0	0
Loxia_curvirostra|GCA_013398455.1|control0	Loxia curvirostra	Aves	GCA_013398455.1	Tmem173_1	20	no_call		0	0	0	0	0
Loxia_curvirostra|GCA_013398455.1|control1	Loxia curvirostra	Aves	GCA_013398455.1	Rnf25	20	no_call		0	0	0	0	0
Loxia_curvirostra|GCA_013398455.1|control2	Loxia curvirostra	Aves	GCA_013398455.1	Adamts13_1	19	no_call		0	0	0	0	0
Certhia_familiaris|GCA_013398575.1|control0	Certhia familiaris	Aves	GCA_013398575.1	Usp3	20	no_call		0	0	0	0	0
Certhia_familiaris|GCA_013398575.1|control1	Certhia familiaris	Aves	GCA_013398575.1	Ccser2_1	17	no_call		0	0	0	0	0
Certhia_familiaris|GCA_013398575.1|control2	Certhia familiaris	Aves	GCA_013398575.1	Palld	20	no_call		0	0	0	0	0
Brachypodius_melanocephalos|GCA_013398615.1|control0	Brachypodius melanocephalos	Aves	GCA_013398615.1	Hao2	20	no_call		0	0	0	0	0
Brachypodius_melanocephalos|GCA_013398615.1|control1	Brachypodius melanocephalos	Aves	GCA_013398615.1	Barhl1	20	no_call		0	0	0	0	0
Brachypodius_melanocephalos|GCA_013398615.1|control2	Brachypodius melanocephalos	Aves	GCA_013398615.1	Guca1c	20	no_call		0	0	0	0	0
Elachura_formosa|GCA_013398795.1|control0	Elachura formosa	Aves	GCA_013398795.1	Zhx1	20	no_call		0	0	0	0	0
Elachura_formosa|GCA_013398795.1|control1	Elachura formosa	Aves	GCA_013398795.1	Larp6_0	20	no_call		0	0	0	0	0
Elachura_formosa|GCA_013398795.1|control2	Elachura formosa	Aves	GCA_013398795.1	Sf3b4	19	no_call		0	0	0	0	0
Emberiza_fucata|GCA_013398835.1|control0	Emberiza fucata	Aves	GCA_013398835.1	Trmt44	20	no_call		0	0	0	0	0
Emberiza_fucata|GCA_013398835.1|control1	Emberiza fucata	Aves	GCA_013398835.1	Fkbp14	20	no_call		0	0	0	0	0
Emberiza_fucata|GCA_013398835.1|control2	Emberiza fucata	Aves	GCA_013398835.1	Ppp4r1_0	20	no_call		0	0	0	0	0
Catharus_fuscescens|GCA_013398975.1|control0	Catharus fuscescens	Aves	GCA_013398975.1	Ocrl	20	no_call		0	0	0	0	0
Catharus_fuscescens|GCA_013398975.1|control1	Catharus fuscescens	Aves	GCA_013398975.1	Golga7b	20	no_call		0	0	0	0	0
Catharus_fuscescens|GCA_013398975.1|control2	Catharus fuscescens	Aves	GCA_013398975.1	Dnal4	20	no_call		0	0	0	0	0
Chloroceryle_aenea|GCA_013399075.1|control0	Chloroceryle aenea	Aves	GCA_013399075.1	Tmprss3	19	no_call		0	0	0	0	0
Chloroceryle_aenea|GCA_013399075.1|control1	Chloroceryle aenea	Aves	GCA_013399075.1	Myof_0	20	no_call		0	0	0	0	0
Chloroceryle_aenea|GCA_013399075.1|control2	Chloroceryle aenea	Aves	GCA_013399075.1	Ulk2_1	20	no_call		0	0	0	0	0
Rostratula_benghalensis|GCA_013399305.1|control0	Rostratula benghalensis	Aves	GCA_013399305.1	Asic2_1	15	no_call		0	0	0	0	0
Rostratula_benghalensis|GCA_013399305.1|control1	Rostratula benghalensis	Aves	GCA_013399305.1	Znf800	20	no_call		0	0	0	0	0
Rostratula_benghalensis|GCA_013399305.1|control2	Rostratula benghalensis	Aves	GCA_013399305.1	Ap4e1_0	20	no_call		0	0	0	0	0
Nyctiprogne_leucopyga|GCA_013399395.1|control0	Nyctiprogne leucopyga	Aves	GCA_013399395.1	Rnf126	20	no_call		0	0	0	0	0
Nyctiprogne_leucopyga|GCA_013399395.1|control1	Nyctiprogne leucopyga	Aves	GCA_013399395.1	Cyth1	20	no_call		0	0	0	0	0
Nyctiprogne_leucopyga|GCA_013399395.1|control2	Nyctiprogne leucopyga	Aves	GCA_013399395.1	Pdgfrb	18	no_call		0	0	0	0	0
Anthoscopus_minutus|GCA_013399455.1|control0	Anthoscopus minutus	Aves	GCA_013399455.1	Kcnh4	20	no_call		0	0	0	0	0
Anthoscopus_minutus|GCA_013399455.1|control1	Anthoscopus minutus	Aves	GCA_013399455.1	Ap3s2	20	no_call		0	0	0	0	0
Anthoscopus_minutus|GCA_013399455.1|control2	Anthoscopus minutus	Aves	GCA_013399455.1	Fhod1	14	no_call		0	0	0	0	0
Corythaixoides_concolor|GCA_013399495.1|control0	Corythaixoides concolor	Aves	GCA_013399495.1	Hspa5	20	no_call		0	0	0	0	0
Corythaixoides_concolor|GCA_013399495.1|control1	Corythaixoides concolor	Aves	GCA_013399495.1	Kdsr	18	no_call		0	0	0	0	0
Corythaixoides_concolor|GCA_013399495.1|control2	Corythaixoides concolor	Aves	GCA_013399495.1	CORCON_R07443	20	no_call		0	0	0	0	0
Podilymbus_podiceps|GCA_013399565.1|control0	Podilymbus podiceps	Aves	GCA_013399565.1	Folr1_0	16	no_call		0	0	0	0	0
Podilymbus_podiceps|GCA_013399565.1|control1	Podilymbus podiceps	Aves	GCA_013399565.1	P2ry14	17	no_call		0	0	0	0	0
Podilymbus_podiceps|GCA_013399565.1|control2	Podilymbus podiceps	Aves	GCA_013399565.1	Ap3b2	20	no_call		0	0	0	0	0
Tyrannus_savana|GCA_013399735.1|control0	Tyrannus savana	Aves	GCA_013399735.1	Ufd1	17	no_call		0	0	0	0	0
Tyrannus_savana|GCA_013399735.1|control1	Tyrannus savana	Aves	GCA_013399735.1	Fxyd2	20	no_call		0	0	0	0	0
Tyrannus_savana|GCA_013399735.1|control2	Tyrannus savana	Aves	GCA_013399735.1	Tchp	20	no_call		0	0	0	0	0
Semnornis_frantzii|GCA_013399775.1|control0	Semnornis frantzii	Aves	GCA_013399775.1	Hps1	20	no_call		0	0	0	0	0
Semnornis_frantzii|GCA_013399775.1|control1	Semnornis frantzii	Aves	GCA_013399775.1	Efna3	15	no_call		0	0	0	0	0
Semnornis_frantzii|GCA_013399775.1|control2	Semnornis frantzii	Aves	GCA_013399775.1	Mad2l2	20	no_call		0	0	0	0	0
Zosterops_hypoxanthus|GCA_013399795.1|control0	Zosterops hypoxanthus	Aves	GCA_013399795.1	Cyp2j5	20	no_call		0	0	0	0	0
Zosterops_hypoxanthus|GCA_013399795.1|control1	Zosterops hypoxanthus	Aves	GCA_013399795.1	Nfe2l2	17	no_call		0	0	0	0	0
Zosterops_hypoxanthus|GCA_013399795.1|control2	Zosterops hypoxanthus	Aves	GCA_013399795.1	Cep95	20	no_call		0	0	0	0	0
Oxyruncus_cristatus|GCA_013399855.1|control0	Oxyruncus cristatus	Aves	GCA_013399855.1	Rps21	20	no_call		0	0	0	0	0
Oxyruncus_cristatus|GCA_013399855.1|control1	Oxyruncus cristatus	Aves	GCA_013399855.1	Rgs5	20	no_call		0	0	0	0	0
Oxyruncus_cristatus|GCA_013399855.1|control2	Oxyruncus cristatus	Aves	GCA_013399855.1	Ptger3	18	no_call		0	0	0	0	0
Serilophus_lunatus|GCA_013399895.1|control0	Serilophus lunatus	Aves	GCA_013399895.1	Slc16a5	20	no_call		0	0	0	0	0
Serilophus_lunatus|GCA_013399895.1|control1	Serilophus lunatus	Aves	GCA_013399895.1	Erp27	18	no_call		0	0	0	0	0
Serilophus_lunatus|GCA_013399895.1|control2	Serilophus lunatus	Aves	GCA_013399895.1	Tor4a	20	no_call		0	0	0	0	0
Hippolais_icterina|GCA_013400075.1|control0	Hippolais icterina	Aves	GCA_013400075.1	Tbc1d12	20	no_call		0	0	0	0	0
Hippolais_icterina|GCA_013400075.1|control1	Hippolais icterina	Aves	GCA_013400075.1	Dbn1	16	no_call		0	0	0	0	0
Hippolais_icterina|GCA_013400075.1|control2	Hippolais icterina	Aves	GCA_013400075.1	Mesd	20	no_call		0	0	0	0	0
Aramus_guarauna|GCA_013400195.1|control0	Aramus guarauna	Aves	GCA_013400195.1	Myof_1	20	no_call		0	0	0	0	0
Aramus_guarauna|GCA_013400195.1|control1	Aramus guarauna	Aves	GCA_013400195.1	Tctn1	20	no_call		0	0	0	0	0
Aramus_guarauna|GCA_013400195.1|control2	Aramus guarauna	Aves	GCA_013400195.1	Pak2	20	no_call		0	0	0	0	0
Cisticola_juncidis|GCA_013400215.1|control0	Cisticola juncidis	Aves	GCA_013400215.1	Prox2	20	no_call		0	0	0	0	0
Cisticola_juncidis|GCA_013400215.1|control1	Cisticola juncidis	Aves	GCA_013400215.1	Rnf157	20	no_call		0	0	0	0	0
Cisticola_juncidis|GCA_013400215.1|control2	Cisticola juncidis	Aves	GCA_013400215.1	Ccni2	19	no_call		0	0	0	0	0
Scytalopus_superciliaris|GCA_013400415.1|control0	Scytalopus superciliaris	Aves	GCA_013400415.1	Ganc	20	no_call		0	0	0	0	0
Scytalopus_superciliaris|GCA_013400415.1|control1	Scytalopus superciliaris	Aves	GCA_013400415.1	Spg21	20	no_call		0	0	0	0	0
Scytalopus_superciliaris|GCA_013400415.1|control2	Scytalopus superciliaris	Aves	GCA_013400415.1	Snx4	20	no_call		0	0	0	0	0
Leiothrix_lutea|GCA_013400445.1|control0	Leiothrix lutea	Aves	GCA_013400445.1	Stk16	20	no_call		0	0	0	0	0
Leiothrix_lutea|GCA_013400445.1|control1	Leiothrix lutea	Aves	GCA_013400445.1	Ttyh3	20	no_call		0	0	0	0	0
Leiothrix_lutea|GCA_013400445.1|control2	Leiothrix lutea	Aves	GCA_013400445.1	Gjc1_0	20	no_call		0	0	0	0	0
Erpornis_zantholeuca|GCA_013400515.1|control0	Erpornis zantholeuca	Aves	GCA_013400515.1	Macf1_1	20	no_call		0	0	0	0	0
Erpornis_zantholeuca|GCA_013400515.1|control1	Erpornis zantholeuca	Aves	GCA_013400515.1	Dnali1	19	no_call		0	0	0	0	0
Erpornis_zantholeuca|GCA_013400515.1|control2	Erpornis zantholeuca	Aves	GCA_013400515.1	Bmp8b	20	no_call		0	0	0	0	0
Chloropsis_cyanopogon|GCA_013400585.1|control0	Chloropsis cyanopogon	Aves	GCA_013400585.1	Otop3	20	no_call		0	0	0	0	0
Chloropsis_cyanopogon|GCA_013400585.1|control1	Chloropsis cyanopogon	Aves	GCA_013400585.1	Rnf25	20	no_call		0	0	0	0	0
Chloropsis_cyanopogon|GCA_013400585.1|control2	Chloropsis cyanopogon	Aves	GCA_013400585.1	Bco2	20	no_call		0	0	0	0	0
Hypocryptadius_cinnamomeus|GCA_013400635.1|control0	Hypocryptadius cinnamomeus	Aves	GCA_013400635.1	Marveld1	19	no_call		0	0	0	0	0
Hypocryptadius_cinnamomeus|GCA_013400635.1|control1	Hypocryptadius cinnamomeus	Aves	GCA_013400635.1	Marveld1	19	no_call		0	0	0	0	0
Hypocryptadius_cinnamomeus|GCA_013400635.1|control2	Hypocryptadius cinnamomeus	Aves	GCA_013400635.1	Marveld1	19	no_call		0	0	0	0	0
Pomatostomus_ruficeps|GCA_013400735.1|control0	Pomatostomus ruficeps	Aves	GCA_013400735.1	Chrnb2	18	no_call		0	0	0	0	0
Pomatostomus_ruficeps|GCA_013400735.1|control1	Pomatostomus ruficeps	Aves	GCA_013400735.1	Pla2g6	20	no_call		0	0	0	0	0
Pomatostomus_ruficeps|GCA_013400735.1|control2	Pomatostomus ruficeps	Aves	GCA_013400735.1	Cby1	20	no_call		0	0	0	0	0
Centropus_bengalensis|GCA_013400815.1|control0	Centropus bengalensis	Aves	GCA_013400815.1	Zp2_2	20	no_call		0	0	0	0	0
Centropus_bengalensis|GCA_013400815.1|control1	Centropus bengalensis	Aves	GCA_013400815.1	Fam83a	20	no_call		0	0	0	0	0
Centropus_bengalensis|GCA_013400815.1|control2	Centropus bengalensis	Aves	GCA_013400815.1	Surf4	20	no_call		0	0	0	0	0
Thalassarche_chlororhynchos|GCA_013400895.1|control0	Thalassarche chlororhynchos	Aves	GCA_013400895.1	Cntnap1	20	no_call		0	0	0	0	0
Thalassarche_chlororhynchos|GCA_013400895.1|control1	Thalassarche chlororhynchos	Aves	GCA_013400895.1	Triobp	20	no_call		0	0	0	0	0
Thalassarche_chlororhynchos|GCA_013400895.1|control2	Thalassarche chlororhynchos	Aves	GCA_013400895.1	Adap1_1	20	no_call		0	0	0	0	0
Pardalotus_punctatus|GCA_013400915.1|control0	Pardalotus punctatus	Aves	GCA_013400915.1	Dl	20	no_call		0	0	0	0	0
Pardalotus_punctatus|GCA_013400915.1|control1	Pardalotus punctatus	Aves	GCA_013400915.1	Drgx	16	no_call		0	0	0	0	0
Pardalotus_punctatus|GCA_013400915.1|control2	Pardalotus punctatus	Aves	GCA_013400915.1	Ch25h	20	no_call		0	0	0	0	0
Drymodes_brunneopygia|GCA_013400955.1|control0	Drymodes brunneopygia	Aves	GCA_013400955.1	Actr1a	18	no_call		0	0	0	0	0
Drymodes_brunneopygia|GCA_013400955.1|control1	Drymodes brunneopygia	Aves	GCA_013400955.1	Faah_1	20	no_call		0	0	0	0	0
Drymodes_brunneopygia|GCA_013400955.1|control2	Drymodes brunneopygia	Aves	GCA_013400955.1	Tmem17_1	20	no_call		0	0	0	0	0
Oreotrochilus_melanogaster|GCA_013400995.1|control0	Oreotrochilus melanogaster	Aves	GCA_013400995.1	Erich6	18	no_call		0	0	0	0	0
Oreotrochilus_melanogaster|GCA_013400995.1|control1	Oreotrochilus melanogaster	Aves	GCA_013400995.1	Ski	16	no_call		0	0	0	0	0
