label	accession	organism	vclass	cell	window	side	rank	symbol	informative	relaxed_key	root_key	gene_id	biotype	contig	start	end	strand	distance_bp
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	up	7	Celaphus_00014056	0			gene-Celaphus_00014056	protein_coding	CM008029.1	44868499	44875768	+	1686525
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	up	8	Celaphus_00014055	0			gene-Celaphus_00014055	protein_coding	CM008029.1	44596276	44613126	-	1949167
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	up	9	Celaphus_00014054	0			gene-Celaphus_00014054	protein_coding	CM008029.1	44497608	44498110	+	2064183
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	up	10	Celaphus_00014053	0			gene-Celaphus_00014053	protein_coding	CM008029.1	42717761	42720378	-	3841915
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	down	1	Celaphus_00014064	0			gene-Celaphus_00014064	protein_coding	CM008029.1	47336751	47337404	+	49010
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	down	2	Celaphus_00014065	0			gene-Celaphus_00014065	protein_coding	CM008029.1	47355893	47367485	+	68152
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	down	3	Celaphus_00014066	0			gene-Celaphus_00014066	protein_coding	CM008029.1	47432969	47461833	-	145228
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	down	4	Celaphus_00014067	0			gene-Celaphus_00014067	protein_coding	CM008029.1	47487620	47496393	+	199879
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	down	5	Celaphus_00014068	0			gene-Celaphus_00014068	protein_coding	CM008029.1	47510339	47538401	-	222598
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	down	6	Celaphus_00014069	0			gene-Celaphus_00014069	protein_coding	CM008029.1	47580037	47591498	+	292296
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	down	7	Celaphus_00014070	0			gene-Celaphus_00014070	protein_coding	CM008029.1	47830998	47850121	+	543257
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	down	8	Celaphus_00014071	0			gene-Celaphus_00014071	protein_coding	CM008029.1	47939667	47945881	+	651926
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	down	9	Celaphus_00014072	0			gene-Celaphus_00014072	protein_coding	CM008029.1	47961597	47962924	+	673856
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	down	10	Celaphus_00014073	0			gene-Celaphus_00014073	protein_coding	CM008029.1	47976113	47981619	+	688372
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	1	Celaphus_00008162	0			gene-Celaphus_00008162	protein_coding	CM008022.1	11547171	11553974	+	691642
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	2	Celaphus_00008161	0			gene-Celaphus_00008161	protein_coding	CM008022.1	11500393	11520255	+	725361
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	3	Celaphus_00008160	0			gene-Celaphus_00008160	protein_coding	CM008022.1	11284930	11383567	-	862049
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	4	Celaphus_00008159	0			gene-Celaphus_00008159	protein_coding	CM008022.1	11276454	11280049	-	965567
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	5	Celaphus_00008158	0			gene-Celaphus_00008158	protein_coding	CM008022.1	11255131	11268052	+	977564
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	6	Celaphus_00008157	0			gene-Celaphus_00008157	protein_coding	CM008022.1	10771858	10934499	-	1311117
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	7	Celaphus_00008156	0			gene-Celaphus_00008156	protein_coding	CM008022.1	10768962	10778995	+	1466621
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	8	Celaphus_00008155	0			gene-Celaphus_00008155	protein_coding	CM008022.1	10571141	10609955	-	1635661
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	9	Celaphus_00008154	0			gene-Celaphus_00008154	protein_coding	CM008022.1	10571124	10575319	+	1670297
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	10	Celaphus_00008153	0			gene-Celaphus_00008153	protein_coding	CM008022.1	10107948	10145873	-	2099743
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	1	Celaphus_00008170	0			gene-Celaphus_00008170	protein_coding	CM008022.1	13356949	13364282	-	165104
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	2	Celaphus_00008171	0			gene-Celaphus_00008171	protein_coding	CM008022.1	16052371	16053268	+	2860526
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	3	Celaphus_00008172	0			gene-Celaphus_00008172	protein_coding	CM008022.1	16140422	16141114	+	2948577
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	4	Celaphus_00008173	0			gene-Celaphus_00008173	protein_coding	CM008022.1	16249196	16344804	+	3057351
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	5	Celaphus_00008174	0			gene-Celaphus_00008174	protein_coding	CM008022.1	16417692	16423478	+	3225847
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	6	Celaphus_00008175	0			gene-Celaphus_00008175	protein_coding	CM008022.1	16477598	16477816	+	3285753
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	7	Celaphus_00008176	0			gene-Celaphus_00008176	protein_coding	CM008022.1	16505046	16533571	+	3313201
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	8	Celaphus_00008177	0			gene-Celaphus_00008177	protein_coding	CM008022.1	16792414	16795363	+	3600569
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	9	Celaphus_00008178	0			gene-Celaphus_00008178	protein_coding	CM008022.1	16935784	16944754	-	3743939
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	10	Celaphus_00008179	0			gene-Celaphus_00008179	protein_coding	CM008022.1	17207278	17209595	+	4015433
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	1	Celaphus_00004444	0			gene-Celaphus_00004444	protein_coding	CM008011.1	60155113	60183146	+	9809
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	2	Celaphus_00004443	0			gene-Celaphus_00004443	protein_coding	CM008011.1	60149113	60153842	-	39113
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	3	Celaphus_00004442	0			gene-Celaphus_00004442	protein_coding	CM008011.1	60140094	60142126	-	50829
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	4	Celaphus_00004441	0			gene-Celaphus_00004441	protein_coding	CM008011.1	60044977	60056366	-	136589
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	5	Celaphus_00004440	0			gene-Celaphus_00004440	protein_coding	CM008011.1	59992449	60025425	-	167530
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	6	Celaphus_00004439	0			gene-Celaphus_00004439	protein_coding	CM008011.1	59968595	59991498	+	201457
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	7	Celaphus_00004438	0			gene-Celaphus_00004438	protein_coding	CM008011.1	59887646	59896579	+	296376
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	8	Celaphus_00004437	0			gene-Celaphus_00004437	protein_coding	CM008011.1	59862511	59886394	+	306561
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	9	Celaphus_00004436	0			gene-Celaphus_00004436	protein_coding	CM008011.1	59817697	59820895	+	372060
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	10	Celaphus_00004435	0			gene-Celaphus_00004435	protein_coding	CM008011.1	59788896	59808561	+	384394
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	1	Celaphus_00004451	0			gene-Celaphus_00004451	protein_coding	CM008011.1	60353383	60366122	+	20033
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	2	Celaphus_00004452	0			gene-Celaphus_00004452	protein_coding	CM008011.1	60372051	60376529	-	38701
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	3	Celaphus_00004453	0			gene-Celaphus_00004453	protein_coding	CM008011.1	60384225	60390003	-	50875
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	4	Celaphus_00004454	0			gene-Celaphus_00004454	protein_coding	CM008011.1	60393480	60396447	+	60130
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	5	Celaphus_00004455	0			gene-Celaphus_00004455	protein_coding	CM008011.1	60397286	60403347	-	63936
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	6	Celaphus_00004456	0			gene-Celaphus_00004456	protein_coding	CM008011.1	60427457	60452136	-	94107
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	7	Celaphus_00004457	0			gene-Celaphus_00004457	protein_coding	CM008011.1	60492279	60510965	+	158929
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	8	Celaphus_00004458	0			gene-Celaphus_00004458	protein_coding	CM008011.1	60534347	60573846	-	200997
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	9	Celaphus_00004459	0			gene-Celaphus_00004459	protein_coding	CM008011.1	60629811	60638559	+	296461
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	10	Celaphus_00004460	0			gene-Celaphus_00004460	protein_coding	CM008011.1	60648596	60653493	-	315246
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	1	Celaphus_00006401	0			gene-Celaphus_00006401	protein_coding	CM008019.1	88498258	88507288	+	2007
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	2	Celaphus_00006400	0			gene-Celaphus_00006400	protein_coding	CM008019.1	88478271	88479249	-	30046
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	3	Celaphus_00006399	0			gene-Celaphus_00006399	protein_coding	CM008019.1	88322333	88322690	-	186605
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	4	Celaphus_00006398	0			gene-Celaphus_00006398	protein_coding	CM008019.1	88195968	88221748	+	287547
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	5	Celaphus_00006397	0			gene-Celaphus_00006397	protein_coding	CM008019.1	88072266	88075931	-	433364
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	6	Celaphus_00006396	0			gene-Celaphus_00006396	protein_coding	CM008019.1	88023894	88058951	+	450344
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	7	Celaphus_00006395	0			gene-Celaphus_00006395	protein_coding	CM008019.1	87928043	87929162	+	580133
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	8	Celaphus_00006394	0			gene-Celaphus_00006394	protein_coding	CM008019.1	87926190	87927631	-	581664
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	9	Celaphus_00006393	0			gene-Celaphus_00006393	protein_coding	CM008019.1	87916081	87924903	-	584392
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	up	10	Celaphus_00006392	0			gene-Celaphus_00006392	protein_coding	CM008019.1	87905260	87910152	+	599143
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	1	Celaphus_00006408	0			gene-Celaphus_00006408	protein_coding	CM008019.1	89107999	89111358	-	107171
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	2	Celaphus_00006409	0			gene-Celaphus_00006409	protein_coding	CM008019.1	89124092	89126236	-	123264
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	3	Celaphus_00006410	0			gene-Celaphus_00006410	protein_coding	CM008019.1	89926971	89934235	+	926143
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	4	Celaphus_00006411	0			gene-Celaphus_00006411	protein_coding	CM008019.1	90046172	90233286	+	1045344
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	5	Celaphus_00006412	0			gene-Celaphus_00006412	protein_coding	CM008019.1	90282315	90302864	-	1281487
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	6	Celaphus_00006413	0			gene-Celaphus_00006413	protein_coding	CM008019.1	90344820	90369834	-	1343992
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	7	Celaphus_00006414	0			gene-Celaphus_00006414	protein_coding	CM008019.1	90555266	90557241	-	1554438
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	8	Celaphus_00006415	0			gene-Celaphus_00006415	protein_coding	CM008019.1	90594309	90598954	-	1593481
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	9	Celaphus_00006416	0			gene-Celaphus_00006416	protein_coding	CM008019.1	90685407	90729768	-	1684579
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	fixed10	down	10	Celaphus_00006417	0			gene-Celaphus_00006417	protein_coding	CM008019.1	90787508	90807097	-	1786680
Limosa_lapponica_baueri|GCA_002844005.1|ITPR3.0	GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	fixed10	up	1	llap_16030	0			gene-llap_16030	protein_coding	KZ509852.1	652	3955	+	558
Limosa_lapponica_baueri|GCA_002844005.1|RYR.0	GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	fixed10	up	1	llap_1116	0			gene-llap_1116	protein_coding	KZ505650.1	1466088	1523665	+	33278
Limosa_lapponica_baueri|GCA_002844005.1|RYR.0	GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	fixed10	up	2	llap_1115	0			gene-llap_1115	protein_coding	KZ505650.1	1391276	1458214	+	98729
Limosa_lapponica_baueri|GCA_002844005.1|RYR.0	GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	fixed10	up	3	llap_1114	0			gene-llap_1114	protein_coding	KZ505650.1	1339057	1374745	-	182198
Limosa_lapponica_baueri|GCA_002844005.1|RYR.0	GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	fixed10	up	4	llap_1113	0			gene-llap_1113	protein_coding	KZ505650.1	1326010	1337008	+	219935
Limosa_lapponica_baueri|GCA_002844005.1|RYR.0	GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	fixed10	up	5	llap_1112	0			gene-llap_1112	protein_coding	KZ505650.1	1297082	1311813	+	245130
Limosa_lapponica_baueri|GCA_002844005.1|RYR.0	GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	fixed10	up	6	llap_1111	0			gene-llap_1111	protein_coding	KZ505650.1	1294768	1295178	+	261765
