accession	organism	taxid	group	kingdom	phylum	class	order	assembly_name	level	refseq_category	annotated	annotation_source	release_date	total_length_bp	scaffold_n50	contig_n50	spans_gene	contiguity_bar_bp	bar_source	fasta_gb	est_zip_gb	reasons	notes
GCF_000149305.1	Rhizopus delemar RA 99-880	246409	fungi	Fungi	Mucoromycota	Mucoromycetes	Mucorales	RO3	Scaffold	reference genome	Y	RefSeq	2009-05-27	46087117	3104119	303659	Y	9363	median span of 1 measured fungi gene(s)	0.046	0.014	phylum_rep	Mucoromycota
GCA_016946835.1	Neocallimastix lanati (nom. inval.)	2767002	fungi	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	ASM1694683v1	Contig	reference genome	Y	GenBank	2021-02-24	200969634	1031807	1031807	Y	9363	median span of 1 measured fungi gene(s)	0.201	0.060	phylum_rep	Neocallimastigomycota
GCA_017911155.1	Olpidium bornovanus	278681	fungi	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpbor1	Contig	reference genome	Y	GenBank	2021-04-08	28244625	2257	2257	N	9363	median span of 1 measured fungi gene(s)	0.028	0.008	phylum_rep	Olpidiomycota
GCA_002794465.1	Paramicrosporidium saccamoebae	1246581	fungi	Fungi	Rozellomycota			KSL3_v6	Scaffold	reference genome	Y	GenBank	2017-11-21	7166071	69936	35016	Y	9363	median span of 1 measured fungi gene(s)	0.007	0.002	phylum_rep	Rozellomycota
GCA_018985225.1	Amoeboradix gromovi	2109901	fungi	Fungi	Sanchytriomycota	Sanchytriomycetes	Sanchytriales	ASM1898522v1	Contig	reference genome	N	GenBank	2021-06-21	10522442	13323	13323	Y	9363	median span of 1 measured fungi gene(s)	0.011	0.003	phylum_rep	Sanchytriomycota
GCA_025603285.1	Piptocephalis tieghemiana	1286916	fungi	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptie1	Scaffold	reference genome	Y	GenBank	2022-10-05	18550337	131529	76473	Y	9363	median span of 1 measured fungi gene(s)	0.019	0.006	phylum_rep	Zoopagomycota
GCA_051530055.1	Neoechinorhynchus agilis	2593365	metazoa	Metazoa	Acanthocephala	Eoacanthocephala	Neoechinorhynchida	ASM5153005v1	Chromosome	reference genome	Y	GenBank	2025-07-24	46219100	16375937	7867291	Y	83321	median span of 10 measured metazoa gene(s)	0.046	0.014	phylum_rep	Acanthocephala
GCA_904063045.1	Dimorphilus gyrociliatus	2664684	metazoa	Metazoa	Annelida	Polychaeta		Dgyrociliatus_assembly	Scaffold	reference genome	Y	GenBank	2020-08-25	77897245	2241898	979161	Y	83321	median span of 10 measured metazoa gene(s)	0.078	0.023	copy_number	Dimorphilus gyrociliatus
GCA_056362285.1	Galeolaria caespitosa	104685	metazoa	Metazoa	Annelida	Polychaeta	Sabellida	ASM5636228v1	Chromosome	reference genome	Y	GenBank	2026-03-20	818080256	76458570	10471590	Y	83321	median span of 10 measured metazoa gene(s)	0.818	0.245	phylum_rep	Annelida
GCF_000326865.2	Helobdella robusta	6412	metazoa	Metazoa	Annelida	Clitellata	Rhynchobdellida	Helobdella robusta v1.0	Scaffold	reference genome	Y	RefSeq	2012-12-20	235049875	3060193	52308	N	83321	median span of 10 measured metazoa gene(s)	0.235	0.071	copy_number	Helobdella robusta (Californian leech)
GCF_053477335.1	Acartia tonsa	136180	metazoa	Metazoa	Arthropoda	Copepoda	Calanoida	ASM5347733v1	Chromosome	reference genome	Y	RefSeq	2025-11-14	779754176	53516955	7472788	Y	83321	median span of 10 measured metazoa gene(s)	0.780	0.234	class_rep	Copepoda
GCA_034694345.1	Allopauropus danicus	2905841	metazoa	Metazoa	Arthropoda	Pauropoda	Tetramerocerata	ASM3469434v1	Contig	reference genome	N	GenBank	2023-12-27	207607819	975	975	N	83321	median span of 10 measured metazoa gene(s)	0.208	0.062	class_rep	Pauropoda
GCF_032362555.1	Amyelois transitella	680683	metazoa	Metazoa	Arthropoda	Insecta	Lepidoptera	ilAmyTran1.1	Complete Genome	reference genome	Y	RefSeq	2023-10-04	327376598	11369407	11369407	Y	83321	median span of 10 measured metazoa gene(s)	0.327	0.098	phylum_rep;class_rep	Arthropoda | Insecta
GCF_032884065.1	Artemia franciscana	6661	metazoa	Metazoa	Arthropoda	Branchiopoda	Anostraca	ASM3288406v1	Chromosome	reference genome	Y	RefSeq	2023-10-23	1270721945	48312810	354516	Y	83321	median span of 10 measured metazoa gene(s)	1.271	0.381	class_rep	Branchiopoda
GCA_009757345.1	Campodea augens	438502	metazoa	Metazoa	Arthropoda	Diplura	Rhabdura	UGE_Caugens_1.0	Scaffold	reference genome	N	GenBank	2019-12-16	1127042003	235173	33447	N	83321	median span of 10 measured metazoa gene(s)	1.127	0.338	class_rep	Diplura
GCA_054772095.1	Chamberlinius hualienensis	1551368	metazoa	Metazoa	Arthropoda	Diplopoda	Polydesmida	Chua_assembly01	Scaffold	reference genome	Y	GenBank	2025-07-28	143521810	12989427	7481115	Y	83321	median span of 10 measured metazoa gene(s)	0.144	0.043	class_rep	Diplopoda
GCA_916720795.1	Danaus chrysippus	151541	metazoa	Metazoa	Arthropoda	Insecta	Lepidoptera	Dchry2.2	Contig	reference genome	Y	GenBank	2021-11-13	354020300	11449226	11449226	Y	83321	median span of 10 measured metazoa gene(s)	0.354	0.106	copy_number	Danaus chrysippus (African queen)
GCF_021134715.1	Daphnia pulex	6669	metazoa	Metazoa	Arthropoda	Branchiopoda	Diplostraca	ASM2113471v1	Chromosome	reference genome	Y	RefSeq	2021-12-09	133181052	12288052	8301990	Y	83321	median span of 10 measured metazoa gene(s)	0.133	0.040	copy_number	Daphnia pulex (Water flea)
GCA_905338385.1	Darwinula stevensoni	69355	metazoa	Metazoa	Arthropoda	Ostracoda	Podocopida	Dst_b1v02_max_arth_b2g_genome	Scaffold	reference genome	Y	GenBank	2021-05-19	382098207	56422	38545	N	83321	median span of 10 measured metazoa gene(s)	0.382	0.115	class_rep	Ostracoda
GCF_000001215.4	Drosophila melanogaster	7227	metazoa	Metazoa	Arthropoda	Insecta	Diptera	Release 6 plus ISO1 MT	Chromosome	reference genome	Y	RefSeq	2014-08-01	143706478	25286936	21485538	Y	83321	median span of 10 measured metazoa gene(s)	0.144	0.043	anchor	7227
