accession	organism	group	phylum	contig	start	end	strand	bait	identity	coverage	score	cds_footprint_bp
GCA_001970955.1	Stentor coeruleus	sar	Ciliophora	MPUH01001053.1	13959	21676	+	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	0.2214	0.9698	1097.0	7519
GCA_002104905.1	Basidiobolus meristosporus CBS 931.73	fungi	Basidiobolomycota	MCFE01000086.1	24011	32322	-	A0ABR2W6A1|K7432_003395|Basidiobolus_ranarum|Basidiobolomycota|ITPR	0.8051	1.0	10564.0	7548
GCA_002104905.1	Basidiobolus meristosporus CBS 931.73	fungi	Basidiobolomycota	MCFE01000591.1	14328	22639	-	A0ABR2W6A1|K7432_003395|Basidiobolus_ranarum|Basidiobolomycota|ITPR	0.8755	1.0	11380.0	7517
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01000023.1	191213	317060	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4596	0.9954	6285.0	8218
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01000024.1	370736	419134	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4572	0.9886	6165.0	8388
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01000260.1	180545	242297	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4577	0.9886	6212.0	8419
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01000522.1	191669	410279	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.4124	0.9988	5014.0	7720
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01000525.1	62581	246274	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4679	0.9954	6314.0	8254
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01000647.1	397747	433772	-	A0A267FK94|BOX15_Mlig001931g6|Macrostomum_lignano|Platyhelminthes|ITPR	0.9918	1.0	14792.0	8757
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01000975.1	83430	110058	+	A0A267FK94|BOX15_Mlig001931g6|Macrostomum_lignano|Platyhelminthes|ITPR	0.9986	1.0	14894.0	8757
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01002246.1	58508	92878	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.415	0.985	4986.0	7596
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01002299.1	50053	107851	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4641	0.9964	6252.0	8219
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01002364.1	7202	101656	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4608	0.9804	6273.0	8176
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01002565.1	98642	125934	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4775	0.9523	6283.0	7923
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01002909.1	383	27785	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.479	0.9834	6088.0	7705
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01002910.1	10842	35559	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.48	0.9834	6093.0	7710
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01003111.1	13796	34297	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.4695	0.9985	5994.0	7724
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01003111.1	36093	54516	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.4682	0.9985	6000.0	7826
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01003243.1	15195	98991	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4433	0.8426	5081.0	7024
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01003713.1	13538	44829	-	A0A267FK94|BOX15_Mlig001931g6|Macrostomum_lignano|Platyhelminthes|ITPR	0.9921	1.0	14792.0	8769
GCA_002269645.1	Macrostomum lignano	metazoa	Platyhelminthes	NIVC01004227.1	702	21739	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.47	0.7639	4928.0	6354
GCA_002796945.1	Plectus sambesii	metazoa	Nematoda	NIUQ01001906.1	230	21635	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.3217	0.9052	3080.0	6968
GCA_010279815.1	Brachionus plicatilis	metazoa	Rotifera	QEOQ01000486.1	777348	811773	+	A0A813MP72|OXX778_LOCUS2086|Brachionus_calyciflorus|Rotifera|ITPR	0.8187	0.9993	12687.0	8979
GCA_010279815.1	Brachionus plicatilis	metazoa	Rotifera	QEOQ01000527.1	2556	20399	-	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	0.4525	0.9842	5802.0	7995
GCA_011109175.1	Dicyema japonicum	metazoa	Dicyemida	RDEW01000002.1	1388188	1397010	+	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.3953	0.9823	4516.0	7770
GCA_014839935.2	Entomophthora muscae	fungi	Entomophthoromycota	QTSX02002259.1	38747	46638	+	A0ACC2TPX2|DSO57_1024190|Entomophthora_muscae|Entomophthoromycota|ITPR	1.0	1.0	13125.0	7704
GCA_019649035.1	Elysia marginata	metazoa	Mollusca	BMAT01000795.1	53944	167995	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.4566	0.9927	5309.0	7427
GCA_019649035.1	Elysia marginata	metazoa	Mollusca	BMAT01007185.1	218661	323700	+	A0AAN9BAK1|V1264_020598|Littorina_saxatilis|Mollusca|ITPR	0.6612	0.9592	8732.0	7897
GCA_019649035.1	Elysia marginata	metazoa	Mollusca	BMAT01010738.1	133749	466898	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4762	0.9822	6342.0	8169
GCA_019649035.1	Elysia marginata	metazoa	Mollusca	BMAT01013420.1	261134	343095	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4487	0.9954	5796.0	8129
GCA_019973955.1	Trichonephila inaurata madagascariensis	metazoa	Arthropoda	BMAV01012344.1	158969	224285	+	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.9142	1.0	12915.0	8202
GCA_020696425.1	Vermamoeba vermiformis	amoebozoa	Tubulinea	JAGUQM010000011.1	11893	76608	+	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	0.3127	0.8155	3147.0	8207
GCA_020696425.1	Vermamoeba vermiformis	amoebozoa	Tubulinea	JAGUQM010000047.1	45115	82070	-	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	0.2246	0.8735	1190.0	6878
GCA_020696425.1	Vermamoeba vermiformis	amoebozoa	Tubulinea	JAGUQM010000094.1	85472	94980	+	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	0.3636	0.7404	3667.0	7591
GCA_021613535.1	Adineta vaga	metazoa	Rotifera	CP075494.1	12906306	12919288	-	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.4941	0.995	6331.0	8205
GCA_021613535.1	Adineta vaga	metazoa	Rotifera	CP075495.1	4490299	4505041	+	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	0.503	0.991	6505.0	8203
GCA_025603285.1	Piptocephalis tieghemiana	fungi	Zoopagomycota	MU626114.1	66697	77006	+	A0ABR2W6A1|K7432_003395|Basidiobolus_ranarum|Basidiobolomycota|ITPR	0.313	0.9908	3126.0	8292
GCA_028023455.1	Epiperipatus broadwayi	metazoa	Onychophora	JAQFVV010000038.1	8600445	9493916	+	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.7295	0.9683	9945.0	7987
GCA_034508575.1	Petrolisthes manimaculis	metazoa	Arthropoda	JAWZYT010000578.1	188661	321578	-	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.6259	1.0	8571.0	8232
GCA_036172245.1	Raillietiella orientalis	metazoa	Arthropoda	JAYWIR010000015.1	449716	467748	-	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.5908	0.9939	8149.0	8114
GCA_040529105.1	Prymnesium parvum	other	Haptophyta	CP154534.1	10664512	10674185	-	A0ABN8N199|PLOB_00042910|Porites_lobata|Cnidaria|ITPR	0.2264	0.9897	1329.0	7446
GCA_040529105.1	Prymnesium parvum	other	Haptophyta	CP154547.1	463644	829808	-	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	0.2386	0.9495	1762.0	9501
GCA_040529105.1	Prymnesium parvum	other	Haptophyta	CP154548.1	2106977	2119666	-	A0AB34IS99|AB1Y20_010572|Prymnesium_parvum|Haptophyta|ITPR	0.9786	1.0	13873.0	8289
GCA_047495785.1	Lepidodermella squamata	metazoa	Gastrotricha	JBLDXI010000002.1	1478289	1490233	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4401	0.9836	5811.0	8247
GCA_051530055.1	Neoechinorhynchus agilis	metazoa	Acanthocephala	CM121342.1	6343218	6356290	-	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	0.4372	0.9896	5319.0	7919
GCA_054772095.1	Chamberlinius hualienensis	metazoa	Arthropoda	BAAGAE010000030.1	9259813	9279160	+	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.6465	0.9942	8951.0	8271
GCA_055505105.1	Phoronis australis	metazoa	Phoronida	CM145307.1	18943062	19100975	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.5692	0.9808	8037.0	8304
GCA_055505105.1	Phoronis australis	metazoa	Phoronida	CM145310.1	40433912	40493579	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.5164	0.9988	6665.0	7737
GCA_055505105.1	Phoronis australis	metazoa	Phoronida	CM145314.1	388954	537151	+	R7TPX0|unnamed|Capitella_teleta|Annelida|ITPR	0.712	0.9982	9846.0	8238
GCA_056362285.1	Galeolaria caespitosa	metazoa	Annelida	CM150552.1	13680716	13768352	-	R7TPX0|unnamed|Capitella_teleta|Annelida|ITPR	0.7628	1.0	10685.0	8172
GCA_056362285.1	Galeolaria caespitosa	metazoa	Annelida	CM150554.1	51824888	51885535	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.5058	1.0	7137.0	8205
GCA_056362285.1	Galeolaria caespitosa	metazoa	Annelida	CM150557.1	33345309	33480724	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.5087	0.985	6483.0	7575
GCA_056869335.1	Trichinella zimbabwensis	metazoa	Nematoda	CM166519.1	696585	710093	+	A0A0V1CUW8|itr-1|Trichinella_britovi|Nematoda|ITPR	0.969	1.0	13609.0	8130
GCA_904063045.1	Dimorphilus gyrociliatus	metazoa	Annelida	CAJFCJ010000001.1	599301	609198	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.4757	0.9927	6144.0	7608
GCA_904063045.1	Dimorphilus gyrociliatus	metazoa	Annelida	CAJFCJ010000003.1	2842975	2851892	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.4543	0.9923	5747.0	7660
GCA_904063045.1	Dimorphilus gyrociliatus	metazoa	Annelida	CAJFCJ010000006.1	3649905	3658034	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4559	0.9505	5880.0	7926
GCA_904063045.1	Dimorphilus gyrociliatus	metazoa	Annelida	CAJFCJ010000007.1	3583648	3595592	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.3783	0.9523	4523.0	7739
GCA_904063045.1	Dimorphilus gyrociliatus	metazoa	Annelida	CAJFCJ010000020.1	1267714	1282517	+	R7TPX0|unnamed|Capitella_teleta|Annelida|ITPR	0.6344	0.9989	8532.0	8001
GCA_905338385.1	Darwinula stevensoni	metazoa	Arthropoda	CAJPEV010000046.1	158450	202409	-	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.675	0.9964	9466.0	8287
GCA_916720795.1	Danaus chrysippus	metazoa	Arthropoda	CAKASE010000064.1	2563864	2613035	-	P29993|Itpr|Drosophila_melanogaster|Arthropoda|ITPR	0.6218	1.0	8455.0	8076
GCA_944472135.2	Trichobilharzia regenti	metazoa	Platyhelminthes	OX235265.1	90298261	90598387	+	A0AAN9BAK1|V1264_020598|Littorina_saxatilis|Mollusca|ITPR	0.3093	0.9548	2960.0	7834
GCA_946863485.1	Moneuplotes crassus	sar	Ciliophora	CAMPGE010007517.1	89	8416	+	A0A078ASZ8|Contig10368.g11065|Stylonychia_lemnae|Ciliophora|ITPR	0.2923	0.9942	2623.0	7951
GCA_946863485.1	Moneuplotes crassus	sar	Ciliophora	CAMPGE010008963.1	85	8237	+	A0A078ASZ8|Contig10368.g11065|Stylonychia_lemnae|Ciliophora|ITPR	0.2962	1.0	2806.0	8049
GCA_964035545.1	Bugula neritina	metazoa	Bryozoa	OZ037765.1	1670281	1712081	+	R7TPX0|unnamed|Capitella_teleta|Annelida|ITPR	0.6599	0.9982	8895.0	7996
GCA_964035545.1	Bugula neritina	metazoa	Bryozoa	OZ037771.1	2368133	2443985	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.476	0.9935	6045.0	7608
GCA_964442445.1	Pycnogonum litorale	metazoa	Arthropoda	OZ207733.1	2111341	2167805	-	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.7237	0.995	10390.0	8257
GCA_965153355.1	Flaccisagitta enflata	metazoa	Chaetognatha	OZ231133.1	35611561	36240142	+	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.5649	0.9834	7534.0	8228
GCA_976986565.1	Gordionus wolterstorffii	metazoa	Nematomorpha	OZ335996.1	11909076	12015779	-	R7TPX0|unnamed|Capitella_teleta|Annelida|ITPR	0.5223	0.9893	6923.0	7989
GCA_982266715.1	Scolopendra cingulata	metazoa	Arthropoda	CEVFMC020000047.1	10484196	10553351	+	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.7283	0.9953	10360.0	8286
GCF_000001215.4	Drosophila melanogaster	metazoa	Arthropoda	NT_033777.3	5527819	5538651	+	P29993|Itpr|Drosophila_melanogaster|Arthropoda|ITPR	1.0	1.0	14592.0	8514
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	NW_022145612.1	50950215	51051598	+	A0A7M7MY00|unnamed|Strongylocentrotus_purpuratus|Echinodermata|ITPR	1.0	1.0	14600.0	8463
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	NC_057019.1	3086978	3104767	+	A0A2K3CTW4|CHLRE_16g665450v5|Chlamydomonas_reinhardtii|Chlorophyta|ITPR	0.9997	1.0	16579.0	9633
GCF_000002725.2	Leishmania major strain Friedlin	discoba	Euglenozoa	NC_007257.2	94764	102842	-	A0A433QY11|BC938DRAFT_479224|Jimgerdemannia_flammicorona|Mucoromycota|ITPR	0.2063	0.9227	336.0	6975
GCF_000002985.6	Caenorhabditis elegans	metazoa	Nematoda	NC_003282.8	7675174	7696703	+	Q9Y0A1|itr-1|Caenorhabditis_elegans|Nematoda|ITPR	1.0	1.0	15026.0	8679
GCF_000004695.1	Dictyostelium discoideum AX4	amoebozoa	Evosea	NC_007092.3	1805115	1814945	-	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	1.0	1.0	16440.0	9534
GCF_000090795.2	Amphimedon queenslandica	metazoa	Porifera	NW_003546249.1	797106	811062	+	A0AAN0JIF7|unnamed|Amphimedon_queenslandica|Porifera|ITPR	0.9924	1.0	14196.0	8340
GCF_000090795.2	Amphimedon queenslandica	metazoa	Porifera	NW_003546253.1	657702	671372	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.3087	0.9572	2714.0	7234
GCF_000090795.2	Amphimedon queenslandica	metazoa	Porifera	NW_003546281.1	352103	365569	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.2976	0.9576	2468.0	7259
GCF_000090795.2	Amphimedon queenslandica	metazoa	Porifera	NW_003546283.1	213605	231094	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.3014	0.985	2695.0	7549
GCF_000090795.2	Amphimedon queenslandica	metazoa	Porifera	NW_003546290.1	157062	173398	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.2608	0.9184	1687.0	6775
GCF_000090795.2	Amphimedon queenslandica	metazoa	Porifera	NW_003546353.1	32836	47751	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.3064	0.9499	2589.0	7305
GCF_000150275.1	Trichoplax adhaerens	metazoa	Placozoa	NW_002060946.1	1089890	1115622	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.4574	0.9985	5692.0	7546
GCF_000150275.1	Trichoplax adhaerens	metazoa	Placozoa	NW_002060947.1	2342837	2359949	-	B3RXX7|TRIADDRAFT_56365|Trichoplax_adhaerens|Placozoa|ITPR	1.0	1.0	13042.0	7575
GCF_000186865.1	Aureococcus anophagefferens	other		NW_008705561.1	2407702	2648285	-	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	0.2291	0.9399	1424.0	9487
GCF_000186865.1	Aureococcus anophagefferens	other		NW_008705561.1	2639456	2874179	-	A0AB34IS99|AB1Y20_010572|Prymnesium_parvum|Haptophyta|ITPR	0.2138	1.0	659.0	7883
GCF_000186865.1	Aureococcus anophagefferens	other		NW_008705608.1	139898	148273	+	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	0.2146	0.9479	859.0	7479
GCF_000188695.1	Salpingoeca rosetta	other		NW_004754914.1	753030	769404	-	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	0.395	0.9889	4566.0	7731
GCF_000188695.1	Salpingoeca rosetta	other		NW_004754918.1	8653	29163	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.3297	0.9777	3226.0	7306
GCF_000188695.1	Salpingoeca rosetta	other		NW_004754929.1	1783637	1797956	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.3045	0.8846	2732.0	7327
GCF_000313135.1	Acanthamoeba castellanii str. Neff	amoebozoa	Discosea	NW_004457268.1	83486	98632	-	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	1.0	1.0	17048.0	10035
GCF_000315625.1	Guillardia theta CCMP2712	other		NW_005434593.1	4944	149303	-	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	0.229	0.9979	1736.0	9927
GCF_000315625.1	Guillardia theta CCMP2712	other		NW_005434642.1	356460	661843	+	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	0.2391	0.9291	1784.0	9701
GCF_000315625.1	Guillardia theta CCMP2712	other		NW_005434667.1	827840	1130938	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.1965	0.9947	535.0	7936
GCF_000315625.1	Guillardia theta CCMP2712	other		NW_005434669.1	120528	445107	+	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	0.2221	0.9943	1447.0	9802
GCF_000326865.2	Helobdella robusta	metazoa	Annelida	NW_008704865.1	423738	453488	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.5248	0.9516	7021.0	7917
GCF_000326865.2	Helobdella robusta	metazoa	Annelida	NW_008704902.1	7243410	7316495	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.5205	0.9541	6997.0	7932
GCF_000326865.2	Helobdella robusta	metazoa	Annelida	NW_008705420.1	521450	558233	-	R7TPX0|unnamed|Capitella_teleta|Annelida|ITPR	0.5938	0.9945	7992.0	8114
GCF_000372725.1	Emiliania huxleyi CCMP1516	other	Haptophyta	NW_005198965.1	674159	682776	-	A0AB34IS99|AB1Y20_010572|Prymnesium_parvum|Haptophyta|ITPR	0.3184	0.9553	3063.0	8032
GCF_000520075.1	Aphanomyces astaci	sar	Oomycota	NW_009798271.1	452931	528532	+	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	0.2322	0.9955	1472.0	10102
GCF_000520075.1	Aphanomyces astaci	sar	Oomycota	NW_009798313.1	70941	82958	-	A0A1V9ZAA8|THRCLA_08090|Thraustotheca_clavata|Oomycota|ITPR	0.4253	0.9925	5728.0	9425
GCF_000520075.1	Aphanomyces astaci	sar	Oomycota	NW_009798354.1	112615	121523	+	A0A1V9ZAA8|THRCLA_08090|Thraustotheca_clavata|Oomycota|ITPR	0.3723	0.9365	4027.0	7866
GCF_000699445.3	Schistosoma haematobium	metazoa	Platyhelminthes	NC_067199.1	4345033	4484280	+	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	0.3078	0.9479	2845.0	7681
GCF_002217175.1	Folsomia candida	metazoa	Arthropoda	NW_019091193.1	28026319	28038986	-	P29993|Itpr|Drosophila_melanogaster|Arthropoda|ITPR	0.3863	0.9736	4502.0	7873
GCF_004210375.1	Tachypleus tridentatus	metazoa	Arthropoda	NC_134829.1	47937145	48102607	-	A0ABM1SEU6|LOC106459878|Limulus_polyphemus|Arthropoda|ITPR	0.8768	1.0	12246.0	8247
GCF_004210375.1	Tachypleus tridentatus	metazoa	Arthropoda	NC_134830.1	111645849	111763943	-	A0ABM1SEU6|LOC106459878|Limulus_polyphemus|Arthropoda|ITPR	0.8074	0.9932	11526.0	8217
GCF_006345805.1	Octopus sinensis	metazoa	Mollusca	NC_042998.1	186045654	186368698	+	A0AAN8PFL6|SNE40_013589|Patella_caerulea|Mollusca|ITPR	0.7101	1.0	9753.0	8016
GCF_006345805.1	Octopus sinensis	metazoa	Mollusca	NW_021831284.1	39796	46842	+	A0A078ASZ8|Contig10368.g11065|Stylonychia_lemnae|Ciliophora|ITPR	0.2449	0.762	825.0	6234
GCF_008403515.1	Naegleria fowleri	discoba	Heterolobosea	NW_025407944.1	829058	838707	-	A0AA88KEU5|C9374_011999|Naegleria_lovaniensis|Heterolobosea|ITPR	0.9215	1.0	14476.0	9153
GCF_008403515.1	Naegleria fowleri	discoba	Heterolobosea	NW_025407959.1	611165	688460	-	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	0.2455	0.779	1777.0	8031
