set	a	b	dN	dS	omega	saturated
ITPR1	T1_Chanos_chano	T1_Latime_chalu	0.0804	9.1685	0.00876916	1
ITPR1	T1_Chanos_chano	T1_Gallus_gallu	0.0536	7.2273	0.00741632	1
ITPR1	T1_Chanos_chano	T1_Chanos_chano2	0.0688	9.5283	0.0072206	1
ITPR1	T1_Chanos_chano	T1_Danio_rerio3	0.0712	2.9358	0.0242523	1
ITPR1	T1_basal_Callo	T1_Danio_rerio	0.0966	11.5264	0.00838076	1
ITPR1	T1_basal_Callo	T1_basal_Chilo	0.0237	1.8201	0.0130213	1
ITPR1	T1_basal_Callo	T1_Danio_rerio2	0.0754	74	0.00101892	1
ITPR1	T1_basal_Callo	T1_Bos_tauru	0.0586	3.4367	0.0170512	1
ITPR1	T1_basal_Callo	T1_Somnio_micro	0.0422	1.5613	0.0270288	1
ITPR1	T1_basal_Callo	T1_Xenopu_tropi	0.0702	9.9246	0.00707333	1
ITPR1	T1_basal_Callo	T1_Latime_chalu	0.0813	4.8589	0.0167322	1
ITPR1	T1_basal_Callo	T1_Gallus_gallu	0.0562	4.0042	0.0140353	1
ITPR1	T1_basal_Callo	T1_Chanos_chano2	0.0891	77.1322	0.00115516	1
ITPR1	T1_basal_Callo	T1_Danio_rerio3	0.0966	11.5212	0.00838454	1
ITPR1	T1_basal_Callo	T1_Chanos_chano	0.0675	10.1976	0.0066192	1
ITPR1	T1_Mus_muscu	T1_Danio_rerio	0.0871	12.3297	0.00706424	1
ITPR1	T1_Mus_muscu	T1_basal_Chilo	0.0493	3.0871	0.0159697	1
ITPR1	T1_Mus_muscu	T1_Danio_rerio2	0.0607	3.4726	0.0174797	1
ITPR1	T1_Mus_muscu	T1_Bos_tauru	0.0078	0.8465	0.00921441	0
ITPR1	T1_Mus_muscu	T1_Somnio_micro	0.0671	3.4154	0.0196463	1
ITPR1	T1_Mus_muscu	T1_Xenopu_tropi	0.0444	13.2344	0.00335489	1
ITPR1	T1_Mus_muscu	T1_Latime_chalu	0.0654	2.8896	0.0226329	1
ITPR1	T1_Mus_muscu	T1_Gallus_gallu	0.0148	1.7718	0.00835309	1
ITPR1	T1_Mus_muscu	T1_Chanos_chano2	0.0821	70.6833	0.00116152	1
ITPR1	T1_Mus_muscu	T1_Danio_rerio3	0.0871	12.3192	0.00707026	1
ITPR1	T1_Mus_muscu	T1_Chanos_chano	0.0525	7.8873	0.00665627	1
ITPR1	T1_Mus_muscu	T1_basal_Callo	0.0569	4.0132	0.0141782	1
ITPR1	T1_Podarc_mural	T1_Danio_rerio	0.0859	14.4585	0.00594114	1
ITPR1	T1_Podarc_mural	T1_basal_Chilo	0.0513	2.887	0.0177693	1
ITPR1	T1_Podarc_mural	T1_Danio_rerio2	0.0643	14.8039	0.00434345	1
ITPR1	T1_Podarc_mural	T1_Bos_tauru	0.0226	2.2019	0.0102639	1
ITPR1	T1_Podarc_mural	T1_Somnio_micro	0.0694	3.004	0.0231025	1
ITPR1	T1_Podarc_mural	T1_Xenopu_tropi	0.0466	14.9081	0.00312582	1
ITPR1	T1_Podarc_mural	T1_Latime_chalu	0.0674	2.1838	0.0308636	1
ITPR1	T1_Podarc_mural	T1_Gallus_gallu	0.0141	1.1264	0.0125178	0
ITPR1	T1_Podarc_mural	T1_Chanos_chano2	0.0838	65.1306	0.00128665	1
ITPR1	T1_Podarc_mural	T1_Danio_rerio3	0.0859	14.4456	0.00594645	1
ITPR1	T1_Podarc_mural	T1_Chanos_chano	0.0573	9.5172	0.00602068	1
ITPR1	T1_Podarc_mural	T1_basal_Callo	0.0616	4.6891	0.0131368	1
ITPR1	T1_Podarc_mural	T1_Mus_muscu	0.0207	1.8844	0.0109849	1
ITPR1	T1_Salari_fasci	T1_Danio_rerio	0.0609	3.2819	0.0185563	1
ITPR1	T1_Salari_fasci	T1_basal_Chilo	0.0659	49.519	0.0013308	1
ITPR1	T1_Salari_fasci	T1_Danio_rerio2	0.051	3.6005	0.0141647	1
ITPR1	T1_Salari_fasci	T1_Bos_tauru	0.0604	4.421	0.0136621	1
ITPR1	T1_Salari_fasci	T1_Somnio_micro	0.0809	10.5614	0.00765997	1
ITPR1	T1_Salari_fasci	T1_Xenopu_tropi	0.0654	10.0117	0.00653236	1
ITPR1	T1_Salari_fasci	T1_Latime_chalu	0.0807	49.4921	0.00163056	1
ITPR1	T1_Salari_fasci	T1_Gallus_gallu	0.06	7.7927	0.00769951	1
ITPR1	T1_Salari_fasci	T1_Chanos_chano2	0.0584	6.7838	0.00860874	1
ITPR1	T1_Salari_fasci	T1_Danio_rerio3	0.0609	3.2818	0.0185569	1
ITPR1	T1_Salari_fasci	T1_Chanos_chano	0.0431	3.1542	0.0136643	1
ITPR1	T1_Salari_fasci	T1_basal_Callo	0.0697	55.2832	0.00126078	1
ITPR1	T1_Salari_fasci	T1_Mus_muscu	0.0584	4.136	0.0141199	1
ITPR1	T1_Salari_fasci	T1_Podarc_mural	0.0625	7.3732	0.00847665	1
ITPR1	T1_Homo_sapie	T1_Danio_rerio	0.0871	9.8217	0.00886812	1
ITPR1	T1_Homo_sapie	T1_basal_Chilo	0.0488	2.7543	0.0177178	1
ITPR1	T1_Homo_sapie	T1_Danio_rerio2	0.0613	12.1579	0.00504199	1
ITPR1	T1_Homo_sapie	T1_Bos_tauru	0.0076	0.5386	0.0141107	0
ITPR1	T1_Homo_sapie	T1_Somnio_micro	0.0666	3.092	0.0215395	1
ITPR1	T1_Homo_sapie	T1_Xenopu_tropi	0.044	6.6141	0.00665245	1
ITPR1	T1_Homo_sapie	T1_Latime_chalu	0.0649	2.6218	0.024754	1
ITPR1	T1_Homo_sapie	T1_Gallus_gallu	0.0134	1.5538	0.00862402	1
ITPR1	T1_Homo_sapie	T1_Chanos_chano2	0.0827	69.6494	0.00118738	1
ITPR1	T1_Homo_sapie	T1_Danio_rerio3	0.0871	9.8226	0.00886731	1
ITPR1	T1_Homo_sapie	T1_Chanos_chano	0.0523	5.8484	0.00894262	1
ITPR1	T1_Homo_sapie	T1_basal_Callo	0.0569	4.1188	0.0138147	1
ITPR1	T1_Homo_sapie	T1_Mus_muscu	0.0027	0.6153	0.0043881	0
ITPR1	T1_Homo_sapie	T1_Podarc_mural	0.0197	1.7981	0.010956	1
ITPR1	T1_Homo_sapie	T1_Salari_fasci	0.0588	5.7774	0.0101776	1
ITPR1	T1_basal_Latim	T1_Danio_rerio	0.1037	58.3701	0.00177659	1
ITPR1	T1_basal_Latim	T1_basal_Chilo	0.0727	2.9352	0.0247683	1
ITPR1	T1_basal_Latim	T1_Danio_rerio2	0.089	69.3372	0.00128358	1
ITPR1	T1_basal_Latim	T1_Bos_tauru	0.0701	3.6496	0.0192076	1
ITPR1	T1_basal_Latim	T1_Somnio_micro	0.091	2.3918	0.0380467	1
ITPR1	T1_basal_Latim	T1_Xenopu_tropi	0.0782	6.1157	0.0127868	1
ITPR1	T1_basal_Latim	T1_Latime_chalu	0.0039	0.0061	0.639344	0
ITPR1	T1_basal_Latim	T1_Gallus_gallu	0.0651	2.3949	0.0271828	1
ITPR1	T1_basal_Latim	T1_Chanos_chano2	0.1021	67.6924	0.00150829	1
ITPR1	T1_basal_Latim	T1_Danio_rerio3	0.1037	56.9199	0.00182186	1
ITPR1	T1_basal_Latim	T1_Chanos_chano	0.0824	10.0347	0.00821151	1
ITPR1	T1_basal_Latim	T1_basal_Callo	0.0834	5.0753	0.0164325	1
ITPR1	T1_basal_Latim	T1_Mus_muscu	0.0676	2.8664	0.0235836	1
ITPR1	T1_basal_Latim	T1_Podarc_mural	0.0696	2.2243	0.0312907	1
ITPR1	T1_basal_Latim	T1_Salari_fasci	0.0827	64.3026	0.00128611	1
ITPR1	T1_basal_Latim	T1_Homo_sapie	0.067	2.6741	0.0250552	1
ITPR1	T1_basal_Callo2	T1_Danio_rerio	0.0976	13.3049	0.00733564	1
ITPR1	T1_basal_Callo2	T1_basal_Chilo	0.0245	1.8373	0.0133348	1
ITPR1	T1_basal_Callo2	T1_Danio_rerio2	0.0762	74.8503	0.00101803	1
ITPR1	T1_basal_Callo2	T1_Bos_tauru	0.0597	3.6068	0.0165521	1
ITPR1	T1_basal_Callo2	T1_Somnio_micro	0.0431	1.5561	0.0276974	1
ITPR1	T1_basal_Callo2	T1_Xenopu_tropi	0.0709	11.0989	0.00638802	1
ITPR1	T1_basal_Callo2	T1_Latime_chalu	0.0824	5.2222	0.0157788	1
ITPR1	T1_basal_Callo2	T1_Gallus_gallu	0.0574	4.103	0.0139898	1
ITPR1	T1_basal_Callo2	T1_Chanos_chano2	0.0901	77.0461	0.00116943	1
ITPR1	T1_basal_Callo2	T1_Danio_rerio3	0.0976	13.2958	0.00734066	1
ITPR1	T1_basal_Callo2	T1_Chanos_chano	0.0686	10.802	0.00635068	1
ITPR1	T1_basal_Callo2	T1_basal_Callo	0.0037	0.0106	0.349057	0
ITPR1	T1_basal_Callo2	T1_Mus_muscu	0.058	4.189	0.0138458	1
ITPR1	T1_basal_Callo2	T1_Podarc_mural	0.0628	4.6383	0.0135394	1
ITPR1	T1_basal_Callo2	T1_Salari_fasci	0.0706	57.6416	0.00122481	1
ITPR1	T1_basal_Callo2	T1_Homo_sapie	0.058	4.1857	0.0138567	1
ITPR1	T1_basal_Callo2	T1_basal_Latim	0.0845	5.4978	0.0153698	1
ITPR1	T1_Aptery_mante	T1_Danio_rerio	0.0854	14.0984	0.00605742	1
ITPR1	T1_Aptery_mante	T1_basal_Chilo	0.0491	2.9954	0.0163918	1
ITPR1	T1_Aptery_mante	T1_Danio_rerio2	0.0619	10.8888	0.00568474	1
ITPR1	T1_Aptery_mante	T1_Bos_tauru	0.0176	1.8389	0.00957094	1
ITPR1	T1_Aptery_mante	T1_Somnio_micro	0.0653	2.9658	0.0220177	1
ITPR1	T1_Aptery_mante	T1_Xenopu_tropi	0.0436	11.4886	0.00379507	1
ITPR1	T1_Aptery_mante	T1_Latime_chalu	0.0631	2.2148	0.0284902	1
ITPR1	T1_Aptery_mante	T1_Gallus_gallu	0.0016	0.3198	0.00500313	0
ITPR1	T1_Aptery_mante	T1_Chanos_chano2	0.0823	66.0917	0.00124524	1
ITPR1	T1_Aptery_mante	T1_Danio_rerio3	0.0854	14.1032	0.00605536	1
ITPR1	T1_Aptery_mante	T1_Chanos_chano	0.0542	6.0872	0.00890393	1
ITPR1	T1_Aptery_mante	T1_basal_Callo	0.0575	4.5432	0.0126563	1
ITPR1	T1_Aptery_mante	T1_Mus_muscu	0.0154	1.7571	0.00876444	1
ITPR1	T1_Aptery_mante	T1_Podarc_mural	0.0143	1.0083	0.0141823	0
ITPR1	T1_Aptery_mante	T1_Salari_fasci	0.0613	5.8815	0.0104225	1
ITPR1	T1_Aptery_mante	T1_Homo_sapie	0.0143	1.5861	0.00901582	1
ITPR1	T1_Aptery_mante	T1_basal_Latim	0.0653	2.2501	0.0290209	1
ITPR1	T1_Aptery_mante	T1_basal_Callo2	0.0587	4.7676	0.0123123	1
ITPR2	T2_basal_Chilo	T2_Astato_calli	0.1635	70.6879	0.00231298	1
ITPR2	T2_Gallus_gallu	T2_Astato_calli	0.1423	11.2092	0.0126949	1
ITPR2	T2_Gallus_gallu	T2_basal_Chilo	0.1053	3.7678	0.0279473	1
ITPR2	T2_Mus_muscu	T2_Astato_calli	0.1396	14.5377	0.00960262	1
ITPR2	T2_Mus_muscu	T2_basal_Chilo	0.1052	3.3808	0.0311169	1
ITPR2	T2_Mus_muscu	T2_Gallus_gallu	0.0345	1.6924	0.0203853	1
ITPR2	T2_basal_Callo	T2_Astato_calli	0.1509	19.3529	0.00779728	1
ITPR2	T2_basal_Callo	T2_basal_Chilo	0.0761	1.6714	0.0455307	1
ITPR2	T2_basal_Callo	T2_Gallus_gallu	0.0915	2.3561	0.0388354	1
ITPR2	T2_basal_Callo	T2_Mus_muscu	0.0943	2.8945	0.032579	1
ITPR2	T2_Echino_cooke	T2_Astato_calli	0.1527	54.0128	0.00282711	1
ITPR2	T2_Echino_cooke	T2_basal_Chilo	0.0434	0.7018	0.061841	0
ITPR2	T2_Echino_cooke	T2_Gallus_gallu	0.0952	2.4006	0.0396568	1
ITPR2	T2_Echino_cooke	T2_Mus_muscu	0.097	2.9788	0.0325634	1
ITPR2	T2_Echino_cooke	T2_basal_Callo	0.0652	1.0168	0.0641227	0
ITPR2	T2_Gekko_japon	T2_Astato_calli	0.1422	13.2465	0.0107349	1
ITPR2	T2_Gekko_japon	T2_basal_Chilo	0.1067	5.3074	0.020104	1
ITPR2	T2_Gekko_japon	T2_Gallus_gallu	0.0367	1.1301	0.032475	0
ITPR2	T2_Gekko_japon	T2_Mus_muscu	0.0416	2.0765	0.0200337	1
ITPR2	T2_Gekko_japon	T2_basal_Callo	0.097	2.5799	0.0375984	1
ITPR2	T2_Gekko_japon	T2_Echino_cooke	0.0956	3.3702	0.0283663	1
ITPR2	T2_Xenopu_tropi	T2_Astato_calli	0.1372	9.4565	0.0145085	1
ITPR2	T2_Xenopu_tropi	T2_basal_Chilo	0.1072	70.7152	0.00151594	1
ITPR2	T2_Xenopu_tropi	T2_Gallus_gallu	0.0524	6.3551	0.00824535	1
ITPR2	T2_Xenopu_tropi	T2_Mus_muscu	0.0517	5.0832	0.0101708	1
ITPR2	T2_Xenopu_tropi	T2_basal_Callo	0.0976	8.4222	0.0115884	1
ITPR2	T2_Xenopu_tropi	T2_Echino_cooke	0.098	14.9347	0.0065619	1
ITPR2	T2_Xenopu_tropi	T2_Gekko_japon	0.0554	4.4229	0.0125257	1
ITPR2	T2_Strigo_habro	T2_Astato_calli	0.1424	13.2553	0.0107429	1
ITPR2	T2_Strigo_habro	T2_basal_Chilo	0.1064	3.9909	0.0266607	1
ITPR2	T2_Strigo_habro	T2_Gallus_gallu	0.0082	0.2134	0.0384255	0
ITPR2	T2_Strigo_habro	T2_Mus_muscu	0.0327	1.7354	0.0188429	1
ITPR2	T2_Strigo_habro	T2_basal_Callo	0.0916	2.4448	0.0374673	1
ITPR2	T2_Strigo_habro	T2_Echino_cooke	0.0969	2.5236	0.0383975	1
ITPR2	T2_Strigo_habro	T2_Gekko_japon	0.0358	1.1562	0.0309635	0
ITPR2	T2_Strigo_habro	T2_Xenopu_tropi	0.0528	5.0796	0.0103945	1
ITPR2	T2_Homo_sapie	T2_Astato_calli	0.1407	15.1505	0.00928682	1
ITPR2	T2_Homo_sapie	T2_basal_Chilo	0.105	3.1855	0.0329619	1
ITPR2	T2_Homo_sapie	T2_Gallus_gallu	0.0291	1.055	0.0275829	0
ITPR2	T2_Homo_sapie	T2_Mus_muscu	0.0145	0.8894	0.0163031	0
ITPR2	T2_Homo_sapie	T2_basal_Callo	0.0949	2.3334	0.0406703	1
ITPR2	T2_Homo_sapie	T2_Echino_cooke	0.0956	2.4834	0.0384956	1
ITPR2	T2_Homo_sapie	T2_Gekko_japon	0.0389	1.3708	0.0283776	0
ITPR2	T2_Homo_sapie	T2_Xenopu_tropi	0.0505	9.3131	0.00542247	1
ITPR2	T2_Homo_sapie	T2_Strigo_habro	0.0273	1.0955	0.0249201	0
ITPR2	T2_Nibea_albif	T2_Astato_calli	0.0588	0.5434	0.108208	0
ITPR2	T2_Nibea_albif	T2_basal_Chilo	0.148	56.7476	0.00260804	1
ITPR2	T2_Nibea_albif	T2_Gallus_gallu	0.125	11.4376	0.0109289	1
ITPR2	T2_Nibea_albif	T2_Mus_muscu	0.1211	11.1503	0.0108607	1
ITPR2	T2_Nibea_albif	T2_basal_Callo	0.1381	29.3316	0.00470823	1
ITPR2	T2_Nibea_albif	T2_Echino_cooke	0.1408	39.6779	0.00354857	1
ITPR2	T2_Nibea_albif	T2_Gekko_japon	0.1273	13.1784	0.00965975	1
ITPR2	T2_Nibea_albif	T2_Xenopu_tropi	0.1188	11.5354	0.0102987	1
ITPR2	T2_Nibea_albif	T2_Strigo_habro	0.1249	13.162	0.00948944	1
ITPR2	T2_Nibea_albif	T2_Homo_sapie	0.1257	13.4599	0.00933885	1
ITPR2	T2_Danio_rerio	T2_Astato_calli	0.1212	2.7475	0.0441128	1
ITPR2	T2_Danio_rerio	T2_basal_Chilo	0.1582	28.3589	0.0055785	1
ITPR2	T2_Danio_rerio	T2_Gallus_gallu	0.1445	10.3593	0.0139488	1
ITPR2	T2_Danio_rerio	T2_Mus_muscu	0.138	10.2948	0.0134048	1
ITPR2	T2_Danio_rerio	T2_basal_Callo	0.1559	14.1001	0.0110567	1
ITPR2	T2_Danio_rerio	T2_Echino_cooke	0.1572	19.7661	0.00795301	1
ITPR2	T2_Danio_rerio	T2_Gekko_japon	0.1479	10.0006	0.0147891	1
ITPR2	T2_Danio_rerio	T2_Xenopu_tropi	0.1407	9.2812	0.0151597	1
ITPR2	T2_Danio_rerio	T2_Strigo_habro	0.1456	11.832	0.0123056	1
ITPR2	T2_Danio_rerio	T2_Homo_sapie	0.1425	10.8605	0.0131209	1
ITPR2	T2_Danio_rerio	T2_Nibea_albif	0.1017	2.6764	0.0379988	1
ITPR2	T2_Rattus_norve	T2_Astato_calli	0.1389	12.2393	0.0113487	1
ITPR2	T2_Rattus_norve	T2_basal_Chilo	0.1058	3.2699	0.0323557	1
ITPR2	T2_Rattus_norve	T2_Gallus_gallu	0.0365	1.6844	0.0216694	1
ITPR2	T2_Rattus_norve	T2_Mus_muscu	0.0054	0.247	0.0218623	0
ITPR2	T2_Rattus_norve	T2_basal_Callo	0.0958	3.7636	0.0254544	1
ITPR2	T2_Rattus_norve	T2_Echino_cooke	0.0983	3.3251	0.029563	1
ITPR2	T2_Rattus_norve	T2_Gekko_japon	0.044	2.4194	0.0181863	1
ITPR2	T2_Rattus_norve	T2_Xenopu_tropi	0.053	4.6378	0.0114278	1
ITPR2	T2_Rattus_norve	T2_Strigo_habro	0.0351	1.7538	0.0200137	1
ITPR2	T2_Rattus_norve	T2_Homo_sapie	0.0168	0.8791	0.0191105	0
ITPR2	T2_Rattus_norve	T2_Nibea_albif	0.1226	11.8966	0.0103055	1
ITPR2	T2_Rattus_norve	T2_Danio_rerio	0.1382	8.7449	0.0158035	1
