code	label	species	class	census_group	set	route	why
T2_Gekko_japon	ITPR2_Gekko_japonicus_Schlegel_s_Japanese_ge_A0ABM1LG32	Gekko japonicus (Schlegel's Japanese gecko)	Lepidosauria	ITPR2	ITPR2	uniprot	census label, in the tree's clade
T2_Homo_sapie	ITPR2_Homo_sapiens_Human_Q14571	Homo sapiens (Human)	Mammalia	ITPR2	ITPR2	uniprot	census label, in the tree's clade
T2_Mus_muscu	ITPR2_Mus_musculus_Mouse_Q9Z329	Mus musculus (Mouse)	Mammalia	ITPR2	ITPR2	uniprot	census label, in the tree's clade
T2_Nibea_albif	ITPR2_Nibea_albiflora_GCA_014281875.1_ITPR2_12447838	Nibea albiflora	Actinopteri	ITPR2	ITPR2	miniprot	census label, in the tree's clade
T2_Rattus_norve	ITPR2_Rattus_norvegicus_Rat_P29995	Rattus norvegicus (Rat)	Mammalia	ITPR2	ITPR2	uniprot	census label, in the tree's clade
T2_Strigo_habro	ITPR2_Strigops_habroptila_Kakapo_A0A672UP22	Strigops habroptila (Kakapo)	Aves	ITPR2	ITPR2	uniprot	census label, in the tree's clade
T2_Xenopu_tropi	ITPR2_Xenopus_tropicalis_Western_clawed_frog_A0A6I8RGU0	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	Amphibia	ITPR2	ITPR2	uniprot	census label, in the tree's clade
T2_basal_Callo	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JQ24	Callorhinchus milii (Ghost shark)	Chondrichthyes	vertebrate_basal	ITPR2	uniprot	tree places a vertebrate_basal tip in the ITPR2 clade
T2_basal_Chilo	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3	Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	Chondrichthyes	vertebrate_basal	ITPR2	uniprot	tree places a vertebrate_basal tip in the ITPR2 clade
T3_Athene_cunic	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9	Athene cunicularia (Burrowing owl) (Speotyto cunicularia)	Aves	ITPR3	ITPR3	uniprot	census label, in the tree's clade
T3_Callor_milii	ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7	Callorhinchus milii (Ghost shark)	Chondrichthyes	ITPR3	ITPR3	uniprot	census label, in the tree's clade
T3_Copsyc_seche	ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051	Copsychus sechellarum	Aves	ITPR3	ITPR3	miniprot	census label, in the tree's clade
T3_Danio_rerio	ITPR3_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M6Z266	Danio rerio (Zebrafish) (Brachydanio rerio)	Actinopteri	ITPR3	ITPR3	uniprot	census label, in the tree's clade
T3_Echino_cooke	ITPR3_Echinorhinus_cookei_GCA_057876775.1_ITPR3_46076206	Echinorhinus cookei	Chondrichthyes	ITPR3	ITPR3	miniprot	census label, in the tree's clade
T3_Gallus_gallu	ITPR3_Gallus_gallus_Chicken_A0A8V1ACE6	Gallus gallus (Chicken)	Aves	ITPR3	ITPR3	uniprot	census label, in the tree's clade
T3_Homo_sapie	ITPR3_Homo_sapiens_Human_Q14573	Homo sapiens (Human)	Mammalia	ITPR3	ITPR3	uniprot	census label, in the tree's clade
T3_Hymeno_boett	ITPR3_Hymenochirus_boettgeri_GCA_019447015.1_ITPR3_126480658	Hymenochirus boettgeri	Amphibia	ITPR3	ITPR3	miniprot	census label, in the tree's clade
T3_Latime_chalu	ITPR3_Latimeria_chalumnae_Coelacanth_H3B932	Latimeria chalumnae (Coelacanth)		ITPR3	ITPR3	uniprot	census label, in the tree's clade
T3_Mus_muscu	ITPR3_Mus_musculus_Mouse_P70227	Mus musculus (Mouse)	Mammalia	ITPR3	ITPR3	uniprot	census label, in the tree's clade
T3_Nothob_furze	ITPR3_Nothobranchius_furzeri_Turquoise_killi_A0A8C6KWV8	Nothobranchius furzeri (Turquoise killifish)	Actinopteri	ITPR3	ITPR3	uniprot	census label, in the tree's clade
T3_Pogona_vitti	ITPR3_Pogona_vitticeps_central_bearded_drago_A0A6J0TV85	Pogona vitticeps (central bearded dragon)	Lepidosauria	ITPR3	ITPR3	uniprot	census label, in the tree's clade
T3_Rattus_norve	ITPR3_Rattus_norvegicus_Rat_Q63269	Rattus norvegicus (Rat)	Mammalia	ITPR3	ITPR3	uniprot	census label, in the tree's clade
T3_Saguin_oedip	ITPR3_Saguinus_oedipus_GCA_031835075.1_ITPR3_43596197	Saguinus oedipus	Mammalia	ITPR3	ITPR3	miniprot	census label, in the tree's clade
T3_Sousa_chine	ITPR3_Sousa_chinensis_GCA_007760645.1_ITPR3_5949234	Sousa chinensis	Mammalia	ITPR3	ITPR3	miniprot	census label, in the tree's clade
T3_Spheno_punct	ITPR3_Sphenodon_punctatus_GCA_003113815.1_ITPR3_3264626	Sphenodon punctatus	Lepidosauria	ITPR3	ITPR3	miniprot	census label, in the tree's clade
T3_Spizel_passe	ITPR3_Spizella_passerina_GCA_056776345.1_ITPR3_2783550	Spizella passerina	Aves	ITPR3	ITPR3	miniprot	census label, in the tree's clade
T3_Xenopu_tropi	ITPR3_Xenopus_tropicalis_Western_clawed_frog_A0A8J0SYK9	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	Amphibia	ITPR3	ITPR3	uniprot	census label, in the tree's clade
T3_basal_Chilo	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401S8Q3	Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	Chondrichthyes	vertebrate_basal	ITPR3	uniprot	tree places a vertebrate_basal tip in the ITPR3 clade
BG_basal_Myxin	vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_122839381	Myxine glutinosa	Myxini	vertebrate_basal	background	miniprot	no paralog clade contains it
BG_basal_Myxin2	vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_297520938	Myxine glutinosa	Myxini	vertebrate_basal	background	miniprot	no paralog clade contains it
BG_basal_Myxin3	vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_86116883	Myxine glutinosa	Myxini	vertebrate_basal	background	miniprot	no paralog clade contains it
BG_basal_Petro	vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0AAJ7U4X1	Petromyzon marinus (Sea lamprey)	Hyperoartia	vertebrate_basal	background	uniprot	no paralog clade contains it
BG_basal_Petro2	vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8BRT5	Petromyzon marinus (Sea lamprey)	Hyperoartia	vertebrate_basal	background	uniprot	no paralog clade contains it
BG_basal_Petro3	vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8C056	Petromyzon marinus (Sea lamprey)	Hyperoartia	vertebrate_basal	background	uniprot	no paralog clade contains it
