label	group	route	source	status	cds_len	prot_len	n_mismatch	n_stop_masked	n_masked	n_candidates	rejected	note
ITPR1_Mus_musculus_Mouse_P11881	ITPR1	uniprot	uniprot->ensembl:ENSMUST00000032192:mus_musculus	ok	8247	2749	0	0	0	1		
ITPR1_Podarcis_muralis_Wall_lizard_Lacerta_m_A0A670JBK6	ITPR1	uniprot	uniprot->ensembl:ENSPMRT00000022334:podarcis_muralis	ok	8241	2747	0	0	0	1		
ITPR1_Salarias_fasciatus_Jewelled_blenny_Ble_A0A672IUQ7	ITPR1	uniprot	uniprot->ensembl:ENSSFAT00005046365:salarias_fasciatus	ok	8244	2748	0	0	0	1		
ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519	ITPR1	miniprot	miniprot_aln:GCF_052327205.1:MP000032:NC_140997.1:147995749-148503708+:pad20000:bait=A0ABM4F3U0	ok	8256	2752	0	3	3	1		
ITPR1_Xenopus_tropicalis_Western_clawed_frog_A0A8J0T3U5	ITPR1	uniprot	refseq:XM_018093683.2:197-8428	ok	8229	2743	0	0	0	1		
ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1	ITPR2	uniprot	uniprot->ensembl:ENSACLT00000080964:astatotilapia_calliptera	ok	8103	2701	0	0	0	1		
ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3	ITPR2	uniprot	refseq:XM_021467780.3:283-8280	ok	7995	2665	0	0	0	1		
ITPR2_Echinorhinus_cookei_GCA_057876775.1_ITPR2_17288896	ITPR2	miniprot	miniprot_aln:GCA_057876775.1:MP000055:CM174645.1:17288899-17593392+:pad20000:bait=A0A672UP22	ok	8112	2704	0	1	1	1		
ITPR2_Gallus_gallus_Chicken_F1P1X4	ITPR2	uniprot	uniprot->ensembl:ENSGALT00010034835:gallus_gallus	ok	8100	2700	0	0	0	1		
ITPR2_Gekko_japonicus_Schlegel_s_Japanese_ge_A0ABM1LG32	ITPR2	uniprot	refseq:XM_015429433.1:1-8106	ok	8103	2701	0	0	0	1		
ITPR2_Homo_sapiens_Human_Q14571	ITPR2	uniprot	uniprot->ensembl:ENST00000381340:homo_sapiens	ok	8103	2701	0	0	0	3	uniprot->ensembl:ENST00000242737:homo_sapiens(length_mismatch,182aa);uniprot->ensembl:ENST00000242737:homo_sapiens(length_mismatch,182aa)	
ITPR2_Mus_musculus_Mouse_Q9Z329	ITPR2	uniprot	uniprot->ensembl:ENSMUST00000053273:mus_musculus	ok	8103	2701	0	0	0	1		
ITPR2_Nibea_albiflora_GCA_014281875.1_ITPR2_12447838	ITPR2	miniprot	miniprot_aln:GCA_014281875.1:MP000096:CM024800.1:12447838-12500306-:pad20000:bait=A0AAX7UHL1	ok	8019	2673	0	1	1	1		
ITPR2_Rattus_norvegicus_Rat_P29995	ITPR2	uniprot	ena:CAA43852.1	ok	8103	2701	0	0	0	1		
ITPR2_Strigops_habroptila_Kakapo_A0A672UP22	ITPR2	uniprot	uniprot->ensembl:ENSSHBT00005019923:strigops_habroptila	ok	8100	2700	0	0	0	1		
ITPR2_Xenopus_tropicalis_Western_clawed_frog_A0A6I8RGU0	ITPR2	uniprot	refseq:XM_031898452.1:265-8382	ok	8115	2705	0	0	0	1		
ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9	ITPR3	uniprot	uniprot->ensembl:ENSACUT00000012357:athene_cunicularia	ok	7998	2666	0	0	0	1		
ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7	ITPR3	uniprot	uniprot->ensembl:ENSCMIT00000002311:callorhinchus_milii	ok	7890	2630	0	0	0	1		
ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051	ITPR3	miniprot	miniprot_aln:GCA_054084135.1:MP000050:CM133804.1:2574054-2615198+:pad20000:bait=A0A7K6LHC3	ok	8013	2671	0	1	1	1		
ITPR3_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M6Z266	ITPR3	uniprot	refseq:XM_017357380.3:278-8185	ok	7905	2635	0	0	0	1		
ITPR3_Echinorhinus_cookei_GCA_057876775.1_ITPR3_46076206	ITPR3	miniprot	miniprot_aln:GCA_057876775.1:MP000032:CM174648.1:46076206-46431386-:pad20000:bait=A0A4W3GWE7	ok	7899	2633	0	2	2	1		
ITPR3_Gallus_gallus_Chicken_A0A8V1ACE6	ITPR3	uniprot	uniprot->ensembl:ENSGALT00010066854:gallus_gallus	ok	7992	2664	0	0	0	1		
ITPR3_Homo_sapiens_Human_Q14573	ITPR3	uniprot	uniprot->ensembl:ENST00000374316:homo_sapiens	ok	8013	2671	0	0	0	1		
ITPR3_Hymenochirus_boettgeri_GCA_019447015.1_ITPR3_126480658	ITPR3	miniprot	miniprot_aln_d9:GCA_019447015.1:MP000028:CM033470.1:126480658-127276132+:pad20000:bait=A0A8J0SYK9	ok	7998	2666	9	1	10	1		
ITPR3_Latimeria_chalumnae_Coelacanth_H3B932	ITPR3	uniprot	uniprot->ensembl:ENSLACT00000018536:latimeria_chalumnae	ok	8025	2675	0	0	0	1		
ITPR3_Mus_musculus_Mouse_P70227	ITPR3	uniprot	uniprot->ensembl:ENSMUST00000049308:mus_musculus	ok	8010	2670	0	0	0	1		
ITPR3_Nothobranchius_furzeri_Turquoise_killi_A0A8C6KWV8	ITPR3	uniprot	uniprot->ensembl:ENSNFUT00015011265:nothobranchius_furzeri	ok	8010	2670	0	0	0	1		
ITPR3_Pogona_vitticeps_central_bearded_drago_A0A6J0TV85	ITPR3	uniprot	refseq:XM_020795844.2:407-8407	ok	7998	2666	0	0	0	1		
ITPR3_Rattus_norvegicus_Rat_Q63269	ITPR3	uniprot	ena:AAA41446.1	ok	8010	2670	0	0	0	1		
ITPR3_Saguinus_oedipus_GCA_031835075.1_ITPR3_43596197	ITPR3	miniprot	miniprot_aln:GCA_031835075.1:MP000016:CM063172.1:43596197-43670020+:pad20000:bait=Q14573	ok	8016	2672	0	1	1	1		
ITPR3_Sousa_chinensis_GCA_007760645.1_ITPR3_5949234	ITPR3	miniprot	miniprot_aln:GCA_007760645.1:MP000016:RWJT01022005.1:5949234-6016275+:pad20000:bait=Q14573	ok	8016	2672	0	1	1	1		
ITPR3_Sphenodon_punctatus_GCA_003113815.1_ITPR3_3264626	ITPR3	miniprot	miniprot_aln:GCA_003113815.1:MP000015:QEPC01007384.1:3264629-3429450+:pad20000:bait=Q14573	ok	8001	2667	0	1	1	1		
ITPR3_Spizella_passerina_GCA_056776345.1_ITPR3_2783550	ITPR3	miniprot	miniprot_aln:GCA_056776345.1:MP000054:CM165329.1:2783553-2825232+:pad20000:bait=A0A7K6LHC3	ok	8013	2671	0	1	1	1		
ITPR3_Xenopus_tropicalis_Western_clawed_frog_A0A8J0SYK9	ITPR3	uniprot	refseq:XM_018091571.2:278-8299	ok	8019	2673	0	0	0	1		
vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JHJ0	vertebrate_basal	uniprot	uniprot->ensembl:ENSCMIT00000032147:callorhinchus_milii	ok	8049	2683	0	0	0	1		
vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3IQL0	vertebrate_basal	uniprot	uniprot->ensembl:ENSCMIT00000032062:callorhinchus_milii	ok	8004	2668	0	0	0	1		
vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JQ24	vertebrate_basal	uniprot	uniprot->ensembl:ENSCMIT00000034651:callorhinchus_milii	ok	8001	2667	0	0	0	1		
vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401SQC9	vertebrate_basal	uniprot	ena:GCC32563.1	ok	8115	2705	0	0	0	1		
vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401S8Q3	vertebrate_basal	uniprot	ena:GCC26788.1	ok	7470	2490	0	0	0	1		
vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3	vertebrate_basal	uniprot	ena:GCC19756.1	ok	6633	2211	0	0	0	1		
vertebrate_basal_Latimeria_chalumnae_GCF_037176945.1_ITPR1_35775795	vertebrate_basal	miniprot	miniprot_aln:GCF_037176945.1:MP000007:NC_088152.1:35819862-36028576+:pad20000:bait=H3A1P5	ok	8190	2730	0	1	1	1		
vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_86116883	vertebrate_basal	miniprot	miniprot_aln:GCF_964187855.1:MP000003:NC_136272.1:86116883-86302359-:pad20000:bait=Q14643	ok	8130	2710	0	1	1	1		
vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_122839381	vertebrate_basal	miniprot	miniprot_aln:GCF_964187855.1:MP000080:NC_136264.1:123056250-123519182-:pad20000:bait=A0ABM4F3U0	ok	8190	2730	0	0	0	1		
vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_297520938	vertebrate_basal	miniprot	miniprot_aln:GCF_964187855.1:MP000079:NC_136261.1:297520944-297891384-:pad20000:bait=A0ABM4F3U0	ok	8211	2737	0	0	0	1		
vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0AAJ7U4X1	vertebrate_basal	uniprot	refseq:XM_032972456.2:990-9506	ok	8514	2838	0	0	0	1		
vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8BRT5	vertebrate_basal	uniprot	refseq:XM_076070630.1:261-8474	ok	8211	2737	0	0	0	1		
vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8C056	vertebrate_basal	uniprot	refseq:XM_076073551.1:922-9243	ok	8319	2773	0	0	0	1		
