species	band	family	symbol	gene_id	seq_region	genome_bp	span_bp	n_exons_canonical	n_coding_transcripts	median_intron_canonical	max_intron_canonical	max_intron_any_transcript	intron_per_gbp
anolis_carolinensis	reptilia	ITPR	ITPR3	ENSACAG00000016163	4	1799143587	142212	58	1	919	41163	41163	22879.2
callorhinchus_milii	chondrichthyes	ITPR	ITPR3	ENSCMIG00000001206	KI635887.1	974498586	102963	56	10	1158	10847	10847	11130.9
danio_rerio	actinopteri	ITPR	ITPR3	ENSDARG00000061741	8	1373471384	98844	60	3	695	25363	25363	18466.3
gallus_gallus	aves	ITPR	ITPR3	ENSGALG00010027594	26	1053332251	38897	58	4	227	6401	6401	6076.9
homo_sapiens	mammalia	ITPR	ITPR3	ENSG00000096433	6	3099750718	76245	58	6	492	18792	18792	6062.4
latimeria_chalumnae	sarcopterygian_fish	ITPR	ITPR3	ENSLACG00000016209	JH126819.1	2860591921	69904	60	1	843	6875	6875	2403.3
mus_musculus	mammalia	ITPR	ITPR3	ENSMUSG00000042644	17	2728222451	67896	58	1	367	15423	15423	5653.1
oryzias_latipes	actinopteri	ITPR	ITPR3	ENSORLG00000018298	7	734057086	88746	52	2	711	36630	36630	49900.8
taeniopygia_guttata	aves	ITPR	ITPR3	ENSTGUG00000001798	26	1057995280	35613	58	1	219	3982	3982	3763.7
xenopus_tropicalis	amphibia	ITPR	ITPR3	ENSXETG00000018719	2	1451301209	348705	58	1	2355	35729	35729	24618.6
anolis_carolinensis	reptilia	RYR	RYR1	ENSACAG00000001965	GL343427.1	1799143587	176671	101	5	825	10310	33930	18859.0
gallus_gallus	aves	RYR	RYR1	ENSGALG00010009379	38	1053332251	69416	95	8	476	2575	2575	2444.6
homo_sapiens	mammalia	RYR	RYR1	ENSG00000196218	19	3099750718	161583	106	5	788	12692	12692	4094.5
latimeria_chalumnae	sarcopterygian_fish	RYR	RYR1	ENSLACG00000018524	JH126578.1	2860591921	141969	110	1	857	5479	5479	1915.3
mus_musculus	mammalia	RYR	RYR1	ENSMUSG00000030592	7	2728222451	121836	106	2	641	11635	11635	4264.7
xenopus_tropicalis	amphibia	RYR	RYR1	ENSXETG00000002823	8	1451301209	114136	107	5	442	21098	21098	14537.3
anolis_carolinensis	reptilia	RYR	RYR2	ENSACAG00000003211	1	1799143587	386497	100	10	1392	20166	108049	60055.8
callorhinchus_milii	chondrichthyes	RYR	RYR2	ENSCMIG00000013824	KI635885.1	974498586	259468	97	10	1665	14490	19987	20510.0
gallus_gallus	aves	RYR	RYR2	ENSGALG00010009054	3	1053332251	360907	104	5	1366	77976	90815	86216.9
homo_sapiens	mammalia	RYR	RYR2	ENSG00000198626	1	3099750718	791805	105	8	2617	227927	227927	73530.8
mus_musculus	mammalia	RYR	RYR2	ENSMUSG00000021313	13	2728222451	553883	105	10	2261	160396	160396	58791.4
oryzias_latipes	actinopteri	RYR	RYR2	ENSORLG00000005221	15	734057086	68318	97	2	217	4415	4581	6240.7
petromyzon_marinus	cyclostomata	RYR	RYR2	ENSPMAG00000009553	GL476450	885550958	322397	91	1	1288	81428	81428	91951.8
taeniopygia_guttata	aves	RYR	RYR2	ENSTGUG00000010491	3	1057995280	367119	103	9	1638	93084	93084	87981.5
anolis_carolinensis	reptilia	RYR	RYR3	ENSACAG00000015401	1	1799143587	213267	87	1	1355	16327	16327	9074.9
callorhinchus_milii	chondrichthyes	RYR	RYR3	ENSCMIG00000007927	KI635863.1	974498586	112435	96	10	658	10624	10624	10902.0
danio_rerio	actinopteri	RYR	RYR3	ENSDARG00000071331	20	1373471384	152270	104	2	725	9331	21802	15873.6
gallus_gallus	aves	RYR	RYR3	ENSGALG00010021123	5	1053332251	184770	104	4	876	36215	36215	34381.4
homo_sapiens	mammalia	RYR	RYR3	ENSG00000198838	15	3099750718	555175	104	10	1825	162322	192534	62112.7
latimeria_chalumnae	sarcopterygian_fish	RYR	RYR3	ENSLACG00000010675	JH127233.1	2860591921	180897	76	1	1805	8677	8677	3033.3
mus_musculus	mammalia	RYR	RYR3	ENSMUSG00000057378	2	2728222451	585743	103	6	1711	188244	220252	80731.0
taeniopygia_guttata	aves	RYR	RYR3	ENSTGUG00000011653	5	1057995280	94878	69	1	935	4576	4576	4325.2
xenopus_tropicalis	amphibia	RYR	RYR3	ENSXETG00000041121	8	1451301209	243373	100	2	961	17420	47214	32532.2
