accession	organism	vclass	vorder	source	assembly_level	cell	locus_idx	is_control	contig	start	end	strand	bait	coverage	identity	frameshifts	stop_codons	cell_status	contig_spans_gene	contig_n50	gene_set	state	state_reason	locus_cds_bp	n_models	n_coding_models	n_coding_pieces	n_noncoding_models	best_model_frac	union_coding_frac	noncoding_biotype	top_overlapper_biotype	top_overlapper_pseudo	best_gene_id	best_symbol	best_product	best_biotype	namer_gene_id	namer_symbol	namer_product	namer_biotype	namer_coding	namer_frac_cds	namer_own_frac	namer_model_aa	symbol_verdict	symbol_claim	product_verdict	product_claim	integrity_verdict	lesion_density
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	GenBank	Scaffold	ITPR3	0	0	PPHD01009884.1	3	19437	-	A0A8V1ACE6	0.6295	0.9988	0	0	assembly_gap	0	10597	present	complete	one model covers 0.99 of the coding footprint (bar 0.50)	5031	1	1	1	0	0.9899	0.9899		protein_coding	0	gene-CIB84_005232	CIB84_005232	hypothetical protein	protein_coding	gene-CIB84_005232	CIB84_005232	hypothetical protein	protein_coding	1	0.9899	0.9755	1701	placeholder		placeholder		not_scored	0
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	GenBank	Scaffold	ITPR3	1	0	PPHD01019520.1	82	6747	+	A0A8V1ACE6	0.2042	0.9963	0	0	assembly_gap	0	10597	present	complete	one model covers 1.00 of the coding footprint (bar 0.50)	1635	1	1	1	0	0.9963	0.9963		protein_coding	0	gene-CIB84_007851	CIB84_007851	hypothetical protein	protein_coding	gene-CIB84_007851	CIB84_007851	hypothetical protein	protein_coding	1	0.9963	1	543	placeholder		placeholder		not_scored	0
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	GenBank	Scaffold	RYR	0	1	PPHD01005234.1	2410	24777	-	A0A8V0Y8K1	0.1985	0.9929	0	0	assembly_gap	0	10597	present	unannotated	no same-strand coding model reaches 0.01 of the locus's 2961 coding bp	2961	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	GenBank	Scaffold	RYR	1	1	PPHD01004762.1	949	25925	-	A0A8V0Y8K1	0.1795	0.9832	0	0	assembly_gap	0	10597	present	unannotated	no same-strand coding model reaches 0.01 of the locus's 2676 coding bp	2676	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	GenBank	Scaffold	RYR	2	1	PPHD01004103.1	719	28757	+	A0A4W3I1N0	0.2694	0.6254	0	0	assembly_gap	0	10597	present	unannotated	no same-strand coding model reaches 0.01 of the locus's 3858 coding bp	3858	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	GenBank	Scaffold	RYR	3	1	PPHD01048816.1	168	6558	+	H3BGR5	0.1336	0.6774	0	0	assembly_gap	0	10597	present	unannotated	no same-strand coding model reaches 0.01 of the locus's 2022 coding bp	2022	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	GenBank	Scaffold	ITPR1	0	0	QEPC01008366.1	2025790	2509193	-	A0A8V0ZJT0	0.9975	0.9524	0	0	found_no_annotation	0	27065	none	no_gene_set	the assembly ships no gene set (D9)	8280	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	GenBank	Scaffold	ITPR2	0	0	QEPC01007142.1	232928	852348	-	F1P1X4	1	0.9338	0	0	found_no_annotation	0	27065	none	no_gene_set	the assembly ships no gene set (D9)	8112	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	GenBank	Scaffold	ITPR3	0	0	QEPC01007384.1	3264626	3429450	+	A0A8V1ACE6	1	0.9415	0	0	found_no_annotation	0	27065	none	no_gene_set	the assembly ships no gene set (D9)	8001	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	GenBank	Scaffold	RYR	0	1	QEPC01010682.1	4003349	5346596	+	A0A3Q0HBW9	0.996	0.9493	0	1	found_no_annotation	0	27065	none	no_gene_set	the assembly ships no gene set (D9)	14895	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0.2014
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	GenBank	Scaffold	RYR	1	1	QEPC01001878.1	319223	437986	-	A0A6I8Q6P7	0.9968	0.738	8	0	found_no_annotation	0	27065	none	no_gene_set	the assembly ships no gene set (D9)	14426	0	0	0	0	0	0			0									0	0	0	0	absent		absent		assembly_explained	1.5933
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	GenBank	Scaffold	RYR	2	1	QEPC01010852.1	1631536	2749155	+	A0A6I8Q6P7	1	0.6711	1	0	found_no_annotation	0	27065	none	no_gene_set	the assembly ships no gene set (D9)	14816	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0.1985
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	GenBank	Scaffold	ITPR1	0	0	BHFT01002173.1	5172	60614	-	A0A670JBK6	0.5817	0.9671	0	0	assembly_gap	0	35581	none	no_gene_set	the assembly ships no gene set (D9)	4833	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	GenBank	Scaffold	ITPR2	0	0	BHFT01019722.1	2266	51441	-	A0ABM1LG32	0.5616	0.913	0	0	assembly_gap	0	35581	none	no_gene_set	the assembly ships no gene set (D9)	4551	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	GenBank	Scaffold	ITPR3	0	0	BHFT01014849.1	37021	87841	-	A0A6J0TV85	0.5911	0.9385	0	0	assembly_gap	0	35581	none	no_gene_set	the assembly ships no gene set (D9)	4731	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	GenBank	Scaffold	RYR	0	1	BHFT01042859.1	31	83319	+	A0A6I8Q6P7	0.725	0.8504	0	0	found_no_annotation	0	35581	none	no_gene_set	the assembly ships no gene set (D9)	11016	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	GenBank	Scaffold	RYR	1	1	BHFT01026245.1	2114	50549	+	A0A3Q0HBW9	0.4308	0.905	0	0	found_no_annotation	0	35581	none	no_gene_set	the assembly ships no gene set (D9)	6342	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	GenBank	Scaffold	RYR	2	1	BHFT01031327.1	6564	41077	+	H3BGR5	0.2422	0.7973	0	0	found_no_annotation	0	35581	none	no_gene_set	the assembly ships no gene set (D9)	3711	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	GenBank	Scaffold	RYR	3	1	BHFT01031326.1	736	43779	-	Q92736	0.2156	0.9045	0	0	found_no_annotation	0	35581	none	no_gene_set	the assembly ships no gene set (D9)	3225	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	GenBank	Scaffold	RYR	4	1	BHFT01041112.1	5596	50321	-	Q92736	0.2559	0.7173	0	0	found_no_annotation	0	35581	none	no_gene_set	the assembly ships no gene set (D9)	3834	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	GenBank	Scaffold	RYR	5	1	BHFT01036106.1	2172	45179	-	Q92736	0.1572	0.8903	0	0	found_no_annotation	0	35581	none	no_gene_set	the assembly ships no gene set (D9)	2352	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	GenBank	Scaffold	ITPR1	0	0	SZQC01000012.1	7428581	7607553	+	A0A8V0ZJT0	1	0.9412	1	0	found_no_annotation	0	824	none	no_gene_set	the assembly ships no gene set (D9)	8342	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0.3598
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	GenBank	Scaffold	ITPR2	0	0	SZQC01000052.1	75815	345217	-	F1P1X4	1	0.9404	0	0	found_no_annotation	0	824	none	no_gene_set	the assembly ships no gene set (D9)	8139	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	GenBank	Scaffold	ITPR3	0	0	SZQC01000046.1	3993909	4037271	+	A0A8V1ACE6	1	0.9589	0	0	found_no_annotation	0	824	none	no_gene_set	the assembly ships no gene set (D9)	8031	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	GenBank	Scaffold	RYR	0	1	SZQC01000381.1	3437	371350	-	A0A8V0Y8K1	0.7081	0.9043	0	2	found_no_annotation	0	824	none	no_gene_set	the assembly ships no gene set (D9)	10770	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0.5685
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	GenBank	Scaffold	RYR	1	1	SZQC01000017.1	7191534	7297088	-	A0A3Q0HBW9	0.5473	0.6358	1	2	found_no_annotation	0	824	none	no_gene_set	the assembly ships no gene set (D9)	8206	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	1.0993
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	GenBank	Scaffold	RYR	2	1	SZQC01000027.1	6276364	6354250	-	A0A8V0Y8K1	0.2816	0.9042	0	0	found_no_annotation	0	824	none	no_gene_set	the assembly ships no gene set (D9)	4179	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	GenBank	Scaffold	ITPR1	0	0	RWJT01005793.1	19976061	20272933	+	Q14643	1	0.9797	0	0	found_no_annotation	0	113766	none	no_gene_set	the assembly ships no gene set (D9)	8283	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	GenBank	Scaffold	ITPR2	0	0	RWJT01020497.1	5271385	5782005	+	Q14571	1	0.9594	0	0	found_no_annotation	0	113766	none	no_gene_set	the assembly ships no gene set (D9)	8202	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	GenBank	Scaffold	ITPR3	0	0	RWJT01022005.1	5949234	6016275	+	Q14573	1	0.9738	0	0	found_no_annotation	0	113766	none	no_gene_set	the assembly ships no gene set (D9)	8016	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	GenBank	Scaffold	RYR	0	1	RWJT01001056.1	140403	872842	+	Q92736	1	0.9763	0	0	found_no_annotation	0	113766	none	no_gene_set	the assembly ships no gene set (D9)	14925	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	GenBank	Scaffold	RYR	1	1	RWJT01019646.1	7646897	7772846	-	A0A6I8Q6P7	1	0.7861	1	0	found_no_annotation	0	113766	none	no_gene_set	the assembly ships no gene set (D9)	14903	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0.1985
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	GenBank	Scaffold	RYR	2	1	RWJT01018246.1	1472992	2023843	-	A0A6I8Q6P7	0.9968	0.6653	0	0	found_no_annotation	0	113766	none	no_gene_set	the assembly ships no gene set (D9)	14829	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0
GCA_008658365.1	Alca torda	Aves	Charadriiformes	GenBank	Chromosome	ITPR1	0	0	CM018086.1	14511323	14687739	+	A0A8V0ZJT0	1	0.9903	0	0	found_annotated	1	18221265	present	complete	one model covers 0.98 of the coding footprint (bar 0.50)	8337	1	1	1	0	0.9813	0.9813		protein_coding	0	gene-FN964_010031	ITPR1	inositol 1,4,5-trisphosphate receptor type 1	protein_coding	gene-FN964_010031	ITPR1	inositol 1,4,5-trisphosphate receptor type 1	protein_coding	1	0.9813	1	2727	correct_paralog	ITPR1	correct_paralog	ITPR1	intact	0
GCA_008658365.1	Alca torda	Aves	Charadriiformes	GenBank	Chromosome	ITPR2	0	0	CM018076.1	74630781	74897326	-	A0A672UP22	1	0.9772	5	1	found_annotated	1	18221265	present	complete	one model covers 1.00 of the coding footprint (bar 0.50)	8096	1	1	1	0	0.9986	0.9986		protein_coding	0	gene-FN964_004918	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	protein_coding	gene-FN964_004918	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	protein_coding	1	0.9986	0.9868	2731	correct_paralog	ITPR2	correct_paralog	ITPR2	elevated_lesions	2.2222
GCA_008658365.1	Alca torda	Aves	Charadriiformes	GenBank	Chromosome	ITPR3	0	0	CM018095.1	3506405	3555552	-	A0A8V1ACE6	1	0.9831	15	0	found_annotated	1	18221265	present	complete	one model covers 1.00 of the coding footprint (bar 0.50)	7993	1	1	1	0	0.9969	0.9969		protein_coding	0	gene-FN964_014394	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	protein_coding	gene-FN964_014394	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	protein_coding	1	0.9969	1	2656	correct_paralog	ITPR3	correct_paralog	ITPR3	elevated_lesions	5.6306
GCA_008658365.1	Alca torda	Aves	Charadriiformes	GenBank	Chromosome	RYR	0	1	CM018078.1	42099162	42521409	-	A0A8V0Y8K1	1	0.9847	0	0	found_annotated	1	18221265	present	complete	one model covers 1.00 of the coding footprint (bar 0.50)	14910	1	1	1	0	0.996	0.996		protein_coding	0	gene-FN964_002631	RYR2	ryanodine receptor 2	protein_coding	gene-FN964_002631	RYR2	ryanodine receptor 2	protein_coding	1	0.996	0.999	4955	correct_paralog	RYR2	correct_paralog	RYR	intact	0
GCA_008658365.1	Alca torda	Aves	Charadriiformes	GenBank	Chromosome	RYR	1	1	CM018080.1	32535056	32770773	-	A0A6I8Q6P7	1	0.6768	1	0	found_annotated	1	18221265	present	complete	one model covers 0.98 of the coding footprint (bar 0.50)	14833	1	1	1	0	0.9796	0.9796		protein_coding	0	gene-FN964_004793	RYR3	ryanodine receptor 3	protein_coding	gene-FN964_004793	RYR3	ryanodine receptor 3	protein_coding	1	0.9796	0.9944	4871	correct_paralog	RYR3	correct_paralog	RYR	intact	0.1985
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	GenBank	Chromosome	ITPR1	0	0	CM020037.1	21025145	21185024	+	A0A8V0ZJT0	1	0.9888	0	0	found_annotated	1	12039478	present	complete	one model covers 0.99 of the coding footprint (bar 0.50)	8337	1	1	1	0	0.995	0.995		protein_coding	0	gene-FYN11_004493	ITPR1	inositol 1,4,5-trisphosphate receptor type 1	protein_coding	gene-FYN11_004493	ITPR1	inositol 1,4,5-trisphosphate receptor type 1	protein_coding	1	0.995	0.9964	2775	correct_paralog	ITPR1	correct_paralog	ITPR1	intact	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	GenBank	Chromosome	ITPR2	0	0	CM020053.1	12089772	12346833	+	A0A672UP22	1	0.9767	0	0	found_annotated	1	12039478	present	complete	one model covers 1.00 of the coding footprint (bar 0.50)	8103	1	1	1	0	1	1		protein_coding	0	gene-FYN11_010859	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	protein_coding	gene-FYN11_010859	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	protein_coding	1	1	1	2701	correct_paralog	ITPR2	correct_paralog	ITPR2	intact	0
