accession	call	source	length	excluded_by
A0A158PCK9	ITPR	InterPro	567	P3 567 aa < 2000 (not full length)
A0A158PK86	ITPR	InterPro	1554	P3 1554 aa < 2000 (not full length)
A0A158QNM0	RYR	InterPro	1330	P3 1330 aa < 2000 (not full length)
A0A158R0H1	RYR	InterPro	1389	P3 1389 aa < 2000 (not full length)
A0A158RB35	ITPR	InterPro	1995	P3 1995 aa < 2000 (not full length)
A0A177ASQ7	ITPR	InterPro	632	P3 632 aa < 2000 (not full length)
A0A177AXA9	RYR	InterPro	498	P3 498 aa < 2000 (not full length)
A0A177AYD0	ITPR	InterPro	1018	P3 1018 aa < 2000 (not full length)
A0A177AYP9	ITPR	InterPro	1190	P3 1190 aa < 2000 (not full length)
A0A177B248	ITPR	InterPro	928	P3 928 aa < 2000 (not full length)
A0A182E8T9	RYR	InterPro	1243	P3 1243 aa < 2000 (not full length)
A0A182K697	unassigned	InterPro	86	P1 not a family call in census v6
A0A182KGR0	ITPR	InterPro	960	P3 960 aa < 2000 (not full length)
A0A182PPG2	ITPR	InterPro	742	P3 742 aa < 2000 (not full length)
A0A182S998	ITPR	InterPro	564	P3 564 aa < 2000 (not full length)
A0A182SBJ7	RYR	InterPro	491	P3 491 aa < 2000 (not full length)
A0A182SBT8	unassigned	InterPro	103	P1 not a family call in census v6
A0A182SJF8	ITPR	InterPro	671	P3 671 aa < 2000 (not full length)
A0A182T8N8	ITPR	InterPro	381	P3 381 aa < 2000 (not full length)
A0A182TMK2	ITPR	InterPro	1331	P3 1331 aa < 2000 (not full length)
A0A182TRF5	unassigned	InterPro	149	P1 not a family call in census v6
A0A183ABP3	unassigned	InterPro	245	P1 not a family call in census v6
A0A183AC72	ITPR	InterPro	628	P3 628 aa < 2000 (not full length)
A0A183AJD9	unassigned	InterPro	196	P1 not a family call in census v6
A0A183AK78	RYR	InterPro	1774	P3 1774 aa < 2000 (not full length)
A0A183ALA8	RYR	InterPro	839	P3 839 aa < 2000 (not full length)
A0A183B1Z7	RYR	InterPro	471	P3 471 aa < 2000 (not full length)
A0A183CVJ1	RYR	InterPro	407	P3 407 aa < 2000 (not full length)
A0A183D1H6	unassigned	InterPro	85	P1 not a family call in census v6
A0A183D6D5	unassigned	InterPro	99	P1 not a family call in census v6
A0A183DGX5	unassigned	InterPro	148	P1 not a family call in census v6
A0A183DXG3	unassigned	InterPro	163	P1 not a family call in census v6
A0A183E6A7	RYR	InterPro	450	P3 450 aa < 2000 (not full length)
A0A183E906	RYR	InterPro	425	P3 425 aa < 2000 (not full length)
A0A183GYX3	RYR	InterPro	1557	P3 1557 aa < 2000 (not full length)
A0A183H4Q6	RYR	InterPro	565	P3 565 aa < 2000 (not full length)
A0A183H5I2	unassigned	InterPro	73	P1 not a family call in census v6
A0A183H6V6	ITPR	InterPro	427	P3 427 aa < 2000 (not full length)
A0A183H7W0	ITPR	InterPro	308	P3 308 aa < 2000 (not full length)
A0A183HHT8	unassigned	InterPro	212	P1 not a family call in census v6
A0A183HID4	unassigned	InterPro	160	P1 not a family call in census v6
A0A183HZP9	RYR	InterPro	557	P3 557 aa < 2000 (not full length)
A0A183IP22	ITPR	InterPro	290	P3 290 aa < 2000 (not full length)
A0A183IWS2	ITPR	InterPro	635	P3 635 aa < 2000 (not full length)
A0A183JBB2	unassigned	InterPro	178	P1 not a family call in census v6
A0A183JX80	RYR	InterPro	278	P3 278 aa < 2000 (not full length)
A0A183JZQ5	ITPR	InterPro	1251	P3 1251 aa < 2000 (not full length)
A0A183JZW8	RYR	InterPro	1047	P3 1047 aa < 2000 (not full length)
A0A183K1U8	RYR	InterPro	1576	P3 1576 aa < 2000 (not full length)
A0A183KTV6	unassigned	InterPro	164	P1 not a family call in census v6
A0A183LAN0	RYR	InterPro	235	P3 235 aa < 2000 (not full length)
A0A183LH75	ITPR	InterPro	320	P3 320 aa < 2000 (not full length)
A0A183LIP6	RYR	InterPro	1560	P3 1560 aa < 2000 (not full length)
A0A183LQ96	unassigned	InterPro	197	P1 not a family call in census v6
A0A183MSI1	RYR	InterPro	1599	P3 1599 aa < 2000 (not full length)
A0A183NTK5	RYR	InterPro	879	P3 879 aa < 2000 (not full length)
A0A183NXT8	RYR	InterPro	1190	P3 1190 aa < 2000 (not full length)
A0A183NZC1	ITPR	InterPro	847	P3 847 aa < 2000 (not full length)
A0A183P4M0	ITPR	InterPro	276	P3 276 aa < 2000 (not full length)
A0A183SPW0	RYR	InterPro	1180	P3 1180 aa < 2000 (not full length)
A0A183TKH1	RYR	InterPro	559	P3 559 aa < 2000 (not full length)
A0A183TXD4	ITPR	InterPro	780	P3 780 aa < 2000 (not full length)
A0A183TZI7	unassigned	InterPro	293	P1 not a family call in census v6
A0A183UJY7	ITPR	InterPro	1662	P3 1662 aa < 2000 (not full length)
A0A194QH23	RYR	InterPro	1711	P3 1711 aa < 2000 (not full length)
A0A194RJU7	RYR	InterPro	383	P3 383 aa < 2000 (not full length)
A0A1A6FT09	ITPR	InterPro	664	P3 664 aa < 2000 (not full length)
A0A1A6FVS8	unassigned	InterPro	75	P1 not a family call in census v6
A0A1A6GLF1	RYR	InterPro	1063	P3 1063 aa < 2000 (not full length)
A0A1A6H0G8	unassigned	InterPro	85	P1 not a family call in census v6
A0A1A6H6A5	RYR	InterPro	1327	P3 1327 aa < 2000 (not full length)
A0A1A6HHC3	unassigned	InterPro	277	P1 not a family call in census v6
A0A1A6HHX9	ITPR	InterPro	276	P3 276 aa < 2000 (not full length)
A0A1A6HUK9	RYR	InterPro	126	P3 126 aa < 2000 (not full length)
A0A1A6HXE5	ITPR	InterPro	994	P3 994 aa < 2000 (not full length)
A0A1A6HY09	ITPR	InterPro	344	P3 344 aa < 2000 (not full length)
A0A1A6HZH7	unassigned	InterPro	82	P1 not a family call in census v6
A0A1B0CJQ3	ITPR	InterPro	1314	P3 1314 aa < 2000 (not full length)
A0A1B0CVJ7	ITPR	InterPro	1655	P3 1655 aa < 2000 (not full length)
A0A1B0D1S8	RYR	InterPro	1443	P3 1443 aa < 2000 (not full length)
A0A1B0D1S9	unassigned	InterPro	130	P1 not a family call in census v6
A0A1B0D817	ITPR	InterPro	601	P3 601 aa < 2000 (not full length)
A0A1B0D9Z6	ITPR	InterPro	810	P3 810 aa < 2000 (not full length)
A0A1B0DF68	ITPR	InterPro	943	P3 943 aa < 2000 (not full length)
A0A1B0ETX9	RYR	InterPro	1751	P3 1751 aa < 2000 (not full length)
A0A1D2MKE6	unassigned	InterPro	86	P1 not a family call in census v6
A0A1D2MKL1	RYR	InterPro	549	P3 549 aa < 2000 (not full length)
A0A1D2MKN1	RYR	InterPro	301	P3 301 aa < 2000 (not full length)
A0A1E1XW82	RYR	InterPro	861	P3 861 aa < 2000 (not full length)
A0A1I7UCK7	ITPR	InterPro	1472	P3 1472 aa < 2000 (not full length)
A0A1I7UCK8	ITPR	InterPro	1313	P3 1313 aa < 2000 (not full length)
A0A1I7WUB5	ITPR	InterPro	451	P3 451 aa < 2000 (not full length)
A0A1I7XLA4	RYR	InterPro	1167	P3 1167 aa < 2000 (not full length)
A0A1I7XLU3	RYR	InterPro	359	P3 359 aa < 2000 (not full length)
A0A1I7XLW8	RYR	InterPro	597	P3 597 aa < 2000 (not full length)
A0A1I7XY60	RYR	InterPro	1495	P3 1495 aa < 2000 (not full length)
A0A1I7YC12	RYR	InterPro	1458	P3 1458 aa < 2000 (not full length)
A0A1I7YC96	RYR	InterPro	1417	P3 1417 aa < 2000 (not full length)
A0A1I7Z2U2	RYR	InterPro	1959	P3 1959 aa < 2000 (not full length)
A0A1I7Z333	RYR	InterPro	1968	P3 1968 aa < 2000 (not full length)
A0A1I8AZG3	ITPR	InterPro	1766	P3 1766 aa < 2000 (not full length)
A0A1I8C065	RYR	InterPro	1829	P3 1829 aa < 2000 (not full length)
A0A1I8C070	RYR	InterPro	263	P3 263 aa < 2000 (not full length)
A0A1I8C074	RYR	InterPro	540	P3 540 aa < 2000 (not full length)
A0A1I8C2B2	unassigned	InterPro	125	P1 not a family call in census v6
A0A1I8F6Y5	RYR	InterPro	1379	P3 1379 aa < 2000 (not full length)
A0A1I8FE30	ITPR	InterPro	389	P3 389 aa < 2000 (not full length)
A0A1I8FJ73	unassigned	InterPro	550	P1 not a family call in census v6
A0A1I8FLE0	ITPR	InterPro	370	P3 370 aa < 2000 (not full length)
A0A1I8FNM7	unassigned	InterPro	549	P1 not a family call in census v6
A0A1I8G215	ITPR	InterPro	1065	P3 1065 aa < 2000 (not full length)
A0A1I8GCE3	ITPR	InterPro	249	P3 249 aa < 2000 (not full length)
A0A1I8GH29	ITPR	InterPro	287	P3 287 aa < 2000 (not full length)
A0A1I8GHA8	ITPR	InterPro	758	P3 758 aa < 2000 (not full length)
A0A1I8GHB2	ITPR	InterPro	771	P3 771 aa < 2000 (not full length)
A0A1I8GIG6	unassigned	InterPro	113	P1 not a family call in census v6
A0A1I8GIY6	ITPR	InterPro	919	P3 919 aa < 2000 (not full length)
A0A1I8GNK8	unassigned	InterPro	140	P1 not a family call in census v6
A0A1I8GP13	ITPR	InterPro	286	P3 286 aa < 2000 (not full length)
A0A1I8GTX8	RYR	InterPro	1497	P3 1497 aa < 2000 (not full length)
A0A1I8H777	ITPR	InterPro	1094	P3 1094 aa < 2000 (not full length)
A0A1I8HAH5	ITPR	InterPro	466	P3 466 aa < 2000 (not full length)
A0A1I8HB42	unassigned	InterPro	237	P1 not a family call in census v6
A0A1I8HBP4	ITPR	InterPro	503	P3 503 aa < 2000 (not full length)
A0A1I8HBP7	ITPR	InterPro	422	P3 422 aa < 2000 (not full length)
A0A1I8HG94	ITPR	InterPro	1174	P3 1174 aa < 2000 (not full length)
A0A1I8HJB5	ITPR	InterPro	418	P3 418 aa < 2000 (not full length)
A0A1I8HM54	ITPR	InterPro	1721	P3 1721 aa < 2000 (not full length)
A0A1I8HNQ9	ITPR	InterPro	888	P3 888 aa < 2000 (not full length)
A0A1I8HTC7	ITPR	InterPro	1449	P3 1449 aa < 2000 (not full length)
A0A1I8HTI5	ITPR	InterPro	839	P3 839 aa < 2000 (not full length)
A0A1I8HTT3	ITPR	InterPro	1405	P3 1405 aa < 2000 (not full length)
A0A1I8HXV4	ITPR	InterPro	1102	P3 1102 aa < 2000 (not full length)
A0A1I8I1W7	ITPR	InterPro	611	P3 611 aa < 2000 (not full length)
A0A1I8IAB8	ITPR	InterPro	1814	P3 1814 aa < 2000 (not full length)
A0A1I8IDC1	ITPR	InterPro	1796	P3 1796 aa < 2000 (not full length)
A0A1I8IHP6	ITPR	InterPro	392	P3 392 aa < 2000 (not full length)
A0A1I8IP63	ITPR	InterPro	1167	P3 1167 aa < 2000 (not full length)
A0A1I8IQP1	unassigned	InterPro	113	P1 not a family call in census v6
A0A1I8IQR2	ITPR	InterPro	806	P3 806 aa < 2000 (not full length)
A0A1I8IWE4	ITPR	InterPro	1134	P3 1134 aa < 2000 (not full length)
A0A1I8JAW4	unassigned	InterPro	213	P1 not a family call in census v6
A0A1I8JCD5	ITPR	InterPro	256	P3 256 aa < 2000 (not full length)
A0A1I8JCI5	ITPR	InterPro	1794	P3 1794 aa < 2000 (not full length)
A0A1I8JD59	ITPR	InterPro	755	P3 755 aa < 2000 (not full length)
A0A1I8JIX6	unassigned	InterPro	190	P1 not a family call in census v6
A0A1I8JKV2	ITPR	InterPro	1501	P3 1501 aa < 2000 (not full length)
A0A1I8JL50	unassigned	InterPro	145	P1 not a family call in census v6
A0A1I8JRY4	RYR	InterPro	1192	P3 1192 aa < 2000 (not full length)
A0A1Q9CN86	conflict	InterPro	9504	P1 not a family call in census v6
A0A1R1Y337	unassigned	InterPro	530	P1 not a family call in census v6
