accession	species	group	tax_class	length	reviewed	census_call	census_confidence	gene	protein_name	seq_family	family_rel_margin	family_runner_up	itpr_bits	ryr_bits	paralog_askable	seq_paralog	paralog_rel_margin	paralog_runner_up	symbol_verdict	symbol_claim	name_verdict	name_claim	n_bait_hits	panel_reaches_claim	has_naming_pfam	n_family_pfam	arch_call	profile_call	instruments	sequence_resolved
A0A026W7Q8	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	Metazoa (non-vertebrate)	Insecta	5061	0	RYR	high	X777_09115	Ryanodine receptor 44F	RYR	0.9456	ITPR	173	3179	0	not_asked	0		placeholder		correct_paralog	RYR	38	1	1	4	RYR	RYR	v4+s20	1
A0A034VYQ7	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	Metazoa (non-vertebrate)	Insecta	5115	0	RYR	high	LOC105232171	Ryanodine receptor isoform X16	RYR	0.9449	ITPR	176	3194	0	not_asked	0		placeholder		correct_paralog	RYR	38	1	1	4	RYR	RYR	both	1
A0A034W1A0	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	Metazoa (non-vertebrate)	Insecta	5119	0	RYR	high	LOC105232171	Ryanodine receptor isoform X14	RYR	0.9448	ITPR	176	3189	0	not_asked	0		placeholder		correct_paralog	RYR	38	1	1	4	RYR	RYR	both	1
A0A034W1A4	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	Metazoa (non-vertebrate)	Insecta	5134	0	RYR	high	LOC105232171	Ryanodine receptor isoform X6	RYR	0.9448	ITPR	176	3189	0	not_asked	0		placeholder		correct_paralog	RYR	38	1	1	4	RYR	RYR	both	1
A0A034W289	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	Metazoa (non-vertebrate)	Insecta	5130	0	RYR	high	LOC105232171	Ryanodine receptor isoform X8	RYR	0.9449	ITPR	176	3192	0	not_asked	0		placeholder		correct_paralog	RYR	38	1	1	4	RYR	RYR	both	1
A0A058ZDJ2	Fonticula alba (Slime mold)	Eukaryota (other)		3443	0	ITPR	high	H696_01395	MIR domain-containing protein	ITPR	0.676	RYR	574	186	0	not_asked	0		placeholder		family_unnamed		38	1	1	4	ITPR	ITPR	v4+s20	1
A0A059XHF1	Chilo suppressalis (Asiatic rice borer moth)	Metazoa (non-vertebrate)	Insecta	5133	0	RYR	high	RyR	Ryanodine receptor	RYR	0.9461	ITPR	174	3227	0	not_asked	0		correct_paralog	RYR	correct_paralog	RYR	38	0	1	4	RYR	RYR	both	1
A0A059XLU6	Nilaparvata lugens (Brown planthopper)	Metazoa (non-vertebrate)	Insecta	5135	0	RYR	high	RyR	Ryanodine receptor	RYR	0.9434	ITPR	179	3163	0	not_asked	0		correct_paralog	RYR	correct_paralog	RYR	38	0	1	4	RYR	RYR	both	1
A0A059XMJ0	Helicoverpa armigera (Cotton bollworm) (Heliothis armigera)	Metazoa (non-vertebrate)	Insecta	5117	0	RYR	high	RyR	Ryanodine receptor	RYR	0.9445	ITPR	177	3192	0	not_asked	0		correct_paralog	RYR	correct_paralog	RYR	38	0	1	4	RYR	RYR	both	1
A0A059XRL5	Laodelphax striatellus (Small brown planthopper) (Delphax striatella)	Metazoa (non-vertebrate)	Insecta	5135	0	RYR	high	RyR	Ryanodine receptor	RYR	0.945	ITPR	174	3164	0	not_asked	0		correct_paralog	RYR	correct_paralog	RYR	38	0	1	4	RYR	RYR	both	1
A0A059XRP6	Spodoptera exigua (Beet armyworm) (Noctua fulgens)	Metazoa (non-vertebrate)	Insecta	5135	0	RYR	high	RyR	Ryanodine receptor	RYR	0.9439	ITPR	178	3175	0	not_asked	0		correct_paralog	RYR	correct_paralog	RYR	38	0	1	4	RYR	RYR	both	1
A0A059XRQ0	Sogatella furcifera (White-backed planthopper)	Metazoa (non-vertebrate)	Insecta	5128	0	RYR	high	RyR	Ryanodine receptor	RYR	0.9446	ITPR	175	3159	0	not_asked	0		correct_paralog	RYR	correct_paralog	RYR	38	0	1	4	RYR	RYR	both	1
A0A067C0I0	Saprolegnia parasitica (strain CBS 223.65)	SAR	Saprolegniomycetes	2700	0	ITPR	high	SPRG_22304	MIR domain-containing protein	ITPR	0.1713	RYR	181	150	0	not_asked	0		placeholder		family_unnamed		38	1	1	4	ITPR	ITPR	v4+s20	1
A0A067C1N9	Saprolegnia parasitica (strain CBS 223.65)	SAR	Saprolegniomycetes	2168	0	ITPR	high	SPRG_14004	RyR/IP3R Homology associated domain-containing protein	ITPR	0.5502	RYR	249	112	0	not_asked	0		placeholder		family_ambiguous	ITPR/RYR	38	1	0	2	ITPR	ITPR	v4+s20	1
A0A067C7T7	Saprolegnia parasitica (strain CBS 223.65)	SAR	Saprolegniomycetes	2775	0	ITPR	high	SPRG_12592	Uncharacterized protein	ITPR	0.3118	RYR	186	128	0	not_asked	0		placeholder		placeholder		38	1	1	3	ITPR	ITPR	v4+s20	1
A0A067CZC0	Saprolegnia parasitica (strain CBS 223.65)	SAR	Saprolegniomycetes	2875	0	ITPR	high	SPRG_00668	Uncharacterized protein	ITPR	0.3657	RYR	216	137	0	not_asked	0		placeholder		placeholder		38	1	1	2	ITPR	ITPR	v4+s20	1
A0A068Y0W3	Echinococcus multilocularis (Fox tapeworm)	Metazoa (non-vertebrate)	Cestoda	4760	0	RYR	high	EmuJ_000544400	Ryanodine receptor 44f	RYR	0.8417	ITPR	186	1175	0	not_asked	0		placeholder		correct_paralog	RYR	38	1	0	2	RYR	RYR	v4+s20	1
A0A074Z731	Opisthorchis viverrini (Southeast Asian liver fluke)	Metazoa (non-vertebrate)	Trematoda	2826	0	ITPR	high	T265_14735	Inositol 1,4,5-trisphosphate receptor	ITPR	0.7795	RYR	644	142	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	3	ITPR	ITPR	v4+s20	1
A0A075A5M8	Opisthorchis viverrini (Southeast Asian liver fluke)	Metazoa (non-vertebrate)	Trematoda	5727	0	RYR	high	T265_09254	Uncharacterized protein	RYR	0.8471	ITPR	159	1040	0	not_asked	0		placeholder		placeholder		38	1	0	3	RYR	RYR	v4+s20	1
A0A077YYA4	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	Metazoa (non-vertebrate)	Enoplea	2639	0	ITPR	high	TTRE_0000103301	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9023	RYR	1586	155	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	4	ITPR	ITPR	v4+s20	1
A0A077YYK0	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	Metazoa (non-vertebrate)	Enoplea	5172	0	RYR	high	TTRE_0000115801	Ryanodine receptor	RYR	0.9192	ITPR	172	2130	0	not_asked	0		placeholder		correct_paralog	RYR	38	1	1	4	RYR	RYR	v4+s20	1
A0A077ZVT6	Stylonychia lemnae (Ciliate)	SAR	Spirotrichea	3398	0	ITPR	high	Contig10331.g11023	Inositol-triphosphate receptor	ITPR	0.1642	RYR	201	168	0	not_asked	0		placeholder		family_unnamed		38	1	1	3	ITPR	ITPR	v4+s20	1
A0A077ZYI0	Stylonychia lemnae (Ciliate)	SAR	Spirotrichea	2799	0	ITPR	high	Contig4758.g5084	RyR/IP3R Homology associated domain-containing protein	ITPR	0.1944	RYR	144	116	0	not_asked	0		placeholder		family_ambiguous	ITPR/RYR	38	1	0	1	unassigned	ITPR	v4+s20	1
A0A078A1U0	Stylonychia lemnae (Ciliate)	SAR	Spirotrichea	3530	0	ITPR	high	Contig1440.g1580	Cation channel family protein	ITPR	0.2178	RYR	225	176	0	not_asked	0		placeholder		family_unnamed		38	1	1	2	ITPR	ITPR	v4+s20	1
A0A078A4T9	Stylonychia lemnae (Ciliate)	SAR	Spirotrichea	2116	0	ITPR	high	Contig15245.g16249	Uncharacterized protein	ITPR	0.2471	RYR	174	131	0	not_asked	0		placeholder		placeholder		38	1	0	1	unassigned	ITPR	v4+s20	1
A0A078A8I0	Stylonychia lemnae (Ciliate)	SAR	Spirotrichea	2894	0	ITPR	high	Contig9742.g10423	Cation channel family protein	ITPR	0.3357	RYR	280	186	0	not_asked	0		placeholder		family_unnamed		38	1	1	4	ITPR	ITPR	v4+s20	1
A0A078ASZ8	Stylonychia lemnae (Ciliate)	SAR	Spirotrichea	2773	0	ITPR	high	Contig10368.g11065	Cation channel family protein	ITPR	0.6229	RYR	480	181	0	not_asked	0		placeholder		family_unnamed		38	1	1	4	ITPR	ITPR	v4+s20	1
A0A084W6J0	Anopheles sinensis (Mosquito)	Metazoa (non-vertebrate)	Insecta	2987	0	ITPR	high		Inositol 1,4,5-trisphosphate receptor	ITPR	0.9203	RYR	1845	147	0	not_asked	0		absent		correct_paralog	ITPR	38	1	1	4	ITPR	ITPR	v4+s20	1
A0A084WAS3	Anopheles sinensis (Mosquito)	Metazoa (non-vertebrate)	Insecta	5077	0	RYR	high		Uncharacterized protein	RYR	0.9434	ITPR	180	3178	0	not_asked	0		absent		placeholder		38	1	1	4	RYR	RYR	v4+s20	1
A0A085LRI9	Trichuris suis (pig whipworm)	Metazoa (non-vertebrate)	Enoplea	5145	0	RYR	high	M513_11549	Ryanodine receptor 44F	RYR	0.9156	ITPR	181	2144	0	not_asked	0		placeholder		correct_paralog	RYR	38	1	1	4	RYR	RYR	v4+s20	1
A0A087XJU3	Poecilia formosa (Amazon molly) (Limia formosa)	Vertebrata	Actinopteri	2426	0	ITPR	high		Inositol 1,4,5-trisphosphate receptor	ITPR	0.9602	RYR	4292	171	1	ITPR1	0.2435	ITPR2	absent		paralog_unspecified	ITPR	38	1	0	3	ITPR	ITPR	both	1
A0A087XLG9	Poecilia formosa (Amazon molly) (Limia formosa)	Vertebrata	Actinopteri	3549	0	RYR	high		Uncharacterized protein	RYR	0.9718	ITPR	177	6269	1	RYR2	0.2361	RYR1	absent		placeholder		38	1	0	2	RYR	RYR	both	1
A0A087XPK2	Poecilia formosa (Amazon molly) (Limia formosa)	Vertebrata	Actinopteri	2693	0	ITPR	high		Inositol 1,4,5-trisphosphate receptor	ITPR	0.9632	RYR	4914	181	1	ITPR1	0.278	ITPR2	absent		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A087Y437	Poecilia formosa (Amazon molly) (Limia formosa)	Vertebrata	Actinopteri	4867	0	RYR	high		Ryanodine receptor 3 (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodin	RYR	0.9639	ITPR	177	4902	1	no_call	0.0239	RYR1	absent		correct_paralog	RYR3	38	1	1	4	RYR	RYR	both	1
A0A087YBV3	Poecilia formosa (Amazon molly) (Limia formosa)	Vertebrata	Actinopteri	4258	0	RYR	high		Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	RYR	0.9728	ITPR	181	6660	1	no_call	0.0873	RYR1	absent		correct_paralog	RYR	38	1	0	2	RYR	RYR	both	1
A0A087YDC8	Poecilia formosa (Amazon molly) (Limia formosa)	Vertebrata	Actinopteri	2684	0	ITPR	high		Inositol 1,4,5-trisphosphate receptor	ITPR	0.9613	RYR	4367	169	1	ITPR2	0.2063	ITPR1	absent		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A087YHP3	Poecilia formosa (Amazon molly) (Limia formosa)	Vertebrata	Actinopteri	4852	0	RYR	high		Ryanodine receptor 3	RYR	0.9631	ITPR	178	4823	1	no_call	0.022	RYR1	absent		correct_paralog	RYR	38	1	1	4	RYR	RYR	both	1
A0A087YKM4	Poecilia formosa (Amazon molly) (Limia formosa)	Vertebrata	Actinopteri	4896	0	RYR	high		Ryanodine receptor 2	RYR	0.9613	ITPR	171	4419	1	RYR2	0.1276	RYR1	absent		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A087YMU7	Poecilia formosa (Amazon molly) (Limia formosa)	Vertebrata	Actinopteri	4998	0	RYR	high		Ryanodine receptor 1	RYR	0.9784	ITPR	177	8208	1	RYR1	0.1706	RYR2	absent		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A089FYX0	Grapholitha molesta	Metazoa (non-vertebrate)	Insecta	5133	0	RYR	high		Ryanodine receptor	RYR	0.9455	ITPR	174	3193	0	not_asked	0		absent		correct_paralog	RYR	38	1	1	4	RYR	RYR	both	1
A0A090KQI1	Strongyloides ratti (Parasitic roundworm)	Metazoa (non-vertebrate)	Chromadorea	2979	0	ITPR	high	SRAE_X000152300	Inositol 1,4,5-trisphosphate receptor	ITPR	0.8643	RYR	1172	159	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	4	ITPR	ITPR	v4+s20	1
A0A090MUA7	Strongyloides ratti (Parasitic roundworm)	Metazoa (non-vertebrate)	Chromadorea	5303	0	RYR	high	SRAE_1000038700	Ryanodine receptor 1	RYR	0.9058	ITPR	174	1848	0	not_asked	0		placeholder		correct_paralog	RYR	38	1	1	4	RYR	RYR	v4+s20	1
A0A091CU82	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	Vertebrata	Mammalia	2857	0	ITPR	high	H920_17057	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9683	RYR	5109	162	1	ITPR1	0.3085	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A091CUD0	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	Vertebrata	Mammalia	2613	0	ITPR	high	H920_15467	Inositol 1,4,5-trisphosphate receptor	ITPR	0.966	RYR	4083	139	1	ITPR3	0.4225	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A091DH65	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	Vertebrata	Mammalia	4775	0	RYR	high	H920_08983	Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	RYR	0.9727	ITPR	179	6563	1	no_call	0.0401	RYR2	placeholder		correct_paralog	RYR	38	1	1	4	RYR	RYR	both	1
A0A091DQ63	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	Vertebrata	Mammalia	4980	0	RYR	high	H920_04388	Ryanodine receptor 2	RYR	0.9822	ITPR	178	9997	1	RYR2	0.3076	RYR1	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A091DQZ5	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	Vertebrata	Mammalia	4208	0	RYR	high	H920_05514	Ryanodine receptor 3	RYR	0.9819	ITPR	73.2	4045	1	no_call	0.0316	RYR1	placeholder		correct_paralog	RYR	38	1	0	3	RYR	RYR	both	1
A0A091DZN5	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	Vertebrata	Mammalia	2780	0	ITPR	high	H920_02006	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9675	RYR	5409	176	1	ITPR2	0.3073	ITPR1	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A091F903	Corvus brachyrhynchos (American crow)	Vertebrata	Aves	2663	0	ITPR	high	N302_05177	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9643	RYR	4952	177	1	ITPR2	0.3025	ITPR1	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A091GC17	Cuculus canorus (Common cuckoo)	Vertebrata	Aves	2957	0	RYR	high	N303_00742	Ryanodine receptor 2	RYR	0.9874	ITPR	76.6	6089	1	RYR2	0.3073	RYR1	placeholder		paralog_unspecified	RYR	27	1	0	2	RYR	RYR	both	1
A0A091HSL2	Calypte anna (Anna's hummingbird) (Archilochus anna)	Vertebrata	Aves	2675	0	ITPR	high	N300_07903	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9646	RYR	5060	179	1	ITPR2	0.301	ITPR1	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A091IH39	Calypte anna (Anna's hummingbird) (Archilochus anna)	Vertebrata	Aves	2706	0	ITPR	high	N300_04391	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9679	RYR	5237	168	1	ITPR1	0.3279	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A091IQT4	Egretta garzetta (Little egret)	Vertebrata	Aves	2655	0	ITPR	high	Z169_15590	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9657	RYR	5109	175	1	ITPR2	0.3116	ITPR1	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A091JMH3	Egretta garzetta (Little egret)	Vertebrata	Aves	2722	0	ITPR	high	Z169_04880	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9672	RYR	5308	174	1	ITPR1	0.3267	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A091KHQ0	Chlamydotis macqueenii (Macqueen's bustard)	Vertebrata	Aves	2688	0	ITPR	high	N324_08499	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9664	RYR	5207	175	1	ITPR1	0.3328	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A091LRX3	Cariama cristata (Red-legged seriema)	Vertebrata	Aves	3275	0	RYR	high	N322_11888	Ryanodine receptor 3	RYR	0.9854	ITPR	49.7	3408	1	no_call	0.0117	RYR1	placeholder		correct_paralog	RYR	14	1	0	1	RYR	RYR	both	1
A0A091R441	Merops nubicus (Northern carmine bee-eater)	Vertebrata	Aves	3600	0	RYR	high	N331_12283	Ryanodine receptor 2	RYR	0.985	ITPR	111	7395	1	RYR2	0.3045	RYR1	placeholder		paralog_unspecified	RYR	38	1	1	3	RYR	RYR	both	1
A0A091S5A7	Nestor notabilis (Kea)	Vertebrata	Aves	2753	0	ITPR	high	N333_13397	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9681	RYR	5424	173	1	ITPR1	0.3328	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A091VJR8	Opisthocomus hoazin (Hoatzin) (Phasianus hoazin)	Vertebrata	Aves	2719	0	ITPR	high	N306_02092	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9674	RYR	5331	174	1	ITPR1	0.3288	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A091VN25	Nipponia nippon (Crested ibis) (Ibis nippon)	Vertebrata	Aves	4904	0	RYR	high	Y956_00196	Ryanodine receptor 2	RYR	0.9823	ITPR	178	10041	1	RYR2	0.3099	RYR1	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A091VW56	Opisthocomus hoazin (Hoatzin) (Phasianus hoazin)	Vertebrata	Aves	4847	0	RYR	high	N306_10800	Ryanodine receptor 3	RYR	0.9651	ITPR	174	4979	1	no_call	0.0102	RYR1	placeholder		correct_paralog	RYR	38	1	1	4	RYR	RYR	both	1
A0A091X8F0	Opisthocomus hoazin (Hoatzin) (Phasianus hoazin)	Vertebrata	Aves	4899	0	RYR	high	N306_02740	Ryanodine receptor 2	RYR	0.9821	ITPR	178	9967	1	RYR2	0.3074	RYR1	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A093D6H4	Tauraco erythrolophus (Red-crested turaco)	Vertebrata	Aves	4697	0	RYR	high	N340_04650	Ryanodine receptor 2	RYR	0.9815	ITPR	178	9621	1	RYR2	0.3126	RYR1	placeholder		paralog_unspecified	RYR	38	1	0	3	RYR	RYR	both	1
A0A093F0L4	Tyto alba (Barn owl)	Vertebrata	Aves	3462	0	RYR	high	N341_05808	Ryanodine receptor 3	RYR	0.9636	ITPR	116	3183	1	no_call	0.0025	RYR2	placeholder		correct_paralog	RYR	38	1	1	3	RYR	RYR	both	1
A0A093FBH3	Tyto alba (Barn owl)	Vertebrata	Aves	2928	0	RYR	high	N341_01349	Ryanodine receptor 2	RYR	1		0	6042	1	RYR2	0.3062	RYR1	placeholder		paralog_unspecified	RYR	8	1	0	1	RYR	RYR	both	1
A0A093HD50	Struthio camelus australis	Vertebrata	Aves	2724	0	ITPR	high	N308_11477	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9657	RYR	5132	176	1	ITPR3	0.3418	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A093IXR1	Dryobates pubescens (Downy woodpecker) (Picoides pubescens)	Vertebrata	Aves	2648	0	ITPR	high	N307_03960	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9631	RYR	4803	177	1	ITPR2	0.2854	ITPR1	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A093P2T4	Pygoscelis adeliae (Adelie penguin)	Vertebrata	Aves	4899	0	RYR	high	AS28_13961	Ryanodine receptor 2	RYR	0.9823	ITPR	178	10043	1	RYR2	0.3101	RYR1	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A093P5H9	Pygoscelis adeliae (Adelie penguin)	Vertebrata	Aves	2701	0	ITPR	high	AS28_04633	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9532	RYR	3737	175	1	ITPR3	0.121	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A093PTB1	Manacus vitellinus (golden-collared manakin)	Vertebrata	Aves	2658	0	ITPR	high	N305_00438	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9651	RYR	5043	176	1	ITPR2	0.2992	ITPR1	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A093Q1S2	Manacus vitellinus (golden-collared manakin)	Vertebrata	Aves	2743	0	ITPR	high	N305_14736	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9674	RYR	5332	174	1	ITPR1	0.3284	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A093Q3N4	Phalacrocorax carbo (Great cormorant) (Pelecanus carbo)	Vertebrata	Aves	2627	0	RYR	high	N336_07644	Ryanodine receptor 2	RYR	1		0	5362	1	RYR2	0.3243	RYR1	placeholder		paralog_unspecified	RYR	8	1	0	1	RYR	RYR	both	1
A0A096LQ05	Poecilia formosa (Amazon molly) (Limia formosa)	Vertebrata	Actinopteri	2719	0	ITPR	high		Inositol 1,4,5-trisphosphate receptor	ITPR	0.9641	RYR	5019	180	1	ITPR1	0.265	ITPR2	absent		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A096LTL1	Poecilia formosa (Amazon molly) (Limia formosa)	Vertebrata	Actinopteri	2692	0	ITPR	high		Inositol 1,4,5-trisphosphate receptor	ITPR	0.963	RYR	4617	171	1	ITPR1	0.209	ITPR2	absent		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A096LXQ1	Poecilia formosa (Amazon molly) (Limia formosa)	Vertebrata	Actinopteri	2680	0	ITPR	high		Inositol 1,4,5-trisphosphate receptor	ITPR	0.9638	RYR	4611	167	1	ITPR3	0.2644	ITPR2	absent		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A096M0N2	Poecilia formosa (Amazon molly) (Limia formosa)	Vertebrata	Actinopteri	4949	0	RYR	high		Ryanodine receptor 3	RYR	0.9737	ITPR	178	6779	1	RYR2	0.3089	RYR1	absent		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A096MV95	Papio anubis (Olive baboon)	Vertebrata	Mammalia	2738	0	ITPR	high		Inositol 1,4,5-trisphosphate receptor	ITPR	0.9691	RYR	5665	175	1	ITPR1	0.3313	ITPR2	absent		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A096NBX6	Papio anubis (Olive baboon)	Vertebrata	Mammalia	2705	0	ITPR	high		Inositol 1,4,5-trisphosphate receptor	ITPR	0.9694	RYR	5596	171	1	ITPR2	0.3211	ITPR1	absent		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A096NHJ8	Papio anubis (Olive baboon)	Vertebrata	Mammalia	2671	0	ITPR	high		Inositol 1,4,5-trisphosphate receptor	ITPR	0.9691	RYR	5531	171	1	ITPR3	0.365	ITPR2	absent		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
