correction_id	side	cls	class_rule	priority	priority_reason	vetoed	veto_reason	assembly	source	organism	vclass	cell	contig	start	end	strand	current_state	current_name	current_biotype	coverage	best_model_frac	union_coding_frac	contig_spans_gene	integrity_verdict	proposal	evidence
GCA_011823955.1:RYR:4	genome	C3_incomplete	the annotated coding models deliver less than the bar	medium	gene recovered at coverage 1.00; integrity elevated_lesions	1	S15 scored the reading frame lesion-rich (D6) — reported, not proposed	GCA_011823955.1	GenBank	Dissostichus mawsoni	Actinopteri	RYR	JAAKFY010000019.1	13853216	13935566	+	fragmentary	F7725_023892	protein_coding	1	0.1917	0.1917	1	elevated_lesions	1 coding model(s) deliver 0.19 of the gene, best alone 0.19; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_011823955.1/miniprot.gff (model over JAAKFY010000019.1:13853216-13935566)
GCA_013389825.1:ITPR1:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013389825.1	GenBank	Crypturellus undulatus	Aves	ITPR1	VWPW01023980.1	74623	225975	+	fragmentary	Itpr1_1	protein_coding	1	0.103	0.1325	0	intact	2 coding model(s) deliver 0.13 of the gene, best alone 0.10; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013389825.1/miniprot.gff (model over VWPW01023980.1:74623-225975)
GCA_013389825.1:ITPR2:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013389825.1	GenBank	Crypturellus undulatus	Aves	ITPR2	VWPW01014676.1	286425	522703	-	fragmentary	Itpr2_1	protein_coding	1	0.1053	0.1357	0	intact	2 coding model(s) deliver 0.14 of the gene, best alone 0.11; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013389825.1/miniprot.gff (model over VWPW01014676.1:286425-522703)
GCA_013389825.1:RYR:1	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013389825.1	GenBank	Crypturellus undulatus	Aves	RYR	VWPW01021686.1	6388	188083	-	fragmentary	Ryr3_0	protein_coding	1	0.0344	0.0715	0	intact	3 coding model(s) deliver 0.07 of the gene, best alone 0.03; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013389825.1/miniprot.gff (model over VWPW01021686.1:6388-188083)
GCA_013389885.1:ITPR1:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013389885.1	GenBank	Geococcyx californianus	Aves	ITPR1	VWPV01004098.1	11933	181147	-	fragmentary	Itpr1_1	protein_coding	1	0.103	0.1325	0	intact	2 coding model(s) deliver 0.13 of the gene, best alone 0.10; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013389885.1/miniprot.gff (model over VWPV01004098.1:11933-181147)
GCA_013389885.1:RYR:1	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013389885.1	GenBank	Geococcyx californianus	Aves	RYR	VWPV01031520.1	759	103791	-	fragmentary	Ryr3_2	protein_coding	0.5634	0.0606	0.0771	0	not_scored	2 coding model(s) deliver 0.08 of the gene, best alone 0.06; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013389885.1/miniprot.gff (model over VWPV01031520.1:759-103791)
GCA_013389965.1:ITPR3:0	genome	C2_noncoding_only	the annotation names the gene and files it as non-coding, so no protein is served	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013389965.1	GenBank	Todus mexicanus	Aves	ITPR3	WEIS01036230.1	1967	48807	+	noncoding	TODMEX_R03131	pseudogene	1	0	0	0	intact	the locus is held only by 1 non-coding feature(s) (pseudogene); the alignment gives a coding model over the same exons	<data_root>/genome_sweep/GCA_013389965.1/miniprot.gff (model over WEIS01036230.1:1967-48807)
GCA_013389965.1:RYR:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013389965.1	GenBank	Todus mexicanus	Aves	RYR	WEIS01025216.1	1	35164	-	fragmentary	Ryr1_0	protein_coding	0.8074	0.0118	0.0118	0	intact	1 coding model(s) deliver 0.01 of the gene, best alone 0.01; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013389965.1/miniprot.gff (model over WEIS01025216.1:1-35164)
GCA_013389985.1:ITPR1:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013389985.1	GenBank	Dryoscopus gambensis	Aves	ITPR1	WEIT01025007.1	6149	161000	+	fragmentary	Itpr1_1	protein_coding	1	0.0976	0.1638	0	intact	3 coding model(s) deliver 0.16 of the gene, best alone 0.10; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013389985.1/miniprot.gff (model over WEIT01025007.1:6149-161000)
GCA_013389985.1:ITPR2:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013389985.1	GenBank	Dryoscopus gambensis	Aves	ITPR2	WEIT01016686.1	1	169312	+	fragmentary	Itpr2	protein_coding	0.763	0.0399	0.0399	0	intact	1 coding model(s) deliver 0.04 of the gene, best alone 0.04; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013389985.1/miniprot.gff (model over WEIT01016686.1:1-169312)
GCA_013389985.1:ITPR3:0	genome	C2_noncoding_only	the annotation names the gene and files it as non-coding, so no protein is served	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013389985.1	GenBank	Dryoscopus gambensis	Aves	ITPR3	WEIT01027115.1	18120	55110	+	noncoding	DRYGAM_R08247	pseudogene	1	0	0	0	intact	the locus is held only by 1 non-coding feature(s) (pseudogene); the alignment gives a coding model over the same exons	<data_root>/genome_sweep/GCA_013389985.1/miniprot.gff (model over WEIT01027115.1:18120-55110)
GCA_013390065.1:ITPR1:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013390065.1	GenBank	Chloropsis hardwickii	Aves	ITPR1	WEIW01000372.1	584206	736259	+	fragmentary	Itpr1_1	protein_coding	1	0.1023	0.132	0	intact	2 coding model(s) deliver 0.13 of the gene, best alone 0.10; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013390065.1/miniprot.gff (model over WEIW01000372.1:584206-736259)
GCA_013390065.1:ITPR2:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013390065.1	GenBank	Chloropsis hardwickii	Aves	ITPR2	WEIW01000437.1	216914	459762	-	fragmentary	Itpr2_1	protein_coding	1	0.1051	0.1354	0	intact	2 coding model(s) deliver 0.14 of the gene, best alone 0.11; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013390065.1/miniprot.gff (model over WEIW01000437.1:216914-459762)
GCA_013390065.1:ITPR3:0	genome	C2_noncoding_only	the annotation names the gene and files it as non-coding, so no protein is served	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013390065.1	GenBank	Chloropsis hardwickii	Aves	ITPR3	WEIW01003401.1	12699	37703	-	noncoding	CHLHAR_R12659	pseudogene	0.9337	0	0	0	intact	the locus is held only by 1 non-coding feature(s) (pseudogene); the alignment gives a coding model over the same exons	<data_root>/genome_sweep/GCA_013390065.1/miniprot.gff (model over WEIW01003401.1:12699-37703)
GCA_013390065.1:RYR:0	genome	C2_noncoding_only	the annotation names the gene and files it as non-coding, so no protein is served	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013390065.1	GenBank	Chloropsis hardwickii	Aves	RYR	WEIW01000007.1	603461	986066	-	noncoding	CHLHAR_R11689	pseudogene	1	0	0	0	intact	the locus is held only by 1 non-coding feature(s) (pseudogene); the alignment gives a coding model over the same exons	<data_root>/genome_sweep/GCA_013390065.1/miniprot.gff (model over WEIW01000007.1:603461-986066)
GCA_013390065.1:RYR:1	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013390065.1	GenBank	Chloropsis hardwickii	Aves	RYR	WEIW01000336.1	3014	195968	+	fragmentary	Ryr3_1	protein_coding	1	0.0345	0.0812	0	intact	4 coding model(s) deliver 0.08 of the gene, best alone 0.03; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013390065.1/miniprot.gff (model over WEIW01000336.1:3014-195968)
GCA_013396355.1:ITPR1:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396355.1	GenBank	Menura novaehollandiae	Aves	ITPR1	VWPS01000057.1	1454359	1609868	-	fragmentary	Itpr1_1	protein_coding	1	0.103	0.1329	0	intact	2 coding model(s) deliver 0.13 of the gene, best alone 0.10; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396355.1/miniprot.gff (model over VWPS01000057.1:1454359-1609868)
GCA_013396355.1:ITPR2:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396355.1	GenBank	Menura novaehollandiae	Aves	ITPR2	VWPS01000128.1	596224	815047	+	fragmentary	Itpr2_1	protein_coding	1	0.1051	0.1354	0	intact	2 coding model(s) deliver 0.14 of the gene, best alone 0.11; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396355.1/miniprot.gff (model over VWPS01000128.1:596224-815047)
GCA_013396355.1:ITPR3:0	genome	C2_noncoding_only	the annotation names the gene and files it as non-coding, so no protein is served	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396355.1	GenBank	Menura novaehollandiae	Aves	ITPR3	VWPS01000164.1	595136	635528	-	noncoding	MENNOV_R13731	pseudogene	1	0	0	0	intact	the locus is held only by 1 non-coding feature(s) (pseudogene); the alignment gives a coding model over the same exons	<data_root>/genome_sweep/GCA_013396355.1/miniprot.gff (model over VWPS01000164.1:595136-635528)
GCA_013396355.1:RYR:1	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396355.1	GenBank	Menura novaehollandiae	Aves	RYR	VWPS01000022.1	4514479	4727368	-	fragmentary	Ryr3_2	protein_coding	1	0.0344	0.1112	0	intact	5 coding model(s) deliver 0.11 of the gene, best alone 0.03; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396355.1/miniprot.gff (model over VWPS01000022.1:4514479-4727368)
GCA_013396465.1:ITPR1:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396465.1	GenBank	Smithornis capensis	Aves	ITPR1	VWYW01000920.1	2801	137380	+	fragmentary	Itpr1_1	protein_coding	0.9712	0.1127	0.2188	0	intact	2 coding model(s) deliver 0.22 of the gene, best alone 0.11; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396465.1/miniprot.gff (model over VWYW01000920.1:2801-137380)
GCA_013396465.1:ITPR2:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396465.1	GenBank	Smithornis capensis	Aves	ITPR2	VWYW01000229.1	449541	677297	+	fragmentary	Itpr2_1	protein_coding	1	0.1053	0.1357	0	intact	2 coding model(s) deliver 0.14 of the gene, best alone 0.11; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396465.1/miniprot.gff (model over VWYW01000229.1:449541-677297)
GCA_013396465.1:RYR:1	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396465.1	GenBank	Smithornis capensis	Aves	RYR	VWYW01000072.1	911143	1129658	-	fragmentary	Ryr3_1	protein_coding	1	0.0346	0.0807	0	intact	4 coding model(s) deliver 0.08 of the gene, best alone 0.03; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396465.1/miniprot.gff (model over VWYW01000072.1:911143-1129658)
GCA_013396485.1:ITPR1:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396485.1	GenBank	Ptilorrhoa leucosticta	Aves	ITPR1	VWYY01001129.1	8355	148788	+	fragmentary	Itpr1_0	protein_coding	0.8395	0.1223	0.1223	0	intact	1 coding model(s) deliver 0.12 of the gene, best alone 0.12; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396485.1/miniprot.gff (model over VWYY01001129.1:8355-148788)
GCA_013396485.1:ITPR2:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396485.1	GenBank	Ptilorrhoa leucosticta	Aves	ITPR2	VWYY01000731.1	1727	219592	+	fragmentary	Itpr2_1	protein_coding	0.9885	0.1064	0.137	0	intact	2 coding model(s) deliver 0.14 of the gene, best alone 0.11; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396485.1/miniprot.gff (model over VWYY01000731.1:1727-219592)
GCA_013396485.1:ITPR3:0	genome	C1_unannotated	a recovered gene with no same-strand annotated feature	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396485.1	GenBank	Ptilorrhoa leucosticta	Aves	ITPR3	VWYY01003676.1	3	11749	-	unannotated	(none)		0.5311	0	0	0	not_scored	add a protein-coding gene model over the 4239 bp of aligned coding sequence on VWYY01003676.1:3-11749 (-)	<data_root>/genome_sweep/GCA_013396485.1/miniprot.gff (model over VWYY01003676.1:3-11749)
GCA_013396485.1:RYR:1	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396485.1	GenBank	Ptilorrhoa leucosticta	Aves	RYR	VWYY01000118.1	1297525	1497345	-	fragmentary	Ryr3_1	protein_coding	1	0.0343	0.0802	0	intact	4 coding model(s) deliver 0.08 of the gene, best alone 0.03; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396485.1/miniprot.gff (model over VWYY01000118.1:1297525-1497345)
GCA_013396675.1:ITPR2:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396675.1	GenBank	Eubucco bourcierii	Aves	ITPR2	VWZE01018369.1	1271	131764	+	fragmentary	Itpr2	protein_coding	0.6381	0.04	0.04	0	not_scored	1 coding model(s) deliver 0.04 of the gene, best alone 0.04; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396675.1/miniprot.gff (model over VWZE01018369.1:1271-131764)
GCA_013396675.1:RYR:1	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396675.1	GenBank	Eubucco bourcierii	Aves	RYR	VWZE01015450.1	306854	551883	+	fragmentary	Ryr3_2	protein_coding	1	0.0341	0.1076	0	intact	5 coding model(s) deliver 0.11 of the gene, best alone 0.03; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396675.1/miniprot.gff (model over VWZE01015450.1:306854-551883)
GCA_013396835.1:ITPR1:0	genome	C2_noncoding_only	the annotation names the gene and files it as non-coding, so no protein is served	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396835.1	GenBank	Psilopogon haemacephalus	Aves	ITPR1	VWZI01023573.1	1704	107607	+	noncoding	PSIHAE_R07019	pseudogene	0.8178	0	0	0	intact	the locus is held only by 1 non-coding feature(s) (pseudogene); the alignment gives a coding model over the same exons	<data_root>/genome_sweep/GCA_013396835.1/miniprot.gff (model over VWZI01023573.1:1704-107607)
GCA_013396835.1:ITPR2:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396835.1	GenBank	Psilopogon haemacephalus	Aves	ITPR2	VWZI01001715.1	61011	162135	+	fragmentary	Itpr2_0	protein_coding	0.5256	0.2004	0.2004	0	not_scored	1 coding model(s) deliver 0.20 of the gene, best alone 0.20; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396835.1/miniprot.gff (model over VWZI01001715.1:61011-162135)
GCA_013396835.1:ITPR3:0	genome	C2_noncoding_only	the annotation names the gene and files it as non-coding, so no protein is served	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396835.1	GenBank	Psilopogon haemacephalus	Aves	ITPR3	VWZI01004865.1	499854	631096	-	noncoding	PSIHAE_R03075	pseudogene	1	0	0	0	intact	the locus is held only by 1 non-coding feature(s) (pseudogene); the alignment gives a coding model over the same exons	<data_root>/genome_sweep/GCA_013396835.1/miniprot.gff (model over VWZI01004865.1:499854-631096)
GCA_013396835.1:RYR:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396835.1	GenBank	Psilopogon haemacephalus	Aves	RYR	VWZI01009657.1	287938	514786	+	fragmentary	Ryr3_1	protein_coding	1	0.0345	0.0811	0	intact	4 coding model(s) deliver 0.08 of the gene, best alone 0.03; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396835.1/miniprot.gff (model over VWZI01009657.1:287938-514786)
GCA_013396835.1:RYR:1	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396835.1	GenBank	Psilopogon haemacephalus	Aves	RYR	VWZI01019360.1	1284	135498	+	fragmentary	Ryr2_1	protein_coding	0.6679	0.0518	0.0843	0	not_scored	2 coding model(s) deliver 0.08 of the gene, best alone 0.05; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396835.1/miniprot.gff (model over VWZI01019360.1:1284-135498)
GCA_013396875.1:ITPR1:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396875.1	GenBank	Vireo altiloquus	Aves	ITPR1	VZRF01009815.1	164036	324131	+	fragmentary	Itpr1_1	protein_coding	1	0.103	0.1329	0	intact	2 coding model(s) deliver 0.13 of the gene, best alone 0.10; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396875.1/miniprot.gff (model over VZRF01009815.1:164036-324131)
GCA_013396875.1:ITPR2:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396875.1	GenBank	Vireo altiloquus	Aves	ITPR2	VZRF01000017.1	33571	274938	+	fragmentary	Itpr2	protein_coding	1	0.0304	0.0304	0	intact	1 coding model(s) deliver 0.03 of the gene, best alone 0.03; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396875.1/miniprot.gff (model over VZRF01000017.1:33571-274938)
GCA_013396875.1:RYR:1	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396875.1	GenBank	Vireo altiloquus	Aves	RYR	VZRF01009222.1	594031	799678	-	fragmentary	Ryr3_1	protein_coding	1	0.0217	0.0458	0	intact	3 coding model(s) deliver 0.05 of the gene, best alone 0.02; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396875.1/miniprot.gff (model over VZRF01009222.1:594031-799678)
GCA_013396935.1:ITPR1:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396935.1	GenBank	Baryphthengus martii	Aves	ITPR1	VWZK01014558.1	16091	127741	-	fragmentary	Itpr1_1	protein_coding	0.6715	0.1535	0.1535	0	not_scored	1 coding model(s) deliver 0.15 of the gene, best alone 0.15; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396935.1/miniprot.gff (model over VWZK01014558.1:16091-127741)
GCA_013396935.1:ITPR2:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_013396935.1	GenBank	Baryphthengus martii	Aves	ITPR2	VWZK01012176.1	17477	248521	+	fragmentary	Itpr2_1	protein_coding	0.9885	0.1062	0.1368	0	intact	2 coding model(s) deliver 0.14 of the gene, best alone 0.11; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_013396935.1/miniprot.gff (model over VWZK01012176.1:17477-248521)
