accession	call	confidence	reason	arch_call	symbol_class	conflict	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	source
A0A016VVL2	unassigned	none	itpr_arch_weak=2/5	unassigned		0	Acey_s0004.g2120	Ion transport domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	864	0		0	Predicted	1	PF08454	PF00520;PF08454	2		both
A0A016VVL8	ITPR	medium	itpr_arch_partial=3/5;length_in_band	ITPR		0	Acey_s0004.g2123	Inositol 1,4,5-trisphosphate receptor	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	2004	1		0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		both
A0A016VWG3	unassigned	none	itpr_arch_weak=2/5	unassigned		0	Acey_s0004.g2120	Ion transport domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	849	0		0	Predicted	1	PF08454	PF00520;PF08454	2		both
A0A016VWG9	unassigned	none	itpr_arch_partial=3/5	unassigned		0	Acey_s0004.g2123	Inositol 1,4,5-trisphosphate receptor	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	1843	0		0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		both
A0A016VX74	unassigned	none	itpr_arch_weak=2/5	unassigned		0	Acey_s0004.g2120	Ion transport domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	867	0		0	Predicted	1	PF08454	PF00520;PF08454	2		both
A0A016VX80	ITPR	medium	itpr_arch_partial=3/5;length_in_band	ITPR		0	Acey_s0004.g2123	Inositol 1,4,5-trisphosphate receptor	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	2012	1		0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		both
A0A023F2G4	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Triatoma infestans (Assassin bug)	30076	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hemiptera	Reduviidae	2724	1		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A023F678	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Putative ca2+ release channel ryanodine receptor	Triatoma infestans (Assassin bug)	30076	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hemiptera	Reduviidae	5065	0	fragment	0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A023NE85	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor	Leptinotarsa decemlineata (Colorado potato beetle) (Doryphora decemlineata)	7539	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Coleoptera	Chrysomelidae	5128	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A023NEE5	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor	Sogatella furcifera (White-backed planthopper)	113103	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hemiptera	Delphacidae	5128	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A023UJ66	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RyR	Ryanodine receptor	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	27457	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	5140	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A026VRJ2	unassigned	none	itpr_arch_weak=1/5	unassigned		0	X777_00206	Ryanodine receptor 44F	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	2015173	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	354	0	fragment	0	Predicted	1	PF01365	PF01365	1		both
A0A026VT77	ITPR	high	itpr_arch_complete	ITPR		0	X777_00544	Inositol 1,4,5-trisphosphate receptor	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	2015173	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	2719	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A026W7Q8	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0	X777_09115	Ryanodine receptor 44F	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	2015173	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	5061	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A034VYQ7	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0	LOC105232171	Ryanodine receptor isoform X16	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	27457	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	5115	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A034W1A0	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0	LOC105232171	Ryanodine receptor isoform X14	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	27457	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	5119	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A034W1A4	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0	LOC105232171	Ryanodine receptor isoform X6	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	27457	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	5134	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A034W289	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0	LOC105232171	Ryanodine receptor isoform X8	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	27457	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	5130	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A058ZDJ2	ITPR	high	itpr_arch_complete	ITPR		0	H696_01395	MIR domain-containing protein	Fonticula alba (Slime mold)	691883	Eukaryota (other)				Rotosphaerida	Fonticulaceae	3443	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A059XHF1	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RyR	Ryanodine receptor	Chilo suppressalis (Asiatic rice borer moth)	168631	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	5133	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A059XLU6	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RyR	Ryanodine receptor	Nilaparvata lugens (Brown planthopper)	108931	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hemiptera	Delphacidae	5135	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A059XMJ0	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RyR	Ryanodine receptor	Helicoverpa armigera (Cotton bollworm) (Heliothis armigera)	29058	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	5117	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A059XRL5	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RyR	Ryanodine receptor	Laodelphax striatellus (Small brown planthopper) (Delphax striatella)	195883	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hemiptera	Delphacidae	5135	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A059XRP6	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RyR	Ryanodine receptor	Spodoptera exigua (Beet armyworm) (Noctua fulgens)	7107	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	5135	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A059XRQ0	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RyR	Ryanodine receptor	Sogatella furcifera (White-backed planthopper)	113103	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hemiptera	Delphacidae	5128	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A067BPJ2	unassigned	none	itpr_arch_weak=2/5	unassigned		0	SPRG_17875	Uncharacterized protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	517	0	fragment	0	Predicted	1	PF08709	PF02815;PF08709	2		both
A0A067C0I0	ITPR	medium	itpr_arch_partial=4/5;length_in_band	ITPR		0	SPRG_22304	MIR domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	2700	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF01365;PF02815;PF08454;PF08709	4		both
A0A067C0Y4	unassigned	none	itpr_arch_weak=1/5	unassigned		0	SPRG_14005	Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	144	0		0	Predicted	1	PF08709	PF08709	1		both
A0A067C1N9	ITPR	medium	itpr_arch_partial=3/5;length_in_band	ITPR		0	SPRG_14004	RyR/IP3R Homology associated domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	2168	1		0	Predicted	0	PF01365;PF08454	PF00520;PF01365;PF08454	3		both
A0A067C5H2	unassigned	none	itpr_arch_weak=1/5	unassigned		0	SPRG_09784	Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	142	0		0	Predicted	1	PF08709	PF08709	1		both
A0A067C7T7	ITPR	medium	itpr_arch_partial=4/5;length_in_band	ITPR		0	SPRG_12592	Uncharacterized protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	2775	1		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF08454;PF08709	4		both
A0A067CP00	unassigned	none	itpr_arch_weak=2/5	unassigned		0	SPRG_03410	RyR/IP3R Homology associated domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	1873	0		0	Predicted	0	PF08454	PF00520;PF08454	2		both
A0A067CSU7	unassigned	none	itpr_arch_partial=4/5	unassigned		0	SPRG_04939	Uncharacterized protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	1905	0		0	Predicted	0	PF01365;PF08454;PF08709	PF01365;PF02815;PF08454;PF08709	4		both
A0A067CX89	unassigned	none	itpr_arch_weak=1/5	unassigned		0	SPRG_00158	RyR/IP3R Homology associated domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	407	0	fragment	0	Predicted	1	PF08454	PF08454	1		both
A0A067CZC0	ITPR	medium	itpr_arch_partial=3/5;length_in_band	ITPR		0	SPRG_00668	Uncharacterized protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	2875	1		0	Predicted	0	PF08454;PF08709	PF00023;PF00520;PF08454;PF08709;PF12796	3		both
A0A067CZJ8	unassigned	none	itpr_arch_weak=2/5	unassigned		0	SPRG_03409	MIR domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	1070	0		0	Predicted	1	PF01365;PF08709	PF01365;PF08709	2		both
A0A067QF10	unassigned	none	itpr_arch_weak=1/5	unassigned		0	L798_05245	Ryanodine receptor 44F	Zootermopsis nevadensis (Dampwood termite)	136037	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Blattodea	Termopsidae	110	0		0	Predicted	1	PF08709	PF08709	1		both
A0A067QFR8	unassigned	none	itpr_arch_weak=1/5	unassigned		0	L798_04426	Ryanodine receptor 44F	Zootermopsis nevadensis (Dampwood termite)	136037	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Blattodea	Termopsidae	444	0		0	Predicted	1	PF01365	PF01365	1		both
A0A067QPY8	unassigned	none	itpr_arch_weak=1/5	unassigned		0	L798_05244	Ryanodine receptor 44F	Zootermopsis nevadensis (Dampwood termite)	136037	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Blattodea	Termopsidae	92	0		0	Predicted	1	PF01365	PF01365	1		both
A0A068Y0W3	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0	EmuJ_000544400	Ryanodine receptor 44f	Echinococcus multilocularis (Fox tapeworm)	6211	Metazoa (non-vertebrate)	Metazoa	Platyhelminthes	Cestoda	Cyclophyllidea	Taeniidae	4760	0		0	Predicted	0	PF01365;PF08454	PF00520;PF00622;PF01365;PF02026;PF06459;PF08454;PF13499;PF21119	3	PF00622;PF02026;PF06459;PF21119	both
A0A068Y4L9	RYR	high	ryr_pfam=PF00622+PF02026	RYR		0	EmuJ_000544500	Ryanodine receptor 44f	Echinococcus multilocularis (Fox tapeworm)	6211	Metazoa (non-vertebrate)	Metazoa	Platyhelminthes	Cestoda	Cyclophyllidea	Taeniidae	928	0		0	Predicted	1	PF01365;PF08709	PF00622;PF01365;PF02026;PF02815;PF08709	3	PF00622;PF02026	both
A0A074Z731	ITPR	medium	itpr_arch_partial=4/5;length_in_band	ITPR		0	T265_14735	Inositol 1,4,5-trisphosphate receptor	Opisthorchis viverrini (Southeast Asian liver fluke)	6198	Metazoa (non-vertebrate)	Metazoa	Platyhelminthes	Trematoda	Opisthorchiida	Opisthorchiidae	2826	1	fragment	0	Inferred from homology	0	PF01365;PF08709	PF00520;PF01365;PF02815;PF08709	4		both
A0A075A5M8	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0	T265_09254	Uncharacterized protein	Opisthorchis viverrini (Southeast Asian liver fluke)	6198	Metazoa (non-vertebrate)	Metazoa	Platyhelminthes	Trematoda	Opisthorchiida	Opisthorchiidae	5727	0		0	Predicted	0	PF01365;PF08454	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF13499;PF21119	4	PF00622;PF02026;PF06459;PF21119	both
A0A077YYA4	ITPR	high	itpr_arch_complete	ITPR		0	TTRE_0000103301	Inositol 1,4,5-trisphosphate receptor	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	36087	Metazoa (non-vertebrate)	Metazoa	Nematoda	Enoplea	Trichinellida	Trichuridae	2639	1		0	Inferred from homology	1	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A077YYK0	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0	TTRE_0000115801	Ryanodine receptor	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	36087	Metazoa (non-vertebrate)	Metazoa	Nematoda	Enoplea	Trichinellida	Trichuridae	5172	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF13499;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A077ZVT6	ITPR	medium	itpr_arch_partial=4/5;length_in_band	ITPR		0	Contig10331.g11023	Inositol-triphosphate receptor	Stylonychia lemnae (Ciliate)	5949	SAR		Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	3398	1		0	Predicted	0	PF08454;PF08709	PF00520;PF02815;PF08454;PF08709	4		both
A0A077ZYI0	unassigned	none	itpr_arch_weak=1/5	unassigned		0	Contig4758.g5084	RyR/IP3R Homology associated domain-containing protein	Stylonychia lemnae (Ciliate)	5949	SAR		Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	2799	1		0	Predicted	0	PF08454	PF08454	1		both
A0A078A1U0	ITPR	medium	itpr_arch_partial=3/5;length_in_band	ITPR		0	Contig1440.g1580	Cation channel family protein	Stylonychia lemnae (Ciliate)	5949	SAR		Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	3530	1		0	Predicted	0	PF08709	PF00520;PF02815;PF08709	3		both
A0A078A4T9	unassigned	none	itpr_arch_weak=2/5	unassigned		0	Contig15245.g16249	Uncharacterized protein	Stylonychia lemnae (Ciliate)	5949	SAR		Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	2116	1		0	Predicted	0	PF08454	PF00520;PF08454	2		both
A0A078A8I0	ITPR	high	itpr_arch_complete	ITPR		0	Contig9742.g10423	Cation channel family protein	Stylonychia lemnae (Ciliate)	5949	SAR		Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	2894	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A078ASZ8	ITPR	high	itpr_arch_complete	ITPR		0	Contig10368.g11065	Cation channel family protein	Stylonychia lemnae (Ciliate)	5949	SAR		Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	2773	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A084W6J0	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Anopheles sinensis (Mosquito)	74873	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	2987	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A084WAS3	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Uncharacterized protein	Anopheles sinensis (Mosquito)	74873	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	5077	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A085LRI9	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0	M513_11549	Ryanodine receptor 44F	Trichuris suis (pig whipworm)	68888	Metazoa (non-vertebrate)	Metazoa	Nematoda	Enoplea	Trichinellida	Trichuridae	5145	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF13499;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A087R6Z5	unassigned	none	itpr_arch_weak=1/5	unassigned		0	AS27_01519	Ryanodine receptor 2	Aptenodytes forsteri (Emperor penguin)	9233	Vertebrata	Metazoa	Chordata	Aves	Sphenisciformes	Spheniscidae	73	0	fragment	0	Predicted	1	PF08709	PF08709	1		both
A0A087TIZ3	RYR	high	ryr_pfam=PF00622+PF02026	RYR		0	X975_01125	Ryanodine receptor 44F	Stegodyphus mimosarum (African social velvet spider)	407821	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Arachnida	Araneae	Eresidae	919	0	fragment	0	Predicted	1	PF01365;PF08709	PF00622;PF01365;PF02026;PF02815;PF08709	3	PF00622;PF02026	both
A0A087TIZ4	RYR	high	ryr_pfam=PF00622+PF02026+PF21119	RYR		0	X975_01126	Ryanodine receptor 44F	Stegodyphus mimosarum (African social velvet spider)	407821	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Arachnida	Araneae	Eresidae	1626	0	fragment	0	Predicted	0	PF01365	PF00622;PF01365;PF02026;PF21119	1	PF00622;PF02026;PF21119	both
A0A087UU98	unassigned	none	itpr_arch_weak=1/5	unassigned		0	X975_03089	Inositol 1,4,5-trisphosphate receptor type 1	Stegodyphus mimosarum (African social velvet spider)	407821	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Arachnida	Araneae	Eresidae	177	0	fragment	0	Predicted	1	PF08709	PF08709	1		both
A0A087UU99	unassigned	none	itpr_arch_weak=1/5	unassigned		0	X975_03090	Inositol 1,4,5-trisphosphate receptor	Stegodyphus mimosarum (African social velvet spider)	407821	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Arachnida	Araneae	Eresidae	159	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		both
A0A087UUA0	unassigned	none	itpr_arch_weak=1/5	unassigned		0	X975_03091	Inositol 1,4,5-trisphosphate receptor	Stegodyphus mimosarum (African social velvet spider)	407821	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Arachnida	Araneae	Eresidae	142	0	fragment	0	Predicted	1	PF01365	PF01365	1		both
