accession	verdict	gene	species	length	pfams	origin	source
CAR5223731.1	outside UniProt namespace	ITPR3		2331		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5351519.1	outside UniProt namespace	ITPR1		2594		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5353052.1	outside UniProt namespace	ITPR1		2592		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5353133.1	outside UniProt namespace	ITPR1		3001		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5353553.1	outside UniProt namespace	ITPR1		2619		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5354184.1	outside UniProt namespace	ITPR1		2616		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5355023.1	outside UniProt namespace	ITPR1		2501		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5355210.1	outside UniProt namespace	ITPR1		2489		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5355518.1	outside UniProt namespace	ITPR1		2592		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5356334.1	outside UniProt namespace	ITPR1		2547		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5357574.1	outside UniProt namespace	ITPR1		2549		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5358621.1	outside UniProt namespace	ITPR1		2592		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5358735.1	outside UniProt namespace	ITPR1		2592		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5360563.1	outside UniProt namespace	ITPR1		2505		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5360718.1	outside UniProt namespace	ITPR1		2518		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5363954.1	outside UniProt namespace	ITPR2		2649		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5365531.1	outside UniProt namespace	ITPR2		2657		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5365660.1	outside UniProt namespace	ITPR2		2581		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5366616.1	outside UniProt namespace	ITPR2		2716		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5367842.1	outside UniProt namespace	ITPR2		2630		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5370800.1	outside UniProt namespace	ITPR2		2806		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5371062.1	outside UniProt namespace	ITPR2		2581		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5374228.1	outside UniProt namespace	ITPR3		382		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5374235.1	outside UniProt namespace	ITPR3		2201		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5375785.1	outside UniProt namespace	ITPR3		4853		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5375819.1	outside UniProt namespace	ITPR3		392		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5375826.1	outside UniProt namespace	ITPR3		2375		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5377091.1	outside UniProt namespace	ITPR3		392		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5377097.1	outside UniProt namespace	ITPR3		2329		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5378057.1	outside UniProt namespace	ITPR3		382		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5378064.1	outside UniProt namespace	ITPR3		2329		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5381278.1	outside UniProt namespace	ITPR3		392		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5381285.1	outside UniProt namespace	ITPR3		2327		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5381415.1	outside UniProt namespace	ITPR3		151		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5381422.1	outside UniProt namespace	ITPR3		2141		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5381430.1	outside UniProt namespace	ITPR3		367		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR8075925.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR8082497.1	outside UniProt namespace	ITPR2		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR8082498.1	outside UniProt namespace	ITPR2		2737		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR8082499.1	outside UniProt namespace	ITPR2		1632		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR8091055.1	outside UniProt namespace	ITPR1		2685		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR8091056.1	outside UniProt namespace	ITPR1		2681		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR8091057.1	outside UniProt namespace	ITPR1		2696		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR8091058.1	outside UniProt namespace	ITPR1		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR8091059.1	outside UniProt namespace	ITPR1		2712		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR8091060.1	outside UniProt namespace	ITPR1		2708		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR8091061.1	outside UniProt namespace	ITPR1		2727		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR8091062.1	outside UniProt namespace	ITPR1		2723		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
EAW63908.1	outside UniProt namespace	ITPR1		1034		bundle:2026-08-18_123618_s0_smoke_human	NCBI
EAW63909.1	outside UniProt namespace	ITPR1		1058		bundle:2026-08-18_123618_s0_smoke_human	NCBI
EAW63910.1	outside UniProt namespace	ITPR1		1034		bundle:2026-08-18_123618_s0_smoke_human	NCBI
EAW63911.1	outside UniProt namespace	ITPR1		1049		bundle:2026-08-18_123618_s0_smoke_human	NCBI
EAW63912.1	outside UniProt namespace	ITPR1		1049		bundle:2026-08-18_123618_s0_smoke_human	NCBI
EAW63913.1	outside UniProt namespace	ITPR1		2710		bundle:2026-08-18_123618_s0_smoke_human	NCBI
EAW63914.1	outside UniProt namespace	ITPR1		1049		bundle:2026-08-18_123618_s0_smoke_human	NCBI
EAW63915.1	outside UniProt namespace	ITPR1		2695		bundle:2026-08-18_123618_s0_smoke_human	NCBI
EAW96534.1	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_123618_s0_smoke_human	NCBI
EAW96535.1	outside UniProt namespace	ITPR2		2726		bundle:2026-08-18_123618_s0_smoke_human	NCBI
EAX03744.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_123618_s0_smoke_human	NCBI
ENSDARP00000032856	outside UniProt namespace	ryr1b	Danio rerio	5078		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000033695	outside UniProt namespace	itpr1b	Danio rerio	2782		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000061133	outside UniProt namespace	itpr2	Danio rerio	1947		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000065091	outside UniProt namespace	itpr1a	Danio rerio	2730		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000116513	outside UniProt namespace	itpr3	Danio rerio	2293		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000116678	outside UniProt namespace	ryr3	Danio rerio	4984		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000123064	outside UniProt namespace	itpr3	Danio rerio	332		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000123931	outside UniProt namespace	itpr1a	Danio rerio	2682		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000128737	outside UniProt namespace	itpr2	Danio rerio	2008		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000131111	outside UniProt namespace	ryr3	Danio rerio	4987		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000133340	outside UniProt namespace	itpr3	Danio rerio	2634		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000139056	outside UniProt namespace	itpr1b	Danio rerio	2731		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000145195	outside UniProt namespace	itpr1b	Danio rerio	2717		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000145528	outside UniProt namespace	itpr1a	Danio rerio	2730		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000147521	outside UniProt namespace	itpr1a	Danio rerio	708		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000147809	outside UniProt namespace	itpr1a	Danio rerio	2715		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000148003	outside UniProt namespace	itpr1b	Danio rerio	2715		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000148139	outside UniProt namespace	itpr1b	Danio rerio	2638		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000148141	outside UniProt namespace	itpr1b	Danio rerio	2533		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000149110	outside UniProt namespace	itpr1a	Danio rerio	2726		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000149287	outside UniProt namespace	itpr1a	Danio rerio	990		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000149967	outside UniProt namespace	itpr1b	Danio rerio	2580		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000150035	outside UniProt namespace	itpr1b	Danio rerio	2740		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000151485	outside UniProt namespace	itpr1a	Danio rerio	2707		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000151640	outside UniProt namespace	itpr1a	Danio rerio	2745		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000152154	outside UniProt namespace	itpr1a	Danio rerio	2726		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000152307	outside UniProt namespace	itpr1a	Danio rerio	594		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000152700	outside UniProt namespace	itpr1a	Danio rerio	708		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000154446	outside UniProt namespace	itpr1b	Danio rerio	595		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000154606	outside UniProt namespace	itpr1b	Danio rerio	2581		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000155491	outside UniProt namespace	itpr1a	Danio rerio	2707		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000155915	outside UniProt namespace	itpr1b	Danio rerio	2576		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSDARP00000156373	outside UniProt namespace	itpr1a	Danio rerio	2745		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	Ensembl
ENSP00000242737	outside UniProt namespace	ITPR2	Homo sapiens	181		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000306253	outside UniProt namespace	ITPR1	Homo sapiens	1668		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000346595	outside UniProt namespace	ITPR1	Homo sapiens	2750		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000349597	outside UniProt namespace	ITPR1	Homo sapiens	2710		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000363435	outside UniProt namespace	ITPR3	Homo sapiens	2671		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000370744	outside UniProt namespace	ITPR2	Homo sapiens	2701		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000397885	outside UniProt namespace	ITPR1	Homo sapiens	2695		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000401671	outside UniProt namespace	ITPR1	Homo sapiens	2743		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000408287	outside UniProt namespace	ITPR2	Homo sapiens	102		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000440548	outside UniProt namespace	ITPR2	Homo sapiens	79		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000440564	outside UniProt namespace	ITPR1	Homo sapiens	721		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000475177	outside UniProt namespace	ITPR3	Homo sapiens	2671		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000496893	outside UniProt namespace	ITPR1	Homo sapiens	1548		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000496995	outside UniProt namespace	ITPR1	Homo sapiens	296		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000497026	outside UniProt namespace	ITPR1	Homo sapiens	2734		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000497099	outside UniProt namespace	ITPR1	Homo sapiens	408		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000497186	outside UniProt namespace	ITPR1	Homo sapiens	249		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000497226	outside UniProt namespace	ITPR1	Homo sapiens	175		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000497404	outside UniProt namespace	ITPR1	Homo sapiens	177		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000497605	outside UniProt namespace	ITPR1	Homo sapiens	2758		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000497614	outside UniProt namespace	ITPR1	Homo sapiens	175		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000497835	outside UniProt namespace	ITPR1	Homo sapiens	175		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000497851	outside UniProt namespace	ITPR1	Homo sapiens	714		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000497872	outside UniProt namespace	ITPR1	Homo sapiens	2012		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000497999	outside UniProt namespace	ITPR1	Homo sapiens	188		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000498014	outside UniProt namespace	ITPR1	Homo sapiens	2749		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000498022	outside UniProt namespace	ITPR1	Homo sapiens	1739		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000498056	outside UniProt namespace	ITPR1	Homo sapiens	2744		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000498149	outside UniProt namespace	ITPR1	Homo sapiens	1818		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000601699	outside UniProt namespace	ITPR3	Homo sapiens	2661		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000672712	outside UniProt namespace	ITPR2	Homo sapiens	55		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000686362	outside UniProt namespace	ITPR3	Homo sapiens	250		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000742240	outside UniProt namespace	ITPR3	Homo sapiens	1221		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000777889	outside UniProt namespace	ITPR2	Homo sapiens	1075		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000777890	outside UniProt namespace	ITPR2	Homo sapiens	322		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000790150	outside UniProt namespace	ITPR2	Homo sapiens	65		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000790151	outside UniProt namespace	ITPR2	Homo sapiens	45		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000790458	outside UniProt namespace	ITPR3	Homo sapiens	30		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000811227	outside UniProt namespace	ITPR2	Homo sapiens	2701		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000814523	outside UniProt namespace	ITPR3	Homo sapiens	2671		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
ENSP00000815149	outside UniProt namespace	ITPR1	Homo sapiens	2758		bundle:2026-08-18_123618_s0_smoke_human	Ensembl
H7C2X9	no seed signature annotated	ITPR2	Homo sapiens	102		bundle:2026-08-18_123618_s0_smoke_human	UniProt
KAM4046678.1	outside UniProt namespace	ITPR3		2677		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAM4046679.1	outside UniProt namespace	ITPR3		2593		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAM6314509.1	outside UniProt namespace	ITPR2		2715		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAM6930006.1	outside UniProt namespace	ITPR3		2688		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAM8861047.1	outside UniProt namespace	ITPR2		2690		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAM8930308.1	outside UniProt namespace	ITPR1		2696		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAM8930309.1	outside UniProt namespace	ITPR1		2683		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAM8938017.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAM8979432.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAM9172715.1	outside UniProt namespace	ITPR2		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAM9172716.1	outside UniProt namespace	ITPR2		2624		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAM9203046.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAM9203047.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAM9389892.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN3695036.1	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN3695037.1	outside UniProt namespace	ITPR2		2639		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN3695038.1	outside UniProt namespace	ITPR2		2626		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN3695039.1	outside UniProt namespace	ITPR2		2517		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN3949701.1	outside UniProt namespace	ITPR3		2656		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN3949702.1	outside UniProt namespace	ITPR3		2655		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN3949703.1	outside UniProt namespace	ITPR3		2220		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN4315348.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN6968415.1	outside UniProt namespace	ITPR2		2660		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN7288953.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN7288954.1	outside UniProt namespace	ITPR2		2695		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN7400215.1	outside UniProt namespace	ITPR1		2746		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN8461899.1	outside UniProt namespace	ITPR3		2696		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN8461900.1	outside UniProt namespace	ITPR3		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN8461901.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN8468730.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN8531752.1	outside UniProt namespace	ITPR3		2696		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN8531753.1	outside UniProt namespace	ITPR3		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN8531754.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN9730985.1	outside UniProt namespace	ITPR2		2702		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN9730986.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN9730987.1	outside UniProt namespace	ITPR2		2529		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN9730988.1	outside UniProt namespace	ITPR2		2168		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAN9744666.1	outside UniProt namespace	ITPR3		2662		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0077082.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0077083.1	outside UniProt namespace	ITPR3		2670		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0077084.1	outside UniProt namespace	ITPR3		2692		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0077085.1	outside UniProt namespace	ITPR3		2722		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0095807.1	outside UniProt namespace	ITPR3		2667		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0095808.1	outside UniProt namespace	ITPR3		2650		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0095809.1	outside UniProt namespace	ITPR3		2625		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0184237.1	outside UniProt namespace	ITPR3		2670		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0279777.1	outside UniProt namespace	ITPR3		138		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0279779.1	outside UniProt namespace	ITPR3		487		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0279781.1	outside UniProt namespace	ITPR3		1260		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0279783.1	outside UniProt namespace	ITPR3		851		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0884365.1	outside UniProt namespace	ITPR1		2748		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0897779.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0897780.1	outside UniProt namespace	ITPR3		2670		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0897781.1	outside UniProt namespace	ITPR3		2722		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
KAO0905863.1	outside UniProt namespace	ITPR2		2702		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
NP_001093422.2	outside UniProt namespace	ITPR1		2710		bundle:2026-08-18_123618_s0_smoke_human	NCBI
NP_001096041.1	outside UniProt namespace	ryr1b		5076		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
NP_001161744.1	outside UniProt namespace	ITPR1		2743		bundle:2026-08-18_123618_s0_smoke_human	NCBI
NP_001300740.1	outside UniProt namespace	itpr3		2634		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
NP_001365381.1	outside UniProt namespace	ITPR1		2758		bundle:2026-08-18_123618_s0_smoke_human	NCBI
NP_001401103.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_123618_s0_smoke_human	NCBI
NP_001401104.1	outside UniProt namespace	ITPR2		2628		bundle:2026-08-18_123618_s0_smoke_human	NCBI
NP_002213.5	outside UniProt namespace	ITPR1		2695		bundle:2026-08-18_123618_s0_smoke_human	NCBI
NP_002214.2	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_123618_s0_smoke_human	NCBI
NP_002215.2	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_123618_s0_smoke_human	NCBI
NP_034716.1	outside UniProt namespace	ITPR2		2668		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
