accession	call	confidence	rule	core	gene	species	taxon_id	group	phylum	class	order	length
A0ABQ8UZM6	ITPR	medium	longest per species	1	PAPYR_841	Paratrimastix pyriformis	342808	Eukaryota (other)	Preaxostyla			2857
A0AB34IS99	ITPR	medium	longest per species	0	AB1Y20_010572	Prymnesium parvum (Toxic golden alga)	97485	Eukaryota (other)	Haptophyta		Prymnesiales	2751
F2U743	ITPR	medium	longest per species	0	PTSG_04281	Salpingoeca rosetta (Choanoflagellate)	946362	Eukaryota (other)		Choanoflagellata	Craspedida	2909
A0A0L0DIL6	ITPR	medium	longest per species	0	AMSG_00953	Thecamonas trahens ATCC 50062	461836	Eukaryota (other)			Apusomonadida	3179
A0A168RJ50	ITPR	medium	longest per species	0	ABSGL_12645.1	Absidia glauca (Pin mould)	4829	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2540
A0A1X2IXV9	ITPR	medium	longest per species	1	BCR42DRAFT_402338	Absidia repens	90262	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2651
A0A8H7BU48	ITPR	high	longest per species	0	EC973_001941	Apophysomyces ossiformis	679940	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2391
A0A1Y1XHY3	ITPR	high	longest per species	0	K493DRAFT_341790	Basidiobolus meristosporus CBS 931.73	1314790	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	2495
A0ABR2W6A1	ITPR	high	longest per species	1	K7432_003395	Basidiobolus ranarum	34480	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	2502
A0A1C7NSC1	ITPR	high	longest per species	0	Itpr3	Choanephora cucurbitarum	101091	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2547
A0A507FK04	ITPR	high	longest per species	0	CcCBS67573_g02688	Chytriomyces confervae	246404	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	3329
A0AAD5U9K5	ITPR	high	longest per species	0	HK099_005063	Clydaea vesicula	447962	Fungi	Chytridiomycota	Chytridiomycetes	Lobulomycetales	2759
A0ACC2TPX2	ITPR	high	longest per species	1	DSO57_1024190	Entomophthora muscae	34485	Fungi	Entomophthoromycota	Entomophthoromycetes	Entomophthorales	2567
A0A1X2G6S3	ITPR	medium	longest per species	0	DM01DRAFT_321913	Hesseltinella vesiculosa	101127	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2642
A0A433QY11	ITPR	high	longest per species	0	BC938DRAFT_479224	Jimgerdemannia flammicorona	994334	Fungi	Mucoromycota	Endogonomycetes	Endogonales	2599
A0AAD7UQL8	ITPR	medium	longest per species	0	O0I10_012669	Lichtheimia ornata	688661	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2610
A0A0C9M4R7	ITPR	medium	longest per species	0	MAM1_0060c03786	Mucor ambiguus	91626	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2599
S2J437	ITPR	medium	longest per species	0	HMPREF1544_08383	Mucor circinelloides f. circinelloides (strain 1006PhL) (Mucormycosis agent) (Calyptromyces circinelloides)	1220926	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2592
A0A168KKP7	ITPR	medium	longest per species	0	MUCCIDRAFT_111891	Mucor lusitanicus CBS 277.49	747725	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2620
A0A8H7VCW8	ITPR	medium	longest per species	0	INT46_007433	Mucor plumbeus	97098	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2604
A0AAN7D8C4	ITPR	medium	longest per species	0	ATC70_007105	Mucor velutinosus	708070	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2613
A0AAD5K078	ITPR	high	longest per species	0	BDA99DRAFT_575816	Phascolomyces articulosus	60185	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2588
A0ABR3B852	ITPR	medium	longest per species	0	J3Q64DRAFT_1846802	Phycomyces blakesleeanus	4837	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2551
A0A162V9Q6	ITPR	medium	longest per species	0	PHYBLDRAFT_184553	Phycomyces blakesleeanus (strain ATCC 8743b / DSM 1359 / FGSC 10004 / NBRC 33097 / NRRL 1555)	763407	Fungi	Mucoromycota	Mucoromycetes	Mucorales	2551
A0AAD5SYU5	ITPR	medium	longest per species	0	HK100_001428	Physocladia obscura	109957	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	2858
A0ABR4NID5	ITPR	high	longest per species	1	HK105_200862	Polyrhizophydium stewartii	2732419	Fungi	Chytridiomycota	Chytridiomycetes	Rhizophydiales	4446
A0A1Y2B255	ITPR	high	longest per species	0	BCR33DRAFT_724882	Rhizoclosmatium globosum	329046	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	3246
A0A8B7ZNI0	ITPR	high	longest per species	0	LOC110986922	Acanthaster planci (Crown-of-thorns starfish)	133434	Metazoa (non-vertebrate)	Echinodermata	Asteroidea	Valvatida	2760
A0A498S7B5	ITPR	medium	longest per species	0	NAV_LOCUS491	Acanthocheilonema viteae (Filarial nematode worm) (Dipetalonema viteae)	6277	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2507
A0A914CMA8	ITPR	high	longest per species	0		Acrobeloides nanus	290746	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2702
A0A836G3N5	ITPR	high	longest per species	0	Itpr83a	Acromyrmex charruanus	2715315	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2801
F4WB91	ITPR	high	longest per species	0	G5I_02797	Acromyrmex echinatior (Panamanian leafcutter ant) (Acromyrmex octospinosus echinatior)	103372	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2848
A0A836GDL8	ITPR	high	longest per species	0	Itpr83a	Acromyrmex heyeri	230685	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2801
A0A836ETG8	ITPR	high	longest per species	0	Itpr83a	Acromyrmex insinuator	230686	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2804
A0AAD9QVF6	ITPR	high	longest per species	0	P5673_008061	Acropora cervicornis (Staghorn coral)	6130	Metazoa (non-vertebrate)	Cnidaria	Anthozoa	Scleractinia	2331
A0A6P8IUM8	ITPR	high	longest per species	1	LOC116304295	Actinia tenebrosa (Australian red waratah sea anemone)	6105	Metazoa (non-vertebrate)	Cnidaria	Anthozoa	Actiniaria	2745
A0A8R2B851	ITPR	high	longest per species	0		Acyrthosiphon pisum (Pea aphid)	7029	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hemiptera	3831
A0A814SIK2	ITPR	high	longest per species	0	XAT740_LOCUS20825	Adineta ricciae (Rotifer)	249248	Metazoa (non-vertebrate)	Rotifera	Eurotatoria	Adinetida	2733
A0A815EH62	ITPR	high	longest per species	0	QVE165_LOCUS31834	Adineta steineri	433720	Metazoa (non-vertebrate)	Rotifera	Eurotatoria	Adinetida	2854
A0A6I8U9W2	ITPR	high	longest per species	0	5564815	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	2992
A0ABM1Y6G0	ITPR	high	longest per species	0		Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	7160	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	2995
A0A1W4WKP9	ITPR	high	longest per species	0	LOC108733799	Agrilus planipennis (Emerald ash borer) (Agrilus marcopoli)	224129	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2752
A0A8J2P5M4	ITPR	high	longest per species	0	AFUS01_LOCUS20469	Allacma fusca	39272	Metazoa (non-vertebrate)	Arthropoda	Collembola	Symphypleona	2636
A0A6A4VLS6	ITPR	low	longest per species	0	Itp-r83A_0	Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite)	1232801	Metazoa (non-vertebrate)	Arthropoda	Thecostraca	Balanomorpha	1697
A0AAN0JIF7	ITPR	high	longest per species	1		Amphimedon queenslandica (Sponge)	400682	Metazoa (non-vertebrate)	Porifera	Demospongiae	Haplosclerida	2766
A0A016VX80	ITPR	medium	longest per species	0	Acey_s0004.g2123	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2012
A0A158PMT1	ITPR	high	longest per species	0	ASIM_LOCUS9855	Anisakis simplex (Herring worm)	6269	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2921
A0A182FDY1	ITPR	high	longest per species	0		Anopheles albimanus (New world malaria mosquito)	7167	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	3200
A0A182I460	ITPR	high	longest per species	0		Anopheles arabiensis (Mosquito)	7173	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	3096
A0AAG5DBZ0	ITPR	high	longest per species	0		Anopheles atroparvus (European mosquito)	41427	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	3028
A0A182K7K4	ITPR	medium	longest per species	0		Anopheles christyi	43041	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	2054
A0A6E8VQ97	ITPR	high	longest per species	0		Anopheles coluzzii (African malaria mosquito)	1518534	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	2924
A0A182MHW8	ITPR	high	longest per species	0		Anopheles culicifacies	139723	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	3012
W5JDA7	ITPR	high	longest per species	0		Anopheles darlingi (Mosquito)	43151	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	3041
A0A182NJ16	ITPR	high	longest per species	0		Anopheles dirus	7168	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	3155
A0A182PPG3	ITPR	medium	longest per species	0		Anopheles epiroticus	199890	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	2373
A0A182Q3P2	ITPR	high	longest per species	0		Anopheles farauti	69004	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	3134
A0A1S4GS95	ITPR	high	longest per species	0		Anopheles gambiae (African malaria mosquito)	7165	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	3101
A0A182UY18	ITPR	high	longest per species	0		Anopheles merus (Mosquito)	30066	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	3107
A0A182WC14	ITPR	high	longest per species	0		Anopheles minimus	112268	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	3165
A0A903ZG16	ITPR	high	longest per species	0		Anopheles quadriannulatus (Mosquito)	34691	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	3103
A0A084W6J0	ITPR	high	longest per species	0		Anopheles sinensis (Mosquito)	74873	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	2987
A0A182YFI7	ITPR	high	longest per species	0		Anopheles stephensi (Indo-Pakistan malaria mosquito)	30069	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	3112
A0ACE0G5X1	ITPR	high	longest per species	0	ANTPLA_LOCUS10045	Anthophora plagiata	597819	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2788
A0ACE0EYC5	ITPR	high	longest per species	0	ANTQUA_LOCUS3940	Anthophora quadrimaculata	597840	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2809
A0ACE0GP25	ITPR	high	longest per species	0	ANTRET_LOCUS4100	Anthophora retusa	597843	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2809
A0A834XV93	ITPR	high	longest per species	0	HCN44_010041	Aphidius gifuensis (Parasitoid wasp)	684658	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2797
A0A6G0ZEY4	ITPR	high	longest per species	0	FWK35_00004179	Aphis craccivora (Cowpea aphid)	307492	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hemiptera	3826
A0A6G0T1B7	ITPR	high	longest per species	0	AGLY_015161	Aphis glycines (Soybean aphid)	307491	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hemiptera	3835
A0A9P0J6M3	ITPR	high	longest per species	0	APHIGO_LOCUS7800	Aphis gossypii (Cotton aphid)	80765	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hemiptera	3832
V9IAK4	ITPR	high	longest per species	0	ACCB00201.3	Apis cerana (Indian honeybee)	7461	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2788
A0A2A3ES56	ITPR	high	longest per species	0	APICC_05838	Apis cerana cerana (Oriental honeybee)	94128	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2797
A0ABM1VQL4	ITPR	high	longest per species	0	LOC101856168	Aplysia californica (California sea hare)	6500	Metazoa (non-vertebrate)	Mollusca	Gastropoda	Aplysiida	2959
A0A8K0ZQE8	ITPR	high	longest per species	0	IP3R	Apolygus lucorum (Small green plant bug) (Lygocoris lucorum)	248454	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hemiptera	2721
A0AAN7S606	ITPR	high	longest per species	0	RN001_016165	Aquatica leii	1421715	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2723
A0A4Y2EYJ3	ITPR	high	longest per species	0	ITPR1_3	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	182803	Metazoa (non-vertebrate)	Arthropoda	Arachnida	Araneae	2796
A0A8S1ACF0	ITPR	high	longest per species	0	APLA_LOCUS9104	Arctia plantaginis (Wood tiger moth) (Phalaena plantaginis)	874455	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2728
A0A8T0EWH3	ITPR	medium	longest per species	0	HNY73_012953	Argiope bruennichi (Wasp spider) (Aranea bruennichi)	94029	Metazoa (non-vertebrate)	Arthropoda	Arachnida	Araneae	2210
A0A5N5T554	ITPR	low	longest per species	0	Itp-r83A	Armadillidium nasatum	96803	Metazoa (non-vertebrate)	Arthropoda	Malacostraca	Isopoda	582
A0AA88L6A2	ITPR	high	longest per species	0	QYM36_013271	Artemia franciscana (Brine shrimp) (Artemia sanfranciscana)	6661	Metazoa (non-vertebrate)	Arthropoda	Branchiopoda	Anostraca	2618
A0A0M3HW48	ITPR	high	longest per species	0		Ascaris lumbricoides (Giant roundworm)	6252	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2879
F1KPZ0	ITPR	medium	longest per species	0		Ascaris suum (Pig roundworm) (Ascaris lumbricoides)	6253	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2269
A0A158NQV4	ITPR	high	longest per species	0	105623125	Atta cephalotes (Leafcutter ant)	12957	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2646
A0A195BFQ8	ITPR	high	longest per species	0	ALC53_06282	Atta colombica	520822	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2815
A0A6I9VWT0	ITPR	high	longest per species	0	LOC105229928	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	27457	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	2880
A0ABD0KHF1	ITPR	high	longest per species	0	BaRGS_00022278	Batillaria attramentaria	370345	Metazoa (non-vertebrate)	Mollusca	Gastropoda		2627
A0A222AFM6	ITPR	high	longest per species	0	IP3R	Bemisia tabaci (Sweetpotato whitefly) (Aleurodes tabaci)	7038	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hemiptera	2733
A0ABM3M1M3	ITPR	high	longest per species	0	LOC112056286	Bicyclus anynana (Squinting bush brown butterfly)	110368	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2708
A0A9W3AWE7	ITPR	high	longest per species	0	LOC106060158	Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)	6526	Metazoa (non-vertebrate)	Mollusca	Gastropoda		2967
A0AAD8F3D8	ITPR	high	longest per species	0	Bpfe_020757	Biomphalaria pfeifferi (Bloodfluke planorb) (Freshwater snail)	112525	Metazoa (non-vertebrate)	Mollusca	Gastropoda		2723
A0A9Q0LYR5	ITPR	high	longest per species	0	RDWZM_010207	Blomia tropicalis (Mite)	40697	Metazoa (non-vertebrate)	Arthropoda	Arachnida	Sarcoptiformes	3204
A0A6P8MIW1	ITPR	high	longest per species	0	LOC117206478	Bombus bifarius	103933	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2817
A0A6P8LNL4	ITPR	high	longest per species	0	LOC100747875	Bombus impatiens (Bumblebee)	132113	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2817
A0A9C6SMK1	ITPR	high	longest per species	0	LOC100643559	Bombus terrestris (Buff-tailed bumblebee) (Apis terrestris)	30195	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2824
A0A6J3KGZ0	ITPR	high	longest per species	0	LOC117234765	Bombus vosnesenskii	207650	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2817
A0A8R2M816	ITPR	high	longest per species	0		Bombyx mori (Silk moth)	7091	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2750
A0A813MDQ0	ITPR	high	longest per species	1	OXX778_LOCUS2086	Brachionus calyciflorus	104777	Metazoa (non-vertebrate)	Rotifera	Eurotatoria	Ploima	3060
A0A3M7T2M2	ITPR	medium	longest per species	0	BpHYR1_030911	Brachionus plicatilis (Marine rotifer) (Brachionus muelleri)	10195	Metazoa (non-vertebrate)	Rotifera	Eurotatoria	Ploima	2297
A0A6P4ZVN0	ITPR	high	longest per species	0	LOC109477077	Branchiostoma belcheri (Amphioxus)	7741	Metazoa (non-vertebrate)	Chordata	Leptocardii	Amphioxiformes	2843
A0A9J7MRS8	ITPR	high	longest per species	0	LOC118415973	Branchiostoma floridae (Florida lancelet) (Amphioxus)	7739	Metazoa (non-vertebrate)	Chordata	Leptocardii	Amphioxiformes	2960
A0A8K0EWL2	ITPR	high	longest per species	0	ITPR1	Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum)	7740	Metazoa (non-vertebrate)	Chordata	Leptocardii	Amphioxiformes	2885
A0A9P0FLM4	ITPR	high	longest per species	0	MELIAE_LOCUS11475	Brassicogethes aeneus (Rape pollen beetle) (Meligethes aeneus)	1431903	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2758
A0A8J9YHZ5	ITPR	high	longest per species	0	BINO364_LOCUS16357	Brenthis ino (lesser marbled fritillary)	405034	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2719
A0A0H5S2G8	ITPR	high	longest per species	0	bma-itr-1	Brugia malayi (Filarial nematode worm)	6279	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2850
A0A158PS69	ITPR	high	longest per species	0	BPAG_LOCUS12254	Brugia pahangi (Filarial nematode worm)	6280	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2801
A0A811KTK4	ITPR	high	longest per species	0	BOKJ2_LOCUS8689	Bursaphelenchus okinawaensis	465554	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2965
A0A811LJE4	ITPR	high	longest per species	0	BXYJ_LOCUS9806	Bursaphelenchus xylophilus (Pinewood nematode worm) (Aphelenchoides xylophilus)	6326	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2968
A0A9P1IMW4	ITPR	high	longest per species	0	CAMP_LOCUS10867	Caenorhabditis angaria	860376	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2903
A0A8S1H9P0	ITPR	high	longest per species	0	CAUJ_LOCUS7217	Caenorhabditis auriculariae	2777116	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2909
A0A8S1FA22	ITPR	high	longest per species	0	CBOVIS_LOCUS11401	Caenorhabditis bovis	2654633	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2860
G0NRS2	ITPR	high	longest per species	0	CAEBREN_29382	Caenorhabditis brenneri (Nematode worm)	135651	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2869
Q9GS15	ITPR	high	longest per species	0	itr-1	Caenorhabditis briggsae	6238	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2933
Q9Y0A1	ITPR	high	longest per species	0	itr-1	Caenorhabditis elegans	6239	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2892
A0A8R1DSV6	ITPR	high	longest per species	0		Caenorhabditis japonica	281687	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2916
A0A261BQG3	ITPR	high	longest per species	0	FL83_12881	Caenorhabditis latens	1503980	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2864
A0A2G5U3K6	ITPR	high	longest per species	0	Cni-itr-1	Caenorhabditis nigoni	1611254	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2843
E3M7H8	ITPR	high	longest per species	0	Cre-itr-1	Caenorhabditis remanei (Caenorhabditis vulgaris)	31234	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2951
A0AAV4T4X4	ITPR	high	longest per species	0	Itpr1	Caerostris darwini	1538125	Metazoa (non-vertebrate)	Arthropoda	Arachnida	Araneae	2800
A0AAV4SJP2	ITPR	low	longest per species	0	Itpr	Caerostris extrusa (Bark spider) (Caerostris bankana)	172846	Metazoa (non-vertebrate)	Arthropoda	Arachnida	Araneae	1138
E1ZY22	ITPR	high	longest per species	0	EAG_09974	Camponotus floridanus (Florida carpenter ant)	104421	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2711
R7TPX0	ITPR	high	longest per species	0		Capitella teleta (Polychaete worm)	283909	Metazoa (non-vertebrate)	Annelida	Polychaeta		2718
A0AAW2GTP8	ITPR	high	longest per species	0	PUN28_002308	Cardiocondyla obscurior	286306	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2808
A0AAJ7CFN0	ITPR	high	longest per species	0	LOC107274736	Cephus cinctus (Wheat stem sawfly)	211228	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2815
