group	window_n	locus_note	contig	start	end	strand	symbol	ensembl_gene	map_status	index_in_window
ITPR3	10	ITPR3	NC_000006.12	33721662	33762145	-	IP6K3	ENSG00000161896	mapped	11
ITPR3	10	ITPR3	NC_000006.12	33771213	33789130	-	LEMD2	ENSG00000161904	mapped	12
ITPR3	10	ITPR3	NC_000006.12	33794673	33804003	-	MLN	ENSG00000096395	mapped	13
ITPR3	10	ITPR3	NC_000006.12	34018643	34155622	-	GRM4	ENSG00000124493	mapped	14
ITPR3	10	ITPR3	NC_000006.12	34236246	34238380	+	LOC124901225		unmapped	15
ITPR3	10	ITPR3	NC_000006.12	34236873	34246231	+	HMGA1	ENSG00000137309	mapped	16
ITPR3	10	ITPR3	NC_000006.12	34246395	34249006	-	SMIM29	ENSG00000186577	mapped	17
ITPR3	10	ITPR3	NC_000006.12	34279679	34392669	-	NUDT3	ENSG00000272325	mapped	18
ITPR3	10	ITPR3	NC_000006.12	34287194	34426069	-	RPS10-NUDT3	ENSG00000270800	mapped	19
RYR1	10	RYR1	NC_000019.10	38264573	38292615	+	SPINT2	ENSG00000167642	mapped	0
RYR1	10	RYR1	NC_000019.10	38303558	38321887	-	YIF1B	ENSG00000167645	mapped	1
RYR1	10	RYR1	NC_000019.10	38304251	38305006	+	C19orf33	ENSG00000167644	mapped	2
RYR1	10	RYR1	NC_000019.10	38319845	38332076	+	KCNK6	ENSG00000099337	mapped	3
RYR1	10	RYR1	NC_000019.10	38335830	38370943	+	CATSPERG	ENSG00000099338	mapped	4
RYR1	10	RYR1	NC_000019.10	38374571	38383824	+	PSMD8	ENSG00000099341	mapped	5
RYR1	10	RYR1	NC_000019.10	38384267	38388384	-	GGN	ENSG00000179168	mapped	6
RYR1	10	RYR1	NC_000019.10	38388697	38399587	+	SPRED3	ENSG00000188766	mapped	7
RYR1	10	RYR1	NC_000019.10	38403093	38409088	+	FAM98C	ENSG00000130244	mapped	8
RYR1	10	RYR1	NC_000019.10	38409058	38426219	-	RASGRP4	ENSG00000171777	mapped	9
RYR1	10	RYR1	NC_000019.10	38587641	38617953	-	MAP4K1	ENSG00000104814	mapped	10
RYR1	10	RYR1	NC_000019.10	38619188	38636954	+	EIF3K	ENSG00000178982	mapped	11
RYR1	10	RYR1	NC_000019.10	38647649	38731589	+	ACTN4	ENSG00000130402	mapped	12
RYR1	10	RYR1	NC_000019.10	38730192	38744693	-	CAPN12	ENSG00000182472	mapped	13
RYR1	10	RYR1	NC_000019.10	38770968	38773517	-	LGALS7	ENSG00000205076	mapped	14
RYR1	10	RYR1	NC_000019.10	38789200	38791754	+	LGALS7B	ENSG00000178934	mapped	15
RYR1	10	RYR1	NC_000019.10	38801674	38812945	-	LGALS4	ENSG00000171747	mapped	16
RYR1	10	RYR1	NC_000019.10	38815422	38831794	-	ECH1	ENSG00000104823	mapped	17
RYR1	10	RYR1	NC_000019.10	38836370	38852347	-	HNRNPL	ENSG00000104824	mapped	18
RYR1	10	RYR1	NC_000019.10	38867830	38878275	-	RINL	ENSG00000187994	mapped	19
RYR2	10	RYR2	NC_000001.11	235661031	235883713	-	LYST	ENSG00000143669	mapped	0
RYR2	10	RYR2	NC_000001.11	235975830	236065090	-	NID1	ENSG00000116962	mapped	1
RYR2	10	RYR2	NC_000001.11	236142539	236208907	+	GPR137B	ENSG00000077585	mapped	2
RYR2	10	RYR2	NC_000001.11	236215101	236281958	-	ERO1B	ENSG00000086619	mapped	3
RYR2	10	RYR2	NC_000001.11	236348259	236484930	+	EDARADD	ENSG00000186197	mapped	4
RYR2	10	RYR2	NC_000001.11	236518214	236552981	+	LGALS8	ENSG00000116977	mapped	5
RYR2	10	RYR2	NC_000001.11	236549005	236604516	-	HEATR1	ENSG00000119285	mapped	6
RYR2	10	RYR2	NC_000001.11	236686499	236764631	+	ACTN2	ENSG00000077522	mapped	7
RYR2	10	RYR2	NC_000001.11	236795281	236903981	+	MTR	ENSG00000116984	mapped	8
RYR2	10	RYR2	NC_000001.11	237004103	237004441	-	MT1HL1	ENSG00000244020	mapped	9
RYR2	10	RYR2	NC_000001.11	237882404	237890922	-	ZP4	ENSG00000116996	mapped	10
RYR2	10	RYR2	NC_000001.11	239386568	239915450	+	CHRM3	ENSG00000133019	mapped	11
RYR2	10	RYR2	NC_000001.11	240091883	240475187	+	FMN2	ENSG00000155816	mapped	12
RYR2	10	RYR2	NC_000001.11	240489573	240612155	-	GREM2	ENSG00000180875	mapped	13
RYR2	10	RYR2	NC_000001.11	240774742	241357230	-	RGS7	ENSG00000182901	mapped	14
RYR2	10	RYR2	NC_000001.11	241497603	241519755	-	FH	ENSG00000091483	mapped	15
RYR2	10	RYR2	NC_000001.11	241532378	241595642	+	KMO	ENSG00000117009	mapped	16
RYR2	10	RYR2	NC_000001.11	241593124	241640369	-	OPN3	ENSG00000054277	mapped	17
RYR2	10	RYR2	NC_000001.11	241628851	241640369	-	CHML	ENSG00000203668	mapped	18
RYR2	10	RYR2	NC_000001.11	241652281	241802777	+	WDR64	ENSG00000162843	mapped	19
RYR3	10	RYR3	NC_000015.10	32030483	32173018	+	CHRNA7	ENSG00000175344	mapped	0
RYR3	10	RYR3	NC_000015.10	32389599	32403292	-	GOLGA8K	ENSG00000249931	mapped	1
RYR3	10	RYR3	NC_000015.10	32441914	32461984	-	GOLGA8O	ENSG00000206127	mapped	2
RYR3	10	RYR3	NC_000015.10	32489200	32494945	-	LOC100653133		unmapped	3
RYR3	10	RYR3	NC_000015.10	32593456	32607237	+	GOLGA8N	ENSG00000232653	mapped	4
RYR3	10	RYR3	NC_000015.10	32615144	32639941	+	ARHGAP11A	ENSG00000198826	mapped	5
RYR3	10	RYR3	NC_000015.10	32615476	32697098	+	ARHGAP11A-SCG5	ENSG00000288864	mapped	6
RYR3	10	RYR3	NC_000015.10	32641710	32697092	+	SCG5	ENSG00000166922	mapped	7
RYR3	10	RYR3	NC_000015.10	32718004	32745106	+	GREM1	ENSG00000166923	mapped	8
RYR3	10	RYR3	NC_000015.10	32765544	33194714	-	FMN1	ENSG00000248905	mapped	9
RYR3	10	RYR3	NC_000015.10	33851781	34075325	-	AVEN	ENSG00000169857	mapped	10
RYR3	10	RYR3	NC_000015.10	33968497	34067458	+	CHRM5	ENSG00000184984	mapped	11
RYR3	10	RYR3	NC_000015.10	34084017	34101862	-	EMC7	ENSG00000134153	mapped	12
RYR3	10	RYR3	NC_000015.10	34102083	34108686	+	PGBD4	ENSG00000182405	mapped	13
RYR3	10	RYR3	NC_000015.10	34140674	34210096	-	KATNBL1	ENSG00000134152	mapped	14
RYR3	10	RYR3	NC_000015.10	34225016	34230156	+	EMC4	ENSG00000128463	mapped	15
RYR3	10	RYR3	NC_000015.10	34229784	34338057	-	SLC12A6	ENSG00000140199	mapped	16
RYR3	10	RYR3	NC_000015.10	34341719	34343136	-	NOP10	ENSG00000182117	mapped	17
RYR3	10	RYR3	NC_000015.10	34343315	34357735	+	NUTM1	ENSG00000184507	mapped	18
RYR3	10	RYR3	NC_000015.10	34358633	34367196	-	LPCAT4	ENSG00000176454	mapped	19
RYR3	10	RYR3	NC_000015.10	34379068	34437808	-	GOLGA8A	ENSG00000175265	mapped	20
ITPR1	20	ITPR1	NC_000003.12	196763	409417	+	CHL1	ENSG00000134121	mapped	0
ITPR1	20	ITPR1	NC_000003.12	1093024	1404217	+	CNTN6	ENSG00000134115	mapped	1
ITPR1	20	ITPR1	NC_000003.12	2098866	3057959	+	CNTN4	ENSG00000144619	mapped	2
ITPR1	20	ITPR1	NC_000003.12	3066324	3110374	-	IL5RA	ENSG00000091181	mapped	3
ITPR1	20	ITPR1	NC_000003.12	3126940	3153435	+	TRNT1	ENSG00000072756	mapped	4
ITPR1	20	ITPR1	NC_000003.12	3149633	3179717	-	CRBN	ENSG00000113851	mapped	5
ITPR1	20	ITPR1	NC_000003.12	3799431	3849834	+	LRRN1	ENSG00000175928	mapped	6
ITPR1	20	ITPR1	NC_000003.12	4034486	4467269	-	SUMF1	ENSG00000144455	mapped	7
ITPR1	20	ITPR1	NC_000003.12	4303369	4317265	+	SETMAR	ENSG00000170364	mapped	8
ITPR1	20	ITPR1	NC_000003.12	4979437	4985323	+	BHLHE40	ENSG00000134107	mapped	9
ITPR1	20	ITPR1	NC_000003.12	5122292	5180911	+	ARL8B	ENSG00000134108	mapped	10
ITPR1	20	ITPR1	NC_000003.12	5187707	5219958	+	EDEM1	ENSG00000134109	mapped	11
ITPR1	20	ITPR1	NC_000003.12	6861115	7741533	+	GRM7	ENSG00000196277	mapped	12
ITPR1	20	ITPR1	NC_000003.12	8501823	8574668	+	LMCD1	ENSG00000071282	mapped	13
ITPR1	20	ITPR1	NC_000003.12	8619386	8681927	-	SSUH2	ENSG00000125046	mapped	14
ITPR1	20	ITPR1	NC_000003.12	8733802	8746758	+	CAV3	ENSG00000182533	mapped	15
ITPR1	20	ITPR1	NC_000003.12	8741269	8769613	-	OXTR	ENSG00000180914	mapped	16
ITPR1	20	ITPR1	NC_000003.12	8877075	8963472	-	RAD18	ENSG00000070950	mapped	17
ITPR1	20	ITPR1	NC_000003.12	8980591	9363027	-	SRGAP3	ENSG00000196220	mapped	18
ITPR1	20	ITPR1	NC_000003.12	9363054	9386791	+	THUMPD3	ENSG00000134077	mapped	19
ITPR1	20	ITPR1	NC_000003.12	9397615	9478154	+	SETD5	ENSG00000168137	mapped	20
ITPR1	20	ITPR1	NC_000003.12	9498361	9553822	-	LHFPL4	ENSG00000156959	mapped	21
ITPR1	20	ITPR1	NC_000003.12	9649505	9702393	+	MTMR14	ENSG00000163719	mapped	22
ITPR1	20	ITPR1	NC_000003.12	9703833	9729908	+	CPNE9	ENSG00000144550	mapped	23
ITPR1	20	ITPR1	NC_000003.12	9731735	9748015	+	BRPF1	ENSG00000156983	mapped	24
ITPR1	20	ITPR1	NC_000003.12	9749952	9791070	+	OGG1	ENSG00000114026	mapped	25
ITPR1	20	ITPR1	NC_000003.12	9757347	9769947	-	CAMK1	ENSG00000134072	mapped	26
ITPR1	20	ITPR1	NC_000003.12	9779967	9793011	-	TADA3	ENSG00000171148	mapped	27
ITPR1	20	ITPR1	NC_000003.12	9792518	9807101	+	ARPC4	ENSG00000241553	mapped	28
ITPR2	20	ITPR2	NC_000012.12	21532577	21604847	-	GYS2	ENSG00000111713	mapped	0
ITPR2	20	ITPR2	NC_000012.12	21635342	21657842	-	LDHB	ENSG00000111716	mapped	1
ITPR2	20	ITPR2	NC_000012.12	21764955	21774706	-	KCNJ8	ENSG00000121361	mapped	2
ITPR2	20	ITPR2	NC_000012.12	21797389	21941426	-	ABCC9	ENSG00000069431	mapped	3
ITPR2	20	ITPR2	NC_000012.12	22046218	22065668	+	CMAS	ENSG00000111726	mapped	4
ITPR2	20	ITPR2	NC_000012.12	22193391	22334707	-	ST8SIA1	ENSG00000111728	mapped	5
ITPR2	20	ITPR2	NC_000012.12	22448583	22544542	-	C2CD5	ENSG00000111731	mapped	6
ITPR2	20	ITPR2	NC_000012.12	22625171	22690665	+	ETNK1	ENSG00000139163	mapped	7
ITPR2	20	ITPR2	NC_000012.12	23529504	24562650	-	SOX5	ENSG00000134532	mapped	8
ITPR2	20	ITPR2	NC_000012.12	24704469	24775552	+	LOC124902897		unmapped	9
ITPR2	20	ITPR2	NC_000012.12	24810024	24949340	-	BCAT1	ENSG00000060982	mapped	10
ITPR2	20	ITPR2	NC_000012.12	24901970	24907905	+	LOC124902898		unmapped	11
ITPR2	20	ITPR2	NC_000012.12	24997575	25108335	+	IRAG2	ENSG00000118308	mapped	12
ITPR2	20	ITPR2	NC_000012.12	25107047	25195160	-	DNAI7	ENSG00000118307	mapped	13
ITPR2	20	ITPR2	NC_000012.12	25195237	25205143	+	ETFRF1	ENSG00000205707	mapped	14
ITPR2	20	ITPR2	NC_000012.12	25205246	25250929	-	KRAS	ENSG00000133703	mapped	15
ITPR2	20	ITPR2	NC_000012.12	25476082	25648578	-	LMNTD1	ENSG00000152936	mapped	16
ITPR2	20	ITPR2	NC_000012.12	25958232	26079889	+	RASSF8	ENSG00000123094	mapped	17
ITPR2	20	ITPR2	NC_000012.12	26120030	26125037	-	BHLHE41	ENSG00000123095	mapped	18
ITPR2	20	ITPR2	NC_000012.12	26121991	26234777	+	SSPN	ENSG00000123096	mapped	19
ITPR2	20	ITPR2	NC_000012.12	26905181	26938332	-	INTS13	ENSG00000064102	mapped	20
ITPR2	20	ITPR2	NC_000012.12	26938470	26966648	+	FGFR1OP2	ENSG00000111790	mapped	21
ITPR2	20	ITPR2	NC_000012.12	26971579	27014384	-	TM7SF3	ENSG00000064115	mapped	22
ITPR2	20	ITPR2	NC_000012.12	27022558	27038951	+	MED21	ENSG00000152944	mapped	23
ITPR2	20	ITPR2	NC_000012.12	27081057	27084127	-	C12orf71	ENSG00000214700	mapped	24
ITPR2	20	ITPR2	NC_000012.12	27244286	27325959	+	STK38L	ENSG00000211455	mapped	25
ITPR2	20	ITPR2	NC_000012.12	27332836	27425286	+	BMAL2	ENSG00000029153	mapped	26
ITPR2	20	ITPR2	NC_000012.12	27423316	27502185	+	SMCO2	ENSG00000165935	mapped	27
ITPR2	20	ITPR2	NC_000012.12	27524206	27695564	+	PPFIBP1	ENSG00000110841	mapped	28
ITPR2	20	ITPR2	NC_000012.12	27696447	27697596	+	REP15	ENSG00000174236	mapped	29
ITPR2	20	ITPR2	NC_000012.12	27710832	27756295	+	MRPS35	ENSG00000061794	mapped	30
ITPR2	20	ITPR2	NC_000012.12	27762427	27780236	-	MANSC4	ENSG00000205693	mapped	31
ITPR2	20	ITPR2	NC_000012.12	27780233	27803040	+	KLHL42	ENSG00000087448	mapped	32
ITPR2	20	ITPR2	NC_000012.12	27958084	27972733	-	PTHLH	ENSG00000087494	mapped	33
ITPR2	20	ITPR2	NC_000012.12	28190456	28550166	+	CCDC91	ENSG00000123106	mapped	34
ITPR2	20	ITPR2	NC_000012.12	29149278	29335616	+	FAR2	ENSG00000064763	mapped	35
ITPR2	20	ITPR2	NC_000012.12	29337352	29381172	-	ERGIC2	ENSG00000087502	mapped	36
ITPR2	20	ITPR2	NC_000012.12	29402168	29497686	-	OVCH1	ENSG00000187950	mapped	37
ITPR2	20	ITPR2	NC_000012.12	29500813	29784759	-	TMTC1	ENSG00000133687	mapped	38
ITPR2	20	ITPR2	NC_000012.12	30628988	30695869	-	IPO8	ENSG00000133704	mapped	39
ITPR3	20	ITPR3	NC_000006.12	33193588	33200853	-	RXRB	ENSG00000204231	mapped	0
ITPR3	20	ITPR3	NC_000006.12	33200867	33204437	+	SLC39A7	ENSG00000112473	mapped	1
ITPR3	20	ITPR3	NC_000006.12	33204655	33206831	+	HSD17B8	ENSG00000204228	mapped	2
ITPR3	20	ITPR3	NC_000006.12	33208500	33212716	+	RING1	ENSG00000204227	mapped	3
ITPR3	20	ITPR3	NC_000006.12	33250272	33271965	-	VPS52	ENSG00000223501	mapped	4
ITPR3	20	ITPR3	NC_000006.12	33272075	33276511	+	RPS18	ENSG00000231500	mapped	5
ITPR3	20	ITPR3	NC_000006.12	33277123	33278825	+	B3GALT4	ENSG00000235863	mapped	6
ITPR3	20	ITPR3	NC_000006.12	33279108	33289239	-	WDR46	ENSG00000227057	mapped	7
ITPR3	20	ITPR3	NC_000006.12	33289197	33290934	+	PFDN6	ENSG00000204220	mapped	8
ITPR3	20	ITPR3	NC_000006.12	33291654	33301612	-	RGL2	ENSG00000237441	mapped	9
ITPR3	20	ITPR3	NC_000006.12	33299694	33314078	-	TAPBP	ENSG00000231925	mapped	10
ITPR3	20	ITPR3	NC_000006.12	33314418	33317942	-	ZBTB22	ENSG00000236104	mapped	11
ITPR3	20	ITPR3	NC_000006.12	33318558	33322959	-	DAXX	ENSG00000204209	mapped	12
ITPR3	20	ITPR3	NC_000006.12	33323628	33329279	-	SMIM40	ENSG00000286920	mapped	13
ITPR3	20	ITPR3	NC_000006.12	33391461	33409896	+	KIFC1	ENSG00000237649	mapped	14
ITPR3	20	ITPR3	NC_000006.12	33410412	33416439	+	PHF1	ENSG00000112511	mapped	15
ITPR3	20	ITPR3	NC_000006.12	33416442	33418107	-	CUTA	ENSG00000112514	mapped	16
ITPR3	20	ITPR3	NC_000006.12	33418167	33453689	+	SYNGAP1	ENSG00000197283	mapped	17
ITPR3	20	ITPR3	NC_000006.12	33453083	33457544	+	ZBTB9	ENSG00000213588	mapped	18
ITPR3	20	ITPR3	NC_000006.12	33572552	33580276	-	BAK1	ENSG00000030110	mapped	19
ITPR3	20	ITPR3	NC_000006.12	33696764	33711700	-	UQCC2	ENSG00000137288	mapped	20
ITPR3	20	ITPR3	NC_000006.12	33721662	33762145	-	IP6K3	ENSG00000161896	mapped	21
ITPR3	20	ITPR3	NC_000006.12	33771213	33789130	-	LEMD2	ENSG00000161904	mapped	22
ITPR3	20	ITPR3	NC_000006.12	33794673	33804003	-	MLN	ENSG00000096395	mapped	23
ITPR3	20	ITPR3	NC_000006.12	34018643	34155622	-	GRM4	ENSG00000124493	mapped	24
ITPR3	20	ITPR3	NC_000006.12	34236246	34238380	+	LOC124901225		unmapped	25
ITPR3	20	ITPR3	NC_000006.12	34236873	34246231	+	HMGA1	ENSG00000137309	mapped	26
ITPR3	20	ITPR3	NC_000006.12	34246395	34249006	-	SMIM29	ENSG00000186577	mapped	27
ITPR3	20	ITPR3	NC_000006.12	34279679	34392669	-	NUDT3	ENSG00000272325	mapped	28
ITPR3	20	ITPR3	NC_000006.12	34287194	34426069	-	RPS10-NUDT3	ENSG00000270800	mapped	29
ITPR3	20	ITPR3	NC_000006.12	34417454	34426069	-	RPS10	ENSG00000124614	mapped	30
ITPR3	20	ITPR3	NC_000006.12	34466076	34535223	+	PACSIN1	ENSG00000124507	mapped	31
ITPR3	20	ITPR3	NC_000006.12	34537802	34556329	-	SPDEF	ENSG00000124664	mapped	32
ITPR3	20	ITPR3	NC_000006.12	34587288	34696767	-	ILRUN	ENSG00000196821	mapped	33
ITPR3	20	ITPR3	NC_000006.12	34757505	34773857	+	SNRPC	ENSG00000124562	mapped	34
ITPR3	20	ITPR3	NC_000006.12	34792083	34877514	+	BLTP3A	ENSG00000065060	mapped	35
ITPR3	20	ITPR3	NC_000006.12	34877462	34888071	-	TAF11	ENSG00000064995	mapped	36
ITPR3	20	ITPR3	NC_000006.12	34889255	35097990	+	ANKS1A	ENSG00000064999	mapped	37
ITPR3	20	ITPR3	NC_000006.12	35118075	35141339	-	TCP11	ENSG00000124678	mapped	38
ITPR3	20	ITPR3	NC_000006.12	35213956	35253079	+	SCUBE3	ENSG00000146197	mapped	39
RYR1	20	RYR1	NC_000019.10	37532851	37551339	-	LOC124904708		unmapped	0
RYR1	20	RYR1	NC_000019.10	37551374	37614179	+	ZNF540	ENSG00000171817	mapped	1
RYR1	20	RYR1	NC_000019.10	37564260	37594792	-	ZNF571	ENSG00000180479	mapped	2
RYR1	20	RYR1	NC_000019.10	37631006	37656261	-	ZFP30	ENSG00000120784	mapped	3
RYR1	20	RYR1	NC_000019.10	37696363	37719761	-	ZNF607	ENSG00000198182	mapped	4
RYR1	20	RYR1	NC_000019.10	37738302	37779586	-	ZNF573	ENSG00000189144	mapped	5
RYR1	20	RYR1	NC_000019.10	37884823	37906697	-	WDR87	ENSG00000171804	mapped	6
RYR1	20	RYR1	NC_000019.10	37907208	38208369	+	SIPA1L3	ENSG00000105738	mapped	7
RYR1	20	RYR1	NC_000019.10	38211006	38229695	-	DPF1	ENSG00000011332	mapped	8
RYR1	20	RYR1	NC_000019.10	38251237	38256374	-	PPP1R14A	ENSG00000167641	mapped	9
RYR1	20	RYR1	NC_000019.10	38264573	38292615	+	SPINT2	ENSG00000167642	mapped	10
RYR1	20	RYR1	NC_000019.10	38303558	38321887	-	YIF1B	ENSG00000167645	mapped	11
RYR1	20	RYR1	NC_000019.10	38304251	38305006	+	C19orf33	ENSG00000167644	mapped	12
RYR1	20	RYR1	NC_000019.10	38319845	38332076	+	KCNK6	ENSG00000099337	mapped	13
RYR1	20	RYR1	NC_000019.10	38335830	38370943	+	CATSPERG	ENSG00000099338	mapped	14
RYR1	20	RYR1	NC_000019.10	38374571	38383824	+	PSMD8	ENSG00000099341	mapped	15
RYR1	20	RYR1	NC_000019.10	38384267	38388384	-	GGN	ENSG00000179168	mapped	16
RYR1	20	RYR1	NC_000019.10	38388697	38399587	+	SPRED3	ENSG00000188766	mapped	17
RYR1	20	RYR1	NC_000019.10	38403093	38409088	+	FAM98C	ENSG00000130244	mapped	18
RYR1	20	RYR1	NC_000019.10	38409058	38426219	-	RASGRP4	ENSG00000171777	mapped	19
RYR1	20	RYR1	NC_000019.10	38587641	38617953	-	MAP4K1	ENSG00000104814	mapped	20
RYR1	20	RYR1	NC_000019.10	38619188	38636954	+	EIF3K	ENSG00000178982	mapped	21
RYR1	20	RYR1	NC_000019.10	38647649	38731589	+	ACTN4	ENSG00000130402	mapped	22
RYR1	20	RYR1	NC_000019.10	38730192	38744693	-	CAPN12	ENSG00000182472	mapped	23
RYR1	20	RYR1	NC_000019.10	38770968	38773517	-	LGALS7	ENSG00000205076	mapped	24
RYR1	20	RYR1	NC_000019.10	38789200	38791754	+	LGALS7B	ENSG00000178934	mapped	25
RYR1	20	RYR1	NC_000019.10	38801674	38812945	-	LGALS4	ENSG00000171747	mapped	26
RYR1	20	RYR1	NC_000019.10	38815422	38831794	-	ECH1	ENSG00000104823	mapped	27
RYR1	20	RYR1	NC_000019.10	38836370	38852347	-	HNRNPL	ENSG00000104824	mapped	28
RYR1	20	RYR1	NC_000019.10	38867830	38878275	-	RINL	ENSG00000187994	mapped	29
RYR1	20	RYR1	NC_000019.10	38878555	38899618	-	SIRT2	ENSG00000068903	mapped	30
RYR1	20	RYR1	NC_000019.10	38899666	38908889	+	NFKBIB	ENSG00000104825	mapped	31
RYR1	20	RYR1	NC_000019.10	38908980	38912186	-	CCER2	ENSG00000262484	mapped	32
RYR1	20	RYR1	NC_000019.10	38915266	38930763	-	SARS2	ENSG00000104835	mapped	33
RYR1	20	RYR1	NC_000019.10	38930944	38933168	+	MRPS12	ENSG00000128626	mapped	34
RYR1	20	RYR1	NC_000019.10	38941401	38975742	-	FBXO17	ENSG00000269190	mapped	35
RYR1	20	RYR1	NC_000019.10	39005842	39032549	-	FBXO27	ENSG00000161243	mapped	36
RYR1	20	RYR1	NC_000019.10	39083788	39111493	+	ACP7	ENSG00000183760	mapped	37
